Date,Mohawk Industries,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,79.64
2004-02-13,0,82.44
2004-02-20,0,80.55
2004-02-27,0,83.30
2004-03-05,0,85.27
2004-03-12,0,82.90
2004-03-19,0,82.34
2004-03-26,0,80.48
2004-04-02,0,82.40
2004-04-09,0,
2004-04-16,0,80.40
2004-04-23,0,79.96
2004-04-30,0,77.14
2004-05-07,0,74.20
2004-05-14,0,71.98
2004-05-21,0,71.17
2004-05-28,0,74.24
2004-06-04,0,71.46
2004-06-11,0,
2004-06-18,0,70.39
2004-06-25,0,74.37
2004-07-02,0,71.98
2004-07-09,0,72.70
2004-07-16,0,71.50
2004-07-23,0,70.25
2004-07-30,0,73.54
2004-08-06,0,71.49
2004-08-13,0,71.95
2004-08-20,0,73.42
2004-08-27,0,77.47
2004-09-03,0,79.05
2004-09-10,0,80.10
2004-09-17,0,80.25
2004-09-24,0,78.81
2004-10-01,0,80.35
2004-10-08,0,76.90
2004-10-15,0,74.85
2004-10-22,0,82.39
2004-10-29,0,85.08
2004-11-05,0,87.65
2004-11-12,0,89.10
2004-11-19,0,86.64
2004-11-26,0,89.15
2004-12-03,0,89.79
2004-12-10,0,88.05
2004-12-17,0,89.40
2004-12-24,0,
2004-12-31,0,91.25
2005-01-07,0,87.10
2005-01-14,0,89.45
2005-01-21,0,88.50
2005-01-28,0,87.00
2005-02-04,0,92.61
2005-02-11,0,93.66
2005-02-18,0,89.49
2005-02-25,0,89.78
2005-03-04,0,91.70
2005-03-11,0,89.31
2005-03-18,0,88.46
2005-03-25,0,
2005-04-01,0,83.04
2005-04-08,0,82.22
2005-04-15,0,79.02
2005-04-22,0,78.00
2005-04-29,0,77.81
2005-05-06,0,80.09
2005-05-13,0,79.83
2005-05-20,0,84.60
2005-05-27,0,83.25
2005-06-03,0,83.83
2005-06-10,0,85.86
2005-06-17,74,87.75
2005-06-24,79,82.34
2005-07-01,84,82.20
2005-07-08,100,89.43
2005-07-15,0,89.46
2005-07-22,0,90.25
2005-07-29,0,87.82
2005-08-05,0,85.46
2005-08-12,0,85.05
2005-08-19,0,83.95
2005-08-26,0,82.27
2005-09-02,0,84.15
2005-09-09,0,84.97
2005-09-16,0,81.06
2005-09-23,66,77.60
2005-09-30,0,80.25
2005-10-07,0,78.07
2005-10-14,0,76.95
2005-10-21,0,76.74
2005-10-28,0,76.95
2005-11-04,0,79.58
2005-11-11,71,82.25
2005-11-18,0,84.38
2005-11-25,0,88.16
2005-12-02,0,89.00
2005-12-09,0,87.26
2005-12-16,0,87.84
2005-12-23,0,87.94
2005-12-30,0,86.98
2006-01-06,0,88.56
2006-01-13,83,87.02
2006-01-20,0,84.65
2006-01-27,0,84.68
2006-02-03,0,83.87
2006-02-10,0,81.46
2006-02-17,0,83.15
2006-02-24,0,86.90
2006-03-03,0,87.43
2006-03-10,0,86.85
2006-03-17,0,87.43
2006-03-24,48,86.34
2006-03-31,48,80.72
2006-04-07,56,79.75
2006-04-14,63,
2006-04-21,51,78.65
2006-04-28,47,80.10
2006-05-05,47,77.22
2006-05-12,47,76.50
2006-05-19,47,75.57
2006-05-26,0,75.08
2006-06-02,0,73.77
2006-06-09,0,71.66
2006-06-16,0,70.95
2006-06-23,0,71.39
2006-06-30,0,70.35
2006-07-07,61,68.38
2006-07-14,54,66.05
2006-07-21,53,65.51
2006-07-28,53,69.96
2006-08-04,53,69.83
2006-08-11,56,66.77
2006-08-18,60,70.85
2006-08-25,64,68.23
2006-09-01,61,71.58
2006-09-08,42,71.54
2006-09-15,42,76.27
2006-09-22,42,73.54
2006-09-29,0,74.45
2006-10-06,0,76.75
2006-10-13,0,78.58
2006-10-20,0,74.99
2006-10-27,0,73.60
2006-11-03,40,70.23
2006-11-10,37,72.16
2006-11-17,37,75.97
2006-11-24,37,76.38
2006-12-01,37,77.20
2006-12-08,41,77.26
2006-12-15,49,76.02
2006-12-22,42,74.27
2006-12-29,42,74.86
2007-01-05,42,76.05
2007-01-12,42,79.25
2007-01-19,38,78.38
2007-01-26,38,78.52
2007-02-02,65,86.89
2007-02-09,37,82.88
2007-02-16,37,93.89
2007-02-23,52,92.95
2007-03-02,49,87.00
2007-03-09,49,86.86
2007-03-16,36,83.12
2007-03-23,33,85.49
2007-03-30,33,82.05
2007-04-06,33,
2007-04-13,33,85.35
2007-04-20,48,92.64
2007-04-27,38,92.02
2007-05-04,38,92.98
2007-05-11,32,94.64
2007-05-18,29,95.15
2007-05-25,29,96.81
2007-06-01,29,103.05
2007-06-08,44,99.38
2007-06-15,37,101.68
2007-06-22,30,98.98
2007-06-29,41,100.79
2007-07-06,30,103.00
2007-07-13,32,101.81
2007-07-20,35,97.42
2007-07-27,38,92.57
2007-08-03,44,87.50
2007-08-10,41,87.40
2007-08-17,31,86.33
2007-08-24,31,87.64
2007-08-31,42,87.31
2007-09-07,38,85.72
2007-09-14,39,83.56
2007-09-21,45,84.16
2007-09-28,26,81.30
2007-10-05,26,84.43
2007-10-12,31,82.34
2007-10-19,35,81.76
2007-10-26,24,86.10
2007-11-02,46,83.42
2007-11-09,41,80.13
2007-11-16,26,78.80
2007-11-23,29,79.00
2007-11-30,31,80.44
2007-12-07,31,79.85
2007-12-14,33,75.51
2007-12-21,35,75.26
2007-12-28,37,74.75
2008-01-04,39,71.37
2008-01-11,42,70.01
2008-01-18,44,66.14
2008-01-25,47,72.86
2008-02-01,24,83.05
2008-02-08,43,77.86
2008-02-15,49,72.07
2008-02-22,50,74.68
2008-02-29,34,71.41
2008-03-07,21,69.75
2008-03-14,29,69.14
2008-03-21,36,
2008-03-28,43,71.49
2008-04-04,29,76.08
2008-04-11,48,73.49
2008-04-18,33,78.18
2008-04-25,23,76.95
2008-05-02,33,78.35
2008-05-09,40,75.55
2008-05-16,48,77.61
2008-05-23,35,73.06
2008-05-30,27,75.08
2008-06-06,37,72.10
2008-06-13,23,70.16
2008-06-20,27,68.08
2008-06-27,34,64.81
2008-07-04,26,
2008-07-11,32,59.07
2008-07-18,24,64.85
2008-07-25,43,61.89
2008-08-01,28,59.13
2008-08-08,28,66.49
2008-08-15,33,72.96
2008-08-22,23,69.09
2008-08-29,23,69.05
2008-09-05,23,70.46
2008-09-12,23,69.90
2008-09-19,27,74.34
2008-09-26,23,69.90
2008-10-03,34,58.68
2008-10-10,42,49.00
2008-10-17,35,48.29
2008-10-24,25,44.18
2008-10-31,26,48.38
2008-11-07,28,39.13
2008-11-14,35,32.27
2008-11-21,25,26.09
2008-11-28,24,30.74
2008-12-05,24,36.53
2008-12-12,27,35.73
2008-12-19,25,42.60
2008-12-26,23,41.17
2009-01-02,23,44.10
2009-01-09,24,40.59
2009-01-16,22,37.39
2009-01-23,21,34.39
2009-01-30,21,32.11
2009-02-06,18,36.91
2009-02-13,21,33.27
2009-02-20,23,28.37
2009-02-27,24,22.59
2009-03-06,25,18.24
2009-03-13,22,20.81
2009-03-20,20,23.79
2009-03-27,20,32.58
2009-04-03,22,34.25
2009-04-10,22,
2009-04-17,21,36.79
2009-04-24,33,49.00
2009-05-01,32,46.29
2009-05-08,20,45.46
2009-05-15,25,39.77
2009-05-22,18,37.53
2009-05-29,18,38.27
2009-06-05,17,40.75
2009-06-12,25,40.60
2009-06-19,26,37.52
2009-06-26,18,35.44
2009-07-03,18,
2009-07-10,31,32.20
2009-07-17,28,37.78
2009-07-24,30,43.12
2009-07-31,49,51.58
2009-08-07,27,52.54
2009-08-14,25,47.40
2009-08-21,22,47.45
2009-08-28,31,50.83
2009-09-04,22,48.17
2009-09-11,23,48.94
2009-09-18,28,52.19
2009-09-25,27,47.54
2009-10-02,29,43.77
2009-10-09,29,45.57
2009-10-16,29,49.21
2009-10-23,24,48.02
2009-10-30,32,42.83
2009-11-06,32,44.21
2009-11-13,24,44.38
2009-11-20,18,41.00
2009-11-27,16,41.57
2009-12-04,18,43.30
2009-12-11,18,46.14
2009-12-18,13,46.97
2009-12-25,17,
2010-01-01,20,
2010-01-08,25,49.64
2010-01-15,21,46.79
2010-01-22,28,45.01
2010-01-29,33,41.41
2010-02-05,20,44.43
2010-02-12,23,44.54
2010-02-19,20,46.78
2010-02-26,18,51.58
2010-03-05,22,53.88
2010-03-12,24,53.93
2010-03-19,29,53.03
2010-03-26,13,53.13
2010-04-02,16,
2010-04-09,21,55.12
2010-04-16,24,57.20
2010-04-23,19,63.18
2010-04-30,26,63.74
2010-05-07,33,55.02
2010-05-14,31,61.23
2010-05-21,20,55.39
2010-05-28,31,56.16
2010-06-04,24,51.00
2010-06-11,17,50.14
2010-06-18,32,52.33
2010-06-25,19,49.94
2010-07-02,20,44.19
2010-07-09,17,46.02
2010-07-16,22,43.80
2010-07-23,25,49.50
2010-07-30,13,48.93
2010-08-06,32,51.89
2010-08-13,28,45.26
2010-08-20,23,44.74
2010-08-27,27,46.58
2010-09-03,25,48.84
2010-09-10,21,48.13
2010-09-17,27,48.95
2010-09-24,17,51.92
2010-10-01,23,54.00
2010-10-08,13,54.42
2010-10-15,18,55.05
2010-10-22,15,57.46
2010-10-29,18,57.34
2010-11-05,30,57.08
2010-11-12,25,53.04
2010-11-19,20,53.23
2010-11-26,10,52.95
2010-12-03,16,56.02
2010-12-10,16,58.00
2010-12-17,21,59.92
2010-12-24,20,
2010-12-31,18,56.76
2011-01-07,25,57.08
2011-01-14,19,58.37
2011-01-21,18,57.25
2011-01-28,28,55.56
2011-02-04,16,56.27
2011-02-11,25,59.54
2011-02-18,15,59.30
2011-02-25,22,58.45
2011-03-04,24,56.84
2011-03-11,19,57.91
2011-03-18,29,57.43
2011-03-25,22,59.69
2011-04-01,30,62.50
2011-04-08,22,60.68
2011-04-15,15,59.84
2011-04-22,21,
2011-04-29,20,60.04
2011-05-06,24,67.48
2011-05-13,13,67.50
2011-05-20,18,65.29
2011-05-27,19,65.91
2011-06-03,14,62.89
2011-06-10,22,59.04
2011-06-17,18,58.03
2011-06-24,14,59.96
2011-07-01,25,61.60
2011-07-08,17,56.32
2011-07-15,24,56.16
2011-07-22,22,55.21
2011-07-29,18,52.03
2011-08-05,23,47.92
2011-08-12,18,46.05
2011-08-19,30,42.43
2011-08-26,21,46.03
2011-09-02,21,48.01
2011-09-09,23,43.21
2011-09-16,11,45.51
2011-09-23,20,41.26
2011-09-30,18,42.91
2011-10-07,15,46.69
2011-10-14,26,50.00
2011-10-21,19,53.81
2011-10-28,20,54.15
2011-11-04,18,53.29
2011-11-11,27,54.52
2011-11-18,17,52.63
2011-11-25,13,49.77
2011-12-02,18,54.89
2011-12-09,19,57.01
2011-12-16,12,54.39
2011-12-23,12,60.45
2011-12-30,12,59.85
2012-01-06,17,59.50
2012-01-13,21,62.52
2012-01-20,19,63.30
2012-01-27,16,63.45
2012-02-03,13,66.59
2012-02-10,18,65.45
2012-02-17,11,66.79
2012-02-24,14,62.41
2012-03-02,18,62.28
2012-03-09,21,63.19
2012-03-16,15,65.77
2012-03-23,20,65.06
2012-03-30,18,66.51
2012-04-06,15,
2012-04-13,15,62.66
2012-04-20,21,63.38
2012-04-27,16,68.05
2012-05-04,17,73.52
2012-05-11,13,74.57
2012-05-18,8,67.52
2012-05-25,18,69.66
2012-06-01,14,64.45
2012-06-08,21,68.45
2012-06-15,13,67.91
2012-06-22,21,64.46
2012-06-29,17,69.83
2012-07-06,15,69.91
2012-07-13,18,69.85
2012-07-20,19,72.55
2012-07-27,19,71.55
2012-08-03,19,69.84
2012-08-10,16,71.93
2012-08-17,20,75.05
2012-08-24,25,72.83
2012-08-31,23,72.05
2012-09-07,24,74.23
2012-09-14,19,78.92
2012-09-21,22,82.59
2012-09-28,17,80.02
2012-10-05,16,81.97
2012-10-12,21,78.22
2012-10-19,15,81.46
2012-10-26,22,80.27
2012-11-02,22,86.76
2012-11-09,25,84.53
2012-11-16,24,81.27
2012-11-23,14,87.10
2012-11-30,22,85.99
2012-12-07,19,82.84
2012-12-14,15,81.50
2012-12-21,24,91.29
2012-12-28,10,89.44
2013-01-04,18,93.52
2013-01-11,22,94.23
2013-01-18,26,96.30
2013-01-25,19,102.47
2013-02-01,20,102.42
2013-02-08,17,103.11
2013-02-15,24,107.80
2013-02-22,24,106.74
2013-03-01,24,106.43
2013-03-08,23,112.30
2013-03-15,18,113.62
2013-03-22,17,110.41
2013-03-29,19,
2013-04-05,20,112.04
2013-04-12,12,116.27
2013-04-19,17,111.46
2013-04-26,18,113.36
2013-05-03,20,115.50
2013-05-10,19,118.04
2013-05-17,17,117.90
2013-05-24,23,114.23
2013-05-31,16,111.17
2013-06-07,21,111.64
2013-06-14,18,111.08
2013-06-21,16,108.95
2013-06-28,19,112.49
2013-07-05,10,111.58
2013-07-12,24,117.03
2013-07-19,23,117.76
2013-07-26,18,114.42
2013-08-02,18,129.97
2013-08-09,27,128.00
2013-08-16,19,121.96
2013-08-23,24,123.05
2013-08-30,24,117.49
2013-09-06,19,121.38
2013-09-13,22,127.69
2013-09-20,16,130.45
2013-09-27,17,130.09
2013-10-04,15,130.70
2013-10-11,23,129.95
2013-10-18,12,124.28
2013-10-25,18,131.78
2013-11-01,20,137.56
2013-11-08,24,134.30
2013-11-15,13,144.68
2013-11-22,23,142.32
2013-11-29,8,140.02
2013-12-06,22,138.95
2013-12-13,18,139.64
2013-12-20,21,141.44
2013-12-27,13,146.75
2014-01-03,16,149.45
2014-01-10,16,148.23
2014-01-17,26,146.76
2014-01-24,18,141.36
2014-01-31,20,142.18
2014-02-07,22,147.61
2014-02-14,24,147.10
2014-02-21,24,143.41
2014-02-28,18,141.53
2014-03-07,26,144.68
2014-03-14,22,139.40
2014-03-21,16,138.59
2014-03-28,21,134.73
2014-04-04,24,136.01
2014-04-11,18,131.03
2014-04-18,21,
2014-04-25,21,133.20
2014-05-02,0,
