Date,Mondelez International,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,33.19
2004-02-13,0,32.94
2004-02-20,0,33.20
2004-02-27,0,33.79
2004-03-05,0,34.12
2004-03-12,0,32.80
2004-03-19,0,32.47
2004-03-26,0,31.42
2004-04-02,0,31.86
2004-04-09,0,
2004-04-16,0,31.36
2004-04-23,0,33.09
2004-04-30,0,32.91
2004-05-07,0,32.08
2004-05-14,0,30.98
2004-05-21,0,29.92
2004-05-28,0,29.86
2004-06-04,0,30.27
2004-06-11,0,
2004-06-18,0,31.20
2004-06-25,0,30.66
2004-07-02,0,31.02
2004-07-09,0,31.36
2004-07-16,0,30.30
2004-07-23,0,30.51
2004-07-30,0,30.55
2004-08-06,0,29.68
2004-08-13,0,29.86
2004-08-20,0,31.39
2004-08-27,0,31.46
2004-09-03,0,31.50
2004-09-10,0,31.39
2004-09-17,0,32.52
2004-09-24,0,31.46
2004-10-01,0,31.69
2004-10-08,0,31.31
2004-10-15,0,32.14
2004-10-22,0,32.55
2004-10-29,0,33.31
2004-11-05,0,34.74
2004-11-12,0,34.88
2004-11-19,0,34.04
2004-11-26,0,34.81
2004-12-03,0,34.26
2004-12-10,0,35.03
2004-12-17,0,35.91
2004-12-24,0,
2004-12-31,0,35.61
2005-01-07,0,34.46
2005-01-14,0,34.23
2005-01-21,0,33.97
2005-01-28,0,33.26
2005-02-04,0,33.98
2005-02-11,0,33.48
2005-02-18,0,33.45
2005-02-25,0,33.86
2005-03-04,0,33.70
2005-03-11,0,33.30
2005-03-18,0,32.48
2005-03-25,0,
2005-04-01,0,32.78
2005-04-08,0,32.67
2005-04-15,0,31.95
2005-04-22,0,30.28
2005-04-29,0,32.41
2005-05-06,0,32.68
2005-05-13,0,32.48
2005-05-20,0,32.68
2005-05-27,0,32.76
2005-06-03,0,32.37
2005-06-10,0,31.80
2005-06-17,0,31.42
2005-06-24,0,31.39
2005-07-01,0,31.96
2005-07-08,0,31.47
2005-07-15,0,31.90
2005-07-22,0,30.84
2005-07-29,0,30.55
2005-08-05,0,30.79
2005-08-12,0,31.11
2005-08-19,0,31.02
2005-08-26,0,31.10
2005-09-02,0,30.79
2005-09-09,0,30.64
2005-09-16,0,30.82
2005-09-23,0,29.53
2005-09-30,0,30.59
2005-10-07,0,29.79
2005-10-14,0,29.79
2005-10-21,0,28.20
2005-10-28,0,28.32
2005-11-04,0,28.26
2005-11-11,0,29.30
2005-11-18,0,29.28
2005-11-25,0,30.11
2005-12-02,0,29.73
2005-12-09,0,29.22
2005-12-16,0,28.46
2005-12-23,0,28.08
2005-12-30,0,28.17
2006-01-06,0,27.67
2006-01-13,0,28.70
2006-01-20,0,28.76
2006-01-27,0,29.29
2006-02-03,0,29.08
2006-02-10,0,29.02
2006-02-17,0,29.55
2006-02-24,0,30.29
2006-03-03,0,29.69
2006-03-10,0,30.57
2006-03-17,0,30.26
2006-03-24,0,30.70
2006-03-31,0,30.31
2006-04-07,0,30.00
2006-04-14,0,
2006-04-21,0,31.05
2006-04-28,0,31.24
2006-05-05,0,31.44
2006-05-12,0,30.79
2006-05-19,0,31.49
2006-05-26,0,32.88
2006-06-02,0,33.20
2006-06-09,0,31.36
2006-06-16,0,30.86
2006-06-23,0,31.17
2006-06-30,0,30.90
2006-07-07,0,30.20
2006-07-14,0,30.37
2006-07-21,0,29.99
2006-07-28,0,32.68
2006-08-04,0,32.48
2006-08-11,0,33.74
2006-08-18,0,32.56
2006-08-25,0,32.87
2006-09-01,0,34.02
2006-09-08,0,33.64
2006-09-15,0,33.98
2006-09-22,0,34.25
2006-09-29,0,35.66
2006-10-06,0,35.67
2006-10-13,0,35.77
2006-10-20,0,35.49
2006-10-27,0,34.60
2006-11-03,0,33.96
2006-11-10,0,34.25
2006-11-17,0,35.45
2006-11-24,0,35.18
2006-12-01,0,35.09
2006-12-08,0,35.00
2006-12-15,0,35.71
2006-12-22,0,35.73
2006-12-29,0,35.70
2007-01-05,0,35.18
2007-01-12,0,35.80
2007-01-19,0,35.63
2007-01-26,0,34.54
2007-02-02,0,34.03
2007-02-09,0,33.57
2007-02-16,0,34.95
2007-02-23,0,33.26
2007-03-02,0,31.85
2007-03-09,0,31.50
2007-03-16,0,30.42
2007-03-23,0,32.00
2007-03-30,0,31.66
2007-04-06,0,
2007-04-13,0,32.80
2007-04-20,0,33.09
2007-04-27,0,33.56
2007-05-04,0,33.20
2007-05-11,0,32.51
2007-05-18,0,33.11
2007-05-25,0,33.51
2007-06-01,0,34.42
2007-06-08,0,34.51
2007-06-15,0,35.31
2007-06-22,0,36.25
2007-06-29,0,35.25
2007-07-06,0,34.24
2007-07-13,0,35.89
2007-07-20,0,35.53
2007-07-27,0,32.89
2007-08-03,0,31.96
2007-08-10,0,32.14
2007-08-17,0,31.31
2007-08-24,0,32.49
2007-08-31,0,32.06
2007-09-07,0,32.89
2007-09-14,0,34.10
2007-09-21,0,34.85
2007-09-28,0,34.51
2007-10-05,0,34.30
2007-10-12,0,33.85
2007-10-19,0,32.60
2007-10-26,0,33.30
2007-11-02,0,32.82
2007-11-09,0,32.69
2007-11-16,0,32.51
2007-11-23,0,33.44
2007-11-30,0,34.55
2007-12-07,0,34.68
2007-12-14,0,33.31
2007-12-21,0,33.26
2007-12-28,0,32.95
2008-01-04,0,31.45
2008-01-11,0,31.93
2008-01-18,0,30.15
2008-01-25,0,29.78
2008-02-01,0,29.42
2008-02-08,0,28.81
2008-02-15,0,31.33
2008-02-22,0,31.37
2008-02-29,0,31.17
2008-03-07,0,30.61
2008-03-14,0,29.87
2008-03-21,0,
2008-03-28,0,30.82
2008-04-04,0,31.54
2008-04-11,0,30.73
2008-04-18,0,31.45
2008-04-25,0,30.60
2008-05-02,0,32.04
2008-05-09,0,31.34
2008-05-16,0,32.51
2008-05-23,0,31.99
2008-05-30,0,32.48
2008-06-06,0,31.22
2008-06-13,0,31.00
2008-06-20,0,29.21
2008-06-27,0,28.39
2008-07-04,0,
2008-07-11,0,28.93
2008-07-18,0,29.61
2008-07-25,0,29.38
2008-08-01,0,32.04
2008-08-08,0,32.80
2008-08-15,0,32.96
2008-08-22,0,32.58
2008-08-29,0,31.51
2008-09-05,0,32.68
2008-09-12,0,33.34
2008-09-19,0,34.97
2008-09-26,0,32.93
2008-10-03,0,33.08
2008-10-10,0,27.25
2008-10-17,0,28.62
2008-10-24,0,27.10
2008-10-31,0,29.18
2008-11-07,0,28.49
2008-11-14,0,27.44
2008-11-21,0,26.56
2008-11-28,0,27.21
2008-12-05,0,27.65
2008-12-12,0,26.96
2008-12-19,0,26.67
2008-12-26,0,26.64
2009-01-02,0,27.34
2009-01-09,0,27.78
2009-01-16,0,28.64
2009-01-23,0,28.67
2009-01-30,0,28.05
2009-02-06,0,26.34
2009-02-13,0,25.20
2009-02-20,0,23.51
2009-02-27,0,22.78
2009-03-06,0,21.62
2009-03-13,0,22.53
2009-03-20,0,22.14
2009-03-27,0,22.89
2009-04-03,0,23.00
2009-04-10,0,
2009-04-17,0,22.67
2009-04-24,0,22.26
2009-05-01,0,23.49
2009-05-08,0,25.53
2009-05-15,0,24.80
2009-05-22,0,25.46
2009-05-29,0,26.11
2009-06-05,0,26.63
2009-06-12,0,25.94
2009-06-19,0,25.41
2009-06-26,0,25.56
2009-07-03,0,
2009-07-10,0,26.08
2009-07-17,0,27.43
2009-07-24,0,28.12
2009-07-31,0,28.34
2009-08-07,0,28.70
2009-08-14,0,28.10
2009-08-21,0,28.81
2009-08-28,0,28.34
2009-09-04,0,28.10
2009-09-11,0,26.10
2009-09-18,0,26.73
2009-09-25,0,26.53
2009-10-02,0,25.95
2009-10-09,0,25.97
2009-10-16,0,27.03
2009-10-23,0,27.05
2009-10-30,0,27.52
2009-11-06,0,26.78
2009-11-13,0,26.91
2009-11-20,0,27.17
2009-11-27,0,26.64
2009-12-04,0,26.57
2009-12-11,0,26.79
2009-12-18,0,27.01
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,28.93
2010-01-15,0,29.58
2010-01-22,0,27.87
2010-01-29,0,27.66
2010-02-05,0,28.44
2010-02-12,0,29.09
2010-02-19,0,28.92
2010-02-26,0,28.43
2010-03-05,0,29.34
2010-03-12,0,29.45
2010-03-19,0,29.63
2010-03-26,0,30.63
2010-04-02,0,
2010-04-09,0,30.24
2010-04-16,0,30.66
2010-04-23,0,30.09
2010-04-30,0,29.60
2010-05-07,0,30.07
2010-05-14,0,30.03
2010-05-21,0,29.69
2010-05-28,0,28.60
2010-06-04,0,28.51
2010-06-11,0,29.30
2010-06-18,0,30.01
2010-06-25,0,29.33
2010-07-02,0,27.82
2010-07-09,0,28.99
2010-07-16,0,28.81
2010-07-23,0,29.62
2010-07-30,0,29.21
2010-08-06,0,30.36
2010-08-13,0,29.50
2010-08-20,0,29.10
2010-08-27,0,30.00
2010-09-03,0,30.58
2010-09-10,0,30.78
2010-09-17,0,31.35
2010-09-24,0,31.95
2010-10-01,0,31.21
2010-10-08,0,30.93
2010-10-15,0,31.65
2010-10-22,0,31.90
2010-10-29,0,32.27
2010-11-05,0,31.08
2010-11-12,0,30.62
2010-11-19,0,30.44
2010-11-26,0,30.30
2010-12-03,0,30.32
2010-12-10,0,30.75
2010-12-17,0,31.93
2010-12-24,0,
2010-12-31,0,31.51
2011-01-07,0,31.19
2011-01-14,0,31.34
2011-01-21,0,31.35
2011-01-28,0,30.53
2011-02-04,0,31.19
2011-02-11,0,30.66
2011-02-18,0,30.91
2011-02-25,0,31.71
2011-03-04,0,31.58
2011-03-11,0,31.70
2011-03-18,0,30.99
2011-03-25,0,31.26
2011-04-01,0,31.61
2011-04-08,0,31.67
2011-04-15,0,33.36
2011-04-22,0,
2011-04-29,0,33.59
2011-05-06,0,34.08
2011-05-13,0,34.89
2011-05-20,0,35.23
2011-05-27,0,34.75
2011-06-03,0,34.10
2011-06-10,0,33.79
2011-06-17,0,34.48
2011-06-24,0,34.60
2011-07-01,0,35.47
2011-07-08,0,35.71
2011-07-15,0,35.37
2011-07-22,0,35.43
2011-07-29,0,34.38
2011-08-05,0,34.87
2011-08-12,0,34.40
2011-08-19,0,33.45
2011-08-26,0,33.95
2011-09-02,0,34.27
2011-09-09,0,34.51
2011-09-16,0,35.06
2011-09-23,0,33.72
2011-09-30,0,33.58
2011-10-07,0,33.76
2011-10-14,0,35.23
2011-10-21,0,35.20
2011-10-28,0,35.40
2011-11-04,0,35.18
2011-11-11,0,35.57
2011-11-18,0,34.77
2011-11-25,0,34.32
2011-12-02,0,36.50
2011-12-09,0,36.70
2011-12-16,0,36.49
2011-12-23,0,37.74
2011-12-30,0,37.36
2012-01-06,0,37.55
2012-01-13,0,37.77
2012-01-20,0,38.67
2012-01-27,0,38.47
2012-02-03,0,38.88
2012-02-10,0,38.58
2012-02-17,0,38.01
2012-02-24,0,37.88
2012-03-02,0,38.25
2012-03-09,0,37.95
2012-03-16,0,38.38
2012-03-23,6,38.25
2012-03-30,0,38.01
2012-04-06,0,
2012-04-13,0,37.35
2012-04-20,0,38.54
2012-04-27,0,39.40
2012-05-04,0,39.25
2012-05-11,0,39.04
2012-05-18,0,38.49
2012-05-25,0,38.57
2012-06-01,0,37.57
2012-06-08,0,38.24
2012-06-15,0,38.64
2012-06-22,0,38.85
2012-06-29,0,38.62
2012-07-06,0,38.98
2012-07-13,0,39.71
2012-07-20,0,40.16
2012-07-27,0,39.42
2012-08-03,0,40.51
2012-08-10,0,40.92
2012-08-17,6,40.50
2012-08-24,5,41.87
2012-08-31,5,41.51
2012-09-07,6,39.99
2012-09-14,8,39.93
2012-09-21,8,41.78
2012-09-28,9,41.35
2012-10-05,100,27.81
2012-10-12,70,27.22
2012-10-19,56,27.01
2012-10-26,54,26.60
2012-11-02,44,26.28
2012-11-09,55,26.02
2012-11-16,51,25.56
2012-11-23,42,25.62
2012-11-30,44,25.89
2012-12-07,46,25.58
2012-12-14,33,26.04
2012-12-21,36,25.76
2012-12-28,33,25.26
2013-01-04,42,26.74
2013-01-11,42,27.42
2013-01-18,50,28.08
2013-01-25,44,27.78
2013-02-01,36,28.22
2013-02-08,47,27.76
2013-02-15,51,26.72
2013-02-22,54,26.77
2013-03-01,41,27.81
2013-03-08,53,28.58
2013-03-15,55,28.41
2013-03-22,64,29.73
2013-03-29,59,
2013-04-05,60,30.03
2013-04-12,55,30.55
2013-04-19,53,31.69
2013-04-26,56,31.56
2013-05-03,58,31.73
2013-05-10,68,30.63
2013-05-17,64,31.50
2013-05-24,59,30.95
2013-05-31,68,29.48
2013-06-07,69,29.86
2013-06-14,67,29.81
2013-06-21,57,28.85
2013-06-28,66,28.53
2013-07-05,65,28.78
2013-07-12,71,30.36
2013-07-19,80,30.69
2013-07-26,77,31.58
2013-08-02,57,31.94
2013-08-09,66,32.16
2013-08-16,68,30.96
2013-08-23,71,31.32
2013-08-30,65,30.67
2013-09-06,67,30.94
2013-09-13,68,31.55
2013-09-20,67,32.30
2013-09-27,69,31.80
2013-10-04,77,30.86
2013-10-11,78,30.85
2013-10-18,80,32.45
2013-10-25,74,33.48
2013-11-01,70,33.59
2013-11-08,87,32.68
2013-11-15,98,34.05
2013-11-22,66,33.89
2013-11-29,54,33.53
2013-12-06,71,35.09
2013-12-13,69,33.85
2013-12-20,54,34.67
2013-12-27,37,34.91
2014-01-03,55,34.75
2014-01-10,68,35.80
2014-01-17,70,35.25
2014-01-24,78,33.65
2014-01-31,69,32.76
2014-02-07,67,32.93
2014-02-14,73,34.12
2014-02-21,73,34.30
2014-02-28,78,34.03
2014-03-07,71,35.08
2014-03-14,66,34.25
2014-03-21,71,34.13
2014-03-28,64,34.40
2014-04-04,77,34.54
2014-04-11,67,34.31
2014-04-18,64,
2014-04-25,67,35.34
2014-05-02,65,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
