Date,NBR,Price
2004-01-09,53,
2004-01-16,39,
2004-01-23,49,
2004-01-30,59,
2004-02-06,69,43.97
2004-02-13,43,46.97
2004-02-20,55,45.91
2004-02-27,45,47.35
2004-03-05,53,47.15
2004-03-12,48,44.40
2004-03-19,63,45.30
2004-03-26,60,44.10
2004-04-02,61,45.65
2004-04-09,57,
2004-04-16,72,47.00
2004-04-23,72,45.98
2004-04-30,66,44.36
2004-05-07,63,42.12
2004-05-14,54,42.37
2004-05-21,61,40.30
2004-05-28,71,41.40
2004-06-04,73,40.72
2004-06-11,66,
2004-06-18,66,44.65
2004-06-25,70,45.45
2004-07-02,74,44.45
2004-07-09,64,43.93
2004-07-16,65,45.95
2004-07-23,61,44.10
2004-07-30,60,46.50
2004-08-06,59,44.25
2004-08-13,63,43.23
2004-08-20,65,43.05
2004-08-27,55,44.02
2004-09-03,73,45.25
2004-09-10,65,45.14
2004-09-17,69,45.99
2004-09-24,68,47.10
2004-10-01,82,48.45
2004-10-08,71,49.60
2004-10-15,62,48.05
2004-10-22,72,49.80
2004-10-29,76,49.12
2004-11-05,63,48.87
2004-11-12,50,49.44
2004-11-19,46,51.40
2004-11-26,51,52.75
2004-12-03,76,50.30
2004-12-10,63,49.57
2004-12-17,44,53.19
2004-12-24,48,
2004-12-31,40,51.29
2005-01-07,47,47.00
2005-01-14,64,49.64
2005-01-21,46,49.15
2005-01-28,41,49.68
2005-02-04,48,52.35
2005-02-11,38,55.18
2005-02-18,52,57.20
2005-02-25,56,58.63
2005-03-04,56,59.58
2005-03-11,61,56.02
2005-03-18,60,57.90
2005-03-25,65,
2005-04-01,88,60.31
2005-04-08,59,58.17
2005-04-15,74,55.21
2005-04-22,54,58.98
2005-04-29,61,53.87
2005-05-06,74,55.67
2005-05-13,70,52.12
2005-05-20,72,52.18
2005-05-27,65,54.83
2005-06-03,75,57.50
2005-06-10,70,59.50
2005-06-17,74,60.60
2005-06-24,76,60.75
2005-07-01,78,60.68
2005-07-08,65,62.10
2005-07-15,73,61.21
2005-07-22,66,65.56
2005-07-29,66,65.45
2005-08-05,66,65.85
2005-08-12,67,67.05
2005-08-19,76,64.39
2005-08-26,80,64.02
2005-09-02,78,67.11
2005-09-09,58,69.56
2005-09-16,78,69.73
2005-09-23,76,69.12
2005-09-30,75,71.83
2005-10-07,77,65.76
2005-10-14,68,63.36
2005-10-21,66,61.56
2005-10-28,88,68.75
2005-11-04,65,69.00
2005-11-11,66,64.67
2005-11-18,78,68.66
2005-11-25,73,71.67
2005-12-02,60,71.71
2005-12-09,60,76.29
2005-12-16,62,75.91
2005-12-23,52,77.84
2005-12-30,47,75.75
2006-01-06,62,78.65
2006-01-13,63,77.93
2006-01-20,54,80.12
2006-01-27,63,79.78
2006-02-03,63,77.96
2006-02-10,73,73.10
2006-02-17,73,67.86
2006-02-24,73,67.64
2006-03-03,73,68.19
2006-03-10,84,63.90
2006-03-17,77,65.90
2006-03-24,91,67.62
2006-03-31,95,71.58
2006-04-07,86,71.50
2006-04-14,74,
2006-04-21,100,38.61
2006-04-28,77,37.33
2006-05-05,74,39.33
2006-05-12,79,36.96
2006-05-19,84,35.55
2006-05-26,83,35.75
2006-06-02,73,36.02
2006-06-09,75,32.81
2006-06-16,82,32.43
2006-06-23,71,32.37
2006-06-30,60,33.79
2006-07-07,74,32.52
2006-07-14,73,31.89
2006-07-21,78,29.39
2006-07-28,74,34.00
2006-08-04,72,33.77
2006-08-11,77,33.85
2006-08-18,83,33.83
2006-08-25,73,34.22
2006-09-01,71,33.60
2006-09-08,71,31.61
2006-09-15,74,30.06
2006-09-22,68,28.92
2006-09-29,78,29.75
2006-10-06,56,28.53
2006-10-13,62,30.60
2006-10-20,70,30.64
2006-10-27,75,31.03
2006-11-03,65,31.33
2006-11-10,81,31.88
2006-11-17,69,30.56
2006-11-24,77,32.69
2006-12-01,69,34.57
2006-12-08,78,33.12
2006-12-15,69,32.44
2006-12-22,48,30.71
2006-12-29,38,29.78
2007-01-05,47,28.55
2007-01-12,55,29.27
2007-01-19,57,29.55
2007-01-26,61,29.34
2007-02-02,61,31.55
2007-02-09,66,29.90
2007-02-16,59,29.96
2007-02-23,43,30.64
2007-03-02,65,29.17
2007-03-09,67,29.79
2007-03-16,65,29.28
2007-03-23,70,30.73
2007-03-30,69,29.67
2007-04-06,56,
2007-04-13,72,32.08
2007-04-20,75,31.77
2007-04-27,70,32.74
2007-05-04,64,33.51
2007-05-11,75,34.28
2007-05-18,75,36.08
2007-05-25,78,34.98
2007-06-01,77,35.17
2007-06-08,75,34.20
2007-06-15,70,35.21
2007-06-22,78,35.09
2007-06-29,76,33.38
2007-07-06,73,32.79
2007-07-13,75,32.48
2007-07-20,72,32.41
2007-07-27,80,29.67
2007-08-03,71,27.81
2007-08-10,71,30.31
2007-08-17,84,28.59
2007-08-24,76,30.35
2007-08-31,79,29.59
2007-09-07,70,30.40
2007-09-14,76,31.37
2007-09-21,69,31.67
2007-09-28,70,30.77
2007-10-05,69,29.55
2007-10-12,67,30.40
2007-10-19,77,28.75
2007-10-26,74,27.56
2007-11-02,68,29.14
2007-11-09,75,27.91
2007-11-16,72,27.78
2007-11-23,90,27.51
2007-11-30,87,26.90
2007-12-07,73,27.52
2007-12-14,60,27.81
2007-12-21,54,28.22
2007-12-28,34,27.61
2008-01-04,40,27.13
2008-01-11,52,27.28
2008-01-18,60,25.56
2008-01-25,61,26.19
2008-02-01,61,27.93
2008-02-08,46,30.00
2008-02-15,58,30.70
2008-02-22,67,30.90
2008-02-29,80,31.53
2008-03-07,73,31.61
2008-03-14,74,32.13
2008-03-21,73,
2008-03-28,81,33.39
2008-04-04,82,35.32
2008-04-11,77,34.41
2008-04-18,78,37.72
2008-04-25,75,38.32
2008-05-02,64,38.63
2008-05-09,80,39.66
2008-05-16,75,41.13
2008-05-23,75,41.40
2008-05-30,79,42.04
2008-06-06,84,43.25
2008-06-13,80,44.47
2008-06-20,83,47.12
2008-06-27,81,49.41
2008-07-04,75,
2008-07-11,69,45.58
2008-07-18,71,42.52
2008-07-25,75,39.63
2008-08-01,70,36.72
2008-08-08,87,33.11
2008-08-15,80,32.83
2008-08-22,76,35.03
2008-08-29,82,35.60
2008-09-05,82,31.40
2008-09-12,76,28.90
2008-09-19,81,28.03
2008-09-26,85,26.15
2008-10-03,75,21.20
2008-10-10,75,14.00
2008-10-17,85,15.51
2008-10-24,84,12.84
2008-10-31,89,14.37
2008-11-07,81,15.12
2008-11-14,81,13.61
2008-11-21,78,11.85
2008-11-28,83,14.50
2008-12-05,79,10.95
2008-12-12,72,12.18
2008-12-19,55,11.23
2008-12-26,41,10.85
2009-01-02,35,13.27
2009-01-09,56,12.11
2009-01-16,60,11.29
2009-01-23,64,11.68
2009-01-30,69,10.95
2009-02-06,62,11.83
2009-02-13,69,11.14
2009-02-20,71,9.52
2009-02-27,58,9.71
2009-03-06,76,8.58
2009-03-13,77,8.88
2009-03-20,75,10.33
2009-03-27,79,10.69
2009-04-03,87,12.04
2009-04-10,74,
2009-04-17,82,15.21
2009-04-24,77,16.16
2009-05-01,81,16.31
2009-05-08,85,18.57
2009-05-15,87,16.06
2009-05-22,88,16.80
2009-05-29,89,17.88
2009-06-05,82,18.33
2009-06-12,74,18.29
2009-06-19,89,15.88
2009-06-26,87,15.21
2009-07-03,86,
2009-07-10,73,14.79
2009-07-17,76,16.75
2009-07-24,83,17.08
2009-07-31,77,17.02
2009-08-07,75,17.79
2009-08-14,78,17.70
2009-08-21,87,18.80
2009-08-28,88,18.22
2009-09-04,86,17.96
2009-09-11,83,19.16
2009-09-18,92,20.41
2009-09-25,81,19.48
2009-10-02,86,19.29
2009-10-09,80,21.34
2009-10-16,73,22.49
2009-10-23,88,22.60
2009-10-30,86,20.83
2009-11-06,77,21.99
2009-11-13,80,21.75
2009-11-20,83,19.83
2009-11-27,92,20.57
2009-12-04,78,20.23
2009-12-11,68,20.28
2009-12-18,63,21.95
2009-12-25,43,
2010-01-01,40,
2010-01-08,54,26.87
2010-01-15,63,25.55
2010-01-22,63,23.88
2010-01-29,64,22.30
2010-02-05,63,22.16
2010-02-12,65,23.56
2010-02-19,58,23.38
2010-02-26,70,22.04
2010-03-05,75,22.51
2010-03-12,76,22.51
2010-03-19,77,19.88
2010-03-26,85,18.95
2010-04-02,70,
2010-04-09,77,19.87
2010-04-16,84,19.52
2010-04-23,76,22.61
2010-04-30,77,21.57
2010-05-07,84,18.91
2010-05-14,78,19.61
2010-05-21,89,17.73
2010-05-28,86,19.03
2010-06-04,77,19.38
2010-06-11,86,21.14
2010-06-18,86,21.51
2010-06-25,79,19.10
2010-07-02,76,17.32
2010-07-09,67,18.35
2010-07-16,66,16.95
2010-07-23,66,18.68
2010-07-30,70,18.41
2010-08-06,71,17.98
2010-08-13,76,16.46
2010-08-20,84,16.51
2010-08-27,82,16.25
2010-09-03,78,17.40
2010-09-10,68,17.49
2010-09-17,81,17.05
2010-09-24,83,18.99
2010-10-01,75,17.83
2010-10-08,76,18.59
2010-10-15,62,19.55
2010-10-22,75,19.35
2010-10-29,73,20.90
2010-11-05,60,21.70
2010-11-12,74,21.76
2010-11-19,76,22.41
2010-11-26,80,21.75
2010-12-03,71,23.59
2010-12-10,64,22.88
2010-12-17,58,21.84
2010-12-24,43,
2010-12-31,39,23.46
2011-01-07,48,22.76
2011-01-14,59,22.52
2011-01-21,56,22.44
2011-01-28,55,23.84
2011-02-04,56,25.70
2011-02-11,66,25.71
2011-02-18,65,28.16
2011-02-25,67,28.34
2011-03-04,62,28.26
2011-03-11,51,26.96
2011-03-18,71,26.72
2011-03-25,69,29.57
2011-04-01,77,30.38
2011-04-08,76,31.56
2011-04-15,74,31.34
2011-04-22,62,
2011-04-29,73,30.64
2011-05-06,74,27.40
2011-05-13,75,26.74
2011-05-20,77,26.85
2011-05-27,82,27.62
2011-06-03,81,27.45
2011-06-10,79,26.13
2011-06-17,83,24.03
2011-06-24,68,23.04
2011-07-01,73,24.87
2011-07-08,68,24.43
2011-07-15,67,26.32
2011-07-22,66,27.57
2011-07-29,72,26.41
2011-08-05,66,20.83
2011-08-12,73,19.16
2011-08-19,79,16.43
2011-08-26,76,17.70
2011-09-02,74,17.58
2011-09-09,68,16.79
2011-09-16,78,18.18
2011-09-23,85,14.07
2011-09-30,81,12.26
2011-10-07,70,13.42
2011-10-14,61,15.37
2011-10-21,71,15.22
2011-10-28,71,19.05
2011-11-04,69,19.21
2011-11-11,77,20.57
2011-11-18,68,18.59
2011-11-25,80,15.98
2011-12-02,81,17.52
2011-12-09,66,17.98
2011-12-16,61,16.74
2011-12-23,50,18.24
2011-12-30,36,17.34
2012-01-06,47,18.90
2012-01-13,52,17.44
2012-01-20,56,17.01
2012-01-27,56,17.93
2012-02-03,56,19.44
2012-02-10,60,18.98
2012-02-17,59,20.80
2012-02-24,50,22.31
2012-03-02,72,21.55
2012-03-09,67,20.11
2012-03-16,74,20.82
2012-03-23,73,19.27
2012-03-30,79,17.49
2012-04-06,69,
2012-04-13,78,16.16
2012-04-20,76,15.71
2012-04-27,72,16.30
2012-05-04,68,15.49
2012-05-11,74,15.09
2012-05-18,72,13.06
2012-05-25,81,13.82
2012-06-01,79,13.01
2012-06-08,71,13.37
2012-06-15,77,13.07
2012-06-22,78,13.19
2012-06-29,70,14.40
2012-07-06,67,13.99
2012-07-13,62,13.28
2012-07-20,65,14.29
2012-07-27,66,14.35
2012-08-03,65,13.94
2012-08-10,68,15.23
2012-08-17,77,16.17
2012-08-24,77,15.50
2012-08-31,80,14.77
2012-09-07,68,15.53
2012-09-14,83,16.69
2012-09-21,86,15.30
2012-09-28,82,14.03
2012-10-05,72,14.11
2012-10-12,61,14.53
2012-10-19,71,14.89
2012-10-26,70,13.68
2012-11-02,63,13.55
2012-11-09,72,13.13
2012-11-16,67,13.16
2012-11-23,68,14.02
2012-11-30,70,14.70
2012-12-07,66,14.64
2012-12-14,60,13.71
2012-12-21,47,14.60
2012-12-28,33,14.00
2013-01-04,36,15.41
2013-01-11,46,14.65
2013-01-18,50,15.67
2013-01-25,57,16.63
2013-02-01,66,16.85
2013-02-08,62,16.57
2013-02-15,47,17.68
2013-02-22,68,16.34
2013-03-01,70,16.45
2013-03-08,74,16.59
2013-03-15,73,17.24
2013-03-22,69,15.41
2013-03-29,68,
2013-04-05,78,15.78
2013-04-12,76,16.09
2013-04-19,77,14.83
2013-04-26,78,14.51
2013-05-03,68,15.32
2013-05-10,73,16.12
2013-05-17,75,16.67
2013-05-24,79,16.62
2013-05-31,71,16.01
2013-06-07,77,16.69
2013-06-14,79,15.90
2013-06-21,78,15.68
2013-06-28,72,15.31
2013-07-05,72,16.17
2013-07-12,65,14.80
2013-07-19,70,15.62
2013-07-26,72,14.93
2013-08-02,64,15.74
2013-08-09,70,15.58
2013-08-16,76,15.63
2013-08-23,76,15.90
2013-08-30,83,15.40
2013-09-06,79,15.96
2013-09-13,85,16.37
2013-09-20,89,16.36
2013-09-27,87,16.42
2013-10-04,78,17.45
2013-10-11,71,17.09
2013-10-18,70,17.80
2013-10-25,78,16.76
2013-11-01,79,17.74
2013-11-08,75,17.92
