Date,NI,Price
2004-01-09,32,
2004-01-16,31,
2004-01-23,31,
2004-01-30,33,
2004-02-06,33,21.30
2004-02-13,34,21.45
2004-02-20,35,21.69
2004-02-27,34,21.71
2004-03-05,37,22.09
2004-03-12,35,21.50
2004-03-19,33,21.58
2004-03-26,30,20.98
2004-04-02,31,21.55
2004-04-09,27,
2004-04-16,32,21.25
2004-04-23,30,21.10
2004-04-30,32,20.16
2004-05-07,29,20.10
2004-05-14,30,20.00
2004-05-21,31,19.89
2004-05-28,27,20.26
2004-06-04,29,20.31
2004-06-11,32,
2004-06-18,29,20.70
2004-06-25,34,20.65
2004-07-02,33,20.65
2004-07-09,33,20.94
2004-07-16,33,21.27
2004-07-23,32,21.10
2004-07-30,35,20.70
2004-08-06,36,20.82
2004-08-13,34,20.54
2004-08-20,35,20.78
2004-08-27,34,20.59
2004-09-03,34,20.72
2004-09-10,35,21.00
2004-09-17,35,21.60
2004-09-24,35,20.91
2004-10-01,34,21.45
2004-10-08,35,21.43
2004-10-15,37,21.25
2004-10-22,35,21.01
2004-10-29,34,21.45
2004-11-05,33,21.00
2004-11-12,39,21.48
2004-11-19,33,21.23
2004-11-26,34,21.78
2004-12-03,34,21.77
2004-12-10,33,21.25
2004-12-17,31,21.83
2004-12-24,31,
2004-12-31,29,22.78
2005-01-07,33,21.98
2005-01-14,36,22.96
2005-01-21,37,22.73
2005-01-28,35,22.57
2005-02-04,37,23.08
2005-02-11,37,22.87
2005-02-18,36,22.66
2005-02-25,38,22.89
2005-03-04,37,22.98
2005-03-11,38,22.28
2005-03-18,34,22.70
2005-03-25,36,
2005-04-01,33,22.89
2005-04-08,37,22.92
2005-04-15,34,22.30
2005-04-22,34,22.94
2005-04-29,34,23.24
2005-05-06,33,23.53
2005-05-13,34,23.60
2005-05-20,33,23.70
2005-05-27,36,24.03
2005-06-03,34,23.98
2005-06-10,34,24.00
2005-06-17,37,24.67
2005-06-24,37,24.48
2005-07-01,37,24.94
2005-07-08,35,25.11
2005-07-15,34,24.60
2005-07-22,38,24.41
2005-07-29,37,24.29
2005-08-05,38,23.60
2005-08-12,37,23.20
2005-08-19,38,23.20
2005-08-26,37,23.72
2005-09-02,35,24.26
2005-09-09,38,24.36
2005-09-16,37,24.41
2005-09-23,39,23.57
2005-09-30,38,24.25
2005-10-07,39,23.36
2005-10-14,37,22.67
2005-10-21,37,22.42
2005-10-28,35,23.23
2005-11-04,33,22.52
2005-11-11,38,21.84
2005-11-18,38,21.56
2005-11-25,40,21.97
2005-12-02,38,21.56
2005-12-09,36,21.31
2005-12-16,36,21.96
2005-12-23,34,21.15
2005-12-30,31,20.86
2006-01-06,34,21.11
2006-01-13,38,21.00
2006-01-20,39,21.14
2006-01-27,40,20.53
2006-02-03,40,19.88
2006-02-10,38,20.65
2006-02-17,35,20.81
2006-02-24,40,20.71
2006-03-03,40,20.24
2006-03-10,40,20.30
2006-03-17,38,21.00
2006-03-24,38,20.72
2006-03-31,37,20.22
2006-04-07,36,20.22
2006-04-14,35,
2006-04-21,35,20.83
2006-04-28,37,21.11
2006-05-05,37,21.67
2006-05-12,36,21.62
2006-05-19,37,21.24
2006-05-26,38,21.22
2006-06-02,38,21.91
2006-06-09,37,21.90
2006-06-16,39,21.94
2006-06-23,39,21.90
2006-06-30,38,21.84
2006-07-07,36,22.28
2006-07-14,34,22.30
2006-07-21,38,23.01
2006-07-28,40,23.03
2006-08-04,41,22.12
2006-08-11,41,21.39
2006-08-18,41,21.29
2006-08-25,42,21.06
2006-09-01,40,21.22
2006-09-08,41,21.04
2006-09-15,42,21.07
2006-09-22,46,21.11
2006-09-29,44,21.74
2006-10-06,45,21.62
2006-10-13,48,21.97
2006-10-20,46,23.06
2006-10-27,46,23.09
2006-11-03,44,23.63
2006-11-10,46,23.92
2006-11-17,44,23.88
2006-11-24,45,23.88
2006-12-01,44,24.43
2006-12-08,42,24.39
2006-12-15,42,24.35
2006-12-22,39,24.07
2006-12-29,37,24.10
2007-01-05,43,23.57
2007-01-12,42,23.58
2007-01-19,43,23.28
2007-01-26,45,24.20
2007-02-02,43,23.94
2007-02-09,45,24.35
2007-02-16,44,24.31
2007-02-23,46,24.30
2007-03-02,44,23.54
2007-03-09,47,23.55
2007-03-16,44,23.76
2007-03-23,43,24.35
2007-03-30,42,24.44
2007-04-06,39,
2007-04-13,39,25.01
2007-04-20,40,24.80
2007-04-27,41,24.89
2007-05-04,43,25.03
2007-05-11,42,24.88
2007-05-18,44,25.36
2007-05-25,43,23.91
2007-06-01,42,22.03
2007-06-08,44,21.05
2007-06-15,44,21.50
2007-06-22,47,20.60
2007-06-29,44,20.71
2007-07-06,47,20.85
2007-07-13,43,21.24
2007-07-20,46,21.08
2007-07-27,45,19.23
2007-08-03,46,18.97
2007-08-10,47,19.40
2007-08-17,45,18.92
2007-08-24,45,19.85
2007-08-31,45,18.84
2007-09-07,47,18.72
2007-09-14,46,19.17
2007-09-21,45,19.40
2007-09-28,47,19.14
2007-10-05,47,19.90
2007-10-12,47,20.54
2007-10-19,46,19.64
2007-10-26,43,19.98
2007-11-02,45,18.63
2007-11-09,45,17.92
2007-11-16,47,17.97
2007-11-23,53,18.31
2007-11-30,50,18.51
2007-12-07,51,19.12
2007-12-14,45,18.90
2007-12-21,43,18.88
2007-12-28,39,18.86
2008-01-04,46,18.62
2008-01-11,49,19.24
2008-01-18,47,17.74
2008-01-25,47,17.97
2008-02-01,49,19.14
2008-02-08,50,18.57
2008-02-15,48,18.09
2008-02-22,48,17.96
2008-02-29,49,17.19
2008-03-07,50,17.28
2008-03-14,49,17.18
2008-03-21,47,
2008-03-28,45,17.02
2008-04-04,46,17.78
2008-04-11,47,17.60
2008-04-18,51,18.53
2008-04-25,48,18.40
2008-05-02,49,17.95
2008-05-09,46,17.81
2008-05-16,47,18.16
2008-05-23,47,17.65
2008-05-30,47,18.09
2008-06-06,46,17.21
2008-06-13,50,17.29
2008-06-20,53,17.25
2008-06-27,50,17.62
2008-07-04,52,
2008-07-11,51,17.74
2008-07-18,50,17.18
2008-07-25,52,16.93
2008-08-01,55,16.75
2008-08-08,53,16.81
2008-08-15,56,16.56
2008-08-22,54,16.66
2008-08-29,54,16.48
2008-09-05,53,15.91
2008-09-12,51,16.61
2008-09-19,51,15.59
2008-09-26,52,15.24
2008-10-03,55,14.81
2008-10-10,56,11.55
2008-10-17,54,13.09
2008-10-24,53,12.56
2008-10-31,51,12.96
2008-11-07,52,12.75
2008-11-14,54,11.55
2008-11-21,53,11.39
2008-11-28,54,12.05
2008-12-05,52,11.18
2008-12-12,55,11.64
2008-12-19,50,10.93
2008-12-26,48,10.70
2009-01-02,51,11.14
2009-01-09,54,11.08
2009-01-16,54,10.71
2009-01-23,55,10.48
2009-01-30,55,9.68
2009-02-06,55,10.77
2009-02-13,53,10.17
2009-02-20,56,8.70
2009-02-27,57,8.75
2009-03-06,58,8.17
2009-03-13,56,9.02
2009-03-20,55,9.64
2009-03-27,54,10.07
2009-04-03,55,10.11
2009-04-10,53,
2009-04-17,52,10.65
2009-04-24,56,10.84
