Date,NKE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,71.06
2004-02-13,55,72.32
2004-02-20,57,71.66
2004-02-27,58,73.25
2004-03-05,60,74.83
2004-03-12,61,74.80
2004-03-19,63,76.87
2004-03-26,57,76.25
2004-04-02,57,76.64
2004-04-09,55,
2004-04-16,0,75.91
2004-04-23,0,75.17
2004-04-30,0,71.95
2004-05-07,0,66.57
2004-05-14,0,67.69
2004-05-21,49,67.48
2004-05-28,53,71.15
2004-06-04,56,69.28
2004-06-11,60,
2004-06-18,50,71.62
2004-06-25,50,75.31
2004-07-02,58,75.31
2004-07-09,65,74.49
2004-07-16,72,73.50
2004-07-23,54,70.27
2004-07-30,54,72.71
2004-08-06,54,69.31
2004-08-13,54,69.69
2004-08-20,54,74.26
2004-08-27,46,75.95
2004-09-03,46,76.81
2004-09-10,51,75.65
2004-09-17,52,76.56
2004-09-24,54,79.70
2004-10-01,56,79.88
2004-10-08,58,79.09
2004-10-15,60,78.10
2004-10-22,61,79.11
2004-10-29,46,81.31
2004-11-05,46,86.12
2004-11-12,46,86.40
2004-11-19,46,82.50
2004-11-26,54,85.09
2004-12-03,62,86.72
2004-12-10,74,87.00
2004-12-17,64,91.70
2004-12-24,51,
2004-12-31,36,90.69
2005-01-07,36,87.70
2005-01-14,36,88.95
2005-01-21,36,86.30
2005-01-28,57,86.49
2005-02-04,39,87.04
2005-02-11,43,84.65
2005-02-18,49,85.51
2005-02-25,35,87.25
2005-03-04,35,87.60
2005-03-11,60,86.60
2005-03-18,40,85.40
2005-03-25,47,
2005-04-01,35,83.00
2005-04-08,59,82.31
2005-04-15,46,75.86
2005-04-22,60,77.82
2005-04-29,39,76.81
2005-05-06,67,77.78
2005-05-13,60,76.45
2005-05-20,64,82.09
2005-05-27,68,82.43
2005-06-03,64,83.75
2005-06-10,35,85.96
2005-06-17,35,88.38
2005-06-24,60,89.35
2005-07-01,39,86.01
2005-07-08,43,86.24
2005-07-15,76,88.50
2005-07-22,39,86.63
2005-07-29,84,83.80
2005-08-05,62,85.03
2005-08-12,44,81.58
2005-08-19,45,80.34
2005-08-26,65,79.72
2005-09-02,54,77.02
2005-09-09,65,78.52
2005-09-16,48,78.46
2005-09-23,58,81.27
2005-09-30,35,81.68
2005-10-07,61,82.77
2005-10-14,33,81.70
2005-10-21,74,83.48
2005-10-28,53,82.80
2005-11-04,43,87.80
2005-11-11,52,86.92
2005-11-18,59,87.70
2005-11-25,45,88.21
2005-12-02,64,87.60
2005-12-09,57,85.90
2005-12-16,71,88.50
2005-12-23,78,87.00
2005-12-30,44,86.79
2006-01-06,50,85.80
2006-01-13,69,86.20
2006-01-20,30,84.20
2006-01-27,58,83.15
2006-02-03,59,83.69
2006-02-10,71,84.47
2006-02-17,70,84.90
2006-02-24,85,87.20
2006-03-03,75,86.30
2006-03-10,58,84.99
2006-03-17,60,85.42
2006-03-24,77,85.96
2006-03-31,46,85.10
2006-04-07,85,83.63
2006-04-14,79,
2006-04-21,74,83.02
2006-04-28,100,81.84
2006-05-05,70,81.55
2006-05-12,86,81.50
2006-05-19,74,78.70
2006-05-26,79,81.01
2006-06-02,72,81.79
2006-06-09,82,81.13
2006-06-16,77,83.15
2006-06-23,65,84.36
2006-06-30,69,81.00
2006-07-07,54,79.08
2006-07-14,57,78.58
2006-07-21,81,80.06
2006-07-28,53,79.90
2006-08-04,54,78.67
2006-08-11,49,76.51
2006-08-18,42,76.71
2006-08-25,61,76.77
2006-09-01,76,81.14
2006-09-08,74,82.05
2006-09-15,48,82.97
2006-09-22,74,86.36
2006-09-29,65,87.62
2006-10-06,60,88.15
2006-10-13,67,89.60
2006-10-20,47,88.60
2006-10-27,60,91.86
2006-11-03,45,92.57
2006-11-10,63,94.07
2006-11-17,86,95.58
2006-11-24,67,96.73
2006-12-01,51,97.60
2006-12-08,53,97.04
2006-12-15,49,96.05
2006-12-22,81,99.94
2006-12-29,41,99.03
2007-01-05,55,98.83
2007-01-12,51,99.76
2007-01-19,54,99.94
2007-01-26,47,95.20
2007-02-02,69,100.20
2007-02-09,59,103.60
2007-02-16,57,106.30
2007-02-23,60,108.04
2007-03-02,70,103.86
2007-03-09,70,105.85
2007-03-16,88,107.47
2007-03-23,76,109.05
2007-03-30,70,106.26
2007-04-06,59,
2007-04-13,79,53.65
2007-04-20,52,53.53
2007-04-27,61,54.12
2007-05-04,66,53.29
2007-05-11,82,53.03
2007-05-18,42,53.25
2007-05-25,54,54.28
2007-06-01,57,56.69
2007-06-08,55,52.96
2007-06-15,53,53.42
2007-06-22,45,52.95
2007-06-29,74,58.29
2007-07-06,60,59.67
2007-07-13,68,59.01
2007-07-20,56,58.52
2007-07-27,52,55.44
2007-08-03,46,56.50
2007-08-10,58,55.78
2007-08-17,53,54.47
2007-08-24,56,54.12
2007-08-31,61,56.34
2007-09-07,58,54.70
2007-09-14,49,57.23
2007-09-21,75,57.26
2007-09-28,68,58.66
2007-10-05,63,60.35
2007-10-12,64,63.15
2007-10-19,72,63.33
2007-10-26,56,64.61
2007-11-02,63,63.87
2007-11-09,59,62.21
2007-11-16,56,62.64
2007-11-23,69,63.75
2007-11-30,66,65.65
2007-12-07,71,65.40
2007-12-14,58,64.32
2007-12-21,78,66.27
2007-12-28,51,64.31
2008-01-04,70,61.74
2008-01-11,57,60.70
2008-01-18,67,56.50
2008-01-25,50,56.00
2008-02-01,55,62.51
2008-02-08,64,60.64
2008-02-15,59,62.29
2008-02-22,62,60.59
2008-02-29,65,60.20
2008-03-07,65,58.24
2008-03-14,62,59.96
2008-03-21,88,
2008-03-28,72,65.86
2008-04-04,73,68.51
2008-04-11,74,66.69
2008-04-18,81,67.89
2008-04-25,69,68.74
2008-05-02,79,67.66
2008-05-09,67,64.87
2008-05-16,67,67.53
2008-05-23,53,64.77
2008-05-30,69,68.37
2008-06-06,69,67.93
2008-06-13,65,68.99
2008-06-20,53,66.73
2008-06-27,65,60.34
2008-07-04,46,
2008-07-11,57,56.26
2008-07-18,70,58.20
2008-07-25,57,58.17
2008-08-01,44,59.40
2008-08-08,69,62.95
2008-08-15,49,62.29
2008-08-22,66,61.11
2008-08-29,62,60.61
2008-09-05,61,58.82
2008-09-12,71,61.92
2008-09-19,69,63.70
2008-09-26,81,67.79
2008-10-03,83,63.25
2008-10-10,70,54.53
2008-10-17,69,57.48
2008-10-24,57,47.79
2008-10-31,67,57.63
2008-11-07,63,49.41
2008-11-14,63,46.53
2008-11-21,56,47.88
2008-11-28,61,53.25
2008-12-05,54,53.34
2008-12-12,74,49.37
2008-12-19,67,51.26
2008-12-26,62,49.76
2009-01-02,49,53.06
2009-01-09,55,49.61
2009-01-16,49,46.80
2009-01-23,66,45.68
2009-01-30,58,45.25
2009-02-06,53,48.68
2009-02-13,66,43.43
2009-02-20,52,42.93
2009-02-27,56,41.53
2009-03-06,52,39.94
2009-03-13,69,44.67
2009-03-20,69,45.02
2009-03-27,61,46.84
2009-04-03,63,51.87
2009-04-10,60,
2009-04-17,71,54.61
2009-04-24,68,54.73
2009-05-01,57,52.92
2009-05-08,64,54.42
2009-05-15,60,49.75
2009-05-22,44,52.41
2009-05-29,56,57.05
2009-06-05,55,58.29
2009-06-12,59,56.61
2009-06-19,51,56.70
2009-06-26,50,50.84
2009-07-03,53,
2009-07-10,51,51.30
2009-07-17,54,52.44
2009-07-24,54,52.17
2009-07-31,50,56.64
2009-08-07,58,58.07
2009-08-14,51,56.86
2009-08-21,60,55.65
2009-08-28,58,56.18
2009-09-04,56,54.23
2009-09-11,59,54.99
2009-09-18,61,58.59
2009-09-25,62,58.64
2009-10-02,66,62.02
2009-10-09,56,63.59
2009-10-16,57,65.10
2009-10-23,50,64.17
2009-10-30,50,62.18
2009-11-06,49,64.56
2009-11-13,58,64.42
2009-11-20,48,63.92
2009-11-27,59,65.05
2009-12-04,58,64.30
2009-12-11,53,63.86
2009-12-18,52,64.42
2009-12-25,36,
2010-01-01,37,
2010-01-08,37,65.72
2010-01-15,40,64.39
2010-01-22,44,62.98
2010-01-29,46,63.75
2010-02-05,42,61.70
2010-02-12,41,62.49
2010-02-19,52,64.35
2010-02-26,54,67.60
2010-03-05,48,68.32
2010-03-12,47,69.90
2010-03-19,46,73.52
2010-03-26,62,73.89
2010-04-02,45,
2010-04-09,49,75.18
2010-04-16,51,75.17
2010-04-23,45,77.90
2010-04-30,54,75.91
2010-05-07,55,70.61
2010-05-14,47,73.74
2010-05-21,45,71.39
2010-05-28,49,72.38
2010-06-04,44,70.77
2010-06-11,35,72.33
2010-06-18,41,74.94
2010-06-25,47,70.12
2010-07-02,45,67.86
2010-07-09,53,70.15
2010-07-16,48,68.96
2010-07-23,37,72.74
2010-07-30,49,73.64
2010-08-06,47,73.96
2010-08-13,43,70.58
2010-08-20,41,71.26
2010-08-27,37,70.94
2010-09-03,42,74.25
2010-09-10,47,73.75
2010-09-17,47,77.26
2010-09-24,54,79.57
2010-10-01,52,80.25
2010-10-08,49,82.04
2010-10-15,42,82.00
2010-10-22,34,81.92
2010-10-29,43,81.44
2010-11-05,36,84.11
2010-11-12,39,82.62
2010-11-19,38,85.81
2010-11-26,45,85.96
2010-12-03,46,87.53
2010-12-10,45,87.80
2010-12-17,42,90.05
2010-12-24,59,
2010-12-31,40,85.42
2011-01-07,37,83.53
2011-01-14,42,84.07
2011-01-21,38,82.30
2011-01-28,46,81.46
2011-02-04,41,85.74
2011-02-11,46,86.21
2011-02-18,42,88.82
2011-02-25,44,87.98
2011-03-04,45,89.88
2011-03-11,46,87.17
2011-03-18,53,77.59
2011-03-25,60,76.66
2011-04-01,42,76.53
2011-04-08,45,77.39
2011-04-15,45,78.73
2011-04-22,52,
2011-04-29,47,82.32
2011-05-06,40,82.02
2011-05-13,47,86.26
2011-05-20,39,85.05
2011-05-27,40,84.62
2011-06-03,41,80.36
2011-06-10,42,79.66
2011-06-17,39,81.11
2011-06-24,37,81.18
2011-07-01,67,91.82
2011-07-08,34,93.24
2011-07-15,45,91.70
2011-07-22,34,91.71
2011-07-29,45,90.15
2011-08-05,46,83.87
2011-08-12,51,84.24
2011-08-19,46,78.58
2011-08-26,45,86.29
2011-09-02,40,84.04
2011-09-09,44,82.50
2011-09-16,42,89.77
2011-09-23,52,88.64
2011-09-30,51,85.51
2011-10-07,44,88.15
2011-10-14,40,92.97
2011-10-21,44,94.35
2011-10-28,44,96.75
2011-11-04,39,94.38
2011-11-11,48,96.15
2011-11-18,43,92.75
2011-11-25,44,90.28
2011-12-02,41,96.25
2011-12-09,46,97.68
2011-12-16,46,93.67
2011-12-23,47,96.90
2011-12-30,33,96.37
2012-01-06,43,97.99
2012-01-13,43,98.30
2012-01-20,47,101.76
2012-01-27,51,102.11
2012-02-03,48,103.50
2012-02-10,54,105.41
2012-02-17,59,106.68
2012-02-24,55,106.29
2012-03-02,58,108.74
2012-03-09,57,109.98
2012-03-16,49,111.22
2012-03-23,77,107.42
2012-03-30,62,108.44
2012-04-06,65,
2012-04-13,65,109.17
2012-04-20,65,110.77
2012-04-27,65,110.64
2012-05-04,65,111.81
2012-05-11,62,108.26
2012-05-18,64,105.44
2012-05-25,68,108.79
2012-06-01,53,104.60
2012-06-08,71,108.64
2012-06-15,68,101.75
2012-06-22,61,99.40
2012-06-29,87,87.78
2012-07-06,68,91.38
2012-07-13,59,93.97
2012-07-20,54,93.08
2012-07-27,72,97.03
2012-08-03,54,94.57
2012-08-10,62,94.50
2012-08-17,62,96.26
2012-08-24,62,96.86
2012-08-31,68,97.36
2012-09-07,73,99.29
2012-09-14,71,96.64
2012-09-21,68,96.52
2012-09-28,71,94.91
2012-10-05,65,95.22
2012-10-12,56,94.42
2012-10-19,51,96.45
2012-10-26,48,91.15
2012-11-02,44,94.54
2012-11-09,52,92.31
2012-11-16,55,92.59
2012-11-23,62,96.75
2012-11-30,61,97.48
2012-12-07,67,98.59
2012-12-14,71,96.91
2012-12-21,81,105.10
2012-12-28,69,50.99
2013-01-04,62,52.88
2013-01-11,76,53.10
2013-01-18,75,53.29
2013-01-25,66,55.55
2013-02-01,79,53.70
2013-02-08,64,54.59
2013-02-15,68,54.95
2013-02-22,62,54.47
2013-03-01,63,54.82
2013-03-08,54,54.69
2013-03-15,55,54.78
2013-03-22,65,59.53
2013-03-29,62,
2013-04-05,55,58.97
2013-04-12,59,60.58
2013-04-19,66,60.92
2013-04-26,63,61.89
2013-05-03,65,64.55
2013-05-10,70,64.76
2013-05-17,77,65.32
2013-05-24,74,62.79
2013-05-31,75,61.66
2013-06-07,67,62.75
2013-06-14,58,61.89
2013-06-21,60,60.57
2013-06-28,56,63.68
2013-07-05,51,63.64
2013-07-12,48,63.67
2013-07-19,45,63.35
2013-07-26,47,62.53
2013-08-02,52,66.30
2013-08-09,48,66.31
2013-08-16,53,63.65
2013-08-23,54,64.21
2013-08-30,63,62.82
2013-09-06,72,64.98
2013-09-13,73,67.91
2013-09-20,63,69.37
2013-09-27,81,73.64
2013-10-04,72,72.14
2013-10-11,79,73.46
2013-10-18,69,75.93
2013-10-25,62,75.70
2013-11-01,62,76.06
2013-11-08,67,77.12
2013-11-15,68,79.22
2013-11-22,73,78.87
2013-11-29,71,79.14
2013-12-06,76,79.86
2013-12-13,83,76.40
2013-12-20,90,77.34
2013-12-27,52,78.16
2014-01-03,60,78.03
2014-01-10,83,76.92
2014-01-17,75,73.39
2014-01-24,73,71.65
2014-01-31,78,72.85
2014-02-07,74,72.69
2014-02-14,69,75.07
2014-02-21,68,76.48
2014-02-28,60,78.30
2014-03-07,63,79.46
2014-03-14,65,78.32
2014-03-21,78,75.21
2014-03-28,71,73.54
2014-04-04,65,72.84
2014-04-11,70,71.25
2014-04-18,64,
2014-04-25,70,72.70
2014-05-02,73,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
