Date,News Corporation,Price
2004-01-09,71,
2004-01-16,49,
2004-01-23,54,
2004-01-30,81,
2004-02-06,46,
2004-02-13,71,
2004-02-20,65,
2004-02-27,67,
2004-03-05,46,
2004-03-12,53,
2004-03-19,61,
2004-03-26,57,
2004-04-02,75,
2004-04-09,100,
2004-04-16,58,
2004-04-23,67,
2004-04-30,52,
2004-05-07,67,
2004-05-14,50,
2004-05-21,64,
2004-05-28,49,
2004-06-04,42,
2004-06-11,47,
2004-06-18,42,
2004-06-25,54,
2004-07-02,48,
2004-07-09,49,
2004-07-16,67,
2004-07-23,33,
2004-07-30,44,
2004-08-06,46,
2004-08-13,61,
2004-08-20,34,
2004-08-27,36,
2004-09-03,64,
2004-09-10,49,
2004-09-17,39,
2004-09-24,46,
2004-10-01,64,
2004-10-08,72,
2004-10-15,66,
2004-10-22,49,
2004-10-29,60,
2004-11-05,88,
2004-11-12,60,
2004-11-19,57,
2004-11-26,43,
2004-12-03,43,
2004-12-10,72,
2004-12-17,41,
2004-12-24,56,
2004-12-31,33,
2005-01-07,50,
2005-01-14,47,
2005-01-21,45,
2005-01-28,59,
2005-02-04,62,
2005-02-11,73,
2005-02-18,42,
2005-02-25,50,
2005-03-04,33,
2005-03-11,39,
2005-03-18,68,
2005-03-25,54,
2005-04-01,42,
2005-04-08,47,
2005-04-15,59,
2005-04-22,57,
2005-04-29,44,
2005-05-06,56,
2005-05-13,57,
2005-05-20,57,
2005-05-27,46,
2005-06-03,47,
2005-06-10,49,
2005-06-17,49,
2005-06-24,31,
2005-07-01,49,
2005-07-08,51,
2005-07-15,31,
2005-07-22,50,
2005-07-29,46,
2005-08-05,62,
2005-08-12,59,
2005-08-19,34,
2005-08-26,34,
2005-09-02,40,
2005-09-09,47,
2005-09-16,40,
2005-09-23,56,
2005-09-30,50,
2005-10-07,55,
2005-10-14,53,
2005-10-21,48,
2005-10-28,42,
2005-11-04,32,
2005-11-11,39,
2005-11-18,48,
2005-11-25,38,
2005-12-02,38,
2005-12-09,43,
2005-12-16,31,
2005-12-23,36,
2005-12-30,26,
2006-01-06,30,
2006-01-13,47,
2006-01-20,41,
2006-01-27,30,
2006-02-03,45,
2006-02-10,47,
2006-02-17,41,
2006-02-24,32,
2006-03-03,55,
2006-03-10,42,
2006-03-17,29,
2006-03-24,43,
2006-03-31,29,
2006-04-07,47,
2006-04-14,40,
2006-04-21,40,
2006-04-28,40,
2006-05-05,49,
2006-05-12,48,
2006-05-19,39,
2006-05-26,45,
2006-06-02,34,
2006-06-09,26,
2006-06-16,30,
2006-06-23,41,
2006-06-30,36,
2006-07-07,31,
2006-07-14,39,
2006-07-21,43,
2006-07-28,39,
2006-08-04,44,
2006-08-11,38,
2006-08-18,31,
2006-08-25,35,
2006-09-01,38,
2006-09-08,37,
2006-09-15,37,
2006-09-22,35,
2006-09-29,39,
2006-10-06,33,
2006-10-13,40,
2006-10-20,42,
2006-10-27,39,
2006-11-03,39,
2006-11-10,44,
2006-11-17,40,
2006-11-24,35,
2006-12-01,39,
2006-12-08,45,
2006-12-15,38,
2006-12-22,29,
2006-12-29,21,
2007-01-05,22,
2007-01-12,38,
2007-01-19,28,
2007-01-26,37,
2007-02-02,50,
2007-02-09,30,
2007-02-16,39,
2007-02-23,38,
2007-03-02,30,
2007-03-09,34,
2007-03-16,39,
2007-03-23,46,
2007-03-30,40,
2007-04-06,32,
2007-04-13,33,
2007-04-20,33,
2007-04-27,31,
2007-05-04,46,
2007-05-11,39,
2007-05-18,38,
2007-05-25,36,
2007-06-01,34,
2007-06-08,33,
2007-06-15,31,
2007-06-22,34,
2007-06-29,44,
2007-07-06,35,
2007-07-13,34,
2007-07-20,39,
2007-07-27,39,
2007-08-03,44,
2007-08-10,35,
2007-08-17,41,
2007-08-24,37,
2007-08-31,37,
2007-09-07,33,
2007-09-14,26,
2007-09-21,37,
2007-09-28,35,
2007-10-05,36,
2007-10-12,35,
2007-10-19,37,
2007-10-26,40,
2007-11-02,29,
2007-11-09,32,
2007-11-16,35,
2007-11-23,36,
2007-11-30,35,
2007-12-07,56,
2007-12-14,41,
2007-12-21,34,
2007-12-28,21,
2008-01-04,31,
2008-01-11,36,
2008-01-18,35,
2008-01-25,29,
2008-02-01,34,
2008-02-08,35,
2008-02-15,35,
2008-02-22,31,
2008-02-29,31,
2008-03-07,32,
2008-03-14,36,
2008-03-21,36,
2008-03-28,39,
2008-04-04,38,
2008-04-11,36,
2008-04-18,28,
2008-04-25,32,
2008-05-02,30,
2008-05-09,31,
2008-05-16,36,
2008-05-23,25,
2008-05-30,31,
2008-06-06,30,
2008-06-13,31,
2008-06-20,29,
2008-06-27,28,
2008-07-04,25,
2008-07-11,26,
2008-07-18,33,
2008-07-25,28,
2008-08-01,30,
2008-08-08,37,
2008-08-15,32,
2008-08-22,31,
2008-08-29,26,
2008-09-05,28,
2008-09-12,34,
2008-09-19,37,
2008-09-26,34,
2008-10-03,38,
2008-10-10,35,
2008-10-17,42,
2008-10-24,32,
2008-10-31,38,
2008-11-07,38,
2008-11-14,32,
2008-11-21,32,
2008-11-28,32,
2008-12-05,38,
2008-12-12,31,
2008-12-19,30,
2008-12-26,23,
2009-01-02,29,
2009-01-09,40,
2009-01-16,31,
2009-01-23,34,
2009-01-30,48,
2009-02-06,41,
2009-02-13,38,
2009-02-20,44,
2009-02-27,43,
2009-03-06,54,
2009-03-13,34,
2009-03-20,48,
2009-03-27,42,
2009-04-03,39,
2009-04-10,38,
2009-04-17,40,
2009-04-24,43,
2009-05-01,35,
2009-05-08,36,
2009-05-15,36,
2009-05-22,43,
2009-05-29,42,
2009-06-05,42,
2009-06-12,46,
2009-06-19,46,
2009-06-26,44,
2009-07-03,52,
2009-07-10,44,
2009-07-17,43,
2009-07-24,40,
2009-07-31,38,
2009-08-07,50,
2009-08-14,38,
2009-08-21,47,
2009-08-28,44,
2009-09-04,42,
2009-09-11,34,
2009-09-18,43,
2009-09-25,40,
2009-10-02,35,
2009-10-09,39,
2009-10-16,42,
2009-10-23,38,
2009-10-30,45,
2009-11-06,31,
2009-11-13,44,
2009-11-20,40,
2009-11-27,40,
2009-12-04,36,
2009-12-11,45,
2009-12-18,36,
2009-12-25,26,
