Date,Noble Corp,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,37.75
2004-02-13,0,39.76
2004-02-20,0,40.10
2004-02-27,0,40.60
2004-03-05,0,41.59
2004-03-12,0,39.70
2004-03-19,0,39.14
2004-03-26,0,37.71
2004-04-02,0,37.09
2004-04-09,0,
2004-04-16,0,38.82
2004-04-23,0,38.01
2004-04-30,0,37.16
2004-05-07,0,35.30
2004-05-14,0,34.05
2004-05-21,0,33.95
2004-05-28,0,34.46
2004-06-04,0,34.48
2004-06-11,0,
2004-06-18,0,36.83
2004-06-25,0,37.39
2004-07-02,0,38.06
2004-07-09,0,38.42
2004-07-16,0,39.75
2004-07-23,0,38.05
2004-07-30,0,38.72
2004-08-06,0,36.71
2004-08-13,0,36.19
2004-08-20,0,38.19
2004-08-27,0,39.19
2004-09-03,0,42.33
2004-09-10,0,42.01
2004-09-17,0,44.68
2004-09-24,0,45.35
2004-10-01,0,46.07
2004-10-08,0,45.91
2004-10-15,0,44.83
2004-10-22,0,46.65
2004-10-29,0,45.68
2004-11-05,0,44.64
2004-11-12,0,45.55
2004-11-19,0,46.99
2004-11-26,0,48.32
2004-12-03,0,46.35
2004-12-10,0,46.16
2004-12-17,0,49.34
2004-12-24,0,
2004-12-31,0,49.74
2005-01-07,0,47.76
2005-01-14,0,52.28
2005-01-21,0,52.41
2005-01-28,0,52.41
2005-02-04,0,54.92
2005-02-11,0,56.33
2005-02-18,0,56.73
2005-02-25,0,57.18
2005-03-04,0,58.19
2005-03-11,0,55.12
2005-03-18,0,56.51
2005-03-25,0,
2005-04-01,0,58.30
2005-04-08,0,55.42
2005-04-15,0,51.68
2005-04-22,0,54.73
2005-04-29,0,50.90
2005-05-06,0,53.57
2005-05-13,0,50.09
2005-05-20,0,52.64
2005-05-27,0,56.29
2005-06-03,0,57.89
2005-06-10,0,61.60
2005-06-17,0,63.08
2005-06-24,0,63.15
2005-07-01,0,61.88
2005-07-08,0,62.21
2005-07-15,0,61.30
2005-07-22,0,67.50
2005-07-29,0,67.18
2005-08-05,0,70.02
2005-08-12,0,70.20
2005-08-19,0,68.89
2005-08-26,0,68.30
2005-09-02,0,69.77
2005-09-09,0,71.65
2005-09-16,0,70.15
2005-09-23,0,68.63
2005-09-30,0,68.46
2005-10-07,0,61.85
2005-10-14,0,61.16
2005-10-21,0,61.69
2005-10-28,0,64.00
2005-11-04,0,68.84
2005-11-11,0,67.00
2005-11-18,0,70.15
2005-11-25,0,73.72
2005-12-02,0,73.37
2005-12-09,0,74.33
2005-12-16,0,71.89
2005-12-23,0,72.97
2005-12-30,0,70.54
2006-01-06,0,77.00
2006-01-13,0,77.90
2006-01-20,0,82.55
2006-01-27,0,81.18
2006-02-03,0,75.75
2006-02-10,0,73.43
2006-02-17,0,72.96
2006-02-24,0,74.12
2006-03-03,0,78.61
2006-03-10,0,74.92
2006-03-17,0,79.48
2006-03-24,0,76.94
2006-03-31,0,81.10
2006-04-07,0,82.68
2006-04-14,0,
2006-04-21,0,84.85
2006-04-28,0,78.94
2006-05-05,0,82.60
2006-05-12,0,77.69
2006-05-19,0,68.98
2006-05-26,0,69.58
2006-06-02,0,71.79
2006-06-09,0,66.68
2006-06-16,0,69.11
2006-06-23,0,70.02
2006-06-30,0,74.42
2006-07-07,0,74.41
2006-07-14,0,73.75
2006-07-21,0,67.54
2006-07-28,0,70.67
2006-08-04,0,66.85
2006-08-11,0,64.60
2006-08-18,0,66.12
2006-08-25,0,67.46
2006-09-01,0,67.51
2006-09-08,0,65.96
2006-09-15,0,62.94
2006-09-22,0,62.51
2006-09-29,0,64.18
2006-10-06,0,61.89
2006-10-13,0,63.59
2006-10-20,0,68.86
2006-10-27,0,68.72
2006-11-03,0,70.77
2006-11-10,0,71.55
2006-11-17,0,71.85
2006-11-24,0,75.13
2006-12-01,0,80.15
2006-12-08,0,80.79
2006-12-15,0,80.56
2006-12-22,0,76.65
2006-12-29,0,76.15
2007-01-05,0,71.44
2007-01-12,0,70.80
2007-01-19,0,72.02
2007-01-26,0,71.58
2007-02-02,0,75.76
2007-02-09,0,72.75
2007-02-16,0,70.12
2007-02-23,0,71.98
2007-03-02,0,69.65
2007-03-09,0,74.14
2007-03-16,0,74.24
2007-03-23,0,80.60
2007-03-30,0,78.68
2007-04-06,0,
2007-04-13,0,82.08
2007-04-20,0,80.29
2007-04-27,0,87.19
2007-05-04,0,88.05
2007-05-11,0,88.32
2007-05-18,0,91.63
2007-05-25,0,90.59
2007-06-01,0,92.26
2007-06-08,0,89.58
2007-06-15,0,95.36
2007-06-22,0,98.75
2007-06-29,0,97.52
2007-07-06,0,102.16
2007-07-13,0,101.73
2007-07-20,0,102.46
2007-07-27,0,102.26
2007-08-03,0,97.27
2007-08-10,0,97.09
2007-08-17,0,95.15
2007-08-24,88,100.93
2007-08-31,0,49.06
2007-09-07,0,50.52
2007-09-14,0,48.30
2007-09-21,0,50.74
2007-09-28,0,49.05
2007-10-05,80,47.76
2007-10-12,0,50.15
2007-10-19,0,50.37
2007-10-26,0,53.16
2007-11-02,0,53.66
2007-11-09,0,53.22
2007-11-16,0,50.96
2007-11-23,0,51.08
2007-11-30,0,52.13
2007-12-07,0,53.71
2007-12-14,0,51.85
2007-12-21,0,54.70
2007-12-28,0,56.85
2008-01-04,0,54.99
2008-01-11,0,51.63
2008-01-18,0,45.41
2008-01-25,0,44.82
2008-02-01,0,45.29
2008-02-08,0,45.46
2008-02-15,0,47.75
2008-02-22,0,48.97
2008-02-29,0,49.15
2008-03-07,74,48.46
2008-03-14,71,49.56
2008-03-21,71,
2008-03-28,66,48.05
2008-04-04,66,52.97
2008-04-11,99,52.77
2008-04-18,87,57.46
2008-04-25,87,59.63
2008-05-02,65,58.08
2008-05-09,65,62.62
2008-05-16,65,65.44
2008-05-23,65,62.87
2008-05-30,64,63.14
2008-06-06,64,63.19
2008-06-13,0,65.19
2008-06-20,0,63.97
2008-06-27,0,64.76
2008-07-04,0,
2008-07-11,0,58.91
2008-07-18,0,55.95
2008-07-25,0,53.65
2008-08-01,66,52.64
2008-08-08,67,48.93
2008-08-15,73,49.37
2008-08-22,78,51.41
2008-08-29,83,50.29
2008-09-05,74,44.96
2008-09-12,64,46.92
2008-09-19,64,46.88
2008-09-26,64,46.91
2008-10-03,64,37.49
2008-10-10,64,25.14
2008-10-17,69,28.37
2008-10-24,73,25.90
2008-10-31,55,32.21
2008-11-07,0,29.09
2008-11-14,0,26.89
2008-11-21,0,22.72
2008-11-28,0,26.79
2008-12-05,0,21.83
2008-12-12,62,24.87
2008-12-19,63,21.83
2008-12-26,65,21.47
2009-01-02,66,23.75
2009-01-09,70,22.87
2009-01-16,67,21.61
2009-01-23,67,24.92
2009-01-30,73,27.15
2009-02-06,60,28.48
2009-02-13,60,26.62
2009-02-20,55,24.96
2009-02-27,55,24.59
2009-03-06,55,22.59
2009-03-13,55,24.37
2009-03-20,62,25.18
2009-03-27,69,24.81
2009-04-03,55,26.10
2009-04-10,100,
2009-04-17,64,27.57
2009-04-24,64,28.98
2009-05-01,53,28.45
2009-05-08,53,30.90
2009-05-15,53,27.92
2009-05-22,53,31.04
2009-05-29,53,34.37
2009-06-05,55,35.31
2009-06-12,57,36.22
2009-06-19,0,33.47
2009-06-26,0,31.38
2009-07-03,0,
2009-07-10,0,29.40
2009-07-17,0,31.26
2009-07-24,69,34.02
2009-07-31,57,33.86
2009-08-07,57,34.44
2009-08-14,57,34.46
2009-08-21,57,36.10
2009-08-28,57,35.88
2009-09-04,46,35.47
2009-09-11,54,36.90
2009-09-18,53,38.11
2009-09-25,48,36.96
2009-10-02,48,36.15
2009-10-09,48,40.44
2009-10-16,51,42.54
2009-10-23,55,43.81
2009-10-30,55,40.74
2009-11-06,42,42.34
2009-11-13,41,43.28
2009-11-20,45,40.02
2009-11-27,49,41.21
2009-12-04,53,39.95
2009-12-11,0,40.40
2009-12-18,0,41.09
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,44.87
2010-01-15,39,43.73
2010-01-22,38,41.59
2010-01-29,38,40.32
2010-02-05,42,39.73
2010-02-12,37,40.69
2010-02-19,37,42.77
2010-02-26,37,42.26
2010-03-05,38,44.25
2010-03-12,41,43.50
2010-03-19,41,41.32
2010-03-26,41,39.59
2010-04-02,40,
2010-04-09,42,41.64
2010-04-16,45,40.38
2010-04-23,67,43.63
2010-04-30,42,39.49
2010-05-07,42,35.78
2010-05-14,46,34.64
2010-05-21,51,32.42
2010-05-28,55,29.07
2010-06-04,59,27.56
2010-06-11,73,29.78
2010-06-18,63,31.56
2010-06-25,43,29.28
2010-07-02,74,32.33
2010-07-09,40,31.67
2010-07-16,40,30.36
2010-07-23,55,31.81
2010-07-30,41,32.50
2010-08-06,41,34.43
2010-08-13,36,32.60
2010-08-20,51,31.50
2010-08-27,35,31.85
2010-09-03,48,32.70
2010-09-10,42,34.86
2010-09-17,40,35.08
2010-09-24,37,34.23
2010-10-01,39,33.50
2010-10-08,32,34.12
2010-10-15,32,35.90
2010-10-22,32,34.17
2010-10-29,51,34.53
2010-11-05,35,36.34
2010-11-12,35,36.90
2010-11-19,57,36.13
2010-11-26,49,34.39
2010-12-03,49,33.59
2010-12-10,37,34.67
2010-12-17,37,35.10
2010-12-24,45,
2010-12-31,36,35.77
2011-01-07,34,36.76
2011-01-14,30,38.09
2011-01-21,41,37.64
2011-01-28,52,37.34
2011-02-04,30,37.60
2011-02-11,40,38.91
2011-02-18,44,42.07
2011-02-25,47,44.19
2011-03-04,50,44.84
2011-03-11,59,44.10
2011-03-18,31,43.33
2011-03-25,36,45.14
2011-04-01,45,45.29
2011-04-08,69,45.60
2011-04-15,48,42.77
2011-04-22,39,
2011-04-29,38,43.01
2011-05-06,48,39.46
2011-05-13,48,39.59
2011-05-20,42,41.00
2011-05-27,31,41.55
2011-06-03,46,40.77
2011-06-10,36,38.63
2011-06-17,39,37.60
2011-06-24,45,37.71
2011-07-01,28,39.67
2011-07-08,28,37.34
2011-07-15,29,37.39
2011-07-22,67,38.07
2011-07-29,31,36.87
2011-08-05,48,31.13
2011-08-12,58,31.30
2011-08-19,33,29.66
2011-08-26,39,31.78
2011-09-02,45,32.66
2011-09-09,28,33.84
2011-09-16,25,35.37
2011-09-23,25,31.24
2011-09-30,25,29.35
2011-10-07,43,29.56
2011-10-14,44,31.48
2011-10-21,30,34.75
2011-10-28,31,37.55
2011-11-04,32,37.79
2011-11-11,32,37.59
2011-11-18,34,35.07
2011-11-25,35,32.46
2011-12-02,36,34.65
2011-12-09,34,33.04
2011-12-16,29,30.60
2011-12-23,29,31.63
2011-12-30,29,30.22
2012-01-06,26,30.29
2012-01-13,36,31.90
2012-01-20,29,34.69
2012-01-27,34,35.38
2012-02-03,31,36.90
2012-02-10,49,38.95
2012-02-17,42,38.36
2012-02-24,38,38.94
2012-03-02,38,40.29
2012-03-09,32,39.19
2012-03-16,33,41.25
2012-03-23,29,38.36
2012-03-30,31,37.47
2012-04-06,32,
2012-04-13,32,35.75
2012-04-20,33,37.67
2012-04-27,26,37.94
2012-05-04,41,36.57
2012-05-11,26,34.38
2012-05-18,32,32.23
2012-05-25,37,33.75
2012-06-01,35,30.59
2012-06-08,31,31.88
2012-06-15,31,31.57
2012-06-22,31,30.18
2012-06-29,35,32.53
2012-07-06,36,33.13
2012-07-13,37,34.48
2012-07-20,51,36.96
2012-07-27,36,37.61
2012-08-03,22,37.91
2012-08-10,25,38.39
2012-08-17,34,38.56
2012-08-24,36,38.45
2012-08-31,22,38.14
2012-09-07,30,37.02
2012-09-14,23,38.52
2012-09-21,38,37.74
2012-09-28,25,35.78
2012-10-05,27,35.17
2012-10-12,40,36.00
2012-10-19,32,39.81
2012-10-26,32,38.09
2012-11-02,24,37.13
2012-11-09,22,35.24
2012-11-16,32,33.51
2012-11-23,30,34.44
2012-11-30,34,34.49
2012-12-07,33,34.85
2012-12-14,33,33.87
2012-12-21,24,35.87
2012-12-28,30,34.05
2013-01-04,54,37.34
2013-01-11,33,36.42
2013-01-18,42,39.87
2013-01-25,42,38.23
2013-02-01,54,41.42
2013-02-08,43,39.76
2013-02-15,20,39.11
2013-02-22,32,37.23
2013-03-01,23,35.37
2013-03-08,39,35.85
2013-03-15,24,37.82
2013-03-22,18,36.63
2013-03-29,33,
2013-04-05,32,37.70
2013-04-12,33,36.70
2013-04-19,46,36.02
2013-04-26,41,37.11
2013-05-03,25,38.86
2013-05-10,32,40.03
2013-05-17,25,40.66
2013-05-24,25,40.61
2013-05-31,18,38.75
2013-06-07,25,39.23
2013-06-14,34,37.55
2013-06-21,41,37.17
2013-06-28,37,37.58
2013-07-05,18,38.60
2013-07-12,29,40.25
2013-07-19,33,41.14
2013-07-26,36,38.58
2013-08-02,30,39.76
2013-08-09,33,39.92
2013-08-16,18,38.66
2013-08-23,36,38.81
2013-08-30,26,37.20
2013-09-06,33,39.00
2013-09-13,22,38.80
2013-09-20,25,38.25
2013-09-27,42,37.60
2013-10-04,35,38.70
2013-10-11,22,37.70
2013-10-18,39,37.98
2013-10-25,38,38.08
2013-11-01,33,37.15
2013-11-08,28,39.56
2013-11-15,28,39.74
2013-11-22,21,39.56
2013-11-29,31,38.12
2013-12-06,24,37.85
2013-12-13,23,36.55
2013-12-20,33,36.32
2013-12-27,22,36.97
2014-01-03,40,36.72
2014-01-10,29,36.51
2014-01-17,22,35.39
2014-01-24,57,32.94
2014-01-31,42,31.03
2014-02-07,37,30.70
2014-02-14,23,31.16
2014-02-21,29,31.16
2014-02-28,23,31.05
2014-03-07,35,31.68
2014-03-14,42,29.08
2014-03-21,37,31.62
2014-03-28,41,32.47
2014-04-04,45,31.30
2014-04-11,33,29.70
2014-04-18,34,
2014-04-25,31,31.49
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
