Date,Nordstrom,Price
2004-01-09,21,
2004-01-16,21,
2004-01-23,19,
2004-01-30,20,
2004-02-06,23,40.16
2004-02-13,22,39.47
2004-02-20,22,39.07
2004-02-27,19,39.14
2004-03-05,24,39.62
2004-03-12,21,38.70
2004-03-19,21,37.33
2004-03-26,21,37.68
2004-04-02,23,39.85
2004-04-09,22,
2004-04-16,24,37.44
2004-04-23,23,38.28
2004-04-30,23,35.63
2004-05-07,25,35.50
2004-05-14,21,36.27
2004-05-21,22,39.90
2004-05-28,21,40.55
2004-06-04,22,40.66
2004-06-11,26,
2004-06-18,21,41.69
2004-06-25,21,44.25
2004-07-02,22,42.44
2004-07-09,19,41.61
2004-07-16,30,40.92
2004-07-23,30,42.85
2004-07-30,26,43.90
2004-08-06,24,39.95
2004-08-13,24,39.53
2004-08-20,24,36.82
2004-08-27,22,37.55
2004-09-03,22,38.95
2004-09-10,23,39.67
2004-09-17,24,39.55
2004-09-24,24,39.58
2004-10-01,23,38.21
2004-10-08,24,39.69
2004-10-15,24,39.52
2004-10-22,25,41.01
2004-10-29,23,43.18
2004-11-05,28,44.99
2004-11-12,27,45.72
2004-11-19,26,44.33
2004-11-26,28,45.13
2004-12-03,31,43.48
2004-12-10,35,45.00
2004-12-17,38,45.51
2004-12-24,37,
2004-12-31,39,46.73
2005-01-07,25,47.85
2005-01-14,26,48.75
2005-01-21,24,47.36
2005-01-28,23,47.60
2005-02-04,24,50.21
2005-02-11,26,50.42
2005-02-18,26,52.63
2005-02-25,24,52.97
2005-03-04,25,53.91
2005-03-11,25,53.69
2005-03-18,25,52.90
2005-03-25,26,
2005-04-01,25,54.22
2005-04-08,25,54.75
2005-04-15,25,52.50
2005-04-22,26,53.00
2005-04-29,24,50.83
2005-05-06,28,55.10
2005-05-13,24,54.45
2005-05-20,23,59.90
2005-05-27,24,60.25
2005-06-03,24,63.10
2005-06-10,27,66.18
2005-06-17,27,69.06
2005-06-24,28,65.50
2005-07-01,25,34.06
