Date,Northeast Utilities,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,18.95
2004-02-13,0,19.40
2004-02-20,100,19.15
2004-02-27,0,19.24
2004-03-05,0,19.25
2004-03-12,0,18.94
2004-03-19,0,18.91
2004-03-26,0,18.35
2004-04-02,0,18.38
2004-04-09,0,
2004-04-16,0,18.01
2004-04-23,72,18.05
2004-04-30,0,18.35
2004-05-07,0,17.95
2004-05-14,0,18.32
2004-05-21,0,18.31
2004-05-28,0,19.10
2004-06-04,0,19.04
2004-06-11,0,
2004-06-18,0,19.28
2004-06-25,0,19.50
2004-07-02,0,19.37
2004-07-09,0,19.10
2004-07-16,0,19.28
2004-07-23,0,18.66
2004-07-30,0,18.70
2004-08-06,0,19.06
2004-08-13,0,18.55
2004-08-20,0,19.02
2004-08-27,74,18.84
2004-09-03,0,19.06
2004-09-10,0,19.27
2004-09-17,0,19.30
2004-09-24,0,18.91
2004-10-01,0,19.39
2004-10-08,0,19.42
2004-10-15,0,19.69
2004-10-22,0,19.43
2004-10-29,0,19.33
2004-11-05,0,19.87
2004-11-12,0,20.01
2004-11-19,0,18.01
2004-11-26,0,18.45
2004-12-03,0,18.15
2004-12-10,0,17.70
2004-12-17,0,18.15
2004-12-24,0,
2004-12-31,0,18.85
2005-01-07,0,18.10
2005-01-14,0,17.84
2005-01-21,0,18.27
2005-01-28,0,18.40
2005-02-04,0,19.45
2005-02-11,0,18.95
2005-02-18,0,18.93
2005-02-25,0,18.85
2005-03-04,0,18.75
2005-03-11,0,19.25
2005-03-18,0,18.95
2005-03-25,0,
2005-04-01,46,19.28
2005-04-08,49,18.96
2005-04-15,53,18.53
2005-04-22,56,18.70
2005-04-29,60,18.31
2005-05-06,58,18.87
2005-05-13,43,19.05
2005-05-20,43,19.29
2005-05-27,43,19.74
2005-06-03,47,19.92
2005-06-10,50,20.57
2005-06-17,0,21.22
2005-06-24,0,20.72
2005-07-01,0,20.99
2005-07-08,0,20.89
2005-07-15,0,21.52
2005-07-22,0,21.34
2005-07-29,47,21.58
2005-08-05,51,20.91
2005-08-12,0,20.02
2005-08-19,0,19.75
2005-08-26,0,19.87
2005-09-02,0,20.03
2005-09-09,0,20.15
2005-09-16,0,19.89
2005-09-23,0,19.60
2005-09-30,54,19.95
2005-10-07,36,18.85
2005-10-14,36,18.34
2005-10-21,49,18.00
2005-10-28,45,18.07
2005-11-04,49,18.05
2005-11-11,47,17.70
2005-11-18,47,18.65
2005-11-25,36,19.00
2005-12-02,36,18.87
2005-12-09,36,19.56
2005-12-16,42,19.98
2005-12-23,48,19.67
2005-12-30,54,19.69
2006-01-06,38,19.72
2006-01-13,38,19.67
2006-01-20,54,19.98
2006-01-27,43,19.91
2006-02-03,43,19.61
2006-02-10,43,19.63
2006-02-17,43,20.10
2006-02-24,38,19.64
2006-03-03,46,19.60
2006-03-10,34,19.43
2006-03-17,31,20.03
2006-03-24,41,19.95
2006-03-31,30,19.53
2006-04-07,31,19.43
2006-04-14,38,
2006-04-21,46,19.71
2006-04-28,27,20.15
2006-05-05,27,20.38
2006-05-12,27,19.75
2006-05-19,30,19.52
2006-05-26,41,20.10
2006-06-02,31,20.84
2006-06-09,30,20.80
2006-06-16,34,20.97
2006-06-23,33,20.31
2006-06-30,36,20.67
2006-07-07,33,20.99
2006-07-14,33,21.00
2006-07-21,36,21.70
2006-07-28,45,22.31
2006-08-04,46,23.00
2006-08-11,32,22.45
2006-08-18,36,22.67
2006-08-25,34,22.70
2006-09-01,25,22.84
2006-09-08,25,22.90
2006-09-15,24,22.96
2006-09-22,26,23.24
2006-09-29,28,23.27
2006-10-06,31,23.45
2006-10-13,26,24.05
2006-10-20,23,24.45
2006-10-27,23,24.73
2006-11-03,23,25.15
2006-11-10,22,26.30
2006-11-17,30,27.04
2006-11-24,30,27.70
2006-12-01,31,28.30
2006-12-08,32,27.87
2006-12-15,32,28.00
2006-12-22,32,27.87
2006-12-29,33,28.16
2007-01-05,33,27.61
2007-01-12,23,27.69
2007-01-19,23,27.57
2007-01-26,23,27.55
2007-02-02,23,27.80
2007-02-09,38,28.80
2007-02-16,25,29.05
2007-02-23,29,29.71
2007-03-02,26,28.94
2007-03-09,39,29.32
2007-03-16,24,30.59
2007-03-23,29,32.29
2007-03-30,29,32.77
2007-04-06,33,
2007-04-13,32,32.50
2007-04-20,45,32.52
2007-04-27,31,32.55
2007-05-04,31,32.83
2007-05-11,18,32.42
2007-05-18,26,32.58
2007-05-25,33,30.45
2007-06-01,17,30.71
2007-06-08,20,28.36
2007-06-15,25,28.88
2007-06-22,37,27.60
2007-06-29,30,28.36
2007-07-06,31,28.49
2007-07-13,32,29.33
2007-07-20,20,28.59
2007-07-27,22,26.93
2007-08-03,32,27.27
2007-08-10,27,27.95
2007-08-17,25,28.35
2007-08-24,22,29.42
2007-08-31,27,27.65
2007-09-07,22,27.05
2007-09-14,16,27.19
2007-09-21,22,27.71
2007-09-28,25,28.57
2007-10-05,41,29.15
2007-10-12,28,29.14
2007-10-19,28,27.98
2007-10-26,28,29.17
2007-11-02,26,30.65
2007-11-09,23,31.04
2007-11-16,17,32.17
2007-11-23,17,31.79
2007-11-30,18,31.58
2007-12-07,28,32.38
2007-12-14,23,31.71
2007-12-21,23,32.04
2007-12-28,24,31.64
2008-01-04,25,30.71
2008-01-11,20,30.55
2008-01-18,32,29.55
2008-01-25,18,27.90
2008-02-01,30,27.98
2008-02-08,23,27.23
2008-02-15,20,27.79
2008-02-22,21,27.12
2008-02-29,17,25.37
2008-03-07,25,24.76
2008-03-14,24,24.90
2008-03-21,22,
2008-03-28,23,24.15
2008-04-04,22,25.62
2008-04-11,20,25.85
2008-04-18,17,26.55
2008-04-25,21,26.67
2008-05-02,12,27.74
2008-05-09,16,27.28
2008-05-16,20,26.36
2008-05-23,19,25.70
2008-05-30,15,26.11
2008-06-06,28,26.05
2008-06-13,19,26.84
2008-06-20,16,26.50
2008-06-27,21,25.54
2008-07-04,14,
2008-07-11,25,25.60
2008-07-18,13,24.60
2008-07-25,13,24.80
2008-08-01,17,24.66
2008-08-08,22,26.89
2008-08-15,20,26.86
2008-08-22,18,28.03
2008-08-29,16,26.89
2008-09-05,23,25.99
2008-09-12,28,26.87
2008-09-19,32,26.63
2008-09-26,20,25.92
2008-10-03,29,24.75
2008-10-10,20,19.15
2008-10-17,22,20.11
2008-10-24,30,20.73
2008-10-31,22,22.56
2008-11-07,21,21.01
2008-11-14,23,23.17
2008-11-21,26,22.75
2008-11-28,12,23.30
2008-12-05,14,22.65
2008-12-12,25,23.73
2008-12-19,19,22.67
2008-12-26,18,23.18
2009-01-02,26,24.30
2009-01-09,21,24.89
2009-01-16,19,23.79
2009-01-23,16,23.37
2009-01-30,28,23.80
2009-02-06,24,24.95
2009-02-13,20,24.02
2009-02-20,19,22.06
2009-02-27,28,21.91
2009-03-06,22,20.00
2009-03-13,30,19.90
2009-03-20,17,21.68
2009-03-27,21,21.70
2009-04-03,27,21.08
2009-04-10,28,
2009-04-17,16,21.09
2009-04-24,10,20.24
2009-05-01,16,21.58
2009-05-08,18,21.20
2009-05-15,32,20.58
2009-05-22,20,20.24
2009-05-29,13,20.79
2009-06-05,15,21.23
2009-06-12,14,22.12
2009-06-19,22,21.97
2009-06-26,13,22.12
2009-07-03,18,
2009-07-10,21,21.38
2009-07-17,17,22.09
2009-07-24,22,23.00
2009-07-31,20,23.01
2009-08-07,13,23.38
2009-08-14,26,23.72
2009-08-21,13,24.31
2009-08-28,21,24.03
2009-09-04,25,23.72
2009-09-11,19,23.68
2009-09-18,22,24.47
2009-09-25,21,23.83
2009-10-02,18,23.06
2009-10-09,16,23.50
2009-10-16,15,23.62
2009-10-23,21,23.08
2009-10-30,17,23.05
2009-11-06,20,23.10
2009-11-13,16,23.71
2009-11-20,13,23.95
2009-11-27,8,24.00
2009-12-04,13,24.60
2009-12-11,17,25.50
2009-12-18,11,26.07
2009-12-25,14,
2010-01-01,17,
2010-01-08,17,26.04
2010-01-15,20,25.95
2010-01-22,15,25.46
2010-01-29,16,25.32
2010-02-05,19,25.14
2010-02-12,18,25.13
2010-02-19,10,26.67
2010-02-26,15,25.60
2010-03-05,18,26.51
2010-03-12,22,26.81
2010-03-19,20,27.16
2010-03-26,13,27.02
2010-04-02,19,
2010-04-09,15,27.81
2010-04-16,24,27.38
2010-04-23,11,27.76
2010-04-30,15,27.79
2010-05-07,19,25.53
2010-05-14,13,26.60
2010-05-21,19,26.11
2010-05-28,15,25.95
2010-06-04,13,25.36
2010-06-11,22,26.01
2010-06-18,21,26.87
2010-06-25,15,25.79
2010-07-02,17,25.65
2010-07-09,17,26.88
2010-07-16,19,26.97
2010-07-23,20,27.95
2010-07-30,18,27.84
2010-08-06,19,28.97
2010-08-13,18,28.75
2010-08-20,16,28.54
2010-08-27,18,29.22
2010-09-03,16,29.48
2010-09-10,15,29.42
2010-09-17,17,29.12
2010-09-24,17,29.60
2010-10-01,23,29.83
2010-10-08,21,30.31
2010-10-15,25,30.70
2010-10-22,66,30.85
2010-10-29,34,31.28
2010-11-05,19,31.75
2010-11-12,23,31.29
2010-11-19,20,31.43
2010-11-26,14,31.69
2010-12-03,22,31.64
2010-12-10,14,31.67
2010-12-17,18,31.88
2010-12-24,11,
2010-12-31,16,31.88
2011-01-07,19,31.63
2011-01-14,27,32.01
2011-01-21,23,32.58
2011-01-28,23,32.77
2011-02-04,24,33.74
2011-02-11,13,33.57
2011-02-18,15,33.44
2011-02-25,21,33.60
2011-03-04,24,33.83
2011-03-11,17,34.55
2011-03-18,15,33.67
2011-03-25,23,34.15
2011-04-01,23,34.88
2011-04-08,22,34.53
2011-04-15,9,33.96
2011-04-22,17,
2011-04-29,16,35.60
2011-05-06,17,35.30
2011-05-13,11,35.93
2011-05-20,21,36.10
2011-05-27,16,35.02
2011-06-03,13,34.26
2011-06-10,29,33.88
2011-06-17,16,34.73
2011-06-24,20,34.64
2011-07-01,21,35.72
2011-07-08,17,35.31
2011-07-15,17,34.96
2011-07-22,20,35.34
2011-07-29,20,34.00
2011-08-05,18,32.24
2011-08-12,14,32.44
2011-08-19,17,32.22
2011-08-26,17,34.11
2011-09-02,59,33.72
2011-09-09,13,33.10
2011-09-16,12,34.45
2011-09-23,11,34.01
2011-09-30,11,33.65
2011-10-07,14,32.05
2011-10-14,13,33.31
2011-10-21,15,33.76
2011-10-28,24,34.58
2011-11-04,85,34.66
2011-11-11,26,35.08
2011-11-18,16,34.50
2011-11-25,8,33.18
2011-12-02,15,34.34
2011-12-09,19,34.30
2011-12-16,18,34.74
2011-12-23,14,35.71
2011-12-30,10,36.07
2012-01-06,13,35.00
2012-01-13,16,34.23
2012-01-20,14,34.36
2012-01-27,19,34.73
2012-02-03,18,35.30
2012-02-10,14,35.20
2012-02-17,19,36.10
2012-02-24,23,35.86
2012-03-02,19,36.08
2012-03-09,16,36.84
2012-03-16,18,36.43
2012-03-23,17,36.74
2012-03-30,22,37.12
2012-04-06,18,
2012-04-13,22,35.80
2012-04-20,20,36.46
2012-04-27,17,36.82
2012-05-04,19,36.06
2012-05-11,15,36.57
2012-05-18,12,34.94
2012-05-25,12,36.36
2012-06-01,17,36.42
2012-06-08,12,37.39
2012-06-15,12,38.48
2012-06-22,12,37.76
2012-06-29,17,38.81
2012-07-06,10,38.69
2012-07-13,7,39.88
2012-07-20,16,40.26
2012-07-27,23,39.96
2012-08-03,15,39.57
2012-08-10,16,39.59
2012-08-17,13,38.54
2012-08-24,12,37.97
2012-08-31,15,37.67
2012-09-07,9,38.24
2012-09-14,10,37.75
2012-09-21,17,37.43
2012-09-28,16,38.23
2012-10-05,8,39.14
2012-10-12,14,38.68
2012-10-19,14,39.71
2012-10-26,12,38.96
2012-11-02,49,39.41
2012-11-09,14,38.14
2012-11-16,12,38.32
2012-11-23,7,37.73
2012-11-30,8,38.74
2012-12-07,12,39.27
2012-12-14,13,38.69
2012-12-21,13,39.23
2012-12-28,11,38.44
2013-01-04,13,39.64
2013-01-11,11,39.19
2013-01-18,9,39.21
2013-01-25,13,40.32
2013-02-01,16,41.18
2013-02-08,21,41.11
2013-02-15,15,40.94
2013-02-22,12,41.43
2013-03-01,14,41.80
2013-03-08,14,42.21
2013-03-15,13,42.66
2013-03-22,13,42.65
2013-03-29,14,
2013-04-05,17,43.72
2013-04-12,10,44.66
2013-04-19,12,44.94
2013-04-26,11,44.86
2013-05-03,12,45.16
2013-05-10,11,43.78
2013-05-17,12,44.47
2013-05-24,13,42.84
2013-05-31,11,41.67
2013-06-07,9,42.38
2013-06-14,9,42.13
2013-06-21,13,40.37
2013-06-28,13,42.02
2013-07-05,11,41.13
2013-07-12,9,43.28
2013-07-19,16,44.83
2013-07-26,11,44.23
2013-08-02,14,44.69
2013-08-09,13,43.77
2013-08-16,11,41.30
2013-08-23,9,41.71
2013-08-30,13,40.97
2013-09-06,12,40.25
2013-09-13,17,40.29
2013-09-20,15,41.19
2013-09-27,13,41.44
2013-10-04,14,41.02
2013-10-11,13,42.16
2013-10-18,11,42.34
2013-10-25,13,43.41
2013-11-01,11,42.50
2013-11-08,11,42.27
2013-11-15,12,42.93
2013-11-22,14,42.18
2013-11-29,10,41.08
2013-12-06,10,41.58
2013-12-13,14,41.59
2013-12-20,7,42.11
2013-12-27,9,42.20
2014-01-03,8,41.52
2014-01-10,12,42.65
2014-01-17,14,42.59
2014-01-24,15,42.43
2014-01-31,14,43.80
2014-02-07,14,43.30
2014-02-14,10,44.97
2014-02-21,12,44.65
2014-02-28,15,44.45
2014-03-07,9,43.75
2014-03-14,13,44.89
2014-03-21,13,44.42
2014-03-28,12,44.95
2014-04-04,15,45.09
2014-04-11,13,45.44
2014-04-18,12,
2014-04-25,13,46.97
2014-05-02,10,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
