Date,PCAR,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,56.66
2004-02-13,0,54.89
2004-02-20,0,54.34
2004-02-27,0,55.42
2004-03-05,0,53.90
2004-03-12,0,52.64
2004-03-19,0,54.25
2004-03-26,0,54.59
2004-04-02,0,57.01
2004-04-09,0,
2004-04-16,0,56.96
2004-04-23,0,59.74
2004-04-30,0,56.49
2004-05-07,0,54.62
2004-05-14,0,54.07
2004-05-21,0,52.54
2004-05-28,0,55.80
2004-06-04,0,56.05
2004-06-11,0,
2004-06-18,0,54.70
2004-06-25,0,57.28
2004-07-02,0,55.37
2004-07-09,0,56.42
2004-07-16,0,56.07
2004-07-23,0,56.28
2004-07-30,0,59.96
2004-08-06,0,58.02
2004-08-13,0,57.31
2004-08-20,0,58.57
2004-08-27,0,60.72
2004-09-03,0,62.72
2004-09-10,0,62.57
2004-09-17,0,64.95
2004-09-24,0,67.69
2004-10-01,0,70.59
2004-10-08,0,68.41
2004-10-15,0,68.94
2004-10-22,0,64.83
2004-10-29,0,69.31
2004-11-05,0,75.56
2004-11-12,0,78.83
2004-11-19,0,77.56
2004-11-26,0,79.44
2004-12-03,0,78.64
2004-12-10,0,77.59
2004-12-17,0,76.74
2004-12-24,0,
2004-12-31,0,80.48
2005-01-07,0,72.47
2005-01-14,0,73.59
2005-01-21,0,70.77
2005-01-28,0,69.55
2005-02-04,0,71.79
2005-02-11,0,72.87
2005-02-18,0,71.31
2005-02-25,0,75.00
2005-03-04,0,76.29
2005-03-11,0,75.23
2005-03-18,0,73.58
2005-03-25,0,
2005-04-01,0,71.65
2005-04-08,0,71.33
2005-04-15,0,65.69
2005-04-22,0,67.12
2005-04-29,0,67.90
2005-05-06,0,68.04
2005-05-13,0,65.44
2005-05-20,0,68.92
2005-05-27,0,72.09
2005-06-03,0,71.18
2005-06-10,0,71.60
2005-06-17,0,72.31
2005-06-24,0,67.79
2005-07-01,0,68.17
2005-07-08,0,69.88
2005-07-15,0,71.99
2005-07-22,0,75.80
2005-07-29,0,72.22
2005-08-05,0,70.67
2005-08-12,0,70.58
2005-08-19,0,69.40
2005-08-26,0,68.96
2005-09-02,0,70.11
2005-09-09,0,70.69
2005-09-16,0,70.83
2005-09-23,0,69.00
2005-09-30,0,67.89
2005-10-07,0,65.69
2005-10-14,0,65.00
2005-10-21,0,64.08
2005-10-28,0,68.45
2005-11-04,0,70.94
2005-11-11,0,72.07
2005-11-18,0,72.36
2005-11-25,0,71.73
2005-12-02,0,73.10
2005-12-09,76,72.33
2005-12-16,0,70.12
2005-12-23,0,70.60
2005-12-30,0,69.23
2006-01-06,0,72.43
2006-01-13,0,70.53
2006-01-20,0,69.90
2006-01-27,0,74.27
2006-02-03,0,68.56
2006-02-10,0,68.65
2006-02-17,0,69.86
2006-02-24,0,69.45
2006-03-03,0,69.20
2006-03-10,0,69.47
2006-03-17,0,70.87
2006-03-24,0,70.55
2006-03-31,64,70.48
2006-04-07,0,69.96
2006-04-14,0,
2006-04-21,0,71.42
2006-04-28,0,71.93
2006-05-05,0,75.90
2006-05-12,0,77.76
2006-05-19,0,76.59
2006-05-26,0,77.97
2006-06-02,0,78.99
2006-06-09,0,74.56
2006-06-16,0,76.81
2006-06-23,0,78.31
2006-06-30,0,82.38
2006-07-07,0,80.15
2006-07-14,0,77.25
2006-07-21,0,76.51
2006-07-28,0,80.60
2006-08-04,0,82.99
2006-08-11,0,54.61
2006-08-18,0,57.31
2006-08-25,0,54.54
2006-09-01,0,55.58
2006-09-08,0,54.43
2006-09-15,0,54.12
2006-09-22,0,54.65
2006-09-29,0,57.02
2006-10-06,0,58.81
2006-10-13,0,61.18
2006-10-20,0,60.59
2006-10-27,68,59.42
2006-11-03,0,58.53
2006-11-10,0,62.52
2006-11-17,0,66.72
2006-11-24,0,64.95
2006-12-01,0,64.42
2006-12-08,0,67.57
2006-12-15,0,65.70
2006-12-22,0,65.31
2006-12-29,0,64.90
2007-01-05,0,64.70
2007-01-12,0,68.68
2007-01-19,0,67.93
2007-01-26,0,64.94
2007-02-02,0,69.77
2007-02-09,0,68.72
2007-02-16,0,72.85
2007-02-23,0,73.22
2007-03-02,51,68.40
2007-03-09,58,71.20
2007-03-16,65,72.33
2007-03-23,72,75.17
2007-03-30,77,73.40
2007-04-06,82,
2007-04-13,87,73.62
2007-04-20,92,76.21
2007-04-27,97,86.28
2007-05-04,50,86.84
2007-05-11,50,87.85
2007-05-18,46,86.40
2007-05-25,0,85.30
2007-06-01,0,86.81
2007-06-08,0,86.30
2007-06-15,0,90.66
2007-06-22,0,87.42
2007-06-29,0,87.04
2007-07-06,0,88.81
2007-07-13,0,93.77
2007-07-20,0,94.90
2007-07-27,50,81.16
2007-08-03,50,80.66
2007-08-10,50,82.16
2007-08-17,50,77.51
2007-08-24,36,83.41
2007-08-31,36,85.55
2007-09-07,36,81.54
2007-09-14,35,84.95
2007-09-21,35,89.97
2007-09-28,34,85.25
2007-10-05,37,88.33
2007-10-12,40,56.00
2007-10-19,43,49.38
2007-10-26,35,54.86
2007-11-02,53,55.03
2007-11-09,46,48.17
2007-11-16,46,47.07
2007-11-23,0,48.19
2007-11-30,0,50.61
2007-12-07,0,56.36
2007-12-14,0,53.15
2007-12-21,0,56.58
2007-12-28,0,55.92
2008-01-04,0,50.45
2008-01-11,0,46.82
2008-01-18,62,44.47
2008-01-25,47,46.70
2008-02-01,0,46.38
2008-02-08,0,43.03
2008-02-15,0,42.69
2008-02-22,0,43.50
2008-02-29,0,43.38
2008-03-07,0,42.16
2008-03-14,36,45.47
2008-03-21,33,
2008-03-28,39,44.15
2008-04-04,39,48.26
2008-04-11,41,44.68
2008-04-18,44,48.67
2008-04-25,39,46.74
2008-05-02,40,50.13
2008-05-09,41,47.52
2008-05-16,41,49.57
2008-05-23,27,50.14
2008-05-30,38,53.39
2008-06-06,43,49.65
2008-06-13,33,48.10
2008-06-20,31,44.90
2008-06-27,31,42.38
2008-07-04,32,
2008-07-11,45,40.86
2008-07-18,51,43.26
2008-07-25,34,41.64
2008-08-01,36,41.46
2008-08-08,41,42.78
2008-08-15,46,44.81
2008-08-22,33,43.34
2008-08-29,40,43.06
2008-09-05,25,41.88
2008-09-12,25,43.03
2008-09-19,53,43.95
2008-09-26,32,39.00
2008-10-03,37,32.55
2008-10-10,53,28.77
2008-10-17,34,28.95
2008-10-24,28,23.21
2008-10-31,42,29.24
2008-11-07,34,26.63
2008-11-14,40,28.11
2008-11-21,46,24.29
2008-11-28,32,27.87
2008-12-05,32,27.80
2008-12-12,40,27.00
2008-12-19,33,28.34
2008-12-26,27,27.27
2009-01-02,27,30.88
2009-01-09,27,30.13
2009-01-16,24,27.88
2009-01-23,24,25.81
2009-01-30,33,26.39
2009-02-06,32,30.81
2009-02-13,32,29.54
2009-02-20,36,26.73
2009-02-27,29,25.07
2009-03-06,29,21.07
2009-03-13,41,23.49
2009-03-20,27,25.24
2009-03-27,41,26.59
2009-04-03,22,30.26
2009-04-10,22,
2009-04-17,36,33.86
2009-04-24,27,34.93
2009-05-01,50,34.50
2009-05-08,22,33.59
2009-05-15,22,28.88
2009-05-22,34,28.27
2009-05-29,22,29.85
2009-06-05,24,34.20
2009-06-12,26,33.27
2009-06-19,28,31.42
2009-06-26,28,31.54
2009-07-03,34,
2009-07-10,33,29.50
2009-07-17,41,31.95
2009-07-24,33,34.59
2009-07-31,33,34.65
2009-08-07,25,36.08
2009-08-14,21,35.19
2009-08-21,43,37.18
2009-08-28,24,36.71
2009-09-04,19,36.42
2009-09-11,19,38.55
2009-09-18,33,39.63
2009-09-25,24,37.10
2009-10-02,18,35.58
2009-10-09,18,37.21
2009-10-16,32,37.63
2009-10-23,32,39.06
2009-10-30,37,37.41
2009-11-06,29,38.68
2009-11-13,29,38.96
2009-11-20,17,38.49
2009-11-27,30,37.21
2009-12-04,33,36.40
2009-12-11,29,36.15
2009-12-18,33,36.04
2009-12-25,22,
2010-01-01,24,
2010-01-08,27,38.31
2010-01-15,28,38.00
2010-01-22,21,36.16
2010-01-29,19,36.03
2010-02-05,19,34.16
2010-02-12,22,35.55
2010-02-19,17,35.95
2010-02-26,17,35.35
2010-03-05,23,39.21
2010-03-12,28,41.35
2010-03-19,16,42.25
2010-03-26,16,43.67
2010-04-02,17,
2010-04-09,19,45.44
2010-04-16,22,45.89
2010-04-23,28,48.04
2010-04-30,27,46.52
2010-05-07,27,41.58
2010-05-14,31,44.10
2010-05-21,21,40.10
2010-05-28,21,41.00
2010-06-04,25,39.86
2010-06-11,21,42.17
2010-06-18,21,43.65
2010-06-25,18,43.16
2010-07-02,33,39.34
2010-07-09,30,41.84
2010-07-16,29,41.99
2010-07-23,31,46.17
2010-07-30,18,45.82
2010-08-06,22,45.46
2010-08-13,18,42.07
2010-08-20,37,42.18
2010-08-27,25,42.09
2010-09-03,43,45.30
2010-09-10,32,44.93
2010-09-17,32,45.50
2010-09-24,35,47.69
2010-10-01,30,48.28
2010-10-08,22,50.25
2010-10-15,26,50.47
2010-10-22,40,50.77
2010-10-29,32,51.26
2010-11-05,25,55.25
2010-11-12,28,52.82
2010-11-19,21,54.14
2010-11-26,30,54.68
2010-12-03,26,56.26
2010-12-10,26,56.71
2010-12-17,34,56.50
2010-12-24,29,
2010-12-31,34,57.34
2011-01-07,27,56.73
2011-01-14,27,56.38
2011-01-21,24,55.10
2011-01-28,29,54.82
2011-02-04,35,50.60
2011-02-11,36,52.52
2011-02-18,27,52.65
2011-02-25,30,50.12
2011-03-04,30,49.20
2011-03-11,39,48.77
2011-03-18,32,48.46
2011-03-25,25,49.86
2011-04-01,39,53.44
2011-04-08,33,51.28
2011-04-15,30,51.43
2011-04-22,33,
2011-04-29,33,53.11
2011-05-06,32,53.01
2011-05-13,31,51.67
2011-05-20,29,50.55
2011-05-27,25,49.45
2011-06-03,34,47.37
2011-06-10,31,45.77
2011-06-17,19,47.67
2011-06-24,26,48.46
2011-07-01,21,52.05
2011-07-08,30,52.25
2011-07-15,25,49.28
2011-07-22,26,50.22
2011-07-29,33,42.81
2011-08-05,29,39.20
2011-08-12,52,36.84
2011-08-19,22,34.02
2011-08-26,26,35.80
2011-09-02,26,35.67
2011-09-09,33,35.38
2011-09-16,24,38.10
2011-09-23,29,34.06
2011-09-30,25,33.82
2011-10-07,33,36.18
2011-10-14,24,39.84
2011-10-21,25,40.76
2011-10-28,35,44.19
2011-11-04,28,43.56
2011-11-11,38,42.66
2011-11-18,34,39.16
2011-11-25,23,37.28
2011-12-02,26,40.34
2011-12-09,25,40.10
2011-12-16,28,36.22
2011-12-23,37,37.98
2011-12-30,21,37.47
2012-01-06,27,40.14
2012-01-13,33,42.44
2012-01-20,32,43.90
2012-01-27,27,44.59
2012-02-03,40,44.25
2012-02-10,27,43.27
2012-02-17,28,46.18
2012-02-24,30,45.84
2012-03-02,33,44.91
2012-03-09,28,45.85
2012-03-16,35,47.37
2012-03-23,31,46.45
2012-03-30,23,46.83
2012-04-06,36,
2012-04-13,37,42.75
2012-04-20,40,42.22
2012-04-27,31,43.73
2012-05-04,32,41.08
2012-05-11,35,39.36
2012-05-18,37,37.59
2012-05-25,28,38.35
2012-06-01,33,36.49
2012-06-08,40,38.62
2012-06-15,37,39.40
2012-06-22,34,38.45
2012-06-29,37,39.19
2012-07-06,32,37.76
2012-07-13,23,37.22
2012-07-20,41,37.22
2012-07-27,32,40.80
2012-08-03,45,39.72
2012-08-10,36,41.34
2012-08-17,44,41.88
2012-08-24,32,40.27
2012-08-31,45,39.91
2012-09-07,21,41.71
2012-09-14,38,43.05
2012-09-21,36,41.48
2012-09-28,39,40.02
2012-10-05,36,41.39
2012-10-12,36,40.15
2012-10-19,38,40.41
2012-10-26,39,43.34
2012-11-02,38,45.01
2012-11-09,42,43.01
2012-11-16,45,41.84
2012-11-23,37,43.05
2012-11-30,38,43.94
2012-12-07,35,43.84
2012-12-14,36,43.91
2012-12-21,52,44.84
2012-12-28,49,44.43
2013-01-04,45,46.80
2013-01-11,33,46.03
2013-01-18,37,46.37
2013-01-25,40,48.23
2013-02-01,52,47.55
2013-02-08,46,47.50
2013-02-15,48,48.09
2013-02-22,43,46.86
2013-03-01,43,46.97
2013-03-08,42,50.46
2013-03-15,54,50.96
2013-03-22,50,50.04
2013-03-29,47,
2013-04-05,50,48.19
2013-04-12,37,50.23
2013-04-19,49,48.20
2013-04-26,54,49.52
2013-05-03,57,52.54
2013-05-10,66,52.61
2013-05-17,60,54.54
2013-05-24,49,53.35
2013-05-31,52,53.60
2013-06-07,54,54.35
2013-06-14,53,53.22
2013-06-21,52,52.33
2013-06-28,46,53.66
2013-07-05,62,54.37
2013-07-12,51,56.65
2013-07-19,76,57.63
2013-07-26,68,56.10
2013-08-02,65,56.94
2013-08-09,56,55.93
2013-08-16,67,54.74
2013-08-23,57,55.21
2013-08-30,41,53.61
2013-09-06,50,54.24
2013-09-13,51,56.28
2013-09-20,68,57.65
2013-09-27,59,55.80
2013-10-04,61,55.52
2013-10-11,59,56.20
2013-10-18,55,57.56
2013-10-25,69,58.55
2013-11-01,65,56.22
2013-11-08,59,56.84
2013-11-15,65,57.00
2013-11-22,59,56.64
2013-11-29,75,57.31
2013-12-06,72,56.95
2013-12-13,75,56.16
2013-12-20,70,57.62
2013-12-27,81,58.47
2014-01-03,78,58.63
2014-01-10,75,59.19
2014-01-17,100,59.53
2014-01-24,70,56.24
2014-01-31,92,56.00
2014-02-07,74,59.15
2014-02-14,81,61.54
2014-02-21,90,62.37
2014-02-28,95,65.84
2014-03-07,91,65.93
2014-03-14,89,65.00
2014-03-21,82,67.39
2014-03-28,76,66.56
2014-04-04,90,65.73
2014-04-11,77,64.13
2014-04-18,88,
2014-04-25,97,65.66
2014-05-02,88,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
