Date,Patterson Companies,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,66.98
2004-02-13,0,66.94
2004-02-20,0,65.80
2004-02-27,0,67.78
2004-03-05,0,68.10
2004-03-12,0,69.38
2004-03-19,0,66.68
2004-03-26,0,67.27
2004-04-02,0,72.14
2004-04-09,0,
2004-04-16,0,78.62
2004-04-23,0,77.01
2004-04-30,0,73.66
2004-05-07,0,75.05
2004-05-14,0,74.59
2004-05-21,0,70.59
2004-05-28,0,75.71
2004-06-04,0,75.35
2004-06-11,0,
2004-06-18,0,74.96
2004-06-25,0,74.59
2004-07-02,0,76.20
2004-07-09,0,72.70
2004-07-16,0,72.03
2004-07-23,0,71.64
2004-07-30,0,73.42
2004-08-06,0,73.40
2004-08-13,0,75.39
2004-08-20,0,76.29
2004-08-27,0,74.90
2004-09-03,0,73.31
2004-09-10,0,74.19
2004-09-17,0,74.93
2004-09-24,0,75.15
2004-10-01,0,77.30
2004-10-08,0,75.92
2004-10-15,0,75.04
2004-10-22,0,74.19
2004-10-29,0,37.50
2004-11-05,0,38.98
2004-11-12,0,39.36
2004-11-19,0,39.31
2004-11-26,0,40.47
2004-12-03,0,42.23
2004-12-10,0,41.89
2004-12-17,0,42.06
2004-12-24,0,
2004-12-31,0,43.39
2005-01-07,0,42.81
2005-01-14,0,45.24
2005-01-21,0,45.75
2005-01-28,0,45.67
2005-02-04,0,49.36
2005-02-11,0,48.29
2005-02-18,0,48.00
2005-02-25,0,50.27
2005-03-04,0,50.37
2005-03-11,0,49.88
2005-03-18,0,48.92
2005-03-25,0,
2005-04-01,0,49.75
2005-04-08,0,51.39
2005-04-15,0,51.68
2005-04-22,0,50.20
2005-04-29,0,50.55
2005-05-06,0,51.63
2005-05-13,0,51.77
2005-05-20,0,53.01
2005-05-27,0,45.74
2005-06-03,0,46.32
2005-06-10,0,46.30
2005-06-17,0,46.46
2005-06-24,0,43.99
2005-07-01,0,44.53
2005-07-08,0,41.99
2005-07-15,0,42.11
2005-07-22,0,41.50
2005-07-29,0,44.60
2005-08-05,0,43.53
2005-08-12,0,44.00
2005-08-19,0,40.96
2005-08-26,0,38.65
2005-09-02,0,40.82
2005-09-09,0,40.76
2005-09-16,0,41.16
2005-09-23,0,39.40
2005-09-30,0,40.03
2005-10-07,0,38.01
2005-10-14,0,38.60
2005-10-21,0,39.95
2005-10-28,0,40.85
2005-11-04,0,41.80
2005-11-11,0,42.93
2005-11-18,0,35.01
2005-11-25,0,36.64
2005-12-02,0,34.40
2005-12-09,0,34.11
2005-12-16,0,34.25
2005-12-23,0,34.60
2005-12-30,0,33.40
2006-01-06,0,32.60
2006-01-13,0,32.20
2006-01-20,0,32.75
2006-01-27,0,34.13
2006-02-03,0,33.87
2006-02-10,0,34.19
2006-02-17,0,35.07
2006-02-24,0,36.37
2006-03-03,0,35.02
2006-03-10,0,35.23
2006-03-17,0,35.72
2006-03-24,0,35.66
2006-03-31,0,35.20
2006-04-07,0,34.66
2006-04-14,0,
2006-04-21,0,32.92
2006-04-28,0,32.58
2006-05-05,0,32.62
2006-05-12,0,32.70
2006-05-19,0,35.64
2006-05-26,0,34.71
2006-06-02,0,34.42
2006-06-09,0,33.92
2006-06-16,0,34.66
2006-06-23,0,33.97
2006-06-30,0,34.93
2006-07-07,0,34.05
2006-07-14,0,33.03
2006-07-21,0,32.22
2006-07-28,0,33.93
2006-08-04,0,33.07
2006-08-11,0,32.80
2006-08-18,0,33.12
2006-08-25,0,31.36
2006-09-01,0,30.95
2006-09-08,0,30.98
2006-09-15,0,32.32
2006-09-22,0,33.03
2006-09-29,0,33.61
2006-10-06,0,33.60
2006-10-13,0,33.54
2006-10-20,0,33.28
2006-10-27,0,33.21
2006-11-03,0,32.63
2006-11-10,0,32.07
2006-11-17,0,32.73
2006-11-24,0,36.85
2006-12-01,0,37.29
2006-12-08,0,37.26
2006-12-15,0,37.08
2006-12-22,0,36.01
2006-12-29,0,35.51
2007-01-05,0,35.81
2007-01-12,0,36.68
2007-01-19,0,37.20
2007-01-26,0,36.51
2007-02-02,0,38.66
2007-02-09,0,38.99
2007-02-16,0,38.29
2007-02-23,0,34.07
2007-03-02,0,33.10
2007-03-09,0,33.28
2007-03-16,0,33.18
2007-03-23,0,33.00
2007-03-30,0,35.49
2007-04-06,0,
2007-04-13,0,36.42
2007-04-20,0,36.79
2007-04-27,0,36.28
2007-05-04,0,36.74
2007-05-11,0,35.03
2007-05-18,0,34.30
2007-05-25,0,37.25
2007-06-01,0,37.47
2007-06-08,0,36.91
2007-06-15,100,36.87
2007-06-22,0,37.05
2007-06-29,0,37.27
2007-07-06,0,37.61
2007-07-13,0,37.34
2007-07-20,0,36.45
2007-07-27,0,35.38
2007-08-03,0,35.40
2007-08-10,0,36.77
2007-08-17,0,37.71
2007-08-24,0,37.43
2007-08-31,0,36.78
2007-09-07,0,37.90
2007-09-14,0,38.36
2007-09-21,0,38.36
2007-09-28,0,38.61
2007-10-05,0,40.05
2007-10-12,0,38.76
2007-10-19,0,37.13
2007-10-26,0,38.04
2007-11-02,0,39.46
2007-11-09,0,37.38
2007-11-16,0,37.93
2007-11-23,0,29.91
2007-11-30,0,32.18
2007-12-07,0,33.00
2007-12-14,0,32.06
2007-12-21,0,33.42
2007-12-28,0,34.09
2008-01-04,0,33.21
2008-01-11,0,33.47
2008-01-18,0,33.95
2008-01-25,0,31.48
2008-02-01,0,32.76
2008-02-08,0,32.53
2008-02-15,0,33.36
2008-02-22,0,35.71
2008-02-29,0,35.20
2008-03-07,0,33.68
2008-03-14,0,34.35
2008-03-21,0,
2008-03-28,0,36.27
2008-04-04,0,37.18
2008-04-11,0,33.85
2008-04-18,0,33.44
2008-04-25,0,33.51
2008-05-02,0,35.19
2008-05-09,0,35.79
2008-05-16,0,35.47
2008-05-23,0,33.57
2008-05-30,0,34.01
2008-06-06,0,33.27
2008-06-13,0,32.79
2008-06-20,87,30.80
2008-06-27,0,29.76
2008-07-04,0,
2008-07-11,0,29.32
2008-07-18,0,31.46
2008-07-25,0,31.77
2008-08-01,0,31.07
2008-08-08,0,32.41
2008-08-15,0,32.69
2008-08-22,0,32.20
2008-08-29,0,32.54
2008-09-05,0,31.50
2008-09-12,0,32.48
2008-09-19,0,31.51
2008-09-26,0,30.53
2008-10-03,0,28.87
2008-10-10,0,25.09
2008-10-17,0,24.74
2008-10-24,68,21.63
2008-10-31,0,25.33
2008-11-07,0,23.55
2008-11-14,0,22.04
2008-11-21,0,18.12
2008-11-28,0,18.82
2008-12-05,0,17.75
2008-12-12,0,18.12
2008-12-19,0,18.40
2008-12-26,0,18.25
2009-01-02,0,19.42
2009-01-09,0,19.38
2009-01-16,0,19.00
2009-01-23,0,18.00
2009-01-30,0,18.39
2009-02-06,0,19.91
2009-02-13,0,19.40
2009-02-20,0,20.03
2009-02-27,67,18.07
2009-03-06,77,16.55
2009-03-13,87,17.99
2009-03-20,0,17.73
2009-03-27,0,19.53
2009-04-03,0,18.76
2009-04-10,0,
2009-04-17,0,21.60
2009-04-24,0,19.90
2009-05-01,0,20.43
2009-05-08,0,23.08
2009-05-15,0,22.08
2009-05-22,63,20.09
2009-05-29,0,20.59
2009-06-05,0,20.44
2009-06-12,0,20.46
2009-06-19,0,20.84
2009-06-26,0,21.41
2009-07-03,0,
2009-07-10,0,21.01
2009-07-17,0,22.32
2009-07-24,0,24.13
2009-07-31,0,25.36
2009-08-07,0,25.00
2009-08-14,0,25.26
2009-08-21,0,27.43
2009-08-28,0,27.26
2009-09-04,50,27.33
2009-09-11,49,27.55
2009-09-18,49,27.77
2009-09-25,0,27.12
2009-10-02,0,26.60
2009-10-09,0,26.93
2009-10-16,0,26.70
2009-10-23,0,26.84
2009-10-30,0,25.53
2009-11-06,0,25.87
2009-11-13,0,25.97
2009-11-20,68,25.87
2009-11-27,0,25.86
2009-12-04,0,26.36
2009-12-11,0,27.08
2009-12-18,0,26.98
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,29.90
2010-01-15,0,30.01
2010-01-22,46,28.91
2010-01-29,45,28.56
2010-02-05,50,28.58
2010-02-12,42,28.76
2010-02-19,42,29.79
2010-02-26,45,29.68
2010-03-05,47,30.77
2010-03-12,49,30.38
2010-03-19,0,30.86
2010-03-26,0,30.67
2010-04-02,0,
2010-04-09,0,31.13
2010-04-16,0,32.02
2010-04-23,41,32.78
2010-04-30,43,31.96
2010-05-07,45,29.50
2010-05-14,47,30.24
2010-05-21,47,29.58
2010-05-28,47,29.74
2010-06-04,0,29.12
2010-06-11,0,29.95
2010-06-18,0,30.75
2010-06-25,0,29.57
2010-07-02,0,28.51
2010-07-09,0,28.62
2010-07-16,0,27.92
2010-07-23,0,26.95
2010-07-30,0,26.68
2010-08-06,40,27.69
2010-08-13,41,26.66
2010-08-20,42,26.93
2010-08-27,43,25.39
2010-09-03,44,26.45
2010-09-10,46,26.62
2010-09-17,48,27.15
2010-09-24,36,28.10
2010-10-01,36,28.64
2010-10-08,43,28.62
2010-10-15,49,28.50
2010-10-22,56,27.92
2010-10-29,48,27.65
2010-11-05,48,28.29
2010-11-12,48,28.61
2010-11-19,48,28.67
2010-11-26,34,30.10
2010-12-03,34,30.52
2010-12-10,34,29.75
2010-12-17,34,30.89
2010-12-24,0,
2010-12-31,0,30.63
2011-01-07,0,31.09
2011-01-14,0,31.40
2011-01-21,0,31.54
2011-01-28,38,32.98
2011-02-04,36,33.39
2011-02-11,0,33.93
2011-02-18,0,33.85
2011-02-25,0,33.09
2011-03-04,0,33.24
2011-03-11,0,32.02
2011-03-18,31,31.57
2011-03-25,31,31.50
2011-04-01,31,32.85
2011-04-08,31,33.01
2011-04-15,34,33.40
2011-04-22,34,
2011-04-29,34,34.71
2011-05-06,34,35.05
2011-05-13,37,35.64
2011-05-20,37,35.79
2011-05-27,34,35.10
2011-06-03,33,32.77
2011-06-10,33,32.09
2011-06-17,36,31.95
2011-06-24,34,31.64
2011-07-01,31,33.77
2011-07-08,36,33.55
2011-07-15,41,32.81
2011-07-22,40,32.75
2011-07-29,40,30.84
2011-08-05,43,29.04
2011-08-12,54,29.04
2011-08-19,32,27.81
2011-08-26,32,27.25
2011-09-02,32,28.12
2011-09-09,35,27.20
2011-09-16,38,28.03
2011-09-23,41,27.98
2011-09-30,44,28.63
2011-10-07,33,28.47
2011-10-14,27,29.20
2011-10-21,27,30.14
2011-10-28,27,32.44
2011-11-04,46,30.03
2011-11-11,27,30.01
2011-11-18,27,29.02
2011-11-25,27,28.09
2011-12-02,26,30.13
2011-12-09,26,29.34
2011-12-16,29,28.55
2011-12-23,31,29.56
2011-12-30,32,29.52
2012-01-06,34,29.58
2012-01-13,32,30.26
2012-01-20,29,31.36
2012-01-27,29,32.13
2012-02-03,35,32.64
2012-02-10,41,31.82
2012-02-17,32,33.04
2012-02-24,34,32.14
2012-03-02,24,31.03
2012-03-09,25,31.04
2012-03-16,29,32.36
2012-03-23,49,31.75
2012-03-30,30,33.40
2012-04-06,30,
2012-04-13,35,32.89
2012-04-20,38,32.94
2012-04-27,53,33.99
2012-05-04,74,33.55
2012-05-11,57,33.51
2012-05-18,50,32.25
2012-05-25,43,34.04
2012-06-01,43,32.60
2012-06-08,48,33.19
2012-06-15,35,33.02
2012-06-22,38,34.05
2012-06-29,38,34.47
2012-07-06,29,34.86
2012-07-13,29,34.51
2012-07-20,48,34.77
2012-07-27,27,35.24
2012-08-03,27,34.44
2012-08-10,41,35.37
2012-08-17,44,36.13
2012-08-24,44,34.06
2012-08-31,33,33.97
2012-09-07,37,34.24
2012-09-14,30,34.39
2012-09-21,30,35.07
2012-09-28,27,34.24
2012-10-05,34,35.39
2012-10-12,26,34.35
2012-10-19,35,33.49
2012-10-26,46,33.49
2012-11-02,24,33.88
2012-11-09,32,34.24
2012-11-16,28,35.25
2012-11-23,30,33.83
2012-11-30,31,34.10
2012-12-07,25,33.26
2012-12-14,23,33.29
2012-12-21,43,34.15
2012-12-28,43,33.85
2013-01-04,43,34.71
2013-01-11,44,35.49
2013-01-18,40,35.46
2013-01-25,40,36.64
2013-02-01,28,36.86
2013-02-08,28,37.31
2013-02-15,24,37.22
2013-02-22,33,36.04
2013-03-01,21,36.45
2013-03-08,21,36.85
2013-03-15,25,37.21
2013-03-22,28,37.74
2013-03-29,32,
2013-04-05,39,36.86
2013-04-12,40,37.28
2013-04-19,31,37.20
2013-04-26,31,37.47
2013-05-03,24,38.44
2013-05-10,33,38.79
2013-05-17,39,38.68
2013-05-24,40,39.20
2013-05-31,29,39.08
2013-06-07,29,38.98
2013-06-14,33,38.76
2013-06-21,33,37.42
2013-06-28,44,37.60
2013-07-05,28,37.97
2013-07-12,34,39.65
2013-07-19,41,40.35
2013-07-26,22,40.59
2013-08-02,29,41.84
2013-08-09,26,42.09
2013-08-16,40,41.52
2013-08-23,37,41.01
2013-08-30,31,39.88
2013-09-06,22,40.03
2013-09-13,35,40.93
2013-09-20,33,40.78
2013-09-27,28,39.97
2013-10-04,38,40.17
2013-10-11,26,40.39
2013-10-18,28,41.48
2013-10-25,23,41.58
2013-11-01,22,42.64
2013-11-08,32,43.25
2013-11-15,38,43.68
2013-11-22,26,41.73
2013-11-29,23,41.49
2013-12-06,31,41.76
2013-12-13,25,40.34
2013-12-20,29,40.50
2013-12-27,22,41.09
2014-01-03,25,41.33
2014-01-10,31,40.95
2014-01-17,19,40.98
2014-01-24,25,39.99
2014-01-31,39,39.96
2014-02-07,28,39.69
2014-02-14,24,40.30
2014-02-21,24,40.72
2014-02-28,33,41.16
2014-03-07,25,42.00
2014-03-14,24,41.15
2014-03-21,27,41.14
2014-03-28,43,41.03
2014-04-04,27,42.47
2014-04-11,42,40.82
2014-04-18,26,
2014-04-25,28,40.91
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
