Date,People's United Bank,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.85
2004-02-13,0,44.47
2004-02-20,0,44.30
2004-02-27,0,44.95
2004-03-05,0,45.23
2004-03-12,0,45.00
2004-03-19,0,43.82
2004-03-26,0,42.61
2004-04-02,0,49.90
2004-04-09,0,
2004-04-16,0,45.50
2004-04-23,0,42.89
2004-04-30,0,42.20
2004-05-07,0,43.85
2004-05-14,0,44.67
2004-05-21,0,30.90
2004-05-28,0,31.98
2004-06-04,0,30.70
2004-06-11,0,
2004-06-18,0,29.53
2004-06-25,0,30.00
2004-07-02,0,30.98
2004-07-09,0,31.47
2004-07-16,0,30.93
2004-07-23,0,30.07
2004-07-30,0,31.51
2004-08-06,0,30.54
2004-08-13,0,30.39
2004-08-20,0,31.91
2004-08-27,0,32.16
2004-09-03,0,34.27
2004-09-10,0,34.97
2004-09-17,0,35.99
2004-09-24,0,34.94
2004-10-01,0,35.63
2004-10-08,0,36.44
2004-10-15,0,36.64
2004-10-22,0,36.82
2004-10-29,0,37.49
2004-11-05,0,39.56
2004-11-12,0,43.50
2004-11-19,0,38.67
2004-11-26,0,39.62
2004-12-03,0,38.75
2004-12-10,0,37.90
2004-12-17,0,37.94
2004-12-24,0,
2004-12-31,0,38.89
2005-01-07,0,37.02
2005-01-14,0,36.56
2005-01-21,0,37.24
2005-01-28,0,36.94
2005-02-04,0,37.80
2005-02-11,0,37.96
2005-02-18,0,37.91
2005-02-25,0,37.65
2005-03-04,0,40.48
2005-03-11,0,40.99
2005-03-18,0,40.78
2005-03-25,0,
2005-04-01,0,41.02
2005-04-08,0,40.96
2005-04-15,0,39.67
2005-04-22,0,41.69
2005-04-29,0,41.53
2005-05-06,0,43.07
2005-05-13,0,42.82
2005-05-20,0,28.93
2005-05-27,0,28.50
2005-06-03,0,28.81
2005-06-10,0,28.75
2005-06-17,0,28.66
2005-06-24,0,29.13
2005-07-01,0,30.73
2005-07-08,0,30.70
2005-07-15,0,31.28
2005-07-22,0,32.09
2005-07-29,0,31.32
2005-08-05,0,31.99
2005-08-12,0,31.33
2005-08-19,0,30.56
2005-08-26,0,30.07
2005-09-02,0,29.69
2005-09-09,0,29.63
2005-09-16,0,29.00
2005-09-23,0,29.00
2005-09-30,0,28.98
2005-10-07,0,30.41
2005-10-14,0,30.62
2005-10-21,0,32.49
2005-10-28,0,31.76
2005-11-04,0,32.86
2005-11-11,0,33.35
2005-11-18,0,33.00
2005-11-25,0,32.99
2005-12-02,0,31.43
2005-12-09,0,31.37
2005-12-16,0,31.25
2005-12-23,0,31.40
2005-12-30,0,31.06
2006-01-06,0,32.05
2006-01-13,0,31.86
2006-01-20,0,31.11
2006-01-27,0,31.04
2006-02-03,0,30.27
2006-02-10,0,31.02
2006-02-17,0,31.11
2006-02-24,0,31.13
2006-03-03,0,30.95
2006-03-10,0,31.72
2006-03-17,0,33.45
2006-03-24,0,33.11
2006-03-31,0,32.75
2006-04-07,0,33.74
2006-04-14,0,
2006-04-21,0,33.33
2006-04-28,0,32.75
2006-05-05,0,32.46
2006-05-12,0,31.96
2006-05-19,0,31.30
2006-05-26,0,33.69
2006-06-02,0,33.44
2006-06-09,0,33.98
2006-06-16,0,33.16
2006-06-23,0,32.54
2006-06-30,0,32.85
2006-07-07,0,32.55
2006-07-14,0,32.05
2006-07-21,0,34.22
2006-07-28,0,36.23
2006-08-04,0,35.89
2006-08-11,0,35.70
2006-08-18,0,37.10
2006-08-25,0,35.74
2006-09-01,0,36.37
2006-09-08,0,37.12
2006-09-15,0,36.93
2006-09-22,0,38.89
2006-09-29,0,39.61
2006-10-06,0,40.22
2006-10-13,0,40.75
2006-10-20,0,41.11
2006-10-27,0,40.39
2006-11-03,0,43.86
2006-11-10,0,44.67
2006-11-17,0,44.70
2006-11-24,0,43.81
2006-12-01,0,44.61
2006-12-08,0,44.33
2006-12-15,0,44.83
2006-12-22,0,44.67
2006-12-29,0,44.62
2007-01-05,0,44.01
2007-01-12,0,44.57
2007-01-19,0,44.49
2007-01-26,0,44.50
2007-02-02,0,45.00
2007-02-09,0,45.33
2007-02-16,0,45.56
2007-02-23,0,45.76
2007-03-02,0,43.86
2007-03-09,0,43.19
2007-03-16,0,42.18
2007-03-23,0,44.14
2007-03-30,0,44.40
2007-04-06,0,
2007-04-13,0,43.27
2007-04-20,0,20.74
2007-04-27,0,20.00
2007-05-04,0,20.30
2007-05-11,0,20.37
2007-05-18,0,19.98
2007-05-25,0,19.97
2007-06-01,0,20.28
2007-06-08,0,19.44
2007-06-15,0,19.40
2007-06-22,0,19.01
2007-06-29,15,17.73
2007-07-06,11,18.05
2007-07-13,10,18.29
2007-07-20,11,17.93
2007-07-27,11,16.52
2007-08-03,12,14.99
2007-08-10,12,16.27
2007-08-17,13,17.31
2007-08-24,11,17.87
2007-08-31,14,17.68
2007-09-07,14,17.30
2007-09-14,18,17.02
2007-09-21,12,17.30
2007-09-28,10,17.28
2007-10-05,13,17.60
2007-10-12,13,18.02
2007-10-19,14,17.83
2007-10-26,17,18.05
2007-11-02,23,16.73
2007-11-09,12,16.85
2007-11-16,20,16.59
2007-11-23,15,16.71
2007-11-30,20,16.97
2007-12-07,20,17.06
2007-12-14,20,16.70
2007-12-21,18,16.97
2007-12-28,18,17.47
2008-01-04,19,16.93
2008-01-11,25,16.69
2008-01-18,22,15.41
2008-01-25,24,16.03
2008-02-01,25,17.45
2008-02-08,22,17.08
2008-02-15,22,17.34
2008-02-22,20,16.93
2008-02-29,30,16.86
2008-03-07,22,15.95
2008-03-14,23,16.50
2008-03-21,34,
2008-03-28,24,17.25
2008-04-04,33,17.86
2008-04-11,25,17.69
2008-04-18,24,17.35
2008-04-25,19,17.89
2008-05-02,31,17.29
2008-05-09,24,17.05
2008-05-16,25,16.65
2008-05-23,29,16.43
2008-05-30,21,16.53
2008-06-06,24,16.37
2008-06-13,32,16.99
2008-06-20,18,16.35
2008-06-27,22,15.83
2008-07-04,21,
2008-07-11,27,15.26
2008-07-18,32,16.74
2008-07-25,26,16.26
2008-08-01,25,17.38
2008-08-08,26,17.22
2008-08-15,21,17.50
2008-08-22,25,17.06
2008-08-29,29,17.92
2008-09-05,30,18.43
2008-09-12,20,18.93
2008-09-19,31,21.75
2008-09-26,22,17.80
2008-10-03,26,18.25
2008-10-10,24,15.00
2008-10-17,28,16.97
2008-10-24,26,16.09
2008-10-31,28,17.50
2008-11-07,28,16.65
2008-11-14,36,18.15
2008-11-21,29,17.48
2008-11-28,24,19.07
2008-12-05,29,18.37
2008-12-12,28,17.43
2008-12-19,29,17.50
2008-12-26,26,17.31
2009-01-02,28,17.79
2009-01-09,33,16.57
2009-01-16,24,16.83
2009-01-23,29,17.35
2009-01-30,22,16.36
2009-02-06,28,17.59
2009-02-13,26,17.09
2009-02-20,28,16.17
2009-02-27,30,17.41
2009-03-06,31,16.87
2009-03-13,33,17.42
2009-03-20,28,16.64
2009-03-27,26,17.44
2009-04-03,30,17.83
2009-04-10,30,
2009-04-17,28,16.36
2009-04-24,31,15.85
2009-05-01,28,15.44
2009-05-08,31,16.37
2009-05-15,31,16.09
2009-05-22,28,15.54
2009-05-29,19,15.80
2009-06-05,24,15.61
2009-06-12,23,15.46
2009-06-19,29,15.11
2009-06-26,27,15.05
2009-07-03,31,
2009-07-10,26,15.20
2009-07-17,22,15.31
2009-07-24,27,15.75
2009-07-31,25,16.25
2009-08-07,23,17.10
2009-08-14,27,16.75
2009-08-21,31,16.36
2009-08-28,25,16.05
2009-09-04,28,15.86
2009-09-11,28,15.87
2009-09-18,31,16.23
2009-09-25,25,15.66
2009-10-02,14,15.31
2009-10-09,22,15.69
2009-10-16,19,16.15
2009-10-23,24,16.61
2009-10-30,18,16.03
2009-11-06,17,15.90
2009-11-13,17,16.22
2009-11-20,20,16.47
2009-11-27,21,16.37
2009-12-04,22,16.23
2009-12-11,16,16.50
2009-12-18,27,16.97
2009-12-25,26,
2010-01-01,26,
2010-01-08,25,17.00
2010-01-15,31,16.62
2010-01-22,25,16.15
2010-01-29,30,16.17
2010-02-05,28,15.35
2010-02-12,28,15.59
2010-02-19,35,15.80
2010-02-26,31,15.75
2010-03-05,34,15.60
2010-03-12,29,15.58
2010-03-19,35,15.79
2010-03-26,27,15.68
2010-04-02,29,
2010-04-09,30,16.56
2010-04-16,21,16.40
2010-04-23,25,15.91
2010-04-30,32,15.52
2010-05-07,31,14.39
2010-05-14,30,14.55
2010-05-21,25,14.37
2010-05-28,26,13.97
2010-06-04,26,13.94
2010-06-11,22,14.18
2010-06-18,25,14.54
2010-06-25,23,14.01
2010-07-02,15,13.36
2010-07-09,18,13.88
2010-07-16,25,13.63
2010-07-23,25,14.05
2010-07-30,29,13.84
2010-08-06,34,13.57
2010-08-13,28,13.22
2010-08-20,28,13.24
2010-08-27,32,12.79
2010-09-03,36,12.88
2010-09-10,31,13.10
2010-09-17,36,12.96
2010-09-24,32,13.16
2010-10-01,37,13.04
2010-10-08,41,13.32
2010-10-15,37,13.15
2010-10-22,31,12.61
2010-10-29,41,12.30
2010-11-05,50,12.69
2010-11-12,46,12.50
2010-11-19,50,12.54
2010-11-26,44,12.36
2010-12-03,50,12.96
2010-12-10,42,13.60
2010-12-17,53,13.61
2010-12-24,52,
2010-12-31,53,14.01
2011-01-07,65,14.24
2011-01-14,52,14.42
2011-01-21,59,13.20
2011-01-28,52,12.96
2011-02-04,55,13.19
2011-02-11,63,13.13
2011-02-18,63,13.39
2011-02-25,54,13.11
2011-03-04,61,12.67
2011-03-11,53,12.55
2011-03-18,53,12.46
2011-03-25,49,12.64
2011-04-01,53,12.69
2011-04-08,59,12.88
2011-04-15,56,12.95
2011-04-22,61,
2011-04-29,68,13.70
2011-05-06,54,13.51
2011-05-13,58,13.16
2011-05-20,62,13.41
2011-05-27,55,13.21
2011-06-03,71,12.83
2011-06-10,70,12.74
2011-06-17,71,13.07
2011-06-24,68,12.86
2011-07-01,71,13.58
2011-07-08,67,13.66
2011-07-15,74,13.56
2011-07-22,73,13.28
2011-07-29,77,12.68
2011-08-05,78,11.79
2011-08-12,80,11.05
2011-08-19,76,10.56
2011-08-26,71,10.98
2011-09-02,66,11.40
2011-09-09,67,11.65
2011-09-16,67,12.39
2011-09-23,68,11.56
2011-09-30,81,11.40
2011-10-07,72,11.60
2011-10-14,76,12.02
2011-10-21,89,12.24
2011-10-28,90,13.02
2011-11-04,90,12.40
2011-11-11,85,12.79
2011-11-18,89,12.18
2011-11-25,78,11.82
2011-12-02,94,12.49
2011-12-09,91,12.50
2011-12-16,100,12.42
2011-12-23,87,12.74
2011-12-30,99,12.85
2012-01-06,98,13.42
2012-01-13,85,13.66
2012-01-20,39,12.90
2012-01-27,40,12.72
2012-02-03,35,12.59
2012-02-10,36,12.50
2012-02-17,37,12.78
2012-02-24,36,12.46
2012-03-02,32,12.72
2012-03-09,33,12.54
2012-03-16,32,13.30
2012-03-23,34,13.29
2012-03-30,33,13.23
2012-04-06,29,
2012-04-13,29,12.49
2012-04-20,29,12.41
2012-04-27,27,12.36
2012-05-04,28,12.19
2012-05-11,26,12.03
2012-05-18,27,11.65
2012-05-25,27,11.93
2012-06-01,32,11.39
2012-06-08,29,11.71
2012-06-15,26,11.73
2012-06-22,29,11.73
2012-06-29,31,11.61
2012-07-06,30,11.89
2012-07-13,35,12.05
2012-07-20,36,11.51
2012-07-27,33,11.62
2012-08-03,30,11.55
2012-08-10,40,11.94
2012-08-17,37,12.16
2012-08-24,45,12.07
2012-08-31,33,11.97
2012-09-07,34,12.19
2012-09-14,33,12.45
2012-09-21,32,12.00
2012-09-28,33,12.14
2012-10-05,32,12.48
2012-10-12,30,12.04
2012-10-19,28,12.29
2012-10-26,34,12.15
2012-11-02,29,12.02
2012-11-09,29,11.60
2012-11-16,33,11.67
2012-11-23,24,11.90
2012-11-30,29,12.19
2012-12-07,29,12.06
2012-12-14,28,12.16
2012-12-21,29,12.14
2012-12-28,30,11.97
2013-01-04,33,12.60
2013-01-11,27,12.59
2013-01-18,29,12.39
2013-01-25,28,12.47
2013-02-01,25,12.51
2013-02-08,25,12.55
2013-02-15,23,12.95
2013-02-22,25,12.94
2013-03-01,24,13.24
2013-03-08,22,13.29
2013-03-15,24,13.55
2013-03-22,25,13.39
2013-03-29,26,
2013-04-05,22,13.04
2013-04-12,25,13.30
2013-04-19,25,12.88
2013-04-26,25,13.13
2013-05-03,24,13.35
2013-05-10,25,13.51
2013-05-17,23,13.91
2013-05-24,26,13.81
2013-05-31,26,13.78
2013-06-07,26,13.92
2013-06-14,25,13.76
2013-06-21,25,14.44
2013-06-28,24,14.90
2013-07-05,24,15.20
2013-07-12,27,15.20
2013-07-19,29,15.48
2013-07-26,24,15.23
2013-08-02,29,15.38
2013-08-09,28,14.89
2013-08-16,29,14.93
2013-08-23,30,14.87
2013-08-30,28,14.22
2013-09-06,24,14.27
2013-09-13,22,14.48
2013-09-20,22,14.31
2013-09-27,23,14.28
2013-10-04,27,14.67
2013-10-11,27,14.78
2013-10-18,29,14.37
2013-10-25,25,14.71
2013-11-01,21,14.35
2013-11-08,23,14.61
2013-11-15,24,14.75
2013-11-22,23,14.93
2013-11-29,22,15.14
2013-12-06,25,14.84
2013-12-13,25,14.55
2013-12-20,30,14.64
2013-12-27,24,14.99
2014-01-03,28,15.06
2014-01-10,25,15.38
2014-01-17,26,14.85
2014-01-24,21,14.58
2014-01-31,29,14.21
2014-02-07,22,13.96
2014-02-14,25,14.16
2014-02-21,23,14.06
2014-02-28,25,14.17
2014-03-07,22,14.57
2014-03-14,25,14.41
2014-03-21,22,14.99
2014-03-28,20,14.64
2014-04-04,26,14.66
2014-04-11,22,14.61
2014-04-18,23,
2014-04-25,22,14.38
2014-05-02,24,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
