Date,Prologis,Price
2004-01-09,0,
2004-01-16,43,
2004-01-23,48,
2004-01-30,42,
2004-02-06,0,35.50
2004-02-13,0,35.85
2004-02-20,0,35.00
2004-02-27,0,35.42
2004-03-05,0,36.60
2004-03-12,0,35.90
2004-03-19,0,36.18
2004-03-26,0,36.25
2004-04-02,51,36.65
2004-04-09,46,
2004-04-16,46,32.61
2004-04-23,46,31.05
2004-04-30,46,30.30
2004-05-07,46,29.57
2004-05-14,47,29.63
2004-05-21,48,30.82
2004-05-28,50,33.05
2004-06-04,51,33.09
2004-06-11,38,
2004-06-18,38,34.50
2004-06-25,38,35.90
2004-07-02,41,35.42
2004-07-09,43,34.75
2004-07-16,55,35.82
2004-07-23,39,34.53
2004-07-30,39,35.14
2004-08-06,39,34.52
2004-08-13,0,34.49
2004-08-20,0,36.26
2004-08-27,0,36.96
2004-09-03,0,37.60
2004-09-10,0,36.90
2004-09-17,33,36.98
2004-09-24,55,36.35
2004-10-01,39,37.01
2004-10-08,39,36.92
2004-10-15,39,36.70
2004-10-22,47,36.74
2004-10-29,35,37.50
2004-11-05,35,37.71
2004-11-12,36,39.38
2004-11-19,37,38.62
2004-11-26,38,39.71
2004-12-03,56,40.70
2004-12-10,41,40.52
2004-12-17,35,40.26
2004-12-24,35,
2004-12-31,35,40.39
2005-01-07,35,39.09
2005-01-14,42,38.30
2005-01-21,30,39.20
2005-01-28,30,37.19
2005-02-04,43,38.90
2005-02-11,30,38.85
2005-02-18,39,39.63
2005-02-25,48,38.70
2005-03-04,43,40.11
2005-03-11,31,38.15
2005-03-18,36,38.44
2005-03-25,41,
2005-04-01,27,37.40
2005-04-08,33,37.06
2005-04-15,40,37.30
2005-04-22,33,38.21
2005-04-29,32,38.99
2005-05-06,36,39.42
2005-05-13,43,39.54
2005-05-20,41,40.98
2005-05-27,50,40.01
2005-06-03,34,40.66
2005-06-10,97,42.75
2005-06-17,32,43.75
2005-06-24,46,42.74
2005-07-01,35,43.64
2005-07-08,38,44.65
2005-07-15,35,44.35
2005-07-22,40,45.70
2005-07-29,44,45.99
2005-08-05,37,43.44
2005-08-12,41,43.24
2005-08-19,63,42.70
2005-08-26,30,43.64
2005-09-02,37,44.56
2005-09-09,43,45.29
2005-09-16,30,45.45
2005-09-23,37,43.85
2005-09-30,27,44.90
2005-10-07,42,42.93
2005-10-14,25,42.88
2005-10-21,41,43.02
2005-10-28,28,44.03
2005-11-04,43,43.08
2005-11-11,25,44.37
2005-11-18,25,45.01
2005-11-25,40,45.94
2005-12-02,43,48.00
2005-12-09,44,49.56
2005-12-16,39,49.36
2005-12-23,28,49.50
2005-12-30,34,49.17
2006-01-06,22,50.07
2006-01-13,38,49.85
2006-01-20,24,49.77
2006-01-27,40,51.16
2006-02-03,40,51.80
2006-02-10,34,50.75
2006-02-17,40,51.80
2006-02-24,44,53.63
2006-03-03,42,53.10
2006-03-10,46,53.95
2006-03-17,39,56.53
2006-03-24,33,54.67
2006-03-31,27,54.27
2006-04-07,35,51.24
2006-04-14,39,
2006-04-21,43,51.17
2006-04-28,41,49.99
2006-05-05,37,50.69
2006-05-12,43,50.14
2006-05-19,36,48.56
2006-05-26,47,49.29
2006-06-02,23,50.85
2006-06-09,32,50.49
2006-06-16,37,49.37
2006-06-23,41,48.04
2006-06-30,35,50.55
2006-07-07,33,51.25
2006-07-14,51,51.19
2006-07-21,33,50.57
2006-07-28,28,52.68
2006-08-04,38,55.01
2006-08-11,40,52.61
2006-08-18,35,53.37
2006-08-25,45,53.60
2006-09-01,49,55.54
2006-09-08,36,55.99
2006-09-15,54,56.99
2006-09-22,41,56.41
2006-09-29,40,55.11
2006-10-06,43,54.89
2006-10-13,42,57.43
2006-10-20,43,57.35
2006-10-27,51,57.40
2006-11-03,30,57.81
2006-11-10,44,57.44
2006-11-17,36,59.05
2006-11-24,37,61.92
2006-12-01,32,61.35
2006-12-08,38,61.88
2006-12-15,42,61.05
2006-12-22,24,57.45
2006-12-29,22,58.61
2007-01-05,34,56.75
2007-01-12,36,59.24
2007-01-19,39,60.00
2007-01-26,40,60.35
2007-02-02,30,61.61
2007-02-09,43,64.73
2007-02-16,50,64.14
2007-02-23,44,62.41
2007-03-02,43,58.13
2007-03-09,55,58.10
2007-03-16,30,58.47
2007-03-23,43,59.09
2007-03-30,38,58.79
2007-04-06,44,
2007-04-13,43,60.46
2007-04-20,50,62.14
2007-04-27,44,62.07
2007-05-04,36,60.15
2007-05-11,51,60.40
2007-05-18,52,55.77
2007-05-25,41,54.72
2007-06-01,74,58.69
2007-06-08,49,57.81
2007-06-15,48,56.33
2007-06-22,49,53.65
2007-06-29,44,53.22
2007-07-06,43,56.12
2007-07-13,42,56.51
2007-07-20,47,55.71
2007-07-27,43,52.70
2007-08-03,37,50.78
2007-08-10,32,51.54
2007-08-17,35,51.49
2007-08-24,44,53.62
2007-08-31,45,54.98
2007-09-07,41,53.89
2007-09-14,38,55.79
2007-09-21,58,57.91
2007-09-28,39,59.81
2007-10-05,50,65.06
2007-10-12,65,65.53
2007-10-19,54,62.01
2007-10-26,60,64.80
2007-11-02,35,60.94
2007-11-09,37,60.75
2007-11-16,47,61.82
2007-11-23,60,59.26
2007-11-30,47,61.16
2007-12-07,44,62.84
2007-12-14,47,57.43
2007-12-21,39,56.58
2007-12-28,18,55.95
2008-01-04,25,51.03
2008-01-11,54,51.48
2008-01-18,47,49.33
2008-01-25,54,52.51
2008-02-01,42,52.40
2008-02-08,45,50.07
2008-02-15,50,50.57
2008-02-22,48,49.31
2008-02-29,51,50.18
2008-03-07,49,47.67
2008-03-14,47,49.53
2008-03-21,33,
2008-03-28,41,54.32
2008-04-04,45,55.61
2008-04-11,58,53.65
2008-04-18,54,57.19
2008-04-25,44,59.50
2008-05-02,44,58.45
2008-05-09,47,56.98
2008-05-16,40,59.32
2008-05-23,43,56.44
2008-05-30,44,58.94
2008-06-06,47,56.25
2008-06-13,42,55.21
2008-06-20,52,53.20
2008-06-27,52,50.28
2008-07-04,47,
2008-07-11,44,48.70
2008-07-18,49,49.77
2008-07-25,44,49.38
2008-08-01,49,49.37
2008-08-08,43,49.28
2008-08-15,46,48.48
2008-08-22,37,44.83
2008-08-29,42,45.39
2008-09-05,38,47.14
2008-09-12,56,47.44
2008-09-19,49,47.01
2008-09-26,46,44.20
2008-10-03,39,37.56
2008-10-10,54,34.25
2008-10-17,51,25.98
2008-10-24,52,17.91
2008-10-31,53,24.03
2008-11-07,51,22.53
2008-11-14,100,14.75
2008-11-21,78,11.23
2008-11-28,63,17.22
2008-12-05,66,19.08
2008-12-12,53,18.54
2008-12-19,55,22.20
2008-12-26,52,22.53
2009-01-02,31,23.07
2009-01-09,42,22.81
2009-01-16,52,19.58
2009-01-23,47,19.00
2009-01-30,46,16.12
2009-02-06,35,17.47
2009-02-13,40,14.61
2009-02-20,46,13.51
2009-02-27,39,11.91
2009-03-06,39,9.72
2009-03-13,43,13.37
2009-03-20,32,12.05
2009-03-27,38,14.32
2009-04-03,46,17.86
2009-04-10,35,
2009-04-17,37,18.56
2009-04-24,33,18.60
2009-05-01,38,17.92
2009-05-08,33,19.57
2009-05-15,38,16.32
2009-05-22,26,16.91
2009-05-29,25,17.85
2009-06-05,33,20.21
2009-06-12,33,19.60
2009-06-19,32,18.66
2009-06-26,37,18.41
2009-07-03,30,
2009-07-10,31,16.61
2009-07-17,38,17.39
2009-07-24,46,19.06
2009-07-31,40,19.81
2009-08-07,31,23.78
2009-08-14,30,22.21
2009-08-21,31,22.73
2009-08-28,40,23.42
2009-09-04,30,20.84
2009-09-11,29,22.27
2009-09-18,32,24.85
2009-09-25,31,22.56
2009-10-02,33,21.21
2009-10-09,31,22.19
2009-10-16,28,22.60
2009-10-23,31,23.20
2009-10-30,32,21.98
2009-11-06,27,21.89
2009-11-13,29,24.53
2009-11-20,36,24.04
2009-11-27,26,22.71
2009-12-04,27,25.04
2009-12-11,26,24.82
2009-12-18,31,25.38
2009-12-25,19,
2010-01-01,17,
2010-01-08,25,25.65
2010-01-15,35,25.57
2010-01-22,35,23.68
2010-01-29,25,24.00
2010-02-05,34,23.15
2010-02-12,28,22.63
2010-02-19,30,23.76
2010-02-26,26,24.34
2010-03-05,25,25.41
2010-03-12,24,27.27
2010-03-19,23,28.06
2010-03-26,29,28.86
2010-04-02,24,
2010-04-09,33,27.90
2010-04-16,25,26.86
2010-04-23,28,28.31
2010-04-30,27,27.86
2010-05-07,24,25.47
2010-05-14,25,26.61
2010-05-21,28,25.57
2010-05-28,23,25.93
2010-06-04,19,24.15
2010-06-11,26,26.82
2010-06-18,31,26.70
2010-06-25,21,25.43
2010-07-02,23,22.75
2010-07-09,21,24.56
2010-07-16,24,23.00
2010-07-23,24,23.40
2010-07-30,29,24.96
2010-08-06,30,25.63
2010-08-13,24,24.19
2010-08-20,27,23.92
2010-08-27,26,23.88
2010-09-03,27,25.76
2010-09-10,26,25.40
2010-09-17,26,25.70
2010-09-24,27,25.86
2010-10-01,23,26.60
2010-10-08,31,26.67
2010-10-15,23,26.93
2010-10-22,34,27.87
2010-10-29,29,28.19
2010-11-05,22,30.15
2010-11-12,24,29.17
2010-11-19,26,29.26
2010-11-26,21,29.76
2010-12-03,18,30.76
2010-12-10,22,31.76
2010-12-17,17,30.65
2010-12-24,24,
2010-12-31,12,31.71
2011-01-07,22,32.50
2011-01-14,21,32.50
2011-01-21,26,33.31
2011-01-28,40,32.93
2011-02-04,52,33.10
2011-02-11,28,34.30
2011-02-18,22,35.40
2011-02-25,25,35.67
2011-03-04,23,35.63
2011-03-11,25,34.95
2011-03-18,23,33.39
2011-03-25,23,34.78
2011-04-01,24,36.04
2011-04-08,21,35.06
2011-04-15,26,36.41
2011-04-22,21,
2011-04-29,23,36.40
2011-05-06,22,35.53
2011-05-13,23,34.85
2011-05-20,24,35.31
2011-05-27,20,36.49
2011-06-03,20,34.00
2011-06-10,32,32.09
2011-06-17,22,33.70
2011-06-24,36,34.16
2011-07-01,34,36.20
2011-07-08,24,36.78
2011-07-15,30,34.79
2011-07-22,24,35.85
2011-07-29,27,35.63
2011-08-05,20,28.76
2011-08-12,20,27.76
2011-08-19,24,26.62
2011-08-26,25,25.14
2011-09-02,24,26.15
2011-09-09,23,25.65
2011-09-16,27,28.32
2011-09-23,27,25.51
2011-09-30,27,24.25
2011-10-07,24,23.52
2011-10-14,24,25.78
2011-10-21,20,27.60
2011-10-28,21,29.93
2011-11-04,17,29.27
2011-11-11,21,28.48
2011-11-18,20,27.54
2011-11-25,18,25.21
2011-12-02,20,27.80
2011-12-09,19,28.70
2011-12-16,25,27.51
2011-12-23,15,28.92
2011-12-30,13,28.59
2012-01-06,18,28.79
2012-01-13,23,29.57
2012-01-20,22,31.78
2012-01-27,19,32.52
2012-02-03,22,33.16
2012-02-10,22,33.07
2012-02-17,26,34.00
2012-02-24,20,33.88
2012-03-02,19,33.74
2012-03-09,21,34.14
2012-03-16,19,35.26
2012-03-23,21,35.20
2012-03-30,24,36.02
2012-04-06,19,
2012-04-13,16,33.48
2012-04-20,24,34.78
2012-04-27,21,35.40
2012-05-04,18,35.04
2012-05-11,15,34.63
2012-05-18,15,30.93
2012-05-25,20,31.50
2012-06-01,20,30.56
2012-06-08,19,31.87
2012-06-15,21,31.75
2012-06-22,24,31.54
2012-06-29,17,33.23
2012-07-06,17,33.08
2012-07-13,21,32.79
2012-07-20,18,32.11
2012-07-27,20,32.52
2012-08-03,19,33.66
2012-08-10,23,33.20
2012-08-17,18,33.80
2012-08-24,21,33.43
2012-08-31,19,34.17
2012-09-07,16,35.73
