Date,RF,Price
2004-01-09,76,
2004-01-16,70,
2004-01-23,75,
2004-01-30,70,
2004-02-06,81,37.05
2004-02-13,76,37.03
2004-02-20,74,36.60
2004-02-27,85,36.90
2004-03-05,74,37.80
2004-03-12,67,36.90
2004-03-19,73,36.16
2004-03-26,61,35.94
2004-04-02,71,36.55
2004-04-09,77,
2004-04-16,76,34.96
2004-04-23,71,35.75
2004-04-30,74,34.71
2004-05-07,65,34.50
2004-05-14,72,35.02
2004-05-21,67,36.20
2004-05-28,70,38.02
2004-06-04,68,37.84
2004-06-11,70,
2004-06-18,68,36.47
2004-06-25,69,36.40
2004-07-02,66,30.55
2004-07-09,73,30.28
2004-07-16,75,30.02
2004-07-23,71,29.67
2004-07-30,73,29.69
2004-08-06,70,30.00
2004-08-13,67,30.66
2004-08-20,70,31.63
2004-08-27,68,31.68
2004-09-03,68,32.62
2004-09-10,67,33.03
2004-09-17,67,33.20
2004-09-24,69,32.69
2004-10-01,63,33.70
2004-10-08,74,33.36
2004-10-15,67,34.22
2004-10-22,67,34.03
2004-10-29,71,35.08
2004-11-05,64,35.50
2004-11-12,64,35.44
2004-11-19,65,34.84
2004-11-26,66,35.08
2004-12-03,65,35.49
2004-12-10,67,34.90
2004-12-17,66,35.31
2004-12-24,63,
2004-12-31,71,35.59
2005-01-07,65,34.98
2005-01-14,69,33.58
2005-01-21,67,32.87
2005-01-28,70,31.80
2005-02-04,67,32.30
2005-02-11,69,32.77
2005-02-18,66,32.65
2005-02-25,67,32.39
2005-03-04,69,33.70
2005-03-11,64,33.09
2005-03-18,68,32.87
2005-03-25,69,
2005-04-01,70,32.33
2005-04-08,61,32.56
2005-04-15,65,32.60
2005-04-22,61,32.48
2005-04-29,62,33.49
2005-05-06,65,33.35
2005-05-13,65,32.87
2005-05-20,69,33.89
2005-05-27,65,33.73
2005-06-03,62,33.60
2005-06-10,62,33.38
2005-06-17,59,33.96
2005-06-24,63,33.80
2005-07-01,66,34.11
2005-07-08,62,34.58
2005-07-15,66,34.79
2005-07-22,63,34.25
2005-07-29,58,33.64
2005-08-05,62,32.90
2005-08-12,63,33.16
2005-08-19,62,33.08
2005-08-26,61,32.17
2005-09-02,86,32.53
2005-09-09,89,32.56
2005-09-16,77,32.65
2005-09-23,73,31.76
2005-09-30,68,31.12
2005-10-07,69,30.30
2005-10-14,66,31.93
2005-10-21,71,31.82
2005-10-28,67,32.43
2005-11-04,66,32.89
2005-11-11,70,34.00
2005-11-18,71,33.96
2005-11-25,68,34.37
2005-12-02,67,34.27
2005-12-09,74,33.80
2005-12-16,82,34.94
2005-12-23,84,34.85
2005-12-30,86,34.16
2006-01-06,88,34.91
