Date,SCANA Corp,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,34.20
2004-02-13,0,35.35
2004-02-20,0,34.63
2004-02-27,0,34.99
2004-03-05,0,36.21
2004-03-12,0,35.53
2004-03-19,0,35.46
2004-03-26,0,34.90
2004-04-02,0,35.74
2004-04-09,0,
2004-04-16,0,33.76
2004-04-23,0,34.13
2004-04-30,0,34.40
2004-05-07,0,33.67
2004-05-14,0,33.63
2004-05-21,0,34.06
2004-05-28,0,35.58
2004-06-04,0,35.81
2004-06-11,0,
2004-06-18,0,36.25
2004-06-25,0,36.60
2004-07-02,0,35.94
2004-07-09,0,36.08
2004-07-16,0,36.50
2004-07-23,0,36.59
2004-07-30,0,36.62
2004-08-06,0,36.44
2004-08-13,0,36.70
2004-08-20,0,37.73
2004-08-27,0,37.59
2004-09-03,0,37.53
2004-09-10,0,37.05
2004-09-17,0,37.32
2004-09-24,0,37.09
2004-10-01,0,37.73
2004-10-08,0,37.32
2004-10-15,0,37.10
2004-10-22,0,37.10
2004-10-29,0,37.10
2004-11-05,0,37.52
2004-11-12,0,38.45
2004-11-19,0,38.27
2004-11-26,0,39.20
2004-12-03,0,38.07
2004-12-10,0,37.95
2004-12-17,0,38.19
2004-12-24,0,
2004-12-31,0,39.40
2005-01-07,0,38.41
2005-01-14,0,38.63
2005-01-21,0,38.53
2005-01-28,0,38.62
2005-02-04,0,39.96
2005-02-11,0,39.40
2005-02-18,0,38.77
2005-02-25,0,38.23
2005-03-04,0,38.80
2005-03-11,0,37.50
2005-03-18,0,37.73
2005-03-25,0,
2005-04-01,0,38.25
2005-04-08,0,37.93
2005-04-15,0,37.29
2005-04-22,0,38.05
2005-04-29,0,38.84
2005-05-06,0,39.46
2005-05-13,0,40.03
2005-05-20,0,41.09
2005-05-27,0,41.80
2005-06-03,0,42.58
2005-06-10,0,42.13
2005-06-17,0,43.30
2005-06-24,0,42.47
2005-07-01,0,42.77
2005-07-08,0,43.24
2005-07-15,0,42.97
2005-07-22,0,42.58
2005-07-29,0,42.03
2005-08-05,0,41.13
2005-08-12,0,40.60
2005-08-19,0,41.26
2005-08-26,0,41.55
2005-09-02,0,42.68
2005-09-09,0,42.66
2005-09-16,0,43.32
2005-09-23,0,41.24
2005-09-30,0,42.24
2005-10-07,0,41.10
2005-10-14,0,38.90
2005-10-21,0,38.84
2005-10-28,0,39.26
2005-11-04,0,39.66
2005-11-11,0,39.50
2005-11-18,0,39.16
2005-11-25,0,39.76
2005-12-02,0,40.05
2005-12-09,0,40.27
2005-12-16,0,40.82
2005-12-23,0,39.76
2005-12-30,0,39.38
2006-01-06,0,40.34
2006-01-13,0,40.06
2006-01-20,0,40.35
2006-01-27,0,40.62
2006-02-03,0,39.50
2006-02-10,0,40.25
2006-02-17,0,40.53
2006-02-24,0,41.11
2006-03-03,0,40.37
2006-03-10,0,40.07
2006-03-17,0,40.66
2006-03-24,0,39.91
2006-03-31,0,39.24
2006-04-07,0,39.29
2006-04-14,0,
2006-04-21,0,39.17
2006-04-28,0,39.14
2006-05-05,0,39.29
2006-05-12,0,38.45
2006-05-19,0,37.76
2006-05-26,0,38.42
2006-06-02,0,39.18
2006-06-09,0,38.52
2006-06-16,0,38.05
2006-06-23,0,37.32
2006-06-30,0,38.58
2006-07-07,0,38.98
2006-07-14,0,38.73
2006-07-21,0,40.32
2006-07-28,0,40.30
2006-08-04,0,40.14
2006-08-11,0,39.93
2006-08-18,0,40.61
2006-08-25,0,40.20
2006-09-01,0,41.49
2006-09-08,0,40.30
2006-09-15,0,40.44
2006-09-22,0,39.94
2006-09-29,0,40.27
2006-10-06,0,40.72
2006-10-13,0,40.63
2006-10-20,0,41.99
2006-10-27,0,40.55
2006-11-03,0,40.06
2006-11-10,0,40.93
2006-11-17,0,41.50
2006-11-24,0,41.66
2006-12-01,0,41.52
2006-12-08,0,40.92
2006-12-15,0,41.62
2006-12-22,0,40.80
2006-12-29,0,40.62
2007-01-05,0,40.92
2007-01-12,0,40.79
2007-01-19,0,40.49
2007-01-26,0,40.27
2007-02-02,0,41.45
2007-02-09,0,41.79
2007-02-16,0,41.92
2007-02-23,0,42.62
2007-03-02,0,41.48
2007-03-09,0,40.97
2007-03-16,0,41.04
2007-03-23,0,43.05
2007-03-30,0,43.17
2007-04-06,0,
2007-04-13,0,44.68
2007-04-20,0,44.71
2007-04-27,0,44.18
2007-05-04,0,43.91
2007-05-11,0,43.49
2007-05-18,0,44.01
2007-05-25,0,41.60
2007-06-01,0,42.30
2007-06-08,0,39.60
2007-06-15,0,39.97
2007-06-22,0,38.70
2007-06-29,0,38.29
2007-07-06,0,39.15
2007-07-13,0,39.56
2007-07-20,0,38.53
2007-07-27,0,37.68
2007-08-03,0,37.03
2007-08-10,0,38.36
2007-08-17,0,37.57
2007-08-24,0,38.68
2007-08-31,0,38.38
2007-09-07,0,38.00
2007-09-14,0,38.08
2007-09-21,0,38.68
2007-09-28,0,38.74
2007-10-05,0,39.42
2007-10-12,0,40.26
2007-10-19,0,39.27
2007-10-26,0,40.00
2007-11-02,0,40.86
2007-11-09,0,41.90
2007-11-16,0,41.88
2007-11-23,0,41.97
2007-11-30,0,42.61
2007-12-07,0,43.48
2007-12-14,0,42.65
2007-12-21,0,43.11
2007-12-28,0,42.50
2008-01-04,0,41.59
2008-01-11,0,42.09
2008-01-18,0,38.75
2008-01-25,0,37.13
2008-02-01,0,38.08
2008-02-08,0,37.88
2008-02-15,0,38.57
2008-02-22,0,38.70
2008-02-29,0,37.87
2008-03-07,0,37.10
2008-03-14,0,36.77
2008-03-21,0,
2008-03-28,0,36.21
2008-04-04,0,37.90
2008-04-11,0,38.43
2008-04-18,0,39.21
2008-04-25,0,40.00
2008-05-02,0,40.28
2008-05-09,0,39.40
2008-05-16,0,40.45
2008-05-23,0,40.00
2008-05-30,0,40.14
2008-06-06,0,39.51
2008-06-13,0,39.58
2008-06-20,0,38.05
2008-06-27,0,36.79
2008-07-04,0,
2008-07-11,0,36.84
2008-07-18,0,35.41
2008-07-25,0,35.31
2008-08-01,0,36.56
2008-08-08,0,38.22
2008-08-15,0,37.52
2008-08-22,0,38.26
2008-08-29,0,39.20
2008-09-05,0,38.22
2008-09-12,0,39.64
2008-09-19,0,41.90
2008-09-26,0,40.59
2008-10-03,0,37.25
2008-10-10,0,30.03
2008-10-17,0,31.00
2008-10-24,0,32.34
2008-10-31,0,32.91
2008-11-07,0,34.27
2008-11-14,0,34.02
2008-11-21,0,33.85
2008-11-28,0,34.75
2008-12-05,0,34.21
2008-12-12,0,34.80
2008-12-19,0,34.10
2008-12-26,0,35.43
2009-01-02,0,36.37
2009-01-09,0,35.07
2009-01-16,0,34.21
2009-01-23,0,33.46
2009-01-30,0,34.29
2009-02-06,0,35.23
2009-02-13,0,33.58
2009-02-20,0,30.98
2009-02-27,0,30.13
2009-03-06,0,27.35
2009-03-13,0,27.46
2009-03-20,0,30.09
2009-03-27,0,30.92
2009-04-03,0,30.59
2009-04-10,0,
2009-04-17,0,30.85
2009-04-24,0,30.41
2009-05-01,0,30.79
2009-05-08,0,30.85
2009-05-15,0,28.78
2009-05-22,0,28.39
2009-05-29,0,30.02
2009-06-05,0,30.88
2009-06-12,0,31.35
2009-06-19,100,31.31
2009-06-26,0,32.12
2009-07-03,0,
2009-07-10,0,32.03
2009-07-17,0,33.61
2009-07-24,0,35.80
2009-07-31,0,35.35
2009-08-07,0,33.94
2009-08-14,0,33.59
2009-08-21,0,34.74
2009-08-28,0,34.95
2009-09-04,0,34.53
2009-09-11,0,33.86
2009-09-18,0,35.52
2009-09-25,0,35.17
2009-10-02,0,34.09
2009-10-09,0,34.82
2009-10-16,0,34.85
2009-10-23,0,34.96
2009-10-30,0,33.84
2009-11-06,0,34.15
2009-11-13,0,34.50
2009-11-20,0,34.62
2009-11-27,0,34.94
2009-12-04,0,36.38
2009-12-11,0,37.44
2009-12-18,0,37.58
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,36.65
2010-01-15,0,37.32
2010-01-22,0,35.92
2010-01-29,0,35.61
2010-02-05,0,35.12
2010-02-12,0,34.55
2010-02-19,0,36.25
2010-02-26,0,36.05
2010-03-05,0,37.62
2010-03-12,0,36.93
2010-03-19,0,37.91
2010-03-26,0,37.67
2010-04-02,0,
2010-04-09,0,38.13
2010-04-16,0,38.66
2010-04-23,0,39.40
2010-04-30,0,39.47
2010-05-07,0,36.78
2010-05-14,0,37.51
2010-05-21,0,36.26
2010-05-28,0,36.29
2010-06-04,0,35.54
2010-06-11,0,36.08
2010-06-18,0,37.61
2010-06-25,0,36.44
2010-07-02,0,35.49
2010-07-09,0,37.60
2010-07-16,0,37.93
2010-07-23,0,38.92
2010-07-30,0,38.31
2010-08-06,0,39.51
2010-08-13,0,38.61
2010-08-20,0,38.46
2010-08-27,0,39.23
2010-09-03,0,40.56
2010-09-10,0,39.82
2010-09-17,0,39.80
2010-09-24,0,40.45
2010-10-01,0,40.55
2010-10-08,0,40.69
2010-10-15,0,41.14
2010-10-22,0,41.20
2010-10-29,0,40.84
2010-11-05,0,41.67
2010-11-12,0,40.94
2010-11-19,0,40.92
2010-11-26,0,41.04
2010-12-03,0,41.18
2010-12-10,0,40.23
2010-12-17,0,40.76
2010-12-24,0,
2010-12-31,0,40.60
2011-01-07,0,41.12
2011-01-14,0,41.84
2011-01-21,0,42.00
2011-01-28,0,42.07
2011-02-04,0,42.51
2011-02-11,0,40.67
2011-02-18,0,40.43
2011-02-25,0,40.36
2011-03-04,0,40.20
2011-03-11,0,40.05
2011-03-18,0,38.50
2011-03-25,0,39.06
2011-04-01,0,39.69
2011-04-08,0,39.22
2011-04-15,0,39.20
2011-04-22,0,
2011-04-29,0,41.52
2011-05-06,0,41.22
2011-05-13,0,41.93
2011-05-20,0,41.49
2011-05-27,0,40.44
2011-06-03,0,39.89
2011-06-10,0,38.90
2011-06-17,0,38.76
2011-06-24,0,38.66
2011-07-01,0,39.86
2011-07-08,0,39.55
2011-07-15,0,39.74
2011-07-22,0,40.54
2011-07-29,0,39.19
2011-08-05,0,37.32
2011-08-12,0,37.59
2011-08-19,0,38.58
2011-08-26,0,39.09
2011-09-02,0,39.39
2011-09-09,0,38.34
2011-09-16,0,39.88
2011-09-23,0,39.75
2011-09-30,0,40.45
2011-10-07,0,40.15
2011-10-14,0,40.99
2011-10-21,0,42.66
2011-10-28,0,42.90
2011-11-04,0,42.62
2011-11-11,0,43.18
2011-11-18,0,42.52
2011-11-25,0,40.97
2011-12-02,0,43.14
2011-12-09,0,42.98
2011-12-16,0,42.78
2011-12-23,0,44.75
2011-12-30,0,45.06
2012-01-06,0,43.76
2012-01-13,0,44.05
2012-01-20,0,44.72
2012-01-27,0,44.95
2012-02-03,0,45.32
2012-02-10,0,45.31
2012-02-17,0,44.85
2012-02-24,0,45.35
2012-03-02,0,44.63
2012-03-09,0,44.85
2012-03-16,0,44.69
2012-03-23,0,44.61
2012-03-30,0,45.61
2012-04-06,0,
2012-04-13,0,44.28
2012-04-20,0,45.59
2012-04-27,0,46.12
2012-05-04,0,45.67
2012-05-11,0,46.53
2012-05-18,0,45.87
2012-05-25,0,46.65
2012-06-01,0,46.76
2012-06-08,0,46.99
2012-06-15,0,48.04
2012-06-22,0,46.56
2012-06-29,0,47.84
2012-07-06,0,48.15
2012-07-13,0,48.73
2012-07-20,0,48.67
2012-07-27,0,49.46
2012-08-03,0,49.34
2012-08-10,0,48.96
2012-08-17,0,48.57
2012-08-24,0,47.93
2012-08-31,0,47.36
2012-09-07,0,48.32
2012-09-14,0,48.42
2012-09-21,0,48.44
2012-09-28,0,48.27
2012-10-05,0,48.94
2012-10-12,0,48.30
2012-10-19,0,49.12
2012-10-26,0,48.64
2012-11-02,0,48.47
2012-11-09,0,46.46
2012-11-16,0,46.10
2012-11-23,0,45.13
2012-11-30,0,46.34
2012-12-07,0,45.90
2012-12-14,0,45.64
2012-12-21,0,46.22
2012-12-28,0,45.10
2013-01-04,0,46.67
2013-01-11,0,46.49
2013-01-18,0,46.28
2013-01-25,0,46.72
2013-02-01,0,47.17
2013-02-08,0,47.23
2013-02-15,0,47.92
2013-02-22,0,48.98
2013-03-01,0,49.06
2013-03-08,0,49.06
2013-03-15,0,49.60
2013-03-22,0,49.67
2013-03-29,0,
2013-04-05,0,52.02
2013-04-12,0,52.60
2013-04-19,0,52.81
2013-04-26,0,53.20
2013-05-03,0,53.91
2013-05-10,0,52.55
2013-05-17,0,53.48
2013-05-24,0,51.33
2013-05-31,0,50.44
2013-06-07,0,49.87
2013-06-14,0,49.46
2013-06-21,0,48.15
2013-06-28,0,49.10
2013-07-05,0,48.51
2013-07-12,0,51.04
2013-07-19,0,52.48
2013-07-26,0,52.15
2013-08-02,0,52.22
2013-08-09,0,51.46
2013-08-16,0,48.92
2013-08-23,0,48.92
2013-08-30,0,48.12
2013-09-06,0,46.17
2013-09-13,0,46.24
2013-09-20,0,46.51
2013-09-27,0,46.03
2013-10-04,0,45.00
2013-10-11,0,46.14
2013-10-18,0,46.58
2013-10-25,0,47.62
2013-11-01,0,47.21
2013-11-08,0,46.90
2013-11-15,0,47.21
2013-11-22,0,47.55
2013-11-29,0,47.17
2013-12-06,0,47.64
2013-12-13,0,46.54
2013-12-20,0,47.25
2013-12-27,0,46.96
2014-01-03,0,45.96
2014-01-10,0,46.80
2014-01-17,0,46.34
2014-01-24,0,46.56
2014-01-31,0,47.27
2014-02-07,0,46.64
2014-02-14,0,48.70
2014-02-21,0,49.60
2014-02-28,0,49.50
2014-03-07,0,48.64
2014-03-14,0,50.18
2014-03-21,0,49.73
2014-03-28,0,50.62
2014-04-04,0,51.08
2014-04-11,0,51.74
2014-04-18,0,
2014-04-25,0,53.19
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
