Date,SLM,Price
2004-01-09,55,
2004-01-16,50,
2004-01-23,55,
2004-01-30,47,
2004-02-06,58,40.15
2004-02-13,45,40.67
2004-02-20,50,41.09
2004-02-27,59,41.89
2004-03-05,46,42.76
2004-03-12,40,40.99
2004-03-19,40,40.86
2004-03-26,58,40.10
2004-04-02,47,41.91
2004-04-09,59,
2004-04-16,40,38.82
2004-04-23,45,38.56
2004-04-30,48,38.31
2004-05-07,45,37.63
2004-05-14,35,39.25
2004-05-21,41,38.14
2004-05-28,64,38.33
2004-06-04,70,38.28
2004-06-11,53,
2004-06-18,47,39.62
2004-06-25,55,40.77
2004-07-02,46,39.39
2004-07-09,56,37.96
2004-07-16,53,38.62
2004-07-23,47,36.99
2004-07-30,54,37.92
2004-08-06,35,37.84
2004-08-13,39,37.91
2004-08-20,76,39.65
2004-08-27,44,39.48
2004-09-03,54,38.76
2004-09-10,60,40.29
2004-09-17,52,42.25
2004-09-24,45,43.75
2004-10-01,51,44.74
2004-10-08,38,44.06
2004-10-15,45,44.58
2004-10-22,57,43.43
2004-10-29,54,45.26
2004-11-05,34,48.89
2004-11-12,49,50.61
2004-11-19,38,50.33
2004-11-26,44,50.69
2004-12-03,66,51.91
2004-12-10,49,52.59
2004-12-17,45,53.32
2004-12-24,45,
2004-12-31,55,53.39
2005-01-07,55,53.68
2005-01-14,54,54.97
2005-01-21,51,51.01
2005-01-28,51,49.78
2005-02-04,40,51.12
2005-02-11,63,48.81
2005-02-18,57,47.92
2005-02-25,47,48.14
2005-03-04,48,50.21
2005-03-11,43,49.16
2005-03-18,49,50.21
2005-03-25,45,
2005-04-01,51,49.10
2005-04-08,44,49.94
2005-04-15,47,48.83
2005-04-22,50,46.08
2005-04-29,59,47.64
2005-05-06,52,48.31
2005-05-13,58,47.60
2005-05-20,57,49.00
2005-05-27,45,48.96
2005-06-03,54,48.56
2005-06-10,60,48.50
2005-06-17,52,49.78
2005-06-24,47,50.88
2005-07-01,78,50.25
2005-07-08,59,49.58
2005-07-15,52,51.50
2005-07-22,57,51.22
2005-07-29,47,51.49
2005-08-05,63,51.02
2005-08-12,53,50.72
2005-08-19,54,51.73
2005-08-26,62,49.47
2005-09-02,52,50.10
2005-09-09,52,52.10
2005-09-16,39,53.65
2005-09-23,51,52.65
2005-09-30,46,53.64
2005-10-07,54,52.28
2005-10-14,41,52.55
2005-10-21,49,54.45
2005-10-28,53,55.55
2005-11-04,60,53.50
2005-11-11,43,53.98
2005-11-18,60,53.26
2005-11-25,49,52.40
2005-12-02,56,53.31
2005-12-09,56,54.44
2005-12-16,61,53.80
2005-12-23,40,55.82
2005-12-30,56,55.09
2006-01-06,56,56.40
2006-01-13,81,58.12
2006-01-20,55,55.32
2006-01-27,66,56.83
2006-02-03,56,55.72
2006-02-10,58,55.33
2006-02-17,49,55.73
2006-02-24,60,56.99
2006-03-03,55,57.15
2006-03-10,54,55.42
2006-03-17,50,55.60
2006-03-24,55,53.74
2006-03-31,62,51.94
2006-04-07,61,51.88
2006-04-14,57,
2006-04-21,59,52.93
2006-04-28,58,52.88
2006-05-05,70,52.15
2006-05-12,61,52.96
2006-05-19,58,54.40
2006-05-26,62,54.63
2006-06-02,56,54.21
2006-06-09,59,52.95
2006-06-16,76,52.99
2006-06-23,69,51.95
2006-06-30,76,52.92
2006-07-07,66,52.68
2006-07-14,67,51.51
2006-07-21,72,50.33
2006-07-28,69,50.00
2006-08-04,69,50.61
2006-08-11,71,48.01
2006-08-18,67,47.94
2006-08-25,57,46.03
2006-09-01,62,48.85
2006-09-08,71,49.80
2006-09-15,65,52.04
2006-09-22,56,51.44
2006-09-29,70,51.98
2006-10-06,56,50.66
2006-10-13,64,48.40
2006-10-20,63,47.14
2006-10-27,58,48.03
2006-11-03,62,49.48
2006-11-10,66,47.12
2006-11-17,71,47.59
2006-11-24,72,46.00
2006-12-01,71,45.60
2006-12-08,59,47.88
2006-12-15,65,49.23
2006-12-22,68,49.48
2006-12-29,62,48.77
2007-01-05,72,49.66
2007-01-12,72,48.78
2007-01-19,71,45.44
2007-01-26,67,45.41
2007-02-02,73,46.46
2007-02-09,79,42.55
2007-02-16,66,43.93
2007-02-23,64,43.55
2007-03-02,59,42.18
2007-03-09,72,42.11
2007-03-16,74,41.51
2007-03-23,73,41.55
2007-03-30,68,40.90
2007-04-06,84,
2007-04-13,80,46.76
2007-04-20,97,54.00
2007-04-27,69,54.23
2007-05-04,73,54.78
2007-05-11,66,54.15
2007-05-18,60,55.40
2007-05-25,62,56.02
2007-06-01,63,56.22
2007-06-08,72,56.16
2007-06-15,73,57.03
2007-06-22,70,57.54
2007-06-29,63,57.58
2007-07-06,71,57.90
2007-07-13,75,53.64
2007-07-20,91,50.92
2007-07-27,67,49.40
