Date,SNDK,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,53.12
2004-02-13,0,50.84
2004-02-20,0,25.14
2004-02-27,0,25.42
2004-03-05,0,28.92
2004-03-12,0,27.21
2004-03-19,0,25.98
2004-03-26,0,28.20
2004-04-02,0,30.00
2004-04-09,0,
2004-04-16,0,26.52
2004-04-23,0,26.88
2004-04-30,0,23.15
2004-05-07,0,23.45
2004-05-14,0,23.86
2004-05-21,0,22.78
2004-05-28,0,24.65
2004-06-04,0,22.90
2004-06-11,0,
2004-06-18,0,20.37
2004-06-25,0,21.93
2004-07-02,0,20.93
2004-07-09,0,20.93
2004-07-16,0,23.69
2004-07-23,0,23.45
2004-07-30,0,24.32
2004-08-06,0,22.19
2004-08-13,0,21.60
2004-08-20,0,23.24
2004-08-27,0,23.86
2004-09-03,0,23.09
2004-09-10,0,25.23
2004-09-17,0,26.30
2004-09-24,0,27.38
2004-10-01,0,30.42
2004-10-08,0,30.20
2004-10-15,0,20.43
2004-10-22,0,20.11
2004-10-29,0,20.87
2004-11-05,0,21.24
2004-11-12,0,21.82
2004-11-19,0,22.49
2004-11-26,0,23.04
2004-12-03,0,24.05
2004-12-10,0,22.73
2004-12-17,0,22.77
2004-12-24,0,
2004-12-31,0,24.97
2005-01-07,0,23.96
2005-01-14,0,24.91
2005-01-21,0,23.16
2005-01-28,29,24.91
2005-02-04,0,25.14
2005-02-11,0,24.81
2005-02-18,0,25.60
2005-02-25,0,27.01
2005-03-04,0,26.51
2005-03-11,0,27.80
2005-03-18,0,28.09
2005-03-25,0,
2005-04-01,0,27.77
2005-04-08,0,28.75
2005-04-15,0,26.16
2005-04-22,0,25.32
2005-04-29,0,23.70
2005-05-06,0,25.11
2005-05-13,0,25.32
2005-05-20,0,25.79
2005-05-27,0,26.09
2005-06-03,0,25.52
2005-06-10,0,24.80
2005-06-17,0,25.01
2005-06-24,0,24.69
2005-07-01,0,23.64
2005-07-08,0,25.05
2005-07-15,0,27.50
2005-07-22,22,31.40
2005-07-29,22,33.82
2005-08-05,25,34.32
2005-08-12,22,36.54
2005-08-19,22,35.96
2005-08-26,23,37.28
2005-09-02,23,37.76
2005-09-09,24,39.55
2005-09-16,25,45.71
2005-09-23,31,44.79
2005-09-30,35,48.24
2005-10-07,42,52.76
2005-10-14,36,50.44
2005-10-21,60,56.45
2005-10-28,58,57.36
2005-11-04,51,65.14
2005-11-11,42,60.98
2005-11-18,56,56.20
2005-11-25,79,50.22
2005-12-02,51,47.75
2005-12-09,38,49.23
2005-12-16,53,58.04
2005-12-23,51,63.04
2005-12-30,52,62.82
2006-01-06,52,73.95
2006-01-13,72,72.83
2006-01-20,41,68.39
2006-01-27,100,63.38
2006-02-03,70,64.05
2006-02-10,38,61.24
2006-02-17,40,57.39
2006-02-24,41,56.34
2006-03-03,74,59.28
2006-03-10,50,53.06
2006-03-17,44,55.00
2006-03-24,37,58.00
2006-03-31,40,57.52
2006-04-07,38,61.02
2006-04-14,45,
2006-04-21,48,60.05
2006-04-28,38,63.83
2006-05-05,37,62.53
2006-05-12,33,61.24
2006-05-19,28,62.49
2006-05-26,38,59.64
2006-06-02,34,55.13
2006-06-09,32,52.27
2006-06-16,16,53.92
2006-06-23,25,51.59
2006-06-30,16,50.98
2006-07-07,22,47.45
2006-07-14,35,39.18
2006-07-21,32,37.51
2006-07-28,65,47.14
2006-08-04,36,47.64
2006-08-11,28,45.84
2006-08-18,26,51.17
2006-08-25,41,54.61
2006-09-01,30,58.73
2006-09-08,26,56.50
2006-09-15,42,58.51
2006-09-22,28,55.38
2006-09-29,37,53.54
2006-10-06,32,57.50
2006-10-13,39,59.16
2006-10-20,61,49.15
2006-10-27,53,48.04
2006-11-03,46,47.15
2006-11-10,44,45.75
2006-11-17,30,47.14
2006-11-24,30,47.78
2006-12-01,45,44.50
2006-12-08,41,44.09
2006-12-15,43,42.51
2006-12-22,39,42.06
2006-12-29,37,43.03
2007-01-05,39,43.30
2007-01-12,52,44.03
2007-01-19,47,42.35
2007-01-26,43,42.73
2007-02-02,68,40.80
2007-02-09,26,40.30
2007-02-16,51,40.13
2007-02-23,41,38.62
2007-03-02,44,37.84
2007-03-09,46,39.41
2007-03-16,38,40.57
2007-03-23,47,44.88
2007-03-30,38,43.80
2007-04-06,35,
2007-04-13,30,43.35
2007-04-20,38,42.53
2007-04-27,45,44.01
2007-05-04,23,44.15
2007-05-11,31,44.87
2007-05-18,23,44.14
2007-05-25,18,41.97
2007-06-01,22,42.54
2007-06-08,24,44.22
2007-06-15,25,46.40
2007-06-22,31,47.90
2007-06-29,26,48.94
2007-07-06,15,49.20
2007-07-13,50,54.76
2007-07-20,73,56.96
2007-07-27,64,54.83
2007-08-03,37,53.43
2007-08-10,45,57.13
2007-08-17,37,53.67
2007-08-24,27,54.00
2007-08-31,29,56.06
2007-09-07,31,52.93
2007-09-14,41,51.29
2007-09-21,32,53.56
2007-09-28,30,55.10
2007-10-05,24,52.10
2007-10-12,33,47.40
2007-10-19,53,42.71
2007-10-26,44,41.02
2007-11-02,45,44.43
2007-11-09,41,38.95
2007-11-16,44,37.36
2007-11-23,22,36.11
2007-11-30,30,37.44
2007-12-07,23,38.65
2007-12-14,35,36.34
2007-12-21,19,35.67
2007-12-28,23,33.54
2008-01-04,35,30.42
2008-01-11,34,28.58
2008-01-18,34,27.74
2008-01-25,28,25.62
2008-02-01,43,27.55
2008-02-08,27,26.61
2008-02-15,31,25.37
2008-02-22,23,25.65
2008-02-29,22,23.55
2008-03-07,27,21.41
2008-03-14,23,22.15
2008-03-21,19,
2008-03-28,22,21.26
2008-04-04,21,25.84
2008-04-11,29,26.40
2008-04-18,26,27.40
2008-04-25,18,26.84
2008-05-02,25,29.19
2008-05-09,24,29.18
2008-05-16,27,32.44
2008-05-23,32,28.26
2008-05-30,16,28.31
2008-06-06,13,27.60
2008-06-13,16,24.02
2008-06-20,25,21.16
2008-06-27,25,19.23
2008-07-04,19,
2008-07-11,23,16.56
2008-07-18,20,17.57
2008-07-25,37,13.66
2008-08-01,20,14.36
2008-08-08,18,16.67
2008-08-15,23,17.64
2008-08-22,20,15.02
2008-08-29,17,14.46
2008-09-05,32,17.64
2008-09-12,21,15.69
2008-09-19,70,22.52
2008-09-26,31,21.56
2008-10-03,25,18.38
2008-10-10,34,15.92
2008-10-17,18,15.51
2008-10-24,55,7.93
2008-10-31,33,8.89
2008-11-07,25,9.98
2008-11-14,20,7.15
2008-11-21,22,5.63
2008-11-28,10,8.00
2008-12-05,23,9.23
2008-12-12,26,9.92
2008-12-19,15,9.60
2008-12-26,11,9.18
2009-01-02,13,11.08
2009-01-09,20,12.30
2009-01-16,17,12.03
2009-01-23,12,11.75
2009-01-30,14,11.43
2009-02-06,25,11.05
2009-02-13,15,10.72
2009-02-20,12,9.36
2009-02-27,10,8.91
2009-03-06,9,7.79
2009-03-13,17,11.05
2009-03-20,14,10.15
2009-03-27,13,13.08
2009-04-03,10,14.09
2009-04-10,17,
2009-04-17,11,14.82
2009-04-24,14,15.62
2009-05-01,8,15.16
2009-05-08,13,14.07
2009-05-15,13,13.90
2009-05-22,11,13.27
2009-05-29,15,15.66
2009-06-05,12,15.67
2009-06-12,13,15.55
2009-06-19,8,14.55
2009-06-26,9,14.87
2009-07-03,6,
2009-07-10,6,14.47
2009-07-17,25,18.03
2009-07-24,32,17.09
2009-07-31,19,17.82
2009-08-07,16,17.84
2009-08-14,13,16.88
2009-08-21,8,16.88
2009-08-28,13,18.03
2009-09-04,8,17.46
2009-09-11,11,19.75
2009-09-18,14,22.84
2009-09-25,12,21.25
2009-10-02,7,20.09
2009-10-09,6,21.44
2009-10-16,8,20.98
2009-10-23,17,22.12
2009-10-30,9,20.48
2009-11-06,9,20.82
2009-11-13,10,21.95
2009-11-20,8,20.24
2009-11-27,9,19.66
2009-12-04,9,21.94
2009-12-11,9,22.92
2009-12-18,10,25.08
2009-12-25,17,
2010-01-01,15,
2010-01-08,20,31.13
2010-01-15,12,27.98
2010-01-22,14,28.39
2010-01-29,16,25.42
2010-02-05,13,26.09
2010-02-12,9,26.98
2010-02-19,10,29.13
2010-02-26,9,29.15
2010-03-05,15,33.32
2010-03-12,13,33.80
2010-03-19,10,32.25
2010-03-26,10,34.70
2010-04-02,10,
2010-04-09,10,36.03
2010-04-16,12,37.74
2010-04-23,20,44.61
2010-04-30,17,39.84
2010-05-07,14,37.61
2010-05-14,16,41.90
2010-05-21,12,41.48
2010-05-28,16,46.62
2010-06-04,15,44.88
2010-06-11,14,44.60
2010-06-18,21,49.02
2010-06-25,21,46.10
2010-07-02,11,41.47
2010-07-09,11,42.90
2010-07-16,21,41.93
2010-07-23,26,41.43
2010-07-30,15,43.70
2010-08-06,13,45.14
2010-08-13,11,41.54
2010-08-20,16,41.50
2010-08-27,17,34.19
2010-09-03,17,36.95
2010-09-10,13,36.94
2010-09-17,16,38.12
2010-09-24,17,35.85
2010-10-01,12,37.03
2010-10-08,10,39.52
2010-10-15,12,39.21
2010-10-22,19,36.99
2010-10-29,12,37.63
2010-11-05,12,41.31
2010-11-12,10,39.57
2010-11-19,11,39.98
2010-11-26,15,44.95
2010-12-03,13,48.31
2010-12-10,16,49.60
2010-12-17,11,48.87
2010-12-24,16,
2010-12-31,11,49.86
2011-01-07,12,52.37
2011-01-14,10,52.77
2011-01-21,11,49.97
2011-01-28,17,46.80
2011-02-04,12,48.03
2011-02-11,12,51.01
2011-02-18,16,51.38
2011-02-25,8,50.18
2011-03-04,11,47.69
2011-03-11,10,45.07
2011-03-18,10,43.31
2011-03-25,9,45.01
2011-04-01,7,45.51
2011-04-08,8,46.77
2011-04-15,8,46.78
2011-04-22,14,
2011-04-29,10,49.33
2011-05-06,6,47.15
2011-05-13,9,46.49
2011-05-20,10,46.46
2011-05-27,5,46.04
2011-06-03,8,44.26
2011-06-10,6,42.53
2011-06-17,5,40.94
2011-06-24,8,38.94
2011-07-01,8,42.80
2011-07-08,5,43.04
2011-07-15,10,41.62
2011-07-22,14,45.57
2011-07-29,8,42.53
2011-08-05,10,39.32
2011-08-12,11,38.09
2011-08-19,10,32.50
2011-08-26,9,34.80
2011-09-02,8,34.94
2011-09-09,9,38.73
2011-09-16,10,42.78
2011-09-23,8,42.20
2011-09-30,7,40.36
2011-10-07,8,43.14
2011-10-14,8,46.79
2011-10-21,12,49.76
2011-10-28,18,53.38
2011-11-04,11,51.31
2011-11-11,9,51.66
2011-11-18,11,48.72
2011-11-25,5,45.56
2011-12-02,7,50.32
2011-12-09,9,50.39
2011-12-16,6,47.91
2011-12-23,8,50.52
2011-12-30,6,49.21
2012-01-06,5,49.93
2012-01-13,7,49.89
2012-01-20,6,52.49
2012-01-27,14,46.70
2012-02-03,10,47.54
2012-02-10,11,46.44
2012-02-17,9,47.79
2012-02-24,6,49.14
2012-03-02,7,50.91
2012-03-09,5,50.25
2012-03-16,9,50.25
2012-03-23,6,49.40
2012-03-30,5,49.59
2012-04-06,11,
2012-04-13,6,41.11
2012-04-20,15,35.91
2012-04-27,10,37.58
2012-05-04,8,35.94
2012-05-11,6,35.70
2012-05-18,6,31.52
2012-05-25,6,33.73
2012-06-01,5,31.23
2012-06-08,8,35.43
2012-06-15,6,36.85
2012-06-22,7,36.36
2012-06-29,6,36.48
2012-07-06,7,36.71
2012-07-13,5,33.42
2012-07-20,11,38.70
2012-07-27,10,42.44
2012-08-03,6,41.37
2012-08-10,6,41.40
2012-08-17,7,42.55
2012-08-24,8,43.04
2012-08-31,5,41.22
2012-09-07,7,44.26
2012-09-14,8,45.69
2012-09-21,6,45.24
2012-09-28,5,43.43
2012-10-05,4,44.09
2012-10-12,6,42.28
2012-10-19,11,44.02
2012-10-26,7,42.23
2012-11-02,6,43.46
2012-11-09,6,41.22
2012-11-16,6,39.46
2012-11-23,5,40.13
2012-11-30,6,39.10
2012-12-07,6,42.25
2012-12-14,4,42.67
2012-12-21,6,44.32
2012-12-28,5,42.68
2013-01-04,5,45.46
2013-01-11,5,46.53
2013-01-18,7,48.46
2013-01-25,9,49.66
2013-02-01,7,50.25
2013-02-08,7,50.21
2013-02-15,8,51.71
2013-02-22,6,49.47
2013-03-01,6,50.29
2013-03-08,6,51.85
2013-03-15,6,55.11
2013-03-22,5,55.19
2013-03-29,4,
2013-04-05,3,54.76
2013-04-12,5,57.71
2013-04-19,9,52.31
2013-04-26,6,53.90
2013-05-03,5,53.88
2013-05-10,4,57.23
2013-05-17,6,59.90
2013-05-24,6,58.01
2013-05-31,5,59.02
2013-06-07,5,58.31
2013-06-14,5,58.81
2013-06-21,7,58.86
2013-06-28,4,61.10
2013-07-05,6,61.84
2013-07-12,5,60.90
2013-07-19,13,62.71
2013-07-26,10,57.00
2013-08-02,13,58.30
2013-08-09,8,58.01
2013-08-16,5,55.81
2013-08-23,8,56.82
2013-08-30,7,55.18
2013-09-06,8,58.34
2013-09-13,8,60.87
2013-09-20,5,59.55
2013-09-27,4,59.94
2013-10-04,4,62.69
2013-10-11,4,62.17
2013-10-18,14,68.73
2013-10-25,9,69.02
2013-11-01,5,68.97
2013-11-08,6,68.05
2013-11-15,5,70.05
2013-11-22,3,67.40
2013-11-29,3,68.15
2013-12-06,4,67.97
2013-12-13,4,66.27
2013-12-20,3,69.51
2013-12-27,3,70.24
2014-01-03,4,68.86
2014-01-10,6,72.60
2014-01-17,7,73.69
2014-01-24,9,69.48
2014-01-31,6,69.55
2014-02-07,5,71.61
2014-02-14,5,74.59
2014-02-21,10,74.80
2014-02-28,8,74.30
2014-03-07,7,74.41
2014-03-14,6,73.28
2014-03-21,8,80.10
2014-03-28,6,80.61
2014-04-04,7,80.95
2014-04-11,7,73.65
2014-04-18,14,
2014-04-25,8,84.35
2014-05-02,7,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
