Date,SPLS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,26.01
2004-02-13,0,25.52
2004-02-20,0,25.47
2004-02-27,0,26.15
2004-03-05,0,26.55
2004-03-12,0,25.23
2004-03-19,0,24.88
2004-03-26,0,25.04
2004-04-02,0,26.23
2004-04-09,0,
2004-04-16,0,26.92
2004-04-23,0,27.46
2004-04-30,0,25.73
2004-05-07,0,24.63
2004-05-14,0,24.90
2004-05-21,0,26.72
2004-05-28,0,27.58
2004-06-04,0,27.36
2004-06-11,0,
2004-06-18,0,29.34
2004-06-25,0,29.61
2004-07-02,0,28.76
2004-07-09,0,28.01
2004-07-16,0,28.66
2004-07-23,0,28.40
2004-07-30,0,28.88
2004-08-06,0,26.78
2004-08-13,0,26.78
2004-08-20,0,29.12
2004-08-27,0,29.40
2004-09-03,0,29.16
2004-09-10,0,30.00
2004-09-17,0,29.24
2004-09-24,0,29.37
2004-10-01,0,29.69
2004-10-08,0,29.40
2004-10-15,0,28.80
2004-10-22,0,28.73
2004-10-29,0,29.74
2004-11-05,0,31.20
2004-11-12,0,30.50
2004-11-19,0,30.80
2004-11-26,0,32.20
2004-12-03,0,32.81
2004-12-10,0,32.89
2004-12-17,0,32.97
2004-12-24,0,
2004-12-31,0,33.71
2005-01-07,0,32.40
2005-01-14,0,32.89
2005-01-21,0,31.74
2005-01-28,0,32.14
2005-02-04,0,32.32
2005-02-11,0,32.18
2005-02-18,0,31.49
2005-02-25,0,32.10
2005-03-04,0,31.81
2005-03-11,0,32.15
2005-03-18,0,30.51
2005-03-25,0,
2005-04-01,0,30.45
2005-04-08,0,30.85
2005-04-15,0,29.25
2005-04-22,0,19.49
2005-04-29,0,19.07
2005-05-06,0,19.82
2005-05-13,0,19.99
2005-05-20,0,22.07
2005-05-27,0,21.70
2005-06-03,0,21.80
2005-06-10,0,22.00
2005-06-17,0,22.14
2005-06-24,0,21.57
2005-07-01,0,20.99
2005-07-08,0,21.92
2005-07-15,0,23.19
2005-07-22,0,23.38
2005-07-29,0,22.77
2005-08-05,0,21.97
2005-08-12,0,22.23
2005-08-19,0,22.43
2005-08-26,0,22.28
2005-09-02,0,21.50
2005-09-09,0,21.74
2005-09-16,0,21.28
2005-09-23,0,20.98
2005-09-30,0,21.32
2005-10-07,0,21.47
2005-10-14,0,21.25
2005-10-21,0,21.33
2005-10-28,0,22.00
2005-11-04,0,23.33
2005-11-11,0,23.75
2005-11-18,0,23.27
2005-11-25,0,23.25
2005-12-02,0,23.10
2005-12-09,0,22.45
2005-12-16,0,22.60
2005-12-23,0,23.40
2005-12-30,0,22.71
2006-01-06,0,22.58
2006-01-13,0,22.44
2006-01-20,0,22.01
2006-01-27,0,23.64
2006-02-03,0,23.14
2006-02-10,0,22.98
2006-02-17,0,22.95
2006-02-24,0,22.70
2006-03-03,51,24.89
2006-03-10,0,24.37
2006-03-17,0,25.04
2006-03-24,0,25.28
2006-03-31,0,25.52
2006-04-07,0,25.94
2006-04-14,0,
2006-04-21,0,25.57
2006-04-28,0,26.41
2006-05-05,0,26.55
2006-05-12,0,26.61
2006-05-19,0,24.52
2006-05-26,0,23.95
2006-06-02,0,24.10
2006-06-09,0,23.42
2006-06-16,0,24.74
2006-06-23,0,24.43
2006-06-30,0,24.35
2006-07-07,0,23.80
2006-07-14,0,22.75
2006-07-21,0,21.94
2006-07-28,0,21.74
2006-08-04,0,22.90
2006-08-11,0,23.52
2006-08-18,0,23.73
2006-08-25,0,22.79
2006-09-01,0,22.67
2006-09-08,0,23.39
2006-09-15,0,24.98
2006-09-22,0,24.44
2006-09-29,0,24.33
2006-10-06,46,25.70
2006-10-13,73,26.88
2006-10-20,100,25.71
2006-10-27,48,25.77
2006-11-03,48,25.36
2006-11-10,39,25.65
2006-11-17,45,26.65
2006-11-24,47,25.62
2006-12-01,48,25.34
2006-12-08,0,26.07
2006-12-15,0,27.41
2006-12-22,0,26.65
2006-12-29,0,26.70
2007-01-05,0,26.02
2007-01-12,0,26.68
2007-01-19,0,27.02
2007-01-26,0,25.66
2007-02-02,41,26.45
2007-02-09,34,26.70
2007-02-16,34,26.85
2007-02-23,34,27.19
2007-03-02,55,25.45
2007-03-09,0,26.03
2007-03-16,0,25.49
2007-03-23,0,26.45
2007-03-30,0,25.84
2007-04-06,0,
2007-04-13,0,26.65
2007-04-20,0,26.37
2007-04-27,0,25.37
2007-05-04,42,25.28
2007-05-11,29,24.77
2007-05-18,29,25.55
2007-05-25,29,24.40
2007-06-01,0,25.37
2007-06-08,0,24.56
2007-06-15,0,24.99
2007-06-22,0,24.28
2007-06-29,0,23.73
2007-07-06,0,24.75
2007-07-13,39,24.83
2007-07-20,38,24.81
2007-07-27,38,23.14
2007-08-03,0,23.24
2007-08-10,0,22.96
2007-08-17,0,23.25
2007-08-24,0,23.50
2007-08-31,0,23.75
2007-09-07,0,22.39
2007-09-14,0,22.40
2007-09-21,0,22.47
2007-09-28,0,21.49
2007-10-05,34,22.59
2007-10-12,44,22.06
2007-10-19,43,21.54
2007-10-26,39,22.33
2007-11-02,35,21.90
2007-11-09,34,20.93
2007-11-16,39,21.09
2007-11-23,45,20.56
2007-11-30,51,23.70
2007-12-07,40,24.60
2007-12-14,28,22.64
2007-12-21,40,23.14
2007-12-28,33,23.04
2008-01-04,33,21.27
2008-01-11,33,20.71
2008-01-18,24,21.53
2008-01-25,38,22.55
2008-02-01,25,23.93
2008-02-08,25,23.01
2008-02-15,25,22.04
2008-02-22,24,23.58
2008-02-29,35,22.25
2008-03-07,26,21.74
2008-03-14,25,20.87
2008-03-21,25,
2008-03-28,30,22.41
2008-04-04,25,23.25
2008-04-11,25,21.80
2008-04-18,28,22.51
2008-04-25,24,22.44
2008-05-02,24,23.35
2008-05-09,21,21.50
2008-05-16,21,23.83
2008-05-23,30,22.67
2008-05-30,40,23.45
2008-06-06,26,23.23
2008-06-13,40,25.49
2008-06-20,34,24.61
2008-06-27,29,23.96
2008-07-04,29,
2008-07-11,47,21.01
2008-07-18,39,22.55
2008-07-25,28,22.38
2008-08-01,32,22.65
2008-08-08,34,24.47
2008-08-15,48,24.90
2008-08-22,34,24.72
2008-08-29,22,24.20
2008-09-05,25,24.68
2008-09-12,28,24.50
2008-09-19,31,25.02
2008-09-26,25,23.07
2008-10-03,25,20.00
2008-10-10,50,16.43
2008-10-17,42,17.17
2008-10-24,47,14.44
2008-10-31,40,19.43
2008-11-07,52,18.35
2008-11-14,26,17.09
2008-11-21,30,15.64
2008-11-28,25,17.36
2008-12-05,37,18.46
2008-12-12,29,16.92
2008-12-19,21,18.30
2008-12-26,21,17.57
2009-01-02,21,18.79
2009-01-09,21,18.30
2009-01-16,18,17.45
2009-01-23,21,16.58
2009-01-30,31,15.94
2009-02-06,24,16.77
2009-02-13,29,15.74
2009-02-20,21,15.75
2009-02-27,26,15.95
2009-03-06,22,14.81
2009-03-13,36,16.20
2009-03-20,30,17.01
2009-03-27,47,18.57
2009-04-03,40,19.42
2009-04-10,27,
2009-04-17,28,20.81
2009-04-24,27,21.91
2009-05-01,22,20.12
2009-05-08,21,19.90
2009-05-15,15,19.19
2009-05-22,24,19.37
2009-05-29,20,20.46
2009-06-05,41,20.23
2009-06-12,26,21.13
2009-06-19,30,20.33
2009-06-26,23,20.60
2009-07-03,20,
2009-07-10,30,19.39
2009-07-17,28,20.47
2009-07-24,30,21.54
2009-07-31,17,21.02
2009-08-07,21,22.95
2009-08-14,17,21.83
2009-08-21,15,22.49
2009-08-28,28,21.98
2009-09-04,28,21.41
2009-09-11,19,22.30
2009-09-18,18,23.29
2009-09-25,20,22.79
2009-10-02,15,22.54
2009-10-09,15,23.14
2009-10-16,15,23.21
2009-10-23,24,22.60
2009-10-30,13,21.70
2009-11-06,13,22.23
2009-11-13,17,22.41
2009-11-20,22,22.72
2009-11-27,26,23.32
2009-12-04,30,24.36
2009-12-11,16,24.46
2009-12-18,20,24.59
2009-12-25,21,
2010-01-01,22,
2010-01-08,19,25.47
2010-01-15,21,25.11
2010-01-22,15,24.11
2010-01-29,16,23.46
2010-02-05,20,23.47
2010-02-12,16,24.18
2010-02-19,16,25.68
2010-02-26,19,25.76
2010-03-05,22,23.29
2010-03-12,27,23.42
2010-03-19,20,23.75
2010-03-26,23,23.77
2010-04-02,20,
2010-04-09,15,24.30
2010-04-16,19,24.26
2010-04-23,17,24.61
2010-04-30,15,23.54
2010-05-07,15,21.66
2010-05-14,21,22.12
2010-05-21,18,21.52
2010-05-28,15,21.52
2010-06-04,18,21.14
2010-06-11,12,21.73
2010-06-18,13,21.98
2010-06-25,13,20.09
2010-07-02,13,19.19
2010-07-09,13,19.67
2010-07-16,18,19.31
2010-07-23,14,20.00
2010-07-30,20,20.33
2010-08-06,13,20.17
2010-08-13,16,19.11
2010-08-20,14,18.93
2010-08-27,24,18.04
2010-09-03,17,19.14
2010-09-10,18,19.44
2010-09-17,18,19.49
2010-09-24,18,20.59
2010-10-01,10,20.72
2010-10-08,14,20.58
2010-10-15,16,20.81
2010-10-22,13,20.60
2010-10-29,16,20.52
2010-11-05,14,20.79
2010-11-12,19,20.28
2010-11-19,23,21.43
2010-11-26,12,22.00
2010-12-03,11,22.65
2010-12-10,13,22.15
2010-12-17,14,22.53
2010-12-24,14,
2010-12-31,12,22.77
2011-01-07,19,23.44
2011-01-14,11,23.39
2011-01-21,15,23.37
2011-01-28,19,22.32
2011-02-04,11,22.57
2011-02-11,18,22.25
2011-02-18,10,21.48
2011-02-25,10,20.94
2011-03-04,23,20.43
2011-03-11,17,20.28
2011-03-18,19,19.90
2011-03-25,14,20.02
2011-04-01,17,20.06
2011-04-08,17,20.25
2011-04-15,14,19.98
2011-04-22,13,
2011-04-29,17,21.14
2011-05-06,15,20.89
2011-05-13,10,20.25
2011-05-20,27,16.37
2011-05-27,20,16.56
2011-06-03,17,15.82
2011-06-10,15,14.79
2011-06-17,20,15.35
2011-06-24,24,15.31
2011-07-01,19,15.92
2011-07-08,13,15.57
2011-07-15,17,15.20
2011-07-22,28,15.74
2011-07-29,21,16.06
2011-08-05,28,14.34
2011-08-12,47,13.48
2011-08-19,42,13.54
2011-08-26,30,14.48
2011-09-02,15,13.81
2011-09-09,14,13.57
2011-09-16,24,14.85
2011-09-23,22,13.22
2011-09-30,19,13.30
2011-10-07,22,14.21
2011-10-14,17,14.87
2011-10-21,23,14.89
2011-10-28,21,14.84
2011-11-04,13,14.87
2011-11-11,23,15.43
2011-11-18,25,14.10
2011-11-25,10,13.68
2011-12-02,17,14.33
2011-12-09,17,14.67
2011-12-16,17,14.08
2011-12-23,13,14.18
2011-12-30,17,13.89
2012-01-06,29,14.51
2012-01-13,28,14.89
2012-01-20,27,16.00
2012-01-27,33,16.01
2012-02-03,19,14.77
2012-02-10,16,14.76
2012-02-17,17,15.15
2012-02-24,16,15.28
2012-03-02,43,15.36
2012-03-09,23,15.40
2012-03-16,16,16.42
2012-03-23,25,16.58
2012-03-30,21,16.19
2012-04-06,17,
2012-04-13,20,15.53
2012-04-20,20,15.66
2012-04-27,19,15.76
2012-05-04,18,14.86
2012-05-11,15,14.92
2012-05-18,22,13.07
2012-05-25,13,13.41
2012-06-01,17,12.76
2012-06-08,17,12.86
2012-06-15,11,12.67
2012-06-22,17,12.75
2012-06-29,20,13.05
2012-07-06,16,13.22
2012-07-13,20,12.41
2012-07-20,24,12.47
2012-07-27,19,12.47
2012-08-03,26,12.93
2012-08-10,26,13.41
2012-08-17,43,11.34
2012-08-24,27,10.85
2012-08-31,27,10.92
2012-09-07,23,11.64
2012-09-14,34,12.21
2012-09-21,26,12.36
2012-09-28,36,11.52
2012-10-05,24,11.63
2012-10-12,23,11.10
2012-10-19,20,11.23
2012-10-26,18,11.44
2012-11-02,18,11.47
2012-11-09,18,11.15
2012-11-16,26,11.73
2012-11-23,15,11.91
2012-11-30,18,11.70
2012-12-07,21,11.40
2012-12-14,21,11.69
2012-12-21,18,11.53
2012-12-28,11,11.10
2013-01-04,20,11.76
2013-01-11,21,11.98
2013-01-18,24,13.00
2013-01-25,28,12.97
2013-02-01,31,13.51
2013-02-08,20,12.98
2013-02-15,19,12.95
2013-02-22,36,13.27
2013-03-01,24,12.99
2013-03-08,42,12.96
2013-03-15,30,13.40
2013-03-22,24,13.53
2013-03-29,24,
2013-04-05,20,13.10
2013-04-12,20,13.70
2013-04-19,19,12.94
2013-04-26,20,12.82
2013-05-03,23,13.52
2013-05-10,26,14.07
2013-05-17,24,14.51
2013-05-24,33,14.94
2013-05-31,25,15.01
2013-06-07,16,15.48
2013-06-14,25,16.04
2013-06-21,37,15.59
2013-06-28,24,15.87
2013-07-05,24,15.98
2013-07-12,37,16.73
2013-07-19,34,16.47
2013-07-26,28,16.54
2013-08-02,26,17.00
2013-08-09,32,16.95
2013-08-16,25,16.84
2013-08-23,40,14.20
2013-08-30,26,13.91
2013-09-06,17,14.07
2013-09-13,14,14.43
2013-09-20,20,14.81
2013-09-27,18,14.59
2013-10-04,17,14.80
2013-10-11,21,14.92
2013-10-18,24,15.91
2013-10-25,21,16.01
2013-11-01,23,16.18
2013-11-08,22,15.73
2013-11-15,23,15.57
2013-11-22,26,15.48
2013-11-29,13,15.53
2013-12-06,20,15.96
2013-12-13,26,15.43
2013-12-20,19,15.73
2013-12-27,12,15.79
2014-01-03,17,15.79
2014-01-10,29,14.97
2014-01-17,28,13.61
2014-01-24,22,13.52
2014-01-31,22,13.16
2014-02-07,19,13.07
2014-02-14,22,13.03
2014-02-21,20,13.09
2014-02-28,21,13.59
2014-03-07,58,11.48
2014-03-14,33,11.30
2014-03-21,21,11.45
2014-03-28,25,11.37
2014-04-04,25,12.16
2014-04-11,25,11.83
2014-04-18,16,
2014-04-25,14,12.29
2014-05-02,16,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
