Date,SWY,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,22.64
2004-02-13,0,22.43
2004-02-20,0,23.48
2004-02-27,0,22.87
2004-03-05,0,22.61
2004-03-12,0,20.45
2004-03-19,0,20.74
2004-03-26,0,20.16
2004-04-02,0,21.01
2004-04-09,0,
2004-04-16,0,21.90
2004-04-23,0,23.51
2004-04-30,0,22.95
2004-05-07,0,22.51
2004-05-14,0,21.88
2004-05-21,0,21.03
2004-05-28,0,22.56
2004-06-04,0,22.54
2004-06-11,0,
2004-06-18,0,24.46
2004-06-25,0,24.86
2004-07-02,0,24.76
2004-07-09,0,23.85
2004-07-16,0,22.70
2004-07-23,0,21.69
2004-07-30,0,21.13
2004-08-06,0,20.35
2004-08-13,0,19.63
2004-08-20,0,20.63
2004-08-27,0,20.71
2004-09-03,0,21.10
2004-09-10,0,21.13
2004-09-17,0,19.72
2004-09-24,0,19.41
2004-10-01,0,19.63
2004-10-08,0,20.04
2004-10-15,0,18.77
2004-10-22,0,17.65
2004-10-29,0,18.24
2004-11-05,0,20.20
2004-11-12,0,20.00
2004-11-19,0,18.86
2004-11-26,0,19.57
2004-12-03,0,18.94
2004-12-10,0,18.43
2004-12-17,0,19.06
2004-12-24,0,
2004-12-31,0,19.74
2005-01-07,0,18.62
2005-01-14,0,18.13
2005-01-21,0,18.37
2005-01-28,0,18.84
2005-02-04,0,19.00
2005-02-11,0,19.11
2005-02-18,0,18.59
2005-02-25,0,18.32
2005-03-04,0,18.87
2005-03-11,0,18.35
2005-03-18,0,18.11
2005-03-25,0,
2005-04-01,0,18.26
2005-04-08,0,20.68
2005-04-15,0,21.12
2005-04-22,0,20.76
2005-04-29,0,21.29
2005-05-06,0,20.47
2005-05-13,0,20.61
2005-05-20,0,22.94
2005-05-27,0,22.33
2005-06-03,0,22.52
2005-06-10,0,22.84
2005-06-17,0,23.33
2005-06-24,0,23.22
2005-07-01,0,22.57
2005-07-08,0,23.31
2005-07-15,0,24.37
2005-07-22,0,23.75
2005-07-29,0,24.30
2005-08-05,0,23.72
2005-08-12,0,23.34
2005-08-19,0,23.60
2005-08-26,0,22.67
2005-09-02,0,24.13
2005-09-09,0,24.71
2005-09-16,0,25.05
2005-09-23,0,24.76
2005-09-30,0,25.60
2005-10-07,0,25.33
2005-10-14,0,24.49
2005-10-21,0,22.89
2005-10-28,0,22.90
2005-11-04,0,22.51
2005-11-11,0,23.39
2005-11-18,0,23.37
2005-11-25,0,23.73
2005-12-02,0,23.82
2005-12-09,0,24.38
2005-12-16,0,24.42
2005-12-23,0,24.38
2005-12-30,0,23.66
2006-01-06,0,23.82
2006-01-13,0,24.34
2006-01-20,0,24.10
2006-01-27,0,23.87
2006-02-03,0,23.52
2006-02-10,0,22.37
2006-02-17,0,23.26
2006-02-24,0,24.00
2006-03-03,0,24.50
2006-03-10,0,24.33
2006-03-17,0,25.54
2006-03-24,0,25.23
2006-03-31,0,25.12
2006-04-07,0,25.03
2006-04-14,0,
2006-04-21,0,24.38
2006-04-28,0,25.13
2006-05-05,0,25.01
2006-05-12,0,23.86
2006-05-19,0,23.41
2006-05-26,0,23.60
2006-06-02,0,24.27
2006-06-09,0,24.48
2006-06-16,0,24.76
2006-06-23,0,24.29
2006-06-30,0,26.00
2006-07-07,0,25.21
2006-07-14,0,24.87
2006-07-21,0,27.97
2006-07-28,0,28.14
2006-08-04,0,28.82
2006-08-11,63,28.33
2006-08-18,0,30.05
2006-08-25,0,30.98
2006-09-01,0,31.18
2006-09-08,0,30.35
2006-09-15,0,29.33
2006-09-22,0,30.14
2006-09-29,0,30.35
2006-10-06,0,28.38
2006-10-13,0,28.49
2006-10-20,0,28.85
2006-10-27,0,29.02
2006-11-03,0,28.55
2006-11-10,0,30.96
2006-11-17,50,30.64
2006-11-24,63,30.35
2006-12-01,75,30.78
2006-12-08,88,31.55
2006-12-15,100,34.04
2006-12-22,64,34.81
2006-12-29,64,34.56
2007-01-05,60,33.23
2007-01-12,56,33.79
2007-01-19,55,34.36
2007-01-26,55,34.77
2007-02-02,68,36.13
2007-02-09,62,35.71
2007-02-16,58,36.51
2007-02-23,59,35.15
2007-03-02,56,33.88
2007-03-09,52,34.27
2007-03-16,48,34.50
2007-03-23,52,36.85
2007-03-30,56,36.64
2007-04-06,59,
2007-04-13,52,36.44
2007-04-20,55,37.77
2007-04-27,51,36.67
2007-05-04,51,35.86
2007-05-11,0,35.86
2007-05-18,0,34.89
2007-05-25,0,34.11
2007-06-01,0,36.29
2007-06-08,0,34.75
2007-06-15,0,34.30
2007-06-22,43,34.75
2007-06-29,43,34.03
2007-07-06,43,34.52
2007-07-13,43,35.62
2007-07-20,55,34.22
2007-07-27,66,31.12
2007-08-03,47,31.59
2007-08-10,47,32.48
2007-08-17,47,32.48
2007-08-24,41,32.94
2007-08-31,41,31.73
2007-09-07,42,30.64
2007-09-14,44,32.61
2007-09-21,45,33.02
2007-09-28,47,33.11
2007-10-05,49,33.15
2007-10-12,51,34.95
2007-10-19,53,31.50
2007-10-26,38,33.11
2007-11-02,38,32.96
2007-11-09,38,30.71
2007-11-16,37,32.53
2007-11-23,31,33.69
2007-11-30,31,34.80
2007-12-07,31,35.05
2007-12-14,31,35.06
2007-12-21,33,35.39
2007-12-28,34,34.95
2008-01-04,36,33.03
2008-01-11,37,33.54
2008-01-18,32,31.91
2008-01-25,41,31.09
2008-02-01,38,31.55
2008-02-08,42,31.37
2008-02-15,38,31.99
2008-02-22,38,29.75
2008-02-29,40,28.74
2008-03-07,31,28.98
2008-03-14,34,29.06
2008-03-21,42,
2008-03-28,34,28.33
2008-04-04,39,28.93
2008-04-11,41,28.30
2008-04-18,43,28.31
2008-04-25,45,29.04
2008-05-02,43,31.43
2008-05-09,31,30.65
2008-05-16,39,31.22
2008-05-23,36,30.53
2008-05-30,36,31.87
2008-06-06,28,31.43
2008-06-13,28,31.04
2008-06-20,28,29.76
2008-06-27,42,29.38
2008-07-04,28,
2008-07-11,28,29.09
2008-07-18,46,25.62
2008-07-25,0,25.93
2008-08-01,0,26.82
2008-08-08,0,27.77
2008-08-15,0,27.93
2008-08-22,0,25.72
2008-08-29,48,26.34
2008-09-05,41,26.15
2008-09-12,28,25.48
2008-09-19,30,25.49
2008-09-26,33,24.72
2008-10-03,48,22.55
2008-10-10,39,20.44
2008-10-17,32,22.46
2008-10-24,23,20.87
2008-10-31,23,21.27
2008-11-07,37,22.54
2008-11-14,26,20.99
2008-11-21,26,18.52
2008-11-28,40,21.80
2008-12-05,49,23.70
2008-12-12,31,22.82
2008-12-19,30,23.25
2008-12-26,34,22.31
2009-01-02,32,24.05
2009-01-09,32,23.20
2009-01-16,40,23.51
2009-01-23,33,23.11
2009-01-30,39,21.43
2009-02-06,32,21.31
2009-02-13,38,20.75
2009-02-20,30,20.90
2009-02-27,32,18.50
2009-03-06,36,17.53
2009-03-13,29,19.24
2009-03-20,25,19.55
2009-03-27,25,20.73
2009-04-03,40,21.18
2009-04-10,26,
2009-04-17,26,20.60
2009-04-24,33,20.15
2009-05-01,34,19.50
2009-05-08,31,19.45
2009-05-15,31,19.23
2009-05-22,20,20.04
2009-05-29,27,20.26
2009-06-05,34,20.60
2009-06-12,34,21.26
2009-06-19,30,20.93
2009-06-26,26,20.42
2009-07-03,29,
2009-07-10,33,19.36
2009-07-17,58,19.70
2009-07-24,58,18.64
2009-07-31,44,18.93
2009-08-07,42,18.53
2009-08-14,33,18.78
2009-08-21,35,19.21
2009-08-28,24,19.47
2009-09-04,29,19.54
2009-09-11,29,20.01
2009-09-18,38,19.51
2009-09-25,30,19.49
2009-10-02,41,19.77
2009-10-09,30,21.32
2009-10-16,33,23.31
2009-10-23,32,22.40
2009-10-30,35,22.33
2009-11-06,32,22.84
2009-11-13,23,23.20
2009-11-20,24,22.62
2009-11-27,27,22.44
2009-12-04,34,22.30
2009-12-11,35,21.73
2009-12-18,26,20.89
2009-12-25,37,
2010-01-01,27,
2010-01-08,29,21.13
2010-01-15,26,21.31
2010-01-22,29,22.74
2010-01-29,21,22.45
2010-02-05,24,22.05
2010-02-12,26,22.41
2010-02-19,26,23.79
2010-02-26,25,24.92
2010-03-05,27,24.67
2010-03-12,44,24.83
2010-03-19,30,24.04
2010-03-26,19,24.44
2010-04-02,42,
2010-04-09,22,25.51
2010-04-16,35,26.34
2010-04-23,30,26.77
2010-04-30,34,23.60
2010-05-07,40,23.30
2010-05-14,25,23.34
2010-05-21,34,22.78
2010-05-28,28,22.14
2010-06-04,27,21.30
2010-06-11,31,20.84
2010-06-18,38,20.83
2010-06-25,41,19.86
2010-07-02,31,19.60
2010-07-09,41,20.05
2010-07-16,31,19.83
2010-07-23,35,19.56
2010-07-30,32,20.54
2010-08-06,36,21.31
2010-08-13,36,21.18
2010-08-20,36,20.01
2010-08-27,42,19.45
2010-09-03,38,19.63
2010-09-10,41,19.92
2010-09-17,38,20.35
2010-09-24,34,21.19
2010-10-01,30,21.21
2010-10-08,41,21.19
2010-10-15,48,21.76
2010-10-22,35,22.29
2010-10-29,36,22.90
2010-11-05,27,23.74
2010-11-12,32,23.05
2010-11-19,27,22.76
2010-11-26,23,22.62
2010-12-03,45,21.80
2010-12-10,27,21.45
2010-12-17,32,21.56
2010-12-24,25,
2010-12-31,24,22.49
2011-01-07,46,21.13
2011-01-14,25,21.04
2011-01-21,32,21.02
2011-01-28,21,20.51
2011-02-04,35,21.02
2011-02-11,22,21.61
2011-02-18,37,22.39
2011-02-25,30,21.54
2011-03-04,36,21.83
2011-03-11,27,22.86
2011-03-18,37,22.43
2011-03-25,27,22.69
2011-04-01,23,23.49
2011-04-08,39,23.87
2011-04-15,41,24.84
2011-04-22,27,
2011-04-29,30,24.31
2011-05-06,29,24.25
2011-05-13,25,25.00
2011-05-20,20,25.20
2011-05-27,36,24.52
2011-06-03,22,22.28
2011-06-10,35,22.09
2011-06-17,17,22.74
2011-06-24,25,22.55
2011-07-01,20,23.62
2011-07-08,24,23.46
2011-07-15,29,23.75
2011-07-22,25,20.93
2011-07-29,23,20.17
2011-08-05,18,18.92
2011-08-12,40,18.08
2011-08-19,28,17.09
2011-08-26,42,17.08
2011-09-02,23,17.65
2011-09-09,30,17.91
2011-09-16,24,17.70
2011-09-23,22,16.06
2011-09-30,27,16.63
2011-10-07,33,17.43
2011-10-14,21,17.67
2011-10-21,29,18.85
2011-10-28,38,19.75
2011-11-04,29,19.32
2011-11-11,34,20.07
2011-11-18,38,19.12
2011-11-25,25,18.83
2011-12-02,36,20.21
2011-12-09,34,21.07
2011-12-16,29,20.57
2011-12-23,32,21.12
2011-12-30,29,21.04
2012-01-06,21,21.23
2012-01-13,27,20.91
2012-01-20,22,21.85
2012-01-27,23,22.56
2012-02-03,26,21.74
2012-02-10,21,21.74
2012-02-17,23,22.95
2012-02-24,29,20.93
2012-03-02,37,21.67
2012-03-09,27,21.76
2012-03-16,27,22.17
2012-03-23,18,21.13
2012-03-30,27,20.21
2012-04-06,30,
2012-04-13,23,21.19
2012-04-20,29,22.09
2012-04-27,40,20.78
2012-05-04,14,19.69
2012-05-11,26,18.97
2012-05-18,22,18.39
2012-05-25,25,19.22
2012-06-01,13,18.49
2012-06-08,20,18.22
2012-06-15,24,17.97
2012-06-22,27,17.34
2012-06-29,24,18.15
2012-07-06,20,17.71
2012-07-13,43,16.02
2012-07-20,45,15.59
2012-07-27,27,15.32
2012-08-03,34,15.45
2012-08-10,24,15.99
2012-08-17,27,15.83
2012-08-24,24,15.48
2012-08-31,26,15.65
2012-09-07,34,16.32
2012-09-14,30,16.86
2012-09-21,26,16.07
2012-09-28,28,16.09
2012-10-05,29,16.16
2012-10-12,35,15.57
2012-10-19,21,16.35
2012-10-26,22,16.38
2012-11-02,27,16.83
2012-11-09,22,16.60
2012-11-16,23,16.60
2012-11-23,24,16.96
2012-11-30,22,17.11
2012-12-07,32,17.94
2012-12-14,33,17.65
2012-12-21,28,17.93
2012-12-28,14,17.70
2013-01-04,23,18.30
2013-01-11,21,17.41
2013-01-18,28,18.64
2013-01-25,19,19.43
2013-02-01,31,19.27
2013-02-08,29,20.20
2013-02-15,23,20.42
2013-02-22,31,22.69
2013-03-01,30,24.10
2013-03-08,34,23.60
2013-03-15,30,24.91
2013-03-22,35,25.75
2013-03-29,20,
2013-04-05,32,24.92
2013-04-12,33,26.85
2013-04-19,33,26.55
2013-04-26,42,23.31
2013-05-03,45,23.95
2013-05-10,32,24.46
2013-05-17,32,25.15
2013-05-24,26,23.18
2013-05-31,19,23.01
2013-06-07,27,22.71
2013-06-14,50,24.36
2013-06-21,23,22.82
2013-06-28,30,23.66
2013-07-05,17,24.24
2013-07-12,29,24.55
2013-07-19,30,26.15
2013-07-26,24,25.98
2013-08-02,17,25.35
2013-08-09,25,25.05
2013-08-16,28,26.66
2013-08-23,26,26.69
2013-08-30,22,25.90
2013-09-06,19,25.96
2013-09-13,28,28.20
2013-09-20,31,31.40
2013-09-27,28,32.25
2013-10-04,21,31.63
2013-10-11,42,33.75
2013-10-18,34,33.36
2013-10-25,40,36.54
2013-11-01,31,35.16
2013-11-08,24,33.02
2013-11-15,33,34.52
2013-11-22,29,34.29
2013-11-29,21,34.97
2013-12-06,19,33.07
2013-12-13,24,33.52
2013-12-20,17,33.08
2013-12-27,16,32.50
2014-01-03,23,32.31
2014-01-10,22,32.15
2014-01-17,23,31.82
2014-01-24,22,30.98
2014-01-31,28,31.24
2014-02-07,24,31.16
2014-02-14,23,33.65
2014-02-21,54,36.84
2014-02-28,43,37.45
2014-03-07,68,38.60
2014-03-14,29,38.39
2014-03-21,25,38.01
2014-03-28,35,37.30
2014-04-04,29,37.96
2014-04-11,28,37.89
2014-04-18,27,
2014-04-25,28,33.93
2014-05-02,39,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
