Date,SYY,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,37.56
2004-02-13,0,37.66
2004-02-20,0,38.41
2004-02-27,0,39.65
2004-03-05,0,39.59
2004-03-12,0,40.03
2004-03-19,0,39.15
2004-03-26,0,38.83
2004-04-02,0,38.15
2004-04-09,0,
2004-04-16,0,38.33
2004-04-23,0,39.20
2004-04-30,0,38.25
2004-05-07,0,38.06
2004-05-14,0,38.03
2004-05-21,0,36.99
2004-05-28,0,37.50
2004-06-04,0,37.16
2004-06-11,0,
2004-06-18,0,37.63
2004-06-25,0,36.58
2004-07-02,0,34.80
2004-07-09,0,35.84
2004-07-16,0,35.84
2004-07-23,0,34.86
2004-07-30,0,34.45
2004-08-06,0,33.25
2004-08-13,0,33.44
2004-08-20,0,31.85
2004-08-27,0,32.57
2004-09-03,0,32.88
2004-09-10,0,32.70
2004-09-17,0,31.32
2004-09-24,0,30.00
2004-10-01,100,30.67
2004-10-08,0,29.89
2004-10-15,0,29.96
2004-10-22,0,30.85
2004-10-29,0,32.27
2004-11-05,0,34.88
2004-11-12,0,35.25
2004-11-19,0,35.40
2004-11-26,0,35.46
2004-12-03,0,35.79
2004-12-10,0,36.18
2004-12-17,0,36.28
2004-12-24,0,
2004-12-31,0,38.17
2005-01-07,0,36.32
2005-01-14,0,36.15
2005-01-21,0,35.71
2005-01-28,0,35.89
2005-02-04,0,34.96
2005-02-11,0,34.84
2005-02-18,0,34.78
2005-02-25,0,34.60
2005-03-04,0,34.66
2005-03-11,0,33.72
2005-03-18,71,32.77
2005-03-25,0,
2005-04-01,0,35.48
2005-04-08,0,35.99
2005-04-15,0,35.00
2005-04-22,0,34.70
2005-04-29,76,34.60
2005-05-06,0,35.79
2005-05-13,0,35.49
2005-05-20,0,37.18
2005-05-27,0,37.34
2005-06-03,0,37.43
2005-06-10,0,37.00
2005-06-17,0,37.05
2005-06-24,0,35.95
2005-07-01,0,36.25
2005-07-08,0,36.51
2005-07-15,71,36.82
2005-07-22,0,36.65
2005-07-29,0,36.06
2005-08-05,0,34.19
2005-08-12,0,34.05
2005-08-19,0,34.16
2005-08-26,0,33.55
2005-09-02,77,32.44
2005-09-09,78,32.37
2005-09-16,78,32.67
2005-09-23,64,31.65
2005-09-30,64,31.37
2005-10-07,64,31.29
2005-10-14,64,32.05
2005-10-21,69,32.16
2005-10-28,73,32.26
2005-11-04,78,30.04
2005-11-11,82,31.41
2005-11-18,86,31.90
2005-11-25,90,33.04
2005-12-02,0,32.61
2005-12-09,0,32.52
2005-12-16,0,32.65
2005-12-23,0,31.90
2005-12-30,0,31.05
2006-01-06,0,31.25
2006-01-13,51,30.26
2006-01-20,54,30.40
2006-01-27,74,30.57
2006-02-03,49,30.11
2006-02-10,55,30.52
2006-02-17,60,30.02
2006-02-24,52,30.34
2006-03-03,52,29.81
2006-03-10,55,30.33
2006-03-17,100,31.54
2006-03-24,49,32.45
2006-03-31,49,32.05
2006-04-07,49,31.69
2006-04-14,53,
2006-04-21,56,30.95
2006-04-28,56,29.89
2006-05-05,56,29.75
2006-05-12,53,29.67
2006-05-19,48,30.33
2006-05-26,48,31.15
2006-06-02,51,30.55
2006-06-09,54,30.56
2006-06-16,55,30.44
2006-06-23,0,30.31
2006-06-30,0,30.56
2006-07-07,0,30.63
2006-07-14,0,30.22
2006-07-21,0,29.40
2006-07-28,50,27.88
2006-08-04,49,27.15
2006-08-11,49,27.96
2006-08-18,49,29.89
2006-08-25,45,30.38
2006-09-01,45,31.64
2006-09-08,65,31.91
2006-09-15,42,33.78
2006-09-22,42,33.40
2006-09-29,46,33.45
2006-10-06,50,32.74
2006-10-13,76,32.86
2006-10-20,51,33.33
2006-10-27,37,34.28
2006-11-03,51,34.99
2006-11-10,67,34.96
2006-11-17,49,35.18
2006-11-24,75,35.54
2006-12-01,58,35.78
2006-12-08,45,36.43
2006-12-15,45,36.24
2006-12-22,47,36.65
2006-12-29,48,36.76
2007-01-05,49,35.89
2007-01-12,36,35.51
2007-01-19,38,36.22
2007-01-26,41,36.10
2007-02-02,41,35.10
2007-02-09,64,33.98
2007-02-16,72,34.67
2007-02-23,54,33.75
2007-03-02,48,32.00
2007-03-09,48,32.21
2007-03-16,49,32.44
2007-03-23,60,32.96
2007-03-30,36,33.83
2007-04-06,38,
2007-04-13,52,33.87
2007-04-20,38,33.69
2007-04-27,44,34.32
2007-05-04,50,33.65
2007-05-11,38,32.76
2007-05-18,32,33.56
2007-05-25,43,33.10
2007-06-01,43,33.29
2007-06-08,40,32.82
2007-06-15,40,33.38
2007-06-22,45,33.67
2007-06-29,50,32.99
2007-07-06,33,32.65
2007-07-13,66,32.87
2007-07-20,33,31.96
2007-07-27,30,30.30
2007-08-03,33,30.83
2007-08-10,51,32.40
2007-08-17,41,33.43
2007-08-24,34,33.75
2007-08-31,33,33.38
2007-09-07,32,33.00
2007-09-14,56,33.32
2007-09-21,44,34.62
2007-09-28,45,35.59
2007-10-05,33,35.12
2007-10-12,33,34.06
2007-10-19,33,33.13
2007-10-26,34,32.88
2007-11-02,39,33.51
2007-11-09,51,33.51
2007-11-16,56,33.19
2007-11-23,36,31.87
2007-11-30,36,32.51
2007-12-07,30,32.43
2007-12-14,37,31.56
2007-12-21,49,32.03
2007-12-28,39,31.77
2008-01-04,43,30.28
2008-01-11,60,28.40
2008-01-18,43,27.96
2008-01-25,51,27.61
2008-02-01,47,29.83
2008-02-08,46,29.24
2008-02-15,41,29.88
2008-02-22,36,29.95
2008-02-29,56,28.06
2008-03-07,53,27.82
2008-03-14,47,27.58
2008-03-21,70,
2008-03-28,54,28.93
2008-04-04,43,28.88
2008-04-11,41,27.93
2008-04-18,62,28.37
2008-04-25,37,28.12
2008-05-02,58,31.57
2008-05-09,61,30.44
2008-05-16,46,30.96
2008-05-23,47,30.45
2008-05-30,48,30.86
2008-06-06,26,30.38
2008-06-13,37,30.15
2008-06-20,21,28.91
2008-06-27,35,28.22
2008-07-04,45,
2008-07-11,27,28.42
2008-07-18,36,29.50
2008-07-25,34,28.98
2008-08-01,39,28.43
2008-08-08,33,29.87
2008-08-15,44,32.32
2008-08-22,35,32.09
2008-08-29,54,31.83
2008-09-05,41,32.12
2008-09-12,47,34.62
2008-09-19,53,33.43
2008-09-26,65,33.30
2008-10-03,40,29.72
2008-10-10,63,24.55
2008-10-17,59,25.78
2008-10-24,33,23.15
2008-10-31,31,26.20
2008-11-07,36,25.10
2008-11-14,44,22.68
2008-11-21,52,22.22
2008-11-28,47,23.45
2008-12-05,40,22.31
2008-12-12,38,21.92
2008-12-19,29,24.07
2008-12-26,24,23.07
2009-01-02,45,23.95
2009-01-09,49,23.78
2009-01-16,37,23.74
2009-01-23,35,23.32
2009-01-30,36,22.29
2009-02-06,45,24.67
2009-02-13,50,23.62
2009-02-20,33,22.72
2009-02-27,40,21.50
2009-03-06,55,20.23
2009-03-13,41,21.65
2009-03-20,38,22.60
2009-03-27,43,23.58
2009-04-03,31,22.93
2009-04-10,47,
2009-04-17,52,22.92
2009-04-24,58,22.80
2009-05-01,38,24.35
2009-05-08,55,23.60
2009-05-15,44,22.82
2009-05-22,45,23.28
2009-05-29,44,23.96
2009-06-05,41,23.92
2009-06-12,35,23.94
2009-06-19,46,23.68
2009-06-26,28,22.98
2009-07-03,47,
2009-07-10,36,21.51
2009-07-17,35,22.91
2009-07-24,43,23.04
2009-07-31,48,23.76
2009-08-07,35,24.85
2009-08-14,48,24.46
2009-08-21,48,25.20
2009-08-28,43,25.59
2009-09-04,29,25.82
2009-09-11,38,25.99
2009-09-18,34,25.67
2009-09-25,40,24.93
2009-10-02,51,24.38
2009-10-09,44,25.04
2009-10-16,25,27.14
2009-10-23,35,27.23
2009-10-30,46,26.45
2009-11-06,38,26.91
2009-11-13,57,27.02
2009-11-20,40,27.04
2009-11-27,41,26.83
2009-12-04,43,28.28
2009-12-11,23,29.33
2009-12-18,33,27.39
2009-12-25,34,
2010-01-01,26,
2010-01-08,40,27.91
2010-01-15,38,28.13
2010-01-22,33,27.47
2010-01-29,31,27.99
2010-02-05,39,27.21
2010-02-12,33,27.54
2010-02-19,32,29.14
2010-02-26,42,28.90
2010-03-05,32,29.04
2010-03-12,44,28.64
2010-03-19,42,28.77
2010-03-26,39,29.17
2010-04-02,32,
2010-04-09,52,29.88
2010-04-16,47,29.71
2010-04-23,35,31.19
2010-04-30,53,31.54
2010-05-07,41,29.43
2010-05-14,46,30.17
2010-05-21,52,29.54
2010-05-28,40,29.81
2010-06-04,25,29.39
2010-06-11,33,30.95
2010-06-18,35,31.11
2010-06-25,32,29.61
2010-07-02,42,28.27
2010-07-09,34,29.62
2010-07-16,31,29.87
2010-07-23,48,30.94
2010-07-30,42,30.97
2010-08-06,45,30.61
2010-08-13,49,29.98
2010-08-20,56,28.48
2010-08-27,43,28.05
2010-09-03,31,28.56
2010-09-10,41,28.77
2010-09-17,44,29.17
2010-09-24,50,29.98
2010-10-01,48,28.58
2010-10-08,61,28.53
2010-10-15,38,29.20
2010-10-22,75,29.56
2010-10-29,57,29.46
2010-11-05,51,30.03
2010-11-12,61,28.69
2010-11-19,48,28.84
2010-11-26,48,28.96
2010-12-03,68,29.30
2010-12-10,50,29.42
2010-12-17,41,29.30
2010-12-24,36,
2010-12-31,37,29.40
2011-01-07,44,30.36
2011-01-14,47,30.45
2011-01-21,58,29.94
2011-01-28,44,29.19
2011-02-04,46,29.85
2011-02-11,52,28.24
2011-02-18,46,28.64
2011-02-25,38,27.91
2011-03-04,35,27.56
2011-03-11,36,27.83
2011-03-18,49,27.70
2011-03-25,52,27.86
2011-04-01,53,27.88
2011-04-08,79,28.07
2011-04-15,40,28.67
2011-04-22,40,
2011-04-29,45,28.91
2011-05-06,36,28.51
2011-05-13,66,31.78
2011-05-20,52,32.42
2011-05-27,54,31.99
2011-06-03,45,31.13
2011-06-10,49,30.40
2011-06-17,43,30.90
2011-06-24,40,30.76
2011-07-01,44,31.39
2011-07-08,45,31.30
2011-07-15,56,30.91
2011-07-22,30,31.33
2011-07-29,40,30.59
2011-08-05,49,29.46
2011-08-12,45,29.26
2011-08-19,67,27.00
2011-08-26,41,27.10
2011-09-02,63,27.16
2011-09-09,47,26.70
2011-09-16,42,27.40
2011-09-23,58,25.87
2011-09-30,51,25.90
2011-10-07,37,25.78
2011-10-14,39,26.67
2011-10-21,30,26.95
2011-10-28,42,27.93
2011-11-04,32,27.80
2011-11-11,40,27.75
2011-11-18,34,27.79
2011-11-25,46,27.07
2011-12-02,40,29.13
2011-12-09,44,29.47
2011-12-16,47,28.90
2011-12-23,36,29.43
2011-12-30,33,29.33
2012-01-06,44,28.92
2012-01-13,37,29.47
2012-01-20,48,30.22
2012-01-27,47,30.30
2012-02-03,41,30.90
2012-02-10,47,29.31
2012-02-17,53,29.47
2012-02-24,50,29.27
2012-03-02,40,29.35
2012-03-09,39,29.93
2012-03-16,35,29.63
2012-03-23,41,29.84
2012-03-30,42,29.86
2012-04-06,38,
2012-04-13,40,29.31
2012-04-20,38,29.03
2012-04-27,54,29.06
2012-05-04,34,27.90
2012-05-11,37,27.60
2012-05-18,40,27.26
2012-05-25,36,27.94
2012-06-01,40,27.55
2012-06-08,35,28.80
2012-06-15,36,29.14
2012-06-22,39,29.00
2012-06-29,39,29.81
2012-07-06,43,28.99
2012-07-13,38,28.90
2012-07-20,32,28.87
2012-07-27,35,29.25
2012-08-03,39,29.23
2012-08-10,27,28.84
2012-08-17,48,30.56
2012-08-24,49,30.36
2012-08-31,35,30.30
2012-09-07,44,30.58
2012-09-14,39,30.35
2012-09-21,46,30.75
2012-09-28,43,31.27
2012-10-05,45,31.60
2012-10-12,39,31.25
2012-10-19,42,30.92
2012-10-26,39,30.86
2012-11-02,41,31.34
2012-11-09,45,30.00
2012-11-16,39,30.03
2012-11-23,33,31.00
2012-11-30,37,31.65
2012-12-07,41,31.83
2012-12-14,45,31.76
2012-12-21,44,31.96
2012-12-28,32,31.41
2013-01-04,37,31.85
2013-01-11,40,30.91
2013-01-18,51,31.47
2013-01-25,45,31.83
2013-02-01,36,32.09
2013-02-08,49,31.61
2013-02-15,44,32.07
2013-02-22,35,32.75
2013-03-01,47,32.48
2013-03-08,46,33.27
2013-03-15,47,33.86
2013-03-22,38,34.90
2013-03-29,38,
2013-04-05,29,34.38
2013-04-12,57,34.62
2013-04-19,38,34.71
2013-04-26,42,34.80
2013-05-03,42,34.66
2013-05-10,40,34.20
2013-05-17,44,35.14
2013-05-24,39,34.82
2013-05-31,35,33.80
2013-06-07,37,33.76
2013-06-14,35,34.47
2013-06-21,25,33.68
2013-06-28,31,34.16
2013-07-05,33,33.94
2013-07-12,35,35.60
2013-07-19,39,36.03
2013-07-26,34,34.77
2013-08-02,28,34.98
2013-08-09,31,35.01
2013-08-16,36,32.45
2013-08-23,34,32.25
2013-08-30,42,32.02
2013-09-06,32,32.04
2013-09-13,39,32.88
2013-09-20,38,32.57
2013-09-27,43,32.03
2013-10-04,45,31.72
2013-10-11,33,32.22
2013-10-18,35,32.07
2013-10-25,36,32.99
2013-11-01,38,32.56
2013-11-08,43,33.13
2013-11-15,32,33.70
2013-11-22,38,33.93
2013-11-29,32,33.63
2013-12-06,44,34.31
2013-12-13,84,36.28
2013-12-20,43,36.45
2013-12-27,35,36.82
2014-01-03,39,36.05
2014-01-10,36,36.36
2014-01-17,41,36.51
2014-01-24,38,35.48
2014-01-31,52,35.08
2014-02-07,40,35.51
2014-02-14,39,35.71
2014-02-21,36,36.04
2014-02-28,39,36.02
2014-03-07,42,36.21
2014-03-14,38,35.94
2014-03-21,33,36.06
2014-03-28,37,35.98
2014-04-04,40,35.65
2014-04-11,37,35.34
2014-04-18,38,
2014-04-25,44,36.04
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
