Date,Southwestern Energy,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,20.09
2004-02-13,0,22.05
2004-02-20,0,21.66
2004-02-27,0,22.46
2004-03-05,0,23.10
2004-03-12,0,23.28
2004-03-19,0,23.32
2004-03-26,0,22.91
2004-04-02,0,24.40
2004-04-09,0,
2004-04-16,0,24.99
2004-04-23,0,25.51
2004-04-30,0,25.15
2004-05-07,0,25.68
2004-05-14,0,25.70
2004-05-21,0,24.97
2004-05-28,0,25.56
2004-06-04,0,24.93
2004-06-11,0,
2004-06-18,0,27.74
2004-06-25,0,28.44
2004-07-02,0,30.37
2004-07-09,0,30.85
2004-07-16,0,31.00
2004-07-23,0,29.81
2004-07-30,0,32.19
2004-08-06,0,29.92
2004-08-13,0,31.00
2004-08-20,0,35.47
2004-08-27,0,35.19
2004-09-03,0,36.56
2004-09-10,0,38.70
2004-09-17,0,39.60
2004-09-24,0,39.74
2004-10-01,0,43.20
2004-10-08,0,43.99
2004-10-15,0,43.30
2004-10-22,0,46.16
2004-10-29,0,45.94
2004-11-05,0,49.00
2004-11-12,0,51.01
2004-11-19,0,48.80
2004-11-26,0,54.20
2004-12-03,0,51.78
2004-12-10,0,49.10
2004-12-17,0,51.05
2004-12-24,0,
2004-12-31,0,50.69
2005-01-07,0,45.05
2005-01-14,0,48.98
2005-01-21,0,49.85
2005-01-28,0,49.67
2005-02-04,0,54.98
2005-02-11,0,58.34
2005-02-18,0,59.62
2005-02-25,0,61.86
2005-03-04,0,61.20
2005-03-11,0,57.03
2005-03-18,0,58.65
2005-03-25,0,
2005-04-01,0,59.61
2005-04-08,0,58.10
2005-04-15,0,56.78
2005-04-22,0,59.99
2005-04-29,0,58.75
2005-05-06,0,68.50
2005-05-13,0,64.32
2005-05-20,0,67.09
2005-05-27,0,70.79
2005-06-03,0,72.44
2005-06-10,0,37.15
2005-06-17,0,43.39
2005-06-24,0,43.52
2005-07-01,0,50.69
2005-07-08,0,52.32
2005-07-15,0,50.55
2005-07-22,0,53.50
2005-07-29,0,55.11
2005-08-05,0,55.88
2005-08-12,0,57.25
2005-08-19,0,53.81
2005-08-26,0,52.50
2005-09-02,0,57.33
2005-09-09,0,57.45
2005-09-16,0,62.68
2005-09-23,0,62.93
2005-09-30,0,73.40
2005-10-07,0,72.00
2005-10-14,0,68.13
2005-10-21,0,64.39
2005-10-28,0,71.05
2005-11-04,0,69.42
2005-11-11,0,66.39
2005-11-18,0,34.87
2005-11-25,0,36.47
2005-12-02,0,36.36
2005-12-09,0,35.35
2005-12-16,0,35.40
2005-12-23,0,37.86
2005-12-30,0,35.94
2006-01-06,0,37.18
2006-01-13,0,40.70
2006-01-20,0,43.01
2006-01-27,0,40.90
2006-02-03,0,39.80
2006-02-10,0,33.93
2006-02-17,80,34.97
2006-02-24,0,33.87
2006-03-03,0,34.29
2006-03-10,0,29.33
2006-03-17,0,31.91
2006-03-24,0,32.72
2006-03-31,0,32.19
2006-04-07,0,32.93
2006-04-14,0,
2006-04-21,0,39.42
2006-04-28,0,36.02
2006-05-05,0,38.61
2006-05-12,0,37.15
2006-05-19,0,31.54
2006-05-26,0,31.38
2006-06-02,0,32.78
2006-06-09,0,27.02
2006-06-16,0,29.13
2006-06-23,0,30.09
2006-06-30,0,31.16
2006-07-07,0,29.15
2006-07-14,0,28.43
2006-07-21,0,28.19
2006-07-28,0,32.94
2006-08-04,0,34.88
2006-08-11,0,34.81
2006-08-18,0,34.29
2006-08-25,0,36.50
2006-09-01,0,35.74
2006-09-08,0,34.03
2006-09-15,0,30.54
2006-09-22,0,28.83
2006-09-29,0,29.87
2006-10-06,66,29.48
2006-10-13,0,30.35
2006-10-20,0,35.35
2006-10-27,0,36.10
2006-11-03,0,36.07
2006-11-10,0,36.35
2006-11-17,0,38.30
2006-11-24,0,39.78
2006-12-01,0,42.59
2006-12-08,0,40.67
2006-12-15,0,39.00
2006-12-22,0,36.14
2006-12-29,0,35.05
2007-01-05,0,33.55
2007-01-12,0,35.03
2007-01-19,0,36.46
2007-01-26,0,37.23
2007-02-02,0,38.82
2007-02-09,0,38.15
2007-02-16,0,37.99
2007-02-23,0,40.37
2007-03-02,0,37.35
2007-03-09,0,38.40
2007-03-16,0,37.86
2007-03-23,0,40.60
2007-03-30,0,40.98
2007-04-06,55,
2007-04-13,0,44.99
2007-04-20,0,42.48
2007-04-27,0,43.09
2007-05-04,0,43.45
2007-05-11,0,43.27
2007-05-18,0,45.90
2007-05-25,0,46.24
2007-06-01,0,47.59
2007-06-08,0,46.06
2007-06-15,50,49.57
2007-06-22,0,48.44
2007-06-29,0,44.50
2007-07-06,0,45.02
2007-07-13,0,44.95
2007-07-20,0,43.86
2007-07-27,0,39.27
2007-08-03,0,39.97
2007-08-10,0,40.93
2007-08-17,0,39.36
2007-08-24,0,38.36
2007-08-31,0,37.19
2007-09-07,0,38.93
2007-09-14,0,42.49
2007-09-21,0,43.83
2007-09-28,0,41.85
2007-10-05,41,44.90
2007-10-12,42,45.50
2007-10-19,44,46.59
2007-10-26,46,50.86
2007-11-02,47,55.48
2007-11-09,45,52.48
2007-11-16,37,51.97
2007-11-23,0,49.69
2007-11-30,0,49.77
2007-12-07,0,54.38
2007-12-14,0,52.28
2007-12-21,0,56.53
2007-12-28,0,55.51
2008-01-04,0,56.62
2008-01-11,37,57.98
2008-01-18,42,50.84
2008-01-25,32,51.05
2008-02-01,36,56.11
2008-02-08,39,58.07
2008-02-15,32,60.56
2008-02-22,31,61.72
2008-02-29,31,65.23
2008-03-07,31,62.83
2008-03-14,34,65.85
2008-03-21,37,
2008-03-28,41,33.22
2008-04-04,45,36.38
2008-04-11,48,36.80
2008-04-18,34,40.42
2008-04-25,43,44.46
2008-05-02,57,41.95
2008-05-09,33,45.40
2008-05-16,33,46.12
2008-05-23,45,45.05
2008-05-30,44,44.34
2008-06-06,44,45.98
2008-06-13,100,46.63
2008-06-20,30,45.57
2008-06-27,37,46.62
2008-07-04,44,
2008-07-11,40,42.64
2008-07-18,40,38.53
2008-07-25,54,34.00
2008-08-01,67,36.32
2008-08-08,31,32.56
2008-08-15,38,35.18
2008-08-22,35,37.67
2008-08-29,35,38.37
2008-09-05,39,33.79
2008-09-12,44,32.80
2008-09-19,45,35.42
2008-09-26,46,33.24
2008-10-03,46,29.33
2008-10-10,43,20.81
2008-10-17,29,29.10
2008-10-24,31,27.11
2008-10-31,30,35.62
2008-11-07,28,34.42
2008-11-14,28,30.26
2008-11-21,28,26.70
2008-11-28,28,34.37
2008-12-05,28,26.13
2008-12-12,26,28.78
2008-12-19,51,28.23
2008-12-26,40,27.88
2009-01-02,27,31.09
2009-01-09,27,30.23
2009-01-16,27,28.60
2009-01-23,52,31.74
2009-01-30,26,31.65
2009-02-06,26,32.73
2009-02-13,42,32.33
2009-02-20,28,27.63
2009-02-27,44,28.77
2009-03-06,34,28.72
2009-03-13,23,27.43
2009-03-20,25,30.85
2009-03-27,27,31.97
2009-04-03,25,32.32
2009-04-10,39,
2009-04-17,33,33.71
2009-04-24,39,34.43
2009-05-01,46,38.49
2009-05-08,39,41.32
2009-05-15,31,39.05
2009-05-22,22,40.11
2009-05-29,35,43.47
2009-06-05,26,42.38
2009-06-12,39,44.53
2009-06-19,39,40.96
2009-06-26,39,38.94
2009-07-03,40,
2009-07-10,22,36.78
2009-07-17,45,40.60
2009-07-24,41,42.46
2009-07-31,34,41.43
2009-08-07,39,39.62
2009-08-14,39,38.11
2009-08-21,29,41.48
2009-08-28,32,38.43
2009-09-04,50,37.21
2009-09-11,37,41.59
2009-09-18,37,44.03
2009-09-25,28,41.00
2009-10-02,30,40.77
2009-10-09,46,45.34
2009-10-16,30,49.12
2009-10-23,37,47.22
2009-10-30,56,43.58
2009-11-06,46,44.74
2009-11-13,40,42.29
2009-11-20,27,41.49
2009-11-27,27,43.86
2009-12-04,47,42.95
2009-12-11,36,41.45
2009-12-18,59,47.45
2009-12-25,25,
2010-01-01,25,
2010-01-08,37,51.47
2010-01-15,41,48.65
2010-01-22,30,45.44
2010-01-29,26,42.88
2010-02-05,25,42.10
2010-02-12,28,44.27
2010-02-19,36,45.30
2010-02-26,49,42.55
2010-03-05,37,42.59
2010-03-12,19,44.36
2010-03-19,36,39.60
2010-03-26,45,37.70
2010-04-02,53,
2010-04-09,22,41.30
2010-04-16,22,40.48
2010-04-23,38,43.09
2010-04-30,33,39.68
2010-05-07,33,37.16
2010-05-14,41,39.06
2010-05-21,28,37.27
2010-05-28,21,37.61
2010-06-04,18,41.70
2010-06-11,28,43.91
2010-06-18,34,44.08
2010-06-25,32,41.55
2010-07-02,30,37.75
2010-07-09,34,38.41
2010-07-16,24,37.41
2010-07-23,32,37.75
2010-07-30,32,36.45
2010-08-06,34,37.45
2010-08-13,23,34.47
2010-08-20,30,33.71
2010-08-27,37,33.35
2010-09-03,25,34.07
2010-09-10,24,33.37
2010-09-17,46,31.44
2010-09-24,32,33.05
2010-10-01,21,33.46
2010-10-08,42,33.87
2010-10-15,21,34.62
2010-10-22,26,33.91
2010-10-29,38,33.84
2010-11-05,35,36.09
2010-11-12,43,37.89
2010-11-19,29,38.42
2010-11-26,17,36.31
2010-12-03,26,37.91
2010-12-10,33,35.65
2010-12-17,52,35.77
2010-12-24,21,
2010-12-31,24,37.43
2011-01-07,39,38.15
2011-01-14,34,39.38
2011-01-21,35,38.17
2011-01-28,34,38.79
2011-02-04,32,39.34
2011-02-11,40,36.91
2011-02-18,22,36.45
2011-02-25,32,38.87
2011-03-04,43,37.85
2011-03-11,26,36.90
2011-03-18,19,41.12
2011-03-25,29,43.49
2011-04-01,43,42.87
2011-04-08,26,40.55
2011-04-15,37,39.96
2011-04-22,26,
2011-04-29,39,43.86
2011-05-06,22,41.91
2011-05-13,25,41.20
2011-05-20,32,42.87
2011-05-27,26,43.37
2011-06-03,28,43.73
2011-06-10,32,42.22
2011-06-17,41,41.16
2011-06-24,23,40.84
2011-07-01,34,43.80
2011-07-08,24,43.91
2011-07-15,24,47.53
2011-07-22,38,49.00
2011-07-29,30,44.56
2011-08-05,27,37.70
2011-08-12,39,38.17
2011-08-19,34,36.21
2011-08-26,28,36.96
2011-09-02,39,36.69
2011-09-09,30,35.91
2011-09-16,36,38.98
2011-09-23,31,33.91
2011-09-30,37,33.33
2011-10-07,31,34.38
2011-10-14,36,39.02
2011-10-21,27,40.25
2011-10-28,40,44.21
2011-11-04,21,42.66
2011-11-11,33,42.37
2011-11-18,28,38.62
2011-11-25,22,35.03
2011-12-02,24,37.69
2011-12-09,21,36.79
2011-12-16,30,33.49
2011-12-23,28,32.89
2011-12-30,17,31.94
2012-01-06,29,33.20
2012-01-13,44,29.42
2012-01-20,34,29.43
2012-01-27,32,32.04
2012-02-03,30,31.29
2012-02-10,26,33.59
2012-02-17,26,35.54
2012-02-24,35,35.21
2012-03-02,62,33.38
2012-03-09,45,33.52
2012-03-16,30,34.54
2012-03-23,22,32.38
2012-03-30,26,30.60
2012-04-06,28,
2012-04-13,23,28.40
2012-04-20,27,27.85
2012-04-27,33,30.51
2012-05-04,49,28.73
2012-05-11,35,30.40
2012-05-18,28,29.11
2012-05-25,27,28.77
2012-06-01,19,27.43
2012-06-08,33,27.09
2012-06-15,29,27.38
2012-06-22,28,29.02
2012-06-29,30,31.93
2012-07-06,26,31.90
2012-07-13,26,31.66
2012-07-20,24,31.97
2012-07-27,16,33.01
2012-08-03,22,30.60
2012-08-10,21,32.04
2012-08-17,24,32.20
2012-08-24,21,31.55
2012-08-31,18,31.13
2012-09-07,25,32.63
2012-09-14,29,35.64
2012-09-21,39,33.99
2012-09-28,27,34.78
2012-10-05,31,35.51
2012-10-12,21,36.11
2012-10-19,17,35.25
2012-10-26,33,34.14
2012-11-02,28,35.91
2012-11-09,22,34.20
2012-11-16,34,35.64
2012-11-23,15,36.60
2012-11-30,28,34.71
2012-12-07,24,34.38
2012-12-14,20,32.93
2012-12-21,14,34.45
2012-12-28,10,32.78
2013-01-04,17,34.34
2013-01-11,25,32.51
2013-01-18,29,33.69
2013-01-25,28,34.63
2013-02-01,35,34.09
2013-02-08,25,34.50
2013-02-15,24,33.04
2013-02-22,26,33.35
2013-03-01,28,35.26
2013-03-08,21,37.60
2013-03-15,21,38.59
2013-03-22,27,37.67
2013-03-29,31,
2013-04-05,25,37.41
2013-04-12,23,37.95
2013-04-19,25,35.38
2013-04-26,21,35.48
2013-05-03,44,37.04
2013-05-10,29,36.80
2013-05-17,23,38.86
2013-05-24,28,38.08
2013-05-31,28,37.69
2013-06-07,24,38.29
2013-06-14,33,36.54
2013-06-21,25,36.12
2013-06-28,27,36.53
2013-07-05,18,37.91
2013-07-12,24,38.74
2013-07-19,25,39.15
2013-07-26,28,39.32
2013-08-02,34,38.65
2013-08-09,31,37.48
2013-08-16,30,36.95
2013-08-23,24,38.16
2013-08-30,27,38.20
2013-09-06,22,37.63
2013-09-13,22,37.93
2013-09-20,27,37.06
2013-09-27,19,36.44
2013-10-04,21,35.89
2013-10-11,18,35.90
2013-10-18,27,36.47
2013-10-25,31,37.13
2013-11-01,24,38.20
2013-11-08,19,36.15
2013-11-15,26,36.47
2013-11-22,18,39.14
2013-11-29,19,38.66
2013-12-06,24,38.68
2013-12-13,22,38.58
2013-12-20,18,39.32
2013-12-27,11,39.73
2014-01-03,11,38.75
2014-01-10,19,38.51
2014-01-17,22,39.33
2014-01-24,19,41.66
2014-01-31,24,40.69
2014-02-07,21,41.47
2014-02-14,16,41.64
2014-02-21,22,42.81
2014-02-28,25,41.34
2014-03-07,25,41.94
2014-03-14,17,44.07
2014-03-21,32,46.57
2014-03-28,12,45.81
2014-04-04,23,46.77
2014-04-11,27,46.63
2014-04-18,23,
2014-04-25,26,47.79
2014-05-02,29,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
