Date,Symantec Corp.,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,39.96
2004-02-13,0,40.64
2004-02-20,0,40.49
2004-02-27,0,40.95
2004-03-05,0,44.10
2004-03-12,0,44.64
2004-03-19,0,42.80
2004-03-26,0,46.26
2004-04-02,0,46.96
2004-04-09,0,
2004-04-16,0,45.67
2004-04-23,0,48.72
2004-04-30,0,45.05
2004-05-07,0,48.25
2004-05-14,0,48.00
2004-05-21,0,46.80
2004-05-28,0,45.70
2004-06-04,0,46.38
2004-06-11,0,
2004-06-18,0,40.01
2004-06-25,0,42.14
2004-07-02,0,42.94
2004-07-09,0,41.09
2004-07-16,0,40.56
2004-07-23,0,43.02
2004-07-30,0,46.76
2004-08-06,0,45.51
2004-08-13,0,45.22
2004-08-20,0,48.04
2004-08-27,0,48.39
2004-09-03,0,48.70
2004-09-10,0,50.84
2004-09-17,0,52.15
2004-09-24,0,51.80
2004-10-01,0,57.20
2004-10-08,0,54.93
2004-10-15,0,53.82
2004-10-22,0,58.70
2004-10-29,0,56.94
2004-11-05,0,60.67
2004-11-12,0,60.97
2004-11-19,0,60.75
2004-11-26,0,63.97
2004-12-03,0,33.48
2004-12-10,0,31.48
2004-12-17,0,25.37
2004-12-24,0,
2004-12-31,0,25.76
2005-01-07,0,23.79
2005-01-14,0,24.51
2005-01-21,0,23.39
2005-01-28,0,22.67
2005-02-04,0,23.43
2005-02-11,0,21.60
2005-02-18,0,22.07
2005-02-25,0,21.66
2005-03-04,0,21.21
2005-03-11,0,21.11
2005-03-18,0,20.63
2005-03-25,0,
2005-04-01,0,21.77
2005-04-08,0,20.57
2005-04-15,0,18.89
2005-04-22,0,18.98
2005-04-29,0,18.76
2005-05-06,0,19.33
2005-05-13,0,19.27
2005-05-20,0,22.11
2005-05-27,0,22.25
2005-06-03,0,22.44
2005-06-10,0,21.28
2005-06-17,0,21.61
2005-06-24,0,21.25
2005-07-01,0,21.22
2005-07-08,0,21.97
2005-07-15,0,23.85
2005-07-22,0,23.61
2005-07-29,0,21.95
2005-08-05,0,22.05
2005-08-12,0,21.76
2005-08-19,0,21.20
2005-08-26,0,20.33
2005-09-02,0,21.16
2005-09-09,0,22.55
2005-09-16,0,21.93
2005-09-23,0,21.20
2005-09-30,0,22.66
2005-10-07,0,21.92
2005-10-14,0,22.09
2005-10-21,0,22.60
2005-10-28,0,23.02
2005-11-04,0,18.63
2005-11-11,0,19.61
2005-11-18,0,18.43
2005-11-25,0,17.64
2005-12-02,0,18.05
2005-12-09,0,17.69
2005-12-16,0,17.10
2005-12-23,0,17.26
2005-12-30,0,17.50
2006-01-06,0,19.01
2006-01-13,0,19.45
2006-01-20,0,18.61
2006-01-27,0,17.97
2006-02-03,0,16.72
2006-02-10,0,17.14
2006-02-17,0,17.52
2006-02-24,0,17.39
2006-03-03,0,16.94
2006-03-10,0,16.04
2006-03-17,0,15.53
2006-03-24,0,16.01
2006-03-31,0,16.83
2006-04-07,0,16.53
2006-04-14,0,
2006-04-21,0,16.15
2006-04-28,0,16.38
2006-05-05,0,17.76
2006-05-12,0,17.02
2006-05-19,0,16.30
2006-05-26,0,15.99
2006-06-02,0,15.89
2006-06-09,0,15.40
2006-06-16,0,15.68
2006-06-23,0,15.62
2006-06-30,0,15.54
2006-07-07,0,15.14
2006-07-14,0,15.17
2006-07-21,0,15.32
2006-07-28,0,17.42
2006-08-04,0,17.21
2006-08-11,0,17.58
2006-08-18,0,18.34
2006-08-25,0,18.90
2006-09-01,0,18.74
2006-09-08,0,18.78
2006-09-15,0,19.77
2006-09-22,0,21.08
2006-09-29,0,21.28
2006-10-06,0,20.82
2006-10-13,0,21.63
2006-10-20,0,20.93
2006-10-27,0,18.82
2006-11-03,0,19.91
2006-11-10,0,20.11
2006-11-17,0,20.66
2006-11-24,0,20.93
2006-12-01,0,20.64
2006-12-08,0,19.93
2006-12-15,0,21.17
2006-12-22,0,20.83
2006-12-29,0,20.85
2007-01-05,0,21.34
2007-01-12,0,20.48
2007-01-19,0,17.54
2007-01-26,0,17.77
2007-02-02,0,18.06
2007-02-09,0,17.87
2007-02-16,0,17.95
2007-02-23,0,17.36
2007-03-02,0,16.90
2007-03-09,0,16.84
2007-03-16,0,16.90
2007-03-23,0,17.54
2007-03-30,0,17.30
2007-04-06,0,
2007-04-13,0,17.40
2007-04-20,0,17.63
2007-04-27,0,17.71
2007-05-04,0,19.40
2007-05-11,0,19.65
2007-05-18,0,19.86
2007-05-25,0,19.79
2007-06-01,0,19.97
2007-06-08,0,19.70
2007-06-15,0,19.70
2007-06-22,0,19.91
2007-06-29,0,20.20
2007-07-06,0,19.83
2007-07-13,0,19.80
2007-07-20,0,19.76
2007-07-27,0,19.44
2007-08-03,0,18.55
2007-08-10,0,17.87
2007-08-17,0,18.10
2007-08-24,0,18.91
2007-08-31,0,18.81
2007-09-07,0,18.80
2007-09-14,0,19.51
2007-09-21,0,19.28
2007-09-28,0,19.38
2007-10-05,0,20.39
2007-10-12,0,21.13
2007-10-19,0,19.99
2007-10-26,0,18.37
2007-11-02,0,18.51
2007-11-09,0,16.90
2007-11-16,0,17.68
2007-11-23,0,17.55
2007-11-30,0,17.80
2007-12-07,0,17.71
2007-12-14,0,16.94
2007-12-21,0,16.85
2007-12-28,0,16.26
2008-01-04,0,15.72
2008-01-11,0,15.27
2008-01-18,0,15.18
2008-01-25,0,16.38
2008-02-01,0,18.66
2008-02-08,0,17.90
2008-02-15,0,17.54
2008-02-22,0,17.48
2008-02-29,0,16.84
2008-03-07,0,16.94
2008-03-14,0,16.46
2008-03-21,0,
2008-03-28,0,16.82
2008-04-04,0,17.34
2008-04-11,0,16.87
2008-04-18,0,17.69
2008-04-25,0,17.47
2008-05-02,0,19.45
2008-05-09,0,19.99
2008-05-16,0,20.76
2008-05-23,0,20.66
2008-05-30,0,21.73
2008-06-06,0,20.21
2008-06-13,0,20.21
2008-06-20,0,19.37
2008-06-27,0,19.48
2008-07-04,0,
2008-07-11,0,18.82
2008-07-18,0,19.14
2008-07-25,0,19.45
2008-08-01,0,21.70
2008-08-08,0,21.98
2008-08-15,0,22.27
2008-08-22,0,22.06
2008-08-29,0,22.31
2008-09-05,0,21.48
2008-09-12,0,20.57
2008-09-19,0,19.88
2008-09-26,0,19.80
2008-10-03,0,16.95
2008-10-10,0,13.67
2008-10-17,0,15.28
2008-10-24,0,13.68
2008-10-31,0,12.58
2008-11-07,0,13.20
2008-11-14,0,12.21
2008-11-21,0,10.95
2008-11-28,0,12.03
2008-12-05,0,12.04
2008-12-12,0,12.49
2008-12-19,0,13.45
2008-12-26,0,12.88
2009-01-02,0,14.80
2009-01-09,0,13.60
2009-01-16,0,13.49
2009-01-23,0,13.57
2009-01-30,0,15.33
2009-02-06,0,16.06
2009-02-13,0,14.80
2009-02-20,0,13.98
2009-02-27,0,13.83
2009-03-06,0,12.93
2009-03-13,0,13.77
2009-03-20,0,14.01
2009-03-27,0,14.95
2009-04-03,100,16.23
2009-04-10,0,
2009-04-17,0,17.27
2009-04-24,0,17.70
2009-05-01,0,17.81
2009-05-08,0,14.88
2009-05-15,0,14.82
2009-05-22,0,14.19
2009-05-29,0,15.63
2009-06-05,0,16.05
2009-06-12,0,16.49
2009-06-19,0,15.88
2009-06-26,0,15.91
2009-07-03,0,
2009-07-10,0,15.59
2009-07-17,0,16.41
2009-07-24,0,17.37
2009-07-31,0,14.93
2009-08-07,0,15.51
2009-08-14,0,15.25
2009-08-21,0,15.54
2009-08-28,0,15.24
2009-09-04,0,15.65
2009-09-11,0,15.97
2009-09-18,0,15.65
2009-09-25,0,15.63
2009-10-02,0,15.98
2009-10-09,0,16.63
2009-10-16,0,16.63
2009-10-23,0,16.66
2009-10-30,0,17.58
2009-11-06,0,17.42
2009-11-13,0,17.45
2009-11-20,0,17.72
2009-11-27,0,17.69
2009-12-04,0,17.88
2009-12-11,0,17.61
2009-12-18,0,17.61
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,18.37
2010-01-15,0,18.85
2010-01-22,0,18.29
2010-01-29,0,16.95
2010-02-05,0,17.14
2010-02-12,0,16.83
2010-02-19,0,17.17
2010-02-26,0,16.55
2010-03-05,0,16.97
2010-03-12,0,17.47
2010-03-19,0,17.19
2010-03-26,0,16.84
2010-04-02,0,
2010-04-09,0,17.08
2010-04-16,0,16.68
2010-04-23,0,17.41
2010-04-30,0,16.77
2010-05-07,0,15.62
2010-05-14,0,16.12
2010-05-21,0,14.71
2010-05-28,0,14.17
2010-06-04,0,13.92
2010-06-11,0,14.67
2010-06-18,0,15.16
2010-06-25,0,14.42
2010-07-02,0,13.98
2010-07-09,0,14.40
2010-07-16,0,14.59
2010-07-23,0,15.19
2010-07-30,0,12.97
2010-08-06,0,13.04
2010-08-13,0,12.34
2010-08-20,0,13.80
2010-08-27,0,13.97
2010-09-03,0,13.98
2010-09-10,0,14.86
2010-09-17,0,14.98
2010-09-24,0,15.14
2010-10-01,0,15.40
2010-10-08,0,15.01
2010-10-15,0,15.73
2010-10-22,0,15.70
2010-10-29,0,16.19
2010-11-05,0,17.21
2010-11-12,0,17.23
2010-11-19,0,17.23
2010-11-26,0,16.99
2010-12-03,0,17.09
2010-12-10,0,17.20
2010-12-17,0,16.94
2010-12-24,0,
2010-12-31,0,16.74
2011-01-07,0,17.55
2011-01-14,0,17.52
2011-01-21,0,17.85
2011-01-28,0,17.46
2011-02-04,0,18.16
2011-02-11,0,18.44
2011-02-18,0,18.58
2011-02-25,0,18.15
2011-03-04,0,17.72
2011-03-11,0,18.12
2011-03-18,0,17.27
2011-03-25,0,18.11
2011-04-01,0,18.46
2011-04-08,0,18.21
2011-04-15,0,18.52
2011-04-22,0,
2011-04-29,0,19.65
2011-05-06,0,19.42
2011-05-13,0,20.06
2011-05-20,0,19.43
2011-05-27,0,19.22
2011-06-03,0,18.51
2011-06-10,0,18.50
2011-06-17,0,18.55
2011-06-24,0,18.75
2011-07-01,0,19.83
2011-07-08,0,19.73
2011-07-15,0,18.97
2011-07-22,0,19.06
2011-07-29,0,19.06
2011-08-05,0,17.10
2011-08-12,0,16.79
2011-08-19,0,15.42
2011-08-26,0,16.38
2011-09-02,0,16.36
2011-09-09,0,16.05
2011-09-16,0,17.54
2011-09-23,0,16.37
2011-09-30,0,16.30
2011-10-07,0,17.10
2011-10-14,0,17.99
2011-10-21,0,18.42
2011-10-28,0,17.99
2011-11-04,0,16.98
2011-11-11,0,17.12
2011-11-18,0,16.19
2011-11-25,0,15.33
2011-12-02,0,16.10
2011-12-09,0,16.19
2011-12-16,0,15.46
2011-12-23,0,15.79
2011-12-30,0,15.65
2012-01-06,0,15.78
2012-01-13,0,15.88
2012-01-20,0,16.79
2012-01-27,0,17.08
2012-02-03,0,17.62
2012-02-10,0,17.78
2012-02-17,0,17.95
2012-02-24,0,17.88
2012-03-02,0,17.74
2012-03-09,0,17.73
2012-03-16,0,18.17
2012-03-23,0,18.20
2012-03-30,0,18.70
2012-04-06,0,
2012-04-13,0,18.08
2012-04-20,0,18.14
2012-04-27,0,16.48
2012-05-04,0,15.82
2012-05-11,0,15.45
2012-05-18,0,14.74
2012-05-25,0,15.08
2012-06-01,0,14.37
2012-06-08,0,14.57
2012-06-15,0,14.76
2012-06-22,0,14.45
2012-06-29,0,14.61
2012-07-06,0,14.12
2012-07-13,0,13.46
2012-07-20,0,13.58
2012-07-27,0,15.93
2012-08-03,0,16.80
2012-08-10,0,17.28
2012-08-17,0,18.01
2012-08-24,0,17.73
2012-08-31,0,17.83
2012-09-07,0,18.92
2012-09-14,0,19.14
2012-09-21,0,18.53
2012-09-28,0,17.98
2012-10-05,0,18.03
2012-10-12,0,17.88
2012-10-19,0,17.43
2012-10-26,0,18.39
2012-11-02,0,18.80
2012-11-09,0,17.97
2012-11-16,0,17.97
2012-11-23,0,18.47
2012-11-30,0,18.76
2012-12-07,0,18.95
2012-12-14,0,18.68
2012-12-21,0,18.54
2012-12-28,0,18.16
2013-01-04,0,19.62
2013-01-11,0,19.94
2013-01-18,0,20.68
2013-01-25,0,22.13
2013-02-01,0,22.12
2013-02-08,0,22.59
2013-02-15,0,22.53
2013-02-22,0,22.93
2013-03-01,0,23.68
2013-03-08,0,24.57
2013-03-15,0,24.55
2013-03-22,0,24.63
2013-03-29,0,
2013-04-05,0,24.29
2013-04-12,0,24.25
2013-04-19,0,23.55
2013-04-26,0,24.42
2013-05-03,0,24.84
2013-05-10,0,24.35
2013-05-17,0,24.30
2013-05-24,0,22.85
2013-05-31,0,22.39
2013-06-07,0,22.19
2013-06-14,0,22.36
2013-06-21,0,22.23
2013-06-28,0,22.48
2013-07-05,0,23.02
2013-07-12,0,23.83
2013-07-19,0,24.00
2013-07-26,0,24.27
2013-08-02,0,26.52
2013-08-09,0,26.82
2013-08-16,0,26.24
2013-08-23,0,26.33
2013-08-30,0,25.61
2013-09-06,0,25.35
2013-09-13,0,25.07
2013-09-20,0,25.14
2013-09-27,0,24.73
2013-10-04,0,24.84
2013-10-11,0,25.08
2013-10-18,0,25.39
2013-10-25,0,22.03
2013-11-01,0,22.77
2013-11-08,0,23.16
2013-11-15,0,23.58
2013-11-22,0,23.34
2013-11-29,0,22.49
2013-12-06,0,22.78
2013-12-13,0,22.11
2013-12-20,0,22.51
2013-12-27,0,23.05
2014-01-03,0,23.11
2014-01-10,0,23.47
2014-01-17,0,23.27
2014-01-24,0,23.30
2014-01-31,0,21.41
2014-02-07,0,20.90
2014-02-14,0,21.35
2014-02-21,0,20.53
2014-02-28,0,21.48
2014-03-07,0,20.59
2014-03-14,0,20.16
2014-03-21,0,18.20
2014-03-28,0,19.79
2014-04-04,0,20.25
2014-04-11,0,20.01
2014-04-18,0,
2014-04-25,0,20.28
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
