Date,TDC,Price
2004-01-09,53,
2004-01-16,50,
2004-01-23,52,
2004-01-30,49,
2004-02-06,53,
2004-02-13,51,
2004-02-20,48,
2004-02-27,57,
2004-03-05,50,
2004-03-12,56,
2004-03-19,47,
2004-03-26,47,
2004-04-02,53,
2004-04-09,44,
2004-04-16,50,
2004-04-23,50,
2004-04-30,53,
2004-05-07,57,
2004-05-14,50,
2004-05-21,48,
2004-05-28,57,
2004-06-04,51,
2004-06-11,56,
2004-06-18,53,
2004-06-25,53,
2004-07-02,53,
2004-07-09,51,
2004-07-16,47,
2004-07-23,45,
2004-07-30,53,
2004-08-06,53,
2004-08-13,57,
2004-08-20,52,
2004-08-27,56,
2004-09-03,55,
2004-09-10,55,
2004-09-17,64,
2004-09-24,56,
2004-10-01,56,
2004-10-08,62,
2004-10-15,54,
2004-10-22,59,
2004-10-29,51,
2004-11-05,60,
2004-11-12,54,
2004-11-19,61,
2004-11-26,61,
2004-12-03,63,
2004-12-10,62,
2004-12-17,68,
2004-12-24,60,
2004-12-31,56,
2005-01-07,67,
2005-01-14,58,
2005-01-21,54,
2005-01-28,58,
2005-02-04,59,
2005-02-11,58,
2005-02-18,61,
2005-02-25,66,
2005-03-04,62,
2005-03-11,57,
2005-03-18,55,
2005-03-25,59,
2005-04-01,54,
2005-04-08,51,
2005-04-15,64,
2005-04-22,48,
2005-04-29,59,
2005-05-06,61,
2005-05-13,59,
2005-05-20,56,
2005-05-27,68,
2005-06-03,63,
2005-06-10,62,
2005-06-17,56,
2005-06-24,62,
2005-07-01,58,
2005-07-08,55,
2005-07-15,50,
2005-07-22,55,
2005-07-29,56,
2005-08-05,62,
2005-08-12,61,
2005-08-19,71,
2005-08-26,63,
2005-09-02,58,
2005-09-09,61,
2005-09-16,63,
2005-09-23,68,
2005-09-30,61,
2005-10-07,68,
2005-10-14,62,
2005-10-21,62,
2005-10-28,68,
2005-11-04,76,
2005-11-11,63,
2005-11-18,62,
2005-11-25,72,
2005-12-02,71,
2005-12-09,71,
2005-12-16,65,
2005-12-23,72,
2005-12-30,56,
2006-01-06,73,
2006-01-13,68,
2006-01-20,68,
2006-01-27,71,
2006-02-03,69,
2006-02-10,69,
2006-02-17,62,
2006-02-24,66,
2006-03-03,71,
2006-03-10,72,
2006-03-17,67,
2006-03-24,66,
2006-03-31,68,
2006-04-07,64,
2006-04-14,55,
2006-04-21,63,
2006-04-28,66,
2006-05-05,63,
2006-05-12,62,
2006-05-19,62,
2006-05-26,64,
2006-06-02,68,
2006-06-09,58,
2006-06-16,64,
2006-06-23,62,
2006-06-30,62,
2006-07-07,68,
2006-07-14,59,
2006-07-21,54,
2006-07-28,61,
2006-08-04,62,
2006-08-11,70,
2006-08-18,76,
2006-08-25,79,
2006-09-01,74,
2006-09-08,76,
2006-09-15,68,
2006-09-22,75,
2006-09-29,73,
2006-10-06,74,
2006-10-13,75,
2006-10-20,64,
2006-10-27,74,
2006-11-03,76,
2006-11-10,80,
2006-11-17,75,
2006-11-24,76,
2006-12-01,76,
2006-12-08,85,
2006-12-15,85,
2006-12-22,75,
2006-12-29,66,
2007-01-05,79,
2007-01-12,79,
2007-01-19,77,
2007-01-26,75,
2007-02-02,85,
2007-02-09,79,
2007-02-16,75,
2007-02-23,79,
2007-03-02,76,
2007-03-09,73,
2007-03-16,75,
2007-03-23,81,
2007-03-30,71,
2007-04-06,69,
2007-04-13,77,
2007-04-20,76,
2007-04-27,72,
2007-05-04,70,
2007-05-11,78,
2007-05-18,70,
2007-05-25,73,
2007-06-01,74,
2007-06-08,71,
2007-06-15,73,
2007-06-22,76,
2007-06-29,80,
2007-07-06,80,
2007-07-13,68,
2007-07-20,60,
2007-07-27,66,
2007-08-03,66,
2007-08-10,65,
2007-08-17,77,
2007-08-24,75,
2007-08-31,76,
2007-09-07,70,
2007-09-14,73,
2007-09-21,73,
2007-09-28,72,
2007-10-05,75,27.15
2007-10-12,72,28.40
2007-10-19,67,27.53
2007-10-26,70,28.90
2007-11-02,90,27.94
2007-11-09,70,24.77
2007-11-16,69,23.80
2007-11-23,76,24.84
2007-11-30,75,25.96
2007-12-07,72,26.52
2007-12-14,76,27.12
2007-12-21,75,26.87
2007-12-28,74,27.50
2008-01-04,75,26.62
2008-01-11,77,25.75
2008-01-18,72,24.17
2008-01-25,72,23.02
2008-02-01,75,23.61
2008-02-08,76,22.66
2008-02-15,73,23.72
2008-02-22,71,24.93
2008-02-29,74,25.23
2008-03-07,73,24.94
2008-03-14,70,23.71
2008-03-21,66,
2008-03-28,69,21.92
2008-04-04,100,21.89
2008-04-11,78,21.52
2008-04-18,75,21.99
2008-04-25,77,21.77
2008-05-02,72,22.44
2008-05-09,73,23.47
2008-05-16,67,25.14
2008-05-23,69,25.33
2008-05-30,68,27.01
2008-06-06,64,25.23
2008-06-13,73,24.14
2008-06-20,72,23.14
2008-06-27,73,23.25
2008-07-04,68,
2008-07-11,67,22.32
2008-07-18,63,22.79
2008-07-25,59,22.22
2008-08-01,65,22.39
2008-08-08,72,25.15
2008-08-15,68,24.95
2008-08-22,72,24.69
2008-08-29,69,24.57
2008-09-05,69,23.63
2008-09-12,73,22.99
2008-09-19,63,22.20
2008-09-26,65,20.61
2008-10-03,69,17.10
2008-10-10,69,15.22
2008-10-17,68,16.86
2008-10-24,68,14.67
2008-10-31,70,15.39
2008-11-07,63,14.48
2008-11-14,67,12.01
2008-11-21,65,12.06
2008-11-28,70,13.43
2008-12-05,69,13.64
2008-12-12,69,14.92
2008-12-19,71,15.07
2008-12-26,65,14.60
2009-01-02,67,15.92
2009-01-09,78,15.42
2009-01-16,72,15.23
2009-01-23,72,13.93
2009-01-30,82,13.13
2009-02-06,76,13.35
2009-02-13,69,15.12
2009-02-20,73,14.44
2009-02-27,73,15.46
2009-03-06,71,16.01
2009-03-13,73,17.12
2009-03-20,67,16.42
2009-03-27,69,16.87
2009-04-03,68,16.38
2009-04-10,57,
2009-04-17,61,16.39
2009-04-24,59,16.48
2009-05-01,64,17.10
2009-05-08,65,20.91
2009-05-15,65,20.60
2009-05-22,60,21.07
2009-05-29,63,21.60
2009-06-05,58,24.09
2009-06-12,68,23.99
2009-06-19,69,23.01
2009-06-26,60,23.06
2009-07-03,62,
2009-07-10,66,22.60
2009-07-17,57,24.68
2009-07-24,58,24.66
2009-07-31,64,24.57
2009-08-07,60,26.88
2009-08-14,70,27.10
2009-08-21,70,26.38
2009-08-28,66,27.05
2009-09-04,68,26.19
2009-09-11,63,26.18
2009-09-18,66,26.38
2009-09-25,60,27.57
2009-10-02,63,26.35
2009-10-09,60,27.43
2009-10-16,61,28.60
2009-10-23,59,28.33
2009-10-30,61,27.88
2009-11-06,63,28.62
2009-11-13,62,30.18
2009-11-20,62,29.43
2009-11-27,66,28.83
2009-12-04,59,30.56
2009-12-11,61,30.76
2009-12-18,59,31.21
2009-12-25,59,
2010-01-01,62,
2010-01-08,60,30.79
2010-01-15,59,30.08
2010-01-22,59,28.67
2010-01-29,58,27.97
2010-02-05,61,27.66
2010-02-12,56,28.72
2010-02-19,59,29.84
2010-02-26,57,30.49
2010-03-05,60,30.50
2010-03-12,60,29.68
2010-03-19,55,28.94
2010-03-26,52,28.96
2010-04-02,54,
2010-04-09,57,28.25
2010-04-16,56,29.95
2010-04-23,60,30.60
2010-04-30,56,29.07
2010-05-07,55,29.41
2010-05-14,62,32.30
2010-05-21,57,31.22
2010-05-28,55,31.94
2010-06-04,59,31.57
2010-06-11,64,32.55
2010-06-18,58,33.98
2010-06-25,59,32.89
2010-07-02,51,29.85
2010-07-09,55,31.15
2010-07-16,51,31.36
2010-07-23,47,32.96
2010-07-30,53,31.80
2010-08-06,58,32.34
2010-08-13,65,29.80
2010-08-20,62,30.49
2010-08-27,60,32.46
2010-09-03,58,34.72
2010-09-10,59,34.73
2010-09-17,59,34.47
2010-09-24,57,38.57
2010-10-01,58,39.08
2010-10-08,57,38.09
2010-10-15,58,38.61
2010-10-22,57,38.35
2010-10-29,57,39.36
2010-11-05,59,41.03
2010-11-12,60,40.20
2010-11-19,59,40.10
2010-11-26,58,41.00
2010-12-03,61,41.55
2010-12-10,63,43.04
2010-12-17,60,43.50
2010-12-24,55,
2010-12-31,54,41.16
2011-01-07,57,44.15
2011-01-14,56,46.05
2011-01-21,54,44.91
2011-01-28,56,42.88
2011-02-04,55,45.01
2011-02-11,54,48.97
2011-02-18,54,49.45
2011-02-25,55,47.48
2011-03-04,53,49.79
2011-03-11,51,49.68
2011-03-18,49,49.35
2011-03-25,50,51.14
2011-04-01,51,50.59
2011-04-08,52,50.31
2011-04-15,50,50.74
2011-04-22,44,
2011-04-29,49,55.92
2011-05-06,50,53.80
2011-05-13,50,53.31
2011-05-20,49,55.68
2011-05-27,52,55.37
2011-06-03,48,53.73
2011-06-10,52,52.98
2011-06-17,52,56.12
2011-06-24,51,57.43
2011-07-01,54,60.91
2011-07-08,52,61.17
2011-07-15,50,57.77
2011-07-22,46,57.27
2011-07-29,47,54.96
2011-08-05,49,53.76
2011-08-12,55,55.15
2011-08-19,50,43.35
2011-08-26,49,48.67
2011-09-02,51,49.03
2011-09-09,48,48.09
2011-09-16,52,52.55
2011-09-23,52,53.38
2011-09-30,52,53.53
2011-10-07,51,53.72
2011-10-14,48,59.31
2011-10-21,49,55.50
2011-10-28,52,62.18
2011-11-04,50,56.90
2011-11-11,54,56.38
2011-11-18,51,52.77
2011-11-25,51,49.48
2011-12-02,55,53.74
2011-12-09,51,52.77
2011-12-16,54,49.28
2011-12-23,49,48.97
2011-12-30,53,48.51
2012-01-06,57,47.37
2012-01-13,55,48.80
2012-01-20,52,52.53
2012-01-27,48,53.37
2012-02-03,48,56.84
2012-02-10,47,62.06
2012-02-17,47,62.63
2012-02-24,47,65.48
2012-03-02,48,66.59
2012-03-09,52,66.41
2012-03-16,48,68.24
2012-03-23,51,68.62
2012-03-30,50,68.15
2012-04-06,48,
2012-04-13,47,69.02
2012-04-20,49,68.90
2012-04-27,48,70.88
2012-05-04,44,73.14
2012-05-11,49,71.14
2012-05-18,46,65.38
2012-05-25,44,70.54
