Date,TE,Price
2004-01-09,26,
2004-01-16,26,
2004-01-23,26,
2004-01-30,26,
2004-02-06,26,14.87
2004-02-13,27,14.79
2004-02-20,27,14.82
2004-02-27,27,15.07
2004-03-05,26,15.04
2004-03-12,26,14.78
2004-03-19,27,14.74
2004-03-26,27,14.38
2004-04-02,26,14.46
2004-04-09,27,
2004-04-16,27,13.89
2004-04-23,28,13.55
2004-04-30,27,12.73
2004-05-07,27,12.13
2004-05-14,27,11.80
2004-05-21,28,11.82
2004-05-28,26,12.16
2004-06-04,30,11.92
2004-06-11,28,
2004-06-18,27,11.85
2004-06-25,28,11.91
2004-07-02,26,11.99
2004-07-09,28,12.79
2004-07-16,29,13.20
2004-07-23,28,12.60
2004-07-30,28,12.90
2004-08-06,29,12.65
2004-08-13,29,12.80
2004-08-20,30,12.88
2004-08-27,30,13.25
2004-09-03,29,13.25
2004-09-10,31,13.08
2004-09-17,30,13.56
2004-09-24,29,13.09
2004-10-01,28,13.51
2004-10-08,30,13.90
2004-10-15,30,14.21
2004-10-22,28,14.05
2004-10-29,28,14.00
2004-11-05,28,14.87
2004-11-12,29,15.15
2004-11-19,29,14.83
2004-11-26,32,15.37
2004-12-03,30,14.95
2004-12-10,28,14.57
2004-12-17,28,15.09
2004-12-24,30,
2004-12-31,31,15.35
2005-01-07,29,15.12
2005-01-14,30,15.54
2005-01-21,30,15.51
2005-01-28,31,15.77
2005-02-04,30,15.96
2005-02-11,32,15.95
2005-02-18,31,15.91
2005-02-25,30,15.85
2005-03-04,31,16.27
2005-03-11,31,15.68
2005-03-18,30,15.94
2005-03-25,31,
2005-04-01,31,15.89
2005-04-08,33,16.04
2005-04-15,32,15.76
2005-04-22,31,16.03
2005-04-29,31,16.61
2005-05-06,33,16.55
2005-05-13,32,16.23
2005-05-20,33,17.46
2005-05-27,32,17.41
2005-06-03,34,17.72
2005-06-10,33,18.31
2005-06-17,33,18.77
2005-06-24,31,18.46
2005-07-01,33,19.00
2005-07-08,32,19.19
2005-07-15,31,18.90
2005-07-22,31,18.96
2005-07-29,34,18.96
2005-08-05,35,18.61
2005-08-12,34,17.90
2005-08-19,35,17.53
2005-08-26,34,17.52
2005-09-02,34,17.66
2005-09-09,34,17.90
2005-09-16,34,18.16
2005-09-23,35,17.59
2005-09-30,34,18.02
2005-10-07,34,17.40
2005-10-14,34,16.56
2005-10-21,34,16.35
2005-10-28,34,17.03
2005-11-04,34,17.42
2005-11-11,35,17.17
2005-11-18,34,17.55
2005-11-25,34,17.68
2005-12-02,32,17.54
2005-12-09,34,17.65
2005-12-16,34,17.92
2005-12-23,33,17.40
2005-12-30,33,17.18
2006-01-06,32,17.61
2006-01-13,32,17.28
2006-01-20,33,17.54
2006-01-27,33,17.24
2006-02-03,34,16.59
2006-02-10,34,16.58
2006-02-17,33,17.05
2006-02-24,33,17.06
2006-03-03,33,16.62
2006-03-10,34,16.18
2006-03-17,34,16.64
2006-03-24,33,16.26
2006-03-31,34,16.12
2006-04-07,33,16.15
2006-04-14,34,
2006-04-21,35,16.54
2006-04-28,33,15.98
2006-05-05,35,15.99
2006-05-12,35,15.27
2006-05-19,35,14.86
2006-05-26,36,15.00
2006-06-02,36,15.36
2006-06-09,35,15.15
2006-06-16,35,14.92
2006-06-23,35,14.76
2006-06-30,34,14.94
2006-07-07,34,15.24
2006-07-14,34,15.63
2006-07-21,34,15.85
2006-07-28,35,16.06
2006-08-04,35,15.68
2006-08-11,35,15.48
2006-08-18,37,15.76
2006-08-25,36,15.39
2006-09-01,36,15.80
2006-09-08,36,15.42
2006-09-15,36,15.44
2006-09-22,37,15.49
2006-09-29,37,15.65
2006-10-06,37,15.80
2006-10-13,36,15.75
2006-10-20,36,16.32
2006-10-27,37,16.49
2006-11-03,37,16.13
2006-11-10,37,16.50
2006-11-17,37,16.97
2006-11-24,37,16.92
2006-12-01,36,17.03
2006-12-08,35,17.16
2006-12-15,37,17.42
2006-12-22,37,17.19
2006-12-29,39,17.23
2007-01-05,36,17.04
2007-01-12,37,16.72
2007-01-19,38,16.88
2007-01-26,39,16.85
2007-02-02,38,17.05
2007-02-09,37,17.00
2007-02-16,39,16.74
2007-02-23,38,16.93
2007-03-02,39,16.67
2007-03-09,42,16.59
2007-03-16,42,16.75
2007-03-23,39,17.29
2007-03-30,40,17.21
2007-04-06,39,
2007-04-13,39,18.01
2007-04-20,38,18.01
2007-04-27,38,18.05
2007-05-04,40,18.28
2007-05-11,41,18.12
2007-05-18,42,18.14
2007-05-25,42,17.25
2007-06-01,42,17.55
2007-06-08,42,16.57
2007-06-15,42,17.16
2007-06-22,41,16.81
2007-06-29,41,17.18
2007-07-06,42,17.43
2007-07-13,42,17.67
2007-07-20,41,17.19
2007-07-27,41,16.26
2007-08-03,42,15.87
2007-08-10,43,16.00
2007-08-17,44,15.92
2007-08-24,43,16.02
2007-08-31,44,15.84
2007-09-07,42,15.58
2007-09-14,43,15.80
2007-09-21,42,16.16
2007-09-28,43,16.43
2007-10-05,42,16.13
2007-10-12,42,16.44
2007-10-19,44,15.85
2007-10-26,42,16.74
2007-11-02,44,17.10
2007-11-09,44,17.23
2007-11-16,53,17.10
2007-11-23,49,17.12
2007-11-30,45,17.32
2007-12-07,44,17.78
2007-12-14,43,17.02
2007-12-21,43,17.37
2007-12-28,47,17.36
2008-01-04,46,16.94
2008-01-11,44,17.24
2008-01-18,44,16.03
2008-01-25,46,15.77
2008-02-01,44,16.92
2008-02-08,45,16.22
2008-02-15,48,15.44
2008-02-22,47,15.37
2008-02-29,47,14.98
2008-03-07,47,14.96
2008-03-14,48,14.90
2008-03-21,48,
2008-03-28,49,15.60
2008-04-04,49,16.30
2008-04-11,51,16.22
2008-04-18,51,16.69
2008-04-25,50,16.76
2008-05-02,50,16.64
2008-05-09,50,19.05
2008-05-16,51,19.36
2008-05-23,51,19.83
2008-05-30,54,20.37
2008-06-06,51,21.29
2008-06-13,52,21.42
2008-06-20,51,21.54
2008-06-27,50,20.88
2008-07-04,52,
2008-07-11,52,20.56
2008-07-18,51,19.61
2008-07-25,52,19.22
2008-08-01,52,17.59
2008-08-08,54,17.19
