Date,TGT,Price
2004-01-09,0,
2004-01-16,8,
2004-01-23,20,
2004-01-30,13,
2004-02-06,14,39.44
2004-02-13,14,41.17
2004-02-20,8,42.64
2004-02-27,16,43.96
2004-03-05,15,43.20
2004-03-12,15,45.63
2004-03-19,15,44.73
2004-03-26,15,44.51
2004-04-02,15,44.75
2004-04-09,14,
2004-04-16,11,44.28
2004-04-23,11,44.74
2004-04-30,10,43.37
2004-05-07,9,43.26
2004-05-14,13,43.00
2004-05-21,16,43.21
2004-05-28,12,44.70
2004-06-04,13,45.21
2004-06-11,13,
2004-06-18,12,45.99
2004-06-25,11,44.45
2004-07-02,7,41.75
2004-07-09,14,41.27
2004-07-16,16,42.40
2004-07-23,11,43.83
2004-07-30,15,43.60
2004-08-06,9,40.81
2004-08-13,13,42.94
2004-08-20,11,43.81
2004-08-27,16,44.94
2004-09-03,10,45.93
2004-09-10,14,45.82
2004-09-17,11,45.32
2004-09-24,13,46.22
2004-10-01,13,45.45
2004-10-08,16,47.33
2004-10-15,16,46.89
2004-10-22,17,47.71
2004-10-29,11,50.02
2004-11-05,9,51.83
2004-11-12,13,52.02
2004-11-19,16,51.29
2004-11-26,13,52.21
2004-12-03,11,51.70
2004-12-10,11,51.70
2004-12-17,13,50.53
2004-12-24,14,
2004-12-31,12,51.93
2005-01-07,10,49.02
2005-01-14,10,49.75
2005-01-21,12,49.10
2005-01-28,13,49.49
2005-02-04,16,51.52
2005-02-11,19,49.23
2005-02-18,14,50.62
2005-02-25,16,51.37
2005-03-04,11,52.39
2005-03-11,9,51.75
2005-03-18,15,50.76
2005-03-25,12,
2005-04-01,10,49.40
2005-04-08,12,50.05
2005-04-15,14,48.00
2005-04-22,12,46.63
2005-04-29,15,46.41
2005-05-06,23,46.87
2005-05-13,16,48.49
2005-05-20,15,51.89
2005-05-27,13,53.50
2005-06-03,14,53.92
2005-06-10,15,53.55
2005-06-17,11,54.42
2005-06-24,10,54.07
2005-07-01,12,54.56
2005-07-08,13,56.93
2005-07-15,12,58.70
2005-07-22,15,59.10
2005-07-29,14,58.75
2005-08-05,14,55.47
2005-08-12,15,56.58
2005-08-19,19,55.34
2005-08-26,17,55.68
2005-09-02,15,53.16
2005-09-09,15,54.40
2005-09-16,16,53.30
2005-09-23,14,52.59
2005-09-30,13,51.93
2005-10-07,16,52.77
2005-10-14,10,53.49
2005-10-21,15,54.64
2005-10-28,14,54.51
2005-11-04,13,57.41
2005-11-11,12,58.45
2005-11-18,18,55.22
2005-11-25,15,55.23
2005-12-02,14,53.86
2005-12-09,15,53.80
2005-12-16,13,53.67
2005-12-23,15,55.51
2005-12-30,15,54.97
2006-01-06,16,54.33
2006-01-13,15,54.38
2006-01-20,15,53.58
2006-01-27,12,54.17
2006-02-03,12,54.96
2006-02-10,11,54.61
2006-02-17,13,54.31
2006-02-24,13,54.05
2006-03-03,11,53.39
2006-03-10,12,53.31
2006-03-17,9,53.77
2006-03-24,9,53.71
2006-03-31,10,52.01
2006-04-07,13,51.96
2006-04-14,9,
2006-04-21,13,50.85
2006-04-28,15,53.10
2006-05-05,11,54.54
2006-05-12,11,52.21
2006-05-19,14,49.16
2006-05-26,14,48.85
2006-06-02,9,49.19
2006-06-09,10,48.41
2006-06-16,10,49.22
2006-06-23,13,49.25
2006-06-30,11,48.87
2006-07-07,9,49.22
2006-07-14,12,47.74
2006-07-21,10,46.08
2006-07-28,9,46.46
2006-08-04,12,47.22
2006-08-11,12,48.40
2006-08-18,9,49.80
2006-08-25,10,46.90
2006-09-01,10,48.95
2006-09-08,11,50.56
2006-09-15,9,53.64
2006-09-22,13,54.83
2006-09-29,13,55.25
2006-10-06,14,58.55
2006-10-13,9,59.68
2006-10-20,10,58.00
2006-10-27,12,58.56
2006-11-03,14,56.03
2006-11-10,11,57.94
2006-11-17,15,58.22
2006-11-24,10,57.71
2006-12-01,14,57.31
2006-12-08,12,58.13
2006-12-15,10,58.76
2006-12-22,9,57.32
2006-12-29,10,57.05
2007-01-05,12,57.27
2007-01-12,10,60.31
2007-01-19,8,62.35
2007-01-26,10,60.19
2007-02-02,9,62.03
2007-02-09,10,61.67
2007-02-16,12,62.91
2007-02-23,11,63.10
2007-03-02,12,61.03
2007-03-09,10,61.88
2007-03-16,11,59.77
2007-03-23,13,61.51
2007-03-30,9,59.26
2007-04-06,8,
2007-04-13,7,59.65
2007-04-20,8,62.12
2007-04-27,9,60.77
2007-05-04,8,58.98
2007-05-11,7,58.25
2007-05-18,9,58.15
2007-05-25,13,60.76
2007-06-01,11,63.67
2007-06-08,10,63.37
2007-06-15,12,63.79
2007-06-22,20,64.27
2007-06-29,13,63.60
2007-07-06,14,68.10
2007-07-13,17,70.14
2007-07-20,18,67.43
2007-07-27,13,62.10
2007-08-03,11,60.51
2007-08-10,14,62.36
2007-08-17,15,61.18
2007-08-24,13,63.09
2007-08-31,13,65.93
2007-09-07,9,61.00
2007-09-14,12,64.51
2007-09-21,10,65.65
2007-09-28,11,63.57
2007-10-05,10,67.57
2007-10-12,11,64.17
2007-10-19,11,60.77
2007-10-26,11,63.03
2007-11-02,15,59.33
2007-11-09,11,56.19
2007-11-16,13,53.88
2007-11-23,14,57.17
2007-11-30,15,59.97
2007-12-07,13,55.51
2007-12-14,12,51.56
2007-12-21,14,50.68
2007-12-28,11,50.74
2008-01-04,10,48.08
2008-01-11,12,49.95
2008-01-18,11,50.10
2008-01-25,12,51.60
2008-02-01,10,57.05
2008-02-08,12,52.50
2008-02-15,9,53.07
2008-02-22,10,52.07
2008-02-29,13,52.61
