Date,THC,Price
2004-01-09,73,
2004-01-16,76,
2004-01-23,77,
2004-01-30,77,
2004-02-06,74,12.81
2004-02-13,72,12.22
2004-02-20,72,12.27
2004-02-27,76,12.02
2004-03-05,65,12.08
2004-03-12,72,9.95
2004-03-19,79,10.70
2004-03-26,86,10.30
2004-04-02,76,11.00
2004-04-09,76,
2004-04-16,92,10.78
2004-04-23,79,11.40
2004-04-30,87,11.76
2004-05-07,74,12.10
2004-05-14,77,11.99
2004-05-21,71,11.73
2004-05-28,71,11.92
2004-06-04,73,12.87
2004-06-11,68,
2004-06-18,71,12.70
2004-06-25,65,12.84
2004-07-02,77,13.11
2004-07-09,73,12.24
2004-07-16,68,12.68
2004-07-23,68,11.89
2004-07-30,64,11.18
2004-08-06,75,10.01
2004-08-13,66,10.26
2004-08-20,63,10.58
2004-08-27,73,10.27
2004-09-03,66,10.41
2004-09-10,90,10.25
2004-09-17,77,10.30
2004-09-24,84,10.41
2004-10-01,83,11.00
2004-10-08,81,11.24
2004-10-15,82,10.37
2004-10-22,84,10.41
2004-10-29,71,10.72
2004-11-05,76,10.91
2004-11-12,67,10.99
2004-11-19,76,10.70
2004-11-26,67,10.69
2004-12-03,78,11.70
2004-12-10,82,12.04
2004-12-17,70,10.50
2004-12-24,75,
2004-12-31,73,10.98
2005-01-07,74,10.45
2005-01-14,79,10.59
2005-01-21,80,10.23
2005-01-28,77,9.90
2005-02-04,74,10.48
2005-02-11,76,10.09
2005-02-18,82,10.78
2005-02-25,81,10.85
2005-03-04,75,11.12
2005-03-11,76,10.57
2005-03-18,77,10.59
2005-03-25,77,
2005-04-01,77,11.57
2005-04-08,90,11.81
2005-04-15,78,11.89
2005-04-22,86,11.80
2005-04-29,80,11.97
2005-05-06,69,11.71
2005-05-13,75,12.18
2005-05-20,77,12.50
2005-05-27,65,12.00
2005-06-03,70,11.98
2005-06-10,72,12.01
2005-06-17,64,12.76
2005-06-24,66,12.32
2005-07-01,57,12.19
2005-07-08,61,12.30
2005-07-15,61,12.10
2005-07-22,69,12.11
2005-07-29,56,12.14
2005-08-05,64,12.66
2005-08-12,65,12.74
2005-08-19,63,12.75
2005-08-26,68,12.77
2005-09-02,68,12.00
2005-09-09,64,12.02
2005-09-16,73,11.66
2005-09-23,65,11.41
2005-09-30,70,11.23
2005-10-07,80,10.46
2005-10-14,79,9.95
2005-10-21,77,9.12
2005-10-28,75,8.25
2005-11-04,68,7.92
2005-11-11,84,7.60
2005-11-18,81,7.61
2005-11-25,72,7.43
2005-12-02,68,8.22
2005-12-09,66,8.66
2005-12-16,71,8.45
2005-12-23,65,7.98
2005-12-30,61,7.66
2006-01-06,69,7.74
2006-01-13,71,7.73
2006-01-20,66,7.49
2006-01-27,74,7.48
2006-02-03,62,7.06
2006-02-10,71,7.04
2006-02-17,64,7.81
2006-02-24,63,8.05
2006-03-03,73,7.43
2006-03-10,67,7.27
2006-03-17,64,7.28
2006-03-24,74,7.32
2006-03-31,70,7.38
2006-04-07,74,8.71
2006-04-14,72,
2006-04-21,70,8.63
2006-04-28,79,8.32
2006-05-05,100,8.02
2006-05-12,67,7.58
2006-05-19,78,7.95
2006-05-26,69,7.77
2006-06-02,69,8.05
2006-06-09,64,7.80
2006-06-16,63,7.41
2006-06-23,58,7.10
2006-06-30,62,6.98
2006-07-07,54,6.56
2006-07-14,59,6.23
2006-07-21,58,6.09
2006-07-28,66,5.92
2006-08-04,55,5.92
2006-08-11,58,7.05
2006-08-18,65,7.34
2006-08-25,59,7.29
2006-09-01,60,7.70
2006-09-08,59,7.80
2006-09-15,57,8.58
2006-09-22,69,8.17
2006-09-29,60,8.14
2006-10-06,57,8.31
2006-10-13,68,8.21
2006-10-20,64,8.14
2006-10-27,62,8.30
2006-11-03,62,6.84
2006-11-10,62,7.23
2006-11-17,61,7.26
2006-11-24,58,7.09
2006-12-01,60,6.98
2006-12-08,62,7.10
2006-12-15,62,6.82
2006-12-22,60,6.93
2006-12-29,55,6.97
2007-01-05,56,7.10
2007-01-12,62,7.34
2007-01-19,59,7.58
2007-01-26,59,7.07
2007-02-02,64,7.02
2007-02-09,60,7.19
