Date,TSCO,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,42.09
2004-02-13,0,42.50
2004-02-20,0,42.15
2004-02-27,0,42.82
2004-03-05,0,44.00
2004-03-12,0,42.10
2004-03-19,0,38.88
2004-03-26,0,39.93
2004-04-02,0,39.00
2004-04-09,0,
2004-04-16,0,40.38
2004-04-23,0,42.45
2004-04-30,0,38.95
2004-05-07,0,36.10
2004-05-14,0,35.80
2004-05-21,0,36.19
2004-05-28,0,38.53
2004-06-04,0,37.31
2004-06-11,0,
2004-06-18,0,38.62
2004-06-25,0,41.59
2004-07-02,0,40.57
2004-07-09,0,40.49
2004-07-16,0,37.66
2004-07-23,0,35.27
2004-07-30,0,36.31
2004-08-06,0,32.90
2004-08-13,0,32.89
2004-08-20,0,34.39
2004-08-27,0,35.00
2004-09-03,0,37.94
2004-09-10,0,38.35
2004-09-17,0,39.00
2004-09-24,0,36.25
2004-10-01,0,32.68
2004-10-08,0,31.22
2004-10-15,0,33.77
2004-10-22,0,34.34
2004-10-29,0,36.28
2004-11-05,0,35.68
2004-11-12,0,36.37
2004-11-19,0,33.79
2004-11-26,0,32.45
2004-12-03,0,33.75
2004-12-10,0,34.53
2004-12-17,0,35.42
2004-12-24,0,
2004-12-31,0,37.21
2005-01-07,0,35.46
2005-01-14,0,35.59
2005-01-21,0,34.44
2005-01-28,0,35.18
2005-02-04,0,44.33
2005-02-11,0,43.16
2005-02-18,0,42.58
2005-02-25,0,42.50
2005-03-04,0,43.85
2005-03-11,0,42.73
2005-03-18,0,42.55
2005-03-25,0,
2005-04-01,0,42.34
2005-04-08,0,43.80
2005-04-15,0,40.87
2005-04-22,0,41.19
2005-04-29,0,40.22
2005-05-06,0,41.79
2005-05-13,0,40.31
2005-05-20,0,42.67
2005-05-27,0,43.71
2005-06-03,0,45.60
2005-06-10,0,47.23
2005-06-17,0,49.01
2005-06-24,0,48.10
2005-07-01,0,49.05
2005-07-08,0,49.57
2005-07-15,0,49.16
2005-07-22,0,54.26
2005-07-29,0,56.22
2005-08-05,0,53.40
2005-08-12,0,54.14
2005-08-19,0,49.74
2005-08-26,0,50.05
2005-09-02,0,47.87
2005-09-09,0,51.79
2005-09-16,0,50.91
2005-09-23,0,49.00
2005-09-30,0,45.65
2005-10-07,0,43.57
2005-10-14,0,42.54
2005-10-21,83,47.48
2005-10-28,0,48.05
2005-11-04,0,52.08
2005-11-11,0,50.82
2005-11-18,0,50.09
2005-11-25,0,51.56
2005-12-02,0,55.15
2005-12-09,0,54.27
2005-12-16,0,54.27
2005-12-23,0,54.00
2005-12-30,0,52.94
2006-01-06,0,52.69
2006-01-13,0,52.61
2006-01-20,0,49.22
2006-01-27,0,51.70
2006-02-03,78,63.30
2006-02-10,0,59.61
2006-02-17,0,61.28
2006-02-24,0,62.35
2006-03-03,0,62.46
2006-03-10,0,62.58
2006-03-17,0,64.18
2006-03-24,0,66.98
2006-03-31,0,66.34
2006-04-07,0,62.92
2006-04-14,0,
2006-04-21,0,64.39
2006-04-28,0,64.79
2006-05-05,89,64.93
2006-05-12,0,61.43
2006-05-19,0,60.47
2006-05-26,0,57.67
2006-06-02,0,59.24
2006-06-09,0,51.21
2006-06-16,0,48.64
2006-06-23,0,54.47
2006-06-30,0,55.27
2006-07-07,0,53.33
2006-07-14,0,48.06
2006-07-21,0,44.09
2006-07-28,0,45.09
2006-08-04,0,46.45
2006-08-11,0,43.90
2006-08-18,0,47.12
2006-08-25,0,42.77
2006-09-01,59,42.83
2006-09-08,0,41.72
2006-09-15,0,47.06
2006-09-22,0,46.77
2006-09-29,0,48.26
2006-10-06,0,49.75
2006-10-13,0,50.61
2006-10-20,0,52.75
2006-10-27,0,48.59
2006-11-03,0,47.69
2006-11-10,0,48.44
2006-11-17,0,49.75
2006-11-24,0,48.96
2006-12-01,0,46.79
2006-12-08,0,49.12
2006-12-15,56,45.76
2006-12-22,71,44.20
2006-12-29,57,44.71
2007-01-05,57,47.99
2007-01-12,57,49.26
2007-01-19,47,49.40
2007-01-26,47,48.38
2007-02-02,55,48.02
2007-02-09,45,47.54
2007-02-16,48,48.97
2007-02-23,51,50.76
2007-03-02,78,50.99
2007-03-09,49,53.30
2007-03-16,53,50.72
2007-03-23,88,53.74
2007-03-30,53,51.50
2007-04-06,65,
2007-04-13,62,55.90
2007-04-20,43,55.21
2007-04-27,43,52.81
2007-05-04,51,51.33
2007-05-11,59,50.92
2007-05-18,55,51.28
2007-05-25,55,51.60
2007-06-01,40,54.54
2007-06-08,44,52.80
2007-06-15,48,53.62
2007-06-22,52,53.00
2007-06-29,62,52.05
2007-07-06,49,52.15
2007-07-13,44,52.31
2007-07-20,56,49.52
2007-07-27,56,46.23
2007-08-03,56,46.39
2007-08-10,56,48.98
2007-08-17,49,45.82
2007-08-24,49,48.13
2007-08-31,38,48.16
2007-09-07,39,46.06
2007-09-14,39,47.55
2007-09-21,50,48.43
2007-09-28,59,46.09
2007-10-05,49,48.30
2007-10-12,38,48.15
2007-10-19,41,44.65
2007-10-26,36,41.90
2007-11-02,68,40.74
2007-11-09,33,39.04
2007-11-16,59,39.66
2007-11-23,46,39.70
2007-11-30,57,41.02
2007-12-07,44,40.32
2007-12-14,82,36.86
2007-12-21,78,37.61
2007-12-28,78,35.36
2008-01-04,45,31.93
2008-01-11,44,30.54
2008-01-18,60,29.49
2008-01-25,57,33.01
2008-02-01,75,39.79
2008-02-08,34,40.27
2008-02-15,60,39.73
2008-02-22,59,38.56
2008-02-29,70,37.44
2008-03-07,57,36.44
2008-03-14,80,36.72
2008-03-21,67,
2008-03-28,84,39.40
2008-04-04,40,38.71
2008-04-11,51,37.12
2008-04-18,46,36.98
2008-04-25,58,35.96
2008-05-02,59,35.83
2008-05-09,46,33.29
2008-05-16,54,33.90
2008-05-23,53,32.47
2008-05-30,60,34.17
2008-06-06,33,33.32
2008-06-13,37,32.35
2008-06-20,54,31.72
2008-06-27,60,29.57
2008-07-04,47,
2008-07-11,50,28.58
2008-07-18,52,30.35
2008-07-25,58,38.08
2008-08-01,66,38.75
2008-08-08,49,41.81
2008-08-15,53,42.23
2008-08-22,74,41.75
2008-08-29,63,42.62
2008-09-05,40,43.60
2008-09-12,54,43.64
2008-09-19,75,45.03
2008-09-26,41,45.49
2008-10-03,77,36.86
2008-10-10,60,38.19
2008-10-17,69,34.67
2008-10-24,61,36.17
2008-10-31,57,41.56
2008-11-07,47,40.87
2008-11-14,100,34.48
2008-11-21,71,34.88
2008-11-28,79,38.38
2008-12-05,78,39.59
2008-12-12,80,38.98
2008-12-19,62,36.59
2008-12-26,79,34.52
2009-01-02,52,36.73
2009-01-09,51,32.46
2009-01-16,75,34.11
2009-01-23,54,33.82
2009-01-30,33,33.71
2009-02-06,50,35.30
2009-02-13,39,32.70
2009-02-20,37,32.53
2009-02-27,74,31.24
2009-03-06,41,29.58
2009-03-13,36,32.44
2009-03-20,39,34.96
2009-03-27,44,36.84
2009-04-03,45,39.34
2009-04-10,52,
2009-04-17,52,40.91
2009-04-24,59,39.83
2009-05-01,67,39.06
2009-05-08,47,37.34
2009-05-15,77,35.44
2009-05-22,64,36.53
2009-05-29,44,38.38
2009-06-05,45,41.99
2009-06-12,51,39.90
2009-06-19,53,39.86
2009-06-26,47,41.06
2009-07-03,46,
2009-07-10,59,44.99
2009-07-17,78,47.56
2009-07-24,59,47.63
2009-07-31,68,47.97
2009-08-07,53,48.78
2009-08-14,55,46.17
2009-08-21,67,47.08
2009-08-28,63,47.53
2009-09-04,47,47.13
2009-09-11,62,46.08
2009-09-18,63,48.10
2009-09-25,36,47.70
2009-10-02,57,46.69
2009-10-09,85,53.33
2009-10-16,67,52.37
2009-10-23,62,46.58
2009-10-30,54,44.70
2009-11-06,51,47.64
2009-11-13,79,47.86
2009-11-20,66,47.71
2009-11-27,68,47.25
2009-12-04,52,51.26
2009-12-11,64,49.88
2009-12-18,63,51.69
2009-12-25,94,
2010-01-01,88,
2010-01-08,54,53.36
2010-01-15,61,52.45
2010-01-22,37,50.11
2010-01-29,55,50.47
2010-02-05,54,50.60
2010-02-12,51,51.76
2010-02-19,40,53.42
2010-02-26,43,54.72
2010-03-05,44,57.48
2010-03-12,39,58.30
2010-03-19,34,59.29
2010-03-26,39,58.23
2010-04-02,43,
2010-04-09,53,66.46
2010-04-16,48,66.92
2010-04-23,56,69.77
2010-04-30,63,67.17
2010-05-07,41,63.08
2010-05-14,48,68.41
2010-05-21,66,65.74
2010-05-28,64,67.76
2010-06-04,39,64.24
2010-06-11,52,66.50
2010-06-18,74,67.19
2010-06-25,49,62.04
2010-07-02,53,61.47
2010-07-09,58,65.74
2010-07-16,52,66.75
2010-07-23,58,69.71
2010-07-30,68,69.51
2010-08-06,75,70.40
2010-08-13,52,68.55
2010-08-20,84,70.80
2010-08-27,69,68.64
2010-09-03,47,36.31
2010-09-10,62,36.82
2010-09-17,61,37.69
2010-09-24,67,38.59
2010-10-01,65,39.20
2010-10-08,61,38.58
2010-10-15,66,39.64
2010-10-22,65,38.32
2010-10-29,59,39.58
2010-11-05,70,41.69
2010-11-12,68,40.68
2010-11-19,58,41.49
2010-11-26,85,42.29
2010-12-03,72,45.98
2010-12-10,65,47.67
2010-12-17,70,48.47
2010-12-24,63,
2010-12-31,65,48.49
2011-01-07,50,47.09
2011-01-14,44,46.65
2011-01-21,54,46.35
2011-01-28,67,50.69
2011-02-04,57,52.43
2011-02-11,43,53.69
2011-02-18,53,53.15
2011-02-25,47,51.87
2011-03-04,42,53.95
2011-03-11,43,54.68
2011-03-18,51,53.99
2011-03-25,46,56.73
2011-04-01,65,61.06
2011-04-08,59,62.84
2011-04-15,54,63.77
2011-04-22,54,
2011-04-29,56,61.87
2011-05-06,65,59.80
2011-05-13,45,61.89
2011-05-20,76,58.97
2011-05-27,54,62.42
2011-06-03,60,59.77
2011-06-10,35,58.77
2011-06-17,58,60.94
2011-06-24,64,64.91
2011-07-01,47,67.83
2011-07-08,48,71.71
2011-07-15,55,69.17
2011-07-22,65,68.00
2011-07-29,64,65.92
2011-08-05,70,58.89
2011-08-12,94,58.78
2011-08-19,69,53.44
2011-08-26,61,59.34
2011-09-02,72,59.64
2011-09-09,57,64.71
2011-09-16,63,68.84
2011-09-23,57,66.54
2011-09-30,66,62.53
2011-10-07,59,65.75
2011-10-14,56,67.42
2011-10-21,70,73.46
2011-10-28,70,71.19
2011-11-04,62,72.77
2011-11-11,79,74.50
2011-11-18,72,72.27
2011-11-25,93,67.68
2011-12-02,82,72.20
2011-12-09,80,75.27
2011-12-16,77,72.82
2011-12-23,67,70.96
2011-12-30,56,70.15
2012-01-06,58,69.71
2012-01-13,95,80.56
2012-01-20,88,79.99
2012-01-27,80,80.42
2012-02-03,79,81.21
2012-02-10,86,83.08
2012-02-17,63,82.76
2012-02-24,77,84.33
2012-03-02,72,86.61
2012-03-09,69,87.37
2012-03-16,78,85.81
2012-03-23,69,86.04
2012-03-30,75,90.56
2012-04-06,75,
2012-04-13,74,98.38
2012-04-20,91,99.46
2012-04-27,64,99.48
2012-05-04,80,96.48
2012-05-11,70,98.64
2012-05-18,52,91.86
2012-05-25,64,99.62
2012-06-01,81,89.59
2012-06-08,61,87.70
2012-06-15,79,87.91
2012-06-22,70,86.66
2012-06-29,58,83.06
2012-07-06,76,83.94
2012-07-13,62,81.01
2012-07-20,56,77.98
2012-07-27,72,91.94
2012-08-03,56,90.45
2012-08-10,72,90.44
2012-08-17,60,93.75
2012-08-24,54,96.15
2012-08-31,57,95.48
2012-09-07,57,100.61
2012-09-14,54,97.00
2012-09-21,60,97.36
2012-09-28,69,98.89
2012-10-05,72,102.45
2012-10-12,66,97.18
2012-10-19,62,93.97
2012-10-26,91,92.08
2012-11-02,83,94.57
2012-11-09,73,92.20
2012-11-16,65,87.17
2012-11-23,78,90.73
2012-11-30,65,89.62
2012-12-07,69,85.88
2012-12-14,72,85.07
2012-12-21,56,88.03
2012-12-28,58,87.47
2013-01-04,59,91.64
2013-01-11,74,91.49
2013-01-18,58,94.04
2013-01-25,59,95.86
2013-02-01,60,103.96
2013-02-08,57,104.04
2013-02-15,59,103.77
2013-02-22,49,101.25
2013-03-01,50,103.09
2013-03-08,52,104.70
2013-03-15,67,101.01
2013-03-22,63,102.11
2013-03-29,55,
2013-04-05,45,106.03
2013-04-12,48,107.36
2013-04-19,74,108.06
2013-04-26,56,108.50
2013-05-03,58,110.74
2013-05-10,52,113.76
2013-05-17,57,112.60
2013-05-24,48,111.20
2013-05-31,56,111.98
2013-06-07,62,113.52
2013-06-14,65,114.68
2013-06-21,63,110.21
2013-06-28,52,117.55
2013-07-05,51,118.81
2013-07-12,54,123.01
2013-07-19,50,122.49
2013-07-26,62,119.18
2013-08-02,48,123.31
2013-08-09,48,122.37
2013-08-16,47,116.76
2013-08-23,54,121.00
2013-08-30,55,122.37
2013-09-06,47,123.66
2013-09-13,56,130.50
2013-09-20,61,130.48
2013-09-27,77,66.40
2013-10-04,61,68.53
2013-10-11,57,65.85
2013-10-18,69,67.19
2013-10-25,75,73.22
2013-11-01,71,71.12
2013-11-08,67,71.37
2013-11-15,69,74.09
2013-11-22,53,73.19
2013-11-29,67,73.21
2013-12-06,60,72.76
2013-12-13,68,72.03
2013-12-20,61,74.92
2013-12-27,54,75.54
2014-01-03,53,76.48
2014-01-10,56,76.58
2014-01-17,38,74.17
2014-01-24,42,70.18
2014-01-31,54,66.51
2014-02-07,50,66.52
2014-02-14,53,65.70
2014-02-21,53,66.40
2014-02-28,50,70.56
2014-03-07,50,72.72
2014-03-14,45,71.06
2014-03-21,41,74.37
2014-03-28,49,70.77
2014-04-04,38,69.15
2014-04-11,56,67.09
2014-04-18,68,
2014-04-25,50,65.68
2014-05-02,58,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
