Date,TXN,Price
2004-01-09,0,
2004-01-16,47,
2004-01-23,48,
2004-01-30,50,
2004-02-06,0,31.31
2004-02-13,0,30.77
2004-02-20,0,30.62
2004-02-27,0,30.65
2004-03-05,0,31.47
2004-03-12,0,29.81
2004-03-19,0,27.79
2004-03-26,0,28.59
2004-04-02,46,30.41
2004-04-09,0,
2004-04-16,0,27.66
2004-04-23,0,27.94
2004-04-30,0,25.10
2004-05-07,0,25.42
2004-05-14,0,25.36
2004-05-21,0,24.94
2004-05-28,0,26.11
2004-06-04,0,25.21
2004-06-11,0,
2004-06-18,0,23.18
2004-06-25,0,24.03
2004-07-02,0,23.02
2004-07-09,0,22.72
2004-07-16,0,21.14
2004-07-23,0,20.79
2004-07-30,0,21.33
2004-08-06,0,19.67
2004-08-13,0,18.44
2004-08-20,0,19.90
2004-08-27,0,20.34
2004-09-03,0,19.17
2004-09-10,0,21.94
2004-09-17,0,22.08
2004-09-24,0,21.69
2004-10-01,0,22.66
2004-10-08,0,22.05
2004-10-15,0,21.22
2004-10-22,34,22.31
2004-10-29,0,24.45
2004-11-05,0,24.70
2004-11-12,0,24.69
2004-11-19,0,24.75
2004-11-26,0,24.59
2004-12-03,0,25.10
2004-12-10,38,23.63
2004-12-17,0,23.44
2004-12-24,0,
2004-12-31,0,24.62
2005-01-07,0,22.92
2005-01-14,0,22.47
2005-01-21,0,21.03
2005-01-28,35,23.11
2005-02-04,0,24.80
2005-02-11,0,25.86
2005-02-18,0,25.32
2005-02-25,0,26.70
2005-03-04,0,26.89
2005-03-11,30,26.20
2005-03-18,33,25.44
2005-03-25,35,
2005-04-01,38,24.96
2005-04-08,40,24.91
2005-04-15,43,22.76
2005-04-22,30,24.42
2005-04-29,32,24.96
2005-05-06,34,26.41
2005-05-13,31,26.50
2005-05-20,42,27.70
2005-05-27,46,27.75
2005-06-03,29,27.98
2005-06-10,49,27.38
2005-06-17,34,27.32
2005-06-24,33,28.01
2005-07-01,30,28.03
2005-07-08,30,29.75
2005-07-15,43,30.76
2005-07-22,56,30.76
2005-07-29,69,31.76
2005-08-05,43,31.31
2005-08-12,31,31.79
2005-08-19,32,31.16
2005-08-26,47,32.06
2005-09-02,52,32.50
2005-09-09,71,33.74
2005-09-16,90,32.80
2005-09-23,71,33.90
2005-09-30,54,33.90
2005-10-07,57,30.63
2005-10-14,86,29.93
2005-10-21,61,30.52
2005-10-28,63,28.00
2005-11-04,66,30.95
2005-11-11,45,31.12
2005-11-18,38,31.88
2005-11-25,37,32.16
2005-12-02,57,34.11
2005-12-09,65,33.37
2005-12-16,35,33.07
2005-12-23,41,32.93
2005-12-30,46,32.07
2006-01-06,52,34.45
2006-01-13,61,33.03
2006-01-20,38,31.66
2006-01-27,84,30.23
2006-02-03,66,30.00
2006-02-10,71,30.91
2006-02-17,54,31.48
2006-02-24,53,29.68
2006-03-03,69,32.29
2006-03-10,67,30.77
2006-03-17,40,30.19
2006-03-24,38,30.89
2006-03-31,38,32.47
2006-04-07,31,33.07
2006-04-14,50,
2006-04-21,52,35.34
2006-04-28,53,34.71
2006-05-05,34,34.95
2006-05-12,46,33.21
2006-05-19,34,31.97
2006-05-26,48,31.64
2006-06-02,42,32.13
2006-06-09,52,29.68
2006-06-16,40,29.56
2006-06-23,24,29.39
2006-06-30,55,30.29
2006-07-07,32,29.17
2006-07-14,57,28.75
2006-07-21,37,27.00
2006-07-28,56,29.35
2006-08-04,48,30.03
2006-08-11,57,30.52
2006-08-18,48,33.09
2006-08-25,37,31.44
2006-09-01,45,31.93
2006-09-08,42,31.00
2006-09-15,69,31.93
2006-09-22,49,32.01
2006-09-29,45,33.25
2006-10-06,59,31.31
2006-10-13,58,32.81
2006-10-20,48,31.37
2006-10-27,95,29.90
2006-11-03,54,29.57
2006-11-10,48,28.74
2006-11-17,55,30.04
2006-11-24,71,30.02
2006-12-01,53,29.13
2006-12-08,36,29.40
2006-12-15,60,29.67
2006-12-22,52,28.55
2006-12-29,43,28.80
2007-01-05,44,28.76
2007-01-12,42,29.06
2007-01-19,38,28.39
2007-01-26,92,31.02
2007-02-02,53,31.39
2007-02-09,46,30.92
2007-02-16,30,30.78
2007-02-23,52,32.21
2007-03-02,48,30.76
2007-03-09,47,32.46
2007-03-16,49,31.28
2007-03-23,41,31.36
2007-03-30,34,30.10
2007-04-06,38,
2007-04-13,43,30.83
2007-04-20,54,32.50
2007-04-27,100,34.83
2007-05-04,73,35.16
2007-05-11,54,36.70
2007-05-18,50,35.87
2007-05-25,47,34.89
2007-06-01,43,35.92
2007-06-08,40,35.97
2007-06-15,47,36.86
2007-06-22,48,37.11
2007-06-29,71,37.63
2007-07-06,38,38.34
2007-07-13,53,38.70
2007-07-20,64,38.01
2007-07-27,87,35.13
2007-08-03,60,33.74
2007-08-10,42,33.09
2007-08-17,38,33.09
2007-08-24,33,35.05
2007-08-31,36,34.24
2007-09-07,29,35.30
2007-09-14,44,34.68
2007-09-21,45,36.62
2007-09-28,37,36.59
2007-10-05,27,36.54
2007-10-12,35,35.39
2007-10-19,36,33.92
2007-10-26,49,31.72
2007-11-02,40,32.11
2007-11-09,33,31.77
2007-11-16,32,31.74
2007-11-23,20,30.91
2007-11-30,30,31.57
2007-12-07,35,32.48
2007-12-14,42,33.29
2007-12-21,26,33.80
2007-12-28,27,33.49
2008-01-04,39,30.53
2008-01-11,43,29.90
2008-01-18,28,29.46
2008-01-25,46,29.79
2008-02-01,36,31.52
2008-02-08,48,29.60
2008-02-15,30,30.13
2008-02-22,25,30.17
2008-02-29,25,29.96
2008-03-07,28,29.30
2008-03-14,44,28.21
2008-03-21,16,
2008-03-28,29,28.34
2008-04-04,32,29.89
2008-04-11,27,29.42
2008-04-18,37,29.60
2008-04-25,52,29.56
2008-05-02,33,29.70
2008-05-09,23,29.81
2008-05-16,29,31.79
2008-05-23,30,31.75
2008-05-30,22,32.48
2008-06-06,17,31.24
2008-06-13,28,30.17
2008-06-20,21,29.40
2008-06-27,20,28.51
2008-07-04,29,
2008-07-11,42,27.50
2008-07-18,29,28.82
2008-07-25,60,24.00
2008-08-01,42,24.14
2008-08-08,23,25.74
2008-08-15,36,25.52
2008-08-22,26,24.65
2008-08-29,22,24.51
2008-09-05,24,22.64
2008-09-12,30,22.15
2008-09-19,33,23.60
2008-09-26,26,23.26
2008-10-03,41,21.06
2008-10-10,50,19.16
2008-10-17,41,17.65
2008-10-24,66,16.95
2008-10-31,40,19.56
2008-11-07,26,17.22
2008-11-14,24,16.11
2008-11-21,36,14.67
2008-11-28,20,15.57
2008-12-05,26,14.56
2008-12-12,36,15.59
2008-12-19,27,15.08
2008-12-26,19,14.35
2009-01-02,24,16.04
2009-01-09,21,14.96
2009-01-16,23,15.02
2009-01-23,23,14.99
2009-01-30,51,14.95
2009-02-06,27,17.38
2009-02-13,24,16.95
2009-02-20,17,15.04
2009-02-27,25,14.35
2009-03-06,21,14.71
2009-03-13,28,16.21
2009-03-20,15,15.78
2009-03-27,20,17.12
2009-04-03,22,16.96
2009-04-10,25,
2009-04-17,20,17.97
2009-04-24,33,17.88
2009-05-01,28,17.95
2009-05-08,23,17.30
2009-05-15,17,17.63
2009-05-22,21,18.50
2009-05-29,22,19.40
2009-06-05,24,19.68
2009-06-12,34,20.79
2009-06-19,19,21.66
2009-06-26,20,21.45
2009-07-03,24,
2009-07-10,19,20.45
2009-07-17,33,23.01
2009-07-24,48,24.09
2009-07-31,31,24.05
2009-08-07,27,24.10
2009-08-14,21,23.96
2009-08-21,17,24.54
2009-08-28,28,24.97
2009-09-04,22,24.86
2009-09-11,29,24.39
2009-09-18,21,24.06
2009-09-25,28,23.35
2009-10-02,21,22.49
2009-10-09,31,23.64
2009-10-16,26,22.75
2009-10-23,37,23.50
2009-10-30,28,23.45
2009-11-06,25,24.04
2009-11-13,20,25.44
2009-11-20,26,24.74
2009-11-27,12,25.25
2009-12-04,23,26.85
2009-12-11,25,25.64
2009-12-18,22,25.46
2009-12-25,11,
2010-01-01,14,
2010-01-08,21,26.34
2010-01-15,19,24.50
2010-01-22,18,23.11
2010-01-29,30,22.50
2010-02-05,18,22.97
2010-02-12,22,24.03
2010-02-19,18,25.01
2010-02-26,17,24.38
2010-03-05,17,24.97
2010-03-12,20,24.00
2010-03-19,19,24.36
2010-03-26,17,24.75
2010-04-02,21,
2010-04-09,17,24.94
2010-04-16,24,26.58
2010-04-23,26,26.67
2010-04-30,29,26.01
2010-05-07,19,24.74
2010-05-14,21,24.88
2010-05-21,13,24.57
2010-05-28,20,24.42
2010-06-04,20,24.18
2010-06-11,21,24.45
2010-06-18,16,25.45
2010-06-25,20,24.04
2010-07-02,27,23.11
2010-07-09,21,24.48
2010-07-16,28,24.77
2010-07-23,28,25.38
2010-07-30,15,24.69
2010-08-06,16,25.46
2010-08-13,15,24.28
2010-08-20,20,24.70
2010-08-27,16,24.15
2010-09-03,21,24.33
2010-09-10,19,23.70
2010-09-17,17,25.72
2010-09-24,22,26.93
2010-10-01,20,27.25
2010-10-08,22,28.73
2010-10-15,31,28.72
2010-10-22,21,28.66
2010-10-29,34,29.57
2010-11-05,31,31.47
2010-11-12,30,30.95
2010-11-19,17,31.94
2010-11-26,22,32.20
2010-12-03,27,32.82
2010-12-10,26,32.80
2010-12-17,24,32.53
2010-12-24,21,
2010-12-31,16,32.50
2011-01-07,24,33.22
2011-01-14,25,34.04
2011-01-21,28,33.91
2011-01-28,33,34.27
2011-02-04,28,35.44
2011-02-11,25,35.62
2011-02-18,30,36.23
2011-02-25,23,35.62
2011-03-04,24,36.27
2011-03-11,25,34.39
2011-03-18,28,33.36
2011-03-25,22,34.64
2011-04-01,24,34.23
2011-04-08,36,35.17
2011-04-15,25,34.99
2011-04-22,28,
2011-04-29,23,35.53
2011-05-06,23,35.23
2011-05-13,20,35.18
2011-05-20,18,35.00
2011-05-27,21,34.72
2011-06-03,18,33.50
2011-06-10,20,32.15
2011-06-17,18,31.24
2011-06-24,17,31.53
2011-07-01,14,33.52
2011-07-08,20,32.88
2011-07-15,16,30.82
2011-07-22,21,31.78
2011-07-29,21,29.75
2011-08-05,21,27.19
2011-08-12,24,27.18
2011-08-19,20,24.82
2011-08-26,17,25.52
2011-09-02,22,25.08
2011-09-09,21,26.08
2011-09-16,21,27.82
2011-09-23,21,27.22
2011-09-30,18,26.65
2011-10-07,20,28.95
2011-10-14,22,30.93
2011-10-21,17,30.46
2011-10-28,25,31.50
2011-11-04,17,31.79
2011-11-11,14,31.50
2011-11-18,14,30.05
2011-11-25,14,27.79
2011-12-02,12,29.97
2011-12-09,20,29.94
2011-12-16,15,28.69
2011-12-23,17,29.73
2011-12-30,11,29.11
2012-01-06,16,29.78
2012-01-13,22,30.95
2012-01-20,27,33.64
2012-01-27,32,32.61
2012-02-03,21,33.93
2012-02-10,18,33.36
2012-02-17,15,33.59
2012-02-24,17,33.32
2012-03-02,18,32.82
2012-03-09,20,32.27
2012-03-16,18,33.02
2012-03-23,18,33.35
2012-03-30,17,33.61
2012-04-06,18,
2012-04-13,20,32.18
2012-04-20,15,32.47
2012-04-27,21,32.17
2012-05-04,17,30.59
2012-05-11,15,30.74
2012-05-18,12,28.73
2012-05-25,14,28.94
2012-06-01,14,27.00
2012-06-08,16,28.52
2012-06-15,14,27.86
2012-06-22,13,28.05
2012-06-29,14,28.69
2012-07-06,14,27.72
2012-07-13,18,27.02
2012-07-20,19,27.25
2012-07-27,20,27.34
2012-08-03,20,28.27
2012-08-10,14,29.75
2012-08-17,12,29.86
2012-08-24,13,29.56
2012-08-31,16,29.04
2012-09-07,19,29.18
2012-09-14,19,29.56
2012-09-21,18,28.99
2012-09-28,13,27.56
2012-10-05,18,28.16
2012-10-12,11,27.28
2012-10-19,18,27.81
2012-10-26,20,28.92
2012-11-02,16,28.53
2012-11-09,20,29.51
2012-11-16,18,28.32
2012-11-23,16,29.59
2012-11-30,22,29.47
2012-12-07,18,29.85
2012-12-14,21,30.80
2012-12-21,30,30.93
2012-12-28,14,30.47
2013-01-04,21,31.82
2013-01-11,17,32.42
2013-01-18,21,33.52
2013-01-25,23,32.80
2013-02-01,19,33.72
2013-02-08,19,34.28
2013-02-15,18,33.59
2013-02-22,20,34.18
2013-03-01,17,34.52
2013-03-08,25,35.29
2013-03-15,22,35.08
2013-03-22,19,34.46
2013-03-29,17,
2013-04-05,20,34.20
2013-04-12,20,35.85
2013-04-19,22,34.25
2013-04-26,24,35.74
2013-05-03,21,37.01
2013-05-10,17,37.04
2013-05-17,18,36.77
2013-05-24,15,35.99
2013-05-31,14,35.91
2013-06-07,14,36.18
2013-06-14,16,35.48
2013-06-21,14,34.95
2013-06-28,16,34.85
