Date,The Hershey Company,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,78.14
2004-02-13,0,78.89
2004-02-20,0,83.72
2004-02-27,0,82.90
2004-03-05,0,84.31
2004-03-12,0,84.99
2004-03-19,0,83.50
2004-03-26,0,81.83
2004-04-02,0,82.34
2004-04-09,0,
2004-04-16,0,86.21
2004-04-23,0,87.56
2004-04-30,0,88.89
2004-05-07,0,89.22
2004-05-14,0,88.52
2004-05-21,0,88.39
2004-05-28,0,88.73
2004-06-04,0,89.24
2004-06-11,0,
2004-06-18,0,45.19
2004-06-25,0,45.00
2004-07-02,0,45.51
2004-07-09,0,46.28
2004-07-16,0,46.44
2004-07-23,0,46.04
2004-07-30,0,48.44
2004-08-06,0,46.66
2004-08-13,0,47.71
2004-08-20,0,47.82
2004-08-27,0,48.40
2004-09-03,0,49.76
2004-09-10,0,47.95
2004-09-17,0,48.18
2004-09-24,0,46.16
2004-10-01,0,47.31
2004-10-08,0,46.45
2004-10-15,0,46.60
2004-10-22,0,48.47
2004-10-29,0,50.69
2004-11-05,0,52.20
2004-11-12,0,51.93
2004-11-19,0,51.69
2004-11-26,0,51.94
2004-12-03,0,54.62
2004-12-10,0,55.42
2004-12-17,0,54.85
2004-12-24,0,
2004-12-31,0,55.54
2005-01-07,0,54.01
2005-01-14,0,54.84
2005-01-21,0,55.90
2005-01-28,0,57.96
2005-02-04,0,60.25
2005-02-11,0,61.24
2005-02-18,0,61.61
2005-02-25,0,62.62
2005-03-04,0,64.42
2005-03-11,0,62.48
2005-03-18,0,61.78
2005-03-25,0,
2005-04-01,0,60.10
2005-04-08,0,60.39
2005-04-15,0,61.27
2005-04-22,0,63.19
2005-04-29,0,63.90
2005-05-06,0,64.65
2005-05-13,0,66.25
2005-05-20,0,64.97
2005-05-27,0,64.56
2005-06-03,0,64.56
2005-06-10,0,64.01
2005-06-17,0,64.98
2005-06-24,0,61.58
2005-07-01,0,62.23
2005-07-08,0,61.43
2005-07-15,0,60.74
2005-07-22,0,62.98
2005-07-29,0,63.87
2005-08-05,0,61.73
2005-08-12,0,61.54
2005-08-19,0,60.76
2005-08-26,0,58.23
2005-09-02,0,58.54
2005-09-09,0,59.27
2005-09-16,0,57.96
2005-09-23,0,55.50
2005-09-30,0,56.31
2005-10-07,0,56.30
2005-10-14,0,55.92
2005-10-21,0,58.80
2005-10-28,0,56.97
2005-11-04,0,55.69
2005-11-11,0,55.05
2005-11-18,0,54.00
2005-11-25,0,54.68
2005-12-02,0,55.28
2005-12-09,0,55.67
2005-12-16,0,57.86
2005-12-23,0,56.09
2005-12-30,0,55.25
2006-01-06,0,54.40
2006-01-13,0,54.45
2006-01-20,0,54.42
2006-01-27,0,51.68
2006-02-03,0,51.53
2006-02-10,0,51.66
2006-02-17,0,53.65
2006-02-24,0,52.45
2006-03-03,0,51.23
2006-03-10,0,52.42
2006-03-17,0,53.86
2006-03-24,0,53.40
2006-03-31,0,52.23
2006-04-07,0,50.52
2006-04-14,0,
2006-04-21,0,51.21
2006-04-28,0,53.34
2006-05-05,0,53.74
2006-05-12,0,53.92
2006-05-19,0,55.89
2006-05-26,0,56.82
2006-06-02,0,56.33
2006-06-09,0,55.46
2006-06-16,0,54.77
2006-06-23,0,54.61
2006-06-30,0,55.07
2006-07-07,0,55.48
2006-07-14,0,55.56
2006-07-21,0,56.07
2006-07-28,0,55.99
2006-08-04,0,53.11
2006-08-11,0,52.53
2006-08-18,0,53.82
2006-08-25,0,53.91
2006-09-01,0,54.27
2006-09-08,0,51.34
2006-09-15,0,51.94
2006-09-22,0,51.63
2006-09-29,0,53.45
2006-10-06,0,53.14
2006-10-13,0,53.25
2006-10-20,0,51.05
2006-10-27,0,52.41
2006-11-03,0,53.12
2006-11-10,0,52.92
2006-11-17,0,52.74
2006-11-24,0,53.11
2006-12-01,0,50.89
2006-12-08,0,49.65
2006-12-15,0,51.02
2006-12-22,0,49.90
2006-12-29,0,49.80
2007-01-05,0,50.07
2007-01-12,0,50.58
2007-01-19,0,52.37
2007-01-26,0,50.40
2007-02-02,0,51.88
2007-02-09,0,50.73
2007-02-16,0,52.38
2007-02-23,0,53.09
2007-03-02,0,53.05
2007-03-09,92,54.63
2007-03-16,0,53.48
2007-03-23,0,54.31
2007-03-30,0,54.66
2007-04-06,0,
2007-04-13,0,55.38
2007-04-20,0,54.50
2007-04-27,0,54.53
2007-05-04,0,55.55
2007-05-11,0,52.54
2007-05-18,0,51.77
2007-05-25,0,52.29
2007-06-01,0,53.04
2007-06-08,0,51.21
2007-06-15,0,51.07
2007-06-22,0,50.12
2007-06-29,0,50.62
2007-07-06,0,50.82
2007-07-13,0,51.10
2007-07-20,0,47.84
2007-07-27,0,45.90
2007-08-03,0,45.15
2007-08-10,0,47.10
2007-08-17,0,46.28
2007-08-24,0,46.72
2007-08-31,0,46.50
2007-09-07,0,45.19
2007-09-14,0,45.34
2007-09-21,0,46.45
2007-09-28,0,46.41
2007-10-05,0,45.41
2007-10-12,0,45.26
2007-10-19,0,41.72
2007-10-26,0,41.70
2007-11-02,0,41.73
2007-11-09,0,41.04
2007-11-16,0,39.92
2007-11-23,0,38.89
2007-11-30,79,39.91
2007-12-07,0,40.30
2007-12-14,0,38.45
2007-12-21,0,39.43
2007-12-28,0,39.47
2008-01-04,0,38.55
2008-01-11,0,37.46
2008-01-18,0,36.74
2008-01-25,0,34.04
2008-02-01,0,36.00
2008-02-08,0,34.42
2008-02-15,0,35.99
2008-02-22,0,36.84
2008-02-29,67,37.08
2008-03-07,60,35.05
2008-03-14,68,36.46
2008-03-21,76,
2008-03-28,84,37.79
2008-04-04,92,39.03
2008-04-11,100,35.89
2008-04-18,68,35.53
2008-04-25,68,34.74
2008-05-02,68,38.17
2008-05-09,68,36.99
2008-05-16,69,37.47
2008-05-23,70,36.51
2008-05-30,71,39.19
2008-06-06,0,37.46
2008-06-13,0,38.33
2008-06-20,0,33.75
2008-06-27,0,32.48
2008-07-04,0,
2008-07-11,0,33.51
2008-07-18,0,35.00
2008-07-25,0,36.33
2008-08-01,0,36.45
2008-08-08,0,40.58
2008-08-15,0,41.62
2008-08-22,0,37.44
2008-08-29,0,36.09
2008-09-05,0,37.72
2008-09-12,0,41.09
2008-09-19,59,40.70
2008-09-26,53,41.06
2008-10-03,58,38.96
2008-10-10,62,34.50
2008-10-17,67,35.20
2008-10-24,71,33.59
2008-10-31,59,37.24
2008-11-07,52,36.51
2008-11-14,65,35.96
2008-11-21,79,34.69
2008-11-28,49,36.00
2008-12-05,49,34.63
2008-12-12,55,35.66
2008-12-19,53,35.06
2008-12-26,53,34.89
2009-01-02,53,35.81
2009-01-09,53,34.42
2009-01-16,51,35.03
2009-01-23,51,34.94
2009-01-30,51,37.28
2009-02-06,64,37.48
2009-02-13,46,36.87
2009-02-20,46,34.64
2009-02-27,54,33.69
2009-03-06,62,31.99
2009-03-13,61,33.21
2009-03-20,61,34.93
2009-03-27,61,34.95
2009-04-03,52,36.14
2009-04-10,52,
2009-04-17,54,35.84
2009-04-24,56,36.18
2009-05-01,57,35.71
2009-05-08,58,35.22
2009-05-15,47,35.28
2009-05-22,47,34.88
2009-05-29,0,35.22
2009-06-05,0,34.87
2009-06-12,0,35.39
2009-06-19,0,34.77
2009-06-26,0,35.99
2009-07-03,0,
2009-07-10,0,36.68
2009-07-17,0,38.17
2009-07-24,0,40.97
2009-07-31,0,39.95
2009-08-07,0,39.14
2009-08-14,0,38.94
2009-08-21,0,39.66
2009-08-28,0,38.95
2009-09-04,0,38.63
2009-09-11,73,40.24
2009-09-18,52,39.61
2009-09-25,51,39.00
2009-10-02,51,39.54
2009-10-09,39,39.90
2009-10-16,40,39.63
2009-10-23,41,38.06
2009-10-30,41,37.79
2009-11-06,45,37.62
2009-11-13,37,38.22
2009-11-20,63,37.18
2009-11-27,64,35.60
2009-12-04,65,35.99
2009-12-11,67,36.02
2009-12-18,51,35.29
2009-12-25,51,
2010-01-01,51,
2010-01-08,51,36.38
2010-01-15,45,36.25
2010-01-22,52,36.28
2010-01-29,34,36.43
2010-02-05,65,37.35
2010-02-12,48,37.60
2010-02-19,52,39.97
2010-02-26,43,39.76
2010-03-05,71,41.45
2010-03-12,60,42.65
2010-03-19,50,42.44
2010-03-26,54,42.49
2010-04-02,39,
2010-04-09,63,44.12
2010-04-16,60,43.87
2010-04-23,33,48.72
2010-04-30,38,47.01
2010-05-07,44,46.42
2010-05-14,45,47.22
2010-05-21,45,46.56
2010-05-28,38,46.80
2010-06-04,40,48.29
2010-06-11,41,50.77
2010-06-18,42,50.22
2010-06-25,39,48.38
2010-07-02,39,48.21
2010-07-09,39,50.72
2010-07-16,39,50.81
2010-07-23,40,47.21
2010-07-30,41,47.00
2010-08-06,42,46.18
2010-08-13,42,46.35
2010-08-20,43,47.74
2010-08-27,44,47.09
2010-09-03,40,47.14
2010-09-10,34,45.94
2010-09-17,33,47.37
2010-09-24,51,48.12
2010-10-01,35,47.79
2010-10-08,35,48.75
2010-10-15,35,51.62
2010-10-22,40,49.91
2010-10-29,28,49.49
2010-11-05,63,48.49
2010-11-12,48,47.55
2010-11-19,37,46.52
2010-11-26,27,47.22
2010-12-03,27,46.75
2010-12-10,42,47.40
2010-12-17,31,48.30
2010-12-24,33,
2010-12-31,35,47.15
2011-01-07,37,48.14
2011-01-14,40,49.55
2011-01-21,41,49.39
2011-01-28,29,47.04
2011-02-04,59,50.49
2011-02-11,49,50.01
2011-02-18,61,50.33
2011-02-25,40,51.95
2011-03-04,35,52.94
2011-03-11,35,53.73
2011-03-18,35,53.87
2011-03-25,50,54.36
2011-04-01,53,54.30
2011-04-08,51,55.71
2011-04-15,66,57.30
2011-04-22,48,
2011-04-29,56,57.71
2011-05-06,36,56.06
2011-05-13,46,57.34
2011-05-20,60,56.14
2011-05-27,46,55.02
2011-06-03,30,54.51
2011-06-10,30,53.92
2011-06-17,33,55.66
2011-06-24,34,55.94
2011-07-01,36,57.41
2011-07-08,37,57.78
2011-07-15,39,56.80
2011-07-22,40,58.93
2011-07-29,43,56.44
2011-08-05,28,56.15
2011-08-12,42,55.85
2011-08-19,24,55.12
2011-08-26,24,57.29
2011-09-02,36,57.21
2011-09-09,34,56.56
2011-09-16,41,59.42
2011-09-23,41,59.08
2011-09-30,57,59.24
2011-10-07,34,58.99
2011-10-14,46,60.04
2011-10-21,41,60.26
2011-10-28,40,57.45
2011-11-04,44,57.61
2011-11-11,44,56.99
2011-11-18,30,56.38
2011-11-25,35,55.36
2011-12-02,43,57.84
2011-12-09,34,59.30
2011-12-16,32,59.40
2011-12-23,28,61.00
2011-12-30,28,61.78
2012-01-06,28,60.69
2012-01-13,37,61.48
2012-01-20,48,61.54
2012-01-27,40,61.24
2012-02-03,42,61.16
2012-02-10,46,59.55
2012-02-17,42,60.86
2012-02-24,52,61.11
2012-03-02,54,61.33
2012-03-09,51,59.49
2012-03-16,40,60.14
2012-03-23,30,60.52
2012-03-30,36,61.33
2012-04-06,39,
2012-04-13,45,61.69
2012-04-20,59,63.15
2012-04-27,43,66.75
2012-05-04,34,66.89
2012-05-11,51,68.46
2012-05-18,29,67.41
2012-05-25,40,67.72
2012-06-01,34,65.90
2012-06-08,33,67.57
2012-06-15,29,69.49
2012-06-22,25,69.50
2012-06-29,27,72.03
2012-07-06,36,72.24
2012-07-13,33,72.54
2012-07-20,47,71.26
2012-07-27,38,72.17
2012-08-03,32,72.17
2012-08-10,32,72.23
2012-08-17,38,71.92
2012-08-24,28,72.61
2012-08-31,44,71.82
2012-09-07,19,72.32
2012-09-14,45,70.09
2012-09-21,40,71.68
2012-09-28,43,70.89
2012-10-05,37,71.49
2012-10-12,49,69.53
2012-10-19,48,70.33
2012-10-26,54,69.33
2012-11-02,42,69.49
2012-11-09,40,70.35
2012-11-16,44,71.74
2012-11-23,32,72.40
2012-11-30,48,73.27
2012-12-07,48,72.27
2012-12-14,43,74.02
2012-12-21,25,73.37
2012-12-28,28,71.44
2013-01-04,31,74.54
2013-01-11,53,76.12
2013-01-18,36,78.28
2013-01-25,43,77.85
2013-02-01,32,80.14
2013-02-08,41,80.21
2013-02-15,61,80.93
2013-02-22,43,81.23
2013-03-01,46,83.45
2013-03-08,33,84.32
2013-03-15,28,83.90
2013-03-22,52,85.91
2013-03-29,36,
2013-04-05,50,85.44
2013-04-12,46,86.52
2013-04-19,46,90.38
2013-04-26,49,87.57
2013-05-03,51,89.56
2013-05-10,54,87.90
2013-05-17,38,90.10
2013-05-24,41,89.25
2013-05-31,32,89.11
2013-06-07,31,89.48
2013-06-14,24,89.15
2013-06-21,33,86.66
2013-06-28,35,89.28
2013-07-05,29,90.02
2013-07-12,40,91.69
2013-07-19,20,92.67
2013-07-26,37,94.46
2013-08-02,35,97.23
2013-08-09,40,97.55
2013-08-16,31,95.17
2013-08-23,30,95.47
2013-08-30,31,91.95
2013-09-06,40,90.74
2013-09-13,51,91.58
2013-09-20,45,93.60
2013-09-27,33,93.00
2013-10-04,49,91.77
2013-10-11,51,93.95
2013-10-18,57,96.03
2013-10-25,47,97.11
2013-11-01,42,99.21
2013-11-08,42,97.55
2013-11-15,57,98.56
2013-11-22,45,96.29
2013-11-29,22,96.89
2013-12-06,32,97.16
2013-12-13,43,94.84
2013-12-20,40,96.30
2013-12-27,42,96.28
2014-01-03,43,95.81
2014-01-10,44,97.86
2014-01-17,36,98.58
2014-01-24,36,98.12
2014-01-31,53,99.40
2014-02-07,36,100.38
2014-02-14,44,105.28
2014-02-21,44,107.70
2014-02-28,53,105.82
2014-03-07,47,105.64
2014-03-14,28,106.20
2014-03-21,45,104.84
2014-03-28,60,103.24
2014-04-04,42,102.97
2014-04-11,38,98.32
2014-04-18,38,
2014-04-25,58,96.36
2014-05-02,47,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
