Date,Thermo Fisher Scientific,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,28.34
2004-02-13,0,28.46
2004-02-20,0,27.67
2004-02-27,0,28.07
2004-03-05,0,28.95
2004-03-12,0,27.57
2004-03-19,0,27.33
2004-03-26,0,26.90
2004-04-02,0,29.33
2004-04-09,0,
2004-04-16,0,29.94
2004-04-23,0,31.00
2004-04-30,0,29.20
2004-05-07,0,28.51
2004-05-14,0,28.90
2004-05-21,0,28.66
2004-05-28,0,30.78
2004-06-04,0,29.56
2004-06-11,0,
2004-06-18,0,29.12
2004-06-25,0,30.01
2004-07-02,0,29.69
2004-07-09,0,28.55
2004-07-16,0,28.26
2004-07-23,0,26.74
2004-07-30,0,25.72
2004-08-06,0,24.38
2004-08-13,0,24.24
2004-08-20,0,26.14
2004-08-27,0,26.80
2004-09-03,0,26.55
2004-09-10,0,27.13
2004-09-17,0,28.18
2004-09-24,0,26.88
2004-10-01,0,28.07
2004-10-08,0,27.50
2004-10-15,0,27.22
2004-10-22,0,26.20
2004-10-29,0,29.00
2004-11-05,0,29.87
2004-11-12,0,29.96
2004-11-19,0,29.48
2004-11-26,0,30.07
2004-12-03,0,30.60
2004-12-10,0,30.20
2004-12-17,0,30.40
2004-12-24,0,
2004-12-31,0,30.19
2005-01-07,0,28.82
2005-01-14,0,29.24
2005-01-21,0,29.94
2005-01-28,0,29.54
2005-02-04,0,27.70
2005-02-11,0,27.83
2005-02-18,0,27.43
2005-02-25,0,27.45
2005-03-04,0,27.47
2005-03-11,0,27.53
2005-03-18,0,26.36
2005-03-25,0,
2005-04-01,0,25.00
2005-04-08,0,24.79
2005-04-15,0,24.74
2005-04-22,0,24.94
2005-04-29,0,24.98
2005-05-06,0,25.97
2005-05-13,0,25.85
2005-05-20,0,27.03
2005-05-27,0,26.50
2005-06-03,0,26.45
2005-06-10,0,26.65
2005-06-17,0,26.95
2005-06-24,0,26.80
2005-07-01,0,26.80
2005-07-08,0,27.02
2005-07-15,0,27.62
2005-07-22,0,29.17
2005-07-29,0,29.86
2005-08-05,0,29.11
2005-08-12,0,28.77
2005-08-19,0,28.40
2005-08-26,0,28.09
2005-09-02,0,27.74
2005-09-09,0,29.11
2005-09-16,0,30.85
2005-09-23,0,30.52
2005-09-30,0,30.90
2005-10-07,0,30.47
2005-10-14,0,30.48
2005-10-21,0,30.21
2005-10-28,0,30.01
2005-11-04,0,30.14
2005-11-11,0,29.92
2005-11-18,0,30.65
2005-11-25,0,30.75
2005-12-02,0,31.10
2005-12-09,0,30.70
2005-12-16,0,31.35
2005-12-23,0,30.53
2005-12-30,0,30.13
2006-01-06,0,30.44
2006-01-13,0,32.05
2006-01-20,0,32.01
2006-01-27,0,33.28
2006-02-03,0,34.88
2006-02-10,0,34.09
2006-02-17,0,34.16
2006-02-24,0,34.55
2006-03-03,0,34.91
2006-03-10,0,35.28
2006-03-17,0,35.90
2006-03-24,0,36.11
2006-03-31,0,37.09
2006-04-07,0,36.17
2006-04-14,0,
2006-04-21,0,37.70
2006-04-28,0,38.54
2006-05-05,0,39.45
2006-05-12,55,37.55
2006-05-19,0,36.70
2006-05-26,0,36.92
2006-06-02,0,36.92
2006-06-09,0,36.14
2006-06-16,0,35.24
2006-06-23,0,34.00
2006-06-30,0,36.24
2006-07-07,0,35.91
2006-07-14,0,34.59
2006-07-21,0,34.95
2006-07-28,0,37.20
2006-08-04,0,37.70
2006-08-11,0,38.01
2006-08-18,0,39.40
2006-08-25,0,39.23
2006-09-01,0,39.24
2006-09-08,0,39.29
2006-09-15,0,40.21
2006-09-22,0,39.41
2006-09-29,0,39.33
2006-10-06,0,39.99
2006-10-13,0,40.94
2006-10-20,0,42.03
2006-10-27,0,43.16
2006-11-03,0,42.97
2006-11-10,0,45.03
2006-11-17,31,44.14
2006-11-24,38,44.47
2006-12-01,34,43.90
2006-12-08,22,45.06
2006-12-15,25,45.66
2006-12-22,28,45.33
2006-12-29,31,45.29
2007-01-05,34,45.01
2007-01-12,36,48.38
2007-01-19,24,49.05
2007-01-26,22,47.82
2007-02-02,24,49.39
2007-02-09,39,48.69
2007-02-16,38,47.63
2007-02-23,37,47.44
2007-03-02,38,44.27
2007-03-09,34,45.93
2007-03-16,30,45.41
2007-03-23,37,46.25
2007-03-30,57,46.75
2007-04-06,37,
2007-04-13,30,48.97
2007-04-20,45,49.23
2007-04-27,44,53.31
2007-05-04,52,52.54
2007-05-11,43,53.63
2007-05-18,30,53.63
2007-05-25,59,54.00
2007-06-01,42,54.03
2007-06-08,37,52.90
2007-06-15,39,53.83
2007-06-22,51,51.30
2007-06-29,56,51.72
2007-07-06,34,52.47
2007-07-13,40,53.56
2007-07-20,53,52.34
2007-07-27,61,52.24
2007-08-03,35,52.29
2007-08-10,45,53.21
2007-08-17,57,50.26
2007-08-24,50,52.70
2007-08-31,54,54.23
2007-09-07,45,54.15
2007-09-14,49,55.69
2007-09-21,51,57.42
2007-09-28,39,57.72
2007-10-05,63,57.86
2007-10-12,36,58.70
2007-10-19,56,57.76
2007-10-26,48,57.85
2007-11-02,63,56.75
2007-11-09,37,57.02
2007-11-16,42,57.56
2007-11-23,51,57.21
2007-11-30,48,57.64
2007-12-07,42,57.87
2007-12-14,52,57.28
2007-12-21,37,58.46
2007-12-28,31,58.19
2008-01-04,34,55.94
2008-01-11,40,54.99
2008-01-18,42,52.02
2008-01-25,48,51.61
2008-02-01,52,52.38
2008-02-08,49,55.42
2008-02-15,54,57.22
2008-02-22,46,56.17
2008-02-29,53,55.93
2008-03-07,40,53.57
2008-03-14,44,53.30
2008-03-21,30,
2008-03-28,47,56.44
2008-04-04,48,57.95
2008-04-11,49,54.46
2008-04-18,42,56.72
2008-04-25,50,55.97
2008-05-02,34,58.65
2008-05-09,37,56.26
2008-05-16,40,57.94
2008-05-23,44,57.91
2008-05-30,32,59.02
2008-06-06,28,57.92
2008-06-13,41,58.71
2008-06-20,36,57.55
2008-06-27,46,55.32
2008-07-04,42,
2008-07-11,41,57.15
2008-07-18,49,55.94
2008-07-25,37,58.80
2008-08-01,54,60.20
2008-08-08,51,61.00
2008-08-15,52,62.70
2008-08-22,52,61.28
2008-08-29,43,60.56
2008-09-05,31,56.38
2008-09-12,46,58.52
2008-09-19,41,56.98
2008-09-26,40,56.62
2008-10-03,36,50.57
2008-10-10,59,41.01
2008-10-17,35,43.35
2008-10-24,40,37.44
2008-10-31,39,40.60
2008-11-07,44,37.73
2008-11-14,45,34.04
2008-11-21,54,29.73
2008-11-28,25,35.68
2008-12-05,36,33.97
2008-12-12,54,30.46
2008-12-19,45,32.53
2008-12-26,21,32.82
2009-01-02,22,35.36
2009-01-09,32,33.80
2009-01-16,51,38.90
2009-01-23,43,34.69
2009-01-30,54,35.93
2009-02-06,42,40.00
2009-02-13,53,39.92
2009-02-20,45,37.01
2009-02-27,44,36.26
2009-03-06,44,34.16
2009-03-13,56,34.69
2009-03-20,47,33.31
2009-03-27,51,36.60
2009-04-03,43,35.53
2009-04-10,52,
2009-04-17,46,37.67
2009-04-24,62,33.15
2009-05-01,41,36.55
2009-05-08,55,36.69
2009-05-15,48,35.14
2009-05-22,52,36.26
2009-05-29,47,38.91
2009-06-05,41,39.99
2009-06-12,56,41.79
2009-06-19,48,41.37
2009-06-26,53,41.91
2009-07-03,48,
2009-07-10,41,38.38
2009-07-17,47,40.88
2009-07-24,38,44.39
2009-07-31,43,45.28
2009-08-07,50,45.21
2009-08-14,53,45.07
2009-08-21,63,45.67
2009-08-28,60,45.45
2009-09-04,43,44.70
2009-09-11,65,47.14
2009-09-18,68,44.87
2009-09-25,60,44.00
2009-10-02,56,44.20
2009-10-09,64,45.50
2009-10-16,54,47.40
2009-10-23,54,47.66
2009-10-30,60,45.00
2009-11-06,50,44.88
2009-11-13,52,44.60
2009-11-20,68,46.56
2009-11-27,46,47.48
2009-12-04,60,48.38
2009-12-11,58,48.20
2009-12-18,61,48.31
2009-12-25,34,
2010-01-01,26,
2010-01-08,63,48.92
2010-01-15,64,47.75
2010-01-22,60,47.04
2010-01-29,64,46.15
2010-02-05,81,47.00
2010-02-12,77,47.26
2010-02-19,67,49.22
2010-02-26,95,48.77
2010-03-05,83,49.49
2010-03-12,79,50.16
2010-03-19,79,49.88
2010-03-26,95,50.01
2010-04-02,72,
2010-04-09,90,52.28
2010-04-16,83,53.26
2010-04-23,100,53.70
2010-04-30,92,55.28
2010-05-07,75,51.41
2010-05-14,88,52.51
2010-05-21,73,50.86
2010-05-28,92,52.06
2010-06-04,78,49.53
2010-06-11,90,51.95
2010-06-18,95,53.66
2010-06-25,88,50.90
2010-07-02,71,47.58
2010-07-09,90,49.28
2010-07-16,71,49.06
2010-07-23,78,51.09
2010-07-30,82,44.86
2010-08-06,66,45.77
2010-08-13,70,44.30
2010-08-20,68,44.20
2010-08-27,59,43.18
2010-09-03,71,45.19
2010-09-10,68,45.88
2010-09-17,79,47.31
2010-09-24,75,47.90
2010-10-01,65,47.82
2010-10-08,79,47.46
2010-10-15,66,48.79
2010-10-22,73,49.66
2010-10-29,73,51.42
2010-11-05,72,52.38
2010-11-12,62,52.20
2010-11-19,71,51.20
2010-11-26,53,51.47
2010-12-03,78,52.85
2010-12-10,72,53.04
2010-12-17,77,55.78
2010-12-24,48,
2010-12-31,29,55.36
2011-01-07,52,56.37
2011-01-14,69,56.65
2011-01-21,76,55.51
2011-01-28,69,57.01
2011-02-04,68,55.96
2011-02-11,67,57.85
2011-02-18,66,57.68
2011-02-25,56,55.56
2011-03-04,56,57.02
2011-03-11,50,55.25
2011-03-18,50,52.58
2011-03-25,53,54.39
2011-04-01,50,55.98
2011-04-08,51,55.81
2011-04-15,57,55.75
2011-04-22,48,
2011-04-29,43,59.99
2011-05-06,53,60.36
2011-05-13,50,61.91
2011-05-20,60,65.18
2011-05-27,58,65.15
2011-06-03,45,62.80
2011-06-10,51,62.84
2011-06-17,57,62.22
2011-06-24,47,62.51
2011-07-01,51,65.01
2011-07-08,48,64.78
2011-07-15,49,63.22
2011-07-22,55,64.93
2011-07-29,53,60.09
2011-08-05,43,53.82
2011-08-12,49,53.64
2011-08-19,51,50.46
2011-08-26,44,53.42
2011-09-02,44,52.34
2011-09-09,53,50.49
2011-09-16,51,54.51
2011-09-23,53,50.94
2011-09-30,50,50.64
2011-10-07,46,50.49
2011-10-14,52,53.29
2011-10-21,55,53.26
2011-10-28,46,51.40
2011-11-04,37,48.86
2011-11-11,43,48.81
2011-11-18,53,45.90
2011-11-25,33,44.42
2011-12-02,40,46.54
2011-12-09,39,45.64
2011-12-16,43,43.84
2011-12-23,38,45.69
2011-12-30,20,44.97
2012-01-06,35,47.62
2012-01-13,46,49.35
2012-01-20,49,51.14
2012-01-27,55,52.46
2012-02-03,52,56.29
2012-02-10,43,55.52
2012-02-17,44,56.38
2012-02-24,54,56.66
2012-03-02,49,57.25
2012-03-09,44,56.27
2012-03-16,38,57.91
2012-03-23,47,56.75
2012-03-30,52,56.38
2012-04-06,43,
2012-04-13,35,54.10
2012-04-20,41,54.14
2012-04-27,40,54.91
2012-05-04,48,54.03
2012-05-11,46,53.30
2012-05-18,43,50.54
2012-05-25,44,51.68
2012-06-01,49,49.13
2012-06-08,55,50.87
2012-06-15,51,51.23
2012-06-22,51,51.04
2012-06-29,47,51.91
2012-07-06,45,51.43
2012-07-13,47,52.04
2012-07-20,50,52.05
2012-07-27,53,56.10
2012-08-03,51,56.60
2012-08-10,46,57.07
2012-08-17,45,56.61
2012-08-24,55,56.59
2012-08-31,41,57.35
2012-09-07,38,58.93
2012-09-14,42,60.61
2012-09-21,51,59.71
2012-09-28,48,58.83
2012-10-05,42,60.90
2012-10-12,46,58.84
2012-10-19,46,58.04
2012-10-26,36,61.04
2012-11-02,41,61.50
2012-11-09,44,60.69
2012-11-16,45,60.59
2012-11-23,32,62.64
2012-11-30,45,63.55
2012-12-07,41,64.28
2012-12-14,34,64.21
2012-12-21,38,63.81
2012-12-28,15,62.91
2013-01-04,31,65.37
2013-01-11,46,67.55
2013-01-18,39,69.40
2013-01-25,46,71.21
2013-02-01,44,74.78
2013-02-08,44,74.59
2013-02-15,37,74.43
2013-02-22,40,72.95
2013-03-01,46,74.78
2013-03-08,42,77.04
2013-03-15,41,77.15
2013-03-22,41,75.96
2013-03-29,41,
2013-04-05,45,77.16
2013-04-12,43,79.59
2013-04-19,68,80.03
2013-04-26,45,81.13
2013-05-03,36,82.17
2013-05-10,44,84.46
2013-05-17,44,86.27
2013-05-24,42,87.22
2013-05-31,39,88.30
2013-06-07,44,84.58
2013-06-14,43,85.12
2013-06-21,43,83.09
2013-06-28,41,84.63
2013-07-05,43,85.42
2013-07-12,49,88.19
2013-07-19,42,89.58
2013-07-26,39,90.59
2013-08-02,40,91.81
2013-08-09,36,92.47
2013-08-16,39,90.69
2013-08-23,45,90.85
2013-08-30,43,88.83
2013-09-06,34,90.51
2013-09-13,42,91.11
2013-09-20,41,93.49
2013-09-27,40,93.01
2013-10-04,48,92.36
2013-10-11,41,92.96
2013-10-18,42,96.12
2013-10-25,47,97.81
2013-11-01,46,97.93
2013-11-08,34,98.17
2013-11-15,45,101.37
2013-11-22,44,101.51
2013-11-29,32,100.85
2013-12-06,37,102.71
2013-12-13,34,101.34
2013-12-20,36,108.57
2013-12-27,18,110.67
2014-01-03,21,110.05
2014-01-10,42,114.46
2014-01-17,44,115.89
2014-01-24,39,109.95
2014-01-31,43,115.14
2014-02-07,51,117.77
2014-02-14,49,123.74
2014-02-21,44,123.18
2014-02-28,50,124.54
2014-03-07,51,126.67
2014-03-14,45,122.25
2014-03-21,40,122.90
2014-03-28,46,118.50
2014-04-04,46,119.88
2014-04-11,47,115.77
2014-04-18,41,
2014-04-25,46,114.29
2014-05-02,53,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
