Date,Tyco International,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,27.99
2004-02-13,49,28.92
2004-02-20,0,27.99
2004-02-27,0,28.57
2004-03-05,0,29.96
2004-03-12,0,28.50
2004-03-19,0,27.95
2004-03-26,0,27.42
2004-04-02,100,29.22
2004-04-09,46,
2004-04-16,41,28.66
2004-04-23,41,29.57
2004-04-30,41,27.45
2004-05-07,45,28.18
2004-05-14,0,28.32
2004-05-21,0,29.41
2004-05-28,0,30.79
2004-06-04,0,31.10
2004-06-11,0,
2004-06-18,0,31.91
2004-06-25,0,32.45
2004-07-02,0,32.43
2004-07-09,42,32.40
2004-07-16,0,31.65
2004-07-23,0,30.60
2004-07-30,0,31.00
2004-08-06,0,30.22
2004-08-13,0,29.98
2004-08-20,0,31.29
2004-08-27,0,31.84
2004-09-03,0,31.56
2004-09-10,0,30.50
2004-09-17,0,30.70
2004-09-24,38,30.21
2004-10-01,32,31.47
2004-10-08,32,30.64
2004-10-15,33,30.52
2004-10-22,34,29.93
2004-10-29,36,31.15
2004-11-05,37,33.35
2004-11-12,50,34.47
2004-11-19,38,33.71
2004-11-26,38,33.86
2004-12-03,38,34.48
2004-12-10,35,34.31
2004-12-17,35,34.85
2004-12-24,35,
2004-12-31,35,35.74
2005-01-07,35,36.00
2005-01-14,50,35.58
2005-01-21,27,35.25
2005-01-28,27,36.00
2005-02-04,48,34.16
2005-02-11,35,34.22
2005-02-18,42,33.61
2005-02-25,25,33.75
2005-03-04,25,35.62
2005-03-11,25,35.37
2005-03-18,45,34.65
2005-03-25,30,
2005-04-01,26,33.45
2005-04-08,41,33.89
2005-04-15,25,31.33
2005-04-22,25,32.25
2005-04-29,30,31.31
2005-05-06,36,29.17
2005-05-13,26,28.91
2005-05-20,34,29.81
2005-05-27,42,29.04
2005-06-03,31,28.65
2005-06-10,31,30.35
2005-06-17,43,31.00
2005-06-24,35,29.93
2005-07-01,27,29.11
2005-07-08,30,30.04
2005-07-15,32,30.16
2005-07-22,39,30.60
2005-07-29,34,30.47
2005-08-05,32,27.00
2005-08-12,31,28.39
2005-08-19,27,28.65
2005-08-26,27,27.86
2005-09-02,27,27.83
2005-09-09,36,28.73
2005-09-16,38,29.86
2005-09-23,65,28.93
2005-09-30,27,27.85
2005-10-07,23,27.35
2005-10-14,21,26.41
2005-10-21,34,25.91
2005-10-28,26,26.75
2005-11-04,34,26.93
2005-11-11,37,26.73
2005-11-18,25,28.85
2005-11-25,47,28.84
2005-12-02,37,29.32
2005-12-09,25,28.37
2005-12-16,19,28.38
2005-12-23,25,29.37
2005-12-30,22,28.86
2006-01-06,22,29.98
2006-01-13,41,27.12
2006-01-20,41,26.47
2006-01-27,26,26.46
2006-02-03,24,25.02
2006-02-10,27,25.46
2006-02-17,34,25.85
2006-02-24,27,25.77
2006-03-03,20,25.75
2006-03-10,16,26.19
2006-03-17,26,26.83
2006-03-24,22,27.33
2006-03-31,17,26.88
2006-04-07,17,26.08
2006-04-14,19,
2006-04-21,29,26.65
2006-04-28,20,26.35
2006-05-05,16,28.50
2006-05-12,28,27.28
2006-05-19,17,27.18
2006-05-26,17,27.46
2006-06-02,21,27.50
2006-06-09,16,26.69
2006-06-16,21,26.87
2006-06-23,25,26.78
2006-06-30,17,27.50
2006-07-07,18,27.37
2006-07-14,21,25.86
2006-07-21,19,25.23
2006-07-28,19,26.23
2006-08-04,27,25.65
2006-08-11,26,25.51
2006-08-18,30,26.42
2006-08-25,22,26.09
2006-09-01,21,26.38
2006-09-08,20,26.21
2006-09-15,18,26.51
2006-09-22,18,27.06
2006-09-29,19,27.99
2006-10-06,20,27.93
2006-10-13,21,29.13
2006-10-20,22,29.36
2006-10-27,19,29.18
2006-11-03,18,28.96
2006-11-10,22,29.64
2006-11-17,24,30.15
2006-11-24,21,30.15
2006-12-01,20,30.19
2006-12-08,20,29.99
2006-12-15,20,30.34
2006-12-22,18,30.87
2006-12-29,18,30.40
2007-01-05,18,30.35
2007-01-12,18,31.62
2007-01-19,13,30.74
2007-01-26,20,30.94
2007-02-02,24,33.00
2007-02-09,25,31.48
2007-02-16,22,32.05
2007-02-23,14,31.40
2007-03-02,18,30.07
2007-03-09,16,30.68
2007-03-16,26,30.88
2007-03-23,18,32.08
2007-03-30,19,31.55
2007-04-06,21,
2007-04-13,18,32.55
2007-04-20,13,32.34
2007-04-27,23,32.64
2007-05-04,20,32.81
2007-05-11,20,32.53
2007-05-18,27,32.28
2007-05-25,16,33.15
2007-06-01,14,33.70
2007-06-08,22,33.80
2007-06-15,21,34.32
2007-06-22,29,34.21
2007-06-29,22,33.79
2007-07-06,48,53.17
2007-07-13,35,51.34
2007-07-20,21,49.46
2007-07-27,25,47.76
2007-08-03,24,47.62
2007-08-10,33,43.60
2007-08-17,25,41.66
2007-08-24,26,44.26
2007-08-31,18,44.16
2007-09-07,12,43.57
2007-09-14,14,43.69
2007-09-21,22,44.50
2007-09-28,22,44.34
2007-10-05,16,46.66
2007-10-12,16,45.30
2007-10-19,18,41.84
2007-10-26,19,42.37
2007-11-02,16,41.34
2007-11-09,20,40.14
2007-11-16,25,38.73
2007-11-23,18,39.83
2007-11-30,19,40.13
2007-12-07,17,41.00
2007-12-14,21,41.64
2007-12-21,21,40.66
2007-12-28,16,40.10
2008-01-04,16,38.07
2008-01-11,16,36.01
2008-01-18,20,34.07
2008-01-25,18,37.30
2008-02-01,20,39.66
2008-02-08,21,40.10
2008-02-15,22,40.18
2008-02-22,22,40.05
2008-02-29,20,40.06
2008-03-07,22,41.61
2008-03-14,20,40.18
2008-03-21,20,
2008-03-28,14,44.57
2008-04-04,23,45.46
2008-04-11,18,44.28
2008-04-18,15,47.41
2008-04-25,15,46.83
2008-05-02,16,45.65
2008-05-09,19,44.17
2008-05-16,14,46.12
2008-05-23,12,45.03
2008-05-30,14,45.19
2008-06-06,15,44.01
2008-06-13,14,43.33
2008-06-20,16,43.18
2008-06-27,19,40.08
2008-07-04,13,
2008-07-11,14,39.71
2008-07-18,20,41.29
2008-07-25,15,40.71
2008-08-01,15,43.16
2008-08-08,15,44.13
2008-08-15,14,44.85
2008-08-22,11,43.36
2008-08-29,9,42.88
2008-09-05,8,41.05
2008-09-12,11,40.88
2008-09-19,14,41.05
2008-09-26,17,36.37
2008-10-03,14,32.20
2008-10-10,12,26.19
2008-10-17,14,26.31
2008-10-24,16,22.85
2008-10-31,20,25.28
2008-11-07,16,25.10
2008-11-14,27,20.50
2008-11-21,16,17.74
2008-11-28,11,20.90
2008-12-05,12,22.43
2008-12-12,10,20.72
2008-12-19,15,21.38
2008-12-26,7,20.89
2009-01-02,8,22.74
2009-01-09,11,23.60
2009-01-16,10,23.18
2009-01-23,10,21.00
2009-01-30,11,21.02
2009-02-06,19,24.21
2009-02-13,12,23.79
2009-02-20,16,21.85
2009-02-27,11,20.05
2009-03-06,10,17.99
2009-03-13,13,18.89
2009-03-20,19,19.46
2009-03-27,14,19.91
2009-04-03,12,21.04
2009-04-10,13,
2009-04-17,12,22.27
2009-04-24,17,23.24
2009-05-01,18,24.89
2009-05-08,12,26.25
2009-05-15,19,25.50
2009-05-22,12,25.96
2009-05-29,11,27.61
2009-06-05,14,27.85
2009-06-12,10,27.47
2009-06-19,10,26.87
2009-06-26,12,26.55
2009-07-03,5,
2009-07-10,10,26.28
2009-07-17,13,28.51
2009-07-24,11,29.38
2009-07-31,16,30.22
2009-08-07,10,31.13
2009-08-14,14,31.11
2009-08-21,17,31.98
2009-08-28,15,31.79
2009-09-04,12,32.15
2009-09-11,9,32.94
2009-09-18,14,34.18
2009-09-25,12,33.98
2009-10-02,15,33.32
2009-10-09,14,35.06
2009-10-16,12,35.12
2009-10-23,12,35.12
2009-10-30,13,33.55
2009-11-06,14,34.27
2009-11-13,13,36.50
2009-11-20,19,36.86
2009-11-27,13,36.00
2009-12-04,12,35.66
2009-12-11,11,36.51
2009-12-18,14,35.47
2009-12-25,9,
2010-01-01,11,
2010-01-08,13,36.35
2010-01-15,11,37.54
2010-01-22,25,37.05
2010-01-29,14,35.43
2010-02-05,17,34.50
2010-02-12,20,34.51
2010-02-19,16,35.61
2010-02-26,18,36.06
2010-03-05,20,37.51
2010-03-12,15,37.66
2010-03-19,19,36.79
2010-03-26,13,36.86
2010-04-02,11,
2010-04-09,15,39.74
2010-04-16,18,39.92
2010-04-23,16,40.54
2010-04-30,16,38.79
2010-05-07,16,36.66
2010-05-14,17,38.48
2010-05-21,13,36.71
2010-05-28,11,36.19
2010-06-04,15,35.72
2010-06-11,14,36.84
2010-06-18,11,38.81
2010-06-25,16,37.11
2010-07-02,16,34.43
2010-07-09,11,36.57
2010-07-16,12,35.95
2010-07-23,15,37.12
2010-07-30,12,38.28
2010-08-06,12,37.68
2010-08-13,12,36.48
2010-08-20,12,38.70
2010-08-27,15,38.50
2010-09-03,10,38.79
2010-09-10,12,39.73
2010-09-17,13,39.42
2010-09-24,14,38.55
2010-10-01,12,37.33
2010-10-08,11,37.37
2010-10-15,12,37.98
2010-10-22,11,38.54
2010-10-29,13,38.28
2010-11-05,13,38.89
2010-11-12,16,37.77
2010-11-19,14,37.95
2010-11-26,10,37.89
2010-12-03,11,41.18
2010-12-10,11,41.17
2010-12-17,10,41.75
2010-12-24,10,
2010-12-31,6,41.44
2011-01-07,11,43.13
2011-01-14,11,45.24
2011-01-21,12,44.43
2011-01-28,19,44.70
2011-02-04,14,46.13
2011-02-11,15,46.29
2011-02-18,14,47.33
2011-02-25,15,44.74
2011-03-04,14,45.26
2011-03-11,17,45.03
2011-03-18,17,43.90
2011-03-25,14,44.79
2011-04-01,15,45.25
2011-04-08,18,47.15
2011-04-15,40,51.70
2011-04-22,19,
2011-04-29,19,48.74
2011-05-06,15,48.76
2011-05-13,16,50.78
2011-05-20,13,49.24
2011-05-27,11,48.63
2011-06-03,14,47.04
2011-06-10,13,46.48
2011-06-17,14,46.49
2011-06-24,12,46.61
2011-07-01,13,49.58
2011-07-08,10,49.74
2011-07-15,11,47.49
2011-07-22,12,47.38
2011-07-29,17,44.29
2011-08-05,14,41.38
2011-08-12,12,40.58
2011-08-19,13,37.83
2011-08-26,11,40.37
2011-09-02,11,39.73
2011-09-09,8,39.68
2011-09-16,12,43.70
2011-09-23,27,42.98
2011-09-30,16,40.75
2011-10-07,11,42.38
2011-10-14,13,44.57
2011-10-21,13,44.74
2011-10-28,9,47.05
2011-11-04,15,45.35
2011-11-11,13,46.12
2011-11-18,13,46.71
2011-11-25,10,44.33
2011-12-02,12,47.48
2011-12-09,12,47.08
2011-12-16,9,44.86
2011-12-23,11,47.10
2011-12-30,7,46.71
2012-01-06,10,48.21
2012-01-13,11,48.55
2012-01-20,10,49.82
2012-01-27,12,49.20
2012-02-03,10,50.86
2012-02-10,10,49.25
2012-02-17,10,49.95
2012-02-24,10,51.15
2012-03-02,8,51.65
2012-03-09,11,52.92
2012-03-16,9,53.62
2012-03-23,9,52.86
2012-03-30,14,56.18
2012-04-06,13,
2012-04-13,12,54.42
2012-04-20,12,55.29
2012-04-27,13,57.57
2012-05-04,11,55.24
2012-05-11,8,54.92
2012-05-18,9,52.30
2012-05-25,8,54.60
2012-06-01,6,51.48
2012-06-08,8,53.49
2012-06-15,10,53.87
2012-06-22,10,52.28
2012-06-29,9,52.85
2012-07-06,9,52.67
2012-07-13,10,51.83
2012-07-20,12,52.52
2012-07-27,8,53.96
2012-08-03,10,56.22
2012-08-10,11,56.87
2012-08-17,9,57.31
2012-08-24,5,56.47
2012-08-31,8,56.38
2012-09-07,11,56.63
2012-09-14,10,55.24
2012-09-21,10,56.03
2012-09-28,14,56.26
2012-10-05,17,28.21
2012-10-12,11,27.08
2012-10-19,10,27.58
2012-10-26,7,26.87
2012-11-02,7,27.81
2012-11-09,7,27.56
2012-11-16,8,26.77
2012-11-23,7,27.66
2012-11-30,10,28.37
2012-12-07,8,28.66
2012-12-14,7,28.55
2012-12-21,8,29.38
2012-12-28,5,28.57
2013-01-04,6,29.78
2013-01-11,6,30.25
2013-01-18,10,31.37
2013-01-25,9,31.23
2013-02-01,8,30.25
2013-02-08,8,30.76
2013-02-15,9,32.05
2013-02-22,8,31.85
2013-03-01,10,31.67
2013-03-08,7,32.08
2013-03-15,7,31.62
2013-03-22,7,31.24
2013-03-29,8,
2013-04-05,7,31.11
2013-04-12,7,32.25
2013-04-19,5,31.32
2013-04-26,5,31.42
2013-05-03,6,32.03
2013-05-10,6,33.87
2013-05-17,5,34.26
2013-05-24,4,34.27
2013-05-31,6,33.81
2013-06-07,5,34.28
2013-06-14,5,33.31
2013-06-21,5,32.41
2013-06-28,6,32.95
2013-07-05,6,34.57
2013-07-12,4,35.08
2013-07-19,7,35.52
2013-07-26,6,34.59
2013-08-02,6,35.69
2013-08-09,7,35.16
2013-08-16,7,34.26
2013-08-23,4,33.83
2013-08-30,5,33.04
2013-09-06,7,33.61
2013-09-13,6,33.89
2013-09-20,6,34.89
2013-09-27,4,34.95
2013-10-04,6,34.86
2013-10-11,5,35.61
2013-10-18,5,35.96
2013-10-25,5,36.49
2013-11-01,6,36.55
2013-11-08,7,36.40
2013-11-15,6,37.12
2013-11-22,6,38.43
2013-11-29,6,38.14
2013-12-06,4,37.75
2013-12-13,5,37.35
2013-12-20,6,39.60
2013-12-27,3,41.21
2014-01-03,3,40.44
2014-01-10,5,41.12
2014-01-17,6,41.38
2014-01-24,4,39.40
2014-01-31,6,40.49
2014-02-07,6,41.55
2014-02-14,6,41.93
2014-02-21,7,42.29
2014-02-28,5,42.18
2014-03-07,6,43.82
2014-03-14,7,42.89
2014-03-21,7,42.71
2014-03-28,7,41.81
2014-04-04,6,42.28
2014-04-11,6,40.62
2014-04-18,5,
2014-04-25,6,41.29
2014-05-02,5,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
