Date,URBN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,42.50
2004-02-13,0,42.59
2004-02-20,0,41.90
2004-02-27,0,43.61
2004-03-05,0,44.10
2004-03-12,0,45.80
2004-03-19,0,43.72
2004-03-26,0,44.47
2004-04-02,0,47.30
2004-04-09,0,
2004-04-16,0,47.81
2004-04-23,0,48.17
2004-04-30,0,46.17
2004-05-07,0,46.31
2004-05-14,0,46.57
2004-05-21,0,47.31
2004-05-28,0,54.91
2004-06-04,0,55.54
2004-06-11,74,
2004-06-18,0,57.16
2004-06-25,0,60.80
2004-07-02,0,61.64
2004-07-09,0,58.01
2004-07-16,0,26.79
2004-07-23,0,27.58
2004-07-30,0,29.74
2004-08-06,0,27.57
2004-08-13,0,27.43
2004-08-20,0,29.70
2004-08-27,0,30.90
2004-09-03,0,31.60
2004-09-10,0,33.60
2004-09-17,0,34.53
2004-09-24,0,33.64
2004-10-01,0,34.61
2004-10-08,0,35.21
2004-10-15,0,35.85
2004-10-22,0,37.92
2004-10-29,78,41.00
2004-11-05,69,43.65
2004-11-12,69,47.09
2004-11-19,69,43.45
2004-11-26,68,44.61
2004-12-03,68,41.90
2004-12-10,53,42.88
2004-12-17,54,43.28
2004-12-24,76,
2004-12-31,74,44.40
2005-01-07,58,41.02
2005-01-14,57,41.80
2005-01-21,57,39.37
2005-01-28,57,40.19
2005-02-04,57,43.34
2005-02-11,74,43.38
2005-02-18,47,42.93
2005-02-25,65,41.85
2005-03-04,81,45.17
2005-03-11,72,48.03
2005-03-18,54,47.91
2005-03-25,74,
2005-04-01,77,47.00
2005-04-08,80,47.00
2005-04-15,80,43.54
2005-04-22,45,45.15
2005-04-29,57,44.42
2005-05-06,69,46.11
2005-05-13,81,50.71
2005-05-20,78,52.93
2005-05-27,84,54.16
2005-06-03,97,54.99
2005-06-10,51,54.57
2005-06-17,61,58.92
2005-06-24,49,56.75
2005-07-01,71,57.50
2005-07-08,63,58.29
2005-07-15,85,58.57
2005-07-22,66,62.60
2005-07-29,74,60.71
2005-08-05,98,56.20
2005-08-12,95,58.70
2005-08-19,96,56.73
2005-08-26,73,56.62
2005-09-02,74,54.00
2005-09-09,68,56.92
2005-09-16,95,54.79
2005-09-23,86,54.85
2005-09-30,74,29.40
2005-10-07,90,30.95
2005-10-14,70,29.52
2005-10-21,83,31.44
2005-10-28,65,27.52
2005-11-04,87,31.37
2005-11-11,62,31.43
2005-11-18,66,30.80
2005-11-25,85,32.79
2005-12-02,50,31.56
2005-12-09,69,30.28
2005-12-16,58,26.27
2005-12-23,49,26.04
2005-12-30,73,25.31
2006-01-06,78,25.35
2006-01-13,71,28.68
2006-01-20,59,26.58
2006-01-27,50,28.10
2006-02-03,89,25.94
2006-02-10,48,26.51
2006-02-17,65,27.01
2006-02-24,63,27.74
2006-03-03,68,27.10
2006-03-10,75,25.15
2006-03-17,78,23.80
2006-03-24,76,24.64
2006-03-31,71,24.54
2006-04-07,57,23.30
2006-04-14,52,
2006-04-21,29,23.24
2006-04-28,87,23.20
2006-05-05,86,22.62
2006-05-12,53,21.28
2006-05-19,100,19.96
2006-05-26,53,18.94
2006-06-02,58,18.96
2006-06-09,48,18.00
2006-06-16,41,17.54
2006-06-23,57,16.56
2006-06-30,37,17.49
2006-07-07,48,16.34
2006-07-14,60,15.30
2006-07-21,46,14.98
2006-07-28,46,14.70
2006-08-04,48,14.69
2006-08-11,64,15.71
2006-08-18,62,17.11
2006-08-25,61,15.15
2006-09-01,39,15.44
2006-09-08,49,14.65
2006-09-15,53,17.27
2006-09-22,56,18.01
2006-09-29,71,17.72
2006-10-06,66,19.24
2006-10-13,38,19.55
2006-10-20,98,18.34
2006-10-27,67,17.83
2006-11-03,60,17.19
2006-11-10,83,22.16
2006-11-17,64,22.39
2006-11-24,66,22.22
2006-12-01,63,22.24
2006-12-08,55,23.46
2006-12-15,64,24.00
2006-12-22,76,23.35
2006-12-29,87,23.03
2007-01-05,46,23.53
2007-01-12,51,25.89
2007-01-19,46,24.72
2007-01-26,58,24.37
2007-02-02,48,25.16
2007-02-09,74,24.90
2007-02-16,55,26.16
2007-02-23,52,26.14
2007-03-02,60,24.75
2007-03-09,61,25.63
2007-03-16,69,24.04
2007-03-23,57,26.33
2007-03-30,50,26.51
2007-04-06,63,
2007-04-13,75,26.20
2007-04-20,41,25.91
2007-04-27,52,26.21
2007-05-04,26,25.43
2007-05-11,63,25.12
2007-05-18,55,25.31
2007-05-25,69,25.22
2007-06-01,52,27.11
2007-06-08,41,25.36
2007-06-15,55,25.36
2007-06-22,54,23.26
2007-06-29,49,24.03
2007-07-06,56,23.78
2007-07-13,36,21.68
2007-07-20,63,21.62
2007-07-27,53,19.41
2007-08-03,43,20.20
2007-08-10,62,21.72
2007-08-17,62,22.10
2007-08-24,56,22.79
2007-08-31,56,22.90
2007-09-07,46,21.24
2007-09-14,51,22.62
2007-09-21,54,22.30
2007-09-28,54,21.80
2007-10-05,48,24.30
2007-10-12,55,23.62
2007-10-19,53,21.91
2007-10-26,54,23.13
2007-11-02,59,24.09
2007-11-09,58,25.77
2007-11-16,57,24.92
2007-11-23,64,24.75
2007-11-30,71,26.20
2007-12-07,84,28.21
2007-12-14,57,27.46
2007-12-21,84,27.10
2007-12-28,48,26.99
2008-01-04,48,27.10
2008-01-11,49,25.25
2008-01-18,57,24.25
2008-01-25,57,27.04
2008-02-01,51,29.00
2008-02-08,64,30.31
2008-02-15,55,28.58
2008-02-22,44,29.66
2008-02-29,47,28.78
2008-03-07,42,28.97
2008-03-14,45,30.22
2008-03-21,50,
2008-03-28,64,30.27
2008-04-04,63,32.54
2008-04-11,54,30.51
2008-04-18,64,31.73
2008-04-25,50,33.62
2008-05-02,46,33.63
2008-05-09,79,32.90
2008-05-16,56,30.96
2008-05-23,60,29.73
2008-05-30,66,32.19
2008-06-06,40,31.21
2008-06-13,38,33.65
2008-06-20,48,33.87
2008-06-27,43,31.83
2008-07-04,45,
2008-07-11,48,29.26
2008-07-18,54,32.00
2008-07-25,54,30.71
2008-08-01,45,33.00
2008-08-08,57,35.59
2008-08-15,67,35.64
2008-08-22,33,35.61
2008-08-29,57,35.62
2008-09-05,62,36.56
2008-09-12,50,36.49
2008-09-19,73,35.76
2008-09-26,50,34.94
2008-10-03,58,26.55
2008-10-10,66,23.56
2008-10-17,50,22.50
2008-10-24,57,19.21
2008-10-31,47,21.74
2008-11-07,62,17.50
2008-11-14,62,16.04
2008-11-21,56,14.79
2008-11-28,64,18.17
2008-12-05,44,20.55
2008-12-12,60,15.33
2008-12-19,54,15.13
2008-12-26,49,14.65
2009-01-02,46,15.81
2009-01-09,46,15.06
2009-01-16,35,16.14
2009-01-23,48,15.94
2009-01-30,51,15.58
2009-02-06,48,17.85
2009-02-13,44,16.50
2009-02-20,43,16.07
2009-02-27,39,16.64
2009-03-06,40,14.13
2009-03-13,41,17.28
2009-03-20,50,17.39
2009-03-27,48,16.59
2009-04-03,44,16.62
2009-04-10,50,
2009-04-17,35,17.52
2009-04-24,42,16.96
2009-05-01,44,19.14
2009-05-08,44,19.07
2009-05-15,46,18.76
2009-05-22,51,19.64
2009-05-29,39,20.42
2009-06-05,31,21.26
2009-06-12,38,21.58
2009-06-19,49,21.55
2009-06-26,40,21.15
2009-07-03,37,
2009-07-10,42,19.35
2009-07-17,33,21.53
2009-07-24,45,22.47
2009-07-31,56,24.04
2009-08-07,40,28.06
2009-08-14,46,27.99
2009-08-21,60,28.80
2009-08-28,52,28.68
2009-09-04,42,29.10
2009-09-11,48,29.79
2009-09-18,36,31.29
2009-09-25,38,29.74
2009-10-02,46,28.91
2009-10-09,42,31.17
2009-10-16,49,32.72
2009-10-23,38,32.80
2009-10-30,36,31.38
2009-11-06,38,32.43
2009-11-13,39,33.95
2009-11-20,42,32.18
2009-11-27,37,31.82
2009-12-04,32,33.10
2009-12-11,49,33.64
2009-12-18,34,33.21
2009-12-25,40,
2010-01-01,33,
2010-01-08,30,34.01
2010-01-15,39,32.45
2010-01-22,35,31.05
2010-01-29,32,31.57
2010-02-05,51,30.83
2010-02-12,34,30.84
2010-02-19,37,31.96
2010-02-26,39,32.20
2010-03-05,46,34.98
2010-03-12,44,36.49
2010-03-19,44,35.60
2010-03-26,34,37.98
2010-04-02,39,
2010-04-09,37,38.56
2010-04-16,41,38.41
2010-04-23,45,39.87
2010-04-30,36,37.56
2010-05-07,51,34.89
2010-05-14,44,35.88
2010-05-21,38,35.55
2010-05-28,38,36.30
2010-06-04,29,36.88
2010-06-11,31,37.12
2010-06-18,39,36.53
2010-06-25,26,36.06
2010-07-02,38,34.69
2010-07-09,34,34.12
2010-07-16,43,31.96
2010-07-23,32,34.19
2010-07-30,28,32.16
2010-08-06,42,33.11
2010-08-13,39,30.90
2010-08-20,41,32.95
2010-08-27,42,31.05
2010-09-03,45,33.10
2010-09-10,32,33.18
2010-09-17,46,34.11
2010-09-24,34,34.67
2010-10-01,41,31.47
2010-10-08,49,31.28
2010-10-15,44,31.00
2010-10-22,44,30.28
2010-10-29,33,30.79
2010-11-05,41,32.44
2010-11-12,47,32.90
2010-11-19,56,37.26
2010-11-26,46,38.46
2010-12-03,47,38.26
2010-12-10,50,37.20
2010-12-17,40,36.36
2010-12-24,49,
2010-12-31,44,35.81
2011-01-07,37,36.01
2011-01-14,36,35.94
2011-01-21,37,35.03
2011-01-28,30,33.82
2011-02-04,43,34.76
2011-02-11,36,37.61
2011-02-18,48,37.78
2011-02-25,41,37.49
2011-03-04,45,38.50
2011-03-11,45,32.12
2011-03-18,34,31.25
2011-03-25,53,30.06
2011-04-01,47,30.35
2011-04-08,42,30.91
2011-04-15,43,30.64
2011-04-22,37,
2011-04-29,49,31.47
2011-05-06,39,31.38
2011-05-13,33,32.62
2011-05-20,48,31.51
2011-05-27,40,30.46
2011-06-03,35,29.19
2011-06-10,38,29.03
2011-06-17,32,28.81
2011-06-24,34,28.43
2011-07-01,40,28.92
2011-07-08,32,32.03
2011-07-15,34,31.41
2011-07-22,31,32.56
2011-07-29,29,32.54
2011-08-05,38,29.39
2011-08-12,36,29.68
2011-08-19,45,25.95
2011-08-26,30,24.77
2011-09-02,32,25.96
2011-09-09,37,24.56
2011-09-16,30,24.83
2011-09-23,36,23.41
2011-09-30,32,22.31
2011-10-07,31,23.29
2011-10-14,34,23.84
2011-10-21,31,25.07
2011-10-28,36,28.10
2011-11-04,34,26.72
2011-11-11,38,26.82
2011-11-18,43,25.96
2011-11-25,44,25.19
2011-12-02,36,27.09
2011-12-09,37,26.34
2011-12-16,32,26.58
2011-12-23,38,27.55
2011-12-30,40,27.56
2012-01-06,31,27.67
2012-01-13,46,25.13
2012-01-20,40,25.40
2012-01-27,36,26.99
2012-02-03,40,27.69
2012-02-10,43,27.00
2012-02-17,38,28.48
2012-02-24,42,29.62
2012-03-02,34,28.11
2012-03-09,24,29.50
2012-03-16,40,27.98
2012-03-23,34,29.37
2012-03-30,33,29.11
2012-04-06,31,
2012-04-13,35,28.67
2012-04-20,29,28.94
2012-04-27,33,29.21
2012-05-04,37,28.31
2012-05-11,36,27.45
2012-05-18,34,25.62
2012-05-25,37,28.42
2012-06-01,33,26.69
2012-06-08,30,27.64
2012-06-15,33,27.51
2012-06-22,29,27.55
2012-06-29,29,27.59
2012-07-06,33,27.41
2012-07-13,34,29.18
2012-07-20,39,31.01
2012-07-27,32,30.97
2012-08-03,34,30.16
2012-08-10,33,30.66
2012-08-17,42,31.42
2012-08-24,48,36.94
2012-08-31,32,37.54
2012-09-07,32,38.73
2012-09-14,33,39.71
2012-09-21,29,38.75
2012-09-28,31,37.56
2012-10-05,29,37.73
2012-10-12,31,36.61
2012-10-19,33,37.09
2012-10-26,29,35.74
2012-11-02,33,36.56
2012-11-09,31,35.31
2012-11-16,34,35.05
2012-11-23,38,37.86
2012-11-30,34,37.70
2012-12-07,37,37.37
2012-12-14,37,38.60
2012-12-21,38,39.43
2012-12-28,30,38.22
2013-01-04,40,41.39
2013-01-11,34,42.75
2013-01-18,33,43.39
2013-01-25,39,43.62
2013-02-01,35,43.35
2013-02-08,28,42.58
2013-02-15,37,41.29
2013-02-22,36,39.54
2013-03-01,33,40.81
2013-03-08,38,41.31
2013-03-15,26,40.65
2013-03-22,33,38.75
2013-03-29,35,
2013-04-05,42,39.97
2013-04-12,28,41.38
2013-04-19,30,39.46
2013-04-26,33,41.16
2013-05-03,38,41.54
2013-05-10,33,43.83
2013-05-17,38,44.54
2013-05-24,41,41.84
2013-05-31,43,41.93
2013-06-07,37,42.58
2013-06-14,31,40.88
2013-06-21,40,39.54
2013-06-28,42,40.22
2013-07-05,34,41.04
2013-07-12,31,42.98
2013-07-19,41,42.85
2013-07-26,32,41.95
2013-08-02,38,43.83
2013-08-09,38,41.46
2013-08-16,32,39.74
2013-08-23,44,42.80
2013-08-30,31,41.93
2013-09-06,38,42.56
2013-09-13,43,38.38
2013-09-20,34,38.10
2013-09-27,35,37.07
2013-10-04,49,36.96
2013-10-11,43,35.90
2013-10-18,46,37.01
2013-10-25,39,37.88
2013-11-01,38,38.59
2013-11-08,36,39.48
2013-11-15,39,40.17
2013-11-22,43,38.44
2013-11-29,37,39.02
2013-12-06,38,35.99
2013-12-13,39,35.78
2013-12-20,45,36.48
2013-12-27,37,37.06
2014-01-03,39,37.99
2014-01-10,37,37.57
2014-01-17,35,37.02
2014-01-24,39,36.00
2014-01-31,32,35.82
2014-02-07,31,36.24
2014-02-14,37,35.85
2014-02-21,40,35.92
2014-02-28,39,37.44
2014-03-07,41,37.56
2014-03-14,43,35.55
2014-03-21,37,36.38
2014-03-28,41,36.36
2014-04-04,40,38.00
2014-04-11,28,36.01
2014-04-18,35,
2014-04-25,32,35.79
2014-05-02,40,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
