Date,Union Pacific,Price
2004-01-09,73,
2004-01-16,92,
2004-01-23,81,
2004-01-30,83,
2004-02-06,99,64.88
2004-02-13,77,64.84
2004-02-20,75,64.16
2004-02-27,100,63.64
2004-03-05,86,61.83
2004-03-12,70,62.30
2004-03-19,71,61.16
2004-03-26,63,60.85
2004-04-02,89,59.81
2004-04-09,70,
2004-04-16,80,57.52
2004-04-23,80,59.84
2004-04-30,77,58.93
2004-05-07,67,56.99
2004-05-14,92,57.37
2004-05-21,69,56.26
2004-05-28,69,58.32
2004-06-04,69,59.26
2004-06-11,69,
2004-06-18,81,57.61
2004-06-25,86,58.82
2004-07-02,80,58.54
2004-07-09,71,57.89
2004-07-16,87,57.88
2004-07-23,77,56.28
2004-07-30,91,56.34
2004-08-06,90,55.16
2004-08-13,76,55.24
2004-08-20,70,56.25
2004-08-27,81,56.77
2004-09-03,77,57.24
2004-09-10,59,58.91
2004-09-17,66,59.26
2004-09-24,77,59.20
2004-10-01,73,59.49
2004-10-08,63,61.81
2004-10-15,59,60.49
2004-10-22,81,61.00
2004-10-29,71,62.97
2004-11-05,67,64.95
2004-11-12,75,64.69
2004-11-19,74,63.11
2004-11-26,59,63.41
2004-12-03,61,63.81
2004-12-10,59,61.46
2004-12-17,68,62.43
2004-12-24,64,
2004-12-31,63,67.25
2005-01-07,77,64.80
2005-01-14,61,61.84
2005-01-21,66,60.41
2005-01-28,63,58.90
2005-02-04,62,59.17
2005-02-11,80,60.47
2005-02-18,77,63.76
2005-02-25,71,63.98
2005-03-04,66,64.61
2005-03-11,69,66.18
2005-03-18,67,66.39
2005-03-25,78,
2005-04-01,62,68.66
2005-04-08,61,68.00
2005-04-15,77,62.97
2005-04-22,60,64.48
2005-04-29,71,63.93
2005-05-06,73,64.00
2005-05-13,56,61.22
2005-05-20,58,66.70
2005-05-27,73,66.52
2005-06-03,56,66.63
2005-06-10,52,65.25
2005-06-17,68,66.82
2005-06-24,57,64.17
2005-07-01,72,65.02
2005-07-08,66,65.35
2005-07-15,63,65.10
2005-07-22,76,68.46
2005-07-29,71,70.31
2005-08-05,68,69.72
2005-08-12,72,69.19
2005-08-19,73,68.86
2005-08-26,60,69.21
2005-09-02,67,68.48
2005-09-09,62,67.85
2005-09-16,56,67.85
2005-09-23,61,69.83
2005-09-30,63,71.70
2005-10-07,67,70.60
2005-10-14,63,69.22
2005-10-21,67,67.11
2005-10-28,53,68.25
2005-11-04,60,69.95
2005-11-11,61,70.75
2005-11-18,56,75.00
2005-11-25,49,76.85
2005-12-02,52,77.19
2005-12-09,57,75.82
2005-12-16,66,77.83
2005-12-23,54,80.35
2005-12-30,56,80.51
2006-01-06,70,78.58
2006-01-13,61,78.73
2006-01-20,59,83.82
2006-01-27,69,87.16
2006-02-03,67,85.67
2006-02-10,62,86.31
2006-02-17,64,88.74
2006-02-24,56,88.46
2006-03-03,60,89.82
2006-03-10,60,85.76
2006-03-17,59,91.07
2006-03-24,57,92.18
2006-03-31,61,93.35
2006-04-07,56,93.63
2006-04-14,61,
2006-04-21,67,95.95
2006-04-28,65,91.21
2006-05-05,57,93.25
2006-05-12,68,94.37
2006-05-19,58,91.70
2006-05-26,65,92.66
2006-06-02,56,94.05
2006-06-09,66,86.46
2006-06-16,64,89.76
2006-06-23,61,88.80
2006-06-30,61,92.96
2006-07-07,51,90.12
2006-07-14,63,86.16
2006-07-21,66,83.04
2006-07-28,67,85.22
2006-08-04,59,83.85
2006-08-11,62,79.21
2006-08-18,57,83.74
2006-08-25,63,80.94
2006-09-01,62,80.54
2006-09-08,52,80.10
2006-09-15,63,83.80
2006-09-22,67,83.42
2006-09-29,64,88.00
2006-10-06,59,88.86
2006-10-13,57,91.08
2006-10-20,56,90.83
2006-10-27,55,90.86
2006-11-03,59,90.19
2006-11-10,51,91.14
2006-11-17,57,91.35
2006-11-24,41,91.45
2006-12-01,63,90.48
2006-12-08,57,92.80
2006-12-15,59,93.93
2006-12-22,53,90.61
2006-12-29,55,92.02
2007-01-05,61,90.66
2007-01-12,58,91.96
2007-01-19,61,96.33
2007-01-26,62,95.43
2007-02-02,58,102.40
2007-02-09,52,99.64
2007-02-16,51,101.73
2007-02-23,62,103.88
2007-03-02,58,97.82
2007-03-09,54,98.74
2007-03-16,52,99.95
2007-03-23,52,104.20
2007-03-30,60,101.55
2007-04-06,60,
2007-04-13,52,109.78
2007-04-20,52,117.21
2007-04-27,59,115.84
2007-05-04,55,116.64
2007-05-11,48,116.90
2007-05-18,57,119.85
2007-05-25,55,117.96
2007-06-01,58,122.03
2007-06-08,48,116.65
2007-06-15,51,120.26
2007-06-22,51,116.09
2007-06-29,54,115.15
2007-07-06,53,116.81
2007-07-13,61,120.80
2007-07-20,53,125.87
2007-07-27,60,119.12
2007-08-03,51,114.25
2007-08-10,45,116.65
2007-08-17,50,105.93
2007-08-24,54,111.07
2007-08-31,54,111.57
2007-09-07,46,108.11
2007-09-14,52,111.83
2007-09-21,52,112.87
2007-09-28,51,113.06
2007-10-05,45,117.35
2007-10-12,51,119.52
2007-10-19,45,122.62
2007-10-26,48,127.90
2007-11-02,48,126.00
2007-11-09,54,124.65
2007-11-16,45,126.48
2007-11-23,37,124.68
2007-11-30,53,126.14
2007-12-07,45,134.84
2007-12-14,48,130.56
2007-12-21,40,126.02
2007-12-28,49,127.73
2008-01-04,56,120.04
2008-01-11,53,114.11
2008-01-18,51,110.45
2008-01-25,47,119.81
2008-02-01,57,127.97
2008-02-08,47,125.35
2008-02-15,46,124.80
2008-02-22,41,124.13
2008-02-29,48,124.76
2008-03-07,50,119.66
2008-03-14,49,122.75
2008-03-21,46,
2008-03-28,50,125.02
2008-04-04,51,133.66
2008-04-11,48,130.21
2008-04-18,52,138.08
2008-04-25,49,140.59
2008-05-02,49,146.88
2008-05-09,53,146.28
2008-05-16,49,153.00
2008-05-23,44,152.16
2008-05-30,50,82.31
2008-06-06,47,77.95
2008-06-13,45,75.57
2008-06-20,46,76.88
2008-06-27,48,73.83
2008-07-04,42,
2008-07-11,49,71.92
2008-07-18,49,72.54
2008-07-25,55,77.49
2008-08-01,46,79.44
2008-08-08,51,83.18
2008-08-15,51,76.87
2008-08-22,48,79.55
2008-08-29,53,83.90
2008-09-05,42,75.46
2008-09-12,48,77.80
2008-09-19,55,76.73
2008-09-26,50,73.27
2008-10-03,48,61.81
2008-10-10,47,58.00
2008-10-17,48,55.49
2008-10-24,44,58.28
2008-10-31,46,66.77
2008-11-07,41,60.99
2008-11-14,46,57.27
2008-11-21,52,47.50
2008-11-28,36,50.04
2008-12-05,49,47.49
2008-12-12,50,42.81
2008-12-19,47,46.27
2008-12-26,38,46.97
2009-01-02,47,50.13
2009-01-09,49,48.12
2009-01-16,47,40.42
2009-01-23,48,42.50
2009-01-30,44,43.79
2009-02-06,42,49.27
2009-02-13,37,43.51
2009-02-20,42,40.03
2009-02-27,43,37.52
2009-03-06,43,34.98
2009-03-13,38,37.18
2009-03-20,44,38.69
2009-03-27,40,43.00
2009-04-03,42,46.09
2009-04-10,42,
2009-04-17,43,48.29
2009-04-24,42,49.13
2009-05-01,44,49.98
2009-05-08,39,51.44
2009-05-15,37,46.58
2009-05-22,36,46.16
2009-05-29,32,49.27
2009-06-05,37,53.80
2009-06-12,38,54.36
2009-06-19,40,52.00
2009-06-26,37,53.30
2009-07-03,33,
2009-07-10,39,50.37
2009-07-17,38,56.83
2009-07-24,43,57.99
2009-07-31,41,57.52
2009-08-07,40,61.37
2009-08-14,40,60.82
2009-08-21,37,61.95
2009-08-28,38,60.63
2009-09-04,40,62.04
2009-09-11,35,62.55
2009-09-18,39,62.40
2009-09-25,38,59.50
2009-10-02,41,57.38
2009-10-09,39,59.79
2009-10-16,41,63.53
2009-10-23,35,57.73
2009-10-30,36,55.14
2009-11-06,40,62.36
2009-11-13,37,63.55
2009-11-20,35,65.05
2009-11-27,30,63.19
2009-12-04,35,65.22
2009-12-11,37,64.18
2009-12-18,36,63.38
2009-12-25,28,
2010-01-01,36,
2010-01-08,37,68.04
2010-01-15,36,65.57
2010-01-22,36,63.85
2010-01-29,40,60.50
2010-02-05,36,62.10
2010-02-12,37,63.41
2010-02-19,35,66.57
2010-02-26,36,67.37
2010-03-05,36,69.13
2010-03-12,39,73.00
2010-03-19,37,73.24
2010-03-26,36,72.66
2010-04-02,38,
2010-04-09,40,75.75
2010-04-16,39,75.95
2010-04-23,40,77.10
2010-04-30,36,75.66
2010-05-07,39,71.07
2010-05-14,37,74.18
2010-05-21,39,69.75
2010-05-28,41,71.43
2010-06-04,38,69.33
2010-06-11,36,73.55
2010-06-18,39,76.37
2010-06-25,42,72.72
2010-07-02,41,68.37
2010-07-09,38,71.71
2010-07-16,41,68.81
2010-07-23,43,73.90
2010-07-30,43,74.67
2010-08-06,46,77.04
2010-08-13,42,73.45
2010-08-20,48,74.26
2010-08-27,43,73.69
2010-09-03,43,78.80
2010-09-10,43,78.73
2010-09-17,41,79.96
2010-09-24,44,82.10
2010-10-01,43,81.03
2010-10-08,41,84.86
2010-10-15,39,85.21
2010-10-22,40,86.31
2010-10-29,43,87.68
2010-11-05,41,91.22
2010-11-12,43,90.29
2010-11-19,40,91.82
2010-11-26,34,90.10
2010-12-03,43,94.55
2010-12-10,43,92.64
2010-12-17,41,91.18
2010-12-24,38,
2010-12-31,39,92.66
2011-01-07,47,95.18
2011-01-14,42,98.66
2011-01-21,46,94.51
2011-01-28,47,93.54
2011-02-04,44,94.25
2011-02-11,41,99.02
2011-02-18,37,97.14
2011-02-25,41,94.03
2011-03-04,45,95.36
2011-03-11,38,94.77
2011-03-18,39,95.02
2011-03-25,43,97.59
2011-04-01,48,98.27
2011-04-08,42,95.66
2011-04-15,44,98.27
2011-04-22,46,
2011-04-29,44,103.47
2011-05-06,43,102.34
2011-05-13,42,100.46
2011-05-20,44,101.99
2011-05-27,41,103.53
2011-06-03,41,101.14
2011-06-10,47,99.60
2011-06-17,40,100.01
2011-06-24,42,100.04
2011-07-01,43,106.76
2011-07-08,38,104.30
2011-07-15,44,100.74
2011-07-22,41,103.80
2011-07-29,45,102.48
2011-08-05,43,92.47
2011-08-12,43,92.72
2011-08-19,44,85.69
2011-08-26,41,89.55
2011-09-02,41,88.27
2011-09-09,36,85.09
2011-09-16,40,91.64
2011-09-23,43,83.11
2011-09-30,40,81.67
2011-10-07,37,88.80
2011-10-14,36,91.97
2011-10-21,39,96.96
2011-10-28,40,102.02
2011-11-04,41,101.24
2011-11-11,44,102.88
2011-11-18,41,102.04
2011-11-25,35,95.16
2011-12-02,43,102.69
2011-12-09,38,101.75
2011-12-16,42,99.88
2011-12-23,39,105.53
2011-12-30,42,105.94
2012-01-06,45,107.53
2012-01-13,45,109.73
2012-01-20,45,112.84
2012-01-27,45,114.90
2012-02-03,44,116.11
2012-02-10,45,111.63
2012-02-17,41,110.99
2012-02-24,43,112.62
2012-03-02,41,110.89
2012-03-09,39,107.64
2012-03-16,41,113.15
2012-03-23,40,108.89
2012-03-30,40,107.48
2012-04-06,40,
2012-04-13,40,108.04
2012-04-20,42,107.26
2012-04-27,39,113.89
2012-05-04,39,113.60
2012-05-11,39,112.18
2012-05-18,40,107.17
2012-05-25,41,111.88
2012-06-01,40,108.11
2012-06-08,40,110.64
2012-06-15,42,114.87
2012-06-22,38,116.48
2012-06-29,52,119.31
2012-07-06,42,116.75
2012-07-13,45,118.15
2012-07-20,46,119.60
2012-07-27,42,122.48
2012-08-03,43,124.54
2012-08-10,46,122.01
2012-08-17,47,125.01
2012-08-24,49,123.99
2012-08-31,43,121.44
2012-09-07,40,122.25
2012-09-14,44,128.43
2012-09-21,43,119.37
2012-09-28,44,118.70
2012-10-05,43,122.16
2012-10-12,41,121.05
2012-10-19,42,123.77
2012-10-26,43,123.61
2012-11-02,38,123.98
2012-11-09,39,120.25
2012-11-16,40,117.56
2012-11-23,33,121.98
2012-11-30,42,122.78
2012-12-07,41,123.95
2012-12-14,40,124.28
2012-12-21,37,125.68
2012-12-28,36,123.54
2013-01-04,41,130.89
2013-01-11,40,130.97
2013-01-18,41,132.49
2013-01-25,42,134.77
2013-02-01,43,133.96
2013-02-08,40,133.15
2013-02-15,40,136.83
2013-02-22,38,136.02
2013-03-01,39,136.57
2013-03-08,42,138.70
2013-03-15,38,141.69
2013-03-22,38,139.14
2013-03-29,41,
2013-04-05,39,138.54
2013-04-12,43,141.27
2013-04-19,43,145.85
2013-04-26,40,147.52
2013-05-03,41,149.43
2013-05-10,39,154.30
2013-05-17,39,159.91
2013-05-24,37,156.81
2013-05-31,39,154.62
2013-06-07,41,158.13
2013-06-14,39,157.02
2013-06-21,37,152.69
2013-06-28,39,154.28
2013-07-05,39,157.48
2013-07-12,43,160.75
2013-07-19,44,163.36
2013-07-26,43,159.40
2013-08-02,45,163.37
2013-08-09,48,159.79
2013-08-16,48,157.93
2013-08-23,43,158.06
2013-08-30,42,153.54
2013-09-06,39,154.92
2013-09-13,46,154.75
2013-09-20,39,159.55
2013-09-27,39,156.59
2013-10-04,38,153.90
2013-10-11,37,157.37
2013-10-18,37,152.10
2013-10-25,33,152.36
2013-11-01,36,152.77
2013-11-08,36,155.04
2013-11-15,41,159.49
2013-11-22,34,162.02
2013-11-29,30,162.04
2013-12-06,37,164.34
2013-12-13,35,160.75
2013-12-20,35,163.60
2013-12-27,31,166.05
2014-01-03,37,166.85
2014-01-10,40,170.38
2014-01-17,39,167.84
2014-01-24,36,171.64
2014-01-31,39,174.24
2014-02-07,37,176.90
2014-02-14,39,180.14
2014-02-21,37,179.12
2014-02-28,37,180.38
2014-03-07,37,187.57
2014-03-14,36,185.14
2014-03-21,35,187.33
2014-03-28,39,184.75
2014-04-04,39,188.05
2014-04-11,39,181.07
2014-04-18,42,
2014-04-25,36,187.78
2014-05-02,43,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
