Date,VAR,Price
2004-01-09,24,
2004-01-16,25,
2004-01-23,28,
2004-01-30,29,
2004-02-06,25,82.90
2004-02-13,26,83.10
2004-02-20,29,83.12
2004-02-27,24,83.74
2004-03-05,29,87.35
2004-03-12,28,87.24
2004-03-19,28,87.01
2004-03-26,30,83.29
2004-04-02,27,88.04
2004-04-09,30,
2004-04-16,30,87.61
2004-04-23,30,92.13
2004-04-30,28,85.84
2004-05-07,29,84.78
2004-05-14,30,81.50
2004-05-21,28,80.45
2004-05-28,29,82.90
2004-06-04,31,82.88
2004-06-11,26,
2004-06-18,30,80.08
2004-06-25,30,77.25
2004-07-02,29,80.00
2004-07-09,34,77.24
2004-07-16,28,66.30
2004-07-23,29,67.35
2004-07-30,30,69.01
2004-08-06,30,31.38
2004-08-13,27,32.12
2004-08-20,27,33.42
2004-08-27,31,33.10
2004-09-03,31,34.42
2004-09-10,30,35.85
2004-09-17,29,35.60
2004-09-24,26,34.57
2004-10-01,25,34.64
2004-10-08,27,38.10
2004-10-15,26,36.70
2004-10-22,27,36.40
2004-10-29,27,40.15
2004-11-05,27,39.98
2004-11-12,26,40.67
2004-11-19,29,39.55
2004-11-26,29,41.35
2004-12-03,30,42.86
2004-12-10,27,43.06
2004-12-17,26,43.38
2004-12-24,26,
2004-12-31,25,43.24
2005-01-07,30,40.43
2005-01-14,31,39.72
2005-01-21,29,38.96
2005-01-28,31,36.90
2005-02-04,33,38.90
2005-02-11,33,37.70
2005-02-18,32,36.22
2005-02-25,33,36.02
2005-03-04,33,36.56
2005-03-11,32,36.60
2005-03-18,33,35.08
2005-03-25,33,
2005-04-01,30,33.44
2005-04-08,34,34.30
2005-04-15,33,32.83
2005-04-22,31,33.15
2005-04-29,33,33.74
2005-05-06,31,33.80
2005-05-13,33,34.50
2005-05-20,33,37.37
2005-05-27,31,38.29
2005-06-03,34,36.30
2005-06-10,31,36.56
2005-06-17,31,37.69
2005-06-24,29,37.04
2005-07-01,35,37.00
2005-07-08,37,37.99
2005-07-15,33,37.68
2005-07-22,33,38.24
2005-07-29,32,39.26
2005-08-05,33,39.05
2005-08-12,31,39.57
2005-08-19,29,38.80
2005-08-26,32,38.50
2005-09-02,31,40.05
2005-09-09,32,41.75
2005-09-16,29,42.27
2005-09-23,31,39.20
2005-09-30,30,39.51
2005-10-07,31,37.65
2005-10-14,31,36.80
2005-10-21,29,44.59
2005-10-28,30,45.06
2005-11-04,28,47.00
2005-11-11,28,47.95
2005-11-18,31,50.69
2005-11-25,32,50.87
2005-12-02,30,52.91
2005-12-09,32,50.81
2005-12-16,31,51.20
2005-12-23,26,51.79
2005-12-30,28,50.34
2006-01-06,30,48.84
2006-01-13,35,53.00
2006-01-20,33,53.54
2006-01-27,35,59.91
2006-02-03,34,59.90
2006-02-10,32,59.90
2006-02-17,33,60.32
2006-02-24,35,59.11
2006-03-03,35,57.86
2006-03-10,36,53.84
2006-03-17,34,56.81
2006-03-24,35,57.24
2006-03-31,35,56.16
2006-04-07,36,55.33
2006-04-14,36,
2006-04-21,34,52.94
2006-04-28,36,52.38
2006-05-05,39,51.97
2006-05-12,36,50.70
2006-05-19,38,46.36
2006-05-26,36,47.10
2006-06-02,37,48.18
2006-06-09,35,46.27
2006-06-16,35,45.10
2006-06-23,33,48.50
2006-06-30,34,47.35
2006-07-07,37,46.20
2006-07-14,36,43.55
2006-07-21,33,41.33
2006-07-28,37,45.04
2006-08-04,38,49.52
2006-08-11,37,51.05
2006-08-18,38,52.69
2006-08-25,38,52.65
2006-09-01,37,53.10
2006-09-08,36,52.63
2006-09-15,35,53.33
2006-09-22,36,53.04
2006-09-29,36,53.39
2006-10-06,36,50.59
2006-10-13,37,49.67
2006-10-20,36,50.26
2006-10-27,34,54.80
2006-11-03,36,53.94
2006-11-10,37,52.56
2006-11-17,37,50.52
2006-11-24,40,49.73
2006-12-01,37,49.71
2006-12-08,39,50.09
2006-12-15,37,49.09
2006-12-22,35,47.35
2006-12-29,38,47.57
2007-01-05,41,47.99
2007-01-12,46,48.67
2007-01-19,46,49.76
2007-01-26,47,45.80
2007-02-02,47,47.74
2007-02-09,45,48.50
2007-02-16,49,49.74
2007-02-23,48,48.60
2007-03-02,46,45.00
2007-03-09,46,46.59
2007-03-16,44,47.31
2007-03-23,45,48.17
2007-03-30,45,47.69
2007-04-06,46,
2007-04-13,46,45.38
2007-04-20,44,45.39
2007-04-27,43,41.66
2007-05-04,46,43.86
2007-05-11,45,42.14
2007-05-18,48,41.50
2007-05-25,47,40.71
2007-06-01,48,39.87
2007-06-08,48,40.76
2007-06-15,50,40.97
2007-06-22,45,40.35
2007-06-29,44,42.51
2007-07-06,46,43.91
2007-07-13,46,44.47
2007-07-20,47,43.60
2007-07-27,46,41.67
2007-08-03,46,41.36
2007-08-10,44,41.98
2007-08-17,45,41.95
2007-08-24,43,41.74
2007-08-31,43,40.39
2007-09-07,43,40.47
2007-09-14,45,39.41
2007-09-21,43,39.28
2007-09-28,44,41.89
2007-10-05,46,44.35
2007-10-12,43,41.90
2007-10-19,44,41.09
2007-10-26,44,48.41
2007-11-02,43,48.60
2007-11-09,44,49.37
2007-11-16,48,49.31
2007-11-23,51,49.22
2007-11-30,48,49.96
2007-12-07,49,49.65
2007-12-14,49,51.29
2007-12-21,49,52.80
2007-12-28,57,52.82
2008-01-04,74,52.06
2008-01-11,76,54.26
2008-01-18,85,51.33
2008-01-25,88,51.82
2008-02-01,86,53.59
2008-02-08,87,51.43
2008-02-15,88,52.61
2008-02-22,83,52.97
2008-02-29,84,52.45
2008-03-07,76,48.45
2008-03-14,82,45.53
2008-03-21,79,
2008-03-28,70,47.18
2008-04-04,70,49.78
2008-04-11,69,46.96
2008-04-18,70,45.43
2008-04-25,69,47.70
2008-05-02,76,46.90
2008-05-09,72,45.89
2008-05-16,74,45.95
2008-05-23,70,45.64
2008-05-30,74,47.54
2008-06-06,69,47.78
2008-06-13,70,51.33
2008-06-20,66,51.28
2008-06-27,63,51.43
2008-07-04,66,
2008-07-11,61,49.98
2008-07-18,59,51.98
2008-07-25,58,58.78
2008-08-01,59,59.15
2008-08-08,57,63.90
2008-08-15,55,64.97
2008-08-22,54,64.15
2008-08-29,54,63.16
2008-09-05,56,62.84
2008-09-12,56,63.03
2008-09-19,56,60.54
2008-09-26,58,61.18
2008-10-03,52,54.56
2008-10-10,57,39.05
2008-10-17,53,43.11
2008-10-24,60,41.76
2008-10-31,58,45.51
2008-11-07,54,43.20
2008-11-14,59,40.69
2008-11-21,64,35.06
2008-11-28,72,40.36
2008-12-05,77,39.35
2008-12-12,74,36.50
2008-12-19,74,34.60
2008-12-26,84,34.00
2009-01-02,85,36.28
2009-01-09,79,32.29
2009-01-16,75,35.63
2009-01-23,83,33.16
2009-01-30,85,37.13
2009-02-06,79,38.89
2009-02-13,78,37.17
2009-02-20,86,34.57
2009-02-27,87,30.51
2009-03-06,83,27.73
2009-03-13,78,31.30
2009-03-20,75,28.78
2009-03-27,73,30.87
2009-04-03,72,29.77
2009-04-10,81,
2009-04-17,75,34.83
2009-04-24,75,33.92
2009-05-01,73,33.28
2009-05-08,74,35.83
2009-05-15,73,35.01
2009-05-22,73,35.40
2009-05-29,72,35.76
2009-06-05,70,36.18
2009-06-12,71,37.84
2009-06-19,70,37.37
2009-06-26,64,35.68
2009-07-03,65,
2009-07-10,68,31.64
2009-07-17,64,32.79
2009-07-24,65,35.20
2009-07-31,68,35.27
2009-08-07,68,36.17
2009-08-14,66,36.80
2009-08-21,66,40.04
2009-08-28,71,40.83
2009-09-04,70,42.90
2009-09-11,69,43.75
2009-09-18,66,43.21
2009-09-25,61,41.60
2009-10-02,61,40.01
2009-10-09,64,40.09
2009-10-16,61,41.36
2009-10-23,64,41.63
2009-10-30,66,40.98
2009-11-06,61,43.49
2009-11-13,60,45.22
2009-11-20,62,45.61
2009-11-27,64,46.83
2009-12-04,63,46.03
2009-12-11,60,46.00
2009-12-18,59,44.98
2009-12-25,61,
2010-01-01,63,
2010-01-08,62,47.39
2010-01-15,60,48.35
2010-01-22,62,48.50
2010-01-29,61,50.29
2010-02-05,63,47.77
2010-02-12,60,47.58
2010-02-19,73,48.36
2010-02-26,67,48.97
2010-03-05,68,52.38
2010-03-12,65,52.84
2010-03-19,66,53.30
2010-03-26,64,55.65
2010-04-02,67,
2010-04-09,66,55.37
2010-04-16,63,56.41
2010-04-23,66,55.44
2010-04-30,65,56.38
2010-05-07,68,50.93
2010-05-14,66,52.83
2010-05-21,64,48.52
2010-05-28,64,50.09
2010-06-04,66,49.50
2010-06-11,68,50.47
2010-06-18,100,53.38
2010-06-25,69,52.67
2010-07-02,65,51.53
2010-07-09,63,53.38
2010-07-16,62,53.51
2010-07-23,63,55.80
2010-07-30,63,55.20
2010-08-06,65,55.80
2010-08-13,67,55.33
2010-08-20,71,54.22
2010-08-27,67,54.20
2010-09-03,68,56.18
2010-09-10,62,58.35
2010-09-17,65,59.19
2010-09-24,64,60.80
2010-10-01,62,60.68
2010-10-08,64,61.58
2010-10-15,68,62.12
2010-10-22,66,61.03
2010-10-29,66,63.22
2010-11-05,64,65.00
2010-11-12,63,64.01
2010-11-19,61,65.00
2010-11-26,69,65.52
2010-12-03,68,69.23
2010-12-10,67,67.73
2010-12-17,67,70.37
2010-12-24,66,
2010-12-31,69,69.28
2011-01-07,70,68.56
2011-01-14,67,70.47
2011-01-21,69,71.41
2011-01-28,69,68.67
2011-02-04,77,67.40
2011-02-11,72,69.11
2011-02-18,76,70.00
2011-02-25,71,68.66
2011-03-04,72,70.50
2011-03-11,70,67.32
2011-03-18,68,65.77
2011-03-25,67,66.52
2011-04-01,68,68.68
2011-04-08,69,68.77
2011-04-15,65,69.75
2011-04-22,66,
2011-04-29,69,70.20
2011-05-06,68,70.24
2011-05-13,65,69.09
2011-05-20,64,68.92
2011-05-27,64,67.01
2011-06-03,67,65.95
2011-06-10,66,65.48
2011-06-17,65,66.20
2011-06-24,62,67.64
2011-07-01,62,70.87
2011-07-08,63,70.77
2011-07-15,62,70.39
2011-07-22,62,70.92
2011-07-29,67,62.76
2011-08-05,65,57.91
2011-08-12,66,55.44
2011-08-19,66,52.48
2011-08-26,66,55.61
2011-09-02,57,53.38
2011-09-09,64,51.56
2011-09-16,64,53.88
2011-09-23,60,49.85
2011-09-30,62,52.16
2011-10-07,62,54.95
2011-10-14,60,56.55
2011-10-21,63,57.68
2011-10-28,64,60.57
2011-11-04,64,57.98
2011-11-11,80,57.90
2011-11-18,65,58.05
2011-11-25,67,56.87
2011-12-02,67,62.83
2011-12-09,69,64.42
2011-12-16,68,63.19
2011-12-23,69,66.21
2011-12-30,64,67.13
2012-01-06,67,68.90
2012-01-13,68,70.05
2012-01-20,64,69.10
2012-01-27,66,66.09
2012-02-03,70,67.77
2012-02-10,66,64.73
2012-02-17,67,66.44
2012-02-24,66,66.56
2012-03-02,67,66.20
2012-03-09,66,67.17
2012-03-16,67,70.57
2012-03-23,64,68.97
2012-03-30,65,68.96
2012-04-06,66,
2012-04-13,67,66.53
2012-04-20,65,67.73
2012-04-27,65,63.40
2012-05-04,63,63.35
2012-05-11,63,64.58
2012-05-18,65,61.29
2012-05-25,68,61.36
2012-06-01,65,57.57
2012-06-08,65,59.47
2012-06-15,66,60.38
2012-06-22,64,59.33
2012-06-29,62,60.77
2012-07-06,63,59.93
2012-07-13,64,57.84
2012-07-20,66,57.08
2012-07-27,68,55.56
2012-08-03,68,55.46
2012-08-10,70,56.85
2012-08-17,67,58.98
2012-08-24,64,59.58
2012-08-31,68,58.79
2012-09-07,68,59.90
2012-09-14,66,61.60
2012-09-21,64,61.08
2012-09-28,65,60.32
2012-10-05,66,61.06
2012-10-12,62,58.29
2012-10-19,61,58.42
2012-10-26,61,66.93
2012-11-02,61,70.15
2012-11-09,62,68.84
2012-11-16,61,67.89
2012-11-23,65,69.42
2012-11-30,62,69.16
2012-12-07,60,70.70
2012-12-14,63,71.00
2012-12-21,62,70.80
2012-12-28,66,69.62
2013-01-04,61,72.72
2013-01-11,65,74.58
2013-01-18,61,75.09
2013-01-25,63,73.41
2013-02-01,61,71.22
2013-02-08,64,71.10
2013-02-15,63,70.05
2013-02-22,63,70.12
2013-03-01,60,70.85
2013-03-08,64,73.82
2013-03-15,62,73.23
2013-03-22,62,72.25
2013-03-29,63,
2013-04-05,60,70.66
2013-04-12,62,72.78
2013-04-19,61,67.29
2013-04-26,60,64.12
2013-05-03,62,65.69
2013-05-10,60,68.75
2013-05-17,62,69.30
2013-05-24,62,67.36
2013-05-31,62,67.01
2013-06-07,62,69.55
2013-06-14,61,68.88
2013-06-21,61,67.61
2013-06-28,58,67.45
2013-07-05,67,67.23
2013-07-12,78,69.37
2013-07-19,81,72.26
2013-07-26,77,73.84
2013-08-02,78,73.01
2013-08-09,69,74.21
2013-08-16,74,71.72
2013-08-23,73,72.65
2013-08-30,74,70.45
2013-09-06,73,71.87
2013-09-13,76,74.55
2013-09-20,73,76.10
2013-09-27,70,74.18
2013-10-04,71,74.94
2013-10-11,66,77.69
2013-10-18,61,78.64
2013-10-25,68,73.20
2013-11-01,67,72.50
2013-11-08,68,73.39
2013-11-15,69,74.59
2013-11-22,70,74.80
2013-11-29,69,78.05
2013-12-06,68,79.32
2013-12-13,72,76.46
2013-12-20,71,76.07
2013-12-27,72,76.91
2014-01-03,72,77.48
2014-01-10,74,80.97
2014-01-17,71,82.40
2014-01-24,80,81.80
2014-01-31,72,81.31
2014-02-07,75,80.31
2014-02-14,77,81.81
2014-02-21,86,83.70
2014-02-28,81,83.83
2014-03-07,75,84.69
2014-03-14,73,84.25
2014-03-21,73,83.84
2014-03-28,80,82.49
2014-04-04,81,84.85
2014-04-11,81,80.06
2014-04-18,77,
2014-04-25,77,78.66
2014-05-02,78,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
