Date,VNO,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,58.65
2004-02-13,0,57.41
2004-02-20,0,57.55
2004-02-27,0,56.90
2004-03-05,0,57.90
2004-03-12,0,57.55
2004-03-19,0,59.50
2004-03-26,0,59.09
2004-04-02,0,59.39
2004-04-09,0,
2004-04-16,0,53.58
2004-04-23,0,52.09
2004-04-30,0,50.45
2004-05-07,0,48.60
2004-05-14,0,50.21
2004-05-21,0,51.07
2004-05-28,0,54.65
2004-06-04,0,55.33
2004-06-11,0,
2004-06-18,0,56.42
2004-06-25,0,57.35
2004-07-02,0,58.71
2004-07-09,0,58.48
2004-07-16,0,59.60
2004-07-23,0,57.67
2004-07-30,0,58.09
2004-08-06,0,59.38
2004-08-13,0,59.41
2004-08-20,0,62.15
2004-08-27,71,62.06
2004-09-03,91,64.60
2004-09-10,79,63.77
2004-09-17,79,65.25
2004-09-24,0,62.60
2004-10-01,0,64.19
2004-10-08,0,64.73
2004-10-15,0,65.57
2004-10-22,0,65.82
2004-10-29,0,67.20
2004-11-05,0,68.00
2004-11-12,0,71.53
2004-11-19,0,70.25
2004-11-26,0,72.95
2004-12-03,58,74.00
2004-12-10,76,74.01
2004-12-17,81,73.77
2004-12-24,86,
2004-12-31,90,76.13
2005-01-07,95,72.65
2005-01-14,100,72.30
2005-01-21,55,72.85
2005-01-28,56,69.05
2005-02-04,56,71.43
2005-02-11,57,71.60
2005-02-18,58,71.71
2005-02-25,50,70.25
2005-03-04,50,72.40
2005-03-11,50,70.60
2005-03-18,50,72.05
2005-03-25,54,
2005-04-01,57,69.43
2005-04-08,61,70.80
2005-04-15,64,72.96
2005-04-22,66,73.53
2005-04-29,68,76.45
2005-05-06,69,76.75
2005-05-13,71,77.46
2005-05-20,59,80.80
2005-05-27,59,78.57
2005-06-03,52,78.00
2005-06-10,52,80.17
2005-06-17,53,79.52
2005-06-24,54,78.97
2005-07-01,55,81.48
2005-07-08,49,83.51
2005-07-15,49,83.67
2005-07-22,49,84.45
2005-07-29,49,88.64
2005-08-05,54,85.39
2005-08-12,63,84.90
2005-08-19,59,85.02
2005-08-26,59,84.58
2005-09-02,59,86.00
2005-09-09,45,86.87
2005-09-16,68,87.74
2005-09-23,43,85.07
2005-09-30,45,86.62
2005-10-07,46,84.15
2005-10-14,41,80.89
2005-10-21,44,79.47
2005-10-28,60,80.28
2005-11-04,61,79.29
2005-11-11,38,82.87
2005-11-18,38,84.82
2005-11-25,40,87.38
2005-12-02,41,86.00
2005-12-09,39,84.69
2005-12-16,39,84.77
2005-12-23,39,84.70
2005-12-30,39,83.47
2006-01-06,39,87.59
2006-01-13,36,87.15
2006-01-20,59,85.62
2006-01-27,66,88.57
2006-02-03,48,86.35
2006-02-10,36,86.62
2006-02-17,36,87.96
2006-02-24,40,89.00
2006-03-03,40,91.12
2006-03-10,58,94.84
2006-03-17,32,98.46
2006-03-24,34,95.41
2006-03-31,57,96.00
2006-04-07,32,96.43
2006-04-14,34,
2006-04-21,36,97.70
2006-04-28,50,95.64
2006-05-05,40,93.80
2006-05-12,63,92.64
2006-05-19,46,89.97
2006-05-26,32,91.54
2006-06-02,32,93.42
2006-06-09,44,94.65
2006-06-16,55,94.87
2006-06-23,51,94.00
2006-06-30,51,97.55
2006-07-07,51,98.35
2006-07-14,51,99.19
2006-07-21,48,101.61
2006-07-28,48,105.10
2006-08-04,44,105.24
2006-08-11,37,100.25
2006-08-18,39,104.15
2006-08-25,41,104.57
2006-09-01,37,106.29
2006-09-08,46,106.71
2006-09-15,45,109.77
2006-09-22,54,109.65
2006-09-29,38,109.00
2006-10-06,46,111.99
2006-10-13,35,113.44
2006-10-20,68,114.96
2006-10-27,47,117.01
2006-11-03,44,114.00
2006-11-10,33,116.53
2006-11-17,25,117.00
2006-11-24,51,125.44
2006-12-01,48,125.74
2006-12-08,39,125.96
2006-12-15,44,123.38
2006-12-22,32,119.96
2006-12-29,37,121.50
2007-01-05,40,119.55
2007-01-12,41,122.98
2007-01-19,33,122.60
2007-01-26,22,124.27
2007-02-02,62,125.35
2007-02-09,48,133.34
2007-02-16,48,133.99
2007-02-23,67,132.00
2007-03-02,46,121.60
2007-03-09,45,124.36
2007-03-16,45,120.91
2007-03-23,38,122.17
2007-03-30,45,119.34
2007-04-06,36,
2007-04-13,36,120.35
2007-04-20,21,121.26
2007-04-27,39,121.17
2007-05-04,27,119.56
2007-05-11,36,119.66
2007-05-18,34,111.49
2007-05-25,44,112.14
2007-06-01,21,120.51
2007-06-08,40,116.62
2007-06-15,30,116.55
2007-06-22,46,109.23
2007-06-29,51,109.84
2007-07-06,47,114.58
2007-07-13,35,114.05
2007-07-20,29,112.33
2007-07-27,44,102.68
2007-08-03,29,105.15
2007-08-10,48,104.30
2007-08-17,34,100.10
2007-08-24,37,106.49
2007-08-31,42,106.59
2007-09-07,46,104.49
2007-09-14,41,105.18
2007-09-21,41,106.54
2007-09-28,38,109.35
2007-10-05,20,115.93
2007-10-12,35,113.52
2007-10-19,31,107.17
2007-10-26,25,111.14
2007-11-02,26,105.46
2007-11-09,24,98.83
2007-11-16,37,96.96
2007-11-23,43,90.83
2007-11-30,32,90.00
2007-12-07,32,91.41
2007-12-14,32,86.18
2007-12-21,42,87.09
2007-12-28,22,86.30
2008-01-04,22,82.79
2008-01-11,38,83.41
2008-01-18,49,81.31
2008-01-25,46,88.47
2008-02-01,35,94.00
2008-02-08,25,86.09
2008-02-15,22,86.86
2008-02-22,37,87.46
2008-02-29,38,83.56
2008-03-07,46,81.00
2008-03-14,46,80.48
2008-03-21,39,
2008-03-28,28,87.62
2008-04-04,48,89.77
2008-04-11,53,87.40
2008-04-18,32,91.98
2008-04-25,35,94.76
2008-05-02,26,96.03
2008-05-09,34,92.48
2008-05-16,33,97.16
2008-05-23,40,94.31
2008-05-30,49,97.73
2008-06-06,38,93.47
2008-06-13,37,94.18
2008-06-20,47,92.27
2008-06-27,26,87.16
2008-07-04,31,
2008-07-11,23,87.66
2008-07-18,27,91.23
2008-07-25,29,92.00
2008-08-01,19,94.41
2008-08-08,32,100.92
2008-08-15,21,102.22
2008-08-22,33,100.20
2008-08-29,33,99.46
2008-09-05,39,100.03
2008-09-12,39,103.84
2008-09-19,39,105.74
2008-09-26,44,94.71
2008-10-03,27,80.30
2008-10-10,34,78.23
2008-10-17,33,66.42
2008-10-24,42,56.80
2008-10-31,46,70.55
2008-11-07,47,67.16
2008-11-14,41,56.28
2008-11-21,31,44.29
2008-11-28,44,53.45
2008-12-05,30,56.26
2008-12-12,41,58.24
2008-12-19,36,60.01
2008-12-26,30,58.98
2009-01-02,32,58.29
2009-01-09,31,55.08
2009-01-16,50,53.49
2009-01-23,35,51.20
2009-01-30,27,50.81
2009-02-06,48,52.91
2009-02-13,38,42.79
2009-02-20,36,40.54
2009-02-27,43,32.73
2009-03-06,35,29.31
2009-03-13,30,37.36
2009-03-20,21,32.23
2009-03-27,31,34.61
2009-04-03,36,40.66
2009-04-10,44,
2009-04-17,28,46.01
2009-04-24,41,48.79
2009-05-01,27,47.53
2009-05-08,31,51.83
2009-05-15,35,44.34
2009-05-22,37,44.95
2009-05-29,40,46.66
2009-06-05,38,48.73
2009-06-12,33,48.54
2009-06-19,24,45.10
2009-06-26,36,44.56
2009-07-03,19,
2009-07-10,26,40.82
2009-07-17,26,43.79
2009-07-24,30,50.53
2009-07-31,33,51.02
2009-08-07,33,59.57
2009-08-14,14,57.24
2009-08-21,32,56.82
2009-08-28,32,57.67
2009-09-04,31,55.05
2009-09-11,26,60.02
2009-09-18,32,68.16
2009-09-25,39,63.46
2009-10-02,29,60.49
2009-10-09,38,63.57
2009-10-16,30,61.28
2009-10-23,38,60.76
2009-10-30,45,59.56
2009-11-06,31,60.98
2009-11-13,46,65.31
2009-11-20,37,64.34
2009-11-27,28,62.05
2009-12-04,35,70.19
2009-12-11,36,69.66
2009-12-18,32,69.55
2009-12-25,32,
2010-01-01,24,
2010-01-08,31,69.50
2010-01-15,37,70.10
2010-01-22,25,64.71
2010-01-29,40,64.68
2010-02-05,32,64.27
2010-02-12,24,62.70
2010-02-19,29,65.62
2010-02-26,32,65.72
2010-03-05,31,69.26
2010-03-12,28,73.80
2010-03-19,21,75.43
2010-03-26,30,76.54
2010-04-02,23,
2010-04-09,23,79.20
2010-04-16,41,76.59
2010-04-23,50,82.51
2010-04-30,25,83.37
2010-05-07,31,76.54
2010-05-14,30,79.55
2010-05-21,38,76.01
2010-05-28,36,77.68
2010-06-04,38,72.10
2010-06-11,33,76.94
2010-06-18,34,79.38
2010-06-25,27,78.68
2010-07-02,27,71.13
2010-07-09,29,75.00
2010-07-16,32,74.67
2010-07-23,25,80.12
2010-07-30,19,82.78
2010-08-06,25,84.85
2010-08-13,30,81.00
2010-08-20,38,81.06
2010-08-27,31,81.58
2010-09-03,33,87.41
2010-09-10,28,84.90
2010-09-17,31,86.53
2010-09-24,30,87.00
2010-10-01,28,85.96
2010-10-08,26,86.95
2010-10-15,45,87.21
2010-10-22,27,91.06
2010-10-29,30,87.39
2010-11-05,37,89.85
2010-11-12,35,83.09
2010-11-19,31,80.22
2010-11-26,37,81.76
2010-12-03,30,82.85
2010-12-10,37,81.77
2010-12-17,35,79.90
2010-12-24,45,
2010-12-31,32,83.33
2011-01-07,25,83.67
2011-01-14,33,86.16
2011-01-21,28,86.61
2011-01-28,37,87.18
2011-02-04,31,86.22
2011-02-11,42,88.99
2011-02-18,35,89.83
2011-02-25,29,89.98
2011-03-04,31,88.31
2011-03-11,30,88.40
2011-03-18,28,85.95
2011-03-25,36,85.55
2011-04-01,34,88.00
2011-04-08,23,87.54
2011-04-15,26,90.77
2011-04-22,34,
2011-04-29,32,96.68
2011-05-06,25,94.00
2011-05-13,34,94.78
2011-05-20,35,95.93
2011-05-27,44,96.63
2011-06-03,30,94.96
2011-06-10,35,91.28
2011-06-17,35,91.48
2011-06-24,33,90.67
2011-07-01,29,94.86
2011-07-08,26,96.59
2011-07-15,23,93.52
2011-07-22,33,98.60
2011-07-29,25,93.55
2011-08-05,28,80.78
2011-08-12,27,82.61
2011-08-19,36,79.02
2011-08-26,32,81.89
2011-09-02,38,83.72
2011-09-09,31,82.10
2011-09-16,30,86.01
2011-09-23,29,78.57
2011-09-30,29,74.62
2011-10-07,34,69.97
2011-10-14,34,76.25
2011-10-21,28,78.50
2011-10-28,34,83.11
2011-11-04,30,80.50
2011-11-11,34,79.98
2011-11-18,31,75.73
2011-11-25,29,70.73
2011-12-02,25,74.00
2011-12-09,35,74.43
2011-12-16,28,74.23
2011-12-23,26,77.10
2011-12-30,23,76.86
2012-01-06,26,76.94
2012-01-13,36,79.34
2012-01-20,35,80.49
2012-01-27,27,81.02
2012-02-03,30,86.01
2012-02-10,31,83.60
2012-02-17,32,84.90
2012-02-24,33,84.73
2012-03-02,32,81.81
2012-03-09,32,80.02
2012-03-16,34,83.82
2012-03-23,30,83.43
2012-03-30,30,84.20
2012-04-06,37,
2012-04-13,33,79.94
2012-04-20,35,83.67
2012-04-27,30,86.00
2012-05-04,26,86.28
2012-05-11,35,87.46
2012-05-18,28,81.28
2012-05-25,33,83.10
2012-06-01,24,80.03
2012-06-08,28,82.64
2012-06-15,22,81.80
2012-06-22,27,80.55
2012-06-29,32,83.98
2012-07-06,31,84.67
2012-07-13,24,85.84
2012-07-20,23,83.48
2012-07-27,29,83.35
2012-08-03,26,85.65
2012-08-10,22,79.89
2012-08-17,24,82.30
2012-08-24,37,82.10
2012-08-31,34,81.17
2012-09-07,40,81.88
2012-09-14,28,85.12
2012-09-21,25,82.32
2012-09-28,34,81.05
2012-10-05,28,80.00
2012-10-12,23,78.49
2012-10-19,31,81.30
2012-10-26,25,79.79
2012-11-02,29,80.94
2012-11-09,30,77.32
2012-11-16,28,73.23
2012-11-23,35,75.61
2012-11-30,28,76.43
2012-12-07,26,76.54
2012-12-14,26,77.28
2012-12-21,34,79.76
2012-12-28,20,79.27
2013-01-04,13,82.25
2013-01-11,21,81.08
2013-01-18,26,84.63
2013-01-25,22,85.45
2013-02-01,22,85.40
2013-02-08,29,84.51
2013-02-15,29,84.89
2013-02-22,24,85.34
2013-03-01,31,80.31
2013-03-08,30,84.24
2013-03-15,28,83.28
2013-03-22,31,81.59
2013-03-29,28,
2013-04-05,30,86.96
2013-04-12,34,87.41
2013-04-19,24,86.02
2013-04-26,31,85.93
2013-05-03,26,86.93
2013-05-10,27,86.27
2013-05-17,29,87.46
2013-05-24,24,84.27
2013-05-31,32,79.95
2013-06-07,24,81.49
2013-06-14,23,82.85
2013-06-21,27,78.33
2013-06-28,23,82.85
2013-07-05,26,84.44
2013-07-12,22,86.96
2013-07-19,22,88.41
2013-07-26,19,87.53
2013-08-02,30,83.38
2013-08-09,25,84.91
2013-08-16,23,81.40
2013-08-23,30,82.96
2013-08-30,22,81.30
2013-09-06,28,82.38
2013-09-13,34,84.55
2013-09-20,31,86.32
2013-09-27,29,84.41
2013-10-04,27,84.52
2013-10-11,28,86.92
2013-10-18,26,89.09
2013-10-25,28,91.11
2013-11-01,28,89.97
2013-11-08,36,88.08
2013-11-15,36,90.03
2013-11-22,27,89.94
2013-11-29,29,87.93
2013-12-06,25,90.75
2013-12-13,26,88.07
2013-12-20,26,88.84
2013-12-27,20,89.90
2014-01-03,24,89.57
2014-01-10,26,91.70
2014-01-17,26,91.78
2014-01-24,23,90.24
2014-01-31,30,91.83
2014-02-07,27,92.38
2014-02-14,31,95.70
2014-02-21,25,94.78
2014-02-28,30,96.29
2014-03-07,27,99.15
2014-03-14,28,97.55
2014-03-21,25,98.36
2014-03-28,29,98.10
2014-04-04,27,99.16
2014-04-11,27,98.15
2014-04-18,27,
2014-04-25,28,100.76
2014-05-02,30,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
