Date,Varian Medical Systems,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,82.90
2004-02-13,0,83.10
2004-02-20,0,83.12
2004-02-27,0,83.74
2004-03-05,0,87.35
2004-03-12,0,87.24
2004-03-19,0,87.01
2004-03-26,0,83.29
2004-04-02,0,88.04
2004-04-09,0,
2004-04-16,0,87.61
2004-04-23,0,92.13
2004-04-30,0,85.84
2004-05-07,0,84.78
2004-05-14,0,81.50
2004-05-21,0,80.45
2004-05-28,0,82.90
2004-06-04,0,82.88
2004-06-11,0,
2004-06-18,0,80.08
2004-06-25,0,77.25
2004-07-02,0,80.00
2004-07-09,0,77.24
2004-07-16,0,66.30
2004-07-23,0,67.35
2004-07-30,0,69.01
2004-08-06,0,31.38
2004-08-13,0,32.12
2004-08-20,0,33.42
2004-08-27,0,33.10
2004-09-03,0,34.42
2004-09-10,0,35.85
2004-09-17,0,35.60
2004-09-24,0,34.57
2004-10-01,0,34.64
2004-10-08,0,38.10
2004-10-15,0,36.70
2004-10-22,0,36.40
2004-10-29,0,40.15
2004-11-05,0,39.98
2004-11-12,0,40.67
2004-11-19,0,39.55
2004-11-26,0,41.35
2004-12-03,0,42.86
2004-12-10,0,43.06
2004-12-17,0,43.38
2004-12-24,0,
2004-12-31,0,43.24
2005-01-07,0,40.43
2005-01-14,0,39.72
2005-01-21,0,38.96
2005-01-28,0,36.90
2005-02-04,0,38.90
2005-02-11,0,37.70
2005-02-18,0,36.22
2005-02-25,0,36.02
2005-03-04,0,36.56
2005-03-11,0,36.60
2005-03-18,0,35.08
2005-03-25,0,
2005-04-01,0,33.44
2005-04-08,0,34.30
2005-04-15,0,32.83
2005-04-22,0,33.15
2005-04-29,0,33.74
2005-05-06,0,33.80
2005-05-13,0,34.50
2005-05-20,0,37.37
2005-05-27,0,38.29
2005-06-03,0,36.30
2005-06-10,0,36.56
2005-06-17,0,37.69
2005-06-24,0,37.04
2005-07-01,0,37.00
2005-07-08,0,37.99
2005-07-15,0,37.68
2005-07-22,0,38.24
2005-07-29,0,39.26
2005-08-05,0,39.05
2005-08-12,0,39.57
2005-08-19,0,38.80
2005-08-26,0,38.50
2005-09-02,0,40.05
2005-09-09,0,41.75
2005-09-16,0,42.27
2005-09-23,0,39.20
2005-09-30,0,39.51
2005-10-07,0,37.65
2005-10-14,0,36.80
2005-10-21,0,44.59
2005-10-28,0,45.06
2005-11-04,0,47.00
2005-11-11,0,47.95
2005-11-18,0,50.69
2005-11-25,0,50.87
2005-12-02,0,52.91
2005-12-09,0,50.81
2005-12-16,0,51.20
2005-12-23,0,51.79
2005-12-30,0,50.34
2006-01-06,0,48.84
2006-01-13,0,53.00
2006-01-20,0,53.54
2006-01-27,0,59.91
2006-02-03,88,59.90
2006-02-10,0,59.90
2006-02-17,0,60.32
2006-02-24,0,59.11
2006-03-03,0,57.86
2006-03-10,0,53.84
2006-03-17,0,56.81
2006-03-24,0,57.24
2006-03-31,0,56.16
2006-04-07,0,55.33
2006-04-14,0,
2006-04-21,0,52.94
2006-04-28,0,52.38
2006-05-05,0,51.97
2006-05-12,0,50.70
2006-05-19,0,46.36
2006-05-26,0,47.10
2006-06-02,0,48.18
2006-06-09,0,46.27
2006-06-16,0,45.10
2006-06-23,0,48.50
2006-06-30,0,47.35
2006-07-07,0,46.20
2006-07-14,0,43.55
2006-07-21,0,41.33
2006-07-28,0,45.04
2006-08-04,0,49.52
2006-08-11,0,51.05
2006-08-18,0,52.69
2006-08-25,0,52.65
2006-09-01,0,53.10
2006-09-08,0,52.63
2006-09-15,0,53.33
2006-09-22,0,53.04
2006-09-29,0,53.39
2006-10-06,0,50.59
2006-10-13,0,49.67
2006-10-20,0,50.26
2006-10-27,0,54.80
2006-11-03,0,53.94
2006-11-10,0,52.56
2006-11-17,0,50.52
2006-11-24,0,49.73
2006-12-01,0,49.71
2006-12-08,0,50.09
2006-12-15,0,49.09
2006-12-22,0,47.35
2006-12-29,0,47.57
2007-01-05,0,47.99
2007-01-12,0,48.67
2007-01-19,0,49.76
2007-01-26,0,45.80
2007-02-02,0,47.74
2007-02-09,0,48.50
2007-02-16,0,49.74
2007-02-23,0,48.60
2007-03-02,0,45.00
2007-03-09,0,46.59
2007-03-16,0,47.31
2007-03-23,49,48.17
2007-03-30,52,47.69
2007-04-06,54,
2007-04-13,57,45.38
2007-04-20,60,45.39
2007-04-27,62,41.66
2007-05-04,0,43.86
2007-05-11,0,42.14
2007-05-18,0,41.50
2007-05-25,0,40.71
2007-06-01,0,39.87
2007-06-08,0,40.76
2007-06-15,44,40.97
2007-06-22,49,40.35
2007-06-29,54,42.51
2007-07-06,58,43.91
2007-07-13,63,44.47
2007-07-20,58,43.60
2007-07-27,58,41.67
2007-08-03,58,41.36
2007-08-10,41,41.98
2007-08-17,41,41.95
2007-08-24,41,41.74
2007-08-31,41,40.39
2007-09-07,41,40.47
2007-09-14,43,39.41
2007-09-21,45,39.28
2007-09-28,47,41.89
2007-10-05,39,44.35
2007-10-12,47,41.90
2007-10-19,55,41.09
2007-10-26,63,48.41
2007-11-02,39,48.60
2007-11-09,39,49.37
2007-11-16,39,49.31
2007-11-23,0,49.22
2007-11-30,0,49.96
2007-12-07,0,49.65
2007-12-14,0,51.29
2007-12-21,0,52.80
2007-12-28,0,52.82
2008-01-04,0,52.06
2008-01-11,0,54.26
2008-01-18,51,51.33
2008-01-25,47,51.82
2008-02-01,38,53.59
2008-02-08,38,51.43
2008-02-15,41,52.61
2008-02-22,36,52.97
2008-02-29,36,52.45
2008-03-07,45,48.45
2008-03-14,32,45.53
2008-03-21,37,
2008-03-28,43,47.18
2008-04-04,48,49.78
2008-04-11,48,46.96
2008-04-18,48,45.43
2008-04-25,42,47.70
2008-05-02,42,46.90
2008-05-09,42,45.89
2008-05-16,38,45.95
2008-05-23,34,45.64
2008-05-30,32,47.54
2008-06-06,40,47.78
2008-06-13,35,51.33
2008-06-20,0,51.28
2008-06-27,0,51.43
2008-07-04,0,
2008-07-11,0,49.98
2008-07-18,0,51.98
2008-07-25,36,58.78
2008-08-01,32,59.15
2008-08-08,32,63.90
2008-08-15,38,64.97
2008-08-22,44,64.15
2008-08-29,37,63.16
2008-09-05,40,62.84
2008-09-12,43,63.03
2008-09-19,46,60.54
2008-09-26,29,61.18
2008-10-03,46,54.56
2008-10-10,62,39.05
2008-10-17,31,43.11
2008-10-24,38,41.76
2008-10-31,54,45.51
2008-11-07,70,43.20
2008-11-14,29,40.69
2008-11-21,42,35.06
2008-11-28,27,40.36
2008-12-05,48,39.35
2008-12-12,43,36.50
2008-12-19,27,34.60
2008-12-26,27,34.00
2009-01-02,28,36.28
2009-01-09,29,32.29
2009-01-16,32,35.63
2009-01-23,35,33.16
2009-01-30,30,37.13
2009-02-06,49,38.89
2009-02-13,29,37.17
2009-02-20,37,34.57
2009-02-27,32,30.51
2009-03-06,34,27.73
2009-03-13,36,31.30
2009-03-20,39,28.78
2009-03-27,28,30.87
2009-04-03,48,29.77
2009-04-10,43,
2009-04-17,42,34.83
2009-04-24,55,33.92
2009-05-01,68,33.28
2009-05-08,55,35.83
2009-05-15,47,35.01
2009-05-22,35,35.40
2009-05-29,44,35.76
2009-06-05,53,36.18
2009-06-12,30,37.84
2009-06-19,46,37.37
2009-06-26,27,35.68
2009-07-03,47,
2009-07-10,71,31.64
2009-07-17,47,32.79
2009-07-24,45,35.20
2009-07-31,100,35.27
2009-08-07,55,36.17
2009-08-14,45,36.80
2009-08-21,49,40.04
2009-08-28,41,40.83
2009-09-04,31,42.90
2009-09-11,52,43.75
2009-09-18,37,43.21
2009-09-25,32,41.60
2009-10-02,36,40.01
2009-10-09,47,40.09
2009-10-16,52,41.36
2009-10-23,43,41.63
2009-10-30,49,40.98
2009-11-06,45,43.49
2009-11-13,38,45.22
2009-11-20,34,45.61
2009-11-27,25,46.83
2009-12-04,31,46.03
2009-12-11,36,46.00
2009-12-18,26,44.98
2009-12-25,26,
2010-01-01,23,
2010-01-08,31,47.39
2010-01-15,38,48.35
2010-01-22,50,48.50
2010-01-29,62,50.29
2010-02-05,42,47.77
2010-02-12,40,47.58
2010-02-19,43,48.36
2010-02-26,34,48.97
2010-03-05,27,52.38
2010-03-12,42,52.84
2010-03-19,45,53.30
2010-03-26,35,55.65
2010-04-02,27,
2010-04-09,32,55.37
2010-04-16,38,56.41
2010-04-23,42,55.44
2010-04-30,44,56.38
2010-05-07,42,50.93
2010-05-14,41,52.83
2010-05-21,54,48.52
2010-05-28,40,50.09
2010-06-04,36,49.50
2010-06-11,36,50.47
2010-06-18,42,53.38
2010-06-25,36,52.67
2010-07-02,56,51.53
2010-07-09,38,53.38
2010-07-16,46,53.51
2010-07-23,36,55.80
2010-07-30,28,55.20
2010-08-06,56,55.80
2010-08-13,23,55.33
2010-08-20,43,54.22
2010-08-27,51,54.20
2010-09-03,40,56.18
2010-09-10,35,58.35
2010-09-17,31,59.19
2010-09-24,29,60.80
2010-10-01,49,60.68
2010-10-08,35,61.58
2010-10-15,36,62.12
2010-10-22,36,61.03
2010-10-29,28,63.22
2010-11-05,31,65.00
2010-11-12,27,64.01
2010-11-19,35,65.00
2010-11-26,27,65.52
2010-12-03,29,69.23
2010-12-10,36,67.73
2010-12-17,21,70.37
2010-12-24,22,
2010-12-31,36,69.28
2011-01-07,38,68.56
2011-01-14,34,70.47
2011-01-21,28,71.41
2011-01-28,37,68.67
2011-02-04,49,67.40
2011-02-11,39,69.11
2011-02-18,34,70.00
2011-02-25,31,68.66
2011-03-04,26,70.50
2011-03-11,31,67.32
2011-03-18,41,65.77
2011-03-25,36,66.52
2011-04-01,44,68.68
2011-04-08,28,68.77
2011-04-15,34,69.75
2011-04-22,25,
2011-04-29,33,70.20
2011-05-06,30,70.24
2011-05-13,25,69.09
2011-05-20,26,68.92
2011-05-27,23,67.01
2011-06-03,24,65.95
2011-06-10,27,65.48
2011-06-17,14,66.20
2011-06-24,31,67.64
2011-07-01,26,70.87
2011-07-08,21,70.77
2011-07-15,21,70.39
2011-07-22,27,70.92
2011-07-29,24,62.76
2011-08-05,27,57.91
2011-08-12,31,55.44
2011-08-19,13,52.48
2011-08-26,36,55.61
2011-09-02,17,53.38
2011-09-09,25,51.56
2011-09-16,40,53.88
2011-09-23,43,49.85
2011-09-30,33,52.16
2011-10-07,34,54.95
2011-10-14,32,56.55
2011-10-21,43,57.68
2011-10-28,41,60.57
2011-11-04,43,57.98
2011-11-11,36,57.90
2011-11-18,32,58.05
2011-11-25,34,56.87
2011-12-02,31,62.83
2011-12-09,28,64.42
2011-12-16,18,63.19
2011-12-23,18,66.21
2011-12-30,15,67.13
2012-01-06,20,68.90
2012-01-13,33,70.05
2012-01-20,33,69.10
2012-01-27,22,66.09
2012-02-03,36,67.77
2012-02-10,33,64.73
2012-02-17,36,66.44
2012-02-24,42,66.56
2012-03-02,24,66.20
2012-03-09,37,67.17
2012-03-16,32,70.57
2012-03-23,35,68.97
2012-03-30,32,68.96
2012-04-06,32,
2012-04-13,32,66.53
2012-04-20,35,67.73
2012-04-27,40,63.40
2012-05-04,40,63.35
2012-05-11,33,64.58
2012-05-18,32,61.29
2012-05-25,24,61.36
2012-06-01,21,57.57
2012-06-08,41,59.47
2012-06-15,33,60.38
2012-06-22,20,59.33
2012-06-29,32,60.77
2012-07-06,30,59.93
2012-07-13,46,57.84
2012-07-20,39,57.08
2012-07-27,42,55.56
2012-08-03,39,55.46
2012-08-10,39,56.85
2012-08-17,48,58.98
2012-08-24,45,59.58
2012-08-31,38,58.79
2012-09-07,32,59.90
2012-09-14,29,61.60
2012-09-21,37,61.08
2012-09-28,37,60.32
2012-10-05,42,61.06
2012-10-12,43,58.29
2012-10-19,37,58.42
2012-10-26,40,66.93
2012-11-02,31,70.15
2012-11-09,31,68.84
2012-11-16,25,67.89
2012-11-23,36,69.42
2012-11-30,36,69.16
2012-12-07,31,70.70
2012-12-14,34,71.00
2012-12-21,28,70.80
2012-12-28,28,69.62
2013-01-04,26,72.72
2013-01-11,35,74.58
2013-01-18,45,75.09
2013-01-25,51,73.41
2013-02-01,44,71.22
2013-02-08,40,71.10
2013-02-15,38,70.05
2013-02-22,31,70.12
2013-03-01,29,70.85
2013-03-08,24,73.82
2013-03-15,34,73.23
2013-03-22,28,72.25
2013-03-29,30,
2013-04-05,35,70.66
2013-04-12,37,72.78
2013-04-19,29,67.29
2013-04-26,41,64.12
2013-05-03,37,65.69
2013-05-10,33,68.75
2013-05-17,42,69.30
2013-05-24,31,67.36
2013-05-31,35,67.01
2013-06-07,31,69.55
2013-06-14,32,68.88
2013-06-21,35,67.61
2013-06-28,28,67.45
2013-07-05,24,67.23
2013-07-12,40,69.37
2013-07-19,40,72.26
2013-07-26,41,73.84
2013-08-02,47,73.01
2013-08-09,28,74.21
2013-08-16,36,71.72
2013-08-23,43,72.65
2013-08-30,37,70.45
2013-09-06,33,71.87
2013-09-13,45,74.55
2013-09-20,34,76.10
2013-09-27,28,74.18
2013-10-04,27,74.94
2013-10-11,27,77.69
2013-10-18,28,78.64
2013-10-25,43,73.20
2013-11-01,35,72.50
2013-11-08,28,73.39
2013-11-15,33,74.59
2013-11-22,23,74.80
2013-11-29,21,78.05
2013-12-06,31,79.32
2013-12-13,31,76.46
2013-12-20,32,76.07
2013-12-27,21,76.91
2014-01-03,20,77.48
2014-01-10,32,80.97
2014-01-17,43,82.40
2014-01-24,35,81.80
2014-01-31,28,81.31
2014-02-07,32,80.31
2014-02-14,33,81.81
2014-02-21,22,83.70
2014-02-28,28,83.83
2014-03-07,36,84.69
2014-03-14,34,84.25
2014-03-21,34,83.84
2014-03-28,34,82.49
2014-04-04,33,84.85
2014-04-11,32,80.06
2014-04-18,31,
2014-04-25,23,78.66
2014-05-02,29,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
