Date,WIN,Price
2004-01-09,100,
2004-01-16,96,
2004-01-23,100,
2004-01-30,95,
2004-02-06,94,
2004-02-13,93,
2004-02-20,94,
2004-02-27,92,
2004-03-05,89,
2004-03-12,90,
2004-03-19,89,
2004-03-26,91,
2004-04-02,83,
2004-04-09,89,
2004-04-16,89,
2004-04-23,84,
2004-04-30,83,
2004-05-07,89,
2004-05-14,84,
2004-05-21,81,
2004-05-28,82,
2004-06-04,85,
2004-06-11,82,
2004-06-18,80,
2004-06-25,84,
2004-07-02,82,
2004-07-09,87,
2004-07-16,84,
2004-07-23,83,
2004-07-30,82,
2004-08-06,84,
2004-08-13,85,
2004-08-20,86,
2004-08-27,85,
2004-09-03,87,
2004-09-10,88,
2004-09-17,85,
2004-09-24,85,
2004-10-01,86,
2004-10-08,84,
2004-10-15,88,
2004-10-22,85,
2004-10-29,87,
2004-11-05,90,
2004-11-12,85,
2004-11-19,81,
2004-11-26,81,
2004-12-03,78,
2004-12-10,77,
2004-12-17,80,
2004-12-24,86,
2004-12-31,89,
2005-01-07,83,
2005-01-14,80,
2005-01-21,82,
2005-01-28,78,
2005-02-04,79,
2005-02-11,79,15.60
2005-02-18,79,16.00
2005-02-25,76,15.69
2005-03-04,75,15.71
2005-03-11,73,15.25
2005-03-18,72,15.01
2005-03-25,74,
2005-04-01,71,14.47
2005-04-08,72,14.39
2005-04-15,70,14.16
2005-04-22,68,13.40
2005-04-29,68,13.50
2005-05-06,70,13.48
2005-05-13,68,12.99
2005-05-20,69,13.68
2005-05-27,67,13.60
2005-06-03,66,14.48
2005-06-10,65,14.20
2005-06-17,66,14.14
2005-06-24,65,14.09
2005-07-01,66,13.80
2005-07-08,68,13.99
2005-07-15,64,14.04
2005-07-22,66,13.77
2005-07-29,66,13.97
2005-08-05,67,13.59
2005-08-12,66,13.75
2005-08-19,67,13.57
2005-08-26,67,13.64
2005-09-02,68,13.91
2005-09-09,66,14.00
2005-09-16,67,14.02
2005-09-23,74,14.00
2005-09-30,73,13.63
2005-10-07,71,12.75
2005-10-14,70,12.50
2005-10-21,68,12.55
2005-10-28,68,12.44
2005-11-04,66,12.39
2005-11-11,65,12.48
2005-11-18,66,11.63
2005-11-25,64,11.55
2005-12-02,62,12.21
2005-12-09,61,12.31
2005-12-16,59,12.13
2005-12-23,62,12.03
2005-12-30,70,11.40
2006-01-06,65,12.18
2006-01-13,63,11.80
2006-01-20,63,11.68
2006-01-27,62,11.83
2006-02-03,61,11.75
2006-02-10,60,11.75
2006-02-17,58,11.90
2006-02-24,59,12.04
2006-03-03,58,12.59
2006-03-10,57,12.50
2006-03-17,56,12.90
2006-03-24,54,13.23
2006-03-31,53,13.16
2006-04-07,55,13.14
2006-04-14,55,
2006-04-21,53,13.35
2006-04-28,53,13.05
2006-05-05,53,13.02
2006-05-12,53,13.20
2006-05-19,52,12.81
2006-05-26,52,12.56
2006-06-02,52,12.24
2006-06-09,54,12.37
2006-06-16,54,12.00
2006-06-23,53,11.90
2006-06-30,51,11.45
2006-07-07,51,11.65
2006-07-14,50,11.53
