Date,WU,Price
2004-01-09,49,
2004-01-16,50,
2004-01-23,52,
2004-01-30,54,
2004-02-06,50,
2004-02-13,50,
2004-02-20,54,
2004-02-27,53,
2004-03-05,52,
2004-03-12,49,
2004-03-19,48,
2004-03-26,48,
2004-04-02,49,
2004-04-09,51,
2004-04-16,50,
2004-04-23,53,
2004-04-30,62,
2004-05-07,59,
2004-05-14,53,
2004-05-21,55,
2004-05-28,55,
2004-06-04,54,
2004-06-11,53,
2004-06-18,45,
2004-06-25,46,
2004-07-02,51,
2004-07-09,49,
2004-07-16,50,
2004-07-23,50,
2004-07-30,52,
2004-08-06,47,
2004-08-13,48,
2004-08-20,54,
2004-08-27,50,
2004-09-03,51,
2004-09-10,55,
2004-09-17,52,
2004-09-24,52,
2004-10-01,50,
2004-10-08,54,
2004-10-15,55,
2004-10-22,54,
2004-10-29,55,
2004-11-05,55,
2004-11-12,51,
2004-11-19,100,
2004-11-26,53,
2004-12-03,51,
2004-12-10,52,
2004-12-17,50,
2004-12-24,49,
2004-12-31,48,
2005-01-07,47,
2005-01-14,51,
2005-01-21,50,
2005-01-28,50,
2005-02-04,44,
2005-02-11,48,
2005-02-18,48,
2005-02-25,51,
2005-03-04,49,
2005-03-11,51,
2005-03-18,51,
2005-03-25,48,
2005-04-01,50,
2005-04-08,45,
2005-04-15,43,
2005-04-22,47,
2005-04-29,43,
2005-05-06,51,
2005-05-13,46,
2005-05-20,45,
2005-05-27,45,
2005-06-03,50,
2005-06-10,45,
2005-06-17,41,
2005-06-24,47,
2005-07-01,44,
2005-07-08,44,
2005-07-15,46,
2005-07-22,45,
2005-07-29,46,
2005-08-05,44,
2005-08-12,46,
2005-08-19,42,
2005-08-26,42,
2005-09-02,44,
2005-09-09,41,
2005-09-16,43,
2005-09-23,46,
2005-09-30,44,
2005-10-07,46,
2005-10-14,47,
2005-10-21,45,
2005-10-28,45,
2005-11-04,47,
2005-11-11,45,
2005-11-18,46,
2005-11-25,43,
2005-12-02,45,
2005-12-09,44,
2005-12-16,46,
2005-12-23,45,
2005-12-30,46,
2006-01-06,44,
2006-01-13,49,
2006-01-20,47,
2006-01-27,46,
2006-02-03,47,
2006-02-10,46,
2006-02-17,46,
2006-02-24,45,
2006-03-03,48,
2006-03-10,45,
2006-03-17,46,
2006-03-24,48,
2006-03-31,47,
2006-04-07,44,
2006-04-14,47,
2006-04-21,45,
2006-04-28,45,
2006-05-05,47,
2006-05-12,46,
2006-05-19,42,
2006-05-26,44,
2006-06-02,44,
2006-06-09,44,
2006-06-16,43,
2006-06-23,46,
2006-06-30,42,
2006-07-07,43,
2006-07-14,43,
2006-07-21,45,
2006-07-28,44,
2006-08-04,42,
2006-08-11,46,
2006-08-18,43,
2006-08-25,42,
2006-09-01,44,
2006-09-08,44,
2006-09-15,43,
2006-09-22,42,
2006-09-29,42,
2006-10-06,46,19.57
2006-10-13,42,18.87
2006-10-20,45,19.63
2006-10-27,43,21.95
2006-11-03,43,21.54
2006-11-10,43,22.83
2006-11-17,43,22.68
2006-11-24,40,22.36
2006-12-01,40,22.85
2006-12-08,38,23.85
2006-12-15,41,22.99
2006-12-22,42,21.98
2006-12-29,41,22.42
2007-01-05,44,22.33
2007-01-12,45,22.79
2007-01-19,44,21.41
2007-01-26,43,20.94
2007-02-02,45,23.02
2007-02-09,43,21.80
2007-02-16,44,22.15
2007-02-23,47,21.89
2007-03-02,47,21.08
2007-03-09,46,21.14
2007-03-16,43,21.61
2007-03-23,43,22.34
2007-03-30,47,21.95
2007-04-06,43,
2007-04-13,43,22.48
2007-04-20,42,23.26
2007-04-27,42,21.71
2007-05-04,45,21.54
2007-05-11,45,21.48
2007-05-18,44,21.64
2007-05-25,46,22.28
2007-06-01,44,22.49
2007-06-08,47,22.16
2007-06-15,46,22.89
2007-06-22,45,20.97
2007-06-29,45,20.83
2007-07-06,48,20.31
2007-07-13,48,20.66
2007-07-20,47,20.67
2007-07-27,45,20.19
2007-08-03,45,19.51
2007-08-10,44,19.64
2007-08-17,42,18.73
2007-08-24,45,19.85
2007-08-31,42,18.83
2007-09-07,40,19.38
2007-09-14,46,20.13
2007-09-21,43,20.42
2007-09-28,41,20.97
2007-10-05,45,20.88
2007-10-12,44,20.13
2007-10-19,44,18.43
2007-10-26,42,21.82
2007-11-02,41,22.13
2007-11-09,44,22.00
2007-11-16,45,22.64
2007-11-23,46,21.68
2007-11-30,49,22.60
2007-12-07,48,22.71
2007-12-14,55,23.66
2007-12-21,52,24.10
2007-12-28,52,23.95
2008-01-04,49,21.94
2008-01-11,49,21.34
2008-01-18,47,21.04
2008-01-25,45,20.47
2008-02-01,44,23.04
2008-02-08,46,21.67
2008-02-15,44,21.37
2008-02-22,45,21.44
2008-02-29,43,20.80
2008-03-07,44,21.28
2008-03-14,43,20.62
2008-03-21,41,
2008-03-28,43,20.98
2008-04-04,44,20.77
2008-04-11,44,20.28
2008-04-18,45,20.56
2008-04-25,44,23.06
2008-05-02,45,23.35
2008-05-09,45,22.97
2008-05-16,44,23.42
2008-05-23,42,22.72
