Date,XRAY,Price
2004-01-09,54,
2004-01-16,61,
2004-01-23,64,
2004-01-30,62,
2004-02-06,57,43.38
2004-02-13,50,43.58
2004-02-20,63,42.92
2004-02-27,54,43.90
2004-03-05,61,45.00
2004-03-12,64,44.37
2004-03-19,57,43.08
2004-03-26,60,43.59
2004-04-02,61,46.29
2004-04-09,55,
2004-04-16,59,46.78
2004-04-23,49,48.98
2004-04-30,58,48.46
2004-05-07,47,48.92
2004-05-14,54,50.03
2004-05-21,55,48.41
2004-05-28,55,49.41
2004-06-04,47,50.22
2004-06-11,44,
2004-06-18,51,50.49
2004-06-25,62,49.47
2004-07-02,54,51.94
2004-07-09,48,51.67
2004-07-16,62,50.43
2004-07-23,59,48.20
2004-07-30,65,48.63
2004-08-06,65,47.95
2004-08-13,57,47.50
2004-08-20,61,49.02
2004-08-27,48,50.04
2004-09-03,55,51.45
2004-09-10,57,51.95
2004-09-17,51,51.47
2004-09-24,53,51.12
2004-10-01,56,53.33
2004-10-08,56,52.60
2004-10-15,58,52.11
2004-10-22,60,52.36
2004-10-29,65,52.01
2004-11-05,60,53.17
2004-11-12,62,54.32
2004-11-19,61,51.31
2004-11-26,55,52.12
2004-12-03,49,53.82
2004-12-10,59,54.85
2004-12-17,54,55.81
2004-12-24,48,
2004-12-31,52,56.20
2005-01-07,64,54.38
2005-01-14,53,55.35
2005-01-21,61,55.30
2005-01-28,59,56.90
2005-02-04,51,57.72
2005-02-11,61,57.01
2005-02-18,54,56.65
2005-02-25,54,55.02
2005-03-04,60,55.58
2005-03-11,54,54.15
2005-03-18,50,52.30
2005-03-25,59,
2005-04-01,44,53.76
2005-04-08,58,55.60
2005-04-15,47,54.94
2005-04-22,59,55.00
2005-04-29,57,54.63
2005-05-06,50,55.57
2005-05-13,58,55.62
2005-05-20,57,56.92
2005-05-27,56,56.07
2005-06-03,53,57.05
2005-06-10,55,56.00
2005-06-17,48,56.04
2005-06-24,60,54.75
2005-07-01,56,54.14
2005-07-08,56,53.17
2005-07-15,51,52.00
2005-07-22,52,51.90
2005-07-29,54,55.75
2005-08-05,49,54.36
2005-08-12,58,53.89
2005-08-19,56,52.15
2005-08-26,49,51.24
2005-09-02,52,53.36
2005-09-09,52,52.96
2005-09-16,56,51.71
2005-09-23,55,53.50
2005-09-30,48,54.02
2005-10-07,58,52.32
2005-10-14,48,51.67
2005-10-21,58,51.68
2005-10-28,52,54.55
2005-11-04,59,56.41
2005-11-11,54,57.79
2005-11-18,56,56.88
2005-11-25,47,56.70
2005-12-02,49,57.20
2005-12-09,54,56.16
2005-12-16,55,55.41
2005-12-23,43,55.16
2005-12-30,49,53.69
2006-01-06,46,54.75
2006-01-13,57,56.27
2006-01-20,52,55.48
2006-01-27,50,54.94
2006-02-03,52,52.78
2006-02-10,57,54.92
2006-02-17,51,55.77
2006-02-24,52,55.74
2006-03-03,55,56.29
2006-03-10,53,56.03
2006-03-17,56,57.41
2006-03-24,51,57.55
2006-03-31,51,58.15
2006-04-07,51,57.54
2006-04-14,45,
2006-04-21,54,59.40
2006-04-28,51,59.67
2006-05-05,64,59.72
2006-05-12,51,59.55
2006-05-19,50,59.23
2006-05-26,61,59.79
2006-06-02,52,62.22
2006-06-09,54,60.43
2006-06-16,47,59.90
2006-06-23,46,60.27
2006-06-30,48,60.60
2006-07-07,45,59.86
2006-07-14,48,58.36
2006-07-21,49,30.14
2006-07-28,53,31.40
2006-08-04,46,31.69
2006-08-11,52,31.88
2006-08-18,52,33.06
2006-08-25,53,32.35
2006-09-01,51,32.79
2006-09-08,46,32.21
2006-09-15,50,31.22
2006-09-22,52,31.83
2006-09-29,58,30.11
2006-10-06,52,31.61
2006-10-13,51,32.26
2006-10-20,51,32.22
2006-10-27,52,31.91
2006-11-03,51,30.51
2006-11-10,53,31.10
2006-11-17,49,32.20
2006-11-24,44,31.98
2006-12-01,54,31.92
2006-12-08,53,31.80
2006-12-15,49,30.94
2006-12-22,51,29.74
2006-12-29,42,29.85
2007-01-05,48,30.08
2007-01-12,46,32.17
2007-01-19,53,30.94
2007-01-26,47,30.29
2007-02-02,56,30.87
2007-02-09,48,32.44
2007-02-16,48,32.82
2007-02-23,53,32.57
2007-03-02,54,30.80
2007-03-09,51,31.28
2007-03-16,50,31.76
2007-03-23,55,33.01
2007-03-30,51,32.75
2007-04-06,51,
2007-04-13,48,33.29
2007-04-20,48,33.09
2007-04-27,48,33.46
2007-05-04,53,36.75
2007-05-11,52,35.90
2007-05-18,52,35.87
2007-05-25,46,35.94
2007-06-01,41,36.34
2007-06-08,49,36.19
2007-06-15,46,36.93
2007-06-22,42,36.99
2007-06-29,47,38.26
2007-07-06,47,39.08
2007-07-13,46,38.79
2007-07-20,53,38.06
2007-07-27,46,36.42
2007-08-03,53,37.19
2007-08-10,49,37.23
2007-08-17,48,37.18
2007-08-24,48,38.32
2007-08-31,47,39.38
2007-09-07,45,40.26
2007-09-14,50,40.50
2007-09-21,51,41.49
2007-09-28,49,41.64
2007-10-05,51,41.34
2007-10-12,54,43.42
2007-10-19,55,41.58
2007-10-26,53,41.95
2007-11-02,58,44.66
2007-11-09,52,42.46
2007-11-16,48,42.30
2007-11-23,51,40.77
2007-11-30,58,42.78
2007-12-07,59,44.50
2007-12-14,51,45.52
2007-12-21,48,45.58
2007-12-28,41,45.11
2008-01-04,46,43.28
2008-01-11,52,46.65
2008-01-18,52,44.89
2008-01-25,49,41.31
2008-02-01,55,41.18
2008-02-08,57,41.05
2008-02-15,56,39.37
2008-02-22,56,39.20
2008-02-29,55,39.04
2008-03-07,54,38.74
2008-03-14,54,36.89
2008-03-21,49,
2008-03-28,50,38.68
2008-04-04,53,39.78
2008-04-11,55,36.85
2008-04-18,59,37.64
2008-04-25,56,37.71
2008-05-02,52,40.69
2008-05-09,47,40.76
2008-05-16,52,42.01
2008-05-23,51,40.59
2008-05-30,46,40.54
2008-06-06,54,39.10
2008-06-13,52,39.05
2008-06-20,53,37.72
2008-06-27,53,37.40
2008-07-04,50,
2008-07-11,52,37.54
2008-07-18,52,39.76
2008-07-25,56,39.82
2008-08-01,51,39.23
2008-08-08,53,40.93
2008-08-15,50,41.68
2008-08-22,53,40.03
2008-08-29,50,39.19
2008-09-05,49,38.25
2008-09-12,49,39.55
2008-09-19,52,39.65
2008-09-26,52,38.76
2008-10-03,53,37.66
2008-10-10,55,30.23
2008-10-17,52,32.54
2008-10-24,57,27.92
2008-10-31,55,30.38
2008-11-07,52,30.00
2008-11-14,52,29.44
2008-11-21,55,25.66
2008-11-28,41,26.08
2008-12-05,48,24.73
2008-12-12,53,26.49
2008-12-19,44,27.06
2008-12-26,40,27.09
2009-01-02,43,29.11
2009-01-09,50,27.41
2009-01-16,54,27.15
2009-01-23,55,26.67
2009-01-30,54,26.91
2009-02-06,50,27.00
2009-02-13,53,26.10
2009-02-20,55,25.86
2009-02-27,56,23.12
2009-03-06,53,22.45
2009-03-13,52,23.92
2009-03-20,52,24.95
2009-03-27,52,27.49
2009-04-03,53,26.33
2009-04-10,56,
2009-04-17,53,27.30
2009-04-24,57,27.01
2009-05-01,56,26.78
2009-05-08,57,29.75
2009-05-15,57,29.53
2009-05-22,52,28.59
2009-05-29,48,29.26
2009-06-05,53,29.51
2009-06-12,51,29.70
2009-06-19,50,30.02
2009-06-26,49,30.93
2009-07-03,43,
2009-07-10,51,28.20
2009-07-17,48,29.08
2009-07-24,50,30.56
2009-07-31,50,33.35
2009-08-07,52,32.83
2009-08-14,52,32.68
2009-08-21,54,34.55
2009-08-28,51,33.78
2009-09-04,53,33.46
2009-09-11,49,34.22
2009-09-18,50,34.65
2009-09-25,52,33.60
2009-10-02,51,33.60
2009-10-09,52,35.61
2009-10-16,55,35.95
2009-10-23,52,35.99
2009-10-30,55,32.96
2009-11-06,53,33.50
2009-11-13,53,33.89
2009-11-20,52,32.86
2009-11-27,44,33.30
2009-12-04,46,34.26
2009-12-11,51,34.64
2009-12-18,48,34.43
2009-12-25,40,
2010-01-01,46,
2010-01-08,52,35.60
2010-01-15,53,35.95
2010-01-22,50,34.44
2010-01-29,52,33.53
2010-02-05,54,32.69
2010-02-12,51,32.64
2010-02-19,54,32.94
2010-02-26,52,33.09
2010-03-05,55,34.33
2010-03-12,56,34.77
2010-03-19,49,34.14
2010-03-26,51,34.17
2010-04-02,53,
2010-04-09,49,34.64
2010-04-16,55,34.95
2010-04-23,50,35.96
2010-04-30,53,36.65
2010-05-07,54,33.81
2010-05-14,51,35.06
2010-05-21,54,33.06
2010-05-28,54,32.43
2010-06-04,51,31.46
2010-06-11,47,31.20
2010-06-18,48,31.72
2010-06-25,48,31.03
2010-07-02,45,29.39
2010-07-09,45,30.22
2010-07-16,48,29.25
2010-07-23,50,29.25
2010-07-30,51,30.02
2010-08-06,55,31.56
2010-08-13,52,30.24
2010-08-20,53,29.46
2010-08-27,51,28.86
2010-09-03,49,29.84
2010-09-10,51,29.87
2010-09-17,52,30.66
2010-09-24,54,31.60
2010-10-01,58,31.96
2010-10-08,52,32.00
2010-10-15,58,31.89
2010-10-22,57,32.63
2010-10-29,60,31.39
2010-11-05,58,31.72
2010-11-12,74,31.12
2010-11-19,71,31.04
2010-11-26,62,31.21
2010-12-03,62,32.45
2010-12-10,61,33.12
2010-12-17,59,34.44
2010-12-24,54,
2010-12-31,53,34.17
2011-01-07,61,34.70
2011-01-14,56,36.29
2011-01-21,59,35.84
2011-01-28,58,35.75
2011-02-04,57,36.40
2011-02-11,57,36.62
2011-02-18,56,36.99
2011-02-25,56,36.74
2011-03-04,57,37.71
2011-03-11,60,37.40
2011-03-18,66,35.21
2011-03-25,62,36.14
2011-04-01,63,36.99
2011-04-08,67,36.49
2011-04-15,61,36.13
2011-04-22,65,
2011-04-29,67,37.55
2011-05-06,64,38.32
2011-05-13,62,38.68
2011-05-20,64,39.28
2011-05-27,64,39.14
2011-06-03,64,37.60
2011-06-10,62,36.74
2011-06-17,62,36.29
2011-06-24,66,37.39
2011-07-01,69,38.52
2011-07-08,62,39.23
2011-07-15,66,39.26
2011-07-22,63,39.54
2011-07-29,65,37.89
2011-08-05,63,34.51
2011-08-12,63,33.84
2011-08-19,67,31.73
2011-08-26,64,34.21
2011-09-02,61,33.97
2011-09-09,64,32.48
2011-09-16,74,34.52
2011-09-23,77,31.24
2011-09-30,68,30.69
2011-10-07,68,31.40
2011-10-14,68,33.17
2011-10-21,71,34.11
2011-10-28,66,38.53
2011-11-04,65,35.79
2011-11-11,69,36.22
2011-11-18,74,33.59
2011-11-25,75,32.80
2011-12-02,72,35.37
2011-12-09,71,36.13
2011-12-16,74,34.66
2011-12-23,66,35.63
2011-12-30,65,34.99
2012-01-06,70,35.19
2012-01-13,76,36.09
2012-01-20,74,38.18
2012-01-27,72,38.07
2012-02-03,70,38.24
2012-02-10,70,37.68
2012-02-17,71,39.05
2012-02-24,71,38.40
2012-03-02,79,39.21
2012-03-09,78,38.61
2012-03-16,75,39.73
2012-03-23,79,39.22
2012-03-30,79,40.13
2012-04-06,78,
2012-04-13,79,39.44
2012-04-20,80,39.73
2012-04-27,77,41.33
2012-05-04,75,39.18
2012-05-11,74,39.26
2012-05-18,70,37.29
2012-05-25,73,38.55
2012-06-01,67,36.26
2012-06-08,70,37.21
2012-06-15,69,37.77
2012-06-22,70,37.48
2012-06-29,70,37.81
2012-07-06,65,36.95
2012-07-13,72,36.39
2012-07-20,69,36.79
2012-07-27,70,37.22
2012-08-03,78,36.95
2012-08-10,83,38.63
2012-08-17,81,38.88
2012-08-24,81,36.70
2012-08-31,100,36.27
2012-09-07,90,37.34
2012-09-14,82,37.66
2012-09-21,77,37.19
2012-09-28,75,38.14
2012-10-05,72,38.05
2012-10-12,69,37.01
2012-10-19,72,36.91
2012-10-26,76,37.16
2012-11-02,78,38.03
2012-11-09,73,38.68
2012-11-16,74,38.45
2012-11-23,70,39.30
2012-11-30,72,39.70
2012-12-07,76,39.28
2012-12-14,69,39.71
2012-12-21,68,40.35
2012-12-28,65,39.01
2013-01-04,68,40.76
2013-01-11,71,39.93
2013-01-18,72,40.85
2013-01-25,66,42.33
2013-02-01,70,42.47
2013-02-08,70,42.87
2013-02-15,70,42.80
2013-02-22,67,41.78
2013-03-01,72,41.16
2013-03-08,68,42.74
2013-03-15,75,42.33
2013-03-22,76,42.01
2013-03-29,74,
2013-04-05,72,40.73
2013-04-12,69,42.04
2013-04-19,68,41.56
2013-04-26,68,41.63
2013-05-03,78,42.66
2013-05-10,70,42.64
2013-05-17,70,42.28
2013-05-24,65,41.15
2013-05-31,66,41.76
2013-06-07,64,41.41
2013-06-14,66,41.01
2013-06-21,67,40.87
2013-06-28,65,40.96
2013-07-05,71,41.83
2013-07-12,75,41.99
2013-07-19,70,42.42
2013-07-26,72,42.15
2013-08-02,69,42.97
2013-08-09,65,42.57
2013-08-16,67,41.98
2013-08-23,66,42.27
2013-08-30,68,41.99
2013-09-06,62,42.84
2013-09-13,66,44.11
2013-09-20,63,44.08
2013-09-27,70,43.39
2013-10-04,66,44.49
2013-10-11,64,44.57
2013-10-18,67,45.70
2013-10-25,67,45.00
2013-11-01,67,47.15
2013-11-08,69,47.81
2013-11-15,67,48.62
2013-11-22,68,47.85
2013-11-29,58,47.56
2013-12-06,62,47.87
2013-12-13,60,47.84
2013-12-20,60,48.43
2013-12-27,55,48.34
2014-01-03,64,48.19
2014-01-10,66,48.95
2014-01-17,70,47.90
2014-01-24,71,45.84
2014-01-31,67,46.14
2014-02-07,67,45.61
2014-02-14,66,46.24
2014-02-21,70,45.00
2014-02-28,70,45.38
2014-03-07,68,46.86
2014-03-14,66,44.86
2014-03-21,67,45.73
2014-03-28,68,45.49
2014-04-04,67,46.85
2014-04-11,66,44.50
2014-04-18,67,
2014-04-25,67,44.34
2014-05-02,62,
