Date,YHOO,Price
2004-01-09,21,
2004-01-16,21,
2004-01-23,20,
2004-01-30,16,
2004-02-06,22,46.49
2004-02-13,20,46.40
2004-02-20,19,46.51
2004-02-27,17,44.34
2004-03-05,17,44.40
2004-03-12,15,43.02
2004-03-19,18,45.75
2004-03-26,15,47.13
2004-04-02,18,50.15
2004-04-09,18,
2004-04-16,21,54.14
2004-04-23,20,56.75
2004-04-30,20,50.53
2004-05-07,16,52.80
2004-05-14,24,26.97
2004-05-21,19,28.55
2004-05-28,19,30.66
2004-06-04,18,31.87
2004-06-11,21,
2004-06-18,18,32.07
2004-06-25,18,34.91
2004-07-02,24,33.94
2004-07-09,25,30.11
2004-07-16,23,29.19
2004-07-23,22,28.19
2004-07-30,22,30.80
2004-08-06,18,26.02
2004-08-13,20,27.49
2004-08-20,20,28.61
2004-08-27,24,29.30
2004-09-03,21,29.46
2004-09-10,20,31.08
2004-09-17,22,33.46
2004-09-24,16,32.58
2004-10-01,23,35.03
2004-10-08,23,34.17
2004-10-15,25,34.52
2004-10-22,22,34.96
2004-10-29,18,36.19
2004-11-05,23,36.35
2004-11-12,24,37.80
2004-11-19,18,36.15
2004-11-26,22,37.81
2004-12-03,20,39.02
2004-12-10,22,38.02
2004-12-17,20,36.77
2004-12-24,25,
2004-12-31,25,37.68
2005-01-07,21,35.96
2005-01-14,20,36.70
2005-01-21,26,35.30
2005-01-28,26,34.62
2005-02-04,23,35.02
2005-02-11,22,34.15
2005-02-18,24,33.60
2005-02-25,25,31.73
2005-03-04,26,32.36
2005-03-11,21,31.65
2005-03-18,27,31.11
2005-03-25,26,
2005-04-01,26,34.28
2005-04-08,37,34.76
2005-04-15,25,32.46
2005-04-22,29,34.87
2005-04-29,26,34.50
2005-05-06,29,34.52
2005-05-13,28,34.82
2005-05-20,31,36.33
2005-05-27,24,37.27
2005-06-03,30,37.92
2005-06-10,26,36.81
2005-06-17,28,36.30
2005-06-24,26,36.09
2005-07-01,28,34.44
