Date,Yahoo Inc.,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,46.49
2004-02-13,0,46.40
2004-02-20,0,46.51
2004-02-27,0,44.34
2004-03-05,0,44.40
2004-03-12,0,43.02
2004-03-19,0,45.75
2004-03-26,0,47.13
2004-04-02,0,50.15
2004-04-09,0,
2004-04-16,0,54.14
2004-04-23,84,56.75
2004-04-30,0,50.53
2004-05-07,0,52.80
2004-05-14,0,26.97
2004-05-21,0,28.55
2004-05-28,0,30.66
2004-06-04,0,31.87
2004-06-11,0,
2004-06-18,82,32.07
2004-06-25,87,34.91
2004-07-02,92,33.94
2004-07-09,96,30.11
2004-07-16,100,29.19
2004-07-23,0,28.19
2004-07-30,0,30.80
2004-08-06,0,26.02
2004-08-13,0,27.49
2004-08-20,0,28.61
2004-08-27,0,29.30
2004-09-03,77,29.46
2004-09-10,78,31.08
2004-09-17,78,33.46
2004-09-24,78,32.58
2004-10-01,79,35.03
2004-10-08,79,34.17
2004-10-15,85,34.52
2004-10-22,0,34.96
2004-10-29,0,36.19
2004-11-05,0,36.35
2004-11-12,0,37.80
2004-11-19,0,36.15
2004-11-26,0,37.81
2004-12-03,0,39.02
2004-12-10,0,38.02
2004-12-17,0,36.77
2004-12-24,0,
2004-12-31,0,37.68
2005-01-07,91,35.96
2005-01-14,98,36.70
2005-01-21,91,35.30
2005-01-28,64,34.62
2005-02-04,64,35.02
2005-02-11,64,34.15
2005-02-18,64,33.60
2005-02-25,82,31.73
2005-03-04,100,32.36
2005-03-11,67,31.65
2005-03-18,83,31.11
2005-03-25,66,
2005-04-01,66,34.28
2005-04-08,66,34.76
2005-04-15,66,32.46
2005-04-22,66,34.87
2005-04-29,62,34.50
2005-05-06,62,34.52
2005-05-13,58,34.82
2005-05-20,74,36.33
2005-05-27,60,37.27
2005-06-03,70,37.92
2005-06-10,75,36.81
2005-06-17,80,36.30
2005-06-24,82,36.09
2005-07-01,88,34.44
2005-07-08,76,34.62
2005-07-15,76,36.58
2005-07-22,76,33.53
2005-07-29,81,33.34
2005-08-05,93,33.52
2005-08-12,75,34.60
2005-08-19,75,34.00
2005-08-26,66,33.57
2005-09-02,86,33.17
2005-09-09,49,33.46
2005-09-16,84,33.17
2005-09-23,72,32.13
2005-09-30,86,33.84
2005-10-07,83,34.16
2005-10-14,69,33.52
2005-10-21,80,35.29
2005-10-28,57,35.58
2005-11-04,63,37.87
2005-11-11,66,38.49
2005-11-18,77,41.54
2005-11-25,44,42.13
2005-12-02,66,41.21
2005-12-09,63,40.31
2005-12-16,59,42.32
2005-12-23,51,40.63
2005-12-30,79,39.18
2006-01-06,65,43.21
2006-01-13,96,39.90
2006-01-20,84,33.74
2006-01-27,62,35.09
2006-02-03,72,33.54
2006-02-10,74,32.51
2006-02-17,55,32.76
2006-02-24,74,33.01
2006-03-03,70,31.45
2006-03-10,68,30.58
2006-03-17,82,30.07
2006-03-24,42,31.77
2006-03-31,63,32.26
2006-04-07,53,32.27
2006-04-14,72,
2006-04-21,73,32.89
2006-04-28,80,32.78
2006-05-05,80,32.66
2006-05-12,52,30.81
2006-05-19,75,29.53
2006-05-26,57,33.02
2006-06-02,57,31.52
2006-06-09,70,30.37
2006-06-16,39,30.36
2006-06-23,38,31.37
2006-06-30,38,33.00
2006-07-07,54,32.50
2006-07-14,49,32.08
2006-07-21,64,25.89
2006-07-28,42,27.47
2006-08-04,66,26.99
2006-08-11,51,27.50
2006-08-18,59,29.78
2006-08-25,49,28.77
2006-09-01,32,29.49
2006-09-08,70,28.14
2006-09-15,71,29.32
2006-09-22,57,25.52
2006-09-29,54,25.28
2006-10-06,66,25.47
2006-10-13,62,24.42
2006-10-20,57,23.21
2006-10-27,40,25.34
2006-11-03,60,26.18
2006-11-10,47,27.39
2006-11-17,49,26.91
2006-11-24,53,28.03
2006-12-01,35,26.49
2006-12-08,46,26.34
2006-12-15,49,26.90
2006-12-22,47,25.55
2006-12-29,38,25.54
2007-01-05,45,27.74
2007-01-12,68,29.45
2007-01-19,62,27.64
2007-01-26,52,28.04
2007-02-02,49,28.77
2007-02-09,41,29.74
2007-02-16,75,31.91
2007-02-23,52,32.10
2007-03-02,30,30.42
2007-03-09,47,29.12
2007-03-16,59,29.88
2007-03-23,47,31.36
2007-03-30,64,31.29
2007-04-06,52,
2007-04-13,55,31.41
2007-04-20,59,27.46
2007-04-27,36,28.34
2007-05-04,53,30.98
2007-05-11,52,30.05
2007-05-18,51,29.75
2007-05-25,44,28.58
2007-06-01,57,28.78
2007-06-08,55,27.39
2007-06-15,52,27.31
2007-06-22,47,27.38
2007-06-29,58,27.13
2007-07-06,30,27.10
2007-07-13,58,26.58
2007-07-20,56,25.35
2007-07-27,61,23.49
2007-08-03,66,22.92
2007-08-10,55,23.94
2007-08-17,51,23.54
2007-08-24,67,23.59
2007-08-31,73,22.73
2007-09-07,54,23.76
2007-09-14,48,24.73
2007-09-21,61,26.05
2007-09-28,52,26.84
2007-10-05,76,27.88
2007-10-12,44,28.48
2007-10-19,38,29.03
2007-10-26,56,33.63
2007-11-02,55,31.11
2007-11-09,52,25.79
2007-11-16,55,26.82
2007-11-23,37,26.13
2007-11-30,50,26.81
2007-12-07,40,25.63
2007-12-14,37,24.06
2007-12-21,34,24.01
2007-12-28,40,23.45
2008-01-04,52,23.16
2008-01-11,60,23.36
2008-01-18,45,20.78
2008-01-25,46,21.94
2008-02-01,56,28.38
2008-02-08,64,29.20
2008-02-15,55,29.66
2008-02-22,60,28.42
2008-02-29,45,27.78
2008-03-07,63,29.03
2008-03-14,41,26.71
2008-03-21,60,
2008-03-28,40,28.99
2008-04-04,50,28.36
2008-04-11,33,28.34
2008-04-18,60,28.43
2008-04-25,55,26.80
2008-05-02,54,28.67
2008-05-09,64,25.93
2008-05-16,62,27.66
2008-05-23,70,27.72
2008-05-30,45,26.76
2008-06-06,66,26.44
2008-06-13,42,23.47
2008-06-20,49,21.99
2008-06-27,58,21.33
2008-07-04,35,
2008-07-11,50,23.57
2008-07-18,48,22.45
2008-07-25,43,21.13
2008-08-01,54,19.80
2008-08-08,42,19.90
2008-08-15,41,20.44
2008-08-22,51,19.53
2008-08-29,38,19.38
2008-09-05,44,18.08
2008-09-12,30,19.08
2008-09-19,30,19.89
2008-09-26,37,18.92
2008-10-03,42,16.00
2008-10-10,56,12.29
2008-10-17,54,12.90
2008-10-24,57,12.10
2008-10-31,49,12.82
2008-11-07,49,12.20
2008-11-14,53,10.82
2008-11-21,42,9.39
2008-11-28,47,11.51
2008-12-05,52,11.66
2008-12-12,45,13.15
2008-12-19,47,13.03
2008-12-26,30,12.34
2009-01-02,44,12.85
2009-01-09,38,13.13
2009-01-16,41,11.59
2009-01-23,31,11.32
2009-01-30,59,11.73
2009-02-06,58,13.63
2009-02-13,34,12.84
2009-02-20,45,12.14
2009-02-27,37,13.23
2009-03-06,56,13.05
2009-03-13,48,13.51
2009-03-20,44,13.60
2009-03-27,43,13.18
2009-04-03,55,13.34
2009-04-10,58,
2009-04-17,44,14.39
2009-04-24,55,14.73
2009-05-01,39,14.14
2009-05-08,64,15.15
2009-05-15,42,14.91
2009-05-22,29,14.98
2009-05-29,31,15.84
2009-06-05,46,16.64
2009-06-12,56,16.40
2009-06-19,33,15.80
2009-06-26,53,15.74
2009-07-03,41,
2009-07-10,53,14.93
2009-07-17,46,16.84
2009-07-24,33,17.48
2009-07-31,34,14.32
2009-08-07,50,14.62
2009-08-14,51,15.04
2009-08-21,48,14.79
2009-08-28,43,14.85
2009-09-04,37,14.50
2009-09-11,53,15.59
2009-09-18,40,17.39
2009-09-25,51,17.08
2009-10-02,41,16.84
2009-10-09,46,16.87
2009-10-16,49,16.81
2009-10-23,36,17.22
2009-10-30,34,15.90
2009-11-06,37,15.94
2009-11-13,48,15.93
2009-11-20,36,15.38
2009-11-27,40,15.00
2009-12-04,51,15.19
2009-12-11,55,15.74
2009-12-18,39,16.14
2009-12-25,30,
2010-01-01,32,
2010-01-08,46,16.70
2010-01-15,37,16.82
2010-01-22,35,15.88
2010-01-29,30,15.01
2010-02-05,41,15.19
2010-02-12,38,15.17
2010-02-19,33,15.58
2010-02-26,42,15.31
2010-03-05,31,16.06
2010-03-12,40,16.32
2010-03-19,40,16.44
2010-03-26,35,16.54
2010-04-02,48,
2010-04-09,35,17.52
2010-04-16,33,18.17
2010-04-23,33,17.64
2010-04-30,39,16.53
2010-05-07,33,15.29
2010-05-14,36,16.39
2010-05-21,35,15.48
2010-05-28,28,15.34
2010-06-04,29,15.00
2010-06-11,32,15.29
2010-06-18,33,15.54
2010-06-25,26,14.81
2010-07-02,30,14.07
2010-07-09,36,14.89
2010-07-16,39,14.90
2010-07-23,31,13.99
2010-07-30,31,13.88
2010-08-06,34,14.34
2010-08-13,31,13.83
2010-08-20,31,13.79
2010-08-27,37,13.43
2010-09-03,28,13.62
2010-09-10,34,13.68
2010-09-17,29,13.89
2010-09-24,41,14.50
2010-10-01,31,14.27
2010-10-08,35,14.49
2010-10-15,37,16.25
2010-10-22,37,16.31
2010-10-29,30,16.49
2010-11-05,30,16.27
2010-11-12,29,16.55
2010-11-19,29,16.57
2010-11-26,27,16.22
2010-12-03,31,16.35
2010-12-10,18,17.01
2010-12-17,22,16.38
2010-12-24,23,
2010-12-31,19,16.63
2011-01-07,25,16.90
2011-01-14,35,16.81
2011-01-21,32,15.97
2011-01-28,32,15.83
2011-02-04,31,16.79
2011-02-11,31,16.85
2011-02-18,26,17.66
2011-02-25,28,16.50
2011-03-04,27,17.08
2011-03-11,27,17.42
2011-03-18,22,16.03
2011-03-25,31,16.96
2011-04-01,35,16.84
2011-04-08,23,16.77
2011-04-15,26,16.62
2011-04-22,23,
2011-04-29,40,17.70
2011-05-06,30,18.65
2011-05-13,24,16.55
2011-05-20,33,16.30
2011-05-27,27,16.02
2011-06-03,26,15.68
2011-06-10,24,15.20
2011-06-17,15,14.70
2011-06-24,27,14.89
2011-07-01,25,15.45
2011-07-08,18,15.61
2011-07-15,15,14.69
2011-07-22,25,13.98
2011-07-29,31,13.10
2011-08-05,25,11.74
2011-08-12,31,13.59
2011-08-19,21,12.92
2011-08-26,25,12.74
2011-09-02,21,12.87
2011-09-09,27,14.48
2011-09-16,21,14.97
2011-09-23,22,14.71
2011-09-30,23,13.17
2011-10-07,25,15.47
2011-10-14,26,15.91
2011-10-21,18,16.12
2011-10-28,19,16.56
2011-11-04,29,15.24
2011-11-11,27,16.27
2011-11-18,32,15.38
2011-11-25,14,15.10
2011-12-02,25,16.05
2011-12-09,24,15.94
2011-12-16,14,14.96
2011-12-23,19,16.19
2011-12-30,16,16.13
2012-01-06,22,15.52
2012-01-13,27,15.48
2012-01-20,18,15.96
2012-01-27,24,15.74
2012-02-03,29,15.92
2012-02-10,23,16.14
2012-02-17,24,15.01
2012-02-24,20,14.89
2012-03-02,22,14.72
2012-03-09,27,14.63
2012-03-16,24,15.18
2012-03-23,19,15.39
2012-03-30,21,15.22
2012-04-06,19,
2012-04-13,21,14.87
2012-04-20,19,15.60
2012-04-27,16,15.57
2012-05-04,21,15.15
2012-05-11,19,15.19
2012-05-18,29,15.42
2012-05-25,18,15.36
2012-06-01,21,14.92
2012-06-08,22,15.65
2012-06-15,26,15.36
2012-06-22,19,15.61
2012-06-29,21,15.83
2012-07-06,15,15.78
2012-07-13,29,15.74
2012-07-20,26,15.92
2012-07-27,20,16.11
2012-08-03,23,15.97
2012-08-10,25,15.15
2012-08-17,20,15.03
2012-08-24,22,14.92
2012-08-31,24,14.65
2012-09-07,22,15.22
2012-09-14,17,15.77
2012-09-21,18,15.74
2012-09-28,21,15.98
2012-10-05,25,16.09
2012-10-12,26,15.88
2012-10-19,23,15.84
2012-10-26,24,16.79
2012-11-02,23,17.11
2012-11-09,23,17.26
2012-11-16,25,17.86
2012-11-23,18,18.57
2012-11-30,20,18.77
2012-12-07,22,19.20
2012-12-14,18,19.64
2012-12-21,22,19.35
2012-12-28,12,19.50
2013-01-04,16,19.86
2013-01-11,22,19.29
2013-01-18,19,20.02
2013-01-25,26,20.37
2013-02-01,20,19.76
2013-02-08,22,20.50
2013-02-15,21,21.02
2013-02-22,18,21.22
2013-03-01,22,21.94
2013-03-08,29,22.90
2013-03-15,23,22.07
2013-03-22,17,23.26
2013-03-29,20,
2013-04-05,21,23.30
2013-04-12,22,24.69
2013-04-19,26,23.47
2013-04-26,24,24.68
2013-05-03,22,25.07
2013-05-10,22,26.83
2013-05-17,21,26.52
2013-05-24,22,26.33
2013-05-31,16,26.30
2013-06-07,23,27.04
2013-06-14,28,26.28
2013-06-21,19,25.19
2013-06-28,25,25.13
2013-07-05,13,25.68
2013-07-12,24,27.23
2013-07-19,21,29.11
2013-07-26,18,28.11
2013-08-02,21,27.65
2013-08-09,19,27.68
2013-08-16,23,27.32
2013-08-23,22,27.99
2013-08-30,20,27.12
2013-09-06,23,28.17
2013-09-13,19,29.26
2013-09-20,25,30.93
2013-09-27,23,33.55
2013-10-04,21,34.89
2013-10-11,18,34.15
2013-10-18,20,33.43
2013-10-25,20,32.25
2013-11-01,20,33.18
2013-11-08,22,33.12
2013-11-15,18,35.47
2013-11-22,17,36.49
2013-11-29,16,36.98
2013-12-06,25,38.86
2013-12-13,17,39.73
2013-12-20,18,40.12
2013-12-27,12,40.49
2014-01-03,12,40.12
2014-01-10,17,41.23
2014-01-17,17,40.01
2014-01-24,21,37.91
2014-01-31,20,36.01
2014-02-07,19,37.23
2014-02-14,20,38.23
2014-02-21,18,37.29
2014-02-28,22,38.67
2014-03-07,20,38.70
2014-03-14,17,37.60
2014-03-21,18,37.94
2014-03-28,18,35.90
2014-04-04,22,34.26
2014-04-11,21,32.87
2014-04-18,15,
2014-04-25,19,34.48
2014-05-02,17,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
