Date,Zoetis,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,0,
2005-02-04,0,
2005-02-11,0,
2005-02-18,0,
2005-02-25,0,
2005-03-04,0,
2005-03-11,0,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,0,
2005-05-13,0,
2005-05-20,0,
2005-05-27,0,
2005-06-03,0,
2005-06-10,0,
2005-06-17,0,
2005-06-24,0,
2005-07-01,0,
2005-07-08,0,
2005-07-15,0,
2005-07-22,0,
2005-07-29,0,
2005-08-05,0,
2005-08-12,0,
2005-08-19,0,
2005-08-26,0,
2005-09-02,0,
2005-09-09,0,
2005-09-16,0,
2005-09-23,0,
2005-09-30,0,
2005-10-07,0,
2005-10-14,0,
2005-10-21,0,
2005-10-28,0,
2005-11-04,0,
2005-11-11,0,
2005-11-18,0,
2005-11-25,0,
2005-12-02,0,
2005-12-09,0,
2005-12-16,0,
2005-12-23,0,
2005-12-30,0,
2006-01-06,0,
2006-01-13,0,
2006-01-20,0,
2006-01-27,0,
2006-02-03,0,
2006-02-10,0,
2006-02-17,0,
2006-02-24,0,
2006-03-03,0,
2006-03-10,0,
2006-03-17,0,
2006-03-24,0,
2006-03-31,0,
2006-04-07,0,
2006-04-14,0,
2006-04-21,0,
2006-04-28,0,
2006-05-05,0,
2006-05-12,0,
2006-05-19,0,
2006-05-26,0,
2006-06-02,0,
2006-06-09,0,
2006-06-16,0,
2006-06-23,0,
2006-06-30,0,
2006-07-07,0,
2006-07-14,0,
2006-07-21,0,
2006-07-28,0,
2006-08-04,0,
2006-08-11,0,
2006-08-18,0,
2006-08-25,0,
2006-09-01,0,
2006-09-08,0,
2006-09-15,0,
2006-09-22,0,
2006-09-29,0,
2006-10-06,0,
2006-10-13,0,
2006-10-20,0,
2006-10-27,0,
2006-11-03,0,
2006-11-10,0,
2006-11-17,0,
2006-11-24,0,
2006-12-01,0,
2006-12-08,0,
2006-12-15,0,
2006-12-22,0,
2006-12-29,0,
2007-01-05,0,
2007-01-12,0,
2007-01-19,0,
2007-01-26,0,
2007-02-02,0,
2007-02-09,0,
2007-02-16,0,
2007-02-23,0,
2007-03-02,0,
2007-03-09,0,
2007-03-16,0,
2007-03-23,0,
2007-03-30,0,
2007-04-06,0,
2007-04-13,0,
2007-04-20,0,
2007-04-27,0,
2007-05-04,0,
2007-05-11,0,
2007-05-18,0,
2007-05-25,0,
2007-06-01,0,
2007-06-08,0,
2007-06-15,0,
2007-06-22,0,
2007-06-29,0,
2007-07-06,0,
2007-07-13,0,
2007-07-20,0,
2007-07-27,0,
2007-08-03,0,
2007-08-10,0,
2007-08-17,0,
2007-08-24,0,
2007-08-31,0,
2007-09-07,0,
2007-09-14,0,
2007-09-21,0,
2007-09-28,0,
2007-10-05,0,
2007-10-12,0,
2007-10-19,0,
2007-10-26,0,
2007-11-02,0,
2007-11-09,0,
2007-11-16,0,
2007-11-23,0,
2007-11-30,0,
2007-12-07,0,
2007-12-14,0,
2007-12-21,0,
2007-12-28,0,
2008-01-04,0,
2008-01-11,0,
2008-01-18,0,
2008-01-25,0,
2008-02-01,0,
2008-02-08,0,
2008-02-15,0,
2008-02-22,0,
2008-02-29,0,
2008-03-07,0,
2008-03-14,0,
2008-03-21,0,
2008-03-28,0,
2008-04-04,0,
2008-04-11,0,
2008-04-18,0,
2008-04-25,0,
2008-05-02,0,
2008-05-09,0,
2008-05-16,0,
2008-05-23,0,
2008-05-30,0,
2008-06-06,0,
2008-06-13,0,
2008-06-20,0,
2008-06-27,0,
2008-07-04,0,
2008-07-11,0,
2008-07-18,0,
2008-07-25,0,
2008-08-01,0,
2008-08-08,0,
2008-08-15,0,
2008-08-22,0,
2008-08-29,0,
2008-09-05,0,
2008-09-12,0,
2008-09-19,0,
2008-09-26,0,
2008-10-03,0,
2008-10-10,0,
2008-10-17,0,
2008-10-24,0,
2008-10-31,0,
2008-11-07,0,
2008-11-14,0,
2008-11-21,0,
2008-11-28,0,
2008-12-05,0,
2008-12-12,0,
2008-12-19,0,
2008-12-26,0,
2009-01-02,0,
2009-01-09,0,
2009-01-16,0,
2009-01-23,0,
2009-01-30,0,
2009-02-06,0,
2009-02-13,0,
2009-02-20,0,
2009-02-27,0,
2009-03-06,0,
2009-03-13,0,
2009-03-20,0,
2009-03-27,0,
2009-04-03,0,
2009-04-10,0,
2009-04-17,0,
2009-04-24,0,
2009-05-01,0,
2009-05-08,0,
2009-05-15,0,
2009-05-22,0,
2009-05-29,0,
2009-06-05,0,
2009-06-12,0,
2009-06-19,0,
2009-06-26,0,
2009-07-03,0,
2009-07-10,0,
2009-07-17,0,
2009-07-24,0,
2009-07-31,0,
2009-08-07,0,
2009-08-14,0,
2009-08-21,0,
2009-08-28,0,
2009-09-04,0,
2009-09-11,0,
2009-09-18,0,
2009-09-25,0,
2009-10-02,0,
2009-10-09,0,
2009-10-16,0,
2009-10-23,0,
2009-10-30,0,
2009-11-06,0,
2009-11-13,0,
2009-11-20,0,
2009-11-27,0,
2009-12-04,0,
2009-12-11,0,
2009-12-18,0,
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,
2010-01-15,0,
2010-01-22,0,
2010-01-29,0,
2010-02-05,0,
2010-02-12,0,
2010-02-19,0,
2010-02-26,0,
2010-03-05,0,
2010-03-12,0,
2010-03-19,0,
2010-03-26,0,
2010-04-02,0,
2010-04-09,0,
2010-04-16,0,
2010-04-23,0,
2010-04-30,0,
2010-05-07,0,
2010-05-14,0,
2010-05-21,0,
2010-05-28,0,
2010-06-04,0,
2010-06-11,0,
2010-06-18,0,
2010-06-25,0,
2010-07-02,0,
2010-07-09,0,
2010-07-16,0,
2010-07-23,0,
2010-07-30,0,
2010-08-06,0,
2010-08-13,0,
2010-08-20,0,
2010-08-27,0,
2010-09-03,0,
2010-09-10,0,
2010-09-17,0,
2010-09-24,0,
2010-10-01,0,
2010-10-08,0,
2010-10-15,0,
2010-10-22,0,
2010-10-29,0,
2010-11-05,0,
2010-11-12,0,
2010-11-19,0,
2010-11-26,0,
2010-12-03,0,
2010-12-10,0,
2010-12-17,0,
2010-12-24,0,
2010-12-31,0,
2011-01-07,0,
2011-01-14,0,
2011-01-21,0,
2011-01-28,0,
2011-02-04,0,
2011-02-11,0,
2011-02-18,0,
2011-02-25,0,
2011-03-04,0,
2011-03-11,0,
2011-03-18,0,
2011-03-25,0,
2011-04-01,0,
2011-04-08,0,
2011-04-15,0,
2011-04-22,0,
2011-04-29,0,
2011-05-06,0,
2011-05-13,0,
2011-05-20,0,
2011-05-27,0,
2011-06-03,0,
2011-06-10,0,
2011-06-17,0,
2011-06-24,0,
2011-07-01,0,
2011-07-08,0,
2011-07-15,0,
2011-07-22,0,
2011-07-29,0,
2011-08-05,0,
2011-08-12,0,
2011-08-19,0,
2011-08-26,0,
2011-09-02,0,
2011-09-09,0,
2011-09-16,0,
2011-09-23,0,
2011-09-30,0,
2011-10-07,0,
2011-10-14,0,
2011-10-21,0,
2011-10-28,0,
2011-11-04,0,
2011-11-11,0,
2011-11-18,0,
2011-11-25,0,
2011-12-02,0,
2011-12-09,0,
2011-12-16,0,
2011-12-23,0,
2011-12-30,0,
2012-01-06,0,
2012-01-13,0,
2012-01-20,0,
2012-01-27,0,
2012-02-03,0,
2012-02-10,0,
2012-02-17,0,
2012-02-24,0,
2012-03-02,0,
2012-03-09,0,
2012-03-16,0,
2012-03-23,0,
2012-03-30,0,
2012-04-06,0,
2012-04-13,0,
2012-04-20,0,
2012-04-27,0,
2012-05-04,0,
2012-05-11,0,
2012-05-18,0,
2012-05-25,0,
2012-06-01,0,
2012-06-08,10,
2012-06-15,6,
2012-06-22,3,
2012-06-29,2,
2012-07-06,2,
2012-07-13,2,
2012-07-20,2,
2012-07-27,3,
2012-08-03,3,
2012-08-10,2,
2012-08-17,6,
2012-08-24,3,
2012-08-31,3,
2012-09-07,3,
2012-09-14,2,
2012-09-21,3,
2012-09-28,3,
2012-10-05,3,
2012-10-12,3,
2012-10-19,4,
2012-10-26,3,
2012-11-02,3,
2012-11-09,4,
2012-11-16,2,
2012-11-23,2,
2012-11-30,2,
2012-12-07,2,
2012-12-14,4,
2012-12-21,3,
2012-12-28,2,
2013-01-04,3,
2013-01-11,3,
2013-01-18,12,
2013-01-25,23,
2013-02-01,90,31.01
2013-02-08,37,33.05
2013-02-15,21,33.98
2013-02-22,22,32.59
2013-03-01,19,34.60
2013-03-08,20,34.09
2013-03-15,22,33.44
2013-03-22,24,33.12
2013-03-29,21,
2013-04-05,19,31.96
2013-04-12,24,33.23
2013-04-19,20,32.71
2013-04-26,20,32.64
2013-05-03,21,33.21
2013-05-10,19,33.18
2013-05-17,23,33.90
2013-05-24,30,33.46
2013-05-31,36,32.00
2013-06-07,83,31.50
2013-06-14,100,30.80
2013-06-21,42,30.60
2013-06-28,31,30.89
2013-07-05,25,30.17
2013-07-12,29,31.35
2013-07-19,26,30.24
2013-07-26,27,30.43
2013-08-02,24,30.94
2013-08-09,28,30.91
2013-08-16,21,30.00
2013-08-23,25,30.20
2013-08-30,21,29.15
2013-09-06,21,30.61
2013-09-13,27,31.05
2013-09-20,25,32.19
2013-09-27,22,31.15
2013-10-04,28,32.05
2013-10-11,23,32.40
2013-10-18,26,33.22
2013-10-25,26,32.47
2013-11-01,23,31.84
2013-11-08,25,31.59
2013-11-15,25,31.81
2013-11-22,25,31.36
2013-11-29,20,31.15
2013-12-06,23,31.54
2013-12-13,24,31.58
2013-12-20,25,32.38
2013-12-27,11,32.67
2014-01-03,14,32.05
2014-01-10,24,32.54
2014-01-17,23,31.73
2014-01-24,28,31.46
2014-01-31,26,30.36
2014-02-07,29,30.70
2014-02-14,27,29.88
2014-02-21,27,29.61
2014-02-28,27,31.02
2014-03-07,25,30.58
2014-03-14,26,29.42
2014-03-21,25,29.26
2014-03-28,31,29.01
2014-04-04,27,29.32
2014-04-11,34,28.40
2014-04-18,25,
2014-04-25,29,30.16
2014-05-02,30,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
