Date,buy ABC,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,55.59
2004-02-13,0,56.61
2004-02-20,0,56.90
2004-02-27,0,58.03
2004-03-05,0,58.34
2004-03-12,0,56.21
2004-03-19,63,53.80
2004-03-26,55,53.50
2004-04-02,55,54.79
2004-04-09,55,
2004-04-16,55,55.43
2004-04-23,55,58.00
2004-04-30,55,57.89
2004-05-07,0,60.89
2004-05-14,0,58.97
2004-05-21,0,57.94
2004-05-28,0,59.98
2004-06-04,0,61.64
2004-06-11,0,
2004-06-18,0,59.75
2004-06-25,0,58.44
2004-07-02,0,55.55
2004-07-09,0,53.09
2004-07-16,0,52.90
2004-07-23,0,55.38
2004-07-30,0,54.06
2004-08-06,0,52.99
2004-08-13,0,49.91
2004-08-20,0,52.78
2004-08-27,52,54.07
2004-09-03,0,56.27
2004-09-10,0,54.50
2004-09-17,0,55.05
2004-09-24,0,54.92
2004-10-01,0,55.02
2004-10-08,66,52.92
2004-10-15,53,52.60
2004-10-22,53,51.75
2004-10-29,53,55.04
2004-11-05,50,57.53
2004-11-12,43,59.00
2004-11-19,43,57.30
2004-11-26,43,57.92
2004-12-03,43,59.83
2004-12-10,64,63.68
2004-12-17,69,61.67
2004-12-24,72,
2004-12-31,44,58.68
2005-01-07,44,57.90
2005-01-14,44,57.27
2005-01-21,44,57.01
2005-01-28,45,58.37
2005-02-04,46,59.60
2005-02-11,47,60.34
2005-02-18,47,60.00
2005-02-25,48,60.00
2005-03-04,50,62.65
2005-03-11,51,60.31
2005-03-18,69,60.86
2005-03-25,36,
2005-04-01,36,56.36
2005-04-08,36,57.83
2005-04-15,36,60.50
2005-04-22,47,60.00
2005-04-29,46,61.28
2005-05-06,37,62.99
2005-05-13,59,63.92
2005-05-20,52,65.97
2005-05-27,36,65.02
2005-06-03,47,65.10
2005-06-10,59,64.56
2005-06-17,35,68.17
2005-06-24,44,67.05
2005-07-01,54,69.35
2005-07-08,44,70.89
2005-07-15,35,70.82
2005-07-22,35,69.31
2005-07-29,50,71.79
2005-08-05,54,72.05
2005-08-12,38,73.00
2005-08-19,66,71.89
2005-08-26,55,72.69
2005-09-02,55,73.83
2005-09-09,55,74.95
2005-09-16,37,78.22
2005-09-23,42,77.10
2005-09-30,47,77.30
2005-10-07,45,75.98
2005-10-14,45,74.81
2005-10-21,46,75.06
2005-10-28,49,75.34
2005-11-04,53,76.50
2005-11-11,50,76.98
2005-11-18,56,78.00
2005-11-25,69,79.39
2005-12-02,35,79.46
2005-12-09,38,81.43
2005-12-16,58,81.93
2005-12-23,82,81.80
2005-12-30,52,41.40
2006-01-06,37,41.00
2006-01-13,55,41.42
2006-01-20,40,41.03
2006-01-27,37,44.08
2006-02-03,47,43.60
2006-02-10,44,43.66
2006-02-17,38,43.97
2006-02-24,37,45.88
2006-03-03,48,45.50
2006-03-10,35,45.76
2006-03-17,26,47.71
2006-03-24,32,47.30
2006-03-31,37,48.27
2006-04-07,30,46.10
2006-04-14,37,
2006-04-21,38,46.89
2006-04-28,39,43.15
2006-05-05,36,43.92
2006-05-12,43,43.98
2006-05-19,22,43.45
2006-05-26,36,44.25
2006-06-02,32,43.73
2006-06-09,34,41.79
2006-06-16,30,41.30
2006-06-23,34,40.97
2006-06-30,27,41.92
2006-07-07,29,42.25
2006-07-14,48,41.69
2006-07-21,44,41.98
2006-07-28,35,43.00
2006-08-04,50,42.72
2006-08-11,40,43.31
2006-08-18,30,43.67
2006-08-25,47,43.72
2006-09-01,35,45.44
2006-09-08,29,44.95
2006-09-15,41,46.41
2006-09-22,39,44.43
2006-09-29,33,45.20
2006-10-06,41,45.95
2006-10-13,29,46.15
2006-10-20,53,46.69
2006-10-27,34,46.73
2006-11-03,49,45.42
2006-11-10,47,45.13
2006-11-17,41,46.97
2006-11-24,82,45.22
2006-12-01,62,45.73
2006-12-08,53,46.00
2006-12-15,74,46.43
2006-12-22,63,44.66
2006-12-29,75,44.96
2007-01-05,51,45.73
2007-01-12,46,47.37
2007-01-19,39,48.01
2007-01-26,39,52.83
2007-02-02,47,52.33
2007-02-09,33,53.51
2007-02-16,48,54.90
2007-02-23,37,55.01
2007-03-02,29,51.68
2007-03-09,40,53.09
2007-03-16,37,51.86
2007-03-23,32,53.89
2007-03-30,58,52.75
2007-04-06,44,
2007-04-13,44,54.35
2007-04-20,36,54.76
2007-04-27,30,50.33
2007-05-04,48,51.32
2007-05-11,43,50.00
2007-05-18,39,51.32
2007-05-25,58,52.20
2007-06-01,43,51.34
2007-06-08,45,51.20
2007-06-15,42,50.49
2007-06-22,22,49.40
2007-06-29,43,49.47
2007-07-06,40,49.93
2007-07-13,31,50.16
2007-07-20,27,48.33
2007-07-27,36,46.33
2007-08-03,43,46.09
2007-08-10,42,45.56
2007-08-17,41,46.15
2007-08-24,41,47.74
2007-08-31,28,47.85
2007-09-07,29,47.10
2007-09-14,52,44.65
2007-09-21,31,45.32
2007-09-28,54,45.33
2007-10-05,39,45.84
2007-10-12,49,45.45
2007-10-19,41,44.27
2007-10-26,34,44.54
2007-11-02,43,43.88
2007-11-09,50,43.72
2007-11-16,53,44.98
2007-11-23,94,43.89
2007-11-30,87,45.37
2007-12-07,60,45.89
2007-12-14,66,42.83
2007-12-21,83,44.55
2007-12-28,92,45.50
2008-01-04,53,43.80
2008-01-11,38,47.31
2008-01-18,37,46.59
2008-01-25,35,44.97
2008-02-01,48,46.63
2008-02-08,37,45.33
2008-02-15,39,43.62
2008-02-22,58,43.07
2008-02-29,65,41.72
2008-03-07,43,41.13
2008-03-14,45,39.18
2008-03-21,34,
2008-03-28,46,40.99
2008-04-04,43,40.91
2008-04-11,38,39.35
2008-04-18,31,40.77
2008-04-25,44,40.93
2008-05-02,45,41.45
2008-05-09,51,41.19
2008-05-16,39,41.13
2008-05-23,54,41.14
2008-05-30,44,41.33
2008-06-06,44,41.12
2008-06-13,37,40.98
2008-06-20,44,39.78
2008-06-27,43,39.21
2008-07-04,39,
2008-07-11,40,38.36
2008-07-18,37,37.86
2008-07-25,41,42.19
2008-08-01,49,42.04
2008-08-08,41,43.15
2008-08-15,35,42.39
2008-08-22,35,42.09
2008-08-29,39,41.01
2008-09-05,42,40.55
2008-09-12,51,41.06
2008-09-19,38,39.43
2008-09-26,36,38.29
2008-10-03,45,37.00
2008-10-10,46,29.45
2008-10-17,53,31.02
2008-10-24,46,30.66
2008-10-31,54,31.27
2008-11-07,56,30.25
2008-11-14,47,29.98
2008-11-21,58,29.75
2008-11-28,93,31.35
2008-12-05,84,30.75
2008-12-12,76,33.06
2008-12-19,54,34.40
2008-12-26,89,34.41
2009-01-02,82,35.57
2009-01-09,65,35.93
2009-01-16,61,37.41
2009-01-23,59,36.07
2009-01-30,55,36.32
2009-02-06,53,38.76
2009-02-13,51,37.35
2009-02-20,51,35.65
2009-02-27,46,31.76
2009-03-06,40,30.71
2009-03-13,33,31.25
2009-03-20,45,30.58
2009-03-27,41,32.29
2009-04-03,42,32.77
2009-04-10,49,
2009-04-17,46,34.84
2009-04-24,43,34.58
2009-05-01,35,34.35
2009-05-08,41,36.29
2009-05-15,38,34.99
2009-05-22,44,36.58
2009-05-29,37,37.10
2009-06-05,44,36.38
2009-06-12,47,36.55
2009-06-19,44,18.31
2009-06-26,40,18.17
2009-07-03,42,
2009-07-10,43,17.72
2009-07-17,40,18.98
2009-07-24,51,19.31
2009-07-31,40,19.72
2009-08-07,47,20.34
2009-08-14,34,20.44
2009-08-21,42,21.05
2009-08-28,48,21.20
2009-09-04,49,21.29
2009-09-11,41,21.66
2009-09-18,40,21.76
2009-09-25,40,21.51
2009-10-02,42,21.62
2009-10-09,51,22.61
2009-10-16,37,23.53
2009-10-23,47,23.19
2009-10-30,46,22.15
2009-11-06,54,23.62
2009-11-13,47,24.60
2009-11-20,50,24.49
2009-11-27,77,24.86
2009-12-04,80,24.67
2009-12-11,75,24.79
2009-12-18,80,26.03
2009-12-25,96,
2010-01-01,55,
2010-01-08,52,26.05
2010-01-15,49,26.92
2010-01-22,51,26.66
2010-01-29,57,27.26
2010-02-05,51,27.01
2010-02-12,58,27.35
2010-02-19,52,28.14
2010-02-26,55,28.04
2010-03-05,51,28.41
2010-03-12,47,27.93
2010-03-19,46,28.68
2010-03-26,38,28.59
2010-04-02,43,
2010-04-09,46,29.47
2010-04-16,36,29.88
2010-04-23,35,31.13
2010-04-30,47,30.85
2010-05-07,56,29.91
2010-05-14,38,31.31
2010-05-21,44,30.83
2010-05-28,41,31.28
2010-06-04,49,30.77
2010-06-11,35,31.92
2010-06-18,41,32.56
2010-06-25,44,31.87
2010-07-02,40,30.92
2010-07-09,51,31.84
2010-07-16,50,32.14
2010-07-23,39,30.53
2010-07-30,48,29.97
2010-08-06,43,30.24
2010-08-13,41,29.04
2010-08-20,51,28.92
2010-08-27,42,27.73
2010-09-03,46,28.08
2010-09-10,59,28.47
2010-09-17,42,30.18
2010-09-24,48,31.35
2010-10-01,49,30.85
2010-10-08,46,31.67
2010-10-15,39,32.29
2010-10-22,46,32.06
2010-10-29,39,32.83
2010-11-05,50,31.68
2010-11-12,48,31.32
2010-11-19,47,31.02
2010-11-26,100,30.89
2010-12-03,77,32.14
2010-12-10,75,32.11
2010-12-17,80,33.18
2010-12-24,84,
2010-12-31,74,34.12
2011-01-07,60,34.93
2011-01-14,55,35.43
2011-01-21,47,36.10
2011-01-28,46,36.00
2011-02-04,52,36.56
2011-02-11,61,36.66
2011-02-18,51,37.79
2011-02-25,51,37.39
2011-03-04,65,37.67
2011-03-11,43,37.02
2011-03-18,46,37.30
2011-03-25,41,39.29
2011-04-01,50,40.35
2011-04-08,44,40.20
2011-04-15,37,39.59
2011-04-22,42,
2011-04-29,41,40.64
2011-05-06,43,41.47
2011-05-13,47,42.04
2011-05-20,42,41.59
2011-05-27,44,41.06
2011-06-03,44,40.35
2011-06-10,37,41.12
2011-06-17,38,41.00
2011-06-24,41,40.14
2011-07-01,43,42.12
2011-07-08,53,42.65
2011-07-15,39,41.99
2011-07-22,47,40.52
2011-07-29,42,38.31
2011-08-05,45,36.81
2011-08-12,53,38.30
2011-08-19,51,37.54
2011-08-26,47,38.48
2011-09-02,46,38.81
2011-09-09,49,38.40
2011-09-16,37,39.31
2011-09-23,49,37.76
2011-09-30,44,37.27
2011-10-07,44,35.78
2011-10-14,43,38.18
2011-10-21,48,39.71
2011-10-28,44,42.08
2011-11-04,52,39.22
2011-11-11,42,39.67
2011-11-18,54,37.28
2011-11-25,98,35.98
2011-12-02,75,37.01
2011-12-09,64,36.37
2011-12-16,66,36.75
2011-12-23,76,37.42
2011-12-30,56,37.19
2012-01-06,48,38.59
2012-01-13,46,37.80
2012-01-20,54,40.09
2012-01-27,56,38.98
2012-02-03,49,39.23
2012-02-10,45,38.60
2012-02-17,50,36.68
2012-02-24,49,37.70
2012-03-02,47,36.59
2012-03-09,51,37.86
2012-03-16,42,38.32
2012-03-23,36,38.96
2012-03-30,41,39.66
2012-04-06,43,
2012-04-13,42,37.53
2012-04-20,37,37.75
2012-04-27,36,36.90
2012-05-04,42,36.17
2012-05-11,36,36.62
2012-05-18,38,35.99
2012-05-25,40,36.90
2012-06-01,40,36.28
2012-06-08,40,37.06
2012-06-15,39,37.29
2012-06-22,41,37.93
2012-06-29,37,39.35
2012-07-06,50,38.76
2012-07-13,42,39.64
2012-07-20,36,39.21
2012-07-27,41,38.66
2012-08-03,43,39.39
2012-08-10,35,38.69
2012-08-17,40,37.54
2012-08-24,36,38.10
2012-08-31,40,38.52
2012-09-07,38,38.18
2012-09-14,45,37.36
2012-09-21,37,38.97
2012-09-28,41,38.71
2012-10-05,34,39.52
2012-10-12,36,39.50
2012-10-19,41,40.28
2012-10-26,51,39.34
2012-11-02,41,40.50
2012-11-09,44,40.47
2012-11-16,50,40.26
2012-11-23,93,41.38
2012-11-30,65,42.22
2012-12-07,51,42.27
2012-12-14,58,43.36
2012-12-21,80,43.64
2012-12-28,65,42.82
2013-01-04,53,43.69
2013-01-11,51,43.84
2013-01-18,37,45.85
2013-01-25,49,45.03
2013-02-01,48,46.53
2013-02-08,46,46.89
2013-02-15,44,46.60
2013-02-22,38,46.95
2013-03-01,37,47.98
2013-03-08,38,48.48
2013-03-15,36,48.89
2013-03-22,34,49.82
2013-03-29,32,
2013-04-05,33,52.08
2013-04-12,33,54.18
2013-04-19,35,55.92
2013-04-26,37,53.26
2013-05-03,28,54.57
2013-05-10,33,54.84
2013-05-17,41,54.99
2013-05-24,35,54.44
2013-05-31,31,54.08
2013-06-07,41,52.94
2013-06-14,41,54.93
2013-06-21,38,54.34
2013-06-28,33,55.83
2013-07-05,40,55.56
2013-07-12,36,58.39
2013-07-19,34,58.81
2013-07-26,43,58.47
2013-08-02,40,58.48
2013-08-09,36,59.49
2013-08-16,40,56.53
2013-08-23,35,57.45
2013-08-30,47,56.92
2013-09-06,38,58.24
2013-09-13,35,60.28
2013-09-20,35,61.65
2013-09-27,34,61.28
2013-10-04,31,62.47
2013-10-11,37,62.65
2013-10-18,37,64.61
2013-10-25,34,65.24
2013-11-01,36,66.38
2013-11-08,36,68.00
2013-11-15,44,69.50
2013-11-22,46,70.02
2013-11-29,73,70.53
2013-12-06,62,70.29
2013-12-13,49,68.45
2013-12-20,58,69.82
2013-12-27,58,70.21
2014-01-03,58,69.94
2014-01-10,43,71.34
2014-01-17,35,70.53
2014-01-24,41,67.25
2014-01-31,38,67.22
2014-02-07,38,66.54
2014-02-14,36,68.00
2014-02-21,35,68.40
2014-02-28,39,67.85
2014-03-07,43,68.94
2014-03-14,38,67.57
2014-03-21,28,64.82
2014-03-28,33,64.82
2014-04-04,33,65.05
2014-04-11,30,64.17
2014-04-18,30,
2014-04-25,32,62.83
2014-05-02,34,
