Date,buy ADS,Price
2004-01-09,3,
2004-01-16,3,
2004-01-23,3,
2004-01-30,3,
2004-02-06,2,30.17
2004-02-13,2,29.53
2004-02-20,3,29.25
2004-02-27,2,29.95
2004-03-05,4,30.20
2004-03-12,2,30.95
2004-03-19,2,32.07
2004-03-26,2,32.86
2004-04-02,3,33.70
2004-04-09,3,
2004-04-16,2,33.37
2004-04-23,2,37.43
2004-04-30,2,34.77
2004-05-07,3,35.58
2004-05-14,3,35.85
2004-05-21,3,35.92
2004-05-28,2,37.01
2004-06-04,2,39.38
2004-06-11,2,
2004-06-18,2,39.84
2004-06-25,2,41.15
2004-07-02,2,41.33
2004-07-09,2,40.23
2004-07-16,2,38.95
2004-07-23,2,37.55
2004-07-30,2,39.71
2004-08-06,2,36.11
2004-08-13,2,36.12
2004-08-20,4,36.92
2004-08-27,3,37.68
2004-09-03,3,38.94
2004-09-10,2,39.62
2004-09-17,2,40.00
2004-09-24,2,40.30
2004-10-01,2,41.44
2004-10-08,2,40.70
2004-10-15,2,43.25
2004-10-22,2,40.64
2004-10-29,2,42.28
2004-11-05,2,41.91
2004-11-12,3,43.00
2004-11-19,3,43.35
2004-11-26,4,42.93
2004-12-03,2,43.67
2004-12-10,2,44.37
2004-12-17,2,47.29
2004-12-24,3,
2004-12-31,3,47.48
2005-01-07,2,46.42
2005-01-14,1,44.04
2005-01-21,2,44.75
2005-01-28,2,43.52
2005-02-04,2,42.46
2005-02-11,2,41.51
2005-02-18,2,39.29
2005-02-25,2,39.45
2005-03-04,2,38.28
2005-03-11,2,38.96
2005-03-18,2,39.83
2005-03-25,2,
2005-04-01,2,41.18
2005-04-08,2,39.58
2005-04-15,2,37.38
2005-04-22,1,42.79
2005-04-29,2,40.40
2005-05-06,2,38.87
2005-05-13,1,35.95
2005-05-20,1,37.95
2005-05-27,2,37.71
2005-06-03,2,37.00
2005-06-10,1,36.90
2005-06-17,1,39.11
2005-06-24,1,39.95
2005-07-01,2,41.00
2005-07-08,2,41.85
2005-07-15,2,43.44
2005-07-22,2,43.55
2005-07-29,2,42.57
2005-08-05,2,41.44
2005-08-12,2,41.81
2005-08-19,2,41.22
2005-08-26,2,41.79
2005-09-02,2,40.65
2005-09-09,1,41.02
2005-09-16,2,40.86
2005-09-23,1,40.66
2005-09-30,2,39.15
2005-10-07,2,37.93
2005-10-14,1,37.62
2005-10-21,2,36.90
2005-10-28,1,34.73
2005-11-04,1,36.04
2005-11-11,2,36.90
2005-11-18,3,37.18
2005-11-25,4,38.76
2005-12-02,2,37.50
2005-12-09,1,36.70
2005-12-16,2,35.85
2005-12-23,2,36.47
2005-12-30,1,35.60
2006-01-06,1,38.81
2006-01-13,2,39.10
2006-01-20,2,40.63
2006-01-27,2,42.45
2006-02-03,2,43.73
2006-02-10,3,43.04
2006-02-17,2,43.56
2006-02-24,3,43.85
2006-03-03,1,43.62
2006-03-10,2,46.01
2006-03-17,1,46.32
2006-03-24,3,46.50
2006-03-31,2,46.77
2006-04-07,2,46.07
2006-04-14,1,
2006-04-21,2,56.07
2006-04-28,2,55.00
2006-05-05,1,54.18
2006-05-12,1,51.33
2006-05-19,2,52.69
2006-05-26,2,54.02
2006-06-02,3,55.17
2006-06-09,1,53.74
2006-06-16,2,55.22
2006-06-23,3,55.80
2006-06-30,2,58.82
2006-07-07,2,57.68
2006-07-14,2,53.98
2006-07-21,1,50.41
2006-07-28,2,51.39
2006-08-04,3,51.77
2006-08-11,2,47.57
2006-08-18,1,52.75
2006-08-25,1,48.55
2006-09-01,1,51.06
2006-09-08,2,51.50
2006-09-15,2,54.80
2006-09-22,2,54.65
2006-09-29,2,55.19
2006-10-06,2,57.33
2006-10-13,1,56.35
2006-10-20,2,60.46
2006-10-27,2,59.95
2006-11-03,2,59.20
2006-11-10,3,62.38
2006-11-17,5,64.83
2006-11-24,10,64.16
2006-12-01,3,64.95
2006-12-08,3,64.09
2006-12-15,2,63.88
2006-12-22,2,61.28
2006-12-29,3,62.47
2007-01-05,3,64.66
2007-01-12,2,65.42
2007-01-19,2,64.04
2007-01-26,2,66.95
2007-02-02,2,66.43
2007-02-09,2,63.56
2007-02-16,1,62.82
2007-02-23,2,62.95
2007-03-02,2,58.65
2007-03-09,2,57.56
2007-03-16,2,59.84
2007-03-23,1,63.39
2007-03-30,2,61.62
2007-04-06,2,
2007-04-13,2,65.54
2007-04-20,2,63.96
2007-04-27,2,64.27
2007-05-04,2,64.33
2007-05-11,2,62.88
2007-05-18,2,78.33
2007-05-25,2,77.75
2007-06-01,2,77.81
2007-06-08,1,77.74
2007-06-15,2,77.30
2007-06-22,1,77.56
2007-06-29,2,77.28
2007-07-06,2,78.16
2007-07-13,1,77.35
2007-07-20,2,77.69
2007-07-27,2,75.33
