Date,buy AFL,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,39.75
2004-02-13,0,40.26
2004-02-20,0,41.13
2004-02-27,0,40.61
2004-03-05,0,40.09
2004-03-12,0,39.87
2004-03-19,0,39.87
2004-03-26,0,39.60
2004-04-02,0,41.44
2004-04-09,0,
2004-04-16,0,41.94
2004-04-23,0,41.68
2004-04-30,0,42.23
2004-05-07,0,40.30
2004-05-14,0,39.75
2004-05-21,0,40.64
2004-05-28,0,40.60
2004-06-04,0,41.07
2004-06-11,0,
2004-06-18,0,40.55
2004-06-25,0,40.40
2004-07-02,0,40.98
2004-07-09,0,40.43
2004-07-16,0,41.09
2004-07-23,0,41.22
2004-07-30,0,39.64
2004-08-06,0,38.21
2004-08-13,0,38.18
2004-08-20,0,39.88
2004-08-27,0,39.99
2004-09-03,0,40.37
2004-09-10,0,40.00
2004-09-17,0,39.85
2004-09-24,0,38.73
2004-10-01,0,40.15
2004-10-08,0,39.76
2004-10-15,0,38.93
2004-10-22,0,37.56
2004-10-29,0,35.88
2004-11-05,0,36.88
2004-11-12,0,37.25
2004-11-19,0,37.40
2004-11-26,0,37.70
2004-12-03,0,39.43
2004-12-10,0,39.22
2004-12-17,0,39.59
2004-12-24,0,
2004-12-31,0,39.84
2005-01-07,0,39.69
2005-01-14,0,39.65
2005-01-21,0,39.61
2005-01-28,0,39.07
2005-02-04,0,38.88
2005-02-11,0,38.94
2005-02-18,0,38.67
2005-02-25,0,38.72
2005-03-04,0,39.19
2005-03-11,0,38.41
2005-03-18,0,38.13
2005-03-25,0,
2005-04-01,0,37.10
2005-04-08,0,37.08
2005-04-15,0,35.70
2005-04-22,0,36.61
2005-04-29,0,40.65
2005-05-06,0,40.79
2005-05-13,0,39.68
2005-05-20,0,40.22
2005-05-27,0,41.40
2005-06-03,0,42.29
2005-06-10,0,42.21
2005-06-17,0,43.72
2005-06-24,0,43.05
2005-07-01,0,43.87
2005-07-08,0,44.60
2005-07-15,0,44.44
2005-07-22,0,43.75
2005-07-29,0,45.10
2005-08-05,0,43.70
2005-08-12,0,43.73
2005-08-19,0,43.48
2005-08-26,0,43.93
2005-09-02,0,43.68
2005-09-09,0,45.07
2005-09-16,0,45.75
2005-09-23,0,44.41
2005-09-30,0,45.30
2005-10-07,0,45.02
2005-10-14,0,45.07
2005-10-21,0,45.87
2005-10-28,0,47.51
2005-11-04,0,47.77
2005-11-11,0,49.26
2005-11-18,0,48.64
2005-11-25,0,48.55
2005-12-02,0,48.00
2005-12-09,0,46.87
2005-12-16,0,47.57
2005-12-23,0,46.88
2005-12-30,0,46.42
2006-01-06,0,48.90
2006-01-13,0,48.72
2006-01-20,0,47.17
2006-01-27,0,47.50
2006-02-03,0,47.16
2006-02-10,0,46.95
2006-02-17,0,47.00
2006-02-24,0,47.00
2006-03-03,0,45.97
2006-03-10,0,45.90
2006-03-17,0,46.84
2006-03-24,0,46.44
2006-03-31,0,45.13
2006-04-07,0,45.02
2006-04-14,0,
2006-04-21,0,46.06
2006-04-28,0,47.54
2006-05-05,0,48.68
2006-05-12,0,47.28
2006-05-19,0,46.94
2006-05-26,0,46.78
2006-06-02,0,47.27
2006-06-09,0,47.31
2006-06-16,0,46.46
2006-06-23,0,45.34
2006-06-30,0,46.35
2006-07-07,0,45.93
2006-07-14,0,44.57
2006-07-21,0,44.92
2006-07-28,0,44.17
2006-08-04,0,43.38
2006-08-11,0,43.23
2006-08-18,0,43.31
2006-08-25,0,43.75
2006-09-01,0,44.73
2006-09-08,0,44.58
2006-09-15,0,44.89
2006-09-22,0,45.23
2006-09-29,0,45.76
2006-10-06,0,45.85
2006-10-13,0,45.30
2006-10-20,0,45.23
2006-10-27,0,45.08
2006-11-03,0,44.76
2006-11-10,0,44.45
2006-11-17,0,44.47
2006-11-24,0,44.31
2006-12-01,0,43.75
2006-12-08,0,44.25
2006-12-15,0,45.01
2006-12-22,0,45.50
2006-12-29,0,46.00
2007-01-05,0,45.80
2007-01-12,0,48.39
2007-01-19,0,47.77
2007-01-26,0,46.95
2007-02-02,0,48.70
2007-02-09,0,47.71
2007-02-16,0,47.99
2007-02-23,0,48.59
2007-03-02,0,46.71
2007-03-09,0,46.23
2007-03-16,0,45.79
2007-03-23,0,47.64
2007-03-30,0,47.06
2007-04-06,0,
2007-04-13,0,47.78
2007-04-20,0,49.10
2007-04-27,0,51.25
2007-05-04,0,52.66
2007-05-11,0,52.08
2007-05-18,0,51.80
2007-05-25,0,52.30
2007-06-01,0,53.04
2007-06-08,0,52.32
2007-06-15,0,52.74
2007-06-22,0,52.68
2007-06-29,0,51.40
2007-07-06,0,52.18
2007-07-13,0,52.48
2007-07-20,0,51.26
2007-07-27,0,52.87
2007-08-03,0,51.38
2007-08-10,0,53.90
2007-08-17,0,53.12
2007-08-24,0,54.27
2007-08-31,0,53.31
2007-09-07,0,53.09
2007-09-14,0,54.20
2007-09-21,0,55.22
2007-09-28,0,57.04
2007-10-05,0,57.83
2007-10-12,0,57.84
2007-10-19,0,56.67
2007-10-26,0,61.86
2007-11-02,0,62.35
2007-11-09,0,59.13
2007-11-16,0,60.66
2007-11-23,0,61.82
2007-11-30,0,62.64
2007-12-07,0,61.70
2007-12-14,0,60.17
2007-12-21,0,62.26
2007-12-28,0,62.49
2008-01-04,0,62.36
2008-01-11,0,65.28
2008-01-18,0,59.60
2008-01-25,0,60.90
2008-02-01,0,60.70
2008-02-08,0,60.00
2008-02-15,0,62.18
2008-02-22,0,63.20
2008-02-29,0,62.41
2008-03-07,0,61.69
2008-03-14,0,61.21
2008-03-21,0,
2008-03-28,0,64.32
2008-04-04,0,65.10
2008-04-11,0,66.21
2008-04-18,36,67.88
2008-04-25,39,67.72
2008-05-02,42,67.14
2008-05-09,0,65.71
2008-05-16,0,67.47
2008-05-23,0,66.16
2008-05-30,0,67.13
2008-06-06,0,65.44
2008-06-13,0,67.41
2008-06-20,0,65.50
2008-06-27,0,63.05
2008-07-04,0,
2008-07-11,0,60.72
2008-07-18,0,60.41
2008-07-25,38,54.90
2008-08-01,0,55.00
2008-08-08,0,55.59
2008-08-15,0,55.31
2008-08-22,0,55.28
2008-08-29,0,56.70
2008-09-05,0,57.68
2008-09-12,36,58.60
2008-09-19,33,63.58
2008-09-26,33,59.88
2008-10-03,0,52.12
2008-10-10,0,39.50
2008-10-17,0,43.14
2008-10-24,0,38.87
2008-10-31,0,44.28
2008-11-07,0,46.29
2008-11-14,0,41.77
2008-11-21,0,33.71
2008-11-28,0,46.30
2008-12-05,0,44.36
2008-12-12,0,41.44
2008-12-19,0,45.35
2008-12-26,0,43.89
2009-01-02,0,46.28
2009-01-09,0,43.74
2009-01-16,0,39.80
2009-01-23,0,24.49
2009-01-30,0,23.21
2009-02-06,0,21.80
2009-02-13,0,20.51
2009-02-20,0,17.01
2009-02-27,28,16.76
2009-03-06,29,13.44
2009-03-13,29,14.58
2009-03-20,29,18.38
2009-03-27,30,19.81
2009-04-03,30,21.05
2009-04-10,31,
2009-04-17,31,28.70
2009-04-24,27,28.62
2009-05-01,30,29.32
2009-05-08,32,37.66
2009-05-15,35,32.14
2009-05-22,37,34.48
2009-05-29,40,35.50
2009-06-05,0,33.52
2009-06-12,0,32.81
2009-06-19,0,31.10
2009-06-26,0,31.82
2009-07-03,0,
2009-07-10,0,28.65
2009-07-17,36,31.50
2009-07-24,33,35.87
2009-07-31,33,37.86
2009-08-07,27,41.70
2009-08-14,33,42.06
2009-08-21,38,41.87
2009-08-28,43,40.70
2009-09-04,48,38.20
2009-09-11,30,40.86
2009-09-18,47,42.75
2009-09-25,64,40.69
2009-10-02,0,41.10
2009-10-09,0,45.01
2009-10-16,0,45.20
2009-10-23,0,44.41
2009-10-30,0,41.49
2009-11-06,0,42.19
2009-11-13,0,44.64
2009-11-20,0,44.10
2009-11-27,0,43.65
2009-12-04,0,45.83
2009-12-11,0,46.55
2009-12-18,25,46.16
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,49.41
2010-01-15,0,51.11
2010-01-22,0,49.10
2010-01-29,0,48.43
2010-02-05,0,47.65
2010-02-12,0,47.14
2010-02-19,0,49.04
2010-02-26,0,49.45
2010-03-05,0,51.51
2010-03-12,0,52.69
2010-03-19,0,54.10
2010-03-26,39,53.47
2010-04-02,44,
2010-04-09,33,55.76
2010-04-16,25,54.42
2010-04-23,31,55.47
2010-04-30,25,50.96
2010-05-07,21,44.27
2010-05-14,39,45.90
2010-05-21,34,43.39
2010-05-28,26,44.30
2010-06-04,28,41.33
2010-06-11,24,42.79
2010-06-18,29,44.40
2010-06-25,29,43.59
2010-07-02,30,43.12
2010-07-09,31,48.08
2010-07-16,32,46.26
2010-07-23,24,50.51
2010-07-30,26,49.19
2010-08-06,25,50.75
2010-08-13,36,47.76
2010-08-20,37,46.63
2010-08-27,31,47.82
2010-09-03,45,50.94
2010-09-10,33,50.77
2010-09-17,46,51.78
2010-09-24,100,52.35
2010-10-01,67,52.06
2010-10-08,42,54.35
2010-10-15,0,54.52
2010-10-22,0,55.46
2010-10-29,0,55.89
2010-11-05,0,57.76
2010-11-12,0,54.65
2010-11-19,0,54.65
2010-11-26,0,51.55
2010-12-03,0,54.42
2010-12-10,0,56.12
2010-12-17,0,55.56
2010-12-24,0,
2010-12-31,0,56.43
2011-01-07,21,55.85
2011-01-14,19,57.67
2011-01-21,19,58.11
2011-01-28,19,56.99
2011-02-04,20,57.47
2011-02-11,21,57.22
2011-02-18,24,59.08
2011-02-25,22,57.84
2011-03-04,22,57.42
2011-03-11,19,55.55
2011-03-18,25,50.67
2011-03-25,34,52.65
2011-04-01,31,53.50
2011-04-08,38,53.66
2011-04-15,40,52.25
2011-04-22,45,
2011-04-29,44,56.19
2011-05-06,47,55.09
2011-05-13,31,54.02
2011-05-20,25,49.57
2011-05-27,33,48.00
2011-06-03,46,46.47
2011-06-10,29,44.86
2011-06-17,31,45.02
2011-06-24,27,44.30
2011-07-01,39,47.43
2011-07-08,32,46.51
2011-07-15,28,45.35
2011-07-22,44,46.21
2011-07-29,33,46.06
2011-08-05,30,41.72
2011-08-12,37,37.35
2011-08-19,32,34.61
2011-08-26,19,35.54
2011-09-02,40,34.99
2011-09-09,34,33.83
2011-09-16,41,36.33
2011-09-23,33,31.46
2011-09-30,51,34.95
2011-10-07,25,36.63
2011-10-14,18,41.30
2011-10-21,19,42.72
2011-10-28,13,46.74
2011-11-04,13,45.29
2011-11-11,13,44.87
2011-11-18,13,41.98
2011-11-25,0,39.05
2011-12-02,0,43.71
2011-12-09,0,43.78
2011-12-16,0,40.91
2011-12-23,0,43.08
2011-12-30,15,43.26
2012-01-06,13,44.24
2012-01-13,15,43.18
2012-01-20,18,47.91
2012-01-27,19,49.04
2012-02-03,20,49.98
2012-02-10,21,48.33
2012-02-17,15,48.01
2012-02-24,15,46.90
2012-03-02,15,47.08
2012-03-09,30,45.16
2012-03-16,18,46.87
2012-03-23,21,45.72
2012-03-30,41,45.99
2012-04-06,45,
2012-04-13,35,42.88
2012-04-20,30,41.62
2012-04-27,32,45.17
2012-05-04,31,43.48
2012-05-11,36,43.36
2012-05-18,39,39.07
2012-05-25,34,39.22
2012-06-01,50,38.65
2012-06-08,37,40.64
2012-06-15,28,41.98
2012-06-22,40,41.11
2012-06-29,41,42.59
2012-07-06,33,42.63
2012-07-13,38,43.60
2012-07-20,42,43.28
2012-07-27,39,43.49
2012-08-03,34,44.58
2012-08-10,37,45.86
2012-08-17,53,46.12
2012-08-24,41,46.18
2012-08-31,39,46.18
2012-09-07,44,48.29
2012-09-14,37,49.66
2012-09-21,50,48.18
2012-09-28,55,47.88
2012-10-05,19,48.61
2012-10-12,22,48.14
2012-10-19,19,49.69
2012-10-26,19,49.58
2012-11-02,19,50.63
2012-11-09,19,49.62
2012-11-16,12,50.41
2012-11-23,12,51.89
2012-11-30,14,52.99
2012-12-07,18,53.58
2012-12-14,16,53.23
2012-12-21,14,53.81
2012-12-28,13,52.25
2013-01-04,14,52.04
2013-01-11,15,52.93
2013-01-18,17,51.47
2013-01-25,19,53.48
2013-02-01,21,53.06
2013-02-08,23,50.35
2013-02-15,17,49.34
2013-02-22,20,50.07
2013-03-01,11,50.19
2013-03-08,14,50.14
2013-03-15,16,51.08
2013-03-22,33,51.85
2013-03-29,30,
2013-04-05,29,49.49
2013-04-12,44,50.11
2013-04-19,50,49.39
2013-04-26,39,53.20
2013-05-03,39,55.36
2013-05-10,36,53.95
2013-05-17,40,55.24
2013-05-24,39,54.95
2013-05-31,45,55.69
2013-06-07,37,57.03
2013-06-14,29,57.51
2013-06-21,32,56.66
2013-06-28,40,58.12
2013-07-05,32,57.16
2013-07-12,32,59.14
2013-07-19,22,59.39
2013-07-26,34,61.09
2013-08-02,45,62.26
2013-08-09,34,61.52
2013-08-16,25,60.54
2013-08-23,37,59.83
2013-08-30,45,57.79
2013-09-06,36,58.38
2013-09-13,42,61.04
2013-09-20,53,62.32
2013-09-27,53,62.21
2013-10-04,22,63.73
2013-10-11,20,64.48
2013-10-18,15,65.78
2013-10-25,14,66.30
2013-11-01,11,65.10
2013-11-08,9,65.75
2013-11-15,9,67.48
2013-11-22,11,66.57
2013-11-29,9,66.37
2013-12-06,15,66.64
2013-12-13,21,65.96
2013-12-20,21,65.65
2013-12-27,19,67.25
2014-01-03,13,66.15
2014-01-10,13,65.17
2014-01-17,12,64.71
2014-01-24,12,62.29
2014-01-31,12,62.78
2014-02-07,18,62.68
2014-02-14,17,63.13
2014-02-21,23,62.32
2014-02-28,21,64.08
2014-03-07,20,65.61
2014-03-14,27,64.11
2014-03-21,27,62.98
2014-03-28,28,62.66
2014-04-04,34,63.28
2014-04-11,29,60.83
2014-04-18,28,
2014-04-25,43,61.84
2014-05-02,33,
