Date,buy AMP,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,83,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,81,
2004-05-21,74,
2004-05-28,74,
2004-06-04,74,
2004-06-11,74,
2004-06-18,74,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,78,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,72,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,75,
2004-12-03,79,
2004-12-10,83,
2004-12-17,66,
2004-12-24,86,
2004-12-31,72,
2005-01-07,72,
2005-01-14,72,
2005-01-21,60,
2005-01-28,80,
2005-02-04,80,
2005-02-11,60,
2005-02-18,53,
2005-02-25,61,
2005-03-04,61,
2005-03-11,61,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,71,
2005-05-13,76,
2005-05-20,53,
2005-05-27,53,
2005-06-03,54,
2005-06-10,56,
2005-06-17,58,
2005-06-24,55,
2005-07-01,100,
2005-07-08,50,
2005-07-15,60,
2005-07-22,74,
2005-07-29,89,
2005-08-05,74,
2005-08-12,67,
2005-08-19,58,
2005-08-26,46,
2005-09-02,46,
2005-09-09,48,
2005-09-16,51,36.60
2005-09-23,65,37.68
2005-09-30,53,35.80
2005-10-07,63,33.60
2005-10-14,56,32.39
2005-10-21,56,34.00
2005-10-28,40,37.10
2005-11-04,40,37.17
2005-11-11,60,38.91
2005-11-18,52,39.92
2005-11-25,52,43.45
2005-12-02,56,43.23
2005-12-09,38,43.76
2005-12-16,50,42.26
2005-12-23,50,41.93
2005-12-30,61,41.00
2006-01-06,71,43.60
2006-01-13,69,43.88
2006-01-20,35,42.20
2006-01-27,35,42.40
2006-02-03,34,42.60
2006-02-10,34,43.57
2006-02-17,43,44.02
2006-02-24,44,46.26
2006-03-03,69,44.00
2006-03-10,42,43.30
2006-03-17,45,45.90
2006-03-24,47,44.25
2006-03-31,47,45.06
2006-04-07,61,44.20
2006-04-14,38,
2006-04-21,43,47.12
2006-04-28,57,49.04
2006-05-05,59,48.55
2006-05-12,41,47.50
2006-05-19,31,44.85
2006-05-26,47,44.48
2006-06-02,45,46.48
2006-06-09,54,44.58
2006-06-16,45,42.00
2006-06-23,38,41.94
2006-06-30,32,44.67
2006-07-07,40,42.67
2006-07-14,32,41.29
2006-07-21,42,41.46
2006-07-28,42,44.54
2006-08-04,44,44.91
2006-08-11,46,44.43
2006-08-18,31,45.07
2006-08-25,42,44.95
2006-09-01,46,45.40
2006-09-08,47,44.48
2006-09-15,48,46.80
2006-09-22,49,46.21
2006-09-29,33,46.90
2006-10-06,27,48.84
2006-10-13,30,48.73
2006-10-20,44,49.95
2006-10-27,47,51.00
2006-11-03,34,50.24
2006-11-10,28,51.20
2006-11-17,37,53.41
2006-11-24,33,53.37
2006-12-01,46,53.67
2006-12-08,49,55.30
2006-12-15,76,54.75
2006-12-22,64,54.65
2006-12-29,44,54.50
2007-01-05,51,55.50
2007-01-12,44,57.98
2007-01-19,36,57.60
2007-01-26,36,58.48
2007-02-02,47,59.76
2007-02-09,39,60.10
2007-02-16,38,62.36
2007-02-23,47,62.63
2007-03-02,36,57.16
2007-03-09,38,58.39
2007-03-16,41,55.15
2007-03-23,53,58.41
2007-03-30,47,57.14
2007-04-06,42,
2007-04-13,58,59.80
2007-04-20,37,60.89
2007-04-27,46,60.52
2007-05-04,61,61.33
2007-05-11,46,61.02
2007-05-18,41,61.44
2007-05-25,60,61.45
2007-06-01,27,63.30
2007-06-08,35,63.46
2007-06-15,55,66.07
2007-06-22,39,64.40
2007-06-29,53,63.57
2007-07-06,45,65.67
2007-07-13,62,66.08
2007-07-20,53,63.20
2007-07-27,38,57.76
2007-08-03,48,55.01
2007-08-10,46,58.66
2007-08-17,33,58.44
2007-08-24,44,61.93
2007-08-31,42,61.01
2007-09-07,39,58.89
2007-09-14,45,58.96
2007-09-21,62,61.23
2007-09-28,35,63.11
2007-10-05,54,65.97
2007-10-12,34,66.23
2007-10-19,59,60.91
2007-10-26,52,63.80
2007-11-02,35,60.41
2007-11-09,44,57.63
2007-11-16,45,58.50
2007-11-23,57,57.98
2007-11-30,58,58.69
2007-12-07,70,59.34
2007-12-14,49,54.43
2007-12-21,43,56.07
2007-12-28,54,54.71
2008-01-04,64,53.65
2008-01-11,36,53.58
2008-01-18,56,49.44
2008-01-25,36,49.61
2008-02-01,65,57.12
2008-02-08,50,51.69
2008-02-15,54,52.27
2008-02-22,58,52.45
2008-02-29,52,50.64
2008-03-07,50,48.78
2008-03-14,49,48.78
2008-03-21,45,
2008-03-28,45,50.57
2008-04-04,37,54.57
2008-04-11,63,51.12
2008-04-18,62,52.16
2008-04-25,74,47.90
2008-05-02,46,50.46
2008-05-09,36,48.58
2008-05-16,46,49.83
2008-05-23,38,46.18
2008-05-30,45,47.26
2008-06-06,41,45.77
2008-06-13,45,46.53
2008-06-20,58,44.58
2008-06-27,38,41.82
2008-07-04,47,
2008-07-11,68,39.11
2008-07-18,66,39.79
2008-07-25,58,41.19
2008-08-01,47,42.80
2008-08-08,48,43.38
2008-08-15,63,44.67
2008-08-22,56,44.40
2008-08-29,60,44.95
2008-09-05,56,44.37
2008-09-12,59,44.70
2008-09-19,75,43.50
2008-09-26,37,40.40
2008-10-03,42,32.95
2008-10-10,28,21.62
2008-10-17,46,24.79
2008-10-24,53,21.43
2008-10-31,52,21.60
2008-11-07,44,21.03
2008-11-14,50,18.00
2008-11-21,56,12.37
2008-11-28,50,18.46
2008-12-05,53,21.31
2008-12-12,63,20.47
2008-12-19,64,22.85
2008-12-26,63,20.05
2009-01-02,64,24.00
2009-01-09,62,22.80
2009-01-16,38,21.31
2009-01-23,67,19.46
2009-01-30,54,20.15
2009-02-06,60,21.68
2009-02-13,42,20.46
2009-02-20,59,17.15
2009-02-27,75,15.94
2009-03-06,56,14.20
2009-03-13,57,17.91
2009-03-20,62,18.73
2009-03-27,54,20.71
2009-04-03,60,22.84
2009-04-10,72,
2009-04-17,64,24.86
2009-04-24,54,26.44
2009-05-01,57,26.45
2009-05-08,46,29.02
2009-05-15,40,25.40
2009-05-22,61,28.73
2009-05-29,59,30.20
2009-06-05,53,29.65
2009-06-12,63,24.32
2009-06-19,58,24.00
2009-06-26,40,23.89
2009-07-03,54,
2009-07-10,49,22.14
2009-07-17,74,24.63
2009-07-24,63,25.77
2009-07-31,65,27.80
2009-08-07,51,29.60
2009-08-14,52,28.86
2009-08-21,47,29.82
2009-08-28,42,30.20
2009-09-04,59,29.00
2009-09-11,48,30.25
2009-09-18,47,32.76
2009-09-25,57,30.94
2009-10-02,40,36.43
2009-10-09,35,36.67
2009-10-16,46,36.10
2009-10-23,44,37.07
2009-10-30,67,34.67
2009-11-06,48,37.83
2009-11-13,54,39.09
2009-11-20,38,37.57
2009-11-27,59,37.05
2009-12-04,55,38.39
2009-12-11,60,38.44
2009-12-18,65,37.99
2009-12-25,74,
2010-01-01,69,
2010-01-08,47,41.84
2010-01-15,59,41.62
2010-01-22,52,39.76
2010-01-29,51,38.24
2010-02-05,48,37.93
2010-02-12,63,38.26
2010-02-19,47,40.14
2010-02-26,45,40.03
2010-03-05,47,42.90
2010-03-12,63,43.33
2010-03-19,53,44.18
2010-03-26,44,43.96
2010-04-02,56,
2010-04-09,63,46.16
2010-04-16,54,47.12
2010-04-23,43,49.05
2010-04-30,51,46.36
2010-05-07,59,42.54
2010-05-14,54,43.39
2010-05-21,71,40.41
2010-05-28,61,39.79
2010-06-04,58,38.41
2010-06-11,55,39.47
2010-06-18,51,39.76
2010-06-25,40,38.49
2010-07-02,42,36.18
2010-07-09,52,39.00
2010-07-16,49,37.55
2010-07-23,59,38.65
2010-07-30,49,42.39
2010-08-06,55,42.95
2010-08-13,44,42.20
2010-08-20,52,43.13
2010-08-27,42,43.71
2010-09-03,51,47.22
2010-09-10,51,47.21
2010-09-17,50,47.62
2010-09-24,51,47.24
2010-10-01,45,47.76
2010-10-08,44,49.93
2010-10-15,48,49.93
2010-10-22,49,51.02
2010-10-29,47,51.69
2010-11-05,41,55.02
2010-11-12,50,52.93
2010-11-19,67,52.41
2010-11-26,64,51.81
2010-12-03,68,54.14
2010-12-10,67,55.67
2010-12-17,44,55.20
2010-12-24,67,
2010-12-31,77,57.55
2011-01-07,55,60.26
2011-01-14,45,60.88
2011-01-21,43,60.36
2011-01-28,54,60.31
2011-02-04,54,58.08
2011-02-11,66,63.87
2011-02-18,61,64.73
2011-02-25,41,63.52
2011-03-04,49,63.27
2011-03-11,47,62.18
2011-03-18,47,61.22
2011-03-25,45,60.86
2011-04-01,55,62.48
2011-04-08,50,62.93
2011-04-15,47,61.61
2011-04-22,53,
2011-04-29,52,62.06
2011-05-06,53,61.20
2011-05-13,57,62.40
2011-05-20,63,62.17
2011-05-27,59,60.37
2011-06-03,57,58.23
2011-06-10,47,56.04
2011-06-17,49,56.66
2011-06-24,54,55.40
2011-07-01,50,58.39
2011-07-08,47,58.14
2011-07-15,44,54.05
2011-07-22,53,55.38
2011-07-29,58,54.10
2011-08-05,48,47.18
2011-08-12,52,44.21
2011-08-19,49,39.04
2011-08-26,47,43.45
2011-09-02,48,42.37
2011-09-09,39,41.73
2011-09-16,56,45.07
2011-09-23,49,39.77
2011-09-30,56,39.36
2011-10-07,45,39.06
2011-10-14,46,42.88
2011-10-21,40,43.46
2011-10-28,39,48.74
2011-11-04,40,46.26
2011-11-11,43,47.22
2011-11-18,42,44.21
2011-11-25,50,41.51
2011-12-02,50,45.98
2011-12-09,58,47.10
2011-12-16,46,46.55
2011-12-23,57,50.61
2011-12-30,63,49.64
2012-01-06,57,51.09
2012-01-13,50,51.40
2012-01-20,52,54.68
2012-01-27,48,53.67
2012-02-03,57,53.65
2012-02-10,41,54.19
2012-02-17,51,56.54
2012-02-24,51,56.41
2012-03-02,60,55.84
2012-03-09,55,56.08
2012-03-16,49,57.72
2012-03-23,60,57.10
2012-03-30,44,57.13
2012-04-06,52,
2012-04-13,43,53.13
2012-04-20,48,53.45
2012-04-27,40,54.08
2012-05-04,56,52.00
2012-05-11,49,50.47
2012-05-18,50,46.41
2012-05-25,39,47.78
2012-06-01,42,45.81
2012-06-08,60,48.53
2012-06-15,48,49.75
2012-06-22,46,50.82
2012-06-29,48,52.26
2012-07-06,47,50.96
2012-07-13,56,51.11
2012-07-20,53,50.30
2012-07-27,47,52.53
2012-08-03,45,52.63
2012-08-10,56,54.50
2012-08-17,48,55.30
2012-08-24,52,55.18
2012-08-31,49,54.91
2012-09-07,46,56.47
2012-09-14,37,59.20
2012-09-21,45,57.60
2012-09-28,46,56.69
2012-10-05,44,57.83
2012-10-12,41,55.96
2012-10-19,42,57.80
2012-10-26,38,59.30
2012-11-02,39,60.12
2012-11-09,41,58.05
2012-11-16,35,58.38
2012-11-23,43,61.00
2012-11-30,53,60.67
2012-12-07,58,62.35
2012-12-14,48,61.22
2012-12-21,55,62.67
2012-12-28,61,62.19
2013-01-04,52,65.95
2013-01-11,53,65.07
2013-01-18,49,65.90
2013-01-25,42,67.38
2013-02-01,57,67.15
2013-02-08,45,66.49
2013-02-15,50,68.77
2013-02-22,42,67.93
2013-03-01,57,68.08
2013-03-08,46,72.09
2013-03-15,55,74.33
2013-03-22,44,73.65
2013-03-29,51,
2013-04-05,40,71.48
2013-04-12,47,74.73
2013-04-19,40,72.18
2013-04-26,50,73.48
2013-05-03,41,75.80
2013-05-10,47,78.20
2013-05-17,42,81.69
2013-05-24,50,80.20
2013-05-31,41,81.52
2013-06-07,46,83.07
2013-06-14,40,81.86
2013-06-21,51,79.16
2013-06-28,45,80.88
2013-07-05,52,83.10
2013-07-12,42,86.60
2013-07-19,48,86.31
2013-07-26,41,88.18
2013-08-02,47,91.21
2013-08-09,44,90.08
2013-08-16,56,88.23
2013-08-23,42,89.03
2013-08-30,46,86.15
2013-09-06,44,87.59
2013-09-13,40,90.80
2013-09-20,42,92.22
2013-09-27,35,91.43
2013-10-04,34,92.89
2013-10-11,37,94.30
2013-10-18,39,99.75
2013-10-25,41,99.56
2013-11-01,39,101.06
2013-11-08,43,103.12
2013-11-15,46,105.47
2013-11-22,40,107.58
2013-11-29,50,108.25
2013-12-06,41,108.99
2013-12-13,43,106.68
2013-12-20,47,111.81
2013-12-27,62,113.94
2014-01-03,49,113.90
2014-01-10,48,115.06
2014-01-17,39,113.37
2014-01-24,46,106.79
2014-01-31,44,105.64
2014-02-07,44,107.61
2014-02-14,45,107.09
2014-02-21,42,106.81
2014-02-28,41,108.99
2014-03-07,45,112.65
2014-03-14,49,108.25
2014-03-21,48,111.78
2014-03-28,36,108.81
2014-04-04,39,111.42
2014-04-11,38,101.74
2014-04-18,42,
2014-04-25,40,103.53
2014-05-02,43,
