Date,buy AMZN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,46.35
2004-02-13,0,46.38
2004-02-20,0,45.17
2004-02-27,0,43.01
2004-03-05,0,44.09
2004-03-12,0,42.44
2004-03-19,0,42.80
2004-03-26,0,41.70
2004-04-02,0,46.09
2004-04-09,0,
2004-04-16,0,45.50
2004-04-23,0,46.29
2004-04-30,0,43.60
2004-05-07,0,41.90
2004-05-14,0,43.05
2004-05-21,0,41.17
2004-05-28,0,48.50
2004-06-04,0,50.95
2004-06-11,0,
2004-06-18,0,49.60
2004-06-25,0,51.80
2004-07-02,0,52.59
2004-07-09,0,48.32
2004-07-16,0,47.10
2004-07-23,0,39.98
2004-07-30,0,38.92
2004-08-06,0,35.49
2004-08-13,0,36.13
2004-08-20,0,39.51
2004-08-27,0,39.90
2004-09-03,0,38.74
2004-09-10,0,38.57
2004-09-17,0,42.96
2004-09-24,0,40.94
2004-10-01,0,40.47
2004-10-08,0,40.00
2004-10-15,0,38.55
2004-10-22,0,34.60
2004-10-29,0,34.13
2004-11-05,0,36.56
2004-11-12,0,40.46
2004-11-19,0,38.55
2004-11-26,0,39.09
2004-12-03,0,40.09
2004-12-10,0,39.05
2004-12-17,0,40.01
2004-12-24,0,
2004-12-31,0,44.29
2005-01-07,0,42.32
2005-01-14,0,44.55
2005-01-21,0,41.16
2005-01-28,0,42.22
2005-02-04,0,35.72
2005-02-11,0,35.78
2005-02-18,0,35.31
2005-02-25,0,34.99
2005-03-04,0,35.85
2005-03-11,0,34.75
2005-03-18,0,34.16
2005-03-25,0,
2005-04-01,0,34.01
2005-04-08,0,34.60
2005-04-15,0,33.02
2005-04-22,0,33.04
2005-04-29,0,32.36
2005-05-06,0,34.52
2005-05-13,0,33.90
2005-05-20,0,35.50
2005-05-27,0,35.50
2005-06-03,0,35.59
2005-06-10,0,34.95
2005-06-17,0,35.31
2005-06-24,0,35.02
2005-07-01,0,32.91
2005-07-08,0,34.74
2005-07-15,0,37.15
2005-07-22,0,37.95
2005-07-29,0,45.15
2005-08-05,0,45.27
2005-08-12,0,44.20
2005-08-19,0,43.72
2005-08-26,0,42.37
2005-09-02,0,41.51
2005-09-09,0,42.95
2005-09-16,0,42.80
2005-09-23,0,42.19
2005-09-30,0,45.30
2005-10-07,0,43.72
2005-10-14,0,43.79
2005-10-21,0,45.95
2005-10-28,0,38.95
2005-11-04,0,41.09
2005-11-11,0,42.68
2005-11-18,0,47.98
2005-11-25,0,48.06
2005-12-02,0,49.06
2005-12-09,0,48.74
2005-12-16,0,49.21
2005-12-23,0,49.22
2005-12-30,0,47.15
2006-01-06,0,47.87
2006-01-13,0,44.40
2006-01-20,0,43.92
2006-01-27,0,45.22
2006-02-03,0,38.33
2006-02-10,0,38.52
2006-02-17,0,39.19
2006-02-24,0,38.35
2006-03-03,0,37.21
2006-03-10,0,36.22
2006-03-17,0,35.99
2006-03-24,0,35.47
2006-03-31,0,36.53
2006-04-07,0,37.09
2006-04-14,0,
2006-04-21,0,36.03
2006-04-28,0,35.21
2006-05-05,0,35.04
2006-05-12,0,32.73
2006-05-19,0,33.94
2006-05-26,0,36.07
2006-06-02,0,34.76
2006-06-09,0,33.78
2006-06-16,0,35.09
2006-06-23,0,36.55
2006-06-30,0,38.68
2006-07-07,0,36.11
2006-07-14,0,32.92
2006-07-21,0,33.19
2006-07-28,0,27.17
2006-08-04,0,27.29
2006-08-11,0,26.07
2006-08-18,0,29.12
2006-08-25,0,28.03
2006-09-01,0,31.76
2006-09-08,0,30.51
2006-09-15,0,32.52
2006-09-22,0,30.84
2006-09-29,0,32.12
2006-10-06,0,32.59
2006-10-13,0,33.32
2006-10-20,0,32.57
2006-10-27,0,38.24
2006-11-03,0,37.46
2006-11-10,0,39.26
2006-11-17,0,42.55
2006-11-24,0,42.41
2006-12-01,0,39.41
2006-12-08,0,38.46
2006-12-15,0,40.01
2006-12-22,0,40.24
2006-12-29,0,39.46
2007-01-05,0,38.37
2007-01-12,0,38.20
2007-01-19,0,37.02
2007-01-26,0,36.85
2007-02-02,0,37.39
2007-02-09,0,38.72
2007-02-16,0,40.33
2007-02-23,0,40.78
2007-03-02,0,37.69
2007-03-09,0,38.84
2007-03-16,0,37.85
2007-03-23,0,38.98
2007-03-30,0,39.79
2007-04-06,0,
2007-04-13,0,42.41
2007-04-20,0,44.95
2007-04-27,0,62.60
2007-05-04,0,63.23
2007-05-11,0,61.56
2007-05-18,0,63.30
2007-05-25,0,68.55
2007-06-01,0,68.58
2007-06-08,0,73.24
2007-06-15,0,72.40
2007-06-22,0,68.86
2007-06-29,0,68.41
2007-07-06,0,68.97
2007-07-13,0,75.10
2007-07-20,0,71.63
2007-07-27,0,84.04
2007-08-03,0,76.80
2007-08-10,0,74.78
2007-08-17,0,75.02
2007-08-24,0,79.25
2007-08-31,0,79.91
2007-09-07,0,84.52
2007-09-14,0,87.77
2007-09-21,0,91.30
2007-09-28,0,93.15
2007-10-05,0,93.43
2007-10-12,0,92.37
2007-10-19,0,89.76
2007-10-26,0,90.00
2007-11-02,0,85.98
2007-11-09,0,78.89
2007-11-16,0,78.60
2007-11-23,0,81.43
2007-11-30,0,90.56
2007-12-07,0,94.31
2007-12-14,0,89.08
2007-12-21,0,91.26
2007-12-28,0,94.45
2008-01-04,0,88.79
2008-01-11,0,81.08
2008-01-18,0,79.76
2008-01-25,0,77.60
2008-02-01,0,74.63
2008-02-08,0,73.50
2008-02-15,0,72.96
2008-02-22,0,72.08
2008-02-29,0,64.47
2008-03-07,0,64.09
2008-03-14,0,68.22
2008-03-21,0,
2008-03-28,0,69.76
2008-04-04,0,76.87
2008-04-11,0,71.99
2008-04-18,0,80.10
2008-04-25,0,80.86
2008-05-02,0,77.31
2008-05-09,0,72.41
2008-05-16,0,76.46
2008-05-23,0,78.35
2008-05-30,0,81.62
2008-06-06,0,80.63
2008-06-13,0,79.17
2008-06-20,0,81.10
2008-06-27,0,74.66
2008-07-04,0,
2008-07-11,0,68.54
2008-07-18,0,69.12
2008-07-25,0,78.31
2008-08-01,0,75.75
2008-08-08,0,80.51
2008-08-15,0,86.40
2008-08-22,0,85.26
2008-08-29,0,80.81
2008-09-05,0,79.19
2008-09-12,0,78.30
2008-09-19,0,81.00
2008-09-26,0,70.70
2008-10-03,0,67.00
2008-10-10,0,56.25
2008-10-17,0,50.65
2008-10-24,0,48.96
2008-10-31,0,57.24
2008-11-07,0,49.21
2008-11-14,0,41.75
2008-11-21,0,37.87
2008-11-28,0,42.70
2008-12-05,0,48.26
2008-12-12,0,51.25
2008-12-19,0,51.56
2008-12-26,0,51.78
2009-01-02,0,54.36
2009-01-09,0,55.51
2009-01-16,0,51.59
2009-01-23,0,50.63
2009-01-30,0,58.82
2009-02-06,0,66.55
2009-02-13,0,63.26
2009-02-20,0,63.86
2009-02-27,0,64.79
2009-03-06,0,61.69
2009-03-13,0,68.63
2009-03-20,0,69.96
2009-03-27,0,70.52
2009-04-03,0,78.17
2009-04-10,0,
2009-04-17,0,78.05
2009-04-24,0,84.46
2009-05-01,0,78.96
2009-05-08,0,77.95
2009-05-15,0,73.60
2009-05-22,0,75.64
2009-05-29,0,77.99
2009-06-05,0,87.56
2009-06-12,0,84.08
2009-06-19,0,82.96
2009-06-26,0,83.88
2009-07-03,0,
2009-07-10,0,77.63
2009-07-17,0,85.85
2009-07-24,0,86.49
2009-07-31,0,85.76
2009-08-07,0,85.32
2009-08-14,0,83.58
2009-08-21,0,85.00
2009-08-28,0,82.76
2009-09-04,0,78.87
2009-09-11,0,84.54
2009-09-18,0,90.28
2009-09-25,0,90.52
2009-10-02,0,89.85
2009-10-09,0,95.71
2009-10-16,0,95.32
2009-10-23,0,118.49
2009-10-30,0,118.81
2009-11-06,0,126.20
2009-11-13,0,132.97
2009-11-20,0,129.66
2009-11-27,0,131.74
2009-12-04,0,137.58
2009-12-11,0,134.15
2009-12-18,0,128.48
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,133.52
2010-01-15,0,127.14
2010-01-22,0,121.43
2010-01-29,0,125.41
2010-02-05,0,117.39
2010-02-12,0,119.66
2010-02-19,0,117.52
2010-02-26,0,118.40
2010-03-05,0,128.91
2010-03-12,0,131.82
2010-03-19,0,130.35
2010-03-26,0,135.06
2010-04-02,0,
2010-04-09,0,140.06
2010-04-16,0,142.17
2010-04-23,0,143.63
2010-04-30,0,137.10
2010-05-07,0,124.98
2010-05-14,0,128.53
2010-05-21,0,122.72
2010-05-28,0,125.46
2010-06-04,0,122.77
2010-06-11,0,123.03
2010-06-18,0,125.83
2010-06-25,0,121.00
2010-07-02,0,109.14
2010-07-09,0,117.26
2010-07-16,0,118.49
2010-07-23,0,118.87
2010-07-30,0,117.89
2010-08-06,0,128.32
2010-08-13,0,124.69
2010-08-20,0,127.76
2010-08-27,0,126.64
2010-09-03,0,138.79
2010-09-10,0,142.44
2010-09-17,0,148.32
2010-09-24,0,160.73
2010-10-01,0,153.71
2010-10-08,0,155.55
2010-10-15,0,164.64
2010-10-22,0,169.13
2010-10-29,0,165.23
2010-11-05,0,170.77
2010-11-12,0,165.68
2010-11-19,0,164.82
2010-11-26,0,177.20
2010-12-03,0,175.68
2010-12-10,0,175.62
2010-12-17,0,177.58
2010-12-24,0,
2010-12-31,0,180.00
2011-01-07,0,185.49
2011-01-14,0,188.75
2011-01-21,0,177.42
2011-01-28,0,171.14
2011-02-04,0,175.93
2011-02-11,0,189.25
2011-02-18,0,186.50
2011-02-25,0,177.24
2011-03-04,0,171.67
2011-03-11,0,168.07
2011-03-18,0,161.82
2011-03-25,0,170.98
2011-04-01,0,180.13
2011-04-08,0,184.71
2011-04-15,0,180.01
2011-04-22,0,
2011-04-29,0,195.81
2011-05-06,0,197.60
2011-05-13,0,202.56
2011-05-20,0,198.65
2011-05-27,0,194.13
2011-06-03,0,188.32
2011-06-10,0,186.53
2011-06-17,0,186.37
2011-06-24,0,192.55
2011-07-01,0,209.49
2011-07-08,0,218.28
2011-07-15,0,212.87
2011-07-22,0,216.52
2011-07-29,0,222.52
2011-08-05,0,202.70
2011-08-12,0,202.30
2011-08-19,0,178.93
2011-08-26,0,199.27
2011-09-02,0,210.00
2011-09-09,0,211.39
2011-09-16,0,239.30
2011-09-23,0,223.61
2011-09-30,0,216.23
2011-10-07,0,224.74
2011-10-14,0,246.71
2011-10-21,0,234.78
2011-10-28,0,217.32
2011-11-04,0,216.48
2011-11-11,0,217.39
2011-11-18,0,197.14
2011-11-25,0,182.40
2011-12-02,0,196.03
2011-12-09,0,193.03
2011-12-16,0,181.26
2011-12-23,0,177.28
2011-12-30,0,173.10
2012-01-06,0,182.61
2012-01-13,0,178.42
2012-01-20,0,190.93
2012-01-27,0,195.37
2012-02-03,0,187.68
2012-02-10,0,185.54
2012-02-17,0,182.50
2012-02-24,0,179.13
2012-03-02,0,179.30
2012-03-09,0,184.32
2012-03-16,0,185.05
2012-03-23,0,195.04
2012-03-30,0,202.51
2012-04-06,0,
2012-04-13,0,188.46
2012-04-20,0,189.98
2012-04-27,0,226.85
2012-05-04,0,223.99
2012-05-11,0,227.68
2012-05-18,0,213.85
2012-05-25,0,212.89
2012-06-01,0,208.22
2012-06-08,0,218.48
2012-06-15,0,218.35
2012-06-22,0,222.16
2012-06-29,0,228.35
2012-07-06,0,225.05
2012-07-13,0,218.39
2012-07-20,0,228.29
2012-07-27,0,237.32
2012-08-03,0,234.97
2012-08-10,0,232.75
2012-08-17,0,241.17
2012-08-24,0,245.74
2012-08-31,0,248.27
2012-09-07,0,259.14
2012-09-14,0,261.27
2012-09-21,0,257.47
2012-09-28,0,254.32
2012-10-05,0,258.51
2012-10-12,0,242.36
2012-10-19,0,240.00
2012-10-26,0,238.24
2012-11-02,0,232.42
2012-11-09,0,226.31
2012-11-16,0,225.23
2012-11-23,0,239.88
2012-11-30,0,252.05
2012-12-07,0,253.27
2012-12-14,0,249.19
2012-12-21,0,256.92
2012-12-28,0,245.18
2013-01-04,0,259.15
2013-01-11,0,267.94
2013-01-18,0,272.12
2013-01-25,0,283.99
2013-02-01,0,265.00
2013-02-08,0,261.95
2013-02-15,0,265.09
2013-02-22,0,265.42
2013-03-01,0,265.74
2013-03-08,0,274.19
2013-03-15,0,261.82
2013-03-22,0,257.75
2013-03-29,0,
2013-04-05,0,255.48
2013-04-12,0,272.87
2013-04-19,0,260.32
2013-04-26,0,254.81
2013-05-03,0,258.05
2013-05-10,0,263.63
2013-05-17,0,269.90
2013-05-24,0,261.74
2013-05-31,0,269.20
2013-06-07,0,276.87
2013-06-14,0,273.99
2013-06-21,0,273.36
2013-06-28,0,277.69
2013-07-05,0,285.88
2013-07-12,0,307.55
2013-07-19,0,305.23
2013-07-26,0,312.01
2013-08-02,0,304.21
2013-08-09,0,297.26
2013-08-16,0,284.82
2013-08-23,0,290.01
2013-08-30,0,280.98
2013-09-06,0,295.86
2013-09-13,0,297.92
2013-09-20,0,316.34
2013-09-27,0,316.01
2013-10-04,0,319.04
2013-10-11,0,310.89
2013-10-18,0,328.93
2013-10-25,0,363.39
2013-11-01,0,359.00
2013-11-08,0,350.31
2013-11-15,0,369.17
2013-11-22,0,372.31
2013-11-29,0,393.62
2013-12-06,0,386.95
2013-12-13,0,384.24
2013-12-20,0,402.20
2013-12-27,0,398.08
2014-01-03,0,396.44
2014-01-10,0,397.66
2014-01-17,0,399.61
2014-01-24,0,387.60
2014-01-31,100,358.69
2014-02-07,0,361.08
2014-02-14,0,357.35
2014-02-21,0,346.76
2014-02-28,0,362.10
2014-03-07,0,372.06
2014-03-14,0,373.74
2014-03-21,0,360.62
2014-03-28,0,338.29
2014-04-04,0,323.00
2014-04-11,0,311.73
2014-04-18,0,
2014-04-25,0,303.83
2014-05-02,0,
