Date,buy BBT,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,37.12
2004-02-13,0,37.37
2004-02-20,0,36.98
2004-02-27,0,37.15
2004-03-05,0,37.61
2004-03-12,0,36.81
2004-03-19,0,35.32
2004-03-26,0,34.89
2004-04-02,0,35.21
2004-04-09,0,
2004-04-16,0,34.14
2004-04-23,0,34.72
2004-04-30,0,34.49
2004-05-07,0,34.00
2004-05-14,0,34.57
2004-05-21,0,35.13
2004-05-28,0,37.68
2004-06-04,0,37.14
2004-06-11,0,
2004-06-18,0,37.14
2004-06-25,0,36.87
2004-07-02,0,37.00
2004-07-09,0,36.68
2004-07-16,0,37.44
2004-07-23,0,38.37
2004-07-30,0,38.73
2004-08-06,0,37.47
2004-08-13,0,38.57
2004-08-20,0,39.43
2004-08-27,0,39.63
2004-09-03,0,39.86
2004-09-10,0,40.21
2004-09-17,0,40.25
2004-09-24,0,39.18
2004-10-01,0,40.18
2004-10-08,0,40.21
2004-10-15,0,39.53
2004-10-22,0,39.51
2004-10-29,0,41.11
2004-11-05,0,42.52
2004-11-12,0,43.00
2004-11-19,0,42.26
2004-11-26,0,42.66
2004-12-03,0,42.54
2004-12-10,0,41.97
2004-12-17,0,41.83
2004-12-24,0,
2004-12-31,0,42.05
2005-01-07,0,41.52
2005-01-14,0,39.73
2005-01-21,0,38.85
2005-01-28,0,38.97
2005-02-04,0,40.06
2005-02-11,0,40.24
2005-02-18,0,39.35
2005-02-25,0,39.42
2005-03-04,0,40.02
2005-03-11,0,39.45
2005-03-18,0,38.76
2005-03-25,0,
2005-04-01,0,38.73
2005-04-08,0,38.97
2005-04-15,0,37.08
2005-04-22,0,38.18
2005-04-29,0,39.21
2005-05-06,0,39.73
2005-05-13,0,39.13
2005-05-20,0,40.52
2005-05-27,0,40.17
2005-06-03,0,39.79
2005-06-10,0,39.66
2005-06-17,0,40.39
2005-06-24,0,39.90
2005-07-01,0,40.15
2005-07-08,0,40.72
2005-07-15,0,42.60
2005-07-22,0,42.54
2005-07-29,0,41.82
2005-08-05,0,41.05
2005-08-12,0,41.18
2005-08-19,0,41.00
2005-08-26,0,39.84
2005-09-02,0,40.51
2005-09-09,0,40.58
2005-09-16,0,41.01
2005-09-23,0,39.61
2005-09-30,0,39.05
2005-10-07,0,38.59
2005-10-14,0,39.33
2005-10-21,0,40.80
2005-10-28,0,42.41
2005-11-04,0,42.70
2005-11-11,0,43.49
2005-11-18,0,43.20
2005-11-25,0,43.68
2005-12-02,0,42.75
2005-12-09,0,42.41
2005-12-16,0,43.38
2005-12-23,0,42.90
2005-12-30,0,41.91
2006-01-06,0,42.53
2006-01-13,0,41.87
2006-01-20,0,39.63
2006-01-27,0,40.04
2006-02-03,0,38.63
2006-02-10,0,39.29
2006-02-17,0,39.73
2006-02-24,0,39.94
2006-03-03,0,39.10
2006-03-10,0,39.49
2006-03-17,0,40.57
2006-03-24,0,39.70
2006-03-31,0,39.20
2006-04-07,0,39.61
2006-04-14,0,
2006-04-21,0,41.93
2006-04-28,0,42.94
2006-05-05,0,43.15
2006-05-12,0,42.22
2006-05-19,0,42.02
2006-05-26,0,42.07
2006-06-02,0,42.31
2006-06-09,0,42.76
2006-06-16,0,42.18
2006-06-23,0,41.06
2006-06-30,0,41.59
2006-07-07,0,41.10
2006-07-14,0,40.36
2006-07-21,0,41.97
2006-07-28,0,42.46
2006-08-04,0,42.67
2006-08-11,0,42.40
2006-08-18,0,43.01
2006-08-25,0,42.72
2006-09-01,0,42.91
2006-09-08,0,42.66
2006-09-15,0,43.51
2006-09-22,0,43.89
2006-09-29,0,43.78
2006-10-06,0,43.84
2006-10-13,0,44.03
2006-10-20,0,43.26
2006-10-27,0,43.03
2006-11-03,0,42.79
2006-11-10,0,43.06
2006-11-17,0,43.77
2006-11-24,0,43.17
2006-12-01,0,43.18
2006-12-08,0,43.87
2006-12-15,0,44.16
2006-12-22,0,43.98
2006-12-29,0,43.93
2007-01-05,0,43.08
2007-01-12,0,42.62
2007-01-19,0,42.77
2007-01-26,0,42.19
2007-02-02,0,42.51
2007-02-09,0,42.81
2007-02-16,0,43.84
2007-02-23,0,43.76
2007-03-02,0,41.59
2007-03-09,0,41.51
2007-03-16,0,40.55
2007-03-23,0,41.98
2007-03-30,0,41.02
2007-04-06,0,
2007-04-13,0,39.91
2007-04-20,0,42.01
2007-04-27,0,42.08
2007-05-04,0,42.45
2007-05-11,0,42.36
2007-05-18,0,42.86
2007-05-25,0,42.09
2007-06-01,0,42.38
2007-06-08,0,41.54
2007-06-15,0,41.74
2007-06-22,0,41.15
2007-06-29,0,40.68
2007-07-06,0,41.17
2007-07-13,0,41.17
2007-07-20,0,39.20
2007-07-27,0,37.61
2007-08-03,0,37.01
2007-08-10,0,39.31
2007-08-17,0,40.85
2007-08-24,0,40.88
2007-08-31,0,39.73
2007-09-07,0,38.94
2007-09-14,0,40.69
2007-09-21,0,41.57
2007-09-28,0,40.39
2007-10-05,0,42.13
2007-10-12,0,40.46
2007-10-19,0,36.01
2007-10-26,0,37.25
2007-11-02,0,34.42
2007-11-09,0,34.19
2007-11-16,0,33.71
2007-11-23,0,34.00
2007-11-30,0,36.08
2007-12-07,0,36.01
2007-12-14,0,32.67
2007-12-21,0,31.94
2007-12-28,0,31.08
2008-01-04,0,27.36
2008-01-11,0,28.16
2008-01-18,0,29.42
2008-01-25,0,34.01
2008-02-01,0,36.80
2008-02-08,0,33.40
2008-02-15,0,33.25
2008-02-22,0,33.99
2008-02-29,0,31.13
2008-03-07,0,30.09
2008-03-14,0,31.33
2008-03-21,0,
2008-03-28,0,32.46
2008-04-04,0,34.04
2008-04-11,0,31.93
2008-04-18,0,34.53
2008-04-25,0,35.28
2008-05-02,0,36.49
2008-05-09,0,34.06
2008-05-16,0,34.28
2008-05-23,0,32.73
2008-05-30,0,31.47
2008-06-06,0,28.06
2008-06-13,0,26.50
2008-06-20,0,24.70
2008-06-27,0,23.72
2008-07-04,0,
2008-07-11,0,22.12
2008-07-18,0,26.42
2008-07-25,0,26.94
2008-08-01,0,29.04
2008-08-08,0,30.37
2008-08-15,0,30.09
2008-08-22,0,28.74
2008-08-29,0,30.00
2008-09-05,0,31.82
2008-09-12,0,34.05
2008-09-19,0,41.14
2008-09-26,0,40.45
2008-10-03,0,36.17
2008-10-10,0,30.46
2008-10-17,0,33.53
2008-10-24,0,32.25
2008-10-31,0,35.85
2008-11-07,0,31.99
2008-11-14,0,28.05
2008-11-21,0,24.71
2008-11-28,0,29.97
2008-12-05,0,29.17
2008-12-12,0,27.05
2008-12-19,0,27.40
2008-12-26,0,26.03
2009-01-02,0,26.73
2009-01-09,0,23.04
2009-01-16,0,20.83
2009-01-23,0,20.04
2009-01-30,0,19.79
2009-02-06,0,19.01
2009-02-13,0,15.33
2009-02-20,0,14.91
2009-02-27,0,16.13
2009-03-06,0,13.73
2009-03-13,0,17.28
2009-03-20,0,17.35
2009-03-27,0,17.77
2009-04-03,0,18.16
2009-04-10,0,
2009-04-17,0,23.42
2009-04-24,0,23.42
2009-05-01,0,22.79
2009-05-08,0,26.33
2009-05-15,0,21.63
2009-05-22,0,20.31
2009-05-29,0,22.42
2009-06-05,0,21.41
2009-06-12,0,23.14
2009-06-19,0,22.62
2009-06-26,0,22.67
2009-07-03,0,
2009-07-10,0,20.63
2009-07-17,0,20.94
2009-07-24,0,21.02
2009-07-31,0,22.88
2009-08-07,0,25.82
2009-08-14,0,28.23
2009-08-21,0,28.03
2009-08-28,0,28.39
2009-09-04,0,26.51
2009-09-11,0,26.77
2009-09-18,0,29.25
2009-09-25,0,27.17
2009-10-02,0,26.71
2009-10-09,0,27.30
2009-10-16,0,28.25
2009-10-23,0,26.07
2009-10-30,0,23.91
2009-11-06,0,24.47
2009-11-13,0,24.45
2009-11-20,0,24.60
2009-11-27,0,24.26
2009-12-04,0,26.61
2009-12-11,0,25.88
2009-12-18,0,25.53
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,27.34
2010-01-15,0,27.76
2010-01-22,0,28.15
2010-01-29,0,27.87
2010-02-05,0,27.51
2010-02-12,0,26.92
2010-02-19,0,27.31
2010-02-26,0,28.53
2010-03-05,0,28.53
2010-03-12,0,30.70
2010-03-19,0,31.85
2010-03-26,0,32.25
2010-04-02,0,
2010-04-09,0,33.85
2010-04-16,0,33.76
2010-04-23,0,34.28
2010-04-30,0,33.24
2010-05-07,0,32.24
2010-05-14,0,34.05
2010-05-21,0,31.36
2010-05-28,0,30.24
2010-06-04,0,29.23
2010-06-11,0,30.21
2010-06-18,0,29.57
2010-06-25,0,28.76
2010-07-02,0,26.02
2010-07-09,0,28.18
2010-07-16,0,26.38
2010-07-23,0,25.54
2010-07-30,0,24.83
2010-08-06,0,25.20
2010-08-13,0,23.83
2010-08-20,0,23.11
2010-08-27,0,22.72
2010-09-03,0,23.56
2010-09-10,0,23.65
2010-09-17,0,23.03
2010-09-24,0,24.51
2010-10-01,0,24.37
2010-10-08,0,23.58
2010-10-15,0,22.64
2010-10-22,0,22.62
2010-10-29,0,23.41
2010-11-05,0,25.58
2010-11-12,0,24.82
2010-11-19,0,24.48
2010-11-26,0,23.34
2010-12-03,76,24.71
2010-12-10,0,27.15
2010-12-17,0,26.16
2010-12-24,0,
2010-12-31,0,26.29
2011-01-07,0,26.33
2011-01-14,0,27.78
2011-01-21,0,28.39
2011-01-28,72,27.26
2011-02-04,71,28.44
2011-02-11,71,29.12
2011-02-18,75,28.41
2011-02-25,79,27.65
2011-03-04,83,26.37
2011-03-11,0,27.10
2011-03-18,0,27.01
2011-03-25,0,27.07
2011-04-01,0,27.62
2011-04-08,0,27.23
2011-04-15,92,26.53
2011-04-22,77,
2011-04-29,77,26.92
2011-05-06,77,26.98
2011-05-13,77,26.63
2011-05-20,77,26.56
2011-05-27,0,27.30
2011-06-03,0,26.12
2011-06-10,0,25.83
2011-06-17,0,26.19
2011-06-24,0,25.45
2011-07-01,0,27.34
2011-07-08,0,26.09
2011-07-15,0,25.32
2011-07-22,0,26.18
2011-07-29,0,25.68
2011-08-05,0,23.31
2011-08-12,0,20.54
2011-08-19,0,19.27
2011-08-26,0,20.74
2011-09-02,0,20.91
2011-09-09,0,20.90
2011-09-16,0,22.67
2011-09-23,0,20.86
2011-09-30,0,21.33
2011-10-07,0,20.93
2011-10-14,85,22.54
2011-10-21,94,23.05
2011-10-28,73,23.91
2011-11-04,73,23.37
2011-11-11,72,23.58
2011-11-18,72,22.68
2011-11-25,98,21.17
2011-12-02,66,23.40
2011-12-09,77,23.79
2011-12-16,75,24.05
2011-12-23,75,25.48
2011-12-30,66,25.17
2012-01-06,66,25.79
2012-01-13,85,27.23
2012-01-20,61,27.49
2012-01-27,81,26.95
2012-02-03,100,29.12
2012-02-10,61,29.33
2012-02-17,72,30.33
2012-02-24,56,29.48
2012-03-02,56,29.31
2012-03-09,62,29.46
2012-03-16,61,31.06
2012-03-23,61,30.99
2012-03-30,63,31.39
2012-04-06,66,
2012-04-13,69,30.49
2012-04-20,54,31.58
2012-04-27,54,32.63
2012-05-04,54,31.57
2012-05-11,54,31.75
2012-05-18,57,29.68
2012-05-25,60,30.43
2012-06-01,54,28.35
2012-06-08,54,29.01
2012-06-15,54,29.82
2012-06-22,54,30.39
2012-06-29,54,30.85
2012-07-06,0,30.95
2012-07-13,0,31.50
2012-07-20,0,31.68
2012-07-27,0,32.40
2012-08-03,0,31.65
2012-08-10,0,31.56
2012-08-17,0,31.96
2012-08-24,56,31.11
2012-08-31,62,31.54
2012-09-07,69,32.86
2012-09-14,57,33.99
2012-09-21,57,33.31
2012-09-28,57,33.16
2012-10-05,57,33.64
2012-10-12,50,32.34
2012-10-19,52,29.78
2012-10-26,55,29.01
2012-11-02,54,29.42
2012-11-09,57,27.55
2012-11-16,59,28.04
2012-11-23,65,28.81
2012-11-30,71,28.17
2012-12-07,47,28.42
2012-12-14,62,28.29
2012-12-21,79,29.45
2012-12-28,91,28.85
2013-01-04,51,30.20
2013-01-11,51,30.31
2013-01-18,54,31.04
2013-01-25,45,30.87
2013-02-01,49,31.12
2013-02-08,67,30.65
2013-02-15,49,30.27
2013-02-22,49,30.58
2013-03-01,49,30.66
2013-03-08,49,31.40
2013-03-15,65,30.98
2013-03-22,59,30.80
2013-03-29,59,
2013-04-05,53,30.10
2013-04-12,44,31.01
2013-04-19,44,29.69
2013-04-26,49,30.57
2013-05-03,54,30.94
2013-05-10,0,31.41
2013-05-17,0,32.55
2013-05-24,0,32.82
2013-05-31,0,32.92
2013-06-07,0,33.23
2013-06-14,57,32.78
2013-06-21,44,33.68
2013-06-28,51,33.88
2013-07-05,59,34.88
2013-07-12,66,34.80
2013-07-19,73,35.10
2013-07-26,81,35.74
2013-08-02,44,36.42
2013-08-09,58,35.46
2013-08-16,46,35.53
2013-08-23,46,35.76
2013-08-30,46,33.96
2013-09-06,46,33.52
2013-09-13,47,34.01
2013-09-20,48,35.05
2013-09-27,49,33.97
2013-10-04,49,33.67
2013-10-11,41,33.73
2013-10-18,53,33.60
2013-10-25,65,34.81
2013-11-01,41,33.89
2013-11-08,48,33.63
2013-11-15,54,33.78
2013-11-22,60,34.74
2013-11-29,49,34.74
2013-12-06,48,34.95
2013-12-13,57,35.34
2013-12-20,58,36.68
2013-12-27,52,37.10
2014-01-03,52,36.93
2014-01-10,55,38.66
2014-01-17,58,38.78
2014-01-24,42,38.26
2014-01-31,42,37.41
2014-02-07,42,37.29
2014-02-14,42,37.60
2014-02-21,49,37.22
2014-02-28,57,37.80
2014-03-07,46,39.18
2014-03-14,50,38.47
2014-03-21,53,40.19
2014-03-28,57,39.83
2014-04-04,60,40.04
2014-04-11,53,38.65
2014-04-18,0,
2014-04-25,0,37.33
2014-05-02,0,
