Date,buy BK,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,31.35
2004-02-13,0,32.59
2004-02-20,0,32.08
2004-02-27,0,33.00
2004-03-05,0,33.42
2004-03-12,0,32.08
2004-03-19,0,32.70
2004-03-26,0,31.58
2004-04-02,0,32.24
2004-04-09,0,
2004-04-16,0,31.13
2004-04-23,0,30.30
2004-04-30,0,29.14
2004-05-07,0,29.42
2004-05-14,0,29.25
2004-05-21,0,29.33
2004-05-28,0,30.07
2004-06-04,0,30.01
2004-06-11,0,
2004-06-18,0,28.96
2004-06-25,0,29.42
2004-07-02,0,29.30
2004-07-09,0,28.45
2004-07-16,0,28.79
2004-07-23,0,28.10
2004-07-30,0,28.73
2004-08-06,0,28.05
2004-08-13,0,27.55
2004-08-20,0,29.56
2004-08-27,0,29.64
2004-09-03,0,29.88
2004-09-10,0,29.98
2004-09-17,0,29.99
2004-09-24,0,30.02
2004-10-01,0,29.65
2004-10-08,0,30.63
2004-10-15,0,30.95
2004-10-22,0,31.04
2004-10-29,0,32.46
2004-11-05,0,33.92
2004-11-12,0,33.39
2004-11-19,0,32.38
2004-11-26,0,32.93
2004-12-03,0,33.10
2004-12-10,0,32.97
2004-12-17,0,33.17
2004-12-24,0,
2004-12-31,0,33.42
2005-01-07,0,33.31
2005-01-14,0,32.50
2005-01-21,0,30.85
2005-01-28,0,29.51
2005-02-04,0,30.08
2005-02-11,0,30.53
2005-02-18,0,30.03
2005-02-25,0,30.39
2005-03-04,0,31.21
2005-03-11,0,30.20
2005-03-18,0,30.39
2005-03-25,0,
2005-04-01,0,28.89
2005-04-08,0,29.27
2005-04-15,0,28.10
2005-04-22,0,27.27
2005-04-29,0,27.94
2005-05-06,0,28.00
2005-05-13,0,27.85
2005-05-20,0,29.03
2005-05-27,0,29.00
2005-06-03,0,28.84
2005-06-10,0,29.01
2005-06-17,0,29.48
2005-06-24,0,29.06
2005-07-01,0,29.00
2005-07-08,0,28.80
2005-07-15,0,29.66
2005-07-22,0,31.13
2005-07-29,0,30.78
2005-08-05,0,30.38
2005-08-12,0,30.36
2005-08-19,0,31.00
2005-08-26,0,30.48
2005-09-02,0,30.96
2005-09-09,0,30.66
2005-09-16,0,30.52
2005-09-23,0,29.72
2005-09-30,0,29.41
2005-10-07,0,29.05
2005-10-14,0,29.77
2005-10-21,0,30.05
2005-10-28,0,30.94
2005-11-04,0,31.25
2005-11-11,0,32.62
2005-11-18,0,32.39
2005-11-25,0,32.90
2005-12-02,0,32.87
2005-12-09,0,32.26
2005-12-16,0,32.01
2005-12-23,0,32.47
2005-12-30,0,31.85
2006-01-06,0,33.26
2006-01-13,0,33.33
2006-01-20,0,31.47
2006-01-27,0,31.59
2006-02-03,0,32.25
2006-02-10,0,32.94
2006-02-17,0,34.59
2006-02-24,0,34.40
2006-03-03,0,34.38
2006-03-10,0,34.30
2006-03-17,0,35.52
2006-03-24,0,35.00
2006-03-31,0,36.04
2006-04-07,0,36.83
2006-04-14,0,
2006-04-21,0,34.22
2006-04-28,0,35.15
2006-05-05,0,35.20
2006-05-12,0,34.08
2006-05-19,0,33.13
2006-05-26,0,33.20
2006-06-02,0,33.43
2006-06-09,0,32.40
2006-06-16,0,31.80
2006-06-23,0,31.90
2006-06-30,0,32.20
2006-07-07,0,32.16
2006-07-14,0,31.46
2006-07-21,0,33.33
2006-07-28,0,33.85
2006-08-04,0,33.78
2006-08-11,0,33.66
2006-08-18,0,34.23
2006-08-25,0,33.42
2006-09-01,0,33.93
2006-09-08,0,33.86
2006-09-15,0,35.11
2006-09-22,0,34.81
2006-09-29,0,35.26
2006-10-06,0,35.46
2006-10-13,0,35.38
2006-10-20,0,33.58
2006-10-27,0,34.36
2006-11-03,0,33.93
2006-11-10,0,34.90
2006-11-17,0,35.86
2006-11-24,0,35.80
2006-12-01,0,35.48
2006-12-08,0,39.15
2006-12-15,0,39.55
2006-12-22,0,39.35
2006-12-29,0,39.37
2007-01-05,0,39.42
2007-01-12,0,40.33
2007-01-19,0,41.02
2007-01-26,0,40.33
2007-02-02,0,40.77
2007-02-09,0,41.55
2007-02-16,0,43.17
2007-02-23,0,42.51
2007-03-02,0,39.81
2007-03-09,0,39.22
2007-03-16,0,39.02
2007-03-23,0,40.81
2007-03-30,0,40.55
2007-04-06,0,
2007-04-13,0,40.71
2007-04-20,0,41.50
2007-04-27,0,40.81
2007-05-04,0,41.27
2007-05-11,0,41.14
2007-05-18,0,40.30
2007-05-25,0,39.72
2007-06-01,0,40.45
2007-06-08,0,39.62
2007-06-15,0,42.14
2007-06-22,0,40.58
2007-06-29,0,41.44
2007-07-06,0,45.20
2007-07-13,0,46.14
2007-07-20,0,44.66
2007-07-27,0,42.36
2007-08-03,0,40.65
2007-08-10,0,42.33
2007-08-17,0,43.44
2007-08-24,0,42.12
2007-08-31,0,40.43
2007-09-07,0,39.72
2007-09-14,0,42.55
2007-09-21,0,43.92
2007-09-28,0,44.14
2007-10-05,0,44.79
2007-10-12,0,45.66
2007-10-19,0,45.59
2007-10-26,0,48.30
2007-11-02,0,47.20
2007-11-09,0,44.84
2007-11-16,0,46.79
2007-11-23,0,45.41
2007-11-30,0,47.96
2007-12-07,0,48.96
2007-12-14,0,48.11
2007-12-21,0,49.18
2007-12-28,0,48.50
2008-01-04,0,48.15
2008-01-11,0,46.50
2008-01-18,0,43.75
2008-01-25,0,43.88
2008-02-01,0,47.74
2008-02-08,0,46.18
2008-02-15,0,46.26
2008-02-22,0,46.10
2008-02-29,0,43.87
2008-03-07,0,43.60
2008-03-14,0,43.00
2008-03-21,0,
2008-03-28,0,41.29
2008-04-04,0,40.68
2008-04-11,0,42.67
2008-04-18,0,42.37
2008-04-25,0,44.37
2008-05-02,0,45.31
2008-05-09,0,43.08
2008-05-16,0,45.55
2008-05-23,0,43.56
2008-05-30,0,44.53
2008-06-06,0,41.15
2008-06-13,0,41.67
2008-06-20,0,40.53
2008-06-27,0,38.63
2008-07-04,0,
2008-07-11,0,35.66
2008-07-18,0,35.96
2008-07-25,0,35.06
2008-08-01,0,35.51
2008-08-08,0,37.45
2008-08-15,0,37.13
2008-08-22,0,34.39
2008-08-29,0,34.61
2008-09-05,0,36.34
2008-09-12,0,39.95
2008-09-19,0,35.70
2008-09-26,0,36.38
2008-10-03,0,29.78
2008-10-10,0,26.50
2008-10-17,0,29.81
2008-10-24,0,27.81
2008-10-31,0,32.99
2008-11-07,0,30.10
2008-11-14,0,30.24
2008-11-21,0,25.84
2008-11-28,0,30.21
2008-12-05,0,30.12
2008-12-12,0,26.01
2008-12-19,77,26.28
2008-12-26,0,26.27
2009-01-02,0,28.52
2009-01-09,0,25.59
2009-01-16,0,22.96
2009-01-23,0,23.88
2009-01-30,0,25.74
2009-02-06,0,28.41
2009-02-13,0,25.26
2009-02-20,0,22.83
2009-02-27,0,22.17
2009-03-06,0,18.25
2009-03-13,0,23.67
2009-03-20,0,23.80
2009-03-27,0,28.03
2009-04-03,0,29.00
2009-04-10,0,
2009-04-17,0,30.22
2009-04-24,0,26.88
2009-05-01,0,25.90
2009-05-08,0,32.15
2009-05-15,0,27.68
2009-05-22,0,26.91
2009-05-29,0,27.78
2009-06-05,0,28.22
2009-06-12,0,29.02
2009-06-19,0,29.60
2009-06-26,0,29.36
2009-07-03,0,
2009-07-10,0,27.26
2009-07-17,0,29.39
2009-07-24,0,26.74
2009-07-31,0,27.34
2009-08-07,0,30.31
2009-08-14,0,28.57
2009-08-21,0,29.12
2009-08-28,0,28.93
2009-09-04,0,28.09
2009-09-11,0,28.67
2009-09-18,0,30.30
2009-09-25,0,29.07
2009-10-02,0,27.60
2009-10-09,0,28.68
2009-10-16,0,27.24
2009-10-23,0,29.67
2009-10-30,0,26.66
2009-11-06,0,26.90
2009-11-13,0,27.45
2009-11-20,0,26.19
2009-11-27,0,26.30
2009-12-04,0,26.93
2009-12-11,0,26.94
2009-12-18,0,26.77
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,29.53
2010-01-15,0,29.03
2010-01-22,0,29.27
2010-01-29,0,29.09
2010-02-05,0,27.14
2010-02-12,0,27.05
2010-02-19,0,28.66
2010-02-26,0,28.52
2010-03-05,0,29.70
2010-03-12,0,29.72
2010-03-19,0,30.64
2010-03-26,0,30.90
2010-04-02,0,
2010-04-09,0,31.95
2010-04-16,0,31.57
2010-04-23,0,31.95
2010-04-30,0,31.13
2010-05-07,0,30.06
2010-05-14,0,29.70
2010-05-21,0,27.82
2010-05-28,0,27.20
2010-06-04,0,26.00
2010-06-11,0,26.19
2010-06-18,0,26.58
2010-06-25,0,25.88
2010-07-02,0,24.58
2010-07-09,0,26.23
2010-07-16,0,25.73
2010-07-23,51,25.82
2010-07-30,56,25.07
2010-08-06,62,25.73
2010-08-13,0,24.80
2010-08-20,0,24.65
2010-08-27,0,24.65
2010-09-03,0,26.07
2010-09-10,0,25.50
2010-09-17,47,25.43
2010-09-24,48,26.13
2010-10-01,49,26.34
2010-10-08,45,26.54
2010-10-15,45,25.84
2010-10-22,58,25.27
2010-10-29,66,25.06
2010-11-05,44,28.17
2010-11-12,44,27.49
2010-11-19,43,27.76
2010-11-26,43,27.14
2010-12-03,43,28.00
2010-12-10,43,28.95
2010-12-17,48,29.39
2010-12-24,56,
2010-12-31,64,30.20
2011-01-07,47,30.76
2011-01-14,48,32.37
2011-01-21,48,31.95
2011-01-28,0,30.88
2011-02-04,0,31.00
2011-02-11,0,32.15
2011-02-18,0,31.69
2011-02-25,0,30.63
2011-03-04,54,30.06
2011-03-11,74,28.96
2011-03-18,50,28.88
2011-03-25,50,29.45
2011-04-01,43,30.27
2011-04-08,44,30.22
2011-04-15,45,29.72
2011-04-22,46,
2011-04-29,39,28.96
2011-05-06,39,28.59
2011-05-13,40,28.07
2011-05-20,42,28.19
2011-05-27,43,27.72
2011-06-03,44,26.90
2011-06-10,45,26.27
2011-06-17,45,26.20
2011-06-24,46,24.64
2011-07-01,47,26.06
2011-07-08,43,25.80
2011-07-15,43,25.10
2011-07-22,43,25.76
2011-07-29,70,25.11
2011-08-05,43,22.79
2011-08-12,42,19.99
2011-08-19,42,18.95
2011-08-26,52,20.21
2011-09-02,39,19.95
2011-09-09,39,19.92
2011-09-16,39,21.14
2011-09-23,42,18.52
2011-09-30,53,18.59
2011-10-07,42,17.83
2011-10-14,44,18.97
2011-10-21,46,20.70
2011-10-28,48,22.41
2011-11-04,34,20.99
2011-11-11,34,21.51
2011-11-18,37,18.92
2011-11-25,54,17.70
2011-12-02,43,19.29
2011-12-09,36,19.60
2011-12-16,37,19.12
2011-12-23,59,20.08
2011-12-30,100,19.91
2012-01-06,60,20.45
2012-01-13,60,21.45
2012-01-20,56,21.28
2012-01-27,78,20.23
2012-02-03,43,21.94
2012-02-10,55,21.42
2012-02-17,49,22.01
2012-02-24,52,21.67
2012-03-02,41,22.30
2012-03-09,50,22.42
2012-03-16,49,24.14
2012-03-23,0,23.95
2012-03-30,0,24.13
2012-04-06,0,
2012-04-13,0,23.11
2012-04-20,0,22.85
2012-04-27,0,23.84
2012-05-04,34,23.07
2012-05-11,36,22.09
2012-05-18,39,20.24
2012-05-25,43,20.64
2012-06-01,42,19.65
2012-06-08,42,20.50
2012-06-15,42,21.09
2012-06-22,42,21.20
2012-06-29,40,21.95
2012-07-06,40,21.79
2012-07-13,36,21.77
2012-07-20,46,20.77
2012-07-27,46,21.39
2012-08-03,31,21.75
2012-08-10,34,22.25
2012-08-17,56,22.73
2012-08-24,30,22.43
2012-08-31,30,22.54
2012-09-07,33,22.92
2012-09-14,31,23.62
2012-09-21,31,23.30
2012-09-28,31,22.62
2012-10-05,37,23.42
2012-10-12,39,22.84
2012-10-19,44,24.68
2012-10-26,27,24.37
2012-11-02,27,24.53
2012-11-09,27,24.11
2012-11-16,36,23.64
2012-11-23,44,24.43
2012-11-30,34,23.94
2012-12-07,26,24.22
2012-12-14,37,24.72
2012-12-21,38,25.80
2012-12-28,38,25.42
2013-01-04,39,27.29
2013-01-11,40,26.78
2013-01-18,40,26.53
2013-01-25,68,27.08
2013-02-01,65,27.35
2013-02-08,43,27.90
2013-02-15,43,27.99
2013-02-22,27,27.63
2013-03-01,37,27.20
2013-03-08,26,28.52
2013-03-15,26,28.85
2013-03-22,26,28.27
2013-03-29,28,
2013-04-05,30,27.36
2013-04-12,32,28.45
2013-04-19,32,26.99
2013-04-26,34,27.89
2013-05-03,34,28.38
2013-05-10,35,28.29
2013-05-17,24,30.44
2013-05-24,24,29.51
2013-05-31,24,30.06
2013-06-07,24,29.85
2013-06-14,27,29.13
2013-06-21,24,28.45
2013-06-28,27,28.05
2013-07-05,28,29.26
2013-07-12,29,30.06
2013-07-19,31,31.77
2013-07-26,33,31.76
2013-08-02,35,31.80
2013-08-09,33,30.97
2013-08-16,28,30.57
2013-08-23,27,30.85
2013-08-30,29,29.74
2013-09-06,45,30.46
2013-09-13,28,31.11
2013-09-20,29,30.85
2013-09-27,31,30.24
2013-10-04,32,30.50
2013-10-11,30,30.77
2013-10-18,26,31.48
2013-10-25,29,31.83
2013-11-01,32,32.36
2013-11-08,34,33.15
2013-11-15,30,33.42
2013-11-22,40,33.63
2013-11-29,36,33.70
2013-12-06,33,33.62
2013-12-13,32,32.91
2013-12-20,35,33.88
2013-12-27,28,34.50
2014-01-03,44,34.96
2014-01-10,29,34.23
2014-01-17,37,32.70
2014-01-24,21,32.34
2014-01-31,30,31.96
2014-02-07,31,31.79
2014-02-14,32,31.79
2014-02-21,21,31.35
2014-02-28,28,32.00
2014-03-07,25,33.51
2014-03-14,25,33.13
2014-03-21,23,35.25
2014-03-28,36,35.10
2014-04-04,21,34.60
2014-04-11,25,33.12
2014-04-18,28,
2014-04-25,31,33.60
2014-05-02,0,
