Date,buy CF,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,0,
2005-02-04,0,
2005-02-11,0,
2005-02-18,0,
2005-02-25,0,
2005-03-04,0,
2005-03-11,0,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,0,
2005-05-13,0,
2005-05-20,0,
2005-05-27,0,
2005-06-03,0,
2005-06-10,0,
2005-06-17,0,
2005-06-24,0,
2005-07-01,0,
2005-07-08,0,
2005-07-15,0,
2005-07-22,0,
2005-07-29,0,
2005-08-05,0,
2005-08-12,0,17.93
2005-08-19,0,16.60
2005-08-26,0,17.47
2005-09-02,0,16.07
2005-09-09,0,16.57
2005-09-16,0,15.32
2005-09-23,0,15.59
2005-09-30,0,14.81
2005-10-07,0,13.50
2005-10-14,0,12.36
2005-10-21,0,12.96
2005-10-28,0,13.35
2005-11-04,0,13.40
2005-11-11,0,14.04
2005-11-18,0,15.61
2005-11-25,0,15.62
2005-12-02,0,15.53
2005-12-09,0,15.17
2005-12-16,0,15.10
2005-12-23,0,15.23
2005-12-30,0,15.25
2006-01-06,0,16.02
2006-01-13,0,16.37
2006-01-20,0,15.95
2006-01-27,0,17.02
2006-02-03,0,16.88
2006-02-10,0,17.35
2006-02-17,0,17.32
2006-02-24,0,18.45
2006-03-03,0,17.30
2006-03-10,0,16.86
2006-03-17,0,16.85
2006-03-24,0,17.00
2006-03-31,0,16.99
2006-04-07,0,16.83
2006-04-14,0,
2006-04-21,0,17.76
2006-04-28,0,17.30
2006-05-05,0,17.95
2006-05-12,0,16.84
2006-05-19,0,17.01
2006-05-26,0,17.15
2006-06-02,0,16.40
2006-06-09,0,14.92
2006-06-16,0,14.26
2006-06-23,0,14.13
2006-06-30,0,14.26
2006-07-07,0,13.75
2006-07-14,0,13.22
2006-07-21,0,13.84
2006-07-28,0,15.84
2006-08-04,0,15.40
2006-08-11,0,14.57
2006-08-18,0,15.26
2006-08-25,0,15.57
2006-09-01,0,15.91
2006-09-08,0,16.55
2006-09-15,0,16.72
2006-09-22,0,16.68
2006-09-29,0,17.07
2006-10-06,0,18.20
2006-10-13,0,18.75
2006-10-20,0,18.61
2006-10-27,0,20.01
2006-11-03,0,20.22
2006-11-10,0,21.35
2006-11-17,0,21.69
2006-11-24,0,22.85
2006-12-01,0,22.54
2006-12-08,0,23.37
2006-12-15,0,24.00
2006-12-22,0,24.96
2006-12-29,0,25.64
2007-01-05,0,26.59
2007-01-12,0,29.03
2007-01-19,0,29.29
2007-01-26,0,28.70
2007-02-02,0,31.56
2007-02-09,0,32.86
2007-02-16,0,34.35
2007-02-23,0,39.58
2007-03-02,0,36.56
2007-03-09,0,40.80
2007-03-16,0,40.24
2007-03-23,0,41.81
2007-03-30,0,38.55
2007-04-06,0,
2007-04-13,0,44.30
2007-04-20,0,44.00
2007-04-27,0,43.08
2007-05-04,0,40.23
2007-05-11,0,40.23
2007-05-18,0,42.12
2007-05-25,0,42.38
2007-06-01,0,46.31
2007-06-08,0,47.87
2007-06-15,0,54.96
2007-06-22,0,60.06
2007-06-29,0,59.89
2007-07-06,0,62.98
2007-07-13,0,67.08
2007-07-20,0,63.68
2007-07-27,0,53.71
2007-08-03,0,55.26
2007-08-10,0,51.95
2007-08-17,0,54.56
2007-08-24,0,63.17
2007-08-31,0,63.33
2007-09-07,0,63.00
2007-09-14,0,64.04
2007-09-21,0,73.50
2007-09-28,0,75.91
2007-10-05,0,72.98
2007-10-12,0,75.80
2007-10-19,0,78.95
2007-10-26,0,85.43
2007-11-02,0,89.54
2007-11-09,0,93.24
2007-11-16,0,84.89
2007-11-23,0,82.25
2007-11-30,0,90.98
2007-12-07,0,94.72
2007-12-14,0,96.99
2007-12-21,0,110.98
2007-12-28,0,111.99
2008-01-04,0,111.26
2008-01-11,0,112.60
2008-01-18,0,93.33
2008-01-25,0,104.13
2008-02-01,0,108.53
2008-02-08,0,108.25
2008-02-15,0,118.17
2008-02-22,0,125.86
2008-02-29,0,122.08
2008-03-07,0,114.60
2008-03-14,0,116.05
2008-03-21,0,
2008-03-28,0,108.56
2008-04-04,0,125.64
2008-04-11,0,138.43
2008-04-18,0,153.94
2008-04-25,88,144.13
2008-05-02,0,134.76
2008-05-09,0,136.83
2008-05-16,0,139.79
2008-05-23,0,127.30
2008-05-30,0,136.90
2008-06-06,0,146.67
2008-06-13,0,155.08
2008-06-20,0,166.75
2008-06-27,0,156.85
2008-07-04,0,
2008-07-11,0,159.05
2008-07-18,0,149.72
2008-07-25,0,143.72
2008-08-01,0,162.54
2008-08-08,0,134.65
2008-08-15,0,128.95
2008-08-22,0,144.47
2008-08-29,0,152.40
2008-09-05,81,131.20
2008-09-12,0,122.76
2008-09-19,0,119.43
2008-09-26,0,91.78
2008-10-03,0,56.48
2008-10-10,0,57.67
2008-10-17,0,55.35
2008-10-24,0,44.39
2008-10-31,0,64.19
2008-11-07,0,60.84
2008-11-14,0,54.97
2008-11-21,0,46.64
2008-11-28,0,52.63
2008-12-05,0,47.05
2008-12-12,0,49.13
2008-12-19,0,47.92
2008-12-26,0,46.80
2009-01-02,0,53.63
2009-01-09,0,53.91
2009-01-16,0,48.52
2009-01-23,0,46.78
2009-01-30,0,47.00
2009-02-06,0,54.63
2009-02-13,0,54.68
2009-02-20,74,55.72
2009-02-27,0,64.33
2009-03-06,0,60.59
2009-03-13,0,68.61
2009-03-20,0,67.68
2009-03-27,0,73.30
2009-04-03,65,74.54
2009-04-10,70,
2009-04-17,70,69.95
2009-04-24,70,71.09
2009-05-01,70,74.86
2009-05-08,70,73.81
2009-05-15,70,79.75
2009-05-22,69,80.76
2009-05-29,69,77.64
2009-06-05,69,78.35
2009-06-12,69,82.50
2009-06-19,69,74.99
2009-06-26,72,76.19
2009-07-03,75,
2009-07-10,78,69.62
2009-07-17,0,72.98
2009-07-24,0,78.07
2009-07-31,0,78.94
2009-08-07,0,83.36
2009-08-14,0,82.87
2009-08-21,0,81.79
2009-08-28,0,82.12
2009-09-04,0,85.93
2009-09-11,0,87.44
2009-09-18,64,90.19
2009-09-25,0,84.29
2009-10-02,0,82.95
2009-10-09,0,88.79
2009-10-16,0,90.63
2009-10-23,0,89.48
2009-10-30,0,83.25
2009-11-06,0,79.05
2009-11-13,0,80.36
2009-11-20,71,82.73
2009-11-27,59,83.94
2009-12-04,59,88.55
2009-12-11,60,89.99
2009-12-18,61,86.44
2009-12-25,83,
2010-01-01,59,
2010-01-08,59,98.31
2010-01-15,62,95.42
2010-01-22,61,96.13
2010-01-29,60,92.86
2010-02-05,66,94.22
2010-02-12,75,100.50
2010-02-19,67,104.14
2010-02-26,63,106.24
2010-03-05,64,104.74
2010-03-12,64,96.73
2010-03-19,64,91.40
2010-03-26,64,93.17
2010-04-02,79,
2010-04-09,49,92.90
2010-04-16,49,90.00
2010-04-23,54,85.10
2010-04-30,55,83.67
2010-05-07,50,73.30
2010-05-14,61,72.45
2010-05-21,71,68.15
2010-05-28,72,68.59
2010-06-04,73,60.93
2010-06-11,71,65.35
2010-06-18,57,64.25
2010-06-25,62,67.60
2010-07-02,67,68.42
2010-07-09,69,74.24
2010-07-16,67,76.96
2010-07-23,67,80.13
2010-07-30,67,81.19
2010-08-06,64,84.31
2010-08-13,48,84.65
2010-08-20,56,90.01
2010-08-27,65,93.16
2010-09-03,49,94.95
2010-09-10,56,95.30
2010-09-17,62,99.86
2010-09-24,49,100.36
2010-10-01,78,94.65
2010-10-08,47,109.90
2010-10-15,47,119.86
2010-10-22,46,117.65
2010-10-29,68,122.53
2010-11-05,55,122.47
2010-11-12,60,119.65
2010-11-19,66,117.71
2010-11-26,44,122.81
2010-12-03,44,126.83
2010-12-10,49,123.01
2010-12-17,52,124.98
2010-12-24,55,
2010-12-31,58,135.15
2011-01-07,62,137.47
2011-01-14,46,146.27
2011-01-21,38,133.30
2011-01-28,53,133.98
2011-02-04,44,142.66
2011-02-11,49,150.34
2011-02-18,41,137.87
2011-02-25,37,140.04
2011-03-04,40,134.31
2011-03-11,43,126.02
2011-03-18,45,127.40
2011-03-25,48,132.10
2011-04-01,52,139.29
2011-04-08,60,138.54
2011-04-15,59,129.98
2011-04-22,59,
2011-04-29,49,141.55
2011-05-06,49,137.82
2011-05-13,49,133.58
2011-05-20,57,139.06
2011-05-27,65,155.19
2011-06-03,72,151.41
2011-06-10,86,152.56
2011-06-17,100,136.06
2011-06-24,52,140.65
2011-07-01,41,139.52
2011-07-08,89,149.01
2011-07-15,53,154.22
2011-07-22,41,160.25
2011-07-29,79,155.32
2011-08-05,44,146.66
2011-08-12,61,168.20
2011-08-19,77,164.81
2011-08-26,56,180.35
2011-09-02,45,181.89
2011-09-09,41,180.09
2011-09-16,47,175.15
2011-09-23,44,145.69
2011-09-30,57,123.39
2011-10-07,50,134.71
2011-10-14,64,150.50
2011-10-21,50,153.40
2011-10-28,62,170.14
2011-11-04,39,173.82
2011-11-11,45,172.62
2011-11-18,51,151.68
2011-11-25,52,139.75
2011-12-02,51,140.73
2011-12-09,38,141.56
2011-12-16,70,129.89
2011-12-23,60,144.15
2011-12-30,52,144.98
2012-01-06,73,157.99
2012-01-13,39,172.55
2012-01-20,42,175.49
2012-01-27,30,179.59
2012-02-03,44,186.75
2012-02-10,74,180.15
2012-02-17,59,178.84
2012-02-24,32,183.88
2012-03-02,45,188.25
2012-03-09,36,178.73
2012-03-16,35,184.21
2012-03-23,47,188.76
2012-03-30,44,182.65
2012-04-06,48,
2012-04-13,51,186.25
2012-04-20,41,186.67
2012-04-27,34,197.97
2012-05-04,36,183.91
2012-05-11,29,172.18
2012-05-18,84,157.01
2012-05-25,55,166.56
2012-06-01,38,162.09
2012-06-08,40,170.52
2012-06-15,43,165.11
2012-06-22,43,177.69
2012-06-29,46,193.74
2012-07-06,44,196.17
2012-07-13,32,195.20
2012-07-20,46,202.77
2012-07-27,53,200.29
2012-08-03,62,202.02
2012-08-10,44,207.95
2012-08-17,39,216.63
2012-08-24,53,207.59
2012-08-31,85,207.01
2012-09-07,51,214.97
2012-09-14,56,223.69
2012-09-21,56,218.70
2012-09-28,36,222.24
2012-10-05,47,221.92
2012-10-12,29,210.51
2012-10-19,44,206.68
2012-10-26,53,204.82
2012-11-02,44,199.03
2012-11-09,44,196.04
2012-11-16,42,195.58
2012-11-23,39,210.12
2012-11-30,40,214.03
2012-12-07,30,212.31
2012-12-14,41,205.99
2012-12-21,50,199.80
2012-12-28,40,199.64
2013-01-04,35,210.88
2013-01-11,59,218.17
2013-01-18,50,219.06
2013-01-25,44,230.28
2013-02-01,33,229.96
2013-02-08,57,226.16
2013-02-15,51,216.67
2013-02-22,53,201.52
2013-03-01,60,201.50
2013-03-08,51,207.14
2013-03-15,55,203.89
2013-03-22,55,193.25
2013-03-29,34,
2013-04-05,47,189.97
2013-04-12,28,182.24
2013-04-19,65,179.15
2013-04-26,37,185.75
2013-05-03,35,184.00
2013-05-10,40,194.97
2013-05-17,44,190.52
2013-05-24,44,186.73
2013-05-31,42,190.96
2013-06-07,49,194.42
2013-06-14,37,184.56
2013-06-21,42,182.67
2013-06-28,51,171.50
2013-07-05,33,175.45
2013-07-12,36,184.14
2013-07-19,37,183.92
2013-07-26,33,181.00
2013-08-02,45,193.34
2013-08-09,40,188.25
2013-08-16,45,187.84
2013-08-23,49,194.30
2013-08-30,26,190.34
2013-09-06,41,194.19
2013-09-13,49,193.83
2013-09-20,38,208.17
2013-09-27,33,210.48
2013-10-04,35,216.38
2013-10-11,40,204.55
2013-10-18,42,215.16
2013-10-25,22,209.62
2013-11-01,57,214.94
2013-11-08,32,219.36
2013-11-15,30,218.90
2013-11-22,43,215.19
2013-11-29,39,217.38
2013-12-06,29,233.09
2013-12-13,47,225.55
2013-12-20,38,228.00
2013-12-27,53,231.13
2014-01-03,37,232.08
2014-01-10,31,246.16
2014-01-17,35,245.81
2014-01-24,27,232.68
2014-01-31,47,230.86
2014-02-07,32,234.06
2014-02-14,42,231.65
2014-02-21,26,242.97
2014-02-28,44,250.90
2014-03-07,39,261.09
2014-03-14,33,252.32
2014-03-21,38,254.00
2014-03-28,53,257.79
2014-04-04,42,255.62
2014-04-11,48,237.72
2014-04-18,38,
2014-04-25,31,240.69
2014-05-02,0,
