Date,buy DE,Price
2004-01-09,35,
2004-01-16,43,
2004-01-23,61,
2004-01-30,46,
2004-02-06,27,62.01
2004-02-13,30,64.01
2004-02-20,38,65.32
2004-02-27,36,64.23
2004-03-05,38,65.82
2004-03-12,58,64.61
2004-03-19,44,66.19
2004-03-26,29,68.23
2004-04-02,41,70.18
2004-04-09,45,
2004-04-16,39,73.31
2004-04-23,41,71.20
2004-04-30,43,68.04
2004-05-07,39,66.87
2004-05-14,32,66.86
2004-05-21,42,62.90
2004-05-28,39,65.70
2004-06-04,39,67.16
2004-06-11,39,
2004-06-18,43,69.17
2004-06-25,36,69.76
2004-07-02,40,66.70
2004-07-09,43,65.10
2004-07-16,47,65.90
2004-07-23,47,61.87
2004-07-30,48,62.81
2004-08-06,44,57.60
2004-08-13,41,59.38
2004-08-20,51,61.54
2004-08-27,44,62.67
2004-09-03,45,63.30
2004-09-10,45,63.45
2004-09-17,42,65.01
2004-09-24,44,62.70
2004-10-01,29,64.89
2004-10-08,38,63.01
2004-10-15,37,60.08
2004-10-22,42,58.80
2004-10-29,47,59.78
2004-11-05,43,65.08
2004-11-12,43,68.92
2004-11-19,43,69.26
2004-11-26,48,73.14
2004-12-03,35,70.98
2004-12-10,49,70.56
2004-12-17,46,73.02
2004-12-24,43,
2004-12-31,48,74.40
2005-01-07,42,70.50
2005-01-14,47,70.84
2005-01-21,46,68.00
2005-01-28,42,67.97
2005-02-04,51,69.35
2005-02-11,41,69.33
2005-02-18,40,66.57
2005-02-25,35,70.59
2005-03-04,48,72.35
2005-03-11,40,69.39
2005-03-18,44,68.37
2005-03-25,38,
2005-04-01,44,66.24
2005-04-08,42,67.01
2005-04-15,43,62.47
2005-04-22,44,64.57
2005-04-29,37,62.54
2005-05-06,44,62.69
2005-05-13,45,59.69
2005-05-20,40,64.44
2005-05-27,41,66.32
2005-06-03,39,64.57
2005-06-10,54,66.81
2005-06-17,36,67.93
2005-06-24,45,65.94
2005-07-01,46,66.10
2005-07-08,37,68.76
2005-07-15,55,69.75
2005-07-22,46,71.35
2005-07-29,49,73.53
2005-08-05,52,71.59
2005-08-12,43,72.60
2005-08-19,42,64.95
2005-08-26,48,63.83
2005-09-02,45,65.05
2005-09-09,37,64.55
2005-09-16,39,62.55
2005-09-23,38,60.55
2005-09-30,41,61.20
2005-10-07,48,61.11
2005-10-14,42,59.35
2005-10-21,48,57.16
2005-10-28,46,59.64
2005-11-04,40,61.95
2005-11-11,45,63.88
2005-11-18,46,63.10
2005-11-25,46,67.68
2005-12-02,43,68.87
2005-12-09,42,69.11
2005-12-16,45,70.02
2005-12-23,42,70.58
2005-12-30,45,68.11
2006-01-06,44,68.43
2006-01-13,43,69.60
2006-01-20,37,68.86
2006-01-27,41,72.40
2006-02-03,48,74.51
2006-02-10,41,73.62
2006-02-17,40,76.19
2006-02-24,41,77.64
2006-03-03,35,78.37
2006-03-10,41,74.97
2006-03-17,40,78.40
2006-03-24,39,78.25
2006-03-31,31,79.05
2006-04-07,31,79.63
2006-04-14,34,
2006-04-21,32,87.56
2006-04-28,37,87.78
2006-05-05,44,90.36
2006-05-12,44,89.63
2006-05-19,44,84.16
2006-05-26,39,87.08
2006-06-02,32,87.75
2006-06-09,34,79.82
2006-06-16,36,80.81
2006-06-23,29,79.94
2006-06-30,33,83.49
2006-07-07,39,80.53
2006-07-14,46,73.98
2006-07-21,41,70.08
2006-07-28,46,73.92
2006-08-04,34,73.12
2006-08-11,38,69.07
2006-08-18,35,72.73
2006-08-25,36,73.89
2006-09-01,43,79.09
2006-09-08,39,81.30
2006-09-15,37,80.87
2006-09-22,33,77.63
2006-09-29,42,83.91
2006-10-06,41,85.29
2006-10-13,45,88.90
2006-10-20,38,84.63
2006-10-27,39,87.00
2006-11-03,41,85.65
2006-11-10,40,87.11
2006-11-17,39,90.36
2006-11-24,42,97.02
2006-12-01,46,94.48
2006-12-08,46,97.07
2006-12-15,45,95.58
2006-12-22,49,94.21
2006-12-29,48,95.07
2007-01-05,47,90.89
2007-01-12,42,99.33
2007-01-19,33,98.70
2007-01-26,38,98.29
2007-02-02,28,104.33
2007-02-09,36,102.79
2007-02-16,38,113.93
2007-02-23,38,113.33
2007-03-02,34,105.17
2007-03-09,35,113.00
2007-03-16,40,110.04
2007-03-23,36,112.18
2007-03-30,42,108.64
2007-04-06,33,
2007-04-13,39,108.80
2007-04-20,43,111.56
2007-04-27,38,112.23
2007-05-04,42,113.84
2007-05-11,39,120.00
2007-05-18,43,116.51
2007-05-25,44,114.44
2007-06-01,46,119.76
2007-06-08,43,116.03
2007-06-15,44,121.75
2007-06-22,38,123.35
2007-06-29,37,120.74
2007-07-06,50,123.71
2007-07-13,49,131.08
2007-07-20,46,129.07
2007-07-27,51,118.94
2007-08-03,47,117.46
2007-08-10,51,117.30
2007-08-17,48,124.61
2007-08-24,46,130.26
2007-08-31,49,136.06
2007-09-07,45,135.86
2007-09-14,49,137.93
2007-09-21,49,147.28
2007-09-28,45,148.42
2007-10-05,42,147.27
2007-10-12,42,154.22
2007-10-19,47,145.14
2007-10-26,45,145.44
2007-11-02,51,152.73
2007-11-09,47,153.03
2007-11-16,51,145.06
2007-11-23,63,156.64
2007-11-30,55,171.80
2007-12-07,61,88.11
2007-12-14,45,87.16
2007-12-21,56,89.83
2007-12-28,56,92.28
2008-01-04,53,89.98
2008-01-11,47,89.26
2008-01-18,52,76.40
2008-01-25,51,82.88
2008-02-01,44,88.91
2008-02-08,44,82.46
2008-02-15,49,85.00
2008-02-22,47,87.17
2008-02-29,47,85.21
2008-03-07,44,83.22
2008-03-14,45,82.88
2008-03-21,45,
2008-03-28,50,79.94
2008-04-04,46,85.74
2008-04-11,46,86.31
2008-04-18,43,92.68
2008-04-25,50,90.00
2008-05-02,54,85.24
2008-05-09,49,86.31
2008-05-16,48,83.53
2008-05-23,51,80.42
2008-05-30,51,81.34
2008-06-06,49,81.31
2008-06-13,47,77.92
2008-06-20,50,76.37
2008-06-27,48,71.38
2008-07-04,48,
2008-07-11,49,64.99
2008-07-18,52,67.33
2008-07-25,52,69.18
2008-08-01,56,70.22
2008-08-08,53,69.06
2008-08-15,53,66.65
2008-08-22,53,67.54
2008-08-29,54,70.57
2008-09-05,49,63.23
2008-09-12,50,63.24
2008-09-19,49,63.38
2008-09-26,50,55.33
2008-10-03,55,39.24
2008-10-10,49,38.12
2008-10-17,50,39.42
2008-10-24,46,30.36
2008-10-31,48,38.56
2008-11-07,41,37.21
2008-11-14,53,33.79
2008-11-21,57,30.97
2008-11-28,63,34.81
2008-12-05,56,31.99
2008-12-12,66,36.86
2008-12-19,56,39.38
2008-12-26,70,38.47
2009-01-02,62,41.51
2009-01-09,52,45.99
2009-01-16,52,39.88
2009-01-23,55,36.62
2009-01-30,56,34.74
2009-02-06,58,41.81
2009-02-13,51,36.11
2009-02-20,56,28.89
2009-02-27,54,27.49
2009-03-06,56,25.51
2009-03-13,55,29.65
2009-03-20,54,30.72
2009-03-27,55,35.07
2009-04-03,54,37.30
2009-04-10,54,
2009-04-17,60,39.44
2009-04-24,55,40.52
2009-05-01,57,42.88
2009-05-08,56,44.91
2009-05-15,52,41.91
2009-05-22,55,41.90
2009-05-29,53,43.47
2009-06-05,58,46.47
2009-06-12,57,44.77
2009-06-19,57,40.06
2009-06-26,51,41.78
2009-07-03,53,
2009-07-10,58,35.31
2009-07-17,65,38.38
2009-07-24,62,42.36
2009-07-31,63,43.74
2009-08-07,59,46.31
2009-08-14,61,44.53
2009-08-21,60,44.80
2009-08-28,58,44.43
2009-09-04,58,42.18
2009-09-11,58,43.00
2009-09-18,56,45.07
2009-09-25,57,43.94
2009-10-02,56,41.13
2009-10-09,59,42.97
2009-10-16,55,44.04
2009-10-23,59,48.08
2009-10-30,60,45.55
2009-11-06,61,47.16
2009-11-13,61,47.58
2009-11-20,60,50.83
2009-11-27,86,52.36
2009-12-04,71,54.24
2009-12-11,67,52.44
2009-12-18,71,54.83
2009-12-25,76,
2010-01-01,67,
2010-01-08,62,57.63
2010-01-15,59,56.33
2010-01-22,56,53.02
2010-01-29,59,49.95
2010-02-05,58,49.82
2010-02-12,59,53.11
2010-02-19,59,57.28
2010-02-26,61,57.30
2010-03-05,55,59.54
2010-03-12,60,58.64
2010-03-19,53,58.99
2010-03-26,58,60.56
2010-04-02,62,
2010-04-09,57,61.68
2010-04-16,56,60.51
2010-04-23,56,61.79
2010-04-30,61,59.82
2010-05-07,63,56.38
2010-05-14,61,58.36
