Date,buy DRI,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,21.95
2004-02-13,0,22.19
2004-02-20,0,22.02
2004-02-27,0,24.40
2004-03-05,0,25.37
2004-03-12,0,24.55
2004-03-19,0,24.30
2004-03-26,0,24.53
2004-04-02,0,23.95
2004-04-09,0,
2004-04-16,0,23.87
2004-04-23,0,23.91
2004-04-30,0,22.66
2004-05-07,0,21.96
2004-05-14,0,22.00
2004-05-21,0,21.78
2004-05-28,0,22.50
2004-06-04,0,21.61
2004-06-11,0,
2004-06-18,0,21.36
2004-06-25,0,20.61
2004-07-02,0,20.33
2004-07-09,0,20.55
2004-07-16,0,21.36
2004-07-23,0,21.51
2004-07-30,0,21.33
2004-08-06,0,20.11
2004-08-13,0,19.42
2004-08-20,0,20.23
2004-08-27,0,21.28
2004-09-03,0,21.21
2004-09-10,0,21.00
2004-09-17,0,21.04
2004-09-24,0,23.13
2004-10-01,0,23.50
2004-10-08,0,24.45
2004-10-15,0,24.54
2004-10-22,0,23.49
2004-10-29,0,24.50
2004-11-05,0,26.92
2004-11-12,0,27.08
2004-11-19,0,25.98
2004-11-26,0,27.41
2004-12-03,0,27.41
2004-12-10,0,28.11
2004-12-17,0,26.62
2004-12-24,0,
2004-12-31,0,27.74
2005-01-07,0,28.37
2005-01-14,0,28.74
2005-01-21,0,27.72
2005-01-28,0,29.08
2005-02-04,0,28.19
2005-02-11,0,28.77
2005-02-18,0,27.14
2005-02-25,0,27.49
2005-03-04,0,28.64
2005-03-11,0,27.55
2005-03-18,0,27.04
2005-03-25,0,
2005-04-01,0,31.05
2005-04-08,0,30.81
2005-04-15,0,30.52
2005-04-22,0,30.44
2005-04-29,0,30.00
2005-05-06,0,30.80
2005-05-13,0,30.03
2005-05-20,0,31.96
2005-05-27,0,32.80
2005-06-03,0,32.91
2005-06-10,0,33.44
2005-06-17,0,33.00
2005-06-24,0,32.70
2005-07-01,0,33.03
2005-07-08,0,32.08
2005-07-15,0,34.10
2005-07-22,0,34.47
2005-07-29,0,34.70
2005-08-05,0,33.09
2005-08-12,0,33.51
2005-08-19,0,32.42
2005-08-26,0,31.59
2005-09-02,0,29.88
2005-09-09,0,31.62
2005-09-16,0,30.65
2005-09-23,0,29.72
2005-09-30,0,30.37
2005-10-07,0,29.84
2005-10-14,0,31.01
2005-10-21,0,31.19
2005-10-28,0,31.88
2005-11-04,0,34.47
2005-11-11,0,34.08
2005-11-18,0,35.35
2005-11-25,0,36.09
2005-12-02,0,36.56
2005-12-09,0,34.98
2005-12-16,0,38.81
2005-12-23,0,38.55
2005-12-30,0,38.88
2006-01-06,0,40.40
2006-01-13,0,40.46
2006-01-20,0,38.87
2006-01-27,0,41.03
2006-02-03,0,41.34
2006-02-10,0,41.98
2006-02-17,0,41.44
2006-02-24,0,42.75
2006-03-03,0,41.64
2006-03-10,0,40.83
2006-03-17,0,41.21
2006-03-24,0,41.58
2006-03-31,0,41.03
2006-04-07,0,40.31
2006-04-14,0,
2006-04-21,0,40.68
2006-04-28,0,39.60
2006-05-05,0,39.09
2006-05-12,0,36.81
2006-05-19,0,36.25
2006-05-26,0,36.51
2006-06-02,0,35.51
2006-06-09,0,35.63
2006-06-16,0,36.05
2006-06-23,0,37.15
2006-06-30,0,39.40
2006-07-07,0,37.94
2006-07-14,0,34.68
2006-07-21,0,33.29
2006-07-28,0,33.85
2006-08-04,0,35.21
2006-08-11,0,34.38
2006-08-18,0,37.00
2006-08-25,0,34.65
2006-09-01,0,35.96
2006-09-08,0,36.47
2006-09-15,0,38.78
2006-09-22,0,42.38
2006-09-29,0,42.47
2006-10-06,0,43.81
2006-10-13,0,43.54
2006-10-20,0,41.57
2006-10-27,0,41.00
2006-11-03,0,39.91
2006-11-10,0,40.92
2006-11-17,0,40.78
2006-11-24,0,40.25
2006-12-01,0,40.06
2006-12-08,0,40.20
2006-12-15,0,40.44
2006-12-22,0,40.42
2006-12-29,0,40.17
2007-01-05,0,39.13
2007-01-12,0,39.43
2007-01-19,0,39.91
2007-01-26,0,38.32
2007-02-02,0,40.28
2007-02-09,0,41.38
2007-02-16,0,42.71
2007-02-23,0,42.66
2007-03-02,0,39.79
2007-03-09,0,39.80
2007-03-16,0,39.43
2007-03-23,0,41.32
2007-03-30,0,41.19
2007-04-06,0,
2007-04-13,0,40.79
2007-04-20,0,41.25
2007-04-27,0,42.32
2007-05-04,0,43.22
2007-05-11,0,45.80
2007-05-18,0,45.34
2007-05-25,0,45.32
2007-06-01,0,45.80
2007-06-08,0,45.22
2007-06-15,0,46.86
2007-06-22,0,42.93
2007-06-29,0,43.99
2007-07-06,0,44.41
2007-07-13,0,44.84
2007-07-20,0,43.53
2007-07-27,0,42.01
2007-08-03,0,44.56
2007-08-10,0,42.94
2007-08-17,0,38.93
2007-08-24,0,42.33
2007-08-31,0,41.60
2007-09-07,0,40.87
2007-09-14,0,42.44
2007-09-21,0,43.82
2007-09-28,0,41.86
2007-10-05,0,44.06
2007-10-12,0,43.27
2007-10-19,0,43.10
2007-10-26,0,42.91
2007-11-02,0,41.01
2007-11-09,0,40.13
2007-11-16,0,39.79
2007-11-23,0,39.40
2007-11-30,0,39.79
2007-12-07,0,39.26
2007-12-14,0,35.79
2007-12-21,0,27.51
2007-12-28,0,27.62
2008-01-04,0,25.59
2008-01-11,0,22.19
2008-01-18,0,22.19
2008-01-25,0,26.21
2008-02-01,0,28.84
2008-02-08,0,26.86
2008-02-15,0,30.54
2008-02-22,0,31.38
2008-02-29,0,30.83
2008-03-07,0,28.25
2008-03-14,0,29.28
2008-03-21,0,
2008-03-28,0,31.69
2008-04-04,0,34.41
2008-04-11,0,33.95
2008-04-18,0,35.72
2008-04-25,0,35.74
2008-05-02,0,36.53
2008-05-09,0,35.77
2008-05-16,0,36.02
2008-05-23,0,31.74
2008-05-30,0,34.25
2008-06-06,0,32.16
2008-06-13,0,32.47
2008-06-20,0,31.64
2008-06-27,0,32.26
2008-07-04,0,
2008-07-11,0,29.21
2008-07-18,0,31.52
2008-07-25,0,31.10
2008-08-01,0,32.07
2008-08-08,0,35.65
2008-08-15,0,36.04
2008-08-22,0,33.57
2008-08-29,0,29.29
2008-09-05,0,29.75
2008-09-12,0,30.43
2008-09-19,0,31.72
2008-09-26,0,28.56
2008-10-03,0,27.45
2008-10-10,0,21.43
2008-10-17,0,21.21
2008-10-24,0,18.71
2008-10-31,0,22.17
2008-11-07,0,19.59
2008-11-14,0,17.36
2008-11-21,0,14.30
2008-11-28,0,18.29
2008-12-05,0,20.50
2008-12-12,0,22.00
2008-12-19,0,28.55
2008-12-26,0,28.50
2009-01-02,0,29.54
2009-01-09,0,26.68
2009-01-16,0,25.97
2009-01-23,0,26.63
2009-01-30,0,26.22
2009-02-06,0,28.69
2009-02-13,0,29.32
2009-02-20,0,28.23
2009-02-27,0,27.14
2009-03-06,0,24.86
2009-03-13,0,28.60
2009-03-20,0,33.88
2009-03-27,0,35.41
2009-04-03,0,36.49
2009-04-10,0,
2009-04-17,0,39.53
2009-04-24,0,39.72
2009-05-01,0,36.12
2009-05-08,0,36.02
2009-05-15,0,34.10
2009-05-22,0,33.04
2009-05-29,0,36.17
2009-06-05,0,34.93
2009-06-12,0,33.80
2009-06-19,0,34.70
2009-06-26,0,32.21
2009-07-03,0,
2009-07-10,0,32.36
2009-07-17,0,33.71
2009-07-24,0,33.52
2009-07-31,0,32.39
2009-08-07,0,31.92
2009-08-14,0,31.71
2009-08-21,0,33.27
2009-08-28,0,33.52
2009-09-04,0,34.41
2009-09-11,0,34.55
2009-09-18,0,37.12
2009-09-25,0,35.60
2009-10-02,0,33.20
2009-10-09,0,32.99
2009-10-16,0,33.21
2009-10-23,0,31.29
2009-10-30,0,30.31
2009-11-06,0,32.65
2009-11-13,0,32.10
2009-11-20,0,31.44
2009-11-27,0,31.15
2009-12-04,0,32.21
2009-12-11,0,32.45
2009-12-18,0,35.13
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,34.13
2010-01-15,0,35.30
2010-01-22,83,36.16
2010-01-29,0,36.96
2010-02-05,0,37.59
2010-02-12,0,38.99
2010-02-19,0,41.05
2010-02-26,0,40.55
2010-03-05,0,40.98
2010-03-12,0,42.02
2010-03-19,0,43.65
2010-03-26,0,44.29
2010-04-02,0,
2010-04-09,0,46.80
2010-04-16,0,46.86
2010-04-23,0,48.68
2010-04-30,90,44.75
2010-05-07,0,42.61
2010-05-14,0,43.47
2010-05-21,0,41.60
2010-05-28,0,42.90
2010-06-04,0,42.27
2010-06-11,100,43.29
2010-06-18,88,44.48
2010-06-25,88,39.00
2010-07-02,88,38.48
2010-07-09,88,39.43
2010-07-16,79,39.76
2010-07-23,0,42.57
2010-07-30,0,41.89
2010-08-06,0,41.82
2010-08-13,0,39.65
2010-08-20,0,41.27
2010-08-27,0,42.49
2010-09-03,0,44.56
2010-09-10,0,44.75
2010-09-17,0,44.73
2010-09-24,0,43.61
2010-10-01,0,42.99
2010-10-08,0,44.12
2010-10-15,0,44.74
2010-10-22,0,46.87
2010-10-29,0,45.71
2010-11-05,0,48.19
2010-11-12,0,48.65
2010-11-19,0,49.04
2010-11-26,0,49.49
2010-12-03,0,50.32
2010-12-10,0,49.48
2010-12-17,0,49.89
2010-12-24,0,
2010-12-31,0,46.44
2011-01-07,0,46.51
2011-01-14,0,46.15
2011-01-21,0,46.40
2011-01-28,62,45.18
2011-02-04,65,48.99
2011-02-11,68,49.49
2011-02-18,0,50.10
2011-02-25,0,47.28
2011-03-04,0,46.32
2011-03-11,0,46.99
2011-03-18,0,46.19
2011-03-25,0,45.63
2011-04-01,0,48.65
2011-04-08,68,46.89
2011-04-15,63,47.69
2011-04-22,63,
2011-04-29,63,46.97
2011-05-06,0,48.43
2011-05-13,0,50.31
2011-05-20,0,51.52
2011-05-27,0,50.92
2011-06-03,0,48.08
2011-06-10,0,46.96
2011-06-17,0,47.12
2011-06-24,61,48.51
2011-07-01,0,52.79
2011-07-08,0,53.22
2011-07-15,0,52.60
2011-07-22,0,53.28
2011-07-29,0,50.80
2011-08-05,0,47.96
2011-08-12,0,48.70
2011-08-19,0,44.95
2011-08-26,0,45.84
2011-09-02,0,46.43
2011-09-09,0,43.37
2011-09-16,0,45.61
2011-09-23,0,46.06
2011-09-30,0,42.75
2011-10-07,0,44.12
2011-10-14,68,46.66
2011-10-21,76,47.17
2011-10-28,68,48.50
2011-11-04,68,47.36
2011-11-11,68,47.41
2011-11-18,68,46.47
2011-11-25,57,44.60
2011-12-02,57,47.53
2011-12-09,57,43.21
2011-12-16,57,43.68
2011-12-23,54,45.70
2011-12-30,54,45.58
2012-01-06,54,44.34
2012-01-13,54,44.56
2012-01-20,48,46.75
2012-01-27,48,46.13
2012-02-03,48,48.52
2012-02-10,48,49.45
2012-02-17,71,50.90
2012-02-24,71,49.19
2012-03-02,71,49.76
2012-03-09,71,51.46
2012-03-16,71,52.51
2012-03-23,68,50.92
2012-03-30,68,51.16
2012-04-06,49,
2012-04-13,69,50.28
2012-04-20,47,49.93
2012-04-27,47,50.44
2012-05-04,47,50.62
2012-05-11,47,50.63
2012-05-18,50,51.13
2012-05-25,53,53.06
2012-06-01,54,49.87
2012-06-08,55,50.02
2012-06-15,56,51.46
2012-06-22,63,50.04
2012-06-29,70,50.63
2012-07-06,47,50.79
2012-07-13,47,50.22
2012-07-20,56,51.10
2012-07-27,48,51.99
2012-08-03,53,52.45
2012-08-10,58,52.85
2012-08-17,63,53.87
2012-08-24,55,52.35
2012-08-31,55,51.95
2012-09-07,55,53.49
2012-09-14,50,54.04
2012-09-21,50,57.21
2012-09-28,63,55.75
2012-10-05,67,55.09
2012-10-12,43,54.35
2012-10-19,43,53.83
2012-10-26,52,52.54
2012-11-02,47,52.63
2012-11-09,43,51.61
2012-11-16,43,50.92
2012-11-23,41,53.53
2012-11-30,41,52.88
2012-12-07,70,46.66
2012-12-14,51,46.46
2012-12-21,51,45.13
2012-12-28,40,44.44
2013-01-04,40,46.46
2013-01-11,40,44.92
2013-01-18,46,45.38
2013-01-25,51,45.87
2013-02-01,39,46.84
2013-02-08,43,47.36
2013-02-15,42,45.15
2013-02-22,42,46.23
2013-03-01,42,46.18
2013-03-08,41,47.33
2013-03-15,41,49.37
2013-03-22,42,49.62
2013-03-29,43,
2013-04-05,46,50.54
2013-04-12,49,50.26
2013-04-19,51,48.89
2013-04-26,53,50.99
2013-05-03,42,52.82
2013-05-10,38,53.56
2013-05-17,38,53.43
2013-05-24,87,52.83
2013-05-31,50,51.80
2013-06-07,49,54.23
2013-06-14,49,52.54
2013-06-21,49,50.12
2013-06-28,49,50.48
2013-07-05,55,51.33
2013-07-12,66,50.43
2013-07-19,51,49.49
2013-07-26,58,48.93
2013-08-02,57,49.88
2013-08-09,0,49.56
2013-08-16,0,47.91
2013-08-23,0,47.01
2013-08-30,0,46.21
2013-09-06,0,47.45
2013-09-13,0,48.37
2013-09-20,0,45.78
2013-09-27,40,46.70
2013-10-04,42,46.72
2013-10-11,43,50.50
2013-10-18,50,52.07
2013-10-25,56,51.70
2013-11-01,49,51.48
2013-11-08,49,52.16
2013-11-15,35,53.50
2013-11-22,35,53.87
2013-11-29,38,53.33
2013-12-06,41,52.48
2013-12-13,35,51.63
2013-12-20,47,51.09
2013-12-27,41,54.33
2014-01-03,41,53.01
2014-01-10,41,52.12
2014-01-17,41,50.96
2014-01-24,43,50.10
2014-01-31,51,49.44
2014-02-07,59,48.26
2014-02-14,63,48.38
2014-02-21,37,51.01
2014-02-28,40,51.06
2014-03-07,43,49.95
2014-03-14,45,49.22
2014-03-21,46,50.66
2014-03-28,39,50.62
2014-04-04,41,51.24
2014-04-11,43,48.46
2014-04-18,45,
2014-04-25,48,49.92
2014-05-02,0,
