Date,buy ED,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,43.43
2004-02-13,0,43.34
2004-02-20,0,43.57
2004-02-27,0,44.17
2004-03-05,0,44.90
2004-03-12,0,43.80
2004-03-19,0,44.12
2004-03-26,0,43.91
2004-04-02,0,43.87
2004-04-09,0,
2004-04-16,0,42.33
2004-04-23,0,42.14
2004-04-30,0,41.21
2004-05-07,0,39.98
2004-05-14,0,38.18
2004-05-21,0,37.79
2004-05-28,0,39.26
2004-06-04,0,39.20
2004-06-11,0,
2004-06-18,0,39.53
2004-06-25,0,40.28
2004-07-02,0,39.63
2004-07-09,0,39.44
2004-07-16,0,39.91
2004-07-23,0,40.05
2004-07-30,0,40.97
2004-08-06,0,41.62
2004-08-13,0,40.90
2004-08-20,0,40.87
2004-08-27,0,41.27
2004-09-03,0,42.66
2004-09-10,0,41.93
2004-09-17,0,42.51
2004-09-24,0,41.66
2004-10-01,0,42.31
2004-10-08,0,42.49
2004-10-15,0,43.25
2004-10-22,0,43.35
2004-10-29,0,43.45
2004-11-05,0,45.04
2004-11-12,0,45.59
2004-11-19,0,44.55
2004-11-26,0,45.40
2004-12-03,74,43.59
2004-12-10,0,43.45
2004-12-17,0,44.08
2004-12-24,0,
2004-12-31,0,43.75
2005-01-07,0,42.87
2005-01-14,0,43.43
2005-01-21,0,43.40
2005-01-28,0,43.30
2005-02-04,0,44.19
2005-02-11,0,44.60
2005-02-18,0,43.46
2005-02-25,0,43.10
2005-03-04,0,42.91
2005-03-11,0,41.90
2005-03-18,0,41.85
2005-03-25,0,
2005-04-01,0,41.84
2005-04-08,0,42.20
2005-04-15,0,42.21
2005-04-22,0,43.17
2005-04-29,0,43.28
2005-05-06,0,44.28
2005-05-13,66,45.39
2005-05-20,0,45.72
2005-05-27,0,45.33
2005-06-03,0,45.99
2005-06-10,0,45.58
2005-06-17,0,45.91
2005-06-24,0,46.01
2005-07-01,0,47.08
2005-07-08,0,47.85
2005-07-15,0,48.07
2005-07-22,0,47.87
2005-07-29,0,48.16
2005-08-05,0,47.62
2005-08-12,0,47.50
2005-08-19,0,46.18
2005-08-26,0,46.20
2005-09-02,0,47.65
2005-09-09,0,48.15
2005-09-16,0,49.24
2005-09-23,0,48.22
2005-09-30,0,48.55
2005-10-07,0,47.03
2005-10-14,0,44.54
2005-10-21,0,44.88
2005-10-28,0,45.21
2005-11-04,0,45.44
2005-11-11,0,45.90
2005-11-18,0,45.53
2005-11-25,0,46.01
2005-12-02,0,45.81
2005-12-09,58,45.46
2005-12-16,59,46.85
2005-12-23,60,46.94
2005-12-30,61,46.33
2006-01-06,75,46.81
2006-01-13,44,46.30
2006-01-20,44,46.73
2006-01-27,44,47.29
2006-02-03,48,46.10
2006-02-10,64,46.14
2006-02-17,46,45.45
2006-02-24,40,46.49
2006-03-03,40,45.09
2006-03-10,40,44.65
2006-03-17,40,45.09
2006-03-24,40,44.60
2006-03-31,0,43.50
2006-04-07,0,42.39
2006-04-14,0,
2006-04-21,0,42.67
2006-04-28,0,43.12
2006-05-05,0,43.12
2006-05-12,0,41.81
2006-05-19,0,42.15
2006-05-26,48,44.06
2006-06-02,0,44.45
2006-06-09,0,44.61
2006-06-16,0,44.23
2006-06-23,0,43.49
2006-06-30,0,44.44
2006-07-07,0,45.10
2006-07-14,0,45.21
2006-07-21,0,46.80
2006-07-28,0,46.99
2006-08-04,48,46.65
2006-08-11,37,45.80
2006-08-18,37,45.34
2006-08-25,37,45.39
2006-09-01,38,45.90
2006-09-08,38,45.29
2006-09-15,39,45.73
2006-09-22,43,46.02
2006-09-29,47,46.20
2006-10-06,51,46.43
2006-10-13,55,46.74
2006-10-20,49,47.89
2006-10-27,49,48.23
2006-11-03,49,48.02
2006-11-10,45,48.30
2006-11-17,45,47.99
2006-11-24,45,47.85
2006-12-01,31,48.22
2006-12-08,43,47.83
2006-12-15,34,48.67
2006-12-22,47,47.76
2006-12-29,53,48.07
2007-01-05,58,47.63
2007-01-12,43,47.36
2007-01-19,40,47.74
2007-01-26,34,48.10
2007-02-02,42,48.46
2007-02-09,45,49.03
2007-02-16,47,48.72
2007-02-23,40,49.33
2007-03-02,26,48.08
2007-03-09,27,48.40
2007-03-16,33,48.61
2007-03-23,37,50.42
2007-03-30,43,51.06
2007-04-06,36,
2007-04-13,30,51.79
2007-04-20,37,52.00
2007-04-27,29,51.80
2007-05-04,29,51.42
2007-05-11,34,50.97
2007-05-18,46,50.95
2007-05-25,37,48.12
2007-06-01,29,48.48
2007-06-08,46,46.59
2007-06-15,34,47.37
2007-06-22,24,45.20
2007-06-29,31,45.12
2007-07-06,37,45.21
2007-07-13,39,46.09
2007-07-20,42,45.37
2007-07-27,34,43.65
2007-08-03,34,43.87
2007-08-10,44,47.43
2007-08-17,44,45.96
2007-08-24,39,46.80
2007-08-31,30,45.94
2007-09-07,59,45.54
2007-09-14,59,46.26
2007-09-21,39,46.98
2007-09-28,64,46.30
2007-10-05,47,47.27
2007-10-12,55,46.77
2007-10-19,39,45.12
2007-10-26,48,46.67
2007-11-02,52,46.90
2007-11-09,42,46.33
2007-11-16,38,46.83
2007-11-23,49,48.45
2007-11-30,45,48.45
2007-12-07,54,49.49
2007-12-14,46,49.26
2007-12-21,58,48.64
2007-12-28,48,48.93
2008-01-04,54,47.92
2008-01-11,73,46.92
2008-01-18,63,44.60
2008-01-25,37,43.27
2008-02-01,55,44.38
2008-02-08,47,43.37
2008-02-15,59,42.40
2008-02-22,41,42.14
2008-02-29,42,40.89
2008-03-07,46,40.85
2008-03-14,58,40.67
2008-03-21,45,
2008-03-28,55,39.45
2008-04-04,49,41.59
2008-04-11,48,41.27
2008-04-18,57,41.52
2008-04-25,44,41.45
2008-05-02,47,42.49
2008-05-09,42,41.95
2008-05-16,55,41.65
2008-05-23,44,41.09
2008-05-30,48,41.30
2008-06-06,69,40.04
2008-06-13,33,40.36
2008-06-20,63,39.69
2008-06-27,76,38.42
2008-07-04,71,
2008-07-11,65,38.77
2008-07-18,53,38.48
2008-07-25,63,38.28
2008-08-01,60,38.80
2008-08-08,76,41.50
2008-08-15,56,40.76
2008-08-22,59,41.26
2008-08-29,92,40.90
2008-09-05,71,40.56
2008-09-12,60,43.58
2008-09-19,68,44.31
2008-09-26,75,43.66
2008-10-03,73,43.16
2008-10-10,77,37.61
2008-10-17,50,39.15
2008-10-24,67,40.21
2008-10-31,65,43.32
2008-11-07,76,42.13
2008-11-14,77,39.19
2008-11-21,71,40.00
2008-11-28,99,40.39
2008-12-05,70,38.97
2008-12-12,78,38.88
2008-12-19,92,38.64
2008-12-26,77,38.31
2009-01-02,62,39.26
2009-01-09,79,39.66
2009-01-16,62,40.07
2009-01-23,73,40.05
2009-01-30,70,40.75
2009-02-06,47,41.28
2009-02-13,57,39.37
2009-02-20,58,37.54
2009-02-27,51,36.21
2009-03-06,65,33.94
2009-03-13,53,35.06
2009-03-20,66,37.79
2009-03-27,63,38.38
2009-04-03,55,39.25
2009-04-10,74,
2009-04-17,62,38.76
2009-04-24,64,37.45
2009-05-01,71,37.37
2009-05-08,82,37.58
2009-05-15,60,34.86
2009-05-22,56,34.60
2009-05-29,61,35.46
2009-06-05,81,35.78
2009-06-12,65,37.08
2009-06-19,67,36.79
2009-06-26,92,37.04
2009-07-03,76,
2009-07-10,74,36.63
2009-07-17,74,37.39
2009-07-24,71,39.01
2009-07-31,61,39.36
2009-08-07,89,39.86
2009-08-14,79,40.64
2009-08-21,82,40.50
2009-08-28,75,40.39
2009-09-04,85,39.87
2009-09-11,56,39.63
2009-09-18,60,41.48
2009-09-25,65,41.07
2009-10-02,50,40.35
2009-10-09,66,41.09
2009-10-16,61,41.33
2009-10-23,73,41.81
2009-10-30,75,40.68
2009-11-06,64,41.53
2009-11-13,74,42.46
2009-11-20,70,41.90
2009-11-27,100,42.44
2009-12-04,76,44.05
2009-12-11,77,45.18
2009-12-18,89,45.37
2009-12-25,98,
2010-01-01,68,
2010-01-08,76,45.25
2010-01-15,99,45.72
2010-01-22,73,43.51
2010-01-29,71,43.74
2010-02-05,59,43.18
2010-02-12,60,42.22
2010-02-19,61,43.13
2010-02-26,52,42.75
2010-03-05,70,43.62
2010-03-12,70,43.70
2010-03-19,58,44.30
2010-03-26,56,44.18
2010-04-02,63,
2010-04-09,65,44.85
2010-04-16,48,44.54
2010-04-23,54,45.41
2010-04-30,53,45.20
2010-05-07,50,44.34
2010-05-14,49,44.44
2010-05-21,56,43.29
2010-05-28,68,42.59
2010-06-04,47,41.66
2010-06-11,65,43.13
2010-06-18,47,44.89
2010-06-25,70,43.84
2010-07-02,53,43.19
2010-07-09,57,45.27
2010-07-16,55,45.06
2010-07-23,50,46.30
2010-07-30,60,46.12
2010-08-06,49,47.57
2010-08-13,58,47.55
2010-08-20,63,46.70
2010-08-27,63,47.88
2010-09-03,64,48.44
2010-09-10,73,47.69
2010-09-17,62,47.92
2010-09-24,56,48.79
2010-10-01,59,48.33
2010-10-08,60,48.27
2010-10-15,49,48.60
2010-10-22,62,49.12
2010-10-29,44,49.72
2010-11-05,44,51.00
2010-11-12,45,49.74
2010-11-19,65,48.63
2010-11-26,64,48.18
2010-12-03,73,49.02
2010-12-10,80,48.88
2010-12-17,95,49.34
2010-12-24,76,
2010-12-31,74,49.57
2011-01-07,53,49.54
2011-01-14,67,49.83
2011-01-21,55,49.87
2011-01-28,51,50.07
2011-02-04,57,49.59
2011-02-11,53,50.10
2011-02-18,52,49.02
2011-02-25,58,49.41
2011-03-04,50,49.71
2011-03-11,42,50.27
2011-03-18,52,49.51
2011-03-25,58,50.01
2011-04-01,62,51.05
2011-04-08,62,50.90
2011-04-15,54,50.71
2011-04-22,59,
2011-04-29,56,52.12
2011-05-06,39,53.10
2011-05-13,52,54.12
2011-05-20,49,53.91
2011-05-27,44,52.73
2011-06-03,56,52.32
2011-06-10,44,51.83
2011-06-17,51,52.78
2011-06-24,41,52.40
2011-07-01,53,54.06
2011-07-08,49,53.56
2011-07-15,43,53.25
2011-07-22,45,53.58
2011-07-29,51,52.60
2011-08-05,48,53.27
2011-08-12,64,53.73
2011-08-19,63,54.36
2011-08-26,54,55.59
2011-09-02,52,56.07
2011-09-09,46,55.12
2011-09-16,54,57.42
2011-09-23,48,56.74
2011-09-30,40,57.02
2011-10-07,41,56.11
2011-10-14,42,57.55
2011-10-21,49,59.76
2011-10-28,52,58.04
2011-11-04,45,58.56
2011-11-11,54,59.64
2011-11-18,48,58.14
2011-11-25,53,57.16
2011-12-02,60,58.61
2011-12-09,57,59.24
2011-12-16,69,59.78
2011-12-23,62,61.98
2011-12-30,54,62.03
2012-01-06,51,59.10
2012-01-13,49,59.18
2012-01-20,51,58.76
2012-01-27,64,58.89
2012-02-03,58,58.82
2012-02-10,54,59.13
2012-02-17,49,57.87
2012-02-24,50,58.84
2012-03-02,52,58.31
2012-03-09,50,58.39
2012-03-16,48,57.62
2012-03-23,40,57.13
2012-03-30,34,58.42
2012-04-06,41,
2012-04-13,38,57.75
2012-04-20,48,58.61
2012-04-27,46,59.31
2012-05-04,53,59.38
2012-05-11,45,59.81
2012-05-18,39,58.67
2012-05-25,42,59.61
2012-06-01,38,60.29
2012-06-08,37,62.24
2012-06-15,46,63.10
2012-06-22,46,61.50
2012-06-29,49,62.19
2012-07-06,38,62.14
2012-07-13,44,63.42
2012-07-20,44,63.77
2012-07-27,46,64.90
2012-08-03,49,64.66
2012-08-10,53,63.87
2012-08-17,43,61.68
2012-08-24,42,61.42
2012-08-31,45,60.62
2012-09-07,47,60.63
2012-09-14,49,59.81
2012-09-21,42,59.10
2012-09-28,52,59.89
2012-10-05,48,60.22
2012-10-12,43,59.83
2012-10-19,54,60.47
2012-10-26,42,59.97
2012-11-02,44,59.20
2012-11-09,47,55.74
2012-11-16,45,54.98
2012-11-23,60,54.10
2012-11-30,50,55.79
2012-12-07,48,56.03
2012-12-14,57,56.12
2012-12-21,59,56.05
2012-12-28,45,54.93
2013-01-04,58,56.90
2013-01-11,54,55.91
2013-01-18,55,55.78
2013-01-25,47,56.51
2013-02-01,45,57.05
2013-02-08,51,57.15
2013-02-15,46,56.58
2013-02-22,43,58.48
2013-03-01,39,59.02
2013-03-08,37,58.95
2013-03-15,41,59.17
2013-03-22,53,59.09
2013-03-29,35,
2013-04-05,38,61.31
2013-04-12,38,61.91
2013-04-19,31,62.48
2013-04-26,48,62.84
2013-05-03,43,63.66
2013-05-10,39,61.57
2013-05-17,33,60.79
2013-05-24,36,58.66
2013-05-31,33,57.07
2013-06-07,34,57.43
2013-06-14,38,57.82
2013-06-21,37,56.39
2013-06-28,39,58.31
2013-07-05,35,57.16
2013-07-12,39,59.20
2013-07-19,50,60.48
2013-07-26,40,59.93
2013-08-02,37,60.37
2013-08-09,48,60.30
2013-08-16,33,56.64
2013-08-23,44,56.59
2013-08-30,51,56.23
2013-09-06,38,55.59
2013-09-13,35,54.88
2013-09-20,30,55.97
2013-09-27,29,55.15
2013-10-04,43,54.51
2013-10-11,31,56.26
2013-10-18,47,56.86
2013-10-25,40,58.59
2013-11-01,36,58.41
2013-11-08,36,57.27
2013-11-15,44,58.07
2013-11-22,40,55.92
2013-11-29,45,55.21
2013-12-06,46,55.85
2013-12-13,47,54.33
2013-12-20,39,54.77
2013-12-27,40,55.05
2014-01-03,33,53.45
2014-01-10,44,54.33
2014-01-17,31,53.96
2014-01-24,41,53.65
2014-01-31,42,54.41
2014-02-07,33,54.02
2014-02-14,44,55.16
2014-02-21,40,55.29
2014-02-28,32,56.05
2014-03-07,40,55.44
2014-03-14,37,54.66
2014-03-21,35,52.46
2014-03-28,31,53.17
2014-04-04,42,54.36
2014-04-11,38,55.60
2014-04-18,40,
2014-04-25,35,57.74
2014-05-02,44,
