Date,buy EL,Price
2004-01-09,0,
2004-01-16,32,
2004-01-23,22,
2004-01-30,22,
2004-02-06,22,41.47
2004-02-13,22,41.42
2004-02-20,24,40.85
2004-02-27,0,42.60
2004-03-05,0,43.57
2004-03-12,0,42.55
2004-03-19,0,43.10
2004-03-26,0,43.07
2004-04-02,0,43.86
2004-04-09,0,
2004-04-16,0,44.25
2004-04-23,0,43.72
2004-04-30,0,45.71
2004-05-07,0,46.45
2004-05-14,0,45.15
2004-05-21,0,44.34
2004-05-28,26,45.79
2004-06-04,25,44.48
2004-06-11,21,
2004-06-18,21,47.14
2004-06-25,21,47.10
2004-07-02,21,48.35
2004-07-09,29,48.51
2004-07-16,29,46.64
2004-07-23,29,44.25
2004-07-30,27,43.90
2004-08-06,25,42.94
2004-08-13,25,43.30
2004-08-20,25,42.75
2004-08-27,25,44.02
2004-09-03,25,44.70
2004-09-10,21,44.48
2004-09-17,23,44.00
2004-09-24,17,42.27
2004-10-01,21,42.13
2004-10-08,23,41.26
2004-10-15,21,41.45
2004-10-22,20,42.78
2004-10-29,20,42.95
2004-11-05,25,44.32
2004-11-12,32,44.60
2004-11-19,17,44.89
2004-11-26,17,44.40
2004-12-03,30,45.11
2004-12-10,19,45.97
2004-12-17,29,46.53
2004-12-24,32,
2004-12-31,36,45.77
2005-01-07,19,44.79
2005-01-14,16,45.61
2005-01-21,21,45.85
2005-01-28,16,46.81
2005-02-04,24,45.39
2005-02-11,21,43.03
2005-02-18,17,44.38
2005-02-25,20,44.15
2005-03-04,23,43.00
2005-03-11,14,42.68
2005-03-18,16,43.40
2005-03-25,21,
2005-04-01,21,44.92
2005-04-08,19,45.19
2005-04-15,19,43.70
2005-04-22,18,41.85
2005-04-29,18,38.41
2005-05-06,26,37.62
2005-05-13,14,37.00
2005-05-20,13,40.04
2005-05-27,20,39.43
2005-06-03,24,39.38
2005-06-10,23,39.38
2005-06-17,19,39.50
2005-06-24,21,38.94
2005-07-01,27,38.50
2005-07-08,16,37.93
2005-07-15,19,38.27
2005-07-22,22,38.25
2005-07-29,21,39.14
2005-08-05,23,38.30
2005-08-12,23,37.32
2005-08-19,21,41.46
2005-08-26,18,39.91
2005-09-02,23,40.53
2005-09-09,17,40.32
2005-09-16,18,40.58
2005-09-23,16,35.40
2005-09-30,24,34.83
2005-10-07,13,35.12
2005-10-14,24,35.21
2005-10-21,19,33.76
2005-10-28,19,32.42
2005-11-04,17,33.00
2005-11-11,22,33.37
2005-11-18,16,33.32
2005-11-25,27,33.72
2005-12-02,26,34.07
2005-12-09,20,33.32
2005-12-16,33,33.90
2005-12-23,21,33.31
2005-12-30,33,33.48
2006-01-06,32,34.25
2006-01-13,31,34.85
2006-01-20,22,34.10
2006-01-27,16,35.93
2006-02-03,28,36.70
2006-02-10,20,37.86
2006-02-17,19,38.28
2006-02-24,24,38.56
2006-03-03,15,37.20
2006-03-10,17,37.11
2006-03-17,16,37.61
2006-03-24,22,37.56
2006-03-31,22,37.19
2006-04-07,15,36.86
2006-04-14,26,
2006-04-21,18,36.34
2006-04-28,18,37.12
2006-05-05,18,39.88
2006-05-12,28,40.00
2006-05-19,19,41.13
2006-05-26,17,41.35
2006-06-02,19,40.16
2006-06-09,18,38.92
2006-06-16,26,38.35
2006-06-23,11,38.16
2006-06-30,26,38.67
2006-07-07,20,38.50
2006-07-14,20,36.76
2006-07-21,17,36.34
2006-07-28,18,37.54
2006-08-04,23,37.60
2006-08-11,21,36.77
2006-08-18,30,35.60
2006-08-25,19,34.94
2006-09-01,23,37.49
2006-09-08,18,37.11
2006-09-15,22,38.81
2006-09-22,14,39.45
2006-09-29,26,40.33
2006-10-06,23,40.49
2006-10-13,20,39.64
2006-10-20,17,40.00
2006-10-27,15,40.00
2006-11-03,27,39.19
2006-11-10,19,39.96
2006-11-17,25,41.04
2006-11-24,24,41.82
2006-12-01,22,40.85
2006-12-08,28,41.54
2006-12-15,29,41.04
2006-12-22,33,41.15
2006-12-29,24,40.82
2007-01-05,28,40.58
2007-01-12,23,40.94
2007-01-19,19,40.94
2007-01-26,16,40.54
2007-02-02,16,46.13
2007-02-09,16,46.63
2007-02-16,22,47.75
2007-02-23,22,47.36
2007-03-02,17,45.93
2007-03-09,30,47.62
2007-03-16,19,47.84
2007-03-23,24,49.48
2007-03-30,26,48.85
2007-04-06,14,
2007-04-13,18,49.85
2007-04-20,18,50.70
2007-04-27,23,50.90
2007-05-04,25,47.93
2007-05-11,24,47.06
2007-05-18,27,47.00
2007-05-25,23,47.25
2007-06-01,23,47.21
2007-06-08,23,45.95
2007-06-15,20,46.07
2007-06-22,33,45.42
2007-06-29,23,45.51
2007-07-06,23,46.08
2007-07-13,30,47.11
2007-07-20,30,47.12
2007-07-27,26,45.83
2007-08-03,28,44.54
2007-08-10,23,43.35
2007-08-17,30,40.31
2007-08-24,25,42.70
2007-08-31,30,41.59
2007-09-07,27,40.87
2007-09-14,25,40.09
2007-09-21,27,42.58
2007-09-28,22,42.46
2007-10-05,21,43.96
2007-10-12,28,43.14
2007-10-19,24,43.67
2007-10-26,28,45.11
2007-11-02,31,42.21
2007-11-09,26,44.25
2007-11-16,34,44.58
2007-11-23,37,41.95
2007-11-30,30,44.88
2007-12-07,42,43.56
2007-12-14,29,43.30
2007-12-21,36,44.95
2007-12-28,40,43.81
2008-01-04,30,41.87
2008-01-11,27,38.76
2008-01-18,34,38.77
2008-01-25,29,39.24
2008-02-01,24,44.83
2008-02-08,30,43.55
2008-02-15,28,43.45
2008-02-22,30,42.50
2008-02-29,22,42.58
2008-03-07,36,43.73
2008-03-14,29,44.33
2008-03-21,32,
2008-03-28,27,45.28
2008-04-04,23,47.27
2008-04-11,30,45.38
2008-04-18,24,44.35
2008-04-25,25,45.65
2008-05-02,34,44.33
2008-05-09,26,48.08
2008-05-16,22,48.05
2008-05-23,34,46.54
2008-05-30,28,47.60
2008-06-06,26,46.24
2008-06-13,31,48.84
2008-06-20,28,46.05
2008-06-27,29,46.12
2008-07-04,32,
2008-07-11,37,42.89
2008-07-18,35,43.41
2008-07-25,36,42.91
2008-08-01,36,44.18
2008-08-08,37,46.39
2008-08-15,33,51.98
2008-08-22,31,50.44
2008-08-29,35,49.77
2008-09-05,32,52.77
2008-09-12,23,53.42
2008-09-19,32,50.96
2008-09-26,29,50.88
2008-10-03,33,46.13
2008-10-10,29,39.75
2008-10-17,35,36.53
2008-10-24,27,32.44
2008-10-31,35,36.04
2008-11-07,35,33.62
2008-11-14,35,29.93
