Date,buy FAST,Price
2004-01-09,0,
2004-01-16,54,
2004-01-23,41,
2004-01-30,43,
2004-02-06,44,49.53
2004-02-13,46,48.99
2004-02-20,52,48.49
2004-02-27,59,48.44
2004-03-05,43,48.43
2004-03-12,43,44.69
2004-03-19,43,47.84
2004-03-26,43,49.80
2004-04-02,43,52.96
2004-04-09,50,
2004-04-16,32,55.20
2004-04-23,32,55.45
2004-04-30,32,54.85
2004-05-07,52,51.46
2004-05-14,47,50.11
2004-05-21,38,49.46
2004-05-28,47,51.76
2004-06-04,56,52.81
2004-06-11,35,
2004-06-18,50,55.01
2004-06-25,61,55.19
2004-07-02,39,55.56
2004-07-09,46,54.74
2004-07-16,76,60.82
2004-07-23,32,59.02
2004-07-30,36,62.38
2004-08-06,40,58.53
2004-08-13,45,59.33
2004-08-20,54,61.89
2004-08-27,30,61.52
2004-09-03,42,63.10
2004-09-10,33,59.05
2004-09-17,35,59.01
2004-09-24,37,57.04
2004-10-01,39,57.00
2004-10-08,41,57.84
2004-10-15,33,52.61
2004-10-22,37,54.45
2004-10-29,32,55.23
2004-11-05,32,57.67
2004-11-12,34,61.00
2004-11-19,35,60.29
2004-11-26,53,62.32
2004-12-03,32,63.19
2004-12-10,40,61.44
2004-12-17,43,61.81
2004-12-24,35,
2004-12-31,35,61.56
2005-01-07,35,61.19
2005-01-14,52,60.52
2005-01-21,23,59.79
2005-01-28,25,60.01
2005-02-04,47,61.44
2005-02-11,42,60.57
2005-02-18,31,57.66
2005-02-25,31,58.69
2005-03-04,34,57.95
2005-03-11,43,57.72
2005-03-18,28,56.66
2005-03-25,37,
2005-04-01,47,55.40
2005-04-08,45,55.43
2005-04-15,31,51.13
2005-04-22,33,53.16
2005-04-29,35,53.52
2005-05-06,35,54.29
2005-05-13,24,52.96
2005-05-20,43,56.36
2005-05-27,27,57.27
2005-06-03,33,58.86
2005-06-10,30,59.10
2005-06-17,45,62.12
2005-06-24,59,58.96
2005-07-01,34,61.37
2005-07-08,30,62.43
2005-07-15,44,63.40
2005-07-22,35,63.16
2005-07-29,31,65.64
2005-08-05,31,64.91
2005-08-12,47,63.61
2005-08-19,35,61.63
2005-08-26,35,60.43
2005-09-02,35,61.58
2005-09-09,19,62.50
2005-09-16,43,62.03
2005-09-23,29,59.93
2005-09-30,37,61.09
2005-10-07,42,61.56
2005-10-14,35,66.91
2005-10-21,43,68.63
2005-10-28,41,68.65
2005-11-04,34,73.19
2005-11-11,29,78.79
2005-11-18,33,41.19
2005-11-25,37,41.14
2005-12-02,35,40.38
2005-12-09,23,39.74
2005-12-16,34,40.16
2005-12-23,36,39.68
2005-12-30,28,39.13
2006-01-06,27,40.37
2006-01-13,34,40.08
2006-01-20,35,38.37
2006-01-27,25,38.49
2006-02-03,38,39.63
2006-02-10,49,41.06
2006-02-17,32,42.17
2006-02-24,39,43.35
2006-03-03,41,43.77
2006-03-10,31,42.41
2006-03-17,41,46.13
2006-03-24,42,45.48
2006-03-31,47,47.34
2006-04-07,35,46.64
2006-04-14,38,
2006-04-21,21,47.10
2006-04-28,38,46.81
2006-05-05,44,47.14
2006-05-12,36,46.70
2006-05-19,43,43.31
2006-05-26,27,42.95
2006-06-02,42,44.56
2006-06-09,36,40.15
2006-06-16,55,39.34
2006-06-23,48,38.83
2006-06-30,35,40.29
2006-07-07,43,38.67
2006-07-14,38,35.35
2006-07-21,38,33.23
2006-07-28,43,35.29
2006-08-04,46,36.93
2006-08-11,47,35.02
2006-08-18,29,37.06
2006-08-25,24,35.28
2006-09-01,46,36.63
2006-09-08,37,36.75
2006-09-15,38,39.58
2006-09-22,37,38.07
2006-09-29,32,38.59
2006-10-06,31,39.58
2006-10-13,24,42.58
2006-10-20,28,41.40
2006-10-27,30,40.72
2006-11-03,32,37.40
2006-11-10,26,36.70
2006-11-17,24,37.41
2006-11-24,32,37.18
2006-12-01,35,36.46
2006-12-08,42,35.77
2006-12-15,27,35.50
2006-12-22,36,34.99
2006-12-29,40,35.88
2007-01-05,38,36.43
2007-01-12,42,37.81
2007-01-19,44,36.74
2007-01-26,23,35.49
2007-02-02,43,38.18
2007-02-09,27,36.41
2007-02-16,30,36.72
2007-02-23,30,37.15
2007-03-02,34,34.75
2007-03-09,26,35.55
2007-03-16,40,34.97
2007-03-23,31,36.24
2007-03-30,30,35.05
2007-04-06,36,
2007-04-13,36,39.48
2007-04-20,35,40.52
2007-04-27,38,41.65
2007-05-04,41,41.80
2007-05-11,32,41.59
2007-05-18,47,42.35
2007-05-25,36,42.47
2007-06-01,36,42.96
2007-06-08,41,41.06
2007-06-15,35,42.22
2007-06-22,42,41.80
2007-06-29,43,41.86
2007-07-06,32,42.44
2007-07-13,39,47.32
2007-07-20,39,47.50
2007-07-27,55,45.83
2007-08-03,43,44.82
2007-08-10,43,47.89
2007-08-17,41,46.25
2007-08-24,38,46.14
2007-08-31,43,45.61
2007-09-07,37,43.48
2007-09-14,38,43.80
2007-09-21,41,44.87
2007-09-28,39,45.41
2007-10-05,40,48.90
2007-10-12,39,45.11
2007-10-19,42,41.67
2007-10-26,37,43.18
2007-11-02,41,43.88
2007-11-09,35,40.11
2007-11-16,36,39.11
2007-11-23,35,38.47
2007-11-30,42,39.64
2007-12-07,44,42.63
2007-12-14,35,42.57
2007-12-21,35,41.94
2007-12-28,40,40.77
2008-01-04,48,37.59
2008-01-11,47,34.69
2008-01-18,42,33.61
2008-01-25,51,39.07
2008-02-01,47,41.91
2008-02-08,50,40.89
2008-02-15,31,41.03
2008-02-22,42,41.90
2008-02-29,34,40.66
2008-03-07,37,39.27
2008-03-14,39,41.82
2008-03-21,43,
2008-03-28,51,45.76
2008-04-04,44,47.89
2008-04-11,41,49.69
2008-04-18,36,50.01
2008-04-25,48,49.52
2008-05-02,45,51.76
2008-05-09,45,49.81
2008-05-16,43,50.90
2008-05-23,33,45.50
2008-05-30,39,49.44
2008-06-06,44,48.77
2008-06-13,45,48.51
2008-06-20,50,48.69
2008-06-27,51,44.77
2008-07-04,54,
2008-07-11,59,43.97
2008-07-18,39,49.29
2008-07-25,47,48.31
2008-08-01,52,48.42
2008-08-08,52,50.60
2008-08-15,47,50.85
2008-08-22,41,51.48
2008-08-29,47,51.93
2008-09-05,44,50.85
2008-09-12,51,53.57
