Date,buy GE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,33.18
2004-02-13,0,32.72
2004-02-20,0,32.70
2004-02-27,0,32.52
2004-03-05,0,32.77
2004-03-12,0,30.60
2004-03-19,0,30.14
2004-03-26,0,30.10
2004-04-02,0,31.06
2004-04-09,0,
2004-04-16,0,31.23
2004-04-23,0,30.69
2004-04-30,0,29.95
2004-05-07,0,30.00
2004-05-14,0,30.16
2004-05-21,89,30.65
2004-05-28,92,31.12
2004-06-04,95,31.23
2004-06-11,97,
2004-06-18,100,32.58
2004-06-25,68,32.18
2004-07-02,68,31.67
2004-07-09,68,32.17
2004-07-16,0,33.09
2004-07-23,0,32.52
2004-07-30,0,33.25
2004-08-06,0,31.52
2004-08-13,0,31.89
2004-08-20,0,32.65
2004-08-27,0,32.77
2004-09-03,0,32.84
2004-09-10,0,33.88
2004-09-17,52,34.22
2004-09-24,0,33.41
2004-10-01,0,33.97
2004-10-08,0,33.74
2004-10-15,0,33.55
2004-10-22,0,32.95
2004-10-29,69,34.12
2004-11-05,71,35.19
2004-11-12,73,36.25
2004-11-19,67,36.27
2004-11-26,54,35.44
2004-12-03,60,35.83
2004-12-10,66,36.69
2004-12-17,72,36.75
2004-12-24,68,
2004-12-31,99,36.50
2005-01-07,44,36.00
2005-01-14,44,35.52
2005-01-21,53,35.13
2005-01-28,68,35.75
2005-02-04,46,36.25
2005-02-11,44,36.23
2005-02-18,44,35.88
2005-02-25,44,35.62
2005-03-04,44,36.12
2005-03-11,44,35.82
2005-03-18,44,35.88
2005-03-25,40,
2005-04-01,40,35.47
2005-04-08,40,35.74
2005-04-15,40,35.75
2005-04-22,39,36.10
2005-04-29,39,36.20
2005-05-06,65,35.85
2005-05-13,61,35.70
2005-05-20,45,37.00
2005-05-27,45,36.88
2005-06-03,45,36.70
2005-06-10,45,36.63
2005-06-17,38,36.50
2005-06-24,44,34.78
2005-07-01,39,34.74
2005-07-08,40,34.99
2005-07-15,63,35.53
2005-07-22,43,35.07
2005-07-29,43,34.50
2005-08-05,70,33.81
2005-08-12,65,34.25
2005-08-19,52,33.95
2005-08-26,52,33.38
2005-09-02,54,33.33
2005-09-09,39,33.98
2005-09-16,40,34.47
2005-09-23,52,33.40
2005-09-30,43,33.67
2005-10-07,43,34.22
2005-10-14,43,34.34
2005-10-21,41,33.73
2005-10-28,43,34.05
2005-11-04,45,34.02
2005-11-11,62,34.65
2005-11-18,40,35.75
2005-11-25,32,36.20
2005-12-02,39,35.50
2005-12-09,42,35.53
2005-12-16,67,36.06
2005-12-23,46,35.42
2005-12-30,46,35.05
2006-01-06,31,35.47
2006-01-13,32,35.10
2006-01-20,52,33.37
2006-01-27,39,32.95
2006-02-03,30,32.85
2006-02-10,40,33.28
2006-02-17,42,33.61
2006-02-24,67,33.14
2006-03-03,42,33.06
2006-03-10,33,33.65
2006-03-17,36,34.51
2006-03-24,28,33.95
2006-03-31,40,34.78
2006-04-07,46,34.03
2006-04-14,38,
2006-04-21,40,33.97
2006-04-28,43,34.59
2006-05-05,47,35.16
2006-05-12,33,34.28
2006-05-19,57,34.16
2006-05-26,45,34.33
2006-06-02,56,34.66
2006-06-09,43,34.07
2006-06-16,51,33.93
2006-06-23,58,33.16
2006-06-30,56,32.96
2006-07-07,53,33.30
2006-07-14,43,32.11
2006-07-21,62,32.25
2006-07-28,36,33.02
2006-08-04,57,32.80
2006-08-11,59,32.50
2006-08-18,42,34.00
2006-08-25,52,33.84
2006-09-01,29,34.14
2006-09-08,32,34.01
2006-09-15,33,34.85
2006-09-22,35,34.40
2006-09-29,41,35.30
2006-10-06,43,36.14
2006-10-13,39,35.98
2006-10-20,37,35.47
2006-10-27,48,35.21
2006-11-03,35,34.77
2006-11-10,38,35.17
2006-11-17,35,36.25
2006-11-24,36,35.69
2006-12-01,60,35.28
2006-12-08,38,35.27
2006-12-15,37,37.36
2006-12-22,50,37.57
2006-12-29,60,37.21
2007-01-05,43,37.56
2007-01-12,44,37.89
2007-01-19,44,36.95
2007-01-26,41,36.07
2007-02-02,47,36.27
2007-02-09,52,35.53
2007-02-16,40,35.87
2007-02-23,47,35.10
2007-03-02,38,34.87
2007-03-09,34,34.32
2007-03-16,41,34.36
2007-03-23,37,35.82
2007-03-30,37,35.36
2007-04-06,42,
2007-04-13,36,35.38
2007-04-20,26,35.13
2007-04-27,43,36.84
2007-05-04,28,37.15
2007-05-11,46,36.97
2007-05-18,61,36.96
2007-05-25,72,37.56
2007-06-01,46,37.45
2007-06-08,61,37.32
2007-06-15,71,38.12
2007-06-22,48,38.24
2007-06-29,44,38.28
2007-07-06,39,38.48
2007-07-13,68,39.50
2007-07-20,49,40.12
2007-07-27,61,38.79
2007-08-03,66,38.06
2007-08-10,43,38.23
2007-08-17,73,38.45
2007-08-24,54,39.41
2007-08-31,51,38.87
2007-09-07,41,38.75
2007-09-14,41,40.35
2007-09-21,27,41.25
2007-09-28,31,41.40
2007-10-05,39,41.77
2007-10-12,60,41.03
2007-10-19,64,40.04
2007-10-26,46,40.38
2007-11-02,52,40.33
2007-11-09,41,38.38
2007-11-16,41,38.65
2007-11-23,56,37.67
2007-11-30,58,38.29
2007-12-07,70,37.23
2007-12-14,42,36.91
2007-12-21,57,37.14
2007-12-28,62,37.34
2008-01-04,47,36.04
2008-01-11,34,35.17
2008-01-18,59,34.31
2008-01-25,42,34.00
2008-02-01,50,36.16
2008-02-08,56,33.84
2008-02-15,56,34.37
2008-02-22,45,33.55
2008-02-29,42,33.14
2008-03-07,37,32.23
2008-03-14,53,33.82
2008-03-21,35,
2008-03-28,52,36.61
2008-04-04,66,37.56
2008-04-11,52,32.05
2008-04-18,56,32.69
2008-04-25,51,33.33
2008-05-02,51,33.34
2008-05-09,41,32.27
2008-05-16,53,32.13
2008-05-23,52,30.43
2008-05-30,58,30.72
2008-06-06,64,30.02
2008-06-13,71,29.15
2008-06-20,55,27.38
2008-06-27,88,26.26
2008-07-04,51,
2008-07-11,67,27.66
2008-07-18,62,28.00
2008-07-25,66,28.71
2008-08-01,56,28.21
2008-08-08,68,29.64
2008-08-15,55,29.80
2008-08-22,35,29.12
2008-08-29,54,28.10
2008-09-05,53,27.88
2008-09-12,54,26.75
2008-09-19,55,26.62
2008-09-26,58,25.25
2008-10-03,76,21.57
2008-10-10,93,21.50
2008-10-17,83,19.63
2008-10-24,57,17.83
2008-10-31,58,19.51
2008-11-07,55,18.86
2008-11-14,70,16.02
2008-11-21,62,14.03
2008-11-28,68,17.17
2008-12-05,59,17.85
2008-12-12,52,17.11
2008-12-19,52,16.50
2008-12-26,56,15.97
2009-01-02,77,17.07
2009-01-09,72,16.00
2009-01-16,64,13.96
2009-01-23,56,12.03
2009-01-30,68,12.13
2009-02-06,50,11.10
2009-02-13,54,11.44
2009-02-20,81,9.38
2009-02-27,77,8.51
2009-03-06,93,7.06
2009-03-13,83,9.62
2009-03-20,78,9.54
2009-03-27,57,10.78
2009-04-03,67,10.94
2009-04-10,56,
2009-04-17,56,12.39
2009-04-24,47,12.11
2009-05-01,48,12.69
2009-05-08,63,14.53
2009-05-15,51,12.86
2009-05-22,65,13.10
2009-05-29,56,13.48
2009-06-05,52,13.54
2009-06-12,48,13.51
2009-06-19,58,12.10
2009-06-26,57,11.75
2009-07-03,50,
2009-07-10,58,10.78
2009-07-17,56,11.65
2009-07-24,62,12.03
2009-07-31,70,13.40
2009-08-07,50,14.70
2009-08-14,53,13.92
2009-08-21,61,14.21
2009-08-28,51,14.08
2009-09-04,63,13.87
2009-09-11,53,14.67
2009-09-18,47,16.50
2009-09-25,49,16.37
2009-10-02,53,15.36
2009-10-09,49,16.18
2009-10-16,56,16.08
2009-10-23,43,15.20
2009-10-30,45,14.26
2009-11-06,60,15.33
2009-11-13,56,15.66
2009-11-20,67,15.59
2009-11-27,75,15.94
2009-12-04,71,16.20
2009-12-11,62,15.92
2009-12-18,54,15.59
2009-12-25,49,
2010-01-01,67,
2010-01-08,51,16.60
2010-01-15,59,16.44
2010-01-22,51,16.11
2010-01-29,46,16.08
2010-02-05,48,15.79
2010-02-12,61,15.55
2010-02-19,65,16.17
2010-02-26,51,16.06
2010-03-05,57,16.35
2010-03-12,52,17.04
2010-03-19,53,18.07
2010-03-26,47,18.34
2010-04-02,45,
2010-04-09,46,18.52
2010-04-16,54,18.97
2010-04-23,57,19.07
2010-04-30,43,18.86
2010-05-07,52,16.88
2010-05-14,53,17.64
2010-05-21,36,16.42
2010-05-28,47,16.35
2010-06-04,59,15.71
2010-06-11,46,15.56
2010-06-18,44,15.95
2010-06-25,48,14.91
2010-07-02,57,13.88
2010-07-09,66,14.95
2010-07-16,53,14.55
2010-07-23,51,15.71
2010-07-30,49,16.12
2010-08-06,54,16.45
2010-08-13,47,15.38
2010-08-20,51,15.03
2010-08-27,43,14.71
2010-09-03,48,15.39
2010-09-10,53,15.98
2010-09-17,45,16.29
2010-09-24,38,16.66
2010-10-01,38,16.36
2010-10-08,46,17.12
2010-10-15,53,16.30
2010-10-22,46,16.06
2010-10-29,54,16.02
2010-11-05,50,16.73
2010-11-12,61,16.25
2010-11-19,65,16.22
2010-11-26,74,15.80
2010-12-03,64,16.78
2010-12-10,54,17.72
2010-12-17,60,17.70
2010-12-24,49,
2010-12-31,65,18.29
2011-01-07,58,18.43
2011-01-14,49,18.82
2011-01-21,47,19.74
2011-01-28,59,20.20
2011-02-04,61,20.56
2011-02-11,56,21.33
2011-02-18,57,21.44
2011-02-25,45,20.82
2011-03-04,59,20.37
2011-03-11,42,20.36
2011-03-18,42,19.25
2011-03-25,53,19.75
2011-04-01,54,20.34
2011-04-08,52,20.19
2011-04-15,50,20.04
2011-04-22,43,
2011-04-29,48,20.45
2011-05-06,53,20.01
2011-05-13,49,19.89
2011-05-20,55,19.62
2011-05-27,47,19.44
2011-06-03,55,18.82
2011-06-10,42,18.32
2011-06-17,41,18.49
2011-06-24,46,17.97
2011-07-01,49,19.20
2011-07-08,65,18.99
2011-07-15,51,18.41
2011-07-22,51,19.04
2011-07-29,53,17.91
2011-08-05,60,16.51
2011-08-12,51,15.88
2011-08-19,53,15.09
2011-08-26,41,15.54
2011-09-02,45,15.76
2011-09-09,53,15.09
2011-09-16,50,16.33
2011-09-23,42,15.21
2011-09-30,43,15.22
2011-10-07,54,15.50
2011-10-14,47,16.60
2011-10-21,39,16.31
2011-10-28,48,17.25
2011-11-04,48,16.39
2011-11-11,40,16.30
2011-11-18,55,15.65
2011-11-25,66,14.70
2011-12-02,50,16.09
2011-12-09,48,16.84
2011-12-16,47,17.01
2011-12-23,54,18.23
2011-12-30,59,17.91
2012-01-06,47,18.65
2012-01-13,49,18.84
2012-01-20,53,19.15
2012-01-27,65,19.03
2012-02-03,53,19.02
2012-02-10,54,18.88
2012-02-17,48,19.28
2012-02-24,63,19.24
2012-03-02,52,18.97
2012-03-09,49,19.04
2012-03-16,46,20.20
2012-03-23,48,19.78
2012-03-30,47,20.07
2012-04-06,55,
2012-04-13,46,18.88
2012-04-20,40,19.36
2012-04-27,43,19.78
2012-05-04,54,19.34
2012-05-11,38,19.01
2012-05-18,45,18.95
2012-05-25,45,19.20
2012-06-01,44,18.54
2012-06-08,38,19.20
2012-06-15,43,20.00
2012-06-22,47,19.81
2012-06-29,47,20.84
2012-07-06,48,20.00
2012-07-13,56,19.77
2012-07-20,45,19.87
2012-07-27,56,20.92
2012-08-03,51,20.96
2012-08-10,51,21.10
2012-08-17,48,21.00
2012-08-24,49,20.80
2012-08-31,52,20.71
2012-09-07,47,21.59
2012-09-14,44,22.11
2012-09-21,45,22.53
2012-09-28,44,22.71
2012-10-05,45,23.12
2012-10-12,41,22.48
2012-10-19,43,22.03
2012-10-26,37,21.11
2012-11-02,41,21.31
2012-11-09,42,21.00
2012-11-16,53,20.15
2012-11-23,58,21.04
2012-11-30,53,21.13
2012-12-07,45,21.46
2012-12-14,47,21.62
2012-12-21,47,20.88
2012-12-28,48,20.44
2013-01-04,46,21.20
2013-01-11,46,21.13
2013-01-18,44,22.04
2013-01-25,40,22.29
2013-02-01,52,22.62
2013-02-08,40,22.50
2013-02-15,41,23.29
2013-02-22,39,23.39
2013-03-01,38,23.19
2013-03-08,38,23.77
2013-03-15,41,23.44
2013-03-22,39,23.37
2013-03-29,45,
2013-04-05,34,22.93
2013-04-12,45,23.46
2013-04-19,35,21.75
2013-04-26,38,22.21
2013-05-03,44,22.57
2013-05-10,49,22.90
2013-05-17,44,23.46
2013-05-24,47,23.53
2013-05-31,46,23.32
2013-06-07,36,23.86
2013-06-14,43,23.52
2013-06-21,36,23.36
2013-06-28,42,23.19
2013-07-05,48,23.24
2013-07-12,50,23.76
2013-07-19,47,24.72
2013-07-26,42,24.65
2013-08-02,47,24.70
2013-08-09,39,24.25
2013-08-16,38,23.95
2013-08-23,40,23.78
2013-08-30,39,23.14
2013-09-06,48,23.16
2013-09-13,40,23.78
2013-09-20,44,24.01
2013-09-27,38,24.05
2013-10-04,37,24.05
2013-10-11,39,24.40
2013-10-18,43,25.55
2013-10-25,43,25.88
2013-11-01,39,26.54
2013-11-08,54,27.05
2013-11-15,50,27.20
2013-11-22,44,27.08
2013-11-29,52,26.66
2013-12-06,48,26.94
2013-12-13,41,26.84
2013-12-20,47,27.36
2013-12-27,48,27.83
2014-01-03,53,27.48
2014-01-10,46,26.96
2014-01-17,47,26.58
2014-01-24,47,24.95
2014-01-31,47,25.13
2014-02-07,41,25.19
2014-02-14,43,25.74
2014-02-21,41,24.94
2014-02-28,49,25.47
2014-03-07,41,26.13
2014-03-14,45,25.11
2014-03-21,38,25.40
2014-03-28,37,25.88
2014-04-04,41,26.02
2014-04-11,39,25.43
2014-04-18,39,
2014-04-25,56,26.60
2014-05-02,48,
