Date,buy GM,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,29,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,27,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,26,
2004-06-04,39,
2004-06-11,24,
2004-06-18,27,
2004-06-25,31,
2004-07-02,34,
2004-07-09,30,
2004-07-16,30,
2004-07-23,30,
2004-07-30,30,
2004-08-06,24,
2004-08-13,24,
2004-08-20,26,
2004-08-27,27,
2004-09-03,22,
2004-09-10,24,
2004-09-17,24,
2004-09-24,24,
2004-10-01,24,
2004-10-08,20,
2004-10-15,20,
2004-10-22,20,
2004-10-29,20,
2004-11-05,20,
2004-11-12,23,
2004-11-19,26,
2004-11-26,30,
2004-12-03,19,
2004-12-10,19,
2004-12-17,19,
2004-12-24,18,
2004-12-31,18,
2005-01-07,18,
2005-01-14,19,
2005-01-21,20,
2005-01-28,21,
2005-02-04,18,
2005-02-11,18,
2005-02-18,18,
2005-02-25,21,
2005-03-04,19,
2005-03-11,19,
2005-03-18,19,
2005-03-25,19,
2005-04-01,15,
2005-04-08,17,
2005-04-15,19,
2005-04-22,21,
2005-04-29,19,
2005-05-06,19,
2005-05-13,21,
2005-05-20,15,
2005-05-27,17,
2005-06-03,22,
2005-06-10,33,
2005-06-17,31,
2005-06-24,32,
2005-07-01,22,
2005-07-08,19,
2005-07-15,17,
2005-07-22,22,
2005-07-29,19,
2005-08-05,16,
2005-08-12,28,
2005-08-19,22,
2005-08-26,26,
2005-09-02,27,
2005-09-09,26,
2005-09-16,16,
2005-09-23,22,
2005-09-30,17,
2005-10-07,16,
2005-10-14,16,
2005-10-21,13,
2005-10-28,13,
2005-11-04,14,
2005-11-11,25,
2005-11-18,23,
2005-11-25,18,
2005-12-02,23,
2005-12-09,21,
2005-12-16,21,
2005-12-23,19,
2005-12-30,33,
2006-01-06,14,
2006-01-13,20,
2006-01-20,14,
2006-01-27,21,
2006-02-03,15,
2006-02-10,15,
2006-02-17,16,
2006-02-24,16,
2006-03-03,14,
2006-03-10,13,
2006-03-17,13,
2006-03-24,22,
2006-03-31,15,
2006-04-07,19,
2006-04-14,20,
2006-04-21,22,
2006-04-28,18,
2006-05-05,20,
2006-05-12,12,
2006-05-19,13,
2006-05-26,11,
2006-06-02,13,
2006-06-09,15,
2006-06-16,16,
2006-06-23,17,
2006-06-30,19,
2006-07-07,15,
2006-07-14,13,
2006-07-21,12,
2006-07-28,12,
2006-08-04,13,
2006-08-11,12,
2006-08-18,14,
2006-08-25,10,
2006-09-01,16,
2006-09-08,11,
2006-09-15,13,
2006-09-22,16,
2006-09-29,10,
2006-10-06,13,
2006-10-13,16,
2006-10-20,17,
2006-10-27,14,
2006-11-03,10,
2006-11-10,9,
2006-11-17,9,
2006-11-24,17,
2006-12-01,15,
2006-12-08,14,
2006-12-15,10,
2006-12-22,11,
2006-12-29,12,
2007-01-05,13,
2007-01-12,13,
2007-01-19,12,
2007-01-26,14,
2007-02-02,15,
2007-02-09,25,
2007-02-16,34,
2007-02-23,27,
2007-03-02,17,
2007-03-09,14,
2007-03-16,14,
2007-03-23,13,
2007-03-30,11,
2007-04-06,10,
2007-04-13,11,
2007-04-20,16,
2007-04-27,12,
2007-05-04,15,
2007-05-11,17,
2007-05-18,12,
2007-05-25,9,
2007-06-01,9,
2007-06-08,11,
2007-06-15,11,
2007-06-22,13,
2007-06-29,7,
2007-07-06,15,
2007-07-13,12,
2007-07-20,9,
2007-07-27,13,
2007-08-03,15,
2007-08-10,8,
2007-08-17,8,
2007-08-24,14,
2007-08-31,12,
2007-09-07,14,
2007-09-14,10,
2007-09-21,10,
2007-09-28,13,
2007-10-05,12,
2007-10-12,10,
2007-10-19,9,
2007-10-26,11,
2007-11-02,11,
2007-11-09,11,
2007-11-16,13,
2007-11-23,13,
2007-11-30,15,
2007-12-07,14,
2007-12-14,16,
2007-12-21,10,
2007-12-28,12,
2008-01-04,6,
2008-01-11,11,
2008-01-18,14,
2008-01-25,16,
2008-02-01,12,
2008-02-08,15,
2008-02-15,14,
2008-02-22,7,
2008-02-29,15,
2008-03-07,9,
2008-03-14,12,
2008-03-21,10,
2008-03-28,13,
2008-04-04,11,
2008-04-11,13,
2008-04-18,12,
2008-04-25,12,
2008-05-02,11,
2008-05-09,11,
2008-05-16,11,
2008-05-23,10,
2008-05-30,14,
2008-06-06,17,
2008-06-13,11,
2008-06-20,9,
2008-06-27,15,
2008-07-04,18,
2008-07-11,14,
2008-07-18,14,
2008-07-25,13,
2008-08-01,11,
2008-08-08,12,
2008-08-15,11,
2008-08-22,15,
2008-08-29,13,
2008-09-05,15,
2008-09-12,10,
2008-09-19,15,
2008-09-26,13,
2008-10-03,14,
2008-10-10,45,
2008-10-17,52,
2008-10-24,26,
2008-10-31,24,
2008-11-07,21,
2008-11-14,47,
2008-11-21,49,
2008-11-28,30,
2008-12-05,33,
2008-12-12,35,
2008-12-19,23,
2008-12-26,20,
2009-01-02,20,
2009-01-09,20,
2009-01-16,14,
2009-01-23,13,
2009-01-30,12,
2009-02-06,16,
2009-02-13,18,
2009-02-20,20,
2009-02-27,19,
2009-03-06,22,
2009-03-13,19,
2009-03-20,18,
2009-03-27,20,
2009-04-03,26,
2009-04-10,22,
2009-04-17,29,
2009-04-24,25,
2009-05-01,22,
2009-05-08,27,
2009-05-15,30,
2009-05-22,25,
2009-05-29,47,
2009-06-05,100,
2009-06-12,40,
2009-06-19,17,
2009-06-26,15,
2009-07-03,22,
2009-07-10,25,
2009-07-17,24,
2009-07-24,20,
2009-07-31,11,
2009-08-07,21,
2009-08-14,17,
2009-08-21,16,
2009-08-28,13,
2009-09-04,14,
2009-09-11,12,
2009-09-18,12,
2009-09-25,14,
2009-10-02,15,
2009-10-09,12,
2009-10-16,13,
2009-10-23,11,
2009-10-30,9,
2009-11-06,9,
2009-11-13,9,
2009-11-20,14,
2009-11-27,10,
2009-12-04,10,
2009-12-11,10,
2009-12-18,14,
2009-12-25,11,
2010-01-01,17,
2010-01-08,14,
2010-01-15,11,
2010-01-22,14,
2010-01-29,15,
2010-02-05,11,
2010-02-12,13,
2010-02-19,12,
2010-02-26,11,
2010-03-05,11,
2010-03-12,12,
2010-03-19,11,
2010-03-26,13,
2010-04-02,15,
2010-04-09,14,
2010-04-16,9,
2010-04-23,11,
2010-04-30,16,
2010-05-07,11,
2010-05-14,10,
2010-05-21,10,
2010-05-28,10,
2010-06-04,7,
2010-06-11,13,
2010-06-18,9,
2010-06-25,11,
2010-07-02,9,
2010-07-09,9,
2010-07-16,9,
2010-07-23,11,
2010-07-30,10,
2010-08-06,9,
2010-08-13,13,
2010-08-20,18,
2010-08-27,15,
2010-09-03,9,
2010-09-10,11,
2010-09-17,10,
2010-09-24,10,
2010-10-01,13,
2010-10-08,10,
2010-10-15,11,
2010-10-22,7,
2010-10-29,10,
2010-11-05,18,
2010-11-12,25,
2010-11-19,63,34.26
2010-11-26,12,33.80
2010-12-03,13,34.55
2010-12-10,9,33.81
2010-12-17,11,34.00
2010-12-24,9,
2010-12-31,13,36.86
2011-01-07,11,38.98
2011-01-14,9,38.20
2011-01-21,10,37.24
2011-01-28,9,36.60
2011-02-04,7,36.59
2011-02-11,10,36.45
2011-02-18,8,36.51
2011-02-25,9,33.25
2011-03-04,12,32.39
2011-03-11,11,31.93
2011-03-18,10,31.85
2011-03-25,9,31.47
2011-04-01,9,32.41
2011-04-08,13,31.52
2011-04-15,10,30.24
2011-04-22,8,
2011-04-29,7,32.09
2011-05-06,10,31.91
2011-05-13,11,31.07
2011-05-20,10,31.18
2011-05-27,10,31.28
2011-06-03,7,29.12
2011-06-10,8,28.85
2011-06-17,9,29.00
2011-06-24,8,29.92
2011-07-01,7,30.58
2011-07-08,7,31.58
2011-07-15,9,29.76
2011-07-22,10,30.10
2011-07-29,8,27.68
2011-08-05,10,26.31
2011-08-12,11,25.75
2011-08-19,10,22.16
2011-08-26,8,22.87
2011-09-02,7,22.07
2011-09-09,8,21.76
2011-09-16,8,22.61
2011-09-23,9,21.00
2011-09-30,9,20.18
2011-10-07,6,22.01
2011-10-14,8,24.16
2011-10-21,7,24.35
2011-10-28,7,26.45
2011-11-04,8,23.61
2011-11-11,9,22.51
2011-11-18,8,21.68
2011-11-25,8,20.34
2011-12-02,10,21.28
2011-12-09,7,21.15
2011-12-16,8,20.15
2011-12-23,10,20.50
2011-12-30,11,20.27
2012-01-06,10,22.92
2012-01-13,9,24.29
2012-01-20,7,25.00
2012-01-27,8,24.37
2012-02-03,10,26.18
2012-02-10,9,25.50
2012-02-17,12,27.34
2012-02-24,9,26.07
2012-03-02,9,26.45
2012-03-09,11,25.62
2012-03-16,9,25.57
2012-03-23,8,25.17
2012-03-30,9,25.65
2012-04-06,6,
2012-04-13,8,23.80
2012-04-20,8,23.60
2012-04-27,8,23.53
2012-05-04,9,22.36
2012-05-11,9,22.00
2012-05-18,11,21.18
2012-05-25,7,22.44
2012-06-01,8,22.01
2012-06-08,11,22.05
2012-06-15,9,21.74
2012-06-22,8,20.60
2012-06-29,8,19.72
2012-07-06,9,20.31
2012-07-13,10,19.62
2012-07-20,10,19.36
2012-07-27,12,19.67
2012-08-03,9,20.04
2012-08-10,9,20.54
2012-08-17,8,22.01
2012-08-24,9,21.18
2012-08-31,8,21.35
2012-09-07,8,23.37
2012-09-14,8,24.14
2012-09-21,11,24.80
2012-09-28,8,22.75
2012-10-05,9,24.80
2012-10-12,9,24.44
2012-10-19,8,24.59
2012-10-26,7,23.28
2012-11-02,8,25.79
2012-11-09,8,25.04
2012-11-16,8,23.85
2012-11-23,8,25.21
2012-11-30,9,25.88
2012-12-07,8,25.19
2012-12-14,8,24.61
2012-12-21,10,27.32
2012-12-28,6,27.85
2013-01-04,10,29.86
2013-01-11,10,30.36
2013-01-18,8,29.28
2013-01-25,6,29.07
2013-02-01,8,28.17
2013-02-08,7,28.57
2013-02-15,9,27.76
2013-02-22,7,27.11
2013-03-01,8,27.21
2013-03-08,8,28.00
2013-03-15,7,28.21
2013-03-22,8,28.22
2013-03-29,8,
2013-04-05,6,27.52
2013-04-12,8,29.62
2013-04-19,11,29.15
2013-04-26,8,30.50
2013-05-03,9,32.10
2013-05-10,8,31.42
2013-05-17,8,33.42
2013-05-24,8,32.87
2013-05-31,6,33.89
2013-06-07,9,35.03
2013-06-14,8,34.29
2013-06-21,8,32.21
2013-06-28,7,33.31
2013-07-05,8,34.67
2013-07-12,8,36.40
2013-07-19,9,36.61
2013-07-26,8,36.67
2013-08-02,9,36.95
2013-08-09,8,36.02
2013-08-16,10,34.38
2013-08-23,10,35.06
2013-08-30,7,34.08
2013-09-06,7,36.15
2013-09-13,8,36.06
2013-09-20,7,36.83
2013-09-27,6,36.37
2013-10-04,7,35.70
2013-10-11,8,35.35
2013-10-18,8,35.89
2013-10-25,7,35.59
2013-11-01,8,37.39
2013-11-08,8,36.66
2013-11-15,8,38.77
2013-11-22,8,37.63
2013-11-29,8,38.73
2013-12-06,8,40.17
2013-12-13,12,40.04
2013-12-20,10,40.99
2013-12-27,8,40.94
2014-01-03,10,39.57
2014-01-10,9,40.03
2014-01-17,8,38.60
2014-01-24,8,36.83
2014-01-31,10,36.08
2014-02-07,9,36.11
2014-02-14,9,35.95
2014-02-21,7,36.69
2014-02-28,9,36.20
2014-03-07,10,37.69
2014-03-14,7,34.09
2014-03-21,10,35.01
2014-03-28,9,34.73
2014-04-04,13,34.81
2014-04-11,9,31.93
2014-04-18,9,
2014-04-25,10,33.72
2014-05-02,5,
