Date,buy GPS,Price
2004-01-09,0,
2004-01-16,18,
2004-01-23,18,
2004-01-30,18,
2004-02-06,19,20.22
2004-02-13,19,20.20
2004-02-20,19,20.48
2004-02-27,19,20.80
2004-03-05,19,21.62
2004-03-12,19,20.98
2004-03-19,20,20.63
2004-03-26,16,21.08
2004-04-02,16,22.02
2004-04-09,0,
2004-04-16,0,22.16
2004-04-23,0,23.00
2004-04-30,0,22.01
2004-05-07,0,22.00
2004-05-14,20,21.89
2004-05-21,24,22.58
2004-05-28,21,24.15
2004-06-04,21,24.65
2004-06-11,21,
2004-06-18,21,24.46
2004-06-25,23,25.13
2004-07-02,16,23.44
2004-07-09,18,23.74
2004-07-16,28,22.22
2004-07-23,19,21.67
2004-07-30,19,22.70
2004-08-06,23,19.64
2004-08-13,27,19.62
2004-08-20,17,20.62
2004-08-27,18,19.29
2004-09-03,16,20.08
2004-09-10,16,20.02
2004-09-17,13,20.01
2004-09-24,17,19.35
2004-10-01,28,19.04
2004-10-08,22,19.15
2004-10-15,16,19.20
2004-10-22,12,19.90
2004-10-29,22,19.98
2004-11-05,16,22.37
2004-11-12,21,23.24
2004-11-19,25,22.70
2004-11-26,32,23.04
2004-12-03,26,21.48
2004-12-10,26,20.45
2004-12-17,22,20.17
2004-12-24,38,
2004-12-31,32,21.12
2005-01-07,21,20.72
2005-01-14,17,20.95
2005-01-21,16,20.86
2005-01-28,16,21.81
2005-02-04,16,21.39
2005-02-11,17,21.69
2005-02-18,14,21.09
2005-02-25,26,21.29
2005-03-04,16,21.59
2005-03-11,17,22.58
2005-03-18,11,21.49
2005-03-25,16,
2005-04-01,15,21.51
2005-04-08,25,21.42
2005-04-15,14,21.02
2005-04-22,21,21.29
2005-04-29,13,21.35
2005-05-06,14,20.98
2005-05-13,31,20.60
2005-05-20,21,21.46
2005-05-27,29,21.19
2005-06-03,23,20.84
2005-06-10,36,20.99
2005-06-17,32,20.95
2005-06-24,26,19.91
2005-07-01,27,19.82
2005-07-08,24,20.97
2005-07-15,27,20.72
2005-07-22,21,21.36
2005-07-29,30,21.11
2005-08-05,23,20.62
2005-08-12,17,21.63
2005-08-19,22,19.74
2005-08-26,21,18.98
2005-09-02,17,18.52
2005-09-09,13,18.95
2005-09-16,19,18.00
