Date,buy HAR,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,72.35
2004-02-13,0,73.50
2004-02-20,0,75.50
2004-02-27,0,77.99
2004-03-05,0,80.14
2004-03-12,0,77.80
2004-03-19,0,77.05
2004-03-26,0,75.50
2004-04-02,0,80.64
2004-04-09,0,
2004-04-16,0,83.11
2004-04-23,0,85.69
2004-04-30,0,75.85
2004-05-07,0,74.87
2004-05-14,0,73.02
2004-05-21,0,74.40
2004-05-28,0,80.14
2004-06-04,0,80.10
2004-06-11,0,
2004-06-18,0,89.10
2004-06-25,0,90.96
2004-07-02,0,90.18
2004-07-09,0,88.55
2004-07-16,0,85.18
2004-07-23,0,85.93
2004-07-30,0,85.73
2004-08-06,0,79.87
2004-08-13,0,77.97
2004-08-20,0,93.89
2004-08-27,0,95.10
2004-09-03,0,98.62
2004-09-10,0,101.45
2004-09-17,0,102.10
2004-09-24,0,105.79
2004-10-01,0,107.96
2004-10-08,0,104.55
2004-10-15,0,103.78
2004-10-22,0,105.76
2004-10-29,0,120.18
2004-11-05,0,126.53
2004-11-12,0,130.72
2004-11-19,0,124.90
2004-11-26,0,125.61
2004-12-03,0,127.30
2004-12-10,0,120.00
2004-12-17,0,125.61
2004-12-24,0,
2004-12-31,0,127.00
2005-01-07,0,116.90
2005-01-14,0,127.46
2005-01-21,0,122.80
2005-01-28,0,120.95
2005-02-04,0,119.05
2005-02-11,0,112.50
2005-02-18,0,111.60
2005-02-25,0,113.81
2005-03-04,0,111.06
2005-03-11,0,95.37
2005-03-18,0,92.74
2005-03-25,0,
2005-04-01,0,88.46
2005-04-08,0,89.37
2005-04-15,0,84.19
2005-04-22,0,79.91
2005-04-29,0,78.58
2005-05-06,0,76.70
2005-05-13,0,70.25
2005-05-20,0,80.00
2005-05-27,0,85.15
2005-06-03,0,83.45
2005-06-10,0,89.37
2005-06-17,0,86.25
2005-06-24,0,81.40
2005-07-01,0,82.20
2005-07-08,0,81.89
2005-07-15,0,83.73
2005-07-22,0,81.66
2005-07-29,0,85.95
2005-08-05,0,82.10
2005-08-12,0,82.66
2005-08-19,0,106.23
2005-08-26,0,104.20
2005-09-02,0,100.75
2005-09-09,0,102.74
2005-09-16,0,99.90
2005-09-23,0,98.86
2005-09-30,0,102.27
2005-10-07,0,104.31
2005-10-14,0,98.92
2005-10-21,0,102.04
2005-10-28,0,98.85
2005-11-04,0,100.83
2005-11-11,0,102.54
2005-11-18,0,99.20
2005-11-25,0,99.54
2005-12-02,0,97.79
2005-12-09,0,98.04
2005-12-16,0,95.94
2005-12-23,0,97.24
2005-12-30,0,97.85
2006-01-06,0,97.50
2006-01-13,0,98.70
2006-01-20,0,100.70
2006-01-27,0,111.46
2006-02-03,0,105.69
2006-02-10,0,101.43
2006-02-17,0,105.50
2006-02-24,0,108.41
2006-03-03,0,108.98
2006-03-10,0,110.11
2006-03-17,0,114.22
2006-03-24,0,106.10
2006-03-31,0,111.13
2006-04-07,0,105.77
2006-04-14,0,
2006-04-21,0,105.00
2006-04-28,0,87.99
2006-05-05,0,85.89
2006-05-12,0,84.67
2006-05-19,0,82.35
2006-05-26,0,84.94
2006-06-02,0,83.98
2006-06-09,0,81.26
2006-06-16,0,83.46
2006-06-23,0,81.46
2006-06-30,0,85.37
2006-07-07,0,82.22
2006-07-14,0,81.79
2006-07-21,0,80.24
2006-07-28,0,80.03
2006-08-04,0,79.72
2006-08-11,0,77.88
2006-08-18,0,85.84
2006-08-25,0,80.07
2006-09-01,0,81.14
2006-09-08,0,79.80
2006-09-15,0,82.44
2006-09-22,0,80.70
2006-09-29,0,83.44
2006-10-06,0,86.32
2006-10-13,0,91.00
2006-10-20,0,88.85
2006-10-27,0,105.62
2006-11-03,0,101.71
2006-11-10,0,105.26
2006-11-17,0,106.11
2006-11-24,0,106.82
2006-12-01,0,104.68
2006-12-08,0,104.75
2006-12-15,0,102.20
2006-12-22,0,99.62
2006-12-29,0,99.91
2007-01-05,0,98.50
2007-01-12,0,103.01
2007-01-19,0,104.29
2007-01-26,0,95.90
2007-02-02,0,97.66
2007-02-09,0,101.55
2007-02-16,0,104.51
2007-02-23,0,103.26
2007-03-02,0,97.49
2007-03-09,0,98.57
2007-03-16,0,97.31
2007-03-23,0,99.59
2007-03-30,0,96.08
2007-04-06,0,
2007-04-13,0,98.55
2007-04-20,0,102.40
2007-04-27,0,122.59
2007-05-04,0,119.65
2007-05-11,0,119.62
2007-05-18,0,118.19
2007-05-25,0,117.94
2007-06-01,0,117.88
2007-06-08,0,117.95
2007-06-15,0,117.11
2007-06-22,0,116.77
2007-06-29,0,116.80
2007-07-06,0,116.85
2007-07-13,0,117.50
2007-07-20,0,117.50
2007-07-27,0,115.00
2007-08-03,0,115.20
2007-08-10,0,113.50
2007-08-17,0,111.68
2007-08-24,0,113.81
2007-08-31,0,113.39
2007-09-07,0,112.80
2007-09-14,0,112.73
2007-09-21,0,85.00
2007-09-28,0,86.52
2007-10-05,0,87.27
2007-10-12,0,86.60
2007-10-19,0,86.40
2007-10-26,0,84.12
2007-11-02,0,82.52
2007-11-09,0,75.52
2007-11-16,0,73.67
2007-11-23,0,73.61
2007-11-30,0,73.60
2007-12-07,0,73.83
2007-12-14,0,73.35
2007-12-21,0,73.77
2007-12-28,0,73.85
2008-01-04,0,68.49
2008-01-11,0,68.97
2008-01-18,0,37.08
2008-01-25,0,38.70
2008-02-01,0,48.00
2008-02-08,0,39.72
2008-02-15,0,42.99
2008-02-22,0,42.32
2008-02-29,0,41.20
2008-03-07,0,42.51
2008-03-14,0,42.58
2008-03-21,0,
2008-03-28,0,44.19
2008-04-04,0,44.21
2008-04-11,0,39.54
2008-04-18,0,39.27
2008-04-25,0,40.00
2008-05-02,0,41.55
2008-05-09,0,38.38
2008-05-16,0,43.37
2008-05-23,0,44.67
2008-05-30,0,44.72
2008-06-06,0,44.85
2008-06-13,0,45.12
2008-06-20,0,45.15
2008-06-27,0,41.55
2008-07-04,0,
2008-07-11,0,37.96
2008-07-18,0,41.63
2008-07-25,0,42.49
2008-08-01,0,39.82
2008-08-08,0,41.49
2008-08-15,0,37.00
2008-08-22,0,33.63
2008-08-29,0,34.03
2008-09-05,0,32.95
2008-09-12,0,33.60
2008-09-19,0,33.86
2008-09-26,0,35.21
2008-10-03,0,27.23
2008-10-10,0,19.80
2008-10-17,0,20.59
2008-10-24,0,16.74
2008-10-31,0,18.37
2008-11-07,0,17.29
2008-11-14,0,14.88
2008-11-21,0,11.94
2008-11-28,0,15.05
2008-12-05,0,15.20
2008-12-12,0,15.02
2008-12-19,0,16.56
2008-12-26,0,15.16
2009-01-02,0,18.20
2009-01-09,0,20.51
2009-01-16,0,18.65
2009-01-23,0,17.13
2009-01-30,0,16.09
2009-02-06,0,13.86
2009-02-13,0,12.00
2009-02-20,0,10.53
2009-02-27,0,10.62
2009-03-06,0,9.47
2009-03-13,0,11.65
2009-03-20,0,11.41
2009-03-27,0,14.14
2009-04-03,0,15.62
2009-04-10,0,
2009-04-17,0,17.94
2009-04-24,0,19.71
2009-05-01,0,19.53
2009-05-08,0,20.75
2009-05-15,0,16.51
2009-05-22,100,16.89
2009-05-29,0,18.64
2009-06-05,0,20.48
2009-06-12,0,23.04
2009-06-19,0,18.31
2009-06-26,0,18.63
2009-07-03,0,
2009-07-10,0,20.57
2009-07-17,0,25.18
2009-07-24,0,23.67
2009-07-31,0,24.68
2009-08-07,0,26.61
2009-08-14,0,26.53
2009-08-21,0,28.67
2009-08-28,0,30.92
2009-09-04,0,27.77
2009-09-11,0,29.13
2009-09-18,0,32.47
2009-09-25,0,30.12
2009-10-02,0,31.60
2009-10-09,0,35.38
2009-10-16,0,36.60
2009-10-23,0,35.55
2009-10-30,0,37.61
2009-11-06,0,38.09
2009-11-13,0,37.79
2009-11-20,0,36.17
2009-11-27,0,36.21
2009-12-04,0,36.35
2009-12-11,0,36.68
2009-12-18,0,36.11
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,37.09
2010-01-15,0,37.88
2010-01-22,0,37.01
2010-01-29,0,35.55
2010-02-05,0,34.93
2010-02-12,0,44.20
2010-02-19,0,43.96
2010-02-26,0,43.14
2010-03-05,0,43.03
2010-03-12,0,43.51
2010-03-19,0,43.97
2010-03-26,0,47.21
2010-04-02,0,
2010-04-09,0,49.18
2010-04-16,0,49.13
2010-04-23,0,51.95
2010-04-30,0,39.48
2010-05-07,0,38.77
2010-05-14,0,37.62
2010-05-21,0,33.41
2010-05-28,0,32.30
2010-06-04,0,30.38
2010-06-11,0,32.40
2010-06-18,0,34.20
2010-06-25,0,32.98
2010-07-02,0,29.95
2010-07-09,0,32.12
2010-07-16,0,29.12
2010-07-23,0,31.34
2010-07-30,0,30.41
2010-08-06,0,29.88
2010-08-13,0,29.61
2010-08-20,0,30.71
2010-08-27,0,32.20
2010-09-03,0,35.10
2010-09-10,72,32.02
2010-09-17,0,32.92
2010-09-24,0,33.68
2010-10-01,0,33.12
2010-10-08,0,34.57
2010-10-15,0,36.12
2010-10-22,0,34.33
2010-10-29,66,33.55
2010-11-05,0,39.88
2010-11-12,0,40.80
2010-11-19,0,42.00
2010-11-26,0,44.19
2010-12-03,0,47.61
2010-12-10,0,48.37
2010-12-17,0,47.80
2010-12-24,0,
2010-12-31,0,46.30
2011-01-07,0,43.92
2011-01-14,0,46.00
2011-01-21,61,44.24
2011-01-28,0,42.74
2011-02-04,0,49.26
2011-02-11,0,51.58
2011-02-18,0,51.56
2011-02-25,0,48.95
2011-03-04,53,48.73
2011-03-11,56,49.37
2011-03-18,60,46.50
2011-03-25,63,47.14
2011-04-01,67,46.52
2011-04-08,70,45.88
2011-04-15,62,46.06
2011-04-22,62,
2011-04-29,0,48.53
2011-05-06,0,46.17
2011-05-13,0,48.73
2011-05-20,0,47.13
2011-05-27,0,47.60
2011-06-03,0,47.11
2011-06-10,0,43.07
2011-06-17,0,43.06
2011-06-24,0,43.59
2011-07-01,0,46.62
2011-07-08,0,47.83
2011-07-15,0,44.95
2011-07-22,0,45.81
2011-07-29,0,41.60
2011-08-05,0,34.34
2011-08-12,0,33.26
2011-08-19,0,31.74
2011-08-26,0,34.87
2011-09-02,50,34.29
2011-09-09,0,32.65
2011-09-16,0,33.93
2011-09-23,0,30.40
2011-09-30,0,28.58
2011-10-07,0,30.44
2011-10-14,0,37.47
2011-10-21,0,43.00
2011-10-28,0,44.78
2011-11-04,0,43.20
2011-11-11,0,42.10
2011-11-18,0,39.34
2011-11-25,0,36.72
2011-12-02,0,41.38
2011-12-09,0,40.75
2011-12-16,59,35.08
2011-12-23,55,37.59
2011-12-30,55,38.04
2012-01-06,55,39.52
2012-01-13,57,40.39
2012-01-20,60,43.85
2012-01-27,0,43.60
2012-02-03,0,44.71
2012-02-10,0,49.85
2012-02-17,0,51.11
2012-02-24,0,49.95
2012-03-02,51,48.80
2012-03-09,42,48.03
2012-03-16,42,48.18
2012-03-23,45,47.16
2012-03-30,47,46.81
2012-04-06,50,
2012-04-13,52,44.68
2012-04-20,58,45.95
2012-04-27,47,47.26
2012-05-04,47,45.52
2012-05-11,42,42.82
2012-05-18,42,38.91
2012-05-25,42,40.59
2012-06-01,42,38.01
2012-06-08,51,40.09
2012-06-15,61,37.23
2012-06-22,46,37.36
2012-06-29,46,39.60
2012-07-06,50,39.35
2012-07-13,54,38.03
2012-07-20,54,39.45
2012-07-27,46,40.89
2012-08-03,46,40.35
2012-08-10,51,45.68
2012-08-17,40,46.54
2012-08-24,40,45.45
2012-08-31,40,46.03
2012-09-07,40,48.04
2012-09-14,46,49.38
2012-09-21,52,48.79
2012-09-28,49,46.16
2012-10-05,49,46.27
2012-10-12,49,42.81
2012-10-19,49,43.78
2012-10-26,37,42.14
2012-11-02,37,42.31
2012-11-09,37,39.06
2012-11-16,37,37.35
2012-11-23,37,38.89
2012-11-30,54,39.56
2012-12-07,49,40.75
2012-12-14,49,42.08
2012-12-21,49,43.85
2012-12-28,53,43.32
2013-01-04,47,46.23
2013-01-11,42,49.90
2013-01-18,42,49.62
2013-01-25,42,50.25
2013-02-01,62,45.29
2013-02-08,38,45.59
2013-02-15,34,44.19
2013-02-22,60,43.46
2013-03-01,37,42.50
2013-03-08,37,43.96
2013-03-15,36,45.72
2013-03-22,40,44.36
2013-03-29,40,
2013-04-05,40,42.07
2013-04-12,40,44.91
2013-04-19,53,41.38
2013-04-26,33,44.64
2013-05-03,38,48.44
2013-05-10,34,49.58
2013-05-17,33,52.05
2013-05-24,45,51.62
2013-05-31,57,53.10
2013-06-07,40,52.99
2013-06-14,33,51.64
2013-06-21,33,49.60
2013-06-28,53,54.20
2013-07-05,38,54.48
2013-07-12,51,55.25
2013-07-19,46,56.06
2013-07-26,51,58.72
2013-08-02,41,60.67
2013-08-09,41,68.79
2013-08-16,35,67.11
2013-08-23,51,68.42
2013-08-30,36,64.02
2013-09-06,41,64.59
2013-09-13,45,66.46
2013-09-20,50,65.16
2013-09-27,54,66.20
2013-10-04,31,69.39
2013-10-11,37,67.79
2013-10-18,44,71.76
2013-10-25,50,72.63
2013-11-01,44,81.96
2013-11-08,40,77.78
2013-11-15,41,81.13
2013-11-22,42,81.35
2013-11-29,44,81.04
2013-12-06,30,81.28
2013-12-13,37,78.97
2013-12-20,44,83.39
2013-12-27,43,83.36
2014-01-03,43,80.70
2014-01-10,35,88.28
2014-01-17,35,90.48
2014-01-24,35,89.38
2014-01-31,32,103.43
2014-02-07,35,102.93
2014-02-14,38,104.79
2014-02-21,35,104.55
2014-02-28,35,104.73
2014-03-07,44,109.09
2014-03-14,41,104.53
2014-03-21,29,109.35
2014-03-28,32,105.44
2014-04-04,43,104.27
2014-04-11,40,102.09
2014-04-18,43,
2014-04-25,0,109.00
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
