Date,buy HD,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,36.33
2004-02-13,12,36.17
2004-02-20,0,35.70
2004-02-27,0,36.31
2004-03-05,0,37.45
2004-03-12,0,36.09
2004-03-19,0,36.68
2004-03-26,0,36.93
2004-04-02,0,36.68
2004-04-09,0,
2004-04-16,0,36.20
2004-04-23,0,36.49
2004-04-30,0,35.19
2004-05-07,0,33.00
2004-05-14,0,33.80
2004-05-21,0,34.47
2004-05-28,0,35.92
2004-06-04,0,35.33
2004-06-11,0,
2004-06-18,0,35.37
2004-06-25,0,35.25
2004-07-02,0,34.69
2004-07-09,0,34.37
2004-07-16,0,33.92
2004-07-23,11,33.00
2004-07-30,15,33.72
2004-08-06,18,32.90
2004-08-13,16,33.14
2004-08-20,11,36.36
2004-08-27,11,36.59
2004-09-03,12,37.48
2004-09-10,12,37.54
2004-09-17,12,38.31
2004-09-24,12,38.43
2004-10-01,13,39.25
2004-10-08,13,39.02
2004-10-15,10,39.81
2004-10-22,10,39.17
2004-10-29,12,41.08
2004-11-05,15,42.29
2004-11-12,11,43.22
2004-11-19,11,42.70
2004-11-26,14,43.37
2004-12-03,16,41.79
2004-12-10,17,42.64
2004-12-17,17,42.01
2004-12-24,17,
2004-12-31,17,42.74
2005-01-07,17,41.42
2005-01-14,10,41.90
2005-01-21,15,40.90
2005-01-28,13,40.41
2005-02-04,13,42.42
2005-02-11,11,42.81
2005-02-18,14,42.02
2005-02-25,9,40.58
2005-03-04,9,40.09
2005-03-11,9,39.42
2005-03-18,10,38.88
2005-03-25,10,
2005-04-01,8,37.60
2005-04-08,13,37.48
2005-04-15,7,36.11
2005-04-22,7,36.02
2005-04-29,8,35.37
2005-05-06,8,37.16
2005-05-13,8,36.29
2005-05-20,9,39.63
2005-05-27,12,39.97
2005-06-03,13,39.72
2005-06-10,13,39.50
2005-06-17,7,40.20
2005-06-24,9,38.24
2005-07-01,10,39.49
2005-07-08,7,40.08
2005-07-15,12,41.61
2005-07-22,12,43.47
2005-07-29,11,43.51
2005-08-05,10,40.95
2005-08-12,7,41.28
2005-08-19,7,40.37
2005-08-26,14,39.81
2005-09-02,8,40.33
2005-09-09,9,41.22
2005-09-16,11,39.90
2005-09-23,16,38.53
2005-09-30,15,38.14
2005-10-07,14,37.80
2005-10-14,15,38.41
2005-10-21,12,39.65
2005-10-28,15,40.52
2005-11-04,11,41.36
2005-11-11,13,41.91
2005-11-18,16,42.44
2005-11-25,14,42.42
2005-12-02,21,41.67
2005-12-09,20,41.02
2005-12-16,19,42.50
2005-12-23,23,41.59
2005-12-30,27,40.48
2006-01-06,12,40.38
2006-01-13,23,41.91
2006-01-20,14,40.17
2006-01-27,20,40.00
2006-02-03,12,39.82
2006-02-10,16,39.22
2006-02-17,13,41.86
2006-02-24,15,41.63
2006-03-03,14,42.20
2006-03-10,13,41.25
2006-03-17,15,42.90
2006-03-24,10,43.12
2006-03-31,12,42.30
2006-04-07,14,42.10
2006-04-14,9,
2006-04-21,22,40.28
2006-04-28,18,39.93
2006-05-05,15,41.29
2006-05-12,16,40.00
2006-05-19,16,38.94
2006-05-26,20,38.67
2006-06-02,17,38.00
2006-06-09,14,36.95
2006-06-16,14,36.91
2006-06-23,15,36.41
2006-06-30,16,35.79
2006-07-07,18,35.37
2006-07-14,15,33.84
2006-07-21,13,33.85
2006-07-28,16,34.59
2006-08-04,19,34.71
2006-08-11,18,33.27
2006-08-18,17,34.77
2006-08-25,20,33.48
2006-09-01,21,34.64
2006-09-08,14,34.28
2006-09-15,18,37.22
2006-09-22,15,35.96
2006-09-29,23,36.27
2006-10-06,27,37.14
2006-10-13,23,36.90
2006-10-20,23,35.99
2006-10-27,23,37.07
2006-11-03,22,37.20
2006-11-10,24,36.64
2006-11-17,30,38.28
2006-11-24,40,37.72
2006-12-01,42,38.97
2006-12-08,40,38.80
2006-12-15,33,39.89
2006-12-22,32,38.89
2006-12-29,47,40.16
2007-01-05,43,39.79
2007-01-12,39,40.11
2007-01-19,31,40.55
2007-01-26,27,39.94
2007-02-02,34,40.83
2007-02-09,26,41.00
2007-02-16,28,41.44
2007-02-23,26,40.96
2007-03-02,23,39.01
2007-03-09,23,38.67
2007-03-16,22,37.51
2007-03-23,22,38.22
2007-03-30,27,36.74
2007-04-06,25,
2007-04-13,25,37.89
2007-04-20,20,39.21
2007-04-27,21,38.47
2007-05-04,17,38.90
2007-05-11,24,38.86
2007-05-18,27,38.88
2007-05-25,21,38.38
2007-06-01,27,39.21
2007-06-08,27,37.95
2007-06-15,25,37.95
2007-06-22,24,39.36
2007-06-29,25,39.35
2007-07-06,27,40.30
2007-07-13,29,40.87
2007-07-20,28,39.39
2007-07-27,24,36.75
2007-08-03,34,36.19
2007-08-10,30,35.92
2007-08-17,27,33.31
2007-08-24,33,34.68
2007-08-31,31,38.31
2007-09-07,36,34.21
2007-09-14,32,35.68
2007-09-21,33,34.47
2007-09-28,35,32.44
2007-10-05,37,34.22
2007-10-12,28,33.44
2007-10-19,36,30.76
2007-10-26,36,31.35
2007-11-02,45,30.40
2007-11-09,42,28.05
2007-11-16,44,29.07
2007-11-23,58,28.95
2007-11-30,58,28.56
2007-12-07,46,29.49
2007-12-14,49,26.63
2007-12-21,53,26.66
2007-12-28,80,26.68
2008-01-04,58,24.96
2008-01-11,45,24.71
2008-01-18,44,26.28
2008-01-25,41,28.53
2008-02-01,39,30.45
2008-02-08,33,27.97
2008-02-15,34,27.52
2008-02-22,40,27.77
2008-02-29,43,26.55
2008-03-07,35,25.88
2008-03-14,34,25.75
2008-03-21,37,
2008-03-28,39,27.38
2008-04-04,34,28.79
2008-04-11,32,28.17
2008-04-18,28,28.68
2008-04-25,31,29.78
2008-05-02,31,30.12
2008-05-09,26,27.98
2008-05-16,26,29.10
2008-05-23,31,26.77
2008-05-30,30,27.36
2008-06-06,28,27.18
2008-06-13,29,27.53
2008-06-20,27,26.25
2008-06-27,33,24.02
2008-07-04,34,
2008-07-11,31,21.58
2008-07-18,32,23.44
2008-07-25,27,23.80
2008-08-01,33,23.90
2008-08-08,30,26.37
2008-08-15,35,27.53
2008-08-22,32,27.11
2008-08-29,29,27.12
2008-09-05,38,28.59
2008-09-12,30,28.80
2008-09-19,34,27.37
2008-09-26,30,26.46
2008-10-03,35,23.81
2008-10-10,32,19.75
2008-10-17,30,20.21
2008-10-24,36,18.51
2008-10-31,34,23.59
2008-11-07,40,21.06
2008-11-14,40,20.54
2008-11-21,38,19.29
2008-11-28,55,23.11
2008-12-05,48,24.40
2008-12-12,42,23.47
2008-12-19,49,24.22
2008-12-26,67,23.56
2009-01-02,57,24.13
2009-01-09,48,23.86
2009-01-16,46,23.20
2009-01-23,40,21.72
2009-01-30,38,21.53
2009-02-06,37,23.53
2009-02-13,37,21.22
2009-02-20,36,19.46
2009-02-27,34,20.89
2009-03-06,35,18.00
2009-03-13,35,20.71
2009-03-20,36,22.16
2009-03-27,34,23.63
2009-04-03,32,25.00
2009-04-10,33,
2009-04-17,34,26.10
2009-04-24,33,26.31
2009-05-01,32,25.77
2009-05-08,32,25.50
2009-05-15,36,24.40
2009-05-22,35,22.86
2009-05-29,35,23.16
2009-06-05,36,24.17
2009-06-12,40,24.15
2009-06-19,33,23.52
2009-06-26,33,23.61
2009-07-03,31,
2009-07-10,33,22.52
2009-07-17,37,24.67
2009-07-24,33,25.32
2009-07-31,33,25.94
2009-08-07,38,27.26
2009-08-14,42,27.14
2009-08-21,41,27.50
2009-08-28,39,27.69
2009-09-04,40,27.03
2009-09-11,39,27.34
2009-09-18,54,28.23
2009-09-25,48,26.85
2009-10-02,42,26.03
2009-10-09,38,26.96
2009-10-16,43,27.26
2009-10-23,40,26.27
2009-10-30,40,25.09
2009-11-06,39,26.08
2009-11-13,42,27.34
2009-11-20,53,27.18
2009-11-27,71,27.61
2009-12-04,51,28.08
2009-12-11,55,28.49
2009-12-18,56,28.65
2009-12-25,74,
2010-01-01,72,
2010-01-08,49,28.98
2010-01-15,48,28.57
2010-01-22,40,27.72
2010-01-29,41,28.01
2010-02-05,47,27.98
2010-02-12,43,29.00
2010-02-19,39,30.15
2010-02-26,43,31.20
2010-03-05,42,31.80
2010-03-12,39,32.45
2010-03-19,36,32.36
2010-03-26,37,32.75
2010-04-02,39,
2010-04-09,39,33.25
2010-04-16,39,35.01
2010-04-23,36,36.39
2010-04-30,43,35.23
2010-05-07,38,33.43
2010-05-14,38,35.20
2010-05-21,38,33.02
2010-05-28,36,33.86
2010-06-04,43,32.15
2010-06-11,46,32.22
2010-06-18,44,31.94
2010-06-25,35,30.20
2010-07-02,42,27.76
2010-07-09,40,28.26
2010-07-16,42,27.11
2010-07-23,35,28.25
2010-07-30,40,28.51
2010-08-06,40,28.68
2010-08-13,41,27.31
2010-08-20,41,28.17
2010-08-27,40,28.74
2010-09-03,41,29.85
2010-09-10,43,29.68
2010-09-17,42,29.89
2010-09-24,44,31.64
2010-10-01,43,31.82
2010-10-08,41,31.89
2010-10-15,43,30.70
2010-10-22,43,31.48
2010-10-29,47,30.90
2010-11-05,48,31.92
2010-11-12,51,31.44
2010-11-19,52,31.22
2010-11-26,76,31.00
2010-12-03,59,33.48
2010-12-10,55,34.40
2010-12-17,59,35.10
2010-12-24,68,
2010-12-31,73,35.06
2011-01-07,54,34.38
2011-01-14,51,35.89
2011-01-21,45,36.51
2011-01-28,42,36.70
2011-02-04,40,36.80
2011-02-11,42,37.48
2011-02-18,40,38.48
2011-02-25,43,37.08
2011-03-04,38,37.22
2011-03-11,41,37.14
2011-03-18,39,36.00
2011-03-25,43,37.42
2011-04-01,39,37.56
2011-04-08,36,37.46
2011-04-15,35,38.17
2011-04-22,38,
2011-04-29,38,37.15
2011-05-06,35,36.99
2011-05-13,36,37.01
2011-05-20,33,37.05
2011-05-27,39,36.00
2011-06-03,38,34.63
2011-06-10,40,33.47
2011-06-17,39,34.53
2011-06-24,40,35.08
2011-07-01,40,36.73
2011-07-08,38,36.62
2011-07-15,39,35.91
2011-07-22,37,36.52
2011-07-29,37,34.93
2011-08-05,41,30.74
2011-08-12,44,30.58
2011-08-19,41,31.88
2011-08-26,40,34.00
2011-09-02,38,32.18
2011-09-09,37,31.87
2011-09-16,39,34.61
2011-09-23,35,33.72
2011-09-30,34,32.87
2011-10-07,37,33.92
2011-10-14,34,35.05
2011-10-21,32,36.86
2011-10-28,39,36.12
2011-11-04,35,36.39
2011-11-11,41,38.06
2011-11-18,41,37.88
2011-11-25,61,36.47
2011-12-02,54,39.94
2011-12-09,49,40.23
2011-12-16,50,40.42
2011-12-23,52,42.09
2011-12-30,71,42.04
2012-01-06,47,43.20
2012-01-13,41,43.51
2012-01-20,36,44.51
2012-01-27,38,44.87
2012-02-03,36,45.17
2012-02-10,39,45.33
2012-02-17,37,46.71
2012-02-24,36,46.98
2012-03-02,37,47.41
2012-03-09,36,48.10
2012-03-16,34,49.05
2012-03-23,34,49.54
2012-03-30,31,50.31
2012-04-06,33,
2012-04-13,33,50.96
2012-04-20,31,51.46
2012-04-27,33,51.95
2012-05-04,34,51.96
2012-05-11,33,50.34
2012-05-18,36,47.05
2012-05-25,34,49.44
2012-06-01,32,47.96
2012-06-08,36,52.35
2012-06-15,37,51.87
2012-06-22,36,52.02
2012-06-29,35,52.99
2012-07-06,34,52.15
2012-07-13,35,52.09
2012-07-20,38,50.70
2012-07-27,38,53.71
2012-08-03,40,52.29
2012-08-10,37,53.06
2012-08-17,37,56.73
2012-08-24,38,56.96
2012-08-31,38,56.75
2012-09-07,40,57.26
2012-09-14,45,59.46
2012-09-21,39,59.42
2012-09-28,40,60.37
2012-10-05,43,63.20
2012-10-12,40,59.56
2012-10-19,44,61.89
2012-10-26,49,60.04
2012-11-02,45,62.02
2012-11-09,53,60.96
2012-11-16,58,62.12
2012-11-23,96,64.82
2012-11-30,82,65.07
2012-12-07,71,64.45
2012-12-14,83,62.06
2012-12-21,94,61.32
2012-12-28,100,60.65
2013-01-04,68,63.18
2013-01-11,48,63.70
2013-01-18,41,65.47
2013-01-25,49,67.82
2013-02-01,50,67.30
2013-02-08,51,67.01
2013-02-15,64,67.52
2013-02-22,65,65.58
2013-03-01,65,69.03
2013-03-08,62,71.37
2013-03-15,58,69.05
2013-03-22,59,69.56
2013-03-29,57,
2013-04-05,61,70.06
2013-04-12,52,73.62
2013-04-19,43,74.00
2013-04-26,43,73.35
2013-05-03,43,73.96
2013-05-10,44,76.01
2013-05-17,40,76.86
2013-05-24,39,78.99
2013-05-31,42,78.66
2013-06-07,43,78.74
2013-06-14,45,76.59
2013-06-21,44,73.82
2013-06-28,43,77.47
2013-07-05,42,78.29
2013-07-12,42,80.54
2013-07-19,43,79.89
2013-07-26,44,78.74
2013-08-02,43,80.23
2013-08-09,43,78.97
2013-08-16,45,75.38
2013-08-23,37,73.89
2013-08-30,41,74.49
2013-09-06,42,72.70
2013-09-13,38,75.11
2013-09-20,37,77.00
2013-09-27,37,75.96
2013-10-04,34,75.78
2013-10-11,37,76.32
2013-10-18,36,74.69
2013-10-25,36,76.25
2013-11-01,36,76.99
2013-11-08,39,75.48
2013-11-15,47,80.03
2013-11-22,50,79.18
2013-11-29,94,80.67
2013-12-06,67,79.84
2013-12-13,59,79.01
2013-12-20,66,80.04
2013-12-27,79,81.64
2014-01-03,53,81.89
2014-01-10,38,82.01
2014-01-17,38,81.00
2014-01-24,36,79.16
2014-01-31,36,76.85
2014-02-07,32,76.45
2014-02-14,34,77.93
2014-02-21,34,77.74
2014-02-28,32,82.03
2014-03-07,34,82.55
2014-03-14,29,79.38
2014-03-21,33,80.42
2014-03-28,33,78.72
2014-04-04,30,78.72
2014-04-11,28,75.70
2014-04-18,29,
2014-04-25,30,79.38
2014-05-02,29,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
