Date,buy HOG,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,52.34
2004-02-13,0,53.21
2004-02-20,0,53.95
2004-02-27,0,53.12
2004-03-05,0,53.65
2004-03-12,0,51.96
2004-03-19,0,52.22
2004-03-26,0,51.25
2004-04-02,0,52.84
2004-04-09,0,
2004-04-16,0,58.00
2004-04-23,0,58.07
2004-04-30,0,56.32
2004-05-07,0,54.83
2004-05-14,0,54.95
2004-05-21,0,56.43
2004-05-28,0,57.49
2004-06-04,0,57.16
2004-06-11,0,
2004-06-18,0,61.87
2004-06-25,0,61.33
2004-07-02,0,61.06
2004-07-09,0,60.93
2004-07-16,0,62.70
2004-07-23,0,59.75
2004-07-30,0,59.87
2004-08-06,0,56.80
2004-08-13,0,58.42
2004-08-20,0,60.82
2004-08-27,0,60.78
2004-09-03,0,62.32
2004-09-10,0,62.32
2004-09-17,0,60.40
2004-09-24,0,59.39
2004-10-01,0,59.71
2004-10-08,0,59.41
2004-10-15,0,57.86
2004-10-22,0,55.55
2004-10-29,0,57.57
2004-11-05,0,59.64
2004-11-12,0,58.85
2004-11-19,0,56.03
2004-11-26,0,57.70
2004-12-03,0,59.19
2004-12-10,0,60.68
2004-12-17,0,58.85
2004-12-24,0,
2004-12-31,0,60.75
2005-01-07,0,59.54
2005-01-14,0,59.00
2005-01-21,0,58.41
2005-01-28,0,59.48
2005-02-04,0,61.27
2005-02-11,0,61.37
2005-02-18,0,61.26
2005-02-25,0,62.10
2005-03-04,0,61.70
2005-03-11,0,60.40
2005-03-18,0,60.56
2005-03-25,0,
2005-04-01,0,56.78
2005-04-08,0,57.27
2005-04-15,0,45.80
2005-04-22,0,46.71
2005-04-29,0,47.02
2005-05-06,0,48.85
2005-05-13,0,46.90
2005-05-20,0,50.00
2005-05-27,0,49.89
2005-06-03,0,48.40
2005-06-10,0,49.25
2005-06-17,0,49.63
2005-06-24,0,50.86
2005-07-01,0,49.78
2005-07-08,0,49.74
2005-07-15,0,53.62
2005-07-22,0,53.45
2005-07-29,0,53.19
2005-08-05,0,51.41
2005-08-12,0,52.11
2005-08-19,0,51.13
2005-08-26,0,49.17
2005-09-02,0,48.80
2005-09-09,0,49.92
2005-09-16,0,51.70
2005-09-23,0,48.73
2005-09-30,0,48.44
2005-10-07,0,45.04
2005-10-14,0,49.20
2005-10-21,0,49.48
2005-10-28,0,48.72
2005-11-04,0,50.97
2005-11-11,0,53.39
2005-11-18,0,53.54
2005-11-25,0,55.10
2005-12-02,0,53.90
2005-12-09,0,51.32
2005-12-16,0,52.53
2005-12-23,0,51.83
2005-12-30,0,51.49
2006-01-06,0,52.15
2006-01-13,0,52.86
2006-01-20,0,53.10
2006-01-27,0,54.64
2006-02-03,0,52.45
2006-02-10,0,51.75
2006-02-17,0,52.03
2006-02-24,0,52.52
2006-03-03,0,51.27
2006-03-10,0,50.77
2006-03-17,0,48.90
2006-03-24,0,51.07
2006-03-31,0,51.88
2006-04-07,0,52.45
2006-04-14,0,
2006-04-21,0,51.35
2006-04-28,0,50.84
2006-05-05,0,50.82
2006-05-12,0,49.58
2006-05-19,0,49.68
2006-05-26,0,50.81
2006-06-02,0,50.61
2006-06-09,0,49.07
2006-06-16,0,53.05
2006-06-23,0,52.64
2006-06-30,0,54.89
2006-07-07,0,54.30
2006-07-14,0,51.37
2006-07-21,0,52.90
2006-07-28,0,56.64
2006-08-04,0,57.19
2006-08-11,0,56.90
2006-08-18,0,59.45
2006-08-25,0,57.76
2006-09-01,0,59.14
2006-09-08,0,59.40
2006-09-15,0,61.00
2006-09-22,0,61.18
2006-09-29,0,62.75
2006-10-06,0,64.16
2006-10-13,0,63.81
2006-10-20,0,67.29
2006-10-27,0,67.62
2006-11-03,0,67.67
2006-11-10,0,71.00
2006-11-17,0,73.34
2006-11-24,0,74.93
2006-12-01,0,73.23
2006-12-08,0,71.00
2006-12-15,0,69.51
2006-12-22,0,70.20
2006-12-29,0,70.47
2007-01-05,0,69.53
2007-01-12,0,72.80
2007-01-19,0,71.60
2007-01-26,0,70.89
2007-02-02,0,70.10
2007-02-09,0,67.80
2007-02-16,0,68.04
2007-02-23,0,69.01
2007-03-02,0,63.77
2007-03-09,0,63.37
2007-03-16,0,60.78
2007-03-23,0,61.20
2007-03-30,0,58.75
2007-04-06,0,
2007-04-13,0,61.15
2007-04-20,0,64.82
2007-04-27,0,64.26
2007-05-04,0,63.29
2007-05-11,0,64.96
2007-05-18,0,62.90
2007-05-25,0,62.14
2007-06-01,0,62.22
2007-06-08,0,60.44
2007-06-15,0,60.81
2007-06-22,0,62.55
2007-06-29,0,59.61
2007-07-06,0,60.98
2007-07-13,0,62.48
2007-07-20,0,58.21
2007-07-27,0,56.40
2007-08-03,0,55.20
2007-08-10,0,57.20
2007-08-17,0,55.62
2007-08-24,0,54.32
2007-08-31,0,53.79
2007-09-07,0,49.09
2007-09-14,0,46.50
2007-09-21,0,48.05
2007-09-28,0,46.21
2007-10-05,0,49.66
2007-10-12,0,50.09
2007-10-19,0,48.30
2007-10-26,0,49.76
2007-11-02,0,49.46
2007-11-09,0,48.16
2007-11-16,0,47.88
2007-11-23,0,46.53
2007-11-30,0,48.02
2007-12-07,0,48.99
2007-12-14,0,44.96
2007-12-21,0,47.34
2007-12-28,0,47.15
2008-01-04,0,42.38
2008-01-11,0,39.84
2008-01-18,0,37.00
2008-01-25,0,37.96
2008-02-01,0,40.95
2008-02-08,98,36.96
2008-02-15,0,37.68
2008-02-22,0,38.42
2008-02-29,0,37.16
2008-03-07,0,35.05
2008-03-14,0,35.41
2008-03-21,0,
2008-03-28,0,37.93
2008-04-04,0,39.22
2008-04-11,0,37.06
2008-04-18,82,37.76
2008-04-25,0,39.35
2008-05-02,0,39.04
2008-05-09,0,38.05
2008-05-16,0,39.95
2008-05-23,0,37.94
2008-05-30,0,41.57
2008-06-06,96,39.79
2008-06-13,0,38.93
2008-06-20,0,37.24
2008-06-27,0,36.63
2008-07-04,0,
2008-07-11,0,33.33
2008-07-18,0,37.45
2008-07-25,0,37.14
2008-08-01,0,37.86
2008-08-08,0,41.75
2008-08-15,0,42.56
2008-08-22,0,39.78
2008-08-29,0,39.78
2008-09-05,0,39.20
2008-09-12,0,40.49
2008-09-19,0,42.80
2008-09-26,0,40.04
2008-10-03,0,32.60
2008-10-10,0,29.54
2008-10-17,0,25.81
2008-10-24,0,19.88
2008-10-31,0,24.48
2008-11-07,0,21.31
2008-11-14,0,15.35
2008-11-21,0,12.04
2008-11-28,0,17.01
2008-12-05,0,16.60
2008-12-12,0,16.31
2008-12-19,0,16.59
2008-12-26,0,15.82
2009-01-02,0,18.40
2009-01-09,74,16.00
2009-01-16,64,13.70
2009-01-23,64,11.50
2009-01-30,64,12.18
2009-02-06,64,14.42
2009-02-13,70,12.30
2009-02-20,76,10.82
2009-02-27,0,10.10
2009-03-06,0,8.33
2009-03-13,0,10.74
2009-03-20,0,12.70
2009-03-27,0,14.46
2009-04-03,0,16.56
2009-04-10,73,
2009-04-17,74,18.92
2009-04-24,74,20.44
2009-05-01,75,21.52
2009-05-08,61,20.20
2009-05-15,61,17.48
2009-05-22,61,16.46
2009-05-29,61,16.97
2009-06-05,69,17.47
2009-06-12,78,16.68
2009-06-19,0,16.56
2009-06-26,0,16.67
2009-07-03,0,
2009-07-10,0,16.18
2009-07-17,0,18.92
2009-07-24,0,21.74
2009-07-31,0,22.60
2009-08-07,0,23.76
2009-08-14,62,22.70
2009-08-21,67,22.21
2009-08-28,77,23.33
2009-09-04,69,23.29
2009-09-11,55,25.04
2009-09-18,55,24.91
2009-09-25,55,22.97
2009-10-02,55,21.01
2009-10-09,55,23.75
2009-10-16,56,27.86
2009-10-23,57,27.73
2009-10-30,58,24.92
2009-11-06,52,25.73
2009-11-13,52,27.00
2009-11-20,51,27.84
2009-11-27,51,28.69
2009-12-04,51,28.52
2009-12-11,62,27.64
2009-12-18,79,25.99
2009-12-25,61,
2010-01-01,73,
2010-01-08,76,25.53
2010-01-15,54,25.08
2010-01-22,58,23.59
2010-01-29,57,22.74
2010-02-05,53,22.57
2010-02-12,62,23.49
2010-02-19,56,24.43
2010-02-26,56,24.61
2010-03-05,52,26.82
2010-03-12,66,26.85
2010-03-19,47,28.31
2010-03-26,47,27.92
2010-04-02,49,
2010-04-09,51,32.92
2010-04-16,54,33.08
2010-04-23,56,35.49
2010-04-30,58,33.83
2010-05-07,87,30.18
2010-05-14,48,32.34
2010-05-21,48,30.87
2010-05-28,59,30.21
2010-06-04,69,27.35
2010-06-11,74,27.05
2010-06-18,79,26.81
2010-06-25,88,24.49
2010-07-02,74,21.86
2010-07-09,51,23.79
2010-07-16,56,23.55
2010-07-23,60,28.36
2010-07-30,64,27.23
2010-08-06,60,28.00
2010-08-13,55,25.57
2010-08-20,55,25.21
2010-08-27,53,25.00
2010-09-03,60,27.13
2010-09-10,61,26.61
2010-09-17,67,28.28
2010-09-24,42,28.50
2010-10-01,70,28.57
2010-10-08,61,31.69
2010-10-15,62,32.30
2010-10-22,40,31.32
2010-10-29,42,30.66
2010-11-05,44,33.63
2010-11-12,47,31.70
2010-11-19,51,31.90
2010-11-26,55,31.33
2010-12-03,61,33.25
2010-12-10,50,33.69
2010-12-17,82,34.50
2010-12-24,69,
2010-12-31,62,34.67
2011-01-07,39,36.50
2011-01-14,45,36.99
2011-01-21,40,35.99
2011-01-28,65,39.37
2011-02-04,48,41.11
2011-02-11,58,43.11
2011-02-18,46,42.12
2011-02-25,56,40.87
2011-03-04,39,39.75
2011-03-11,49,40.96
2011-03-18,64,40.29
2011-03-25,39,40.96
2011-04-01,46,42.15
2011-04-08,43,39.56
2011-04-15,54,40.55
2011-04-22,68,
2011-04-29,37,37.26
2011-05-06,79,37.78
2011-05-13,43,38.12
2011-05-20,84,36.56
2011-05-27,71,36.86
2011-06-03,65,35.87
2011-06-10,69,35.40
2011-06-17,49,36.74
2011-06-24,53,38.07
2011-07-01,57,42.09
2011-07-08,39,42.94
2011-07-15,79,41.84
2011-07-22,74,45.91
2011-07-29,42,43.39
2011-08-05,78,39.09
2011-08-12,76,37.59
2011-08-19,60,32.11
2011-08-26,37,35.24
2011-09-02,66,36.00
2011-09-09,61,34.63
2011-09-16,42,37.50
2011-09-23,51,33.89
2011-09-30,35,34.33
2011-10-07,35,33.48
2011-10-14,33,37.87
2011-10-21,57,37.60
2011-10-28,37,39.66
2011-11-04,43,38.99
2011-11-11,52,39.48
2011-11-18,79,36.34
2011-11-25,67,34.80
2011-12-02,64,37.80
2011-12-09,69,38.64
2011-12-16,57,36.69
2011-12-23,54,39.19
2011-12-30,100,38.87
2012-01-06,54,39.58
2012-01-13,40,42.03
2012-01-20,54,41.96
2012-01-27,42,44.34
2012-02-03,58,46.11
2012-02-10,56,46.09
2012-02-17,73,46.05
2012-02-24,84,47.04
2012-03-02,48,46.86
2012-03-09,43,46.88
2012-03-16,50,49.39
2012-03-23,73,49.06
2012-03-30,45,49.08
2012-04-06,41,
2012-04-13,52,48.16
2012-04-20,36,51.70
2012-04-27,49,52.89
2012-05-04,57,51.89
2012-05-11,65,48.79
2012-05-18,27,45.27
2012-05-25,39,47.52
2012-06-01,58,46.27
2012-06-08,47,48.66
2012-06-15,38,49.01
2012-06-22,47,49.08
2012-06-29,41,45.73
2012-07-06,33,46.12
2012-07-13,52,43.95
2012-07-20,41,43.91
2012-07-27,76,44.64
2012-08-03,64,42.39
2012-08-10,50,41.36
2012-08-17,59,42.28
2012-08-24,65,42.55
2012-08-31,57,41.96
2012-09-07,51,43.97
2012-09-14,37,46.33
2012-09-21,37,44.09
2012-09-28,28,42.37
2012-10-05,39,41.99
2012-10-12,45,41.42
2012-10-19,50,43.88
2012-10-26,33,46.12
2012-11-02,40,47.29
2012-11-09,47,45.29
2012-11-16,54,46.22
2012-11-23,79,48.26
2012-11-30,50,46.96
2012-12-07,60,46.46
2012-12-14,55,47.83
2012-12-21,79,48.69
2012-12-28,68,47.27
2013-01-04,47,48.69
2013-01-11,49,50.14
2013-01-18,52,52.11
2013-01-25,57,53.94
2013-02-01,50,52.76
2013-02-08,59,52.86
2013-02-15,53,52.66
2013-02-22,42,51.21
2013-03-01,38,52.02
2013-03-08,44,54.82
2013-03-15,50,55.41
2013-03-22,40,52.79
2013-03-29,53,
2013-04-05,38,50.71
2013-04-12,39,52.00
2013-04-19,38,51.83
2013-04-26,58,54.04
2013-05-03,59,54.35
2013-05-10,56,57.37
2013-05-17,49,59.48
2013-05-24,44,55.44
2013-05-31,60,54.54
2013-06-07,53,53.92
2013-06-14,55,53.13
2013-06-21,73,50.54
2013-06-28,58,54.82
2013-07-05,41,55.25
2013-07-12,59,55.96
2013-07-19,44,55.87
2013-07-26,57,55.37
2013-08-02,63,58.60
2013-08-09,52,58.77
2013-08-16,35,58.44
2013-08-23,47,59.84
2013-08-30,59,59.98
2013-09-06,60,61.97
2013-09-13,68,63.30
2013-09-20,49,64.27
2013-09-27,68,64.65
2013-10-04,44,65.30
2013-10-11,55,65.75
2013-10-18,36,65.75
2013-10-25,54,64.98
2013-11-01,50,64.76
2013-11-08,65,64.26
2013-11-15,46,66.72
2013-11-22,60,67.22
2013-11-29,76,67.02
2013-12-06,60,68.53
2013-12-13,74,67.51
2013-12-20,65,68.05
2013-12-27,75,69.05
2014-01-03,66,68.91
2014-01-10,50,69.62
2014-01-17,53,67.58
2014-01-24,49,64.02
2014-01-31,55,61.69
2014-02-07,49,64.98
2014-02-14,54,64.98
2014-02-21,37,64.32
2014-02-28,32,66.06
2014-03-07,43,68.11
2014-03-14,64,67.22
2014-03-21,42,67.66
2014-03-28,46,66.17
2014-04-04,57,67.83
2014-04-11,48,65.51
2014-04-18,48,
2014-04-25,39,71.65
2014-05-02,89,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
