Date,buy ICE,Price
2004-01-09,32,
2004-01-16,40,
2004-01-23,32,
2004-01-30,25,
2004-02-06,35,
2004-02-13,25,
2004-02-20,25,
2004-02-27,38,
2004-03-05,24,
2004-03-12,24,
2004-03-19,24,
2004-03-26,25,
2004-04-02,25,
2004-04-09,33,
2004-04-16,32,
2004-04-23,37,
2004-04-30,43,
2004-05-07,33,
2004-05-14,22,
2004-05-21,35,
2004-05-28,19,
2004-06-04,41,
2004-06-11,30,
2004-06-18,34,
2004-06-25,33,
2004-07-02,34,
2004-07-09,34,
2004-07-16,33,
2004-07-23,39,
2004-07-30,32,
2004-08-06,41,
2004-08-13,38,
2004-08-20,38,
2004-08-27,28,
2004-09-03,34,
2004-09-10,26,
2004-09-17,32,
2004-09-24,34,
2004-10-01,21,
2004-10-08,30,
2004-10-15,23,
2004-10-22,33,
2004-10-29,66,
2004-11-05,36,
2004-11-12,25,
2004-11-19,34,
2004-11-26,35,
2004-12-03,29,
2004-12-10,48,
2004-12-17,36,
2004-12-24,38,
2004-12-31,42,
2005-01-07,30,
2005-01-14,28,
2005-01-21,36,
2005-01-28,25,
2005-02-04,44,
2005-02-11,25,
2005-02-18,34,
2005-02-25,18,
2005-03-04,31,
2005-03-11,21,
2005-03-18,19,
2005-03-25,23,
2005-04-01,22,
2005-04-08,26,
2005-04-15,28,
2005-04-22,30,
2005-04-29,29,
2005-05-06,33,
2005-05-13,28,
2005-05-20,23,
2005-05-27,25,
2005-06-03,24,
2005-06-10,25,
2005-06-17,12,
2005-06-24,24,
2005-07-01,29,
2005-07-08,29,
2005-07-15,37,
2005-07-22,22,
2005-07-29,38,
2005-08-05,28,
2005-08-12,27,
2005-08-19,38,
2005-08-26,29,
2005-09-02,22,
2005-09-09,30,
2005-09-16,26,
2005-09-23,35,
2005-09-30,26,
2005-10-07,21,
2005-10-14,35,
2005-10-21,34,
2005-10-28,49,
2005-11-04,29,
2005-11-11,34,
2005-11-18,38,35.00
2005-11-25,21,34.15
2005-12-02,41,36.10
2005-12-09,31,36.20
2005-12-16,48,34.19
2005-12-23,31,34.25
2005-12-30,36,36.35
2006-01-06,36,40.32
2006-01-13,45,44.55
2006-01-20,38,46.30
2006-01-27,27,51.01
2006-02-03,36,55.51
2006-02-10,38,51.73
2006-02-17,39,51.36
2006-02-24,38,54.50
2006-03-03,38,60.60
2006-03-10,40,67.14
2006-03-17,30,68.10
2006-03-24,27,67.20
2006-03-31,26,69.05
2006-04-07,38,53.00
2006-04-14,29,
2006-04-21,19,69.00
2006-04-28,29,71.31
2006-05-05,35,74.21
2006-05-12,28,75.58
2006-05-19,23,70.02
2006-05-26,25,57.44
2006-06-02,22,54.77
2006-06-09,32,50.84
2006-06-16,28,50.59
2006-06-23,35,54.44
2006-06-30,32,57.94
2006-07-07,41,54.87
2006-07-14,39,59.61
2006-07-21,40,58.10
2006-07-28,40,58.97
2006-08-04,30,59.46
2006-08-11,32,60.27
2006-08-18,36,64.36
2006-08-25,21,62.11
2006-09-01,30,63.65
2006-09-08,34,64.07
2006-09-15,27,74.35
2006-09-22,32,73.69
2006-09-29,27,75.07
2006-10-06,28,85.40
2006-10-13,34,82.97
2006-10-20,36,81.78
2006-10-27,43,84.46
2006-11-03,31,81.75
2006-11-10,28,85.11
2006-11-17,30,101.20
2006-11-24,29,104.10
2006-12-01,27,95.08
2006-12-08,35,108.10
2006-12-15,44,106.34
2006-12-22,39,104.23
2006-12-29,39,107.90
2007-01-05,40,124.56
2007-01-12,33,134.73
2007-01-19,26,126.91
2007-01-26,30,135.17
2007-02-02,30,142.47
2007-02-09,31,149.36
2007-02-16,33,158.32
2007-02-23,33,161.94
2007-03-02,27,138.58
2007-03-09,27,131.00
2007-03-16,27,126.38
2007-03-23,28,123.56
2007-03-30,30,122.21
2007-04-06,30,
2007-04-13,31,129.79
2007-04-20,27,133.83
2007-04-27,31,126.76
2007-05-04,31,138.40
2007-05-11,31,140.55
2007-05-18,35,139.18
2007-05-25,28,144.99
2007-06-01,30,142.97
2007-06-08,35,145.63
2007-06-15,37,156.98
2007-06-22,32,155.52
2007-06-29,35,147.85
2007-07-06,39,156.09
2007-07-13,33,167.11
2007-07-20,37,160.24
2007-07-27,39,151.40
2007-08-03,38,153.96
2007-08-10,37,151.05
2007-08-17,28,133.54
2007-08-24,28,142.50
2007-08-31,28,145.87
2007-09-07,32,132.84
2007-09-14,26,127.71
2007-09-21,28,135.46
2007-09-28,33,151.90
2007-10-05,24,157.76
2007-10-12,33,161.29
2007-10-19,35,163.95
2007-10-26,42,170.25
2007-11-02,37,174.63
2007-11-09,23,165.44
2007-11-16,24,175.04
2007-11-23,34,168.00
2007-11-30,41,166.96
2007-12-07,43,175.55
2007-12-14,35,185.73
2007-12-21,36,186.45
2007-12-28,37,189.43
2008-01-04,33,170.79
2008-01-11,29,173.12
2008-01-18,31,138.60
2008-01-25,38,145.34
2008-02-01,34,135.45
2008-02-08,34,127.80
2008-02-15,33,132.36
2008-02-22,30,134.50
2008-02-29,35,130.30
2008-03-07,33,131.89
2008-03-14,28,131.33
2008-03-21,34,
2008-03-28,29,129.75
2008-04-04,27,147.45
2008-04-11,26,147.88
2008-04-18,28,156.67
2008-04-25,31,160.54
2008-05-02,31,161.12
2008-05-09,34,156.56
2008-05-16,39,154.51
2008-05-23,30,142.71
2008-05-30,32,138.20
2008-06-06,30,128.11
2008-06-13,41,123.00
2008-06-20,34,129.68
2008-06-27,34,118.80
2008-07-04,33,
2008-07-11,39,88.40
2008-07-18,41,89.45
2008-07-25,36,102.90
2008-08-01,37,96.20
2008-08-08,35,87.70
2008-08-15,37,86.95
2008-08-22,38,88.10
2008-08-29,36,88.03
2008-09-05,36,97.77
2008-09-12,30,90.90
2008-09-19,40,86.61
2008-09-26,34,78.85
2008-10-03,29,78.21
2008-10-10,37,74.00
2008-10-17,46,84.10
2008-10-24,49,59.55
2008-10-31,50,85.56
2008-11-07,34,80.21
2008-11-14,37,70.86
2008-11-21,32,58.50
2008-11-28,41,73.60
2008-12-05,43,71.62
2008-12-12,44,76.79
2008-12-19,46,80.20
2008-12-26,47,76.62
2009-01-02,43,84.57
2009-01-09,39,63.88
2009-01-16,39,57.66
2009-01-23,37,56.63
2009-01-30,41,56.93
2009-02-06,34,63.47
2009-02-13,38,63.12
2009-02-20,31,58.04
2009-02-27,38,56.77
2009-03-06,30,60.39
2009-03-13,33,68.43
2009-03-20,32,71.65
2009-03-27,34,78.61
2009-04-03,33,85.27
2009-04-10,37,
2009-04-17,31,86.59
2009-04-24,34,84.39
2009-05-01,35,85.15
2009-05-08,34,97.28
2009-05-15,39,96.92
2009-05-22,38,99.50
2009-05-29,36,107.79
2009-06-05,45,114.86
2009-06-12,44,116.10
2009-06-19,47,115.27
2009-06-26,40,116.02
2009-07-03,48,
2009-07-10,42,84.70
2009-07-17,44,91.00
2009-07-24,47,93.12
2009-07-31,46,94.06
2009-08-07,49,93.60
2009-08-14,46,90.49
2009-08-21,38,95.94
2009-08-28,39,93.41
2009-09-04,35,89.56
2009-09-11,38,88.19
2009-09-18,40,97.63
2009-09-25,36,91.05
2009-10-02,37,91.32
2009-10-09,43,95.96
2009-10-16,41,105.84
2009-10-23,48,104.54
2009-10-30,73,100.19
2009-11-06,35,106.01
2009-11-13,39,108.53
2009-11-20,37,106.77
2009-11-27,43,104.82
2009-12-04,49,105.10
2009-12-11,49,109.49
2009-12-18,54,106.67
2009-12-25,56,
2010-01-01,58,
2010-01-08,50,108.48
2010-01-15,47,107.03
2010-01-22,42,100.16
2010-01-29,37,95.48
2010-02-05,42,98.47
2010-02-12,40,100.51
2010-02-19,46,103.50
2010-02-26,43,107.29
2010-03-05,39,109.44
2010-03-12,37,110.23
2010-03-19,34,108.11
2010-03-26,34,111.08
2010-04-02,44,
2010-04-09,36,107.04
2010-04-16,35,107.51
2010-04-23,38,118.26
2010-04-30,39,116.63
2010-05-07,41,114.68
2010-05-14,39,118.19
2010-05-21,47,115.09
2010-05-28,47,116.13
2010-06-04,45,117.90
2010-06-11,45,123.41
2010-06-18,47,122.17
2010-06-25,44,118.36
2010-07-02,49,106.23
2010-07-09,58,106.64
