Date,buy IP,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,42.22
2004-02-13,0,43.40
2004-02-20,0,43.77
2004-02-27,0,44.26
2004-03-05,0,44.03
2004-03-12,0,41.41
2004-03-19,0,41.47
2004-03-26,0,41.58
2004-04-02,0,42.67
2004-04-09,0,
2004-04-16,0,42.74
2004-04-23,0,43.20
2004-04-30,88,40.32
2004-05-07,79,38.41
2004-05-14,80,40.77
2004-05-21,80,40.60
2004-05-28,80,41.93
2004-06-04,81,41.77
2004-06-11,0,
2004-06-18,0,43.72
2004-06-25,0,43.49
2004-07-02,0,43.55
2004-07-09,0,42.83
2004-07-16,0,43.52
2004-07-23,0,42.31
2004-07-30,0,43.23
2004-08-06,0,41.35
2004-08-13,0,40.70
2004-08-20,0,41.81
2004-08-27,82,41.15
2004-09-03,0,40.80
2004-09-10,0,40.11
2004-09-17,0,39.90
2004-09-24,0,38.85
2004-10-01,0,40.76
2004-10-08,0,40.62
2004-10-15,0,39.12
2004-10-22,65,38.60
2004-10-29,76,38.51
2004-11-05,72,40.12
2004-11-12,74,40.81
2004-11-19,76,40.50
2004-11-26,79,41.80
2004-12-03,74,40.52
2004-12-10,77,40.75
2004-12-17,81,41.34
2004-12-24,85,
2004-12-31,89,42.00
2005-01-07,92,41.29
2005-01-14,93,40.92
2005-01-21,94,39.10
2005-01-28,95,39.40
2005-02-04,100,39.54
2005-02-11,68,37.27
2005-02-18,58,38.36
2005-02-25,58,38.11
2005-03-04,58,39.60
2005-03-11,58,39.25
2005-03-18,58,38.93
2005-03-25,50,
2005-04-01,50,36.35
2005-04-08,52,37.30
2005-04-15,53,34.43
2005-04-22,55,33.85
2005-04-29,56,34.29
2005-05-06,60,33.79
2005-05-13,65,31.65
2005-05-20,56,32.89
2005-05-27,56,32.54
2005-06-03,56,32.87
2005-06-10,57,32.69
2005-06-17,57,33.90
2005-06-24,57,32.45
2005-07-01,57,30.34
2005-07-08,58,30.61
2005-07-15,51,30.86
2005-07-22,51,31.59
2005-07-29,51,31.60
2005-08-05,52,31.19
2005-08-12,52,31.31
2005-08-19,52,31.07
2005-08-26,52,30.53
2005-09-02,52,30.61
2005-09-09,51,31.85
2005-09-16,49,31.57
2005-09-23,50,30.30
2005-09-30,50,29.80
2005-10-07,51,28.39
2005-10-14,52,27.20
2005-10-21,50,28.01
2005-10-28,50,28.86
2005-11-04,80,29.36
2005-11-11,72,29.83
2005-11-18,68,30.89
2005-11-25,66,31.41
2005-12-02,66,33.46
2005-12-09,52,33.83
2005-12-16,52,33.69
2005-12-23,44,34.43
2005-12-30,55,33.61
2006-01-06,57,34.18
2006-01-13,60,33.25
2006-01-20,47,32.26
2006-01-27,40,32.71
2006-02-03,65,32.50
2006-02-10,39,32.66
2006-02-17,45,33.47
2006-02-24,47,33.44
2006-03-03,48,32.60
2006-03-10,40,34.21
2006-03-17,34,35.21
2006-03-24,37,34.43
2006-03-31,40,34.57
2006-04-07,48,34.40
2006-04-14,57,
2006-04-21,46,37.18
2006-04-28,46,36.35
2006-05-05,40,37.44
2006-05-12,40,34.60
2006-05-19,52,33.71
2006-05-26,39,33.92
2006-06-02,34,33.81
2006-06-09,34,32.18
2006-06-16,34,31.77
2006-06-23,38,31.76
2006-06-30,43,32.30
2006-07-07,45,32.75
2006-07-14,40,32.36
2006-07-21,47,31.67
2006-07-28,39,33.88
2006-08-04,39,33.64
2006-08-11,39,34.10
2006-08-18,40,34.84
2006-08-25,41,35.07
2006-09-01,42,35.01
2006-09-08,48,35.08
2006-09-15,53,34.00
2006-09-22,40,34.06
2006-09-29,34,34.63
2006-10-06,38,35.34
2006-10-13,42,35.60
2006-10-20,45,33.81
2006-10-27,49,33.76
2006-11-03,35,31.92
2006-11-10,45,32.23
2006-11-17,44,32.84
2006-11-24,37,32.86
2006-12-01,51,33.17
2006-12-08,36,33.98
2006-12-15,31,34.78
2006-12-22,50,33.80
2006-12-29,36,34.10
2007-01-05,39,33.46
2007-01-12,40,34.29
2007-01-19,40,34.67
2007-01-26,38,32.84
2007-02-02,35,34.88
2007-02-09,45,35.85
2007-02-16,56,37.78
2007-02-23,42,37.18
2007-03-02,42,35.05
2007-03-09,31,35.25
2007-03-16,43,35.30
2007-03-23,33,36.42
2007-03-30,24,36.40
2007-04-06,30,
2007-04-13,49,36.92
2007-04-20,37,37.20
2007-04-27,32,37.68
2007-05-04,41,38.10
2007-05-11,28,38.89
2007-05-18,46,39.12
2007-05-25,38,38.95
2007-06-01,54,39.58
2007-06-08,49,38.38
2007-06-15,35,38.33
2007-06-22,55,38.79
2007-06-29,26,39.05
2007-07-06,41,39.33
2007-07-13,40,40.79
2007-07-20,43,40.30
2007-07-27,48,36.72
2007-08-03,42,34.86
2007-08-10,34,33.73
2007-08-17,40,33.07
2007-08-24,46,34.40
2007-08-31,38,35.11
2007-09-07,52,35.06
2007-09-14,47,34.92
2007-09-21,46,35.86
2007-09-28,44,35.87
2007-10-05,42,36.43
2007-10-12,42,35.68
2007-10-19,62,35.10
2007-10-26,45,36.43
2007-11-02,34,35.45
2007-11-09,43,34.17
2007-11-16,31,34.11
2007-11-23,52,32.89
2007-11-30,61,33.75
2007-12-07,57,34.52
2007-12-14,38,32.36
2007-12-21,60,33.09
2007-12-28,35,32.55
2008-01-04,43,31.30
2008-01-11,58,31.02
2008-01-18,35,30.68
2008-01-25,36,31.65
2008-02-01,47,32.68
2008-02-08,46,31.84
2008-02-15,42,32.51
2008-02-22,40,32.40
2008-02-29,45,31.70
2008-03-07,44,31.31
2008-03-14,54,32.26
2008-03-21,46,
2008-03-28,40,26.95
2008-04-04,39,28.74
2008-04-11,53,27.18
2008-04-18,31,28.65
2008-04-25,55,28.17
2008-05-02,39,25.73
2008-05-09,45,25.82
2008-05-16,27,28.07
2008-05-23,45,26.49
2008-05-30,41,27.22
2008-06-06,61,25.68
2008-06-13,42,25.14
2008-06-20,40,24.48
2008-06-27,35,23.39
2008-07-04,54,
2008-07-11,58,22.00
2008-07-18,46,23.38
2008-07-25,37,23.41
2008-08-01,39,28.52
2008-08-08,61,28.96
2008-08-15,37,28.96
2008-08-22,33,27.68
2008-08-29,57,27.05
2008-09-05,41,28.47
2008-09-12,35,30.59
2008-09-19,23,28.92
2008-09-26,36,28.24
2008-10-03,40,25.30
2008-10-10,42,19.32
2008-10-17,42,18.01
2008-10-24,44,16.05
2008-10-31,43,17.26
2008-11-07,41,14.88
2008-11-14,44,12.52
2008-11-21,43,11.06
2008-11-28,33,12.45
2008-12-05,49,11.06
2008-12-12,33,12.17
2008-12-19,42,12.24
2008-12-26,62,11.49
2009-01-02,55,12.43
2009-01-09,41,11.70
2009-01-16,56,10.89
2009-01-23,50,10.83
2009-01-30,50,9.12
2009-02-06,52,8.00
2009-02-13,49,6.89
2009-02-20,57,6.12
2009-02-27,44,5.69
2009-03-06,46,4.09
2009-03-13,46,6.17
2009-03-20,31,7.08
2009-03-27,45,8.07
2009-04-03,34,7.96
2009-04-10,36,
2009-04-17,46,8.82
2009-04-24,56,10.86
2009-05-01,36,13.04
2009-05-08,37,14.36
2009-05-15,45,12.49
2009-05-22,46,14.31
2009-05-29,50,14.37
2009-06-05,37,14.48
2009-06-12,50,15.81
2009-06-19,60,13.75
2009-06-26,36,13.96
2009-07-03,45,
2009-07-10,39,14.69
2009-07-17,35,16.25
2009-07-24,46,18.72
2009-07-31,40,18.81
2009-08-07,56,20.18
2009-08-14,37,19.99
2009-08-21,46,21.18
2009-08-28,51,22.38
2009-09-04,37,22.44
2009-09-11,44,23.47
2009-09-18,53,23.14
2009-09-25,43,21.71
2009-10-02,46,21.39
2009-10-09,44,23.18
2009-10-16,51,24.16
2009-10-23,56,23.72
2009-10-30,45,22.31
2009-11-06,47,23.96
2009-11-13,49,24.81
2009-11-20,61,24.89
2009-11-27,62,24.85
2009-12-04,38,25.86
2009-12-11,40,25.79
2009-12-18,39,26.66
2009-12-25,60,
2010-01-01,59,
2010-01-08,40,26.93
2010-01-15,60,26.08
2010-01-22,42,24.43
2010-01-29,28,22.91
2010-02-05,54,22.67
2010-02-12,53,22.57
2010-02-19,45,24.25
2010-02-26,48,23.17
2010-03-05,52,25.35
2010-03-12,44,25.34
2010-03-19,50,25.82
2010-03-26,50,24.99
2010-04-02,43,
2010-04-09,46,27.47
2010-04-16,41,27.85
2010-04-23,36,28.63
2010-04-30,47,26.74
2010-05-07,56,23.16
2010-05-14,60,23.78
2010-05-21,45,22.28
2010-05-28,42,23.23
2010-06-04,52,21.93
2010-06-11,41,24.30
2010-06-18,40,25.73
2010-06-25,40,24.59
2010-07-02,43,22.59
2010-07-09,46,23.67
2010-07-16,48,22.78
2010-07-23,54,24.98
2010-07-30,42,24.20
2010-08-06,53,24.06
2010-08-13,47,21.87
2010-08-20,49,21.21
2010-08-27,48,20.38
2010-09-03,50,22.39
2010-09-10,65,22.39
2010-09-17,59,23.46
2010-09-24,83,21.83
2010-10-01,69,22.36
2010-10-08,65,22.19
2010-10-15,53,23.53
2010-10-22,70,23.68
2010-10-29,85,25.28
2010-11-05,81,26.44
2010-11-12,85,25.67
2010-11-19,69,24.80
2010-11-26,85,25.12
2010-12-03,84,26.24
2010-12-10,75,26.85
2010-12-17,68,25.94
2010-12-24,77,
2010-12-31,83,27.24
2011-01-07,73,27.99
2011-01-14,71,28.67
2011-01-21,76,27.91
2011-01-28,76,28.44
2011-02-04,82,29.22
2011-02-11,80,29.34
2011-02-18,68,29.02
2011-02-25,69,28.08
2011-03-04,82,26.78
2011-03-11,67,25.99
2011-03-18,68,26.87
2011-03-25,76,27.79
2011-04-01,79,30.42
2011-04-08,75,29.90
2011-04-15,73,29.95
2011-04-22,75,
2011-04-29,88,30.88
2011-05-06,72,31.77
2011-05-13,73,31.37
2011-05-20,77,31.31
2011-05-27,76,30.91
2011-06-03,70,29.88
2011-06-10,80,28.30
2011-06-17,67,26.57
2011-06-24,81,28.78
2011-07-01,72,30.61
2011-07-08,61,30.26
2011-07-15,81,29.87
2011-07-22,73,30.86
2011-07-29,85,29.70
2011-08-05,82,25.55
2011-08-12,85,25.55
2011-08-19,84,23.67
2011-08-26,76,25.68
2011-09-02,94,25.49
2011-09-09,82,26.17
2011-09-16,94,27.98
2011-09-23,81,25.02
2011-09-30,81,23.25
2011-10-07,80,24.05
2011-10-14,80,26.01
2011-10-21,83,25.93
2011-10-28,81,28.81
2011-11-04,70,28.81
2011-11-11,87,28.89
2011-11-18,90,28.02
2011-11-25,81,25.89
2011-12-02,92,28.77
2011-12-09,100,28.27
2011-12-16,87,27.79
2011-12-23,86,29.24
2011-12-30,92,29.60
2012-01-06,77,30.94
2012-01-13,89,31.49
2012-01-20,73,32.46
2012-01-27,57,30.98
2012-02-03,65,31.85
2012-02-10,73,31.85
2012-02-17,70,33.46
2012-02-24,59,32.92
2012-03-02,67,35.62
2012-03-09,67,35.23
2012-03-16,67,35.57
2012-03-23,52,35.19
2012-03-30,63,35.10
2012-04-06,45,
2012-04-13,52,32.97
2012-04-20,51,33.02
2012-04-27,48,33.85
2012-05-04,47,32.13
2012-05-11,53,31.28
2012-05-18,48,28.88
2012-05-25,43,29.31
2012-06-01,41,28.13
2012-06-08,45,29.27
2012-06-15,47,28.84
2012-06-22,46,29.22
2012-06-29,44,28.91
2012-07-06,43,29.07
2012-07-13,47,30.75
2012-07-20,50,32.29
2012-07-27,49,33.36
2012-08-03,54,32.71
2012-08-10,54,32.89
2012-08-17,56,34.58
2012-08-24,47,34.55
2012-08-31,56,34.56
2012-09-07,57,36.30
2012-09-14,63,35.52
2012-09-21,51,35.51
2012-09-28,55,36.32
2012-10-05,40,36.81
2012-10-12,45,36.80
2012-10-19,46,37.42
2012-10-26,53,35.66
2012-11-02,55,35.93
2012-11-09,50,34.85
2012-11-16,49,34.31
2012-11-23,50,36.26
2012-11-30,57,37.14
2012-12-07,47,36.04
2012-12-14,53,38.06
2012-12-21,61,39.31
2012-12-28,58,38.91
2013-01-04,44,40.85
2013-01-11,49,40.11
2013-01-18,48,41.91
2013-01-25,52,42.51
2013-02-01,55,42.35
2013-02-08,51,42.60
2013-02-15,39,42.17
2013-02-22,45,43.00
2013-03-01,43,44.28
2013-03-08,52,46.78
2013-03-15,48,45.66
2013-03-22,43,45.10
2013-03-29,46,
2013-04-05,48,46.15
2013-04-12,52,48.20
2013-04-19,52,45.67
2013-04-26,38,46.41
2013-05-03,46,45.62
2013-05-10,43,46.50
2013-05-17,42,48.18
2013-05-24,42,47.05
2013-05-31,42,46.15
2013-06-07,47,45.62
2013-06-14,49,45.35
2013-06-21,55,43.60
2013-06-28,55,44.31
2013-07-05,61,46.32
2013-07-12,51,48.13
2013-07-19,52,47.72
2013-07-26,52,49.11
2013-08-02,56,49.40
2013-08-09,54,48.02
2013-08-16,64,47.97
2013-08-23,51,46.86
2013-08-30,52,47.21
2013-09-06,51,47.86
2013-09-13,54,48.67
2013-09-20,45,47.79
2013-09-27,48,45.44
2013-10-04,52,43.70
2013-10-11,46,44.89
2013-10-18,39,45.47
2013-10-25,51,45.57
2013-11-01,47,44.96
2013-11-08,55,43.96
2013-11-15,61,45.53
2013-11-22,51,46.89
2013-11-29,57,46.65
2013-12-06,52,46.44
2013-12-13,51,47.83
2013-12-20,51,48.35
2013-12-27,59,49.04
2014-01-03,52,48.62
2014-01-10,53,48.93
2014-01-17,51,48.34
2014-01-24,51,45.56
2014-01-31,45,47.74
2014-02-07,42,47.42
2014-02-14,50,49.18
2014-02-21,42,49.16
2014-02-28,51,48.89
2014-03-07,47,48.15
2014-03-14,49,46.13
2014-03-21,47,45.78
2014-03-28,47,45.80
2014-04-04,46,45.81
2014-04-11,46,44.98
2014-04-18,45,
2014-04-25,45,45.63
2014-05-02,40,
