Date,buy JBL,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,29.60
2004-02-13,0,28.60
2004-02-20,0,28.60
2004-02-27,0,27.98
2004-03-05,0,28.58
2004-03-12,0,27.49
2004-03-19,0,27.85
2004-03-26,0,28.80
2004-04-02,0,30.62
2004-04-09,0,
2004-04-16,0,28.51
2004-04-23,0,29.80
2004-04-30,0,26.39
2004-05-07,0,26.39
2004-05-14,0,25.58
2004-05-21,0,27.07
2004-05-28,0,28.31
2004-06-04,0,27.85
2004-06-11,0,
2004-06-18,0,24.58
2004-06-25,0,25.52
2004-07-02,0,24.35
2004-07-09,0,23.65
2004-07-16,0,22.00
2004-07-23,0,21.21
2004-07-30,0,21.75
2004-08-06,0,20.28
2004-08-13,0,19.56
2004-08-20,0,20.79
2004-08-27,0,21.15
2004-09-03,0,20.49
2004-09-10,0,21.78
2004-09-17,0,21.34
2004-09-24,0,22.68
2004-10-01,0,24.05
2004-10-08,0,23.36
2004-10-15,0,23.49
2004-10-22,0,23.60
2004-10-29,0,24.31
2004-11-05,0,25.43
2004-11-12,0,25.55
2004-11-19,0,25.00
2004-11-26,0,24.99
2004-12-03,0,25.85
2004-12-10,0,26.57
2004-12-17,0,25.71
2004-12-24,0,
2004-12-31,0,25.58
2005-01-07,0,23.00
2005-01-14,0,23.18
2005-01-21,0,22.30
2005-01-28,0,23.17
2005-02-04,0,23.71
2005-02-11,0,24.92
2005-02-18,0,24.74
2005-02-25,0,25.68
2005-03-04,0,26.06
2005-03-11,0,26.08
2005-03-18,0,27.58
2005-03-25,0,
2005-04-01,0,28.16
2005-04-08,0,28.97
2005-04-15,0,26.41
2005-04-22,0,27.20
2005-04-29,0,27.60
2005-05-06,0,27.75
2005-05-13,0,28.60
2005-05-20,0,29.44
2005-05-27,0,29.37
2005-06-03,0,29.30
2005-06-10,0,29.05
2005-06-17,0,28.96
2005-06-24,0,31.15
2005-07-01,0,30.67
2005-07-08,0,31.94
2005-07-15,0,32.08
2005-07-22,0,31.90
2005-07-29,0,31.19
2005-08-05,0,30.42
2005-08-12,0,29.61
2005-08-19,0,29.44
2005-08-26,0,29.34
2005-09-02,0,29.22
2005-09-09,0,29.49
2005-09-16,0,29.34
2005-09-23,0,29.70
2005-09-30,0,30.92
2005-10-07,0,30.33
2005-10-14,0,29.69
2005-10-21,0,30.21
2005-10-28,0,29.48
2005-11-04,0,30.58
2005-11-11,0,31.42
2005-11-18,0,32.16
2005-11-25,0,33.47
2005-12-02,0,34.33
2005-12-09,0,34.37
2005-12-16,83,35.13
2005-12-23,0,37.38
2005-12-30,0,37.09
2006-01-06,0,38.55
2006-01-13,0,37.91
2006-01-20,0,38.45
2006-01-27,0,41.19
2006-02-03,82,38.38
2006-02-10,0,38.78
2006-02-17,0,40.04
2006-02-24,0,38.24
2006-03-03,0,38.29
2006-03-10,0,37.06
2006-03-17,0,37.99
2006-03-24,0,42.72
2006-03-31,0,42.86
2006-04-07,0,42.75
2006-04-14,0,
2006-04-21,0,39.10
2006-04-28,0,38.99
2006-05-05,0,40.15
2006-05-12,0,36.27
2006-05-19,0,34.52
2006-05-26,0,35.42
2006-06-02,0,36.05
2006-06-09,0,34.04
2006-06-16,0,26.26
2006-06-23,0,25.00
2006-06-30,0,25.60
2006-07-07,0,24.68
2006-07-14,0,23.80
2006-07-21,0,22.07
2006-07-28,0,22.90
2006-08-04,0,23.66
2006-08-11,0,23.69
2006-08-18,0,27.35
2006-08-25,0,26.89
2006-09-01,0,27.30
2006-09-08,0,26.46
2006-09-15,0,27.01
2006-09-22,0,27.72
2006-09-29,0,28.57
2006-10-06,0,30.80
2006-10-13,0,30.53
2006-10-20,0,29.60
2006-10-27,0,28.71
2006-11-03,0,28.69
2006-11-10,0,29.80
2006-11-17,59,28.75
2006-11-24,61,29.16
2006-12-01,95,28.68
2006-12-08,64,28.43
2006-12-15,85,27.30
2006-12-22,75,24.15
2006-12-29,89,24.55
2007-01-05,49,25.03
2007-01-12,49,24.92
2007-01-19,49,24.21
2007-01-26,51,24.61
2007-02-02,53,24.47
2007-02-09,56,25.87
2007-02-16,58,26.49
2007-02-23,69,27.64
2007-03-02,0,26.35
2007-03-09,0,26.29
2007-03-16,0,26.09
2007-03-23,0,22.26
2007-03-30,0,21.41
2007-04-06,0,
2007-04-13,0,21.85
2007-04-20,0,22.81
2007-04-27,0,23.60
2007-05-04,0,23.87
2007-05-11,0,23.40
2007-05-18,0,22.57
2007-05-25,54,23.12
2007-06-01,0,22.61
2007-06-08,0,20.53
2007-06-15,0,20.58
2007-06-22,0,23.13
2007-06-29,0,22.07
2007-07-06,0,22.31
2007-07-13,0,24.81
2007-07-20,0,24.47
2007-07-27,0,22.69
2007-08-03,0,21.89
2007-08-10,0,24.08
2007-08-17,0,22.42
2007-08-24,0,21.67
2007-08-31,44,22.20
2007-09-07,44,22.32
2007-09-14,45,23.39
2007-09-21,37,24.74
2007-09-28,37,22.84
2007-10-05,36,22.58
2007-10-12,36,21.89
2007-10-19,36,21.37
2007-10-26,36,20.65
2007-11-02,36,20.73
2007-11-09,41,19.15
2007-11-16,52,17.81
2007-11-23,50,17.35
2007-11-30,56,16.95
2007-12-07,71,17.85
2007-12-14,66,16.99
2007-12-21,75,14.43
2007-12-28,52,15.18
2008-01-04,52,13.56
2008-01-11,53,14.45
2008-01-18,35,13.94
2008-01-25,32,13.14
2008-02-01,42,13.91
2008-02-08,52,13.56
2008-02-15,63,14.40
2008-02-22,30,14.30
2008-02-29,30,12.92
2008-03-07,33,12.12
2008-03-14,48,12.44
2008-03-21,46,
2008-03-28,46,9.21
2008-04-04,48,9.98
2008-04-11,45,9.80
2008-04-18,36,10.68
2008-04-25,52,10.87
2008-05-02,43,11.14
2008-05-09,40,10.91
2008-05-16,36,11.65
2008-05-23,29,11.34
2008-05-30,38,12.72
2008-06-06,47,14.07
2008-06-13,51,14.50
2008-06-20,39,14.95
2008-06-27,42,16.22
2008-07-04,53,
2008-07-11,42,14.96
2008-07-18,52,15.99
2008-07-25,62,15.72
2008-08-01,46,16.64
2008-08-08,46,18.28
2008-08-15,50,18.50
2008-08-22,30,17.31
2008-08-29,44,16.86
2008-09-05,58,13.31
2008-09-12,32,12.73
2008-09-19,52,11.24
2008-09-26,32,10.99
2008-10-03,35,8.62
2008-10-10,42,6.35
2008-10-17,31,7.39
2008-10-24,31,7.74
2008-10-31,34,8.41
2008-11-07,26,8.29
2008-11-14,27,6.33
2008-11-21,55,5.39
2008-11-28,58,6.58
2008-12-05,54,6.34
2008-12-12,74,6.60
2008-12-19,68,6.32
2008-12-26,80,6.32
2009-01-02,64,7.09
2009-01-09,34,6.98
2009-01-16,45,5.92
2009-01-23,47,6.10
2009-01-30,37,5.82
2009-02-06,49,6.50
2009-02-13,37,6.10
2009-02-20,49,5.19
2009-02-27,30,4.14
2009-03-06,32,3.26
2009-03-13,42,4.03
2009-03-20,43,3.97
2009-03-27,33,5.69
2009-04-03,43,6.30
2009-04-10,29,
2009-04-17,31,7.28
2009-04-24,33,7.71
2009-05-01,37,8.03
2009-05-08,29,8.41
2009-05-15,22,7.49
2009-05-22,31,7.63
2009-05-29,26,7.83
2009-06-05,24,8.58
2009-06-12,32,7.55
2009-06-19,26,6.85
2009-06-26,32,7.16
2009-07-03,33,
2009-07-10,36,6.82
2009-07-17,36,8.16
2009-07-24,47,9.05
2009-07-31,36,9.16
2009-08-07,34,9.79
2009-08-14,31,9.87
2009-08-21,26,10.71
2009-08-28,26,11.16
2009-09-04,35,11.08
2009-09-11,43,11.77
2009-09-18,40,12.41
2009-09-25,30,11.87
2009-10-02,41,12.94
2009-10-09,32,14.35
2009-10-16,26,14.78
2009-10-23,19,14.96
2009-10-30,30,13.38
2009-11-06,25,14.29
2009-11-13,32,14.48
2009-11-20,32,13.63
2009-11-27,31,13.34
2009-12-04,39,12.94
2009-12-11,28,14.06
2009-12-18,44,14.80
2009-12-25,57,
2010-01-01,42,
2010-01-08,39,17.54
2010-01-15,26,17.04
2010-01-22,24,15.69
2010-01-29,29,14.48
2010-02-05,33,14.36
2010-02-12,29,14.74
2010-02-19,28,15.16
2010-02-26,23,15.17
2010-03-05,22,16.72
2010-03-12,32,17.62
2010-03-19,25,17.34
2010-03-26,24,16.37
2010-04-02,32,
2010-04-09,41,16.80
2010-04-16,24,16.45
2010-04-23,24,17.02
2010-04-30,24,15.32
2010-05-07,29,14.09
2010-05-14,19,14.12
2010-05-21,38,13.15
2010-05-28,38,13.69
2010-06-04,38,12.66
2010-06-11,31,13.09
2010-06-18,34,13.96
2010-06-25,25,14.40
2010-07-02,33,13.02
2010-07-09,29,13.97
2010-07-16,30,14.79
2010-07-23,25,15.31
2010-07-30,33,14.51
2010-08-06,27,13.29
2010-08-13,33,11.55
2010-08-20,23,11.17
2010-08-27,40,10.82
2010-09-03,25,11.73
2010-09-10,17,12.22
2010-09-17,27,12.79
2010-09-24,18,13.57
2010-10-01,19,14.30
2010-10-08,21,14.71
2010-10-15,32,14.75
2010-10-22,30,14.18
2010-10-29,23,15.34
2010-11-05,29,15.63
2010-11-12,30,14.39
2010-11-19,21,15.03
2010-11-26,51,14.59
2010-12-03,33,16.16
2010-12-10,31,16.71
2010-12-17,39,17.47
2010-12-24,48,
2010-12-31,50,20.09
2011-01-07,34,21.07
2011-01-14,35,21.34
2011-01-21,37,19.84
2011-01-28,31,19.81
2011-02-04,34,21.22
2011-02-11,38,21.66
2011-02-18,21,22.57
2011-02-25,25,20.93
2011-03-04,15,21.79
2011-03-11,28,20.48
2011-03-18,24,18.59
2011-03-25,23,21.28
2011-04-01,22,20.04
2011-04-08,26,19.79
2011-04-15,23,19.18
2011-04-22,28,
2011-04-29,24,19.84
2011-05-06,29,20.99
2011-05-13,23,21.58
2011-05-20,23,20.74
2011-05-27,22,21.22
2011-06-03,29,19.95
2011-06-10,29,19.08
2011-06-17,32,18.29
2011-06-24,27,19.14
2011-07-01,28,20.77
2011-07-08,20,21.35
2011-07-15,31,19.79
2011-07-22,28,20.26
2011-07-29,21,18.31
2011-08-05,24,15.54
2011-08-12,16,16.25
2011-08-19,18,14.22
2011-08-26,27,15.46
2011-09-02,18,16.37
2011-09-09,27,15.76
2011-09-16,19,17.66
2011-09-23,28,16.28
2011-09-30,31,17.79
2011-10-07,25,18.60
2011-10-14,15,20.07
2011-10-21,22,19.92
2011-10-28,21,21.32
2011-11-04,23,20.59
2011-11-11,25,20.91
2011-11-18,41,20.32
2011-11-25,32,18.34
2011-12-02,26,20.71
2011-12-09,51,20.65
2011-12-16,44,19.42
2011-12-23,39,19.91
2011-12-30,31,19.66
2012-01-06,36,20.87
2012-01-13,25,21.04
2012-01-20,33,23.00
2012-01-27,24,22.80
2012-02-03,22,24.12
2012-02-10,22,24.72
2012-02-17,25,26.03
2012-02-24,19,26.01
2012-03-02,30,25.98
2012-03-09,25,26.16
2012-03-16,23,26.82
2012-03-23,24,25.50
2012-03-30,27,25.12
2012-04-06,29,
2012-04-13,20,23.03
2012-04-20,21,22.58
2012-04-27,28,23.58
2012-05-04,16,21.66
2012-05-11,26,20.04
2012-05-18,23,18.91
2012-05-25,22,19.25
2012-06-01,33,18.19
2012-06-08,25,19.10
2012-06-15,19,19.13
2012-06-22,27,19.76
2012-06-29,21,20.33
2012-07-06,21,19.85
2012-07-13,23,19.02
2012-07-20,21,20.55
2012-07-27,29,21.22
2012-08-03,22,22.02
2012-08-10,32,22.67
2012-08-17,35,23.16
2012-08-24,34,23.27
2012-08-31,24,22.78
2012-09-07,26,21.90
2012-09-14,26,22.70
2012-09-21,25,21.55
2012-09-28,19,18.72
2012-10-05,25,18.05
2012-10-12,24,17.03
2012-10-19,23,17.19
2012-10-26,38,17.28
2012-11-02,25,17.40
2012-11-09,23,17.62
2012-11-16,33,17.63
2012-11-23,61,18.95
2012-11-30,44,19.00
2012-12-07,44,18.37
2012-12-14,59,17.51
2012-12-21,63,19.39
2012-12-28,76,18.61
2013-01-04,46,19.44
2013-01-11,61,19.92
2013-01-18,41,19.63
2013-01-25,48,19.94
2013-02-01,47,19.36
2013-02-08,32,19.36
2013-02-15,37,19.77
2013-02-22,32,19.07
2013-03-01,36,18.47
2013-03-08,39,18.89
2013-03-15,22,19.25
2013-03-22,32,18.56
2013-03-29,29,
2013-04-05,35,18.31
2013-04-12,27,18.01
2013-04-19,37,16.57
2013-04-26,36,17.31
2013-05-03,44,18.23
2013-05-10,38,19.28
2013-05-17,41,20.05
2013-05-24,43,19.25
2013-05-31,37,20.06
2013-06-07,41,19.44
2013-06-14,52,19.42
2013-06-21,47,20.23
2013-06-28,38,20.38
2013-07-05,59,20.93
2013-07-12,40,21.95
2013-07-19,42,22.25
2013-07-26,61,22.60
2013-08-02,39,23.39
2013-08-09,52,23.63
2013-08-16,50,23.36
2013-08-23,44,23.39
2013-08-30,48,22.82
2013-09-06,39,23.00
2013-09-13,37,23.67
2013-09-20,34,23.11
2013-09-27,34,21.42
2013-10-04,41,22.11
2013-10-11,35,21.99
2013-10-18,45,22.52
2013-10-25,39,22.52
2013-11-01,41,20.71
2013-11-08,40,20.51
2013-11-15,45,19.82
2013-11-22,52,19.62
2013-11-29,67,20.27
2013-12-06,66,20.42
2013-12-13,64,19.07
2013-12-20,76,16.12
2013-12-27,100,17.01
2014-01-03,61,17.19
2014-01-10,54,17.02
2014-01-17,43,18.01
2014-01-24,44,17.96
2014-01-31,47,17.97
2014-02-07,37,18.01
2014-02-14,54,18.49
2014-02-21,43,18.48
2014-02-28,54,18.51
2014-03-07,47,18.39
2014-03-14,52,17.73
2014-03-21,42,17.72
2014-03-28,45,17.76
2014-04-04,43,18.44
2014-04-11,61,17.23
2014-04-18,42,
2014-04-25,32,17.64
2014-05-02,69,
